GS_SNAP,GS_INSTR_DESC,GS_BASE_CCY,GS_TRGT_CCY,GS_INSTR_TYPE,GS_INSTR_PRC_TYPE,GS_INSTR_PRICE,GS_VALUE_DATE,GS_PROCESSING_DATE
NEW YORK,RUSDIDRSPOTFXMID2D_LOW,USD,IDR,FX-SPOT,MID,5.9602,2019-01-27,2019-01-27
NEW YORK,RUSDHKDSPOTFXMID2D_LOW,USD,HKD,FX-SPOT,MID,5.9603,2019-01-27,2019-01-27
NEW YORK,RUSDMXNSPOTFXASK2D,USD,MXN,FX-SPOT,MID,5.9604,2019-01-27,2019-01-27
NEW YORK,RUSDZARSPOTFXMID2D_LOW,USD,ZAR,FX-SPOT,MID,5.9605,2019-01-27,2019-01-27
NEW YORK,RUSDCNYSPOTFXMID2D_LOW,USD,CNY,FX-SPOT,MID,5.9606,2019-01-27,2019-01-27
NEW YORK,RAUDUSDSPOTFX2D_LOW,AUD,USD,FX-SPOT,MID,5.9607,2019-01-27,2019-01-27
NEW YORK,RUSDSEKSPOTFXMID2D_LOW,USD,SEK,FX-SPOT,MID,5.9608,2019-01-27,2019-01-27
NEW YORK,RUSDCADSPOTFXMID2D_LOW,USD,CAD,FX-SPOT,MID,5.9609,2019-01-27,2019-01-27
NEW YORK,RUSDTHBSPOTFXMID2D_LOW,USD,THB,FX-SPOT,MID,5.961,2019-01-27,2019-01-27
NEW YORK,RUSDCZKSPOTFXASK2D,USD,CZK,FX-SPOT,MID,5.9611,2019-01-27,2019-01-27
NEW YORK,RNZDUSDSPOTFXMID2D_LOW,NZD,USD,FX-SPOT,MID,5.9612,2019-01-27,2019-01-27
