GS_SNAP,GS_INSTR_DESC,GS_BASE_CCY,GS_TRGT_CCY,GS_INSTR_TYPE,GS_INSTR_PRC_TYPE,GS_INSTR_PRICE,GS_VALUE_DATE,GS_PROCESSING_DATE
SYDNEY,REURUSDSPOTFXMID2D_LOW,EUR,USD,FX-SPOT,BID,9.0581,2021-10-03,2021-10-03
SYDNEY,RUSDIDRSPOTFXMID2D_LOW,USD,IDR,FX-SPOT,BID,9.0582,2021-10-03,2021-10-03
SYDNEY,RUSDJPYSPOTFXMID2D_LOW,USD,JPY,FX-SPOT,BID,9.0583,2021-10-03,2021-10-03
SYDNEY,RUSDHKDSPOTFXMID2D_LOW,USD,HKD,FX-SPOT,BID,9.0584,2021-10-03,2021-10-03
SYDNEY,RUSDMXNSPOTFXASK2D,USD,MXN,FX-SPOT,BID,9.0585,2021-10-03,2021-10-03
SYDNEY,RUSDZARSPOTFXMID2D_LOW,USD,ZAR,FX-SPOT,BID,9.0586,2021-10-03,2021-10-03
SYDNEY,RUSDCNYSPOTFXMID2D_LOW,USD,CNY,FX-SPOT,BID,9.0587,2021-10-03,2021-10-03
SYDNEY,RAUDUSDSPOTFX2D_LOW,AUD,USD,FX-SPOT,BID,9.0588,2021-10-03,2021-10-03
SYDNEY,RUSDSEKSPOTFXMID2D_LOW,USD,SEK,FX-SPOT,BID,9.0589,2021-10-03,2021-10-03
SYDNEY,RUSDTHBSPOTFXMID2D_LOW,USD,THB,FX-SPOT,BID,9.059,2021-10-03,2021-10-03
SYDNEY,RUSDCADSPOTFXMID2D_LOW,USD,CAD,FX-SPOT,BID,9.0591,2021-10-03,2021-10-03
SYDNEY,RUSDCZKSPOTFXASK2D,USD,CZK,FX-SPOT,BID,9.0592,2021-10-03,2021-10-03
SYDNEY,RNZDUSDSPOTFXMID2D_LOW,NZD,USD,FX-SPOT,BID,9.0593,2021-10-03,2021-10-03
SYDNEY,RUSDCHFSPOTFXMID2D_LOW,USD,CHF,FX-SPOT,MID,9.059405944,2021-10-03,2021-10-03
SYDNEY,ARTUSDCNHSPOTFXMID2D_LOW,USD,CNH,FX-SPOT,MID,9.059405944,2021-10-03,2021-10-03
SYDNEY,RUSDSGDSPOTFXMID2D_LOW,USD,SGD,FX-SPOT,MID,9.059405944,2021-10-03,2021-10-03
SYDNEY,RUSDNOKSPOTFXMID2D_LOW,USD,NOK,FX-SPOT,MID,9.059405944,2021-10-03,2021-10-03
SYDNEY,RUSDDKKSPOTFXMID2D_LOW,USD,DKK,FX-SPOT,MID,9.059405944,2021-10-03,2021-10-03
SYDNEY,RGBPUSDSPOTFXMID2D_LOW,GBP,USD,FX-SPOT,MID,9.059405944,2021-10-03,2021-10-03
SYDNEY,REURUSDSPOTFXMID2D_LOW,EUR,USD,FX-SPOT,MID,3.3333,2021-10-03,2021-10-03
SYDNEY,RUSDJPYSPOTFXMID2D_LOW,USD,JPY,FX-SPOT,MID,9.059405944,2021-10-03,2021-10-03
SYDNEY,RUSDIDRSPOTFXMID2D_LOW,USD,IDR,FX-SPOT,MID,9.06020603,2021-10-03,2021-10-03
SYDNEY,RUSDHKDSPOTFXMID2D_LOW,USD,HKD,FX-SPOT,MID,9.06020603,2021-10-03,2021-10-03
SYDNEY,RUSDMXNSPOTFXASK2D,USD,MXN,FX-SPOT,MID,9.06020603,2021-10-03,2021-10-03
SYDNEY,RUSDZARSPOTFXMID2D_LOW,USD,ZAR,FX-SPOT,MID,9.06020603,2021-10-03,2021-10-03
SYDNEY,RUSDCNYSPOTFXMID2D_LOW,USD,CNY,FX-SPOT,MID,9.06020603,2021-10-03,2021-10-03
SYDNEY,RAUDUSDSPOTFX2D_LOW,AUD,USD,FX-SPOT,MID,9.060707071,2021-10-03,2021-10-03
SYDNEY,RUSDSEKSPOTFXMID2D_LOW,USD,SEK,FX-SPOT,MID,9.060812313,2021-10-03,2021-10-03
SYDNEY,RUSDCADSPOTFXMID2D_LOW,USD,CAD,FX-SPOT,MID,9.060906092,2021-10-03,2021-10-03
SYDNEY,RUSDTHBSPOTFXMID2D_LOW,USD,THB,FX-SPOT,MID,9.061061061,2021-10-03,2021-10-03
SYDNEY,RUSDCZKSPOTFXASK2D,USD,CZK,FX-SPOT,MID,9.061061061,2021-10-03,2021-10-03
SYDNEY,RNZDUSDSPOTFXMID2D_LOW,NZD,USD,FX-SPOT,MID,9.061061061,2021-10-03,2021-10-03
