"CRC_RID_CROSS_CURR"|"CRC_CDE_FUND_DESK"|"CRC_CDE_CURRENCY"|"CRC_AMT_EXCHG_RATE"|"CRC_UID_REC_CREATE"|"CRC_UID_REC_UPDATE"|"CRC_TSP_REC_CREATE"|"CRC_TSP_REC_UPDATE"
"TVDPN0P5"|"AUD  "|"NZD"|"1.00006000360022"|"LOANIQ01"|"LOANIQ01"|"2019-04-11 08:24:31"|"2019-08-27 08:51:07"
"E*DSXNDY"|"NY   "|"JPY"|"0.008810960835279"|"LOANIQ01"|"LOANIQ01"|"2019-06-14 09:51:33"|"2019-08-26 05:35:03"
"O!DT5LZA"|"NY   "|"AUD"|"0.723301146432317"|"DEVGUEST"|"LOANIQ01"|"2019-06-18 13:29:53"|"2019-08-26 05:35:04"
"T1DT5LZ7"|"NY   "|"CHF"|"1.00801370898644"|"DEVGUEST"|"LOANIQ01"|"2019-06-18 12:23:40"|"2019-08-26 05:35:03"
"DDDT3HPR"|"NY   "|"CAD"|"0.749035616643571"|"DEVGUEST"|"LOANIQ01"|"2019-06-17 09:57:28"|"2019-08-26 05:35:02"
"CGDUL2RU"|"NY   "|"CNH"|"0.145545577597625"|"LOANIQ01"|"LOANIQ01"|"2019-07-16 12:01:33"|"2019-08-26 05:35:03"
"CGDUL2RK"|"NY   "|"GBP"|"1.26635176719389"|"LOANIQ01"|"LOANIQ01"|"2019-07-16 12:01:33"|"2019-08-26 05:35:02"
"CGDUL2SC"|"NY   "|"HKD"|"0.128048351057359"|"LOANIQ01"|"LOANIQ01"|"2019-07-16 12:01:33"|"2019-08-26 05:35:03"
"CGDUL2TL"|"NY   "|"CZK"|"0.0440276493638"|"LOANIQ01"|"LOANIQ01"|"2019-07-16 12:01:33"|"2019-08-26 05:35:03"
"CGDUL2UC"|"NY   "|"EUR"|"1.13755289620967"|"LOANIQ01"|"LOANIQ01"|"2019-07-16 12:01:33"|"2019-08-26 05:35:04"
"CGDUL2UM"|"NY   "|"CNY"|"0.145471473044136"|"LOANIQ01"|"LOANIQ01"|"2019-07-16 12:01:33"|"2019-08-26 05:35:04"
"CGDUL2UW"|"NY   "|"IDR"|"0.000068965517241"|"LOANIQ01"|"LOANIQ01"|"2019-07-16 12:01:33"|"2019-08-26 05:35:04"
