GS_SNAP,GS_INSTR_DESC,GS_TRGT_CCY,GS_INSTR_TYPE,GS_INSTR_PRC_TYPE,GS_INSTR_PRICE,GS_VALUE_DATE,GS_PROCESSING_DATE
NEW YORK,RUSDCADSPOTFXMID2D_LOW,CAD,FX-SPOT,ASK,9.056,2018-12-13,2018-04-17
NEW YORK,RUSDTHBSPOTFXMID2D_LOW,THB,FX-SPOT,ASK,9.05,2018-12-13,2018-04-17
NEW YORK,RUSDCZKSPOTFXASK2D,CZK,FX-SPOT,ASK,9.05731,2018-12-13,2018-04-17
NEW YORK,RNZDUSDSPOTFXMID2D_LOW,USD,FX-SPOT,ASK,9.0574,2018-12-13,2018-04-17
NEW YORK,RUSDCHFSPOTFXMID2D_LOW,CHF,FX-SPOT,BID,9.0575,2018-12-13,2018-04-17
NEW YORK,ARTUSDCNHSPOTFXMID2D_LOW,CNH,FX-SPOT,BID,9.0576,2018-12-13,2018-04-17
NEW YORK,RUSDSGDSPOTFXMID2D_LOW,SGD,FX-SPOT,BID,9.0577,2018-12-13,2018-04-17
NEW YORK,RUSDNOKSPOTFXMID2D_LOW,NOK,FX-SPOT,BID,9.0578,2018-12-13,2018-04-17
NEW YORK,RUSDDKKSPOTFXMID2D_LOW,DKK,FX-SPOT,BID,9.0579,2018-12-13,2018-04-17
NEW YORK,RGBPUSDSPOTFXMID2D_LOW,USD,FX-SPOT,BID,9.058,2018-12-13,2018-04-17
NEW YORK,REURUSDSPOTFXMID2D_LOW,USD,FX-SPOT,BID,9.0581,2018-12-13,2018-04-17
NEW YORK,RUSDIDRSPOTFXMID2D_LOW,IDR,FX-SPOT,BID,9.0582,2018-12-13,2018-04-17
NEW YORK,RUSDJPYSPOTFXMID2D_LOW,JPY,FX-SPOT,BID,9.0583,2018-12-13,2018-04-17
NEW YORK,RUSDHKDSPOTFXMID2D_LOW,HKD,FX-SPOT,BID,9.0584,2018-12-13,2018-04-17
NEW YORK,RUSDMXNSPOTFXASK2D,MXN,FX-SPOT,BID,9.0585,2018-12-13,2018-04-17
NEW YORK,RUSDZARSPOTFXMID2D_LOW,ZAR,FX-SPOT,BID,9.0586,2018-12-13,2018-04-17
NEW YORK,RUSDCNYSPOTFXMID2D_LOW,CNY,FX-SPOT,BID,9.0587,2018-12-13,2018-04-17
NEW YORK,RAUDUSDSPOTFX2D_LOW,USD,FX-SPOT,BID,9.0588,2018-12-13,2018-04-17
NEW YORK,RUSDSEKSPOTFXMID2D_LOW,SEK,FX-SPOT,BID,9.0589,2018-12-13,2018-04-17
NEW YORK,RUSDTHBSPOTFXMID2D_LOW,THB,FX-SPOT,BID,9.059,2018-12-13,2018-04-17
NEW YORK,RUSDCADSPOTFXMID2D_LOW,CAD,FX-SPOT,BID,9.0591,2018-12-13,2018-04-17
NEW YORK,RUSDCZKSPOTFXASK2D,CZK,FX-SPOT,BID,9.0592,2018-12-13,2018-04-17
NEW YORK,RNZDUSDSPOTFXMID2D_LOW,USD,FX-SPOT,BID,9.0593,2018-12-13,2018-04-17
NEW YORK,RUSDCHFSPOTFXMID2D_LOW,CHF,FX-SPOT,MID,9.0594,2018-12-13,2018-04-17
NEW YORK,ARTUSDCNHSPOTFXMID2D_LOW,CNH,FX-SPOT,MID,9.0595,2018-12-13,2018-04-17
NEW YORK,RUSDSGDSPOTFXMID2D_LOW,SGD,FX-SPOT,MID,9.0596,2018-12-13,2018-04-17
NEW YORK,RUSDNOKSPOTFXMID2D_LOW,NOK,FX-SPOT,MID,9.0597,2018-12-13,2018-04-17
NEW YORK,RUSDDKKSPOTFXMID2D_LOW,DKK,FX-SPOT,MID,9.0598,2018-12-13,2018-04-17
NEW YORK,RGBPUSDSPOTFXMID2D_LOW,USD,FX-SPOT,MID,9.0599,2018-12-13,2018-04-17
NEW YORK,REURUSDSPOTFXMID2D_LOW,USD,FX-SPOT,MID,9.06,2018-12-13,2018-04-17
NEW YORK,RUSDJPYSPOTFXMID2D_LOW,JPY,FX-SPOT,MID,9.0601,2018-12-13,2018-04-17
NEW YORK,RUSDIDRSPOTFXMID2D_LOW,IDR,FX-SPOT,MID,9.0602,2018-12-13,2018-04-17
NEW YORK,RUSDHKDSPOTFXMID2D_LOW,HKD,FX-SPOT,MID,9.0603,2018-12-13,2018-04-17
NEW YORK,RUSDMXNSPOTFXASK2D,MXN,FX-SPOT,MID,9.0604,2018-12-13,2018-04-17
NEW YORK,RUSDZARSPOTFXMID2D_LOW,ZAR,FX-SPOT,MID,9.0605,2018-12-13,2018-04-17
NEW YORK,RUSDCNYSPOTFXMID2D_LOW,CNY,FX-SPOT,MID,9.0606,2018-12-13,2018-04-17
NEW YORK,RAUDUSDSPOTFX2D_LOW,USD,FX-SPOT,MID,0.78,2018-12-13,2018-04-17
NEW YORK,RUSDSEKSPOTFXMID2D_LOW,SEK,FX-SPOT,MID,9.0608,2018-12-13,2018-04-17
NEW YORK,RUSDCADSPOTFXMID2D_LOW,CAD,FX-SPOT,MID,9.0609,2018-12-13,2018-04-17
NEW YORK,RUSDTHBSPOTFXMID2D_LOW,THB,FX-SPOT,MID,9.061,2018-12-13,2018-04-17
NEW YORK,RUSDCZKSPOTFXASK2D,CZK,FX-SPOT,MID,9.0611,2018-12-13,2018-04-17
NEW YORK,RNZDUSDSPOTFXMID2D_LOW,USD,FX-SPOT,MID,9.0612,2018-12-13,2018-04-17
