"RPE_CDE_RISK_BOOK","RPE_CDE_PORTFOLIO","RPE_CDE_EXPENSE","RPE_TSP_REC_CREATE","RPE_TSP_REC_UPDATE","RPE_UID_REC_CREATE","RPE_UID_REC_UPDATE","RPE_IND_ACTIVE"
"RISKA","NONE ","TM_SAF         ","2020-07-03 18:56:21","2020-07-03 18:56:21","CFRANCIS","CFRANCIS","Y"
"BCF  ","HFGBP","BP_PRF         ","2020-11-04 10:18:29","2020-11-04 10:18:29","FOULISTR","FOULISTR","Y"
"DCM  ","HFGBP","DM_CFS         ","2020-11-04 10:19:38","2020-11-04 10:19:38","FOULISTR","FOULISTR","Y"
"BKGOV","HFGBP","BG_SAF         ","2020-11-04 10:09:51","2020-11-04 10:09:51","FOULISTR","FOULISTR","Y"
"BPB  ","HFGBP","BP_CML         ","2020-11-04 10:11:01","2020-11-04 10:11:01","FOULISTR","FOULISTR","Y"
"BCF  ","HFGBP","BP_RES         ","2020-11-04 10:14:59","2020-11-04 10:14:59","FOULISTR","FOULISTR","Y"
"BCF  ","HFGBP","BP_PRE         ","2020-11-04 10:14:59","2020-11-04 10:14:59","FOULISTR","FOULISTR","Y"
"BCF  ","HFGBP","BP_SAF         ","2020-11-04 10:14:59","2020-11-04 10:14:59","FOULISTR","FOULISTR","Y"
"BCF  ","HFGBP","CS_PVT         ","2020-11-04 10:14:59","2020-11-04 10:14:59","FOULISTR","FOULISTR","Y"
"BCF  ","HFGBP","CS_OTH         ","2020-11-04 10:14:59","2020-11-04 10:14:59","FOULISTR","FOULISTR","Y"
"BKGOV","HFGBP","BG_COL         ","2020-11-04 10:17:03","2020-11-04 10:17:03","FOULISTR","FOULISTR","Y"
"BKGOV","HFGBP","BG_PRF         ","2020-11-04 10:17:03","2020-11-04 10:17:03","FOULISTR","FOULISTR","Y"
"BCF  ","HFGBP","BP_COL         ","2020-11-04 10:18:29","2020-11-04 10:18:29","FOULISTR","FOULISTR","Y"
"DCM  ","HFGBP","DM_LMS         ","2020-11-04 10:19:38","2020-11-04 10:19:38","FOULISTR","FOULISTR","Y"
"DCM  ","HFGBP","DM_PSS         ","2020-11-04 10:19:38","2020-11-04 10:19:38","FOULISTR","FOULISTR","Y"
"SAF  ","HFGBP","IT_SAF         ","2020-11-04 10:23:18","2020-11-04 10:23:18","FOULISTR","FOULISTR","Y"
"SAF  ","HFGBP","IT_PRF         ","2020-11-04 10:23:18","2020-11-04 10:23:18","FOULISTR","FOULISTR","Y"
"SAF  ","HFGBP","IT_COL         ","2020-11-04 10:23:18","2020-11-04 10:23:18","FOULISTR","FOULISTR","Y"
"SAF  ","HFGBP","IT_FRA         ","2020-11-04 10:23:18","2020-11-04 10:23:18","FOULISTR","FOULISTR","Y"
"SAF  ","HFGBP","IT_AKD         ","2020-11-04 10:23:18","2020-11-04 10:23:18","FOULISTR","FOULISTR","Y"
"SAF  ","HFGBP","IT_QHE         ","2020-11-04 10:23:18","2020-11-04 10:23:18","FOULISTR","FOULISTR","Y"
"SAF  ","HFGBP","IT_DBU         ","2020-11-04 10:23:18","2020-11-04 10:23:18","FOULISTR","FOULISTR","Y"
"SAF  ","HFGBP","IT_PRE         ","2020-11-04 10:23:18","2020-11-04 10:23:18","FOULISTR","FOULISTR","Y"
"PRIEQ","HFGBP","NR_PRF         ","2020-11-04 10:24:35","2020-11-04 10:24:35","FOULISTR","FOULISTR","Y"
"PRIEQ","HFGBP","NR_COL         ","2020-11-04 10:24:35","2020-11-04 10:24:35","FOULISTR","FOULISTR","Y"
"PRIEQ","HFGBP","NR_SAF         ","2020-11-04 10:24:35","2020-11-04 10:24:35","FOULISTR","FOULISTR","Y"
"PRFIN","HFGBP","NB_FUF         ","2020-11-04 10:26:15","2020-11-04 10:26:15","FOULISTR","FOULISTR","Y"
"PRFIN","HFGBP","NB_SAF         ","2020-11-04 10:26:15","2020-11-04 10:26:15","FOULISTR","FOULISTR","Y"
"PRFIN","HFGBP","NB_COL         ","2020-11-04 10:26:15","2020-11-04 10:26:15","FOULISTR","FOULISTR","Y"
"PRFIN","HFGBP","NB_PRE         ","2020-11-04 10:26:15","2020-11-04 10:26:15","FOULISTR","FOULISTR","Y"
"RELEN","HFGBP","RE_PRF         ","2020-11-04 10:27:35","2020-11-04 10:27:35","FOULISTR","FOULISTR","Y"
"RELEN","HFGBP","RE_COL         ","2020-11-04 10:27:35","2020-11-04 10:27:35","FOULISTR","FOULISTR","Y"
"RELEN","HFGBP","RE_SAF         ","2020-11-04 10:27:35","2020-11-04 10:27:35","FOULISTR","FOULISTR","Y"
"RELEN","HFGBP","RE_RES         ","2020-11-04 10:27:35","2020-11-04 10:27:35","FOULISTR","FOULISTR","Y"
"CORPF","HFGBP","TM_COL         ","2020-11-04 10:29:04","2020-11-04 10:29:04","FOULISTR","FOULISTR","Y"
"CORPF","HFGBP","TM_PRF         ","2020-11-04 10:29:04","2020-11-04 10:29:04","FOULISTR","FOULISTR","Y"
"CORPF","HFGBP","TM_SAF         ","2020-11-04 10:29:04","2020-11-04 10:29:04","FOULISTR","FOULISTR","Y"
"CORPF","HFGBP","TM_PRE         ","2020-11-04 10:29:04","2020-11-04 10:29:04","FOULISTR","FOULISTR","Y"
"LIQEU","HFIEU","GT141P         ","2020-05-06 14:58:08","2020-05-06 14:58:08","XMIRANDA","XMIRANDA","Y"
"SAM  ","AFSAU","BG_COL         ","2020-04-30 17:48:39","2020-04-30 17:48:39","XMIRANDA","XMIRANDA","Y"
"TEST ","AFSAU","BG_FRA         ","2020-04-30 17:53:41","2020-04-30 17:53:41","XMIRANDA","XMIRANDA","Y"
"BKGOV","HFIEU","BG_PRF         ","2020-01-29 01:06:50","2020-01-29 01:06:50","BRIANMOK","BRIANMOK","Y"
"BKGOV","HFIEU","BG_COL         ","2020-01-29 01:06:50","2020-01-29 01:06:50","BRIANMOK","BRIANMOK","Y"
"BKGOV","HFIEU","BG_SAF         ","2020-01-29 01:06:50","2020-01-29 01:06:50","BRIANMOK","BRIANMOK","Y"
"BPB  ","HFIEU","BP_CML         ","2020-01-29 01:07:20","2020-01-29 01:07:20","BRIANMOK","BRIANMOK","Y"
"BCF  ","HFIEU","BP_RES         ","2020-01-29 01:09:43","2020-01-29 01:09:43","BRIANMOK","BRIANMOK","Y"
"BCF  ","HFIEU","BP_PRE         ","2020-01-29 01:09:43","2020-01-29 01:09:43","BRIANMOK","BRIANMOK","Y"
"BCF  ","HFIEU","BP_SAF         ","2020-01-29 01:09:43","2020-01-29 01:09:43","BRIANMOK","BRIANMOK","Y"
"BCF  ","HFIEU","CS_PVT         ","2020-01-29 01:09:43","2020-01-29 01:09:43","BRIANMOK","BRIANMOK","Y"
"BCF  ","HFIEU","CS_OTH         ","2020-01-29 01:09:43","2020-01-29 01:09:43","BRIANMOK","BRIANMOK","Y"
"BCF  ","HFIEU","BP_COL         ","2020-01-29 01:09:43","2020-01-29 01:09:43","BRIANMOK","BRIANMOK","Y"
"BCF  ","HFIEU","BP_PRF         ","2020-01-29 01:09:43","2020-01-29 01:09:43","BRIANMOK","BRIANMOK","Y"
"DCM  ","HFIEU","DM_CFS         ","2020-01-29 01:12:41","2020-01-29 01:12:41","BRIANMOK","BRIANMOK","Y"
"DCM  ","HFIEU","DM_LMS         ","2020-01-29 01:12:41","2020-01-29 01:12:41","BRIANMOK","BRIANMOK","Y"
"DCM  ","HFIEU","DM_PSS         ","2020-01-29 01:12:41","2020-01-29 01:12:41","BRIANMOK","BRIANMOK","Y"
"SAF  ","HFIEU","IT_SAF         ","2020-01-29 01:18:43","2020-01-29 01:18:43","BRIANMOK","BRIANMOK","Y"
"SAF  ","HFIEU","IT_PRF         ","2020-01-29 01:18:43","2020-01-29 01:18:43","BRIANMOK","BRIANMOK","Y"
"SAF  ","HFIEU","IT_COL         ","2020-01-29 01:18:43","2020-01-29 01:18:43","BRIANMOK","BRIANMOK","Y"
"SAF  ","HFIEU","IT_FRA         ","2020-01-29 01:18:43","2020-01-29 01:18:43","BRIANMOK","BRIANMOK","Y"
"SAF  ","HFIEU","IT_AKD         ","2020-01-29 01:18:43","2020-01-29 01:18:43","BRIANMOK","BRIANMOK","Y"
"SAF  ","HFIEU","IT_QHE         ","2020-01-29 01:18:43","2020-01-29 01:18:43","BRIANMOK","BRIANMOK","Y"
"SAF  ","HFIEU","IT_DBU         ","2020-01-29 01:18:43","2020-01-29 01:18:43","BRIANMOK","BRIANMOK","Y"
"SAF  ","HFIEU","IT_PRE         ","2020-01-29 01:18:43","2020-01-29 01:18:43","BRIANMOK","BRIANMOK","Y"
"PRIEQ","HFIEU","NR_PRF         ","2020-01-29 01:19:40","2020-01-29 01:19:40","BRIANMOK","BRIANMOK","Y"
"PRIEQ","HFIEU","NR_COL         ","2020-01-29 01:19:40","2020-01-29 01:19:40","BRIANMOK","BRIANMOK","Y"
"RELEN","HFIEU","RE_COL         ","2020-01-29 01:28:01","2020-01-29 01:28:01","BRIANMOK","BRIANMOK","Y"
"PRIEQ","HFIEU","NR_SAF         ","2020-01-29 01:22:03","2020-01-29 01:22:03","BRIANMOK","BRIANMOK","Y"
"PRFIN","HFIEU","NB_FUF         ","2020-01-29 01:25:13","2020-01-29 01:25:13","BRIANMOK","BRIANMOK","Y"
"PRFIN","HFIEU","NB_SAF         ","2020-01-29 01:25:13","2020-01-29 01:25:13","BRIANMOK","BRIANMOK","Y"
"PRFIN","HFIEU","NB_COL         ","2020-01-29 01:25:13","2020-01-29 01:25:13","BRIANMOK","BRIANMOK","Y"
"PRFIN","HFIEU","NB_PRE         ","2020-01-29 01:25:13","2020-01-29 01:25:13","BRIANMOK","BRIANMOK","Y"
"RELEN","HFIEU","RE_PRF         ","2020-01-29 01:28:01","2020-01-29 01:28:01","BRIANMOK","BRIANMOK","Y"
"RELEN","HFIEU","RE_SAF         ","2020-01-29 01:28:01","2020-01-29 01:28:01","BRIANMOK","BRIANMOK","Y"
"RELEN","HFIEU","RE_RES         ","2020-01-29 01:28:01","2020-01-29 01:28:01","BRIANMOK","BRIANMOK","Y"
"CORPF","HFIEU","TM_COL         ","2020-01-29 01:29:27","2020-01-29 01:29:27","BRIANMOK","BRIANMOK","Y"
"CORPF","HFIEU","TM_PRF         ","2020-01-29 01:29:27","2020-01-29 01:29:27","BRIANMOK","BRIANMOK","Y"
"CORPF","HFIEU","TM_SAF         ","2020-01-29 01:29:27","2020-01-29 01:29:27","BRIANMOK","BRIANMOK","Y"
"CORPF","HFIEU","TM_PRE         ","2020-01-29 01:29:27","2020-01-29 01:29:27","BRIANMOK","BRIANMOK","Y"
"RTZ  ","AFSAU","IT_COL         ","2020-01-30 08:13:28","2020-01-30 08:13:28","WBAYERS ","WBAYERS ","Y"
"GTS  ","INTER","GTM191         ","2019-12-04 01:34:49","2019-12-04 01:34:49","BRIANMOK","BRIANMOK","Y"
"BCF  ","HFIAU","CS_OTH         ","2019-07-03 05:09:23","2019-07-03 05:09:23","KANDERSO","KANDERSO","Y"
"BKGOV","HFIAU","BG_FRA         ","2019-08-12 06:57:59","2019-08-12 06:57:59","ADM_DARR","ADM_DARR","Y"
"BKGOV","INTER","BG_FRA         ","2019-08-12 06:57:59","2019-08-12 06:57:59","ADM_DARR","ADM_DARR","Y"
"BKGOV","INTER","BG_MRC         ","2019-08-12 06:57:59","2019-08-12 06:57:59","ADM_DARR","ADM_DARR","Y"
"RELEN","HFIAU","RE_PRF         ","2019-04-05 13:07:14","2019-04-05 13:07:14","KANDERSO","KANDERSO","Y"
"RELEN","HFIAU","RE_RES         ","2019-04-05 13:07:14","2019-04-05 13:07:14","KANDERSO","KANDERSO","Y"
"RELEN","HFIAU","RE_COL         ","2019-04-05 13:07:14","2019-04-05 13:07:14","KANDERSO","KANDERSO","Y"
"PRFIN","HFIAU","NB_FUF         ","2019-04-05 13:12:33","2019-04-05 13:12:33","KANDERSO","KANDERSO","Y"
"PRFIN","HFIAU","NB_SAF         ","2019-04-05 13:12:33","2019-04-05 13:12:33","KANDERSO","KANDERSO","Y"
"PRFIN","HFIAU","NB_COL         ","2019-04-05 13:12:33","2019-04-05 13:12:33","KANDERSO","KANDERSO","Y"
"PRFIN","HFIAU","NB_PRE         ","2019-04-05 13:12:33","2019-04-05 13:12:33","KANDERSO","KANDERSO","Y"
"SAF  ","HFIAU","IT_SAF         ","2019-04-05 13:18:38","2019-04-05 13:18:38","KANDERSO","KANDERSO","Y"
"SAF  ","HFIAU","IT_PRF         ","2019-04-05 13:18:38","2019-04-05 13:18:38","KANDERSO","KANDERSO","Y"
"SAF  ","HFIAU","IT_COL         ","2019-04-05 13:18:38","2019-04-05 13:18:38","KANDERSO","KANDERSO","Y"
"SAF  ","HFIAU","IT_DBU         ","2019-04-05 13:18:38","2019-04-05 13:18:38","KANDERSO","KANDERSO","Y"
"SAF  ","HFIAU","IT_FRA         ","2019-04-05 13:18:38","2019-04-05 13:18:38","KANDERSO","KANDERSO","Y"
"SAF  ","HFIAU","IT_AKD         ","2019-04-05 13:18:38","2019-04-05 13:18:38","KANDERSO","KANDERSO","Y"
"SAF  ","HFIAU","IT_QHE         ","2019-04-05 13:18:38","2019-04-05 13:18:38","KANDERSO","KANDERSO","Y"
"SAF  ","INTER","IT_QVF         ","2019-04-05 13:18:38","2019-04-05 13:18:38","KANDERSO","KANDERSO","Y"
"SAF  ","INTER","IT_QVG         ","2019-04-05 13:18:38","2019-04-05 13:18:38","KANDERSO","KANDERSO","Y"
"SAF  ","INTER","IT_QVH         ","2019-04-05 13:18:38","2019-04-05 13:18:38","KANDERSO","KANDERSO","Y"
"SAF  ","INTER","IT_MRC         ","2019-04-05 13:18:38","2019-04-05 13:18:38","KANDERSO","KANDERSO","Y"
"SAF  ","INTER","IT_FIS         ","2019-04-05 13:18:38","2019-04-05 13:18:38","KANDERSO","KANDERSO","Y"
"SAF  ","INTER","IT_MGM         ","2019-04-05 13:18:38","2019-04-05 13:18:38","KANDERSO","KANDERSO","Y"
"SAF  ","INTER","IT_DBU         ","2019-04-05 13:18:38","2019-04-05 13:18:38","KANDERSO","KANDERSO","Y"
"SAF  ","INTER","IT_FRA         ","2019-04-05 13:18:38","2019-04-05 13:18:38","KANDERSO","KANDERSO","Y"
"SAF  ","INTER","IT_AKD         ","2019-04-05 13:18:38","2019-04-05 13:18:38","KANDERSO","KANDERSO","Y"
"SAF  ","INTER","IT_QHE         ","2019-04-05 13:18:38","2019-04-05 13:18:38","KANDERSO","KANDERSO","Y"
"CORPF","HFIAU","TM_PRF         ","2019-04-05 13:20:50","2019-04-05 13:20:50","KANDERSO","KANDERSO","Y"
"CORPF","HFIAU","TM_SAF         ","2019-04-05 13:20:50","2019-04-05 13:20:50","KANDERSO","KANDERSO","Y"
"CORPF","HFIAU","TM_COL         ","2019-04-05 13:20:50","2019-04-05 13:20:50","KANDERSO","KANDERSO","Y"
"CORPF","HFIAU","TM_PRE         ","2019-04-05 13:20:50","2019-04-05 13:20:50","KANDERSO","KANDERSO","Y"
"PRIEQ","HFIAU","NR_PRF         ","2019-04-05 13:23:50","2019-04-05 13:23:50","KANDERSO","KANDERSO","Y"
"PRIEQ","HFIAU","NR_COL         ","2019-04-05 13:23:50","2019-04-05 13:23:50","KANDERSO","KANDERSO","Y"
"PRIEQ","HFIAU","NR_SAF         ","2019-04-05 13:23:50","2019-04-05 13:23:50","KANDERSO","KANDERSO","Y"
"DCM  ","AFSAU","DM_CFS         ","2019-04-05 13:25:40","2019-04-05 13:25:40","KANDERSO","KANDERSO","Y"
"DCM  ","AFSAU","DM_LMS         ","2019-04-05 13:25:40","2019-04-05 13:25:40","KANDERSO","KANDERSO","Y"
"DCM  ","HFIAU","DM_CFS         ","2019-04-05 13:25:40","2019-04-05 13:25:40","KANDERSO","KANDERSO","Y"
"DCM  ","HFIAU","DM_LMS         ","2019-04-05 13:25:40","2019-04-05 13:25:40","KANDERSO","KANDERSO","Y"
"DCM  ","SYNAU","DM_LMS         ","2019-04-05 13:25:40","2019-04-05 13:25:40","KANDERSO","KANDERSO","Y"
"GTS  ","INTER","RB_WAL         ","2019-06-26 03:51:30","2019-06-26 03:51:30","ADM_PETE","ADM_PETE","Y"
"BPB  ","HFIAU","BP_CML         ","2019-04-05 13:27:40","2019-04-05 13:27:40","KANDERSO","KANDERSO","Y"
"BKGOV","HFIAU","BG_PRF         ","2019-04-05 13:28:55","2019-04-05 13:28:55","KANDERSO","KANDERSO","Y"
"BKGOV","HFIAU","BG_COL         ","2019-04-05 13:28:55","2019-04-05 13:28:55","KANDERSO","KANDERSO","Y"
"BKGOV","HFIAU","BG_SAF         ","2019-04-05 13:28:55","2019-04-05 13:28:55","KANDERSO","KANDERSO","Y"
"GTS  ","INTER","GTM111         ","2019-04-05 13:34:11","2019-04-05 13:34:11","KANDERSO","KANDERSO","Y"
"GTS  ","INTER","GTM121         ","2019-04-05 13:34:11","2019-04-05 13:34:11","KANDERSO","KANDERSO","Y"
"GTS  ","INTER","GTM81R         ","2019-04-05 13:34:11","2019-04-05 13:34:11","KANDERSO","KANDERSO","Y"
"GTS  ","INTER","GTM131         ","2019-04-05 13:34:11","2019-04-05 13:34:11","KANDERSO","KANDERSO","Y"
"GTS  ","INTER","GTM132         ","2019-04-05 13:34:11","2019-04-05 13:34:11","KANDERSO","KANDERSO","Y"
"GTS  ","INTER","GTM141         ","2019-04-05 13:34:11","2019-04-05 13:34:11","KANDERSO","KANDERSO","Y"
"GTS  ","INTER","GT141P         ","2019-04-05 13:34:11","2019-04-05 13:34:11","KANDERSO","KANDERSO","Y"
"GTS  ","INTER","GTM142         ","2019-04-05 13:34:11","2019-04-05 13:34:11","KANDERSO","KANDERSO","Y"
"GTS  ","INTER","GTM151         ","2019-04-05 13:34:11","2019-04-05 13:34:11","KANDERSO","KANDERSO","Y"
"GTS  ","INTER","GTM152         ","2019-04-05 13:34:11","2019-04-05 13:34:11","KANDERSO","KANDERSO","Y"
"GTS  ","INTER","GTM161         ","2019-04-05 13:34:11","2019-04-05 13:34:11","KANDERSO","KANDERSO","Y"
"GTS  ","INTER","GTM162         ","2019-04-05 13:34:11","2019-04-05 13:34:11","KANDERSO","KANDERSO","Y"
"GTS  ","INTER","GTM171         ","2019-04-05 13:34:11","2019-04-05 13:34:11","KANDERSO","KANDERSO","Y"
"GTS  ","INTER","GT171P         ","2019-04-05 13:34:11","2019-04-05 13:34:11","KANDERSO","KANDERSO","Y"
"GTS  ","INTER","GTM172         ","2019-04-05 13:34:11","2019-04-05 13:34:11","KANDERSO","KANDERSO","Y"
"GTS  ","INTER","GTM181         ","2019-04-05 13:34:11","2019-04-05 13:34:11","KANDERSO","KANDERSO","Y"
"GTS  ","INTER","GTS101         ","2019-04-05 13:34:11","2019-04-05 13:34:11","KANDERSO","KANDERSO","Y"
"GTS  ","INTER","GTS102         ","2019-04-05 13:34:11","2019-04-05 13:34:11","KANDERSO","KANDERSO","Y"
"GTS  ","INTER","GTS111         ","2019-04-05 13:34:11","2019-04-05 13:34:11","KANDERSO","KANDERSO","Y"
"SAF  ","HFIAU","IT_PRE         ","2019-06-26 03:48:36","2019-06-26 03:48:36","ADM_PETE","ADM_PETE","Y"
"RELEN","HFIAU","RE_SAF         ","2019-06-26 03:49:11","2019-06-26 03:49:11","ADM_PETE","ADM_PETE","Y"
