EFP_RID_FEE_PAYMNT,EFP_AMT_ACTUAL,EFP_AMT_REQUESTED,EFP_CDE_CURRENCY,EFP_CDE_OBJ_STATE,EFP_CDE_OB_ST_CAT,EFP_CDE_OWNER_TYPE,EFP_CDE_FEE_TYPE,EFP_DTE_EFFECTIVE,EFP_PID_DEAL,EFP_RID_OWNER,EFP_UID_REC_CREATE,EFP_UID_REC_UPDATE,EFP_TSP_REC_CREATE,EFP_TSP_REC_UPDATE,EFP_IND_DISTRIBUTE,EFP_IND_PMT_FR_BOR,EFP_RID_PAID_BY_SG,EFP_CID_PAID_BY,EFP_IND_HB_WVE_FEE,EFP_CDE_EXPENSE,EFP_RID_GROUP,EFP_CDE_GROUP_TYPE,EFP_CDE_PURPOSE,EFP_TXT_SYSGN_TEXT,EFP_CDE_FREQUENCY,EFP_CDE_INCOM_RECG,EFP_RID_NEXT_OCCUR,EFP_RID_ROOT_EVFEE,EFP_CDE_EOM_RULE,EFP_CDE_NONBUS_DAY,EFP_DTE_AC_NXT_OCR,EFP_DTE_ADJ_NXT_OC,EFP_DTE_AMORT_EXP,EFP_DTE_INCOM_RECG,EFP_DTE_FINAL_RECR,EFP_AMT_WAIVED,EFP_IND_BILL_BORR,EFP_IND_DONT_MAIL,EFP_IND_DONT_PRNT,EFP_NUM_BILL_DAYS,EFP_RID_ORIG_PYMT,EFP_AMT_MAX_REVER,EFP_DTE_PYMT_DUE,EFP_IND_RLS_PYMT,EFP_IND_INC_XMLBIL,EFP_TXT_SYS_SOURCE,EFP_IND_CARE_OF,EFP_IND_REIMBURSE,EFP_RID_LINKD_FEE,EFP_CDE_BRANCH
9)EHDETD,1000,1000,EUR,RELSD,ACTUA,"FAC  ",ARRAN,2020-07-09 00:00:00,9ZEF82FK,9ZEF82GL,JAQUITAN,JANICEA1,2020-10-01 10:12:15,2020-10-01 10:14:21,Y,Y,9ZEF82FE,ZHEF7YY1,N,,,,ARRAN," ",,"TKIP ",,9)EHDETD,,MNEXT,,,,,,0,N,N,N,10,,,2020-07-09 00:00:00,Y,N,,N,N,,CG852
G2EGNMP5,1000,1000,EUR,RELSD,ACTUA,"FAC  ",ARRAN,2020-06-25 00:00:00,9ZEF82FK,9ZEF82GL,JAQUITAN,JANICEA1,2020-09-17 12:55:06,2020-09-17 19:12:35,Y,Y,9ZEF82FE,ZHEF7YY1,N,,,,ARRAN," ",,"TKIP ",,G2EGNMP5,,MNEXT,,,,,,0,N,N,N,10,,,2020-06-25 00:00:00,Y,N,,N,N,,CG852
+2EFZSQE,-1000,1000,EUR,RELSD,ACTUA,"FAC  ",ARRAN,2020-06-01 00:00:00,9ZEF82FK,9ZEF82GL,JANICEA1,JAQUITAN,2020-09-04 16:39:49,2020-09-04 16:53:16,Y,Y,9ZEF82FE,ZHEF7YY1,N,,,,"REFP "," ",,"TKIP ",,+2EFZSQE,,MNEXT,,,,,,0,N,N,N,10,+IEFZRHG,1000,2020-06-01 00:00:00,Y,N,,N,N,,CG852
P9EGO62T,-1000,1000,EUR,RELSD,ACTUA,"FAC  ",ARRAN,2020-06-25 00:00:00,9ZEF82FK,9ZEF82GL,JAQUITAN,JANICEA1,2020-09-17 19:10:48,2020-09-17 19:12:35,Y,Y,9ZEF82FE,ZHEF7YY1,N,,,,"REFP "," ",,"TKIP ",,P9EGO62T,,MNEXT,,,,,,0,N,N,N,10,G2EGNMP5,1000,2020-06-25 00:00:00,Y,N,,N,N,,CG852
+)EH9YF8,1000,1000,EUR,RELSD,ACTUA,"FAC  ",ARRAN,2020-07-08 00:00:00,9ZEF82FK,9ZEF82GL,JAQUITAN,JANICEA1,2020-09-29 13:50:29,2020-10-01 10:09:06,Y,Y,9ZEF82FE,ZHEF7YY1,N,,,,ARRAN," ",,"TKIP ",,+)EH9YF8,,MNEXT,,,,,,0,N,N,N,10,,,2020-07-08 00:00:00,Y,N,,N,N,,CG852
7-EFL1V8,0,0,EUR,"PEND ",POTEN,"OST  ",BFFEE,2020-05-29 00:00:00,@EEFGXO8,7(EFL02I,MANZANOS,MANZANOS,2020-08-27 17:12:16,2020-08-27 17:12:16,Y,Y,)0EF8ARV,)?EF8978,N,,,,"BORR ","Breakfunding caused by release of Euro LIBOR Option Reverse Initial Drawdown (60000568).  ",,"TKIP ",,7-EFL1V8,,MNEXT,,,,,,0,N,N,N,10,7-EFL1V8,,2020-05-29 00:00:00,Y,N,,N,N,,CG852
?0EFKXMV,0,0,EUR,"PEND ",POTEN,"OST  ",BFFEE,2020-05-28 00:00:00,@EEFGXO8,DGEFKGBP,JANICEA2,JANICEA2,2020-08-27 15:02:16,2020-08-27 15:02:16,Y,Y,)0EF8ARV,)?EF8978,N,,,,"BORR ","Breakfunding caused by release of Euro LIBOR Option Reverse Initial Drawdown (60000555).  ",,"TKIP ",,?0EFKXMV,,MNEXT,,,,,,0,N,N,N,10,?0EFKXMV,,2020-05-28 00:00:00,Y,N,,N,N,,CG852
I2EI24S6,0,0,NOK,"PEND ",POTEN,"OST  ",BFFEE,2021-03-05 00:00:00,D3EI1MRL,STEI1SBR,JAQUITAN,JAQUITAN,2020-10-14 19:46:06,2020-10-14 19:46:06,Y,N,7NE4CQON,?ZE4CIA6,N,,,,"BORR ","Breakfunding caused by release of NIBOR Option Reverse Initial Drawdown (60001207).  ",,"TKIP ",,I2EI24S6,,MNEXT,,,,,,0,N,N,N,10,I2EI24S6,,2021-03-05 00:00:00,Y,N,,N,N,,CG852
9OEHDMVD,0,0,EUR,"PEND ",POTEN,"OST  ",BFFEE,2020-07-07 00:00:00,IREFMCO3,Q?EH8BEI,LIQUSR05,LIQUSR05,2020-10-01 12:35:51,2020-10-01 12:35:51,Y,Y,)0EF8ARV,)?EF8978,N,,,,"BORR ","Breakfunding caused by release of Euro LIBOR Option Reverse Initial Drawdown (60001032).  ",,"TKIP ",,9OEHDMVD,,MNEXT,,,,,,0,N,N,N,10,9OEHDMVD,,2020-07-07 00:00:00,Y,N,,N,N,,CG852
?EEHN4C3,0,0,EUR,"PEND ",POTEN,"OST  ",BFFEE,2020-07-08 00:00:00,IREFMCO3,+.EHA6G1,LIQUSR05,LIQUSR05,2020-10-06 13:19:51,2020-10-06 13:19:51,Y,Y,)0EF8ARV,)?EF8978,N,,,,"BORR ","Breakfunding caused by release of Euro LIBOR Option Reverse Initial Drawdown (60001042).  ",,"TKIP ",,?EEHN4C3,,MNEXT,,,,,,0,N,N,N,10,?EEHN4C3,,2020-07-08 00:00:00,Y,N,,N,N,,CG852
G)EHQHO4,0,0,EUR,"PEND ",POTEN,"OST  ",BFFEE,2020-07-09 00:00:00,IREFMCO3,92EHDFN1,LIQUSR02,LIQUSR02,2020-10-08 09:51:03,2020-10-08 09:51:03,Y,Y,)0EF8ARV,)?EF8978,N,,,,"BORR ","Breakfunding caused by release of Euro LIBOR Option Reverse Initial Drawdown (60001065).  ",,"TKIP ",,G)EHQHO4,,MNEXT,,,,,,0,N,N,N,10,G)EHQHO4,,2020-07-09 00:00:00,Y,N,,N,N,,CG852
G)EHQHSQ,0,0,NOK,"PEND ",POTEN,"OST  ",BFFEE,2020-07-09 00:00:00,IREFMCO3,N$EHN6TC,LIQUSR02,LIQUSR02,2020-10-08 09:52:38,2020-10-08 09:52:38,Y,Y,)0EF8ARV,)?EF8978,N,,,,"BORR ","Breakfunding caused by release of NIBOR Option Reverse Initial Drawdown (60001110).  ",,"TKIP ",,G)EHQHSQ,,MNEXT,,,,,,0,N,N,N,10,G)EHQHSQ,,2020-07-09 00:00:00,Y,N,,N,N,,CG852
;REHIZSM,0,0,NOK,"PEND ",POTEN,"OST  ",BFFEE,2020-07-07 00:00:00,IREFMCO3,QWEH86Y0,RPTSUP01,RPTSUP01,2020-10-04 11:30:43,2020-10-04 11:30:43,Y,Y,)0EF8ARV,)?EF8978,N,,,,"BORR ","Breakfunding caused by release of NIBOR Option Reverse Initial Drawdown (60001031).  ",,"TKIP ",,;REHIZSM,,MNEXT,,,,,,0,N,N,N,10,;REHIZSM,,2020-07-07 00:00:00,Y,N,,N,N,,CG852
"#XEHOMCY",0,0,EUR,"PEND ",POTEN,"OST  ",BFFEE,2020-07-07 00:00:00,IREFMCO3,Q-EH8CKE,LIQSVR04,LIQSVR04,2020-10-07 08:43:23,2020-10-07 08:43:23,Y,Y,)0EF8ARV,)?EF8978,N,,,,"BORR ","Breakfunding caused by release of Euro LIBOR Option Reverse Initial Drawdown (60001033).  ",,"TKIP ",,"#XEHOMCY",,MNEXT,,,,,,0,N,N,N,10,"#XEHOMCY",,2020-07-07 00:00:00,Y,N,,N,N,,CG852
JUEFF52E,0,0,EUR,"PEND ",POTEN,"OST  ",BFFEE,2020-05-27 00:00:00,S#EESVPY,7)EETAU9,RPTSUP01,RPTSUP01,2020-08-24 11:57:02,2020-08-24 11:57:02,Y,Y,S#EESVPO,SIEESUTN,N,,,,"BORR ","Breakfunding caused by release of Euro LIBOR Option Principal Payment (60000131).  ",,"TKIP ",,JUEFF52E,,MNEXT,,,,,,0,N,N,N,10,JUEFF52E,,2020-05-27 00:00:00,Y,N,,N,N,,CG852
+QEFZVNR,500,500,EUR,RELSD,ACTUA,"OST  ",BFFEE,2020-06-01 00:00:00,S#EESVPY,0-EFZSFV,RPTSUP01,CMARTILL,2020-09-04 17:42:37,2020-09-09 11:51:16,Y,Y,S#EESVPO,SIEESUTN,N,,,,"BORR ",Breakfunding caused by release of Euro LIBOR Option Principal Payment (60000657).,,"TKIP ",,+QEFZVNR,,MNEXT,,,,,,0,N,N,N,10,+QEFZVNR,,2020-06-01 00:00:00,Y,N,,N,N,,CG852
XNEFLF3Y,0,0,EUR,"PEND ",POTEN,"OST  ",BFFEE,2020-05-27 00:00:00,S#EESVPY,7)EETFNR,RPTSUP01,RPTSUP01,2020-08-27 22:17:59,2020-08-27 22:17:59,Y,Y,S#EESVPO,SIEESUTN,N,,,,"BORR ","Breakfunding caused by release of Euro LIBOR Option Reverse Initial Drawdown (60000132).  ",,"TKIP ",,XNEFLF3Y,,MNEXT,,,,,,0,N,N,N,10,XNEFLF3Y,,2020-05-27 00:00:00,Y,N,,N,N,,CG852
+.EHBYEZ,0,0,EUR,"PEND ",POTEN,"OST  ",BFFEE,2020-05-29 00:00:00,V8EF4706,F?EF7SNQ,LIQUSR05,LIQUSR05,2020-09-30 14:50:28,2020-09-30 14:50:28,Y,Y,V8EF470J,5QEF3VVU,N,,,,"BORR ","Breakfunding caused by release of Euro LIBOR Option Principal Payment (60000365).  ",,"TKIP ",,+.EHBYEZ,,MNEXT,,,,,,0,N,N,N,10,+.EHBYEZ,,2020-05-29 00:00:00,Y,N,,N,N,,CG852
JIEHZTLN,1500,1500,EUR,RELSD,ACTUA,"OST  ",BFFEE,2021-03-01 00:00:00,V8EF4706,JIEHZR6V,LIQUSR05,LIQUSR05,2020-10-13 11:09:17,2020-10-13 13:50:32,Y,Y,V8EF470J,5QEF3VVU,N,,,,"BORR ",Breakfunding caused by release of Euro LIBOR Option Principal Payment (60001179).,,"TKIP ",,JIEHZTLN,,MNEXT,,,,,,0,N,N,N,10,JIEHZTLN,,2021-03-01 00:00:00,Y,N,,N,N,,CG852
IHEFMJ3K,0,0,EUR,"PEND ",POTEN,"OST  ",BFFEE,2020-05-27 00:00:00,V8EF4706,ZIEF9M9Y,LIQUSR05,LIQUSR05,2020-08-28 09:52:06,2020-08-28 09:52:06,Y,Y,V8EF470J,5QEF3VVU,N,,,,"BORR ","Breakfunding caused by release of Rollover/Conversion from EURLI (60000418).  ",,"TKIP ",,IHEFMJ3K,,MNEXT,,,,,,0,N,N,N,10,IHEFMJ3K,,2020-05-27 00:00:00,Y,N,,N,N,,CG852
IHEFMKC1,0,0,EUR,"PEND ",POTEN,"OST  ",BFFEE,2020-05-29 00:00:00,V8EF4706,"!ZEF5V91",LIQUSR05,LIQUSR05,2020-08-28 11:08:27,2020-08-28 11:08:27,Y,Y,V8EF470J,5QEF3VVU,N,,,,"BORR ","Breakfunding caused by release of Rollover/Conversion from EURLI (60000297).  ",,"TKIP ",,IHEFMKC1,,MNEXT,,,,,,0,N,N,N,10,IHEFMKC1,,2020-05-29 00:00:00,Y,N,,N,N,,CG852
X6EFL6T4,0,0,EUR,"PEND ",POTEN,"OST  ",BFFEE,2020-05-29 00:00:00,YZEFEWH5,XKEFL4Z3,MANZANOS,MANZANOS,2020-08-27 19:18:25,2020-08-27 19:18:25,Y,Y,)0EF8ARV,)?EF8978,N,,,,"BORR ","Breakfunding caused by release of Euro LIBOR Option Reverse Initial Drawdown (60000579).  ",,"TKIP ",,X6EFL6T4,,MNEXT,,,,,,0,N,N,N,10,X6EFL6T4,,2020-05-29 00:00:00,Y,N,,N,N,,CG852
