SCH_RID_SCHEDULE,SCH_NUM_TRAN_RLSD,SCH_RID_OWNER,SCH_CDE_OWNER_TYPE,SCH_TSP_REC_CREATE,SCH_TSP_REC_UPDATE,SCH_UID_REC_CREATE,SCH_UID_REC_UPDATE,SCH_CDE_OBJ_STATE,SCH_CDE_BAL_TYPE,SCH_AMT_MIN_MULT,SCH_IND_BILL_BORR,SCH_NUM_BILL_DAYS,SCH_TXT_SCH_TYPE,SCH_NUM_AMORT_PRDS,SCH_DTE_SCHEDULED,SCH_AMT_FIXED,SCH_AMT_RESIDUAL,SCH_IND_UNCOND_AMT,SCH_AMT_RAMORT_THD,SCH_DTE_AMORT_END,SCH_AMT_PREV_FIXED,SCH_NUM_INTERVALS,SCH_IND_ACHG_LASTP,SCH_CDE_BRANCH
0JEGNQ0L,0,0JEGNPY5,"FAC  ",2020-09-17 13:13:50,2020-09-17 13:13:50,SMANZANO,SMANZANO,RELSD,FCOMM,0,N,10,,0,,0,0,N,0,,0,,N,CG852
34EITJ7P,0,34EITJ7N,"FAC  ",2020-10-29 14:52:30,2020-10-29 14:52:30,"TESTINP ","TESTINP ",RELSD,FCOMM,0,N,10,"Months              ",0,,0,0,N,0,,0,,N,CG852
38EHZONG,0,38EHZOL4,"FAC  ",2020-10-13 10:58:47,2020-10-13 10:58:47,JAQUITAN,JAQUITAN,RELSD,FCOMM,0,N,10,,0,,0,0,N,0,,0,,N,CG852
3=EHZP7R,0,3=EHZP5B,"OST  ",2020-10-13 11:08:25,2020-10-13 11:08:25,JAQUITAN,JAQUITAN,RELSD,"PRIN ",0,N,10,"                    ",0,,0,0,N,0,,0,,N,CG852
3GEICZBY,0,3GEICZA7,FCTRN,2020-10-20 16:22:14,2020-10-20 16:22:14,SMANZANO,SMANZANO,REVEW,FCOMM,0,N,10,,0,,0,0,N,0,,0,,N,
3GEID092,0,3GEID07G,FCTRN,2020-10-20 16:51:16,2020-10-20 16:51:16,SMANZANO,SMANZANO,RELSD,FCOMM,0,N,10,,0,,0,0,N,0,,0,,N,
3GEID095,0,3GEID07F,FCTRN,2020-10-20 16:51:16,2020-10-20 16:51:16,SMANZANO,SMANZANO,RELSD,FCOMM,0,N,10,,0,,0,0,N,0,,0,,N,CG852
3GEID0F9,0,3GEID0DI,FCTRN,2020-10-20 16:54:54,2020-10-20 16:54:54,SMANZANO,SMANZANO,RELSD,FCOMM,0,N,10,,0,,0,0,N,0,,0,,N,
3GEID0FC,0,3GEID0DH,FCTRN,2020-10-20 16:54:54,2020-10-20 16:54:54,SMANZANO,SMANZANO,RELSD,FCOMM,0,N,10,,0,,0,0,N,0,,0,,N,CG852
3SEICY6I,0,3SEICY4R,FCTRN,2020-10-20 16:06:30,2020-10-20 16:06:30,SMANZANO,SMANZANO,RELSD,FCOMM,0,N,10,,0,,0,0,N,0,,0,,N,
3SEICY6L,0,3SEICY4Q,FCTRN,2020-10-20 16:06:30,2020-10-20 16:06:30,SMANZANO,SMANZANO,RELSD,FCOMM,0,N,10,,0,,0,0,N,0,,0,,N,CG852
3SEICYEN,0,3SEICYCW,FCTRN,2020-10-20 16:11:22,2020-10-20 16:11:22,SMANZANO,SMANZANO,REVEW,FCOMM,0,N,10,,0,,0,0,N,0,,0,,N,
4.EHBR2Y,0,4.EHBQJE,"OST  ",2020-09-30 14:11:15,2020-09-30 14:28:58,CMARTILL,CMARTILL,REVEW,PRINI,0,N,10,"QUA                 ",0,2020-10-09 00:00:00,8600,0,N,0,,0,,N,CG852
40EJGK6B,1,40EJGK4P,FCTRN,2020-11-11 01:29:05,2020-11-11 01:29:05,INPAMT02,INPAMT02,REVEW,FCOMM,0,N,10,"Non Standard        ",0,,0,0,N,0,,0,,N,
42EHSA2C,0,42EHSA2A,"FAC  ",2020-10-09 11:24:37,2020-10-09 11:24:37,LIQUSR03,LIQUSR03,RELSD,FCOMM,0,N,10,,0,,0,0,N,0,,0,,N,CG852
56EJEKUD,0,5JEJEJQZ,"FAC  ",2020-11-10 00:05:54,2020-11-10 00:05:54,CESSINP1,CESSINP1,RELSD,FCOMM,0,N,10,,0,,0,0,N,0,,0,,N,CG852
5LEJEM16,0,5LEJELY3,"FAC  ",2020-11-10 00:16:08,2020-11-10 00:16:08,CESSINP1,CESSINP1,RELSD,FCOMM,0,N,10,,0,,0,0,N,0,,0,,N,CG852
5XEF2ZOL,0,5XEF2ZMZ,FCTRN,2020-08-17 23:25:44,2020-08-17 23:25:44,"INPCHER ","INPCHER ",RELSD,FCOMM,0,N,10,,0,,0,0,N,0,,0,,N,
6YEIVE3G,0,6YEIVDYQ,"OST  ",2020-10-30 14:53:55,2020-10-30 14:53:55,"TESTINP ","TESTINP ",RELSD,"FLEX ",0,N,10,"Non Standard        ",0,,0,0,N,0,,0,,N,CG852
91EF85O0,0,Z5EF829L,"OST  ",2020-08-20 17:26:46,2020-08-20 17:26:46,CMARTILL,CMARTILL,RELSD,PRINI,0,N,10,"DAL                 ",0,2020-05-28 00:00:00,10000,0,N,0,,0,,N,CG852
:+EH7WGX,0,:+EH7WBA,"OST  ",2020-09-28 12:15:23,2020-09-28 12:15:23,SMANZANO,SMANZANO,RELSD,PRINI,0,N,10,"QUA                 ",0,2020-10-07 00:00:00,19000,0,N,0,,0,,N,CG852
:+EH7X42,0,:+EH7WYB,"OST  ",2020-09-28 12:18:38,2020-09-28 12:18:38,SMANZANO,SMANZANO,RELSD,PRINI,0,N,10,"DAL                 ",0,2020-07-08 00:00:00,20000,0,N,0,,0,,N,CG852
:+EH8RSO,0,:+EH8RLZ,"OST  ",2020-09-28 12:32:25,2020-09-28 12:32:25,SMANZANO,SMANZANO,RELSD,PRINI,0,N,10,"DAL                 ",0,2020-07-08 00:00:00,21000,0,N,0,,0,,N,CG852
:-EIIMO3,1,IKEI224J,"FAC  ",2020-10-23 17:27:38,2020-10-23 18:09:41,MANZANOS,MANZANOS,RELSD,FCOMM,0,N,10,"Non Standard        ",0,,0,0,N,0,,0,,N,CG852
:.EI39VF,0,B4EI393N,"FAC  ",2020-10-15 10:53:33,2020-10-20 16:54:54,LIQUSR03,SMANZANO,REVEW,FCOMM,0,N,10,,0,,0,0,N,0,,0,,N,CG852
:6EI3G48,0,:6EI3G1H,"FAC  ",2020-10-15 11:21:40,2020-10-15 11:21:40,LIQUSR03,LIQUSR03,RELSD,FCOMM,0,N,10,"Non Standard        ",0,,0,0,N,0,,0,,N,CG852
::EIINWM,1,::EIINUV,FCTRN,2020-10-23 17:32:38,2020-10-23 17:32:38,SMANZANO,SMANZANO,RELSD,FCOMM,0,N,10,"Non Standard        ",0,,0,0,N,0,,0,,N,
::EIINWN,1,::EIINUU,FCTRN,2020-10-23 17:32:38,2020-10-23 17:32:38,SMANZANO,SMANZANO,RELSD,FCOMM,0,N,10,"Non Standard        ",0,,0,0,N,0,,0,,N,CG852
:IEIIMAK,0,:IEIIM8I,FCTRN,2020-10-23 17:25:44,2020-10-23 17:25:44,SMANZANO,SMANZANO,RELSD,FCOMM,0,N,10,"Non Standard        ",0,,0,0,N,0,,0,,N,CG852
:LEIIOQH,1,:LEIIOOQ,FCTRN,2020-10-23 17:36:38,2020-10-23 17:36:38,SMANZANO,SMANZANO,REVEW,FCOMM,0,N,10,"Non Standard        ",0,,0,0,N,0,,0,,N,
:LEIIOQI,1,:LEIIOOP,FCTRN,2020-10-23 17:36:38,2020-10-23 17:36:38,SMANZANO,SMANZANO,REVEW,FCOMM,0,N,10,"Non Standard        ",0,,0,0,N,0,,0,,N,CG852
:OEI3ARF,0,:OEI3APO,FCTRN,2020-10-15 10:57:27,2020-10-15 10:57:27,LIQUSR03,LIQUSR03,RELSD,FCOMM,0,N,10,,0,,0,0,N,0,,0,,N,
:OEI3ARI,0,:OEI3APN,FCTRN,2020-10-15 10:57:27,2020-10-15 10:57:27,LIQUSR03,LIQUSR03,RELSD,FCOMM,0,N,10,,0,,0,0,N,0,,0,,N,CG852
=)EIEW3Q,0,=)EIEW1Z,FCTRN,2020-10-21 17:16:57,2020-10-21 17:16:57,SMANZANO,SMANZANO,REVEW,FCOMM,0,N,10,,0,,0,0,N,0,,0,,N,
=)EIEW3T,0,=)EIEW1Y,FCTRN,2020-10-21 17:16:57,2020-10-21 17:16:57,SMANZANO,SMANZANO,REVEW,FCOMM,0,N,10,,0,,0,0,N,0,,0,,N,CG852
=+EI1L4W,0,=+EI1JPZ,"FAC  ",2020-10-14 11:40:44,2020-10-14 15:38:53,SMANZANO,MANZANOS,RELSD,FCOMM,0,N,10,,0,,0,0,N,0,,0,,N,CG852
=DEGZICI,0,=DEGZIAW,FCTRN,2020-09-23 23:28:53,2020-09-23 23:28:53,"JCUSR01 ","JCUSR01 ",RELSD,FCOMM,0,N,10,"Non Standard        ",0,,0,0,N,0,,0,,N,
@!EFH704,0,(7EFHH3M,"OST  ",2020-08-25 15:32:39,2020-08-25 15:32:39,RPTMGR01,RPTMGR01,RELSD,PRINI,0,N,10,"D2                  ",0,2020-05-28 00:00:00,1500,0,N,0,,0,,N,CG852
@3EITP8V,0,@3EITP45,"OST  ",2020-10-29 16:02:11,2020-10-29 16:02:11,"TESTINP ","TESTINP ",RELSD,"FLEX ",0,N,10,"Non Standard        ",0,,0,0,N,0,,0,,N,CG852
@9EHZSTH,0,@9EHZSR7,"FAC  ",2020-10-13 13:02:11,2020-10-13 13:02:11,JAQUITAN,JAQUITAN,RELSD,FCOMM,0,N,10,,0,,0,0,N,0,,0,,N,CG852
B5EHOOPC,0,B5EHOOHX,"OST  ",2020-10-07 13:49:03,2020-10-07 13:49:03,CMARTILL,CMARTILL,RELSD,PRINI,0,N,10,"QUA                 ",0,2020-10-09 00:00:00,7490,0,N,0,,0,,N,CG852
C6EI003E,0,C6EHZZZO,"FAC  ",2020-10-13 16:03:50,2020-10-13 16:03:50,JAQUITAN,JAQUITAN,RELSD,FCOMM,0,N,10,,0,,0,0,N,0,,0,,N,CG852
CKEHZVEC,0,CKEHZVC2,"FAC  ",2020-10-13 14:37:33,2020-10-13 14:37:33,JAQUITAN,JAQUITAN,RELSD,FCOMM,0,N,10,,0,,0,0,N,0,,0,,N,CG852
CNEI008H,0,CNEHZZU5,"FAC  ",2020-10-13 16:36:34,2020-10-13 16:36:34,RPTINP01,RPTINP01,RELSD,FCOMM,0,N,10,,0,,0,0,N,0,,0,,N,CG852
DAEI1SLC,0,DAEI1SJQ,FCTRN,2020-10-14 13:04:02,2020-10-14 13:04:02,SMANZANO,SMANZANO,RELSD,FCOMM,0,N,10,,0,,0,0,N,0,,0,,N,
DAEI1SLF,0,DAEI1SJP,FCTRN,2020-10-14 13:04:02,2020-10-14 13:04:02,SMANZANO,SMANZANO,RELSD,FCOMM,0,N,10,,0,,0,0,N,0,,0,,N,CG852
DKEI1TEJ,0,DKEI1TCX,FCTRN,2020-10-14 13:11:07,2020-10-14 13:11:07,SMANZANO,SMANZANO,REVEW,FCOMM,0,N,10,,0,,0,0,N,0,,0,,N,
DKEI1TEM,0,DKEI1TCW,FCTRN,2020-10-14 13:11:07,2020-10-14 13:11:07,SMANZANO,SMANZANO,REVEW,FCOMM,0,N,10,,0,,0,0,N,0,,0,,N,CG852
DTEI1UFD,0,DTEI1UDR,FCTRN,2020-10-14 13:48:19,2020-10-14 13:48:19,SMANZANO,SMANZANO,RELSD,FCOMM,0,N,10,,0,,0,0,N,0,,0,,N,
DTEI1UFG,0,DTEI1UDQ,FCTRN,2020-10-14 13:48:19,2020-10-14 13:48:19,SMANZANO,SMANZANO,RELSD,FCOMM,0,N,10,,0,,0,0,N,0,,0,,N,CG852
E+EF9K06,0,E+EF9JYK,FCTRN,2020-08-21 12:31:15,2020-08-21 12:31:15,"JCUSR01 ","JCUSR01 ",RELSD,FCOMM,0,N,10,"Non Standard        ",0,,0,0,N,0,,0,,N,
E?EIAVNC,0,E?EIAVKO,"OST  ",2020-10-19 13:04:21,2020-10-19 13:04:21,ARFELI01,ARFELI01,RELSD,PRINI,0,N,10,"MON                 ",0,2021-04-08 00:00:00,769.23,0,N,0,,0,,N,CG852
EGEF9J7C,0,EGEF9J5Q,FCTRN,2020-08-21 11:03:36,2020-08-21 11:03:36,"JCUSR01 ","JCUSR01 ",RELSD,FCOMM,0,N,10,"Non Standard        ",0,,0,0,N,0,,0,,N,
G$EGNIXH,0,G$EGNIUB,"FAC  ",2020-09-17 11:55:55,2020-09-17 11:55:55,JAQUITAN,JAQUITAN,RELSD,FCOMM,0,N,10,,0,,0,0,N,0,,0,,N,CG852
GREGNHWI,0,GREGNHU7,"FAC  ",2020-09-17 11:28:23,2020-09-17 11:28:23,JAQUITAN,JAQUITAN,RELSD,FCOMM,0,N,10,,0,,0,0,N,0,,0,,N,CG852
H+EFJ200,0,H+EFJ1OL,"OST  ",2020-08-26 15:38:33,2020-09-04 16:16:20,LIQUSR03,LIQAPCP3,REVEW,PRINI,0,N,10,"QUA                 ",0,2020-08-28 00:00:00,87500,0,N,0,,0,,N,CG852
H+EFJ2VQ,2,H+EFJ25O,"OST  ",2020-08-26 15:53:25,2020-09-03 16:25:42,LIQUSR03,LIQUSR03,RELSD,PRINI,0,N,10,"DAL                 ",0,2020-05-29 00:00:00,1577.91,0,N,0,,0,,N,CG852
H+EFYX7T,3,H+EFJ2J9,"OST  ",2020-08-26 15:54:58,2020-09-04 16:34:08,LIQUSR03,LIQUSR03,RELSD,PRINI,0,N,10,"DAL                 ",0,2020-05-29 00:00:00,1183.43,0,N,0,,0,,N,CG852
I-EI25BS,0,I-EI259A,"FAC  ",2020-10-14 20:03:11,2020-10-20 16:51:16,SMANZANO,SMANZANO,REVEW,FCOMM,0,N,10,,0,,0,0,N,0,,0,,N,CG852
IKEI223Y,0,IKEI2227,FCTRN,2020-10-14 19:06:45,2020-10-14 19:06:45,SMANZANO,SMANZANO,RELSD,FCOMM,0,N,10,,0,,0,0,N,0,,0,,N,
IKEI2241,0,IKEI2226,FCTRN,2020-10-14 19:06:45,2020-10-14 19:06:45,SMANZANO,SMANZANO,RELSD,FCOMM,0,N,10,,0,,0,0,N,0,,0,,N,CG852
NPEI1VR0,0,NPEI1VIS,"FAC  ",2020-10-14 16:51:39,2020-10-14 16:51:39,JAQUITAN,JAQUITAN,RELSD,FCOMM,0,N,10,,0,,0,0,N,0,,0,,N,CG852
OCEGCHGY,0,OCEGCH22,"OST  ",2020-09-11 13:10:39,2020-09-11 13:10:39,SMANZANO,SMANZANO,RELSD,PRINI,0,N,10,"D2                  ",0,2020-06-22 00:00:00,124000,0,N,0,,0,,N,CG852
OGEGCLJN,0,OGEGCLGB,"OST  ",2020-09-11 13:27:42,2020-09-11 13:27:42,JAQUITAN,JAQUITAN,RELSD,PRINI,0,N,10,"D2                  ",0,2020-06-22 00:00:00,2887.14,0,N,0,,0,,N,CG852
OWEGCGZM,0,OWEGCGX4,"OST  ",2020-09-11 12:19:55,2020-09-30 18:07:43,CMARTILL,RPTSUP01,REVEW,PRINI,0,N,10,"D2                  ",0,2020-06-22 00:00:00,920,0,N,0,,920,,N,CG852
OWEGCHIM,0,OWEGCHFR,"OST  ",2020-09-11 12:27:20,2020-09-11 12:27:20,CMARTILL,CMARTILL,RELSD,PRINI,0,N,10,"D2                  ",0,2020-06-22 00:00:00,2100,0,N,0,,0,,N,CG852
P;EJGIS3,1,P;EJGIQH,FCTRN,2020-11-11 01:01:45,2020-11-11 01:01:45,INPAMT02,INPAMT02,RELSD,FCOMM,0,N,10,"Non Standard        ",0,,0,0,N,0,,0,,N,
SREBYY06,0,SREBYXUN,"OST  ",2020-06-18 11:20:33,2020-06-18 11:20:33,RPTINPAM,RPTINPAM,RELSD,PRINI,0,N,10,"QUA                 ",0,2020-08-27 00:00:00,250000,0,N,0,,0,,N,CG852
SREI1W3I,0,SREI1W1W,FCTRN,2020-10-14 15:37:47,2020-10-14 15:37:47,SMANZANO,SMANZANO,RELSD,FCOMM,0,N,10,,0,,0,0,N,0,,0,,N,
SREI1W3L,0,SREI1W1V,FCTRN,2020-10-14 15:37:47,2020-10-14 15:37:47,SMANZANO,SMANZANO,RELSD,FCOMM,0,N,10,,0,,0,0,N,0,,0,,N,CG852
UIE4MNB1,1,UIE4MN9H,FCTRN,2020-01-27 09:33:59,2020-01-27 09:33:59,HSUSER01,HSUSER01,RELSD,FCOMM,0,N,10,"Non Standard        ",0,,0,0,N,0,,0,,N,
UKEGPJFL,0,UKEGPJAV,"OST  ",2020-09-18 12:17:16,2020-09-18 12:17:16,LIQSVR04,LIQSVR04,RELSD,PRINI,0,N,10,"QUA                 ",0,2020-09-28 00:00:00,1515,0,N,0,,0,,N,CG852
X-EI20SW,0,X-EI206K,"FAC  ",2020-10-14 18:39:57,2020-10-14 19:06:45,SMANZANO,SMANZANO,REVEW,FCOMM,0,N,10,,0,,0,0,N,0,,0,,N,CG852
YREGCRD9,0,YREGCR95,"OST  ",2020-09-11 14:32:39,2020-09-11 14:32:39,JAQUITAN,JAQUITAN,RELSD,PRINI,0,N,10,"D2                  ",0,2020-06-22 00:00:00,3149.61,0,N,0,,0,,N,CG852
YVEGDP3G,0,YVEGDOZV,"OST  ",2020-09-11 16:29:24,2020-09-11 16:29:24,CMARTILL,CMARTILL,RELSD,PRINI,0,N,10,"D2                  ",0,2020-06-22 00:00:00,2000,0,N,0,,0,,N,CG852
Z;EF7YN5,0,Z;EF7YBJ,"OST  ",2020-08-20 15:41:59,2020-08-20 15:41:59,LIQUSR03,LIQUSR03,RELSD,PRINB,0,N,10,"Bullet              ",0,,0,0,N,0,,0,,N,CG852
