"ACP_RID_ACR_CY_PMT","ACP_RID_OWNER","ACP_CDE_OWNER_TYPE","ACP_RID_ACR_CYCLE","ACP_DTE_EFFECTIVE","ACP_AMT_PAYMENT","ACP_AMT_REQUESTED","ACP_CDE_OBJ_STATE","ACP_CDE_OB_ST_CTG","ACP_UID_REC_CREATE","ACP_UID_REC_UPDATE","ACP_TSP_REC_CREATE","ACP_TSP_REC_UPDATE","ACP_CID_BORROWER","ACP_PID_DEAL","ACP_PID_FACILITY","ACP_CDE_PMT_TYPE","ACP_CDE_PRORAT_TYP","ACP_IND_PMT_FR_BOR","ACP_IND_ACR_SH_ADJ","ACP_CDE_GROUP_TYPE","ACP_RID_GROUP_TRAN","ACP_DTE_RELEASE","ACP_RID_ORIG_PMT","ACP_RID_LINK","ACP_CDE_LINK_TYPE","ACP_RID_OST_TRAN","ACP_AMT_TAX_WTHLD","ACP_AMT_PRINCIPAL","ACP_AMT_EC_INC_INT","ACP_TXT_SYS_SOURCE","ACP_CDE_ADJ_SC_TYP","ACP_RID_ADJ_SC_ID","ACP_CDE_BRANCH"
"($EID4W4","IKEI22A0","FEE  ","I;EI231E","2021-03-08 00:00:00","-1.64","-1.64","RELSD","ACTUA","SMANZANO","JAQUITAN","2020-10-20 17:22:51","2020-10-20 17:23:22","?ZE4CIA6","D3EI1MRL","IKEI224J","RFPMT","LNDSH","N","N","","","2021-03-08 00:00:00","3GEICZRI","","","","0","0","","","","","CG852"
"($EID50N","IKEI22A0","FEE  ","I;EI231E","2021-03-08 00:00:00","1.64","1.64","RELSD","ACTUA","SMANZANO","JAQUITAN","2020-10-20 17:26:35","2020-10-20 17:27:28","?ZE4CIA6","D3EI1MRL","IKEI224J","FPMT ","CYCLD","N","N","","","2021-03-08 00:00:00","","","","","0","0","","","","","CG852"
")#EHDPJM","+OEH9ZDB","FEE  ","+OEH9ZF5","2020-07-09 00:00:00","-756164.38","-756164.38","RELSD","ACTUA","MANZANOS","SMANZANO","2020-10-01 15:34:37","2020-10-01 16:35:29","ZHEF7YY1","+OEH9ZC4","+OEH9ZD0","RFPMT","LNDSH","Y","N","","","2020-07-09 00:00:00","4WEHBUR2","","","","0","0","","","","","CG852"
")4EHDHEM","3.EFFE0Q","FEE  ","3YEFFEGT","2020-07-09 00:00:00","-7561.64","-7561.64","LWREL","POTEN","JAQUITAN","JANICEA1","2020-10-01 11:18:23","2020-10-01 11:19:09","ZHEF7YY1","3.EFFDYP","3.EFFDZL","RFPMT","LNDSH","Y","N","","","","4BEHC32S","","","","0","0","","","","","CG852"
")7EHDKM1","+OEH9ZDB","FEE  ","+OEH9ZF5","2020-07-09 00:00:00","-756164.38","-756164.38","LWREL","POTEN","SMANZANO","MANZANOS","2020-10-01 12:36:51","2020-10-01 14:45:34","ZHEF7YY1","+OEH9ZC4","+OEH9ZD0","RFPMT","LNDSH","Y","N","","","","4WEHBUR2","","","","0","0","","","","","CG852"
")AEHDGJQ","+OEH9ZDB","FEE  ","+OEH9ZF5","2020-07-09 00:00:00","-756164.38","-756164.38","LWREL","POTEN","JAQUITAN","JANICEA1","2020-10-01 11:06:19","2020-10-01 11:07:26","ZHEF7YY1","+OEH9ZC4","+OEH9ZD0","RFPMT","LNDSH","Y","N","","","","4WEHBUR2","","","","0","0","","","","","CG852"
"*$EHA9FG",":+EH8RLZ","OST  ",":+EH8RN9","2020-07-08 00:00:00","40.27","40.27","LWREL","POTEN","SMANZANO","MANZANOS","2020-09-29 17:53:16","2020-09-29 17:56:33",")?EF8978","YZEFEWH5","YZEFEXAM","OPMT ","CYCLD","Y","N","PCP  ","*$EHA9E5","","","","","","0","0","0","","","","CG852"
"*4EGPB5R","*AEGPA2P","AFE  ","*AEGPA2R","2020-06-26 00:00:00","1000","1000","LWREL","POTEN","LIQSVR05","LIQSVR04","2020-09-18 09:19:45","2020-09-18 09:26:48","SIEESUTN","0REF4EYL","NONE    ","AMAF ","LNDSH","Y","N","","","","","","","","0","0","","","","","CG852"
"*MEIPYW7","V:EH9VG2","OST  ","0TEH9TGW","2021-03-11 00:00:00","226.77","226.77","RELSD","ACTUA","LIQSVR04","LIQUSR05","2020-10-27 12:40:58","2020-10-27 12:48:40",")?EF8978","IREFMCO3","I:EFMEGK","OPMT ","PCYCD","Y","N","","","2021-03-11 00:00:00","","","","","0","0","0","","","","CG852"
"+.EHBL7G","44EF64ER","OST  ","J-EGV092","2020-06-03 00:00:00","2.08","2.08","AWSTA","POTEN","LIQUSR05","LIQUSR05","2020-09-30 10:02:20","2020-10-13 10:53:42","5QEF3VVU","V8EF4706","V8EF471U","OPMT ","CYCLD","Y","N","LRP  ","+.EHBKXO","","","","","","0","0","0","","","","CG852"
"+:EGNW1T","0JEGNPQC","OST  ","0JEGNPRI","2020-06-26 00:00:00","47.78","47.78","RELSD","ACTUA","SMANZANO","MANZANOS","2020-09-17 16:54:37","2020-09-17 16:56:35",")?EF8978","YZEFEWH5","YZEFEXAM","OPMT ","PCYCD","Y","N","PCP  ","+:EGNVVN","2020-06-26 00:00:00","","","","","0","0","0","","","","CG852"
"+OEH9Z95","I:EFMH5Q","FEE  ","2?EFMSLZ","2020-07-08 00:00:00","10000","10000","AWSTA","POTEN","JAQUITAN","JAQUITAN","2020-09-29 14:08:32","2020-09-29 14:08:43",")?EF8978","IREFMCO3","I:EFMEGK","FPMT ","LNDSH","Y","N","","","","","","","","0","0","","","","","CG852"
"+REH9YQF","XHEFLBMZ","OST  ","XHEFLBNL","2020-07-08 00:00:00","0.59","0.59","RELSD","ACTUA","CMARTILL","LIQUSR03","2020-09-29 15:03:07","2020-10-06 19:06:00","SIEESUTN","(7EFGXIA","(7EFGXST","OPMT ","CYCLD","Y","N","","","2020-07-09 00:00:00","","","","","0","0","0","","","","CG852"
"-MEGLNFP","(DEFGR26","OST  ","(DEFGR2P","2020-06-24 00:00:00","197.26","197.26","RELSD","ACTUA","SMANZANO","MANZANOS","2020-09-16 11:53:15","2020-09-16 11:58:47",")?EF8978","YZEFEWH5","YZEFEXAM","OPMT ","PCYCD","Y","N","PCP  ","-MEGLNDF","2020-06-24 00:00:00","","","","","0","0","0","","","","CG852"
".4EHDWCG","+OEH9ZDB","FEE  ","+OEH9ZF5","2020-07-09 00:00:00","-756164.38","-756164.38","LWREL","POTEN","SMANZANO","MANZANOS","2020-10-01 18:00:39","2020-10-01 18:01:51","ZHEF7YY1","+OEH9ZC4","+OEH9ZD0","RFPMT","LNDSH","Y","N","","","","4EEHBRMP","","","","0","0","","","","","CG852"
".:EHDZN2","+OEH9ZDB","FEE  ","+OEH9ZF5","2020-07-09 00:00:00","-756164.38","-756164.38","RELSD","ACTUA","MANZANOS","JAQUITAN","2020-10-01 19:10:27","2020-10-14 16:38:49","ZHEF7YY1","+OEH9ZC4","+OEH9ZD0","RFPMT","LNDSH","Y","N","","","2021-03-04 00:00:00","4DEHBVVK","","","","0","0","","","","","CG852"
"0-EFZRW2","04EFZDZF","OST  ","04EFZE05","2020-06-01 00:00:00","0.58","0.58","RELSD","ACTUA","CMARTILL","RPTSUP01","2020-09-04 16:21:52","2020-09-07 15:20:59","SIEESUTN","S#EESVPY","S#EESVR1","OPMT ","CYCLD","Y","N","","","2020-06-02 00:00:00","","","","","0","0","0","","","","CG852"
"0-EFZT11","04EFZE6G","OST  ","04EFZE75","2020-06-01 00:00:00","0.78","0.78","RELSD","ACTUA","CMARTILL","RPTSUP01","2020-09-04 16:46:08","2020-09-07 12:50:25","SIEESUTN","S#EESVPY","S#EESVR1","OPMT ","CYCLD","Y","N","","","2020-06-02 00:00:00","","","","","0","0","0","","","","CG852"
"0GEH9XL0","3.EFFE0Q","FEE  ","3YEFFEGT","2020-07-08 00:00:00","7561.64","7561.64","RELSD","ACTUA","JAQUITAN","JAQUITAN","2020-09-29 13:36:06","2020-10-05 12:27:14","ZHEF7YY1","3.EFFDYP","3.EFFDZL","FPMT ","PCYCD","Y","N","","","2020-07-09 00:00:00","","","","","0","0","","","","","CG852"
"17EJ2Z8P","9ZEF82HP","FEE  ","YZEHZVQJ","2021-09-15 00:00:00","662786.12","662786.12","AWA  ","POTEN","JAQUITAN","JAQUITAN","2020-11-03 16:13:42","2020-11-03 16:14:14","ZHEF7YY1","9ZEF82FK","9ZEF82GL","FPMT ","PCYCD","Y","N","","","","","","","","0","0","","","","","CG852"
"2AEFMIFK","9ZEF82HP","FEE  ","9LEF83IN","2020-05-29 00:00:00","-737383.56","-737383.56","RELSD","ACTUA","JAQUITAN","JANICEA1","2020-08-28 11:25:50","2020-08-28 11:34:26","ZHEF7YY1","9ZEF82FK","9ZEF82GL","RFPMT","LNDSH","Y","N","","","2020-05-29 00:00:00","I-EFMHGQ","","","","0","0","","","","","CG852"
"2OEFMQ57","ZIEF9NY0","OST  ","ZIEF9NYM","2020-06-03 00:00:00","0.52","0.52","LWREL","POTEN","LIQUSR05","LIQSVR05","2020-08-28 13:14:00","2020-08-28 13:56:58","5QEF3VVU","V8EF4706","V8EF471U","OPMT ","PCYCD","Y","N","LRP  ","2OEFMMMR","","","","","","0","0","0","","","","CG852"
"2OEFMUKT","F?EF7SNQ","OST  ","F?EF7SO9","2020-05-29 00:00:00","0.14","0.14","RELSD","ACTUA","LIQUSR05","LIQUSR05","2020-08-28 14:49:24","2020-09-30 14:50:00","5QEF3VVU","V8EF4706","V8EF471U","OPMT ","PCYCD","Y","N","PCP  ","2OEFMSX3","2020-07-08 00:00:00","","","","","0","0","0","","","","CG852"
"2YEFMLXG","HREFIU8E","OST  ","HREFIU8X","2020-05-29 00:00:00","164.38","164.38","RELSD","ACTUA","JAQUITAN","JANICEA1","2020-08-28 12:02:28","2020-08-28 13:17:36","ZHEF7YY1","9ZEF82FK","9ZEF82GL","OPMT ","PCYCD","Y","N","LRP  ","2YEFMLQ8","2020-05-29 00:00:00","","","","","0","0","0","","","","CG852"
"3GEICZRI","IKEI22A0","FEE  ","I;EI231E","2021-03-08 00:00:00","1.64","1.64","RELSD","ACTUA","SMANZANO","JAQUITAN","2020-10-20 16:42:01","2020-10-20 16:43:29","?ZE4CIA6","D3EI1MRL","IKEI224J","FPMT ","CYCLD","N","N","","","2021-03-08 00:00:00","","","","","0","0","","","","","CG852"
"3GEICZXJ","X-EI20N0","FEE  ","I4EI21CF","2021-03-08 00:00:00","16438.36","16438.36","RELSD","ACTUA","SMANZANO","JAQUITAN","2020-10-20 16:45:24","2020-10-20 16:45:59","?ZE4CIA6","D3EI1MRL","X-EI206K","FPMT ","CYCLD","N","N","","","2021-03-08 00:00:00","","","","","0","0","","","","","CG852"
"3GEID03R","I-EI25AI","FEE  ","2!EI25VQ","2021-03-08 00:00:00","2465.75","2465.75","RELSD","ACTUA","SMANZANO","JAQUITAN","2020-10-20 16:49:15","2020-10-20 16:50:22","?ZE4CIA6","D3EI1MRL","I-EI259A","FPMT ","CYCLD","N","N","","","2021-03-08 00:00:00","","","","","0","0","","","","","CG852"
"3XEFGPDN","ZIEF9MNN","OST  ","ZIEF9MO5","2020-05-27 00:00:00","4.57","4.57","AWSTA","POTEN","LIQUSR05","LIQUSR05","2020-08-25 07:12:32","2020-08-28 12:12:37","5QEF3VVU","V8EF4706","V8EF471U","OPMT ","LNDSH","Y","N","LRP  ","J+EFFEKT","","","","","","0","0","0","","","","CG852"
"43EHS5T2","92EHDPMF","OST  ","92EHDPN2","2020-07-16 00:00:00","210.96","210.96","AWA  ","POTEN","SMANZANO","SMANZANO","2020-10-09 09:29:56","2020-10-09 09:33:31","SIEESUTN","#!EFTROA","#!EFTRT9","OPMT ","PCYCD","Y","N","LRP  ","43EHS5JM","","","","","","0","0","0","","","","CG852"
"4BEHC32S","3.EFFE0Q","FEE  ","3YEFFEGT","2020-07-09 00:00:00","7561.64","7561.64","RELSD","ACTUA","JAQUITAN","JAQUITAN","2020-09-30 17:13:55","2020-10-01 11:17:09","ZHEF7YY1","3.EFFDYP","3.EFFDZL","FPMT ","PCYCD","Y","N","","","2020-07-09 00:00:00","","","","","0","0","","","","","CG852"
"4DEHBVVK","+OEH9ZDB","FEE  ","+OEH9ZF5","2020-07-09 00:00:00","756164.38","756164.38","RELSD","ACTUA","JAQUITAN","JANICEA1","2020-09-30 15:55:03","2020-09-30 16:02:12","ZHEF7YY1","+OEH9ZC4","+OEH9ZD0","FPMT ","PCYCD","Y","N","","","2020-07-09 00:00:00","","","","","0","0","","","","","CG852"
"4EEHBRMP","+OEH9ZDB","FEE  ","+OEH9ZF5","2020-07-09 00:00:00","756164.38","756164.38","RELSD","ACTUA","JAQUITAN","SMANZANO","2020-09-30 14:23:27","2020-10-01 17:58:09","ZHEF7YY1","+OEH9ZC4","+OEH9ZD0","FPMT ","PCYCD","Y","N","","","2020-07-09 00:00:00","","","","","0","0","","","","","CG852"
"4WEHBUR2","+OEH9ZDB","FEE  ","+OEH9ZF5","2020-07-09 00:00:00","756164.38","756164.38","RELSD","ACTUA","JAQUITAN","JAQUITAN","2020-09-30 15:22:19","2020-10-01 11:04:38","ZHEF7YY1","+OEH9ZC4","+OEH9ZD0","FPMT ","PCYCD","Y","N","","","2020-07-09 00:00:00","","","","","0","0","","","","","CG852"
"54EH9P5P","YZEFF053","FEE  ","J6EFF7L6","2020-07-07 00:00:00","-10000","-10000","LWREL","POTEN","SMANZANO","MANZANOS","2020-09-28 15:53:44","2020-09-28 15:55:12",")?EF8978","YZEFEWH5","YZEFEXAM","RFPMT","LNDSH","Y","N","","","","Q8EH9O5D","","","","0","0","","","","","CG852"
"78EFKYI7","3SEFFFII","OST  ","SWEFKWET","2020-05-29 00:00:00","136.99","136.99","RELSD","ACTUA","JAQUITAN","JANICEA1","2020-08-27 16:19:03","2020-08-27 16:20:57","ZHEF7YY1","3ZEFFD20","3ZEFFD2W","OPMT ","PCYCD","Y","N","","","2020-05-29 00:00:00","","","","","0","0","0","","","","CG852"
"7MEC0RYV","SJEBYUH5","OST  ","SJEBYUHW","2020-05-27 00:00:00","1000","1000","LWREL","POTEN","RPTINPAM","RPTSUPAM","2020-06-19 10:59:04","2020-06-19 11:30:40","?ZE4CIA6","SUEBXL0I","SUEBXL2B","OPMT ","LNDSH","Y","N","","","","","","","","0","0","0","","","","CG852"
"9$EGPQOF","P!EGO52H","OST  ","P!EGO53N","2020-06-29 00:00:00","172.6","172.6","RELSD","ACTUA","SMANZANO","MANZANOM","2020-09-18 15:42:27","2020-09-18 15:47:46",")?EF8978","YZEFEWH5","YZEFEXAM","OPMT ","PCYCD","Y","N","LRP  ","9$EGPQAP","2020-06-29 00:00:00","","","","","0","0","0","","","","CG852"
"9FEGPOMQ","ACEGO0BI","OST  ","ACEGO0CO","2020-06-29 00:00:00","126","126","RELSD","ACTUA","SMANZANO","MANZANOM","2020-09-18 14:50:00","2020-09-18 14:54:37",")?EF8978","YZEFEWH5","YZEFEXAM","OPMT ","PCYCD","Y","N","LRP  ","9FEGPOB3","2020-06-29 00:00:00","","","","","0","0","0","","","","CG852"
"9GEGPS8Y","0JEGNPQC","OST  ","0JEGNPRI","2020-06-26 00:00:00","-47.78","-47.78","RELSD","ACTUA","SMANZANO","MANZANOS","2020-09-18 16:20:05","2020-09-18 16:21:11",")?EF8978","YZEFEWH5","YZEFEXAM","ROPMT","LNDSH","Y","N","PCP  ","9GEGPS8T","2020-06-29 00:00:00","+:EGNW1T","","","","0","0","0","","","","CG852"
"9MEGPRNZ","GREGNHV8","FEE  ","G=EGNIFA","2020-06-26 00:00:00","-756164.38","-756164.38","RELSD","ACTUA","JANICEA2","JANICEA1","2020-09-18 17:05:52","2020-09-18 17:07:15","ZHEF7YY1","9ZEF82FK","GREGNHU7","RFPMT","LNDSH","Y","N","","","2020-06-29 00:00:00","A@EGO1RG","","","","0","0","","","","","CG852"
"9OEHDKBG","+.EHBIRF","OST  ","+.EHBIS2","2020-07-09 00:00:00","1","1","AWSRA","POTEN","LIQUSR05","LIQSVR05","2020-10-01 10:32:49","2020-10-01 10:39:21","5QEF3VVU","V8EF4706","V8EF471U","OPMT ","CYCLD","Y","N","LRP  ","9OEHDK3M","","","","","","0","0","0","","","","CG852"
"9OEHDKOB","+.EHBLOA","OST  ","+.EHBLOW","2020-07-09 00:00:00","1.69","1.69","AWSRA","POTEN","LIQUSR05","LIQSVR05","2020-10-01 10:53:07","2020-10-01 10:55:58","5QEF3VVU","V8EF4706","V8EF471U","OPMT ","CYCLD","Y","N","LRP  ","9OEHDKFH","","","","","","0","0","0","","","","CG852"
":7EIILG5","IKEI22A0","FEE  ","I;EI231E","2021-03-08 00:00:00","-49.87","-49.87","RELSD","ACTUA","SMANZANO","MANZANOS","2020-10-23 17:16:45","2020-10-23 17:18:23","?ZE4CIA6","D3EI1MRL","IKEI224J","RFPMT","LNDSH","N","N","","","2021-03-08 00:00:00","B:EIIKKA","","","","0","0","","","","","CG852"
";2EGHRDQ","-AEFMZGX","OST  ","-AEFMZHK","2020-06-22 00:00:00","1045.21","1045.21","RELSD","ACTUA","SMANZANO","MANZANOS","2020-09-14 08:31:01","2020-09-14 08:52:38",")?EF8978","IREFMCO3","I:EFMEGK","OPMT ","PCYCD","Y","N","PCP  ",";2EGHRBX","2020-06-22 00:00:00","","","","","0","0","0","","","","CG852"
";2EGHRE6","I:EFMH5Q","FEE  ","2?EFMSLZ","2020-06-22 00:00:00","749031.37","749031.37","RELSD","ACTUA","SMANZANO","MANZANOS","2020-09-14 08:31:01","2020-09-14 08:52:38",")?EF8978","IREFMCO3","I:EFMEGK","FPMT ","PCYCD","Y","N","PCP  ",";2EGHRBX","2020-06-22 00:00:00","","","","","0","0","","","","","CG852"
";;EHJ0O6","04EFZE6G","OST  ","+)EFZN7S","2020-07-09 00:00:00","0.78","0.78","LWREL","POTEN","CMARTILL","RPTSUP01","2020-10-04 12:22:35","2020-10-04 12:24:26","SIEESUTN","S#EESVPY","S#EESVR1","OPMT ","CYCLD","Y","N","","","","","","","","0","0","0","","","","CG852"
";;EHJ6MC","04EFZE6G","OST  ","+)EFZN7S","2020-07-09 00:00:00","0.78","0.78","LWREL","POTEN","CMARTILL","RPTSUP01","2020-10-04 14:31:35","2020-10-04 14:32:57","SIEESUTN","S#EESVPY","S#EESVR1","OPMT ","CYCLD","Y","N","","","","","","","","0","0","0","","","","CG852"
"=+EI1LI9","YZEFF053","FEE  ","Y9EI25MD","2021-03-03 00:00:00","676116.48","676116.48","LWREL","POTEN","SMANZANO","MANZANOS","2020-10-14 11:55:06","2020-10-14 11:55:47",")?EF8978","YZEFEWH5","YZEFEXAM","FPMT ","PCYCD","Y","N","","","","","","","","0","0","","","","","CG852"
"=XEFJ5RU","3ZEFFD41","FEE  ","3EEFFDK4","2020-05-28 00:00:00","748602.74","748602.74","RELSD","ACTUA","JAQUITAN","JANICEA1","2020-08-26 17:01:06","2020-08-26 17:02:23","ZHEF7YY1","3ZEFFD20","3ZEFFD2W","FPMT ","PCYCD","Y","N","","","2020-05-28 00:00:00","","","","","0","0","","","","","CG852"
"?FEFKN57","C6EFHASQ","FEE  ","CLEFHBYF","2020-05-28 00:00:00","756164.38","756164.38","RELSD","ACTUA","JAQUITAN","JANICEA1","2020-08-27 11:02:07","2020-08-27 11:05:04","ZHEF7YY1","C6EFHAQ1","C6EFHAR6","FPMT ","PCYCD","N","N","","","2020-05-28 00:00:00","","","","","0","0","","","","","CG852"
"?MEFKUZ9","C(EFH91P","OST  ","C(EFH92C","2020-05-28 00:00:00","191.78","191.78","RELSD","ACTUA","JAQUITAN","JANICEA1","2020-08-27 14:25:41","2020-08-27 14:28:28","ZHEF7YY1","@-EFH363","@-EFH76E","OPMT ","PCYCD","N","N","PCP  ","?MEFKUYA","2020-05-28 00:00:00","","","","","0","0","0","","","","CG852"
"?MEFKUZJ","@-EFH7C0","FEE  ","COEFH8N1","2020-05-28 00:00:00","748602.74","748602.74","RELSD","ACTUA","JAQUITAN","JANICEA1","2020-08-27 14:25:41","2020-08-27 14:28:28","ZHEF7YY1","@-EFH363","@-EFH76E","FPMT ","PCYCD","N","N","PCP  ","?MEFKUYA","2020-05-28 00:00:00","","","","","0","0","","","","","CG852"
"?TEFKOE1","C6EFHASQ","FEE  ","CLEFHBYF","2020-05-28 00:00:00","-756164.38","-756164.38","RELSD","ACTUA","JAQUITAN","JANICEA1","2020-08-27 11:39:43","2020-08-27 12:12:41","ZHEF7YY1","C6EFHAQ1","C6EFHAR6","RFPMT","LNDSH","N","N","","","2020-05-28 00:00:00","?FEFKN57","","","","0","0","","","","","CG852"
"A@EGO1RG","GREGNHV8","FEE  ","G=EGNIFA","2020-06-26 00:00:00","756164.38","756164.38","RELSD","ACTUA","JAQUITAN","JANICEA1","2020-09-17 18:58:32","2020-09-17 19:02:09","ZHEF7YY1","9ZEF82FK","GREGNHU7","FPMT ","PCYCD","Y","N","","","2020-06-26 00:00:00","","","","","0","0","","","","","CG852"
"AIEK3QHZ","S#EESVSH","FEE  ","7)EESZ1H","2021-11-02 00:00:00","73977.15","73977.15","RELSD","ACTUA","RPTINP01","RPTSUP01","2020-11-23 13:01:16","2020-11-23 13:55:42","SIEESUTN","S#EESVPY","S#EESVR1","FPMT ","CYCLD","Y","N","","","2021-11-02 00:00:00","","","","","0","0","","","","","CG852"
"AJEGO1JI","L*EGNM1D","OST  ","L*EGNM2Q","2020-06-26 00:00:00","0.77","0.77","RELSD","ACTUA","CMARTILL","RPTSUP01","2020-09-17 18:53:53","2020-09-17 19:34:42","SIEESUTN","(7EFGXIA","(7EFGXST","OPMT ","CYCLD","Y","N","","","2020-06-26 00:00:00","","","","","0","0","0","","","","CG852"
"B:EIIKKA","IKEI22A0","FEE  ","I;EI231E","2021-03-08 00:00:00","49.87","49.87","RELSD","ACTUA","SMANZANO","MANZANOS","2020-10-23 17:00:32","2020-10-23 17:02:40","?ZE4CIA6","D3EI1MRL","IKEI224J","FPMT ","PCYCD","N","N","","","2021-03-08 00:00:00","","","","","0","0","","","","","CG852"
"BAEI3H17","@5EI02X0","AFE  ","@5EI02X2","2021-03-08 00:00:00","10.13","10.13","LWREL","POTEN","LIQUSR05","LIQSVR05","2020-10-15 10:28:42","2020-10-15 10:32:39","5QEF3VVU","@EEI01UV","NONE    ","ACAF ","LNDSH","Y","N","","","","","","","","0","0","","","","","CG852"
"C(EHZYAT","GREGNHV8","FEE  ","YZEI073X","2021-03-01 00:00:00","764876.71","764876.71","RELSD","ACTUA","JAQUITAN","JANICEA1","2020-10-13 15:14:02","2020-10-13 15:19:39","ZHEF7YY1","9ZEF82FK","GREGNHU7","FPMT ","PCYCD","Y","N","","","2021-03-01 00:00:00","","","","","0","0","","","","","CG852"
"C8EI04HY","@5EI02X0","AFE  ","@5EI02X2","2021-03-01 00:00:00","500","500","RELSD","ACTUA","LIQUSR05","LIQUSR05","2020-10-13 14:59:12","2020-10-13 15:02:44","5QEF3VVU","@EEI01UV","NONE    ","ACAF ","PCYCD","Y","N","","","2021-03-01 00:00:00","","","","","0","0","","","","","CG852"
