"OTR_RID_OST_TRAN","OTR_RID_COMMIT_TRN","OTR_RID_LINK_TRN","OTR_AMT_ACTUAL","OTR_AMT_REQUESTED","OTR_AMT_NEW_RELSE","OTR_CDE_TYPE","OTR_CDE_LOAN_PURP","OTR_CDE_OBJ_STATE","OTR_CDE_OB_ST_CTG","OTR_CDE_PROC_AREA","OTR_CDE_REPR_FREQ","OTR_CDE_ACCR_FREQ","OTR_CDE_RISK_TYPE","OTR_DTE_EFFECTIVE","OTR_DTE_RELEASE","OTR_DTE_REPRICING","OTR_IND_AUTO_RELSE","OTR_PID_SUBLIMIT","OTR_RID_GROUP_TRAN","OTR_CDE_GROUP_TYPE","OTR_RID_OUTSTANDNG","OTR_UID_PROCESSOR","OTR_IND_CREATE_TRN","OTR_TSP_REC_CREATE","OTR_TSP_REC_UPDATE","OTR_UID_REC_CREATE","OTR_UID_REC_UPDATE","OTR_IND_NON_ACCR","OTR_AMT_FUND_FROZN","OTR_IND_PMT_FR_BOR","OTR_IND_AUTO_RDUCE","OTR_AMT_SCHED_BAL","OTR_AMT_PREMIUM","OTR_CDE_TRNS_PURP","OTR_RID_ORIG_OST","OTR_IND_UPD_FLEX","OTR_TXT_APP_TYPE","OTR_TXT_SYS_SOURCE","OTR_DTE_ACCR_EFFEC","OST_AMT_DISCOUNT","OST_DTE_NOTE","OST_IND_ELG_99A","OTR_AMT_CAP_CL_AMT","OTR_AMT_CAPT_INCRE","OTR_AMT_DF_PIN_AMT","OTR_AMT_IN_CHO_AMT","OTR_CDE_TAX_W_METH","OTR_DTE_TRN","OTR_IND_ATO_RDE_EX","OTR_IND_DEFR_AMT","OTR_IND_FIX_RA_RT","OTR_IND_ISTAX_REV","OTR_IND_MANUAL_CR","OTR_IND_ONDEL","OTR_IND_PREPAYMENT","OTR_IND_RFL_ALD","OTR_IND_ST_TR_UNSC","OTR_IND_TMP_UPD","OTR_IND_UNFREEZE","OTR_IND_UPDATED","OTR_RID_BORR_RLSD","OTR_RID_CSHFLTRN","OTR_RID_INT_PMT","OTR_RID_LOAN_CONV","OTR_RID_PD_ITM_TN","OTR_UID_ORIG","OTR_CDE_AGNT_ALIAS","OTR_RID_AGNT_TRANS","OTR_OID_OST_TRAN","OTR_CDE_BRANCH"
"44EF64FB","","","3750","3750","","ID   ","ACQ  ","RELSD","ACTUA","EUOPS","7D   ","WEEK ","LOANS","2020-05-27 00:00:00","2020-05-29 00:00:00","2020-06-03 00:00:00","N","","","","44EF64ER","LIQUSR05","Y","2020-08-19 13:17:33","2020-08-28 09:39:25","LIQUSR05","LIQUSR05","N","","Y","N","3750","0","","","N","","","2020-05-27 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","33b56e307d48c82b24edddd","CG852"
"44EF64K5","","","-900","-900","","PRDCR","","CNCLD","INACT","EUOPS","7D   ","","LOANS","2020-06-03 00:00:00","","2020-06-03 00:00:00","N","","44EF64K3","LRP  ","!ZEF5V91","LIQUSR05","N","2020-08-19 13:25:29","2020-08-20 14:34:33","LIQUSR05","LIQUSR05","","","Y","N","-900","0","","","N","","","","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","33b59436a1cae23b14edde2","CG852"
"7)EETFOE","","","150000","150000","","ID   ","CONSH","RELSD","ACTUA","EUOPS","1D   ","DAL  ","LOANS","2020-05-27 00:00:00","2020-05-27 00:00:00","2020-05-28 00:00:00","N","","","","7)EETFNR","CMARTILL","Y","2020-08-12 19:39:41","2020-08-12 19:54:06","CMARTILL","RPTMGR01","N","","Y","N","150000","0","","","N","","","2020-05-27 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","332756b72e2d30b8349921b","CG852"
"7)EETAUV","","","200000","200000","","ID   ","CONSH","RELSD","ACTUA","EUOPS","1D   ","DAL  ","LOANS","2020-05-27 00:00:00","2020-05-27 00:00:00","2020-05-28 00:00:00","N","","","","7)EETAU9","CMARTILL","Y","2020-08-12 17:52:14","2020-08-12 18:27:28","CMARTILL","RPTMGR01","N","","Y","N","200000","0","","","N","","","2020-05-27 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","3325d02d3e7b790eb499212","CG852"
"Z@EF81CZ","","","51","51","","RCMF ","ACQ  ","LWREL","POTEN","EUOPS","7D   ","WEEK ","LOANS","2020-06-03 00:00:00","","2020-06-10 00:00:00","N","","Z@EF81A3","LRP  ","Z@EF81CF","LIQUSR05","Y","2020-08-20 14:51:36","2020-08-20 15:26:08","LIQUSR05","LIQSVR05","N","","Y","N","51","0","","","N","","","","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","33cbec9b29fe6fbf07921be","CG852"
"Z;EF7ZNT","","","1200000","1200000","","ID   ","ACQ  ","RELSD","ACTUA","EUOPS","6M   ","SEM  ","FIXED","2020-05-27 00:00:00","2020-05-27 00:00:00","2020-11-27 00:00:00","N","","","","Z;EF7ZNA","LIQUSR03","Y","2020-08-20 16:14:29","2020-08-20 16:18:00","LIQUSR03","LIQUSR03","N","","Y","N","1200000","0","","","N","","","2020-05-27 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","33cd24d08c97090ef792207","CG852"
")PEF84EB","","","100000","100000","","ID   ","ACQ  ","PEND ","POTEN","EUOPS","1M   ","MON  ","LOANS","2020-05-27 00:00:00","","2020-06-29 00:00:00","N","","","",")PEF84DR","JAQUITAN","Y","2020-08-20 17:53:05","2020-08-20 17:53:05","JAQUITAN","JAQUITAN","N","","Y","N","100000","0","","","N","","","","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","33ce8f4d1c78bde9079229a","CG852"
"86EFDWP0","","","-1000","-1000","200000","PPPMT","","RELSD","ACTUA","EUOPS","1D   ","","LOANS","2020-05-27 00:00:00","2020-05-27 00:00:00","2020-05-28 00:00:00","N","","","","7)EETAU9","CMARTILL","N","2020-08-23 20:57:15","2020-08-24 11:57:02","CMARTILL","RPTSUP01","","","Y","N","-1000","0","","7)EETAU9","N","","","2020-05-27 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","34108f3dbee4b4ffc792517","CG852"
"86EFDVZW","","7)EETFOE","-150000","-150000","","LRID ","","AWSTA","POTEN","EUOPS","1D   ","","LOANS","2020-05-27 00:00:00","","2020-05-28 00:00:00","N","","","","7)EETFNR","CMARTILL","N","2020-08-23 20:43:16","2020-08-27 22:29:08","CMARTILL","CMARTILL","","","Y","N","-150000","0","","7)EETFNR","N","","","","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","341056b786a060546792511","CG852"
"86EFDXXO","","","300000","300000","","ID   ","CONSH","RELSD","ACTUA","EUOPS","1D   ","DAL  ","LOANS","2020-05-27 00:00:00","2020-05-27 00:00:00","2020-05-28 00:00:00","N","","","","86EFDXX2","CMARTILL","Y","2020-08-23 21:17:03","2020-08-23 21:27:39","CMARTILL","RPTSUP01","N","","Y","N","300000","0","","","N","","","2020-05-27 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","3410d7f6c75b9c366792526","CG852"
"Y@EFF2OT","","86EFDWP0","1000","1000","199000","LRPPY","","RELSD","ACTUA","EUOPS","1D   ","","LOANS","2020-05-27 00:00:00","2020-05-27 00:00:00","2020-05-28 00:00:00","N","","","","7)EETAU9","CMARTILL","N","2020-08-24 12:04:11","2020-08-24 12:12:53","CMARTILL","RPTSUP01","","","Y","N","1000","0","","","N","","","2020-05-27 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","341dd9024dffd852f7925b8","CG852"
"J!EFFAZQ","","","-513","-513","","PRDCR","","RELSD","ACTUA","EUOPS","7D   ","","LOANS","2020-05-27 00:00:00","2020-05-29 00:00:00","2020-06-03 00:00:00","N","","J!EFFAZO","LRP  ","ZIEF9M9Y","LIQUSR05","N","2020-08-24 11:56:32","2020-08-28 09:52:06","LIQUSR05","LIQUSR05","","","Y","N","-513","0","","","N","","","2020-05-27 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","341dbcfbfe2fc4f4a792598","CG852"
"J!EFFB2L","","","213","213","","RCMF ","ACQ  ","RELSD","ACTUA","EUOPS","7D   ","WEEK ","LOANS","2020-05-27 00:00:00","2020-05-29 00:00:00","2020-06-03 00:00:00","N","","J!EFFAZO","LRP  ","J!EFFB21","LIQUSR05","Y","2020-08-24 12:20:43","2020-08-28 09:52:06","LIQUSR05","LIQUSR05","N","","Y","N","213","0","","","N","","","2020-05-27 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","341dc4c0323fd8c9c7925a8","CG852"
"Y@EFF7NW","","","10000","10000","","ID   ","CONSH","RELSD","ACTUA","EUOPS","1D   ","DAL  ","LOANS","2020-05-27 00:00:00","2020-05-27 00:00:00","2020-05-28 00:00:00","N","","","","Y@EFF7N9","CMARTILL","Y","2020-08-24 13:53:30","2020-08-24 14:12:12","CMARTILL","RPTSUP01","N","","Y","N","10000","0","","","N","","","2020-05-27 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","341f6b041781037ac7925e2","CG852"
"3PEFFD7S","","","1500000","1500000","","ID   ","ACQ  ","CNCLD","INACT","EUOPS","6M   ","SEM  ","LOANS","2020-05-27 00:00:00","","2020-11-27 00:00:00","N","","","","3PEFFD78","LIQUSR03","Y","2020-08-24 13:57:53","2020-08-24 13:58:40","LIQUSR03","LIQUSR03","N","","Y","N","1500000","0","","","N","","","","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","341f84027d0a659847925e9","CG852"
"J+EFFDRO","","","-631","-631","","PRDCR","","LWREL","POTEN","EUOPS","7D   ","","LOANS","2020-05-27 00:00:00","","2020-06-03 00:00:00","N","","J+EFFDRM","LRP  ","ZIEF9MNN","LIQUSR05","N","2020-08-24 14:01:00","2020-08-28 09:17:26","LIQUSR05","LIQSVR05","","","Y","N","-631","0","","","N","","","","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","341f9128cdf9b1ed67925ed","CG852"
"Z;EF7YC2","","","1100000","1100000","","ID   ","ACQ  ","RELSD","ACTUA","EUOPS","6M   ","SEM  ","FIXED","2020-05-27 00:00:00","2020-05-27 00:00:00","2020-11-27 00:00:00","N","","","","Z;EF7YBJ","LIQUSR03","Y","2020-08-20 15:19:58","2020-08-20 15:27:32","LIQUSR03","LIQUSR03","N","","Y","N","1100000","0","","","N","","","2020-05-27 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","33cc559f1d5ee327b7921ce","CG852"
"ZFEF7YZ8","","","1000000","1000000","","ID   ","ACQ  ","RELSD","ACTUA","EUOPS","6M   ","SEM  ","FIXED","2020-05-27 00:00:00","2020-05-27 00:00:00","2020-11-27 00:00:00","N","","","","ZFEF7YYO","LIQUSR03","Y","2020-08-20 13:29:24","2020-08-20 15:18:03","LIQUSR03","LIQUSR03","N","","Y","N","1000000","0","","","N","","","2020-05-27 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","33cab0e245d20e7bd7920f4","CG852"
"ZIEF9MAG","","","513","513","","ID   ","ACQ  ","RELSD","ACTUA","EUOPS","7D   ","WEEK ","LOANS","2020-05-27 00:00:00","2020-05-27 00:00:00","2020-06-03 00:00:00","N","","","","ZIEF9M9Y","LIQUSR05","Y","2020-08-21 11:23:36","2020-08-24 09:26:04","LIQSVR05","LIQUSR05","N","","Y","N","513","0","","","N","","","2020-05-27 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","33ddf147630c140a47923bc","CG852"
"ZIEF9MO2","","","631","631","","ID   ","ACQ  ","RELSD","ACTUA","EUOPS","7D   ","WEEK ","LOANS","2020-05-27 00:00:00","2020-05-27 00:00:00","2020-06-03 00:00:00","N","","","","ZIEF9MNN","LIQUSR05","Y","2020-08-21 11:30:04","2020-08-24 09:22:37","LIQSVR05","LIQUSR05","N","","Y","N","631","0","","","N","","","2020-05-27 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","33de0f6373e1095cb7923c0","CG852"
"ZIEF9NPN","","","731","731","","ID   ","ACQ  ","RELSD","ACTUA","EUOPS","7D   ","WEEK ","LOANS","2020-05-27 00:00:00","2020-05-27 00:00:00","2020-06-03 00:00:00","N","","","","ZIEF9NP7","LIQUSR05","Y","2020-08-21 11:52:30","2020-08-24 09:17:10","LIQSVR05","LIQUSR05","N","","Y","N","731","0","","","N","","","2020-05-27 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","33de63fcb6a21ca027923c4","CG852"
"ZIEF9NYJ","","","931","931","","ID   ","ACQ  ","RELSD","ACTUA","EUOPS","7D   ","WEEK ","LOANS","2020-05-27 00:00:00","2020-05-27 00:00:00","2020-06-03 00:00:00","N","","","","ZIEF9NY0","LIQUSR05","Y","2020-08-21 12:01:34","2020-08-24 08:58:18","LIQSVR05","LIQSVR04","N","","Y","N","931","0","","","N","","","2020-05-27 00:00:00","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","33de77ce00028a0bf7923c8","CG852"
"J+EFFE2E","","","-731","-731","","PRDCR","","PEND ","POTEN","EUOPS","7D   ","","LOANS","2020-05-27 00:00:00","","2020-06-03 00:00:00","N","","J+EFFE2C","LRP  ","ZIEF9NP7","LIQSVR05","N","2020-08-24 14:09:18","2020-08-28 10:04:59","LIQUSR05","LIQSVR05","","","Y","N","-731","0","","","N","","","","0","","N","","","","","","","N","N","N","N","N","N","N","N","N","N","N","N","NONE    ","NONE    ","","NONE    ","NONE    ","","","NONE    ","341fb09d440763338792601","CG852"
