"RBP_CDE_RISK_BOOK","RBP_UID_USERID","RBP_TSP_REC_CREATE","RBP_TSP_REC_UPDATE","RBP_UID_REC_CREATE","RBP_UID_REC_UPDATE","RBP_IND_BUY_SELL","RBP_IND_MARK","RBP_IND_VIEW_PRCES","RBP_IND_PRIMARY"
"BPB  ","APP2MANS","2020-04-13 13:02:45","2020-04-13 13:02:45","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRFIN","APP2MANS","2020-04-13 13:02:45","2020-04-13 13:02:45","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"DCM  ","APP2MANS","2020-04-13 13:02:45","2020-04-13 13:02:45","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BCF  ","APP2MANS","2020-04-13 13:02:45","2020-04-13 13:02:45","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRIEQ","APP2MANS","2020-04-13 13:02:45","2020-04-13 13:02:45","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRFIN","WENGSUP1","2020-04-14 06:07:42","2020-04-14 06:07:42","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRIEQ","WENGSUP1","2020-04-14 06:07:42","2020-04-14 06:07:42","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BPB  ","WENGSUP1","2020-04-14 06:07:42","2020-04-14 06:07:42","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"CORPF","WENGSUP1","2020-04-14 06:07:42","2020-04-14 06:07:42","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BKGOV","WENGSUP1","2020-04-14 06:07:42","2020-04-14 06:07:42","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BCF  ","WENGSUP1","2020-04-14 06:07:42","2020-04-14 06:07:42","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"GTS  ","WENGSUP1","2020-04-14 06:07:42","2020-04-14 06:07:42","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"SAF  ","WENGSUP1","2020-04-14 06:07:42","2020-04-14 06:07:42","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"DCM  ","WENGSUP1","2020-04-14 06:07:42","2020-04-14 06:07:42","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"RELEN","WENGSUP1","2020-04-14 06:07:42","2020-04-14 06:07:42","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"SAF  ","FJSUP01 ","2020-04-20 10:41:42","2020-04-20 10:41:42","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"DCM  ","FJSUP01 ","2020-04-20 10:41:42","2020-04-20 10:41:42","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"GTS  ","FJSUP01 ","2020-04-20 10:41:42","2020-04-20 10:41:42","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BKGOV","FJSUP01 ","2020-04-20 10:41:42","2020-04-20 10:41:42","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"CORPF","FJSUP01 ","2020-04-20 10:41:42","2020-04-20 10:41:42","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BPB  ","FJSUP01 ","2020-04-20 10:41:42","2020-04-20 10:41:42","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BCF  ","FJSUP01 ","2020-04-20 10:41:42","2020-04-20 10:41:42","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"RELEN","FJSUP01 ","2020-04-20 10:41:42","2020-04-20 10:41:42","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRIEQ","FJSUP01 ","2020-04-20 10:41:42","2020-04-20 10:41:42","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRFIN","FJSUP01 ","2020-04-20 10:41:42","2020-04-20 10:41:42","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"RELEN","FJMGR01 ","2020-04-20 10:43:48","2020-04-20 10:43:48","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRFIN","FJMGR01 ","2020-04-20 10:43:48","2020-04-20 10:43:48","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BKGOV","FJMGR01 ","2020-04-20 10:43:48","2020-04-20 10:43:48","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BCF  ","FJMGR01 ","2020-04-20 10:43:48","2020-04-20 10:43:48","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"GTS  ","FJMGR01 ","2020-04-20 10:43:48","2020-04-20 10:43:48","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRIEQ","FJMGR01 ","2020-04-20 10:43:48","2020-04-20 10:43:48","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"DCM  ","FJMGR01 ","2020-04-20 10:43:48","2020-04-20 10:43:48","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"CORPF","FJMGR01 ","2020-04-20 10:43:48","2020-04-20 10:43:48","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"SAF  ","FJMGR01 ","2020-04-20 10:43:48","2020-04-20 10:43:48","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BPB  ","FJMGR01 ","2020-04-20 10:43:48","2020-04-20 10:43:48","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"DCM  ","JERSONES","2020-02-03 03:15:43","2020-02-03 03:15:43","TESTUSER","TESTUSER","N","N","Y","N"
"PRIEQ","JERSONES","2020-02-03 03:15:43","2020-02-03 03:15:43","TESTUSER","TESTUSER","N","N","Y","N"
"BCF  ","JERSONES","2020-02-03 03:15:43","2020-02-03 03:15:43","TESTUSER","TESTUSER","N","N","Y","N"
"RELEN","JERSONES","2020-02-03 03:15:43","2020-02-03 03:15:43","TESTUSER","TESTUSER","N","N","Y","N"
"CORPF","JERSONES","2020-02-03 03:15:43","2020-02-03 03:15:43","TESTUSER","TESTUSER","N","N","Y","N"
"SAF  ","JERSONES","2020-02-03 03:15:43","2020-02-03 03:15:43","TESTUSER","TESTUSER","N","N","Y","N"
"GTS  ","JERSONES","2020-02-03 03:15:43","2020-02-03 03:15:43","TESTUSER","TESTUSER","N","N","Y","N"
"BKGOV","JERSONES","2020-02-03 03:15:43","2020-02-03 03:15:43","TESTUSER","TESTUSER","N","N","Y","N"
"BPB  ","JERSONES","2020-02-03 03:15:43","2020-02-03 03:15:43","TESTUSER","TESTUSER","N","N","Y","N"
"RTZ  ","JERSONES","2020-02-03 03:15:43","2020-02-03 03:15:43","TESTUSER","TESTUSER","N","N","Y","N"
"PRFIN","JERSONES","2020-02-03 03:15:43","2020-02-03 03:15:43","TESTUSER","TESTUSER","N","N","Y","N"
"PRIEQ","MGALING2","2020-02-19 05:09:24","2020-02-19 05:09:24","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BCF  ","MGALING2","2020-02-19 05:09:24","2020-02-19 05:09:24","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"CORPF","MGALING2","2020-02-19 05:09:24","2020-02-19 05:09:24","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BPB  ","MGALING2","2020-02-19 05:09:24","2020-02-19 05:09:24","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"DCM  ","MGALING2","2020-02-19 05:09:24","2020-02-19 05:09:24","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRFIN","MGALING2","2020-02-19 05:09:24","2020-02-19 05:09:24","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"RELEN","MGALING2","2020-02-19 05:09:24","2020-02-19 05:09:24","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"SAF  ","MGALING2","2020-02-19 05:09:24","2020-02-19 05:09:24","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"DCM  ","USER_API","2020-03-03 05:36:12","2020-03-03 05:36:12","ADMIN1  ","ADMIN1  ","N","N","Y","N"
"BCF  ","USER_API","2020-03-03 05:36:12","2020-03-03 05:36:12","ADMIN1  ","ADMIN1  ","N","N","Y","N"
"PRFIN","USER_API","2020-03-03 05:36:12","2020-03-03 05:36:12","ADMIN1  ","ADMIN1  ","N","N","Y","N"
"BPB  ","USER_API","2020-03-03 05:36:12","2020-03-03 05:36:12","ADMIN1  ","ADMIN1  ","N","N","Y","N"
"SAF  ","USER_API","2020-03-03 05:36:12","2020-03-03 05:36:12","ADMIN1  ","ADMIN1  ","N","N","Y","N"
"PRIEQ","USER_API","2020-03-03 05:36:12","2020-03-03 05:36:12","ADMIN1  ","ADMIN1  ","N","N","Y","N"
"GTS  ","USER_API","2020-03-03 05:36:12","2020-03-03 05:36:12","ADMIN1  ","ADMIN1  ","N","N","Y","N"
"RELEN","USER_API","2020-03-03 05:36:12","2020-03-03 05:36:12","ADMIN1  ","ADMIN1  ","N","N","Y","N"
"CORPF","USER_API","2020-03-03 05:36:12","2020-03-03 05:36:12","ADMIN1  ","ADMIN1  ","N","N","Y","N"
"CORPF","RUNBAT  ","2020-03-03 05:36:52","2020-03-03 05:36:52","ADMIN1  ","ADMIN1  ","N","N","Y","N"
"SAF  ","RUNBAT  ","2020-03-03 05:36:52","2020-03-03 05:36:52","ADMIN1  ","ADMIN1  ","N","N","Y","N"
"BCF  ","RUNBAT  ","2020-03-03 05:36:52","2020-03-03 05:36:52","ADMIN1  ","ADMIN1  ","N","N","Y","N"
"BKGOV","RUNBAT  ","2020-03-03 05:36:52","2020-03-03 05:36:52","ADMIN1  ","ADMIN1  ","N","N","Y","N"
"PRIEQ","RUNBAT  ","2020-03-03 05:36:52","2020-03-03 05:36:52","ADMIN1  ","ADMIN1  ","N","N","Y","N"
"DCM  ","RUNBAT  ","2020-03-03 05:36:52","2020-03-03 05:36:52","ADMIN1  ","ADMIN1  ","N","N","Y","N"
"BPB  ","RUNBAT  ","2020-03-03 05:36:52","2020-03-03 05:36:52","ADMIN1  ","ADMIN1  ","N","N","Y","N"
"RELEN","RUNBAT  ","2020-03-03 05:36:52","2020-03-03 05:36:52","ADMIN1  ","ADMIN1  ","N","N","Y","N"
"PRFIN","RUNBAT  ","2020-03-03 05:36:52","2020-03-03 05:36:52","ADMIN1  ","ADMIN1  ","N","N","Y","N"
"GTS  ","RUNBAT  ","2020-03-03 05:36:52","2020-03-03 05:36:52","ADMIN1  ","ADMIN1  ","N","N","Y","N"
"CORPF","JAQUITAN","2020-03-04 11:27:50","2020-03-04 11:27:50","MGALING ","MGALING ","Y","N","Y","N"
"BPB  ","JAQUITAN","2020-03-04 11:27:50","2020-03-04 11:27:50","MGALING ","MGALING ","Y","N","Y","N"
"DCM  ","JAQUITAN","2020-03-04 11:27:50","2020-03-04 11:27:50","MGALING ","MGALING ","Y","N","Y","N"
"PRFIN","JAQUITAN","2020-03-04 11:27:50","2020-03-04 11:27:50","MGALING ","MGALING ","Y","N","Y","N"
"BCF  ","JAQUITAN","2020-03-04 11:27:50","2020-03-04 11:27:50","MGALING ","MGALING ","Y","N","Y","N"
"SAF  ","JAQUITAN","2020-03-04 11:27:50","2020-03-04 11:27:50","MGALING ","MGALING ","Y","N","Y","N"
"PRIEQ","JAQUITAN","2020-03-04 11:27:50","2020-03-04 11:27:50","MGALING ","MGALING ","Y","N","Y","N"
"RELEN","JAQUITAN","2020-03-04 11:27:50","2020-03-04 11:27:50","MGALING ","MGALING ","Y","N","Y","N"
"RELEN","SMANZANO","2020-03-04 11:33:47","2020-03-04 11:33:47","MGALING ","MGALING ","Y","N","Y","N"
"BPB  ","SMANZANO","2020-03-04 11:33:47","2020-03-04 11:33:47","MGALING ","MGALING ","Y","N","Y","N"
"BCF  ","SMANZANO","2020-03-04 11:33:47","2020-03-04 11:33:47","MGALING ","MGALING ","Y","N","Y","N"
"DCM  ","SMANZANO","2020-03-04 11:33:47","2020-03-04 11:33:47","MGALING ","MGALING ","Y","N","Y","N"
"PRFIN","SMANZANO","2020-03-04 11:33:47","2020-03-04 11:33:47","MGALING ","MGALING ","Y","N","Y","N"
"PRIEQ","SMANZANO","2020-03-04 11:33:47","2020-03-04 11:33:47","MGALING ","MGALING ","Y","N","Y","N"
"SAF  ","SMANZANO","2020-03-04 11:33:47","2020-03-04 11:33:47","MGALING ","MGALING ","Y","N","Y","N"
"CORPF","SMANZANO","2020-03-04 11:33:47","2020-03-04 11:33:47","MGALING ","MGALING ","Y","N","Y","N"
"PRIEQ","RPTINPAM","2020-03-13 11:45:17","2020-03-13 11:45:17","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"RELEN","RPTINPAM","2020-03-13 11:45:17","2020-03-13 11:45:17","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BCF  ","RPTINPAM","2020-03-13 11:45:17","2020-03-13 11:45:17","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"GTS  ","RPTINPAM","2020-03-13 11:45:17","2020-03-13 11:45:17","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"CORPF","RPTINPAM","2020-03-13 11:45:17","2020-03-13 11:45:17","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRFIN","RPTINPAM","2020-03-13 11:45:17","2020-03-13 11:45:17","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"DCM  ","RPTINPAM","2020-03-13 11:45:17","2020-03-13 11:45:17","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"SAF  ","RPTINPAM","2020-03-13 11:45:17","2020-03-13 11:45:17","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BKGOV","RPTINPAM","2020-03-13 11:45:17","2020-03-13 11:45:17","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BPB  ","RPTINPAM","2020-03-13 11:45:17","2020-03-13 11:45:17","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRIEQ","RPTSUPAM","2020-03-13 11:46:59","2020-03-13 11:46:59","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRFIN","RPTSUPAM","2020-03-13 11:46:59","2020-03-13 11:46:59","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BCF  ","RPTSUPAM","2020-03-13 11:46:59","2020-03-13 11:46:59","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"SAF  ","RPTSUPAM","2020-03-13 11:46:59","2020-03-13 11:46:59","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BPB  ","RPTSUPAM","2020-03-13 11:46:59","2020-03-13 11:46:59","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BKGOV","RPTSUPAM","2020-03-13 11:46:59","2020-03-13 11:46:59","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"CORPF","RPTSUPAM","2020-03-13 11:46:59","2020-03-13 11:46:59","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"RELEN","RPTSUPAM","2020-03-13 11:46:59","2020-03-13 11:46:59","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"DCM  ","RPTSUPAM","2020-03-13 11:46:59","2020-03-13 11:46:59","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"GTS  ","RPTSUPAM","2020-03-13 11:46:59","2020-03-13 11:46:59","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"RELEN","RPTMGRAM","2020-03-13 11:47:56","2020-03-13 11:47:56","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRFIN","RPTMGRAM","2020-03-13 11:47:56","2020-03-13 11:47:56","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BCF  ","RPTMGRAM","2020-03-13 11:47:56","2020-03-13 11:47:56","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"DCM  ","RPTMGRAM","2020-03-13 11:47:56","2020-03-13 11:47:56","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"CORPF","RPTMGRAM","2020-03-13 11:47:56","2020-03-13 11:47:56","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"SAF  ","RPTMGRAM","2020-03-13 11:47:56","2020-03-13 11:47:56","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BPB  ","RPTMGRAM","2020-03-13 11:47:56","2020-03-13 11:47:56","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"GTS  ","RPTMGRAM","2020-03-13 11:47:56","2020-03-13 11:47:56","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRIEQ","RPTMGRAM","2020-03-13 11:47:56","2020-03-13 11:47:56","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BKGOV","RPTMGRAM","2020-03-13 11:47:56","2020-03-13 11:47:56","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BKGOV","WENGINP1","2020-04-14 06:06:14","2020-04-14 06:06:14","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"RELEN","WENGINP1","2020-04-14 06:06:14","2020-04-14 06:06:14","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRFIN","WENGINP1","2020-04-14 06:06:14","2020-04-14 06:06:14","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRIEQ","WENGINP1","2020-04-14 06:06:14","2020-04-14 06:06:14","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"CORPF","WENGINP1","2020-04-14 06:06:14","2020-04-14 06:06:14","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"DCM  ","WENGINP1","2020-04-14 06:06:14","2020-04-14 06:06:14","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"GTS  ","WENGINP1","2020-04-14 06:06:14","2020-04-14 06:06:14","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BPB  ","WENGINP1","2020-04-14 06:06:14","2020-04-14 06:06:14","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"SAF  ","WENGINP1","2020-04-14 06:06:14","2020-04-14 06:06:14","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BCF  ","WENGINP1","2020-04-14 06:06:14","2020-04-14 06:06:14","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"SAF  ","RPTSUP01","2020-01-22 10:57:32","2020-01-22 10:57:32","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRIEQ","RPTMGR01","2020-01-22 10:58:26","2020-01-22 10:58:26","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"GTS  ","RPTMGR01","2020-01-22 10:58:26","2020-01-23 10:34:15","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BCF  ","RPTMGR01","2020-01-22 10:58:26","2020-01-22 10:58:26","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"DCM  ","RPTMGR01","2020-01-22 10:58:26","2020-01-22 10:58:26","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BKGOV","RPTMGR01","2020-01-22 10:58:26","2020-01-23 10:34:15","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"RELEN","RPTMGR01","2020-01-22 10:58:26","2020-01-22 10:58:26","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"SAF  ","RPTMGR01","2020-01-22 10:58:26","2020-01-22 10:58:26","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRFIN","RPTMGR01","2020-01-22 10:58:26","2020-01-22 10:58:26","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"CORPF","RPTMGR01","2020-01-22 10:58:26","2020-01-22 10:58:26","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BPB  ","RPTMGR01","2020-01-22 10:58:26","2020-01-22 10:58:26","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"DCM  ","CMARTILL","2020-01-23 05:46:10","2020-01-23 05:46:10","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRFIN","CMARTILL","2020-01-23 05:46:10","2020-01-23 05:46:10","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BPB  ","CMARTILL","2020-01-23 05:46:10","2020-01-23 05:46:10","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"CORPF","CMARTILL","2020-01-23 05:46:10","2020-01-23 05:46:10","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRIEQ","CMARTILL","2020-01-23 05:46:10","2020-01-23 05:46:10","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BCF  ","CMARTILL","2020-01-23 05:46:10","2020-01-23 05:46:10","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"SAF  ","CMARTILL","2020-01-23 05:46:10","2020-01-23 05:46:10","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"RELEN","CMARTILL","2020-01-23 05:46:10","2020-01-23 05:46:10","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRIEQ","DJRHINPT","2020-01-23 06:00:21","2020-01-23 06:00:21","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"DCM  ","DJRHINPT","2020-01-23 06:00:21","2020-01-23 06:00:21","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"SAF  ","DJRHINPT","2020-01-23 06:00:21","2020-01-23 06:00:21","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BCF  ","DJRHINPT","2020-01-23 06:00:21","2020-01-23 06:00:21","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BPB  ","DJRHINPT","2020-01-23 06:00:21","2020-01-23 06:00:21","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"RELEN","DJRHINPT","2020-01-23 06:00:21","2020-01-23 06:00:21","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRFIN","DJRHINPT","2020-01-23 06:00:21","2020-01-23 06:00:21","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"CORPF","DJRHINPT","2020-01-23 06:00:21","2020-01-23 06:00:21","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"DCM  ","JOBSUPER","2020-01-23 06:14:04","2020-01-23 06:14:04","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRIEQ","JOBSUPER","2020-01-23 06:14:04","2020-01-23 06:14:04","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BCF  ","JOBSUPER","2020-01-23 06:14:04","2020-01-23 06:14:04","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRFIN","JOBSUPER","2020-01-23 06:14:04","2020-01-23 06:14:04","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BPB  ","JOBSUPER","2020-01-23 06:14:04","2020-01-23 06:14:04","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"CORPF","JOBSUPER","2020-01-23 06:14:04","2020-01-23 06:14:04","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"RELEN","JOBSUPER","2020-01-23 06:14:04","2020-01-23 06:14:04","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"SAF  ","JOBSUPER","2020-01-23 06:14:04","2020-01-23 06:14:04","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRIEQ","HSUSER01","2020-01-23 07:48:44","2020-01-23 07:48:44","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"CORPF","HSUSER01","2020-01-23 07:48:44","2020-01-23 07:48:44","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"RELEN","HSUSER01","2020-01-23 07:48:44","2020-01-23 07:48:44","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BPB  ","HSUSER01","2020-01-23 07:48:44","2020-01-23 07:48:44","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"DCM  ","HSUSER01","2020-01-23 07:48:44","2020-01-23 07:48:44","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"SAF  ","HSUSER01","2020-01-23 07:48:44","2020-01-23 07:48:44","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BCF  ","HSUSER01","2020-01-23 07:48:44","2020-01-23 07:48:44","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRFIN","HSUSER01","2020-01-23 07:48:44","2020-01-23 07:48:44","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRIEQ","HSMGR01 ","2020-01-23 07:49:41","2020-01-23 07:49:41","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"SAF  ","HSMGR01 ","2020-01-23 07:49:41","2020-01-23 07:49:41","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BCF  ","HSMGR01 ","2020-01-23 07:49:41","2020-01-23 07:49:41","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"PRFIN","HSMGR01 ","2020-01-23 07:49:41","2020-01-23 07:49:41","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"BPB  ","HSMGR01 ","2020-01-23 07:49:41","2020-01-23 07:49:41","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
"CORPF","HSMGR01 ","2020-01-23 07:49:41","2020-01-23 07:49:41","ADMIN1  ","ADMIN1  ","Y","N","Y","N"
