"SWF_RID_SWIFT_BANK","SWF_CDE_SWIFT_BIC","SWF_NME_FULL","SWF_IND_ACTIVE","SWF_IND_MAY_DEACT","SWF_UID_REC_CREATE","SWF_UID_REC_UPDATE","SWF_TSP_REC_CREATE","SWF_TSP_REC_UPDATE","SWF_IND_HOST_BANK","SWF_TXT_BRN_INFO"
"41637642","AEIBCHGX    ","AMERICAN EXPRESS BANK SWITZERLAND","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:46","2005-08-04 12:07:46","N",""
"41637648","AEIBDEFX    ","AMERICAN EXPRESS BANK GMBH","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:46","2005-08-04 12:07:46","N",""
"41637655","AEIBEGCX    ","AMERICAN EXPRESS BANK LTD.","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:46","2005-08-04 12:07:46","N",""
"41637662","AEIBGB2X    ","AMERICAN EXPRESS BANK LTD.","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:46","2005-08-04 12:07:46","N",""
"41637669","AEIBGRAX    ","AMERICAN EXPRESS BANK LTD","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:46","2005-08-04 12:07:46","N",""
"41637675","AEIBHKHX    ","AMERICAN EXPRESS BANK LTD.","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:47","2005-08-04 12:07:47","N",""
"41637681","AEIBIDJX    ","AMERICAN EXPRESS BANK LTD.","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:47","2005-08-04 12:07:47","N",""
"41637687","AEIBINDX    ","AMERICAN EXPRESS BANK LTD.","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:47","2005-08-04 12:07:47","N",""
"41637693","AEIBINDXBOM ","AMERICAN EXPRESS BANK LTD","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:47","2005-08-04 12:07:47","N",""
"41637699","AEIBINDXCAL ","AMERICAN EXPRESS BANK LTD.","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:47","2005-08-04 12:07:47","N",""
"41637705","AEIBINDXMAS ","AMERICAN EXPRESS BANK","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:47","2005-08-04 12:07:47","N",""
"41637711","AEIBJPJX    ","AMERICAN EXPRESS BANK LTD","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:47","2005-08-04 12:07:47","N",""
"41637719","AEIBKRSX    ","AMERICAN EXPRESS BANK LTD.","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:48","2005-08-04 12:07:48","N",""
"41637726","AEIBLULX    ","AMERICAN EXPRESS BANK (LUXEMBOURG)","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:48","2005-08-04 12:07:48","N",""
"41637732","AEIBMCM1    ","AMERICAN EXPRESS BANK LTD.","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:48","2005-08-04 12:07:48","N",""
"41637738","AEIBPHMX    ","AMERICAN EXPRESS BANK LTD","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:48","2005-08-04 12:07:48","N",""
"41637744","AEIBPKKX    ","AMERICAN EXPRESS BANK LTD","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:48","2005-08-04 12:07:48","N",""
"41637750","AEIBSGSX    ","AMERICAN EXPRESS BANK LTD","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:48","2005-08-04 12:07:48","N",""
"41637756","AEIBTHBX    ","AMERICAN EXPRESS BANK LTD","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:48","2005-08-04 12:07:48","N",""
"41637762","AEIBTWTX    ","AMERICAN EXPRESS BANK LTD","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:49","2005-08-04 12:07:49","N",""
"41637768","AEIBUS33    ","AMERICAN EXPRESS BANK LTD","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:49","2005-08-04 12:07:49","N",""
"41637776","AEXTCHZZ    ","BANQUE ALGERIENNE DU COM EXT SA","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:49","2005-08-04 12:07:49","N",""
"41637782","AFGBAFKA    ","DA AFGHANISTAN BANK","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:49","2005-08-04 12:07:49","N",""
"41637788","AFIRMXMT    ","BANCA AFIRME S.A.","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:49","2005-08-04 12:07:49","N",""
"41637794","AFKBTRIS    ","ANADOLU FINANS KURUMU A.S.","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:49","2005-08-04 12:07:49","N",""
"41637800","AFRIBFBF    ","BANK OF AFRICA BURKINA","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:49","2005-08-04 12:07:49","N",""
"41637806","AFRIBJBJ    ","BANK OF AFRICA-BENIN","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:49","2005-08-04 12:07:49","N",""
"41637812","AFRIKENX    ","BANK OF AFRICA KENYA LIMITED","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:50","2005-08-04 12:07:50","N",""
"41637818","AFRIMGMG    ","BTM BANK OF AFRICA","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:50","2005-08-04 12:07:50","N",""
"41637824","AFRIMLBA    ","BANK OF AFRICA","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:50","2005-08-04 12:07:50","N",""
"41637847","AFRINENI    ","BANK OF AFRICA","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:50","2005-08-04 12:07:50","N",""
"41637859","AFRNNGLA    ","AFRIBANK NIGERIA LIMITED","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:50","2005-08-04 12:07:50","N",""
"41637871","AFSCBHB1    ","ARAB FINANCIAL SERVICES SPECIAL AC","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:50","2005-08-04 12:07:50","N",""
"41637883","AGBACZPP    ","AGROBANKA GE CAPITAL BANK A.S.","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:50","2005-08-04 12:07:50","N",""
"41637894","AGBKBDDH    ","AGRANI BANK","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:51","2005-08-04 12:07:51","N",""
"41637905","AGBLLT2X    ","AB NORD LB LIETUVA","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:51","2005-08-04 12:07:51","N",""
"41637917","AGEIAEA1    ","SHUAA CAPITAL PSC","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:51","2005-08-04 12:07:51","N",""
"41637928","AGGIUAUX    ","AGGIO BANK","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:51","2005-08-04 12:07:51","N",""
"41637942","AGMOMNUB    ","AGRICULTURAL BANK OF MONGOLIA","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:51","2005-08-04 12:07:51","N",""
"41637958","AGREGE21    ","AGROBUSINESSBANK","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:51","2005-08-04 12:07:51","N",""
"41637975","AGRIFRPP    ","CREDIT AGRICOLE SA","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:51","2005-08-04 12:07:51","N",""
"41637992","AGRIGB22    ","CALYON FINANCIAL SNC","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:52","2005-08-04 12:07:52","N",""
"41638014","AGRIGB2L    ","CREDIT AGRICOLE SA","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:52","2005-08-04 12:07:52","N",""
"41638032","AGRNMD2X    ","MOLDOVA - AGROINDBANK","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:52","2005-08-04 12:07:52","N",""
"41638048","AGROGTGC    ","BANCO AGROMERCANTIL DE GUATEMALA","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:52","2005-08-04 12:07:52","N",""
"41638065","AGUBDZAL    ","ALGERIA GULF BANK","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:52","2005-08-04 12:07:52","N",""
"41638080","AHBKNL2G    ","ACHMEA HYPOTHEEK BANK","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:52","2005-08-04 12:07:52","N",""
"41638096","AHCBBHBM    ","AHLI UNITED BANK (BAHRAIN) BSC.","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:52","2005-08-04 12:07:52","N",""
"41638120","AHCRESVV    ","ALTAE BANCO","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:53","2005-08-04 12:07:53","N",""
"41638138","AHYBDEFF    ","ALLGEMEINE HYPOTHEKENBANK","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:53","2005-08-04 12:07:53","N",""
"41638154","AIBKGB2L    ","ALLIED IRISH BANK (GB)","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:53","2005-08-04 12:07:53","N",""
"41638173","AIBKIE2D    ","AIB GLOBAL TREASURY ACCOUNT","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:53","2005-08-04 12:07:53","N",""
"41638188","AIBKKYK1    ","ALLIED IRISH BANKS PLC-GRAND CAYMAN","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:53","2005-08-04 12:07:53","N",""
"41638201","AIBKKYK1TMK ","ALLIED IRISH BK GRND CAYMN TREASURY","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:53","2005-08-04 12:07:53","N",""
"41638215","AIBSMAMT    ","ATTIJARI INTERNATIONAL BANK S.A. -","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:53","2005-08-04 12:07:53","N",""
"41638229","AICHJPJN    ","AICHI BANK LTD","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:53","2005-08-04 12:07:53","N",""
"41638244","AIGAGB2L    ","BANQUE AIG LONDON BRANCH","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:54","2005-08-04 12:07:54","N",""
"41638276","AIGIUS33    ","AIG INTERNATIONAL INC","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:54","2005-08-04 12:07:54","N",""
"41638292","AIIBAZ2X    ","UNITED UNIVERSAL JOINT-STOCK BANK","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:54","2005-08-04 12:07:54","N",""
"41638303","AIKACH21    ","APPENZELL-INNERRHODISCHE","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:54","2005-08-04 12:07:54","N",""
"41638315","AINBEGCA    ","ARAB INVESTMENT BANK","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:54","2005-08-04 12:07:54","N",""
"41638328","AISBPS22    ","ARAB ISLAMIC BANK","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:54","2005-08-04 12:07:54","N",""
"41638340","AIZKLV22    ","AIZKRAUKLIS BANKA","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:54","2005-08-04 12:07:54","N",""
"41638346","AJIBCY2I    ","ARAB JORDAN INVESTMENT BANK","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:55","2005-08-04 12:07:55","N",""
"41638352","AJIBJOAX    ","ARAB JORDAN INVESTMENT BANK SA","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:55","2005-08-04 12:07:55","N",""
"41638358","AKBBBY2X    ","BELARUSBANK","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:55","2005-08-04 12:07:55","N",""
"41638366","AKBKDEFF    ","AKBANK T.A.S.","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:55","2005-08-04 12:07:55","N",""
"41638933","ANZBTONN    ","AUSTRALIA - NEW ZEALAND BANKING","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:08:06","2005-08-04 12:08:06","N",""
"41636981","ABNANZ2X    ","ABN AMRO BANK N.V.","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:34","2005-08-04 12:07:34","N",""
"41636989","ABNAPHMM    ","ABN AMRO BANK N.V.","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:34","2005-08-04 12:07:34","N",""
"41636995","ABNAPKKA    ","ABN AMRO BANK N.V.","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:34","2005-08-04 12:07:34","N",""
"41637001","ABNAPLPW    ","ABN AMRO BANK (POLSKA) S.A.","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:34","2005-08-04 12:07:34","N",""
"41637008","ABNAPTPL    ","ABN AMRO BANK N.V.","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:34","2005-08-04 12:07:34","N",""
"41637014","ABNAPYPX    ","ABN AMRO BANK N.V.","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:34","2005-08-04 12:07:34","N",""
"41637020","ABNAROBU    ","ABN AMRO BANK (ROMANIA) SA","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:34","2005-08-04 12:07:34","N",""
"41637026","ABNARUMM    ","ABN AMRO BANK MOSCOW LIMITED","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:35","2005-08-04 12:07:35","N",""
"41637032","ABNASESS    ","ABN AMRO BANK (SVERIGE)","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:35","2005-08-04 12:07:35","N",""
"41637038","ABNASGSG    ","ABN AMRO BANK N.V.","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:35","2005-08-04 12:07:35","N",""
"41637046","ABNATHBK    ","ABN AMRO BANK","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:35","2005-08-04 12:07:35","N",""
"41637052","ABNATHBKIBF ","ABN AMRO BANK","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:35","2005-08-04 12:07:35","N",""
"41637058","ABNATRIS    ","ABN AMRO BANK N.V.","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:35","2005-08-04 12:07:35","N",""
"41637064","ABNATWTP    ","ABN AMRO BANK N.V.","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:35","2005-08-04 12:07:35","N",""
"41637070","ABNAUS4CFXO ","ABN AMRO BANK N.V.","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:36","2005-08-04 12:07:36","N",""
"41637077","ABNAUYMM    ","HOLLANDSCHE BANK-UNIE NV-MONTEVIDEO","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:36","2005-08-04 12:07:36","N",""
"41637083","ABNAUZ22    ","ABN AMRO BANK NB UZBEKISTAN","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:36","2005-08-04 12:07:36","N",""
"41637089","ABNAVECA    ","ABN AMRO BANK","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:36","2005-08-04 12:07:36","N",""
"41637095","ABNAVNV5    ","ABN AMRO BANK","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:36","2005-08-04 12:07:36","N",""
"41637102","ABNAZAJJ    ","ABN AMRO BANK N.V.","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:36","2005-08-04 12:07:36","N",""
"41637109","ABNGNGLA    ","ACCESS BANK PLC","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:36","2005-08-04 12:07:36","N",""
"41637114","ABOCCNBJ    ","THE AGRICULTURAL BANK OF CHINA","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:36","2005-08-04 12:07:36","N",""
"41637199","ABOCCNBJ010 ","AGRICULTURAL BANK OF CHINA","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:37","2005-08-04 12:07:37","N",""
"41637205","ABOCCNBJ020 ","AGRICULTURAL BANK OF CHINA-TIANJIN","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:37","2005-08-04 12:07:37","N",""
"41637211","ABOCCNBJ030 ","AGRICULTURAL BANK OF CHINA","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:37","2005-08-04 12:07:37","N",""
"41637219","ABOCCNBJ090 ","AGRICULTURAL BANK OF CHINA","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:37","2005-08-04 12:07:37","N",""
"41637225","ABOCCNBJ100 ","AGRICULTURAL BANK OF CHINA","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:37","2005-08-04 12:07:37","N",""
"41637231","ABOCCNBJ103 ","THE AGRICULTURAL BANK OF CHINA","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:37","2005-08-04 12:07:37","N",""
"41637236","ABOCCNBJ110 ","AGRICULTURAL BANK OF CHINA","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:37","2005-08-04 12:07:37","N",""
"41637242","ABOCCNBJ112 ","AGRICULTURAL BANK OF CHINA","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:38","2005-08-04 12:07:38","N",""
"41637248","ABOCCNBJ114 ","AGRICULTURAL BANK OF CHINA","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:38","2005-08-04 12:07:38","N",""
"41637254","ABOCCNBJ115 ","AGRICULTURAL BANK OF CHINA","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:38","2005-08-04 12:07:38","N",""
"41637260","ABOCCNBJ117 ","AGRICULTURAL BANK OF CHINA","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:38","2005-08-04 12:07:38","N",""
"41637266","ABOCCNBJ130 ","AGRICULTURAL BANK OF CHINA","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:38","2005-08-04 12:07:38","N",""
"41637273","ABOCCNBJ131 ","AGRICULTURAL BANK OF CHINA","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:38","2005-08-04 12:07:38","N",""
"41637280","ABOCCNBJ140 ","AGRICULTURAL BANK OF CHINA","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:38","2005-08-04 12:07:38","N",""
"41637286","ABOCCNBJ150 ","AGRICULTURAL BANK OF CHINA","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:38","2005-08-04 12:07:38","N",""
"41637292","ABOCCNBJ170 ","AGRICULTURAL BANK OF CHINA","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:39","2005-08-04 12:07:39","N",""
"41637298","ABOCCNBJ190 ","AGRICULTURAL BANK OF CHINA","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:39","2005-08-04 12:07:39","N",""
"41637304","ABOCCNBJ200 ","AGRICULTURAL BANK OF CHINA","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:39","2005-08-04 12:07:39","N",""
"41637310","ABOCCNBJ210 ","AGRICULTURAL BK OF CHINA HAINAN BR","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:39","2005-08-04 12:07:39","N",""
"41637315","ABOCCNBJ220 ","AGRICULTURAL BANK CHINA","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:39","2005-08-04 12:07:39","N",""
"41637321","ABOCCNBJ310 ","AGRICULTURAL BANK OF CHINA","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:39","2005-08-04 12:07:39","N",""
"41637329","ABOCCNBJ340 ","AGRICULTURAL BANK CHINA DALIAN BR","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:39","2005-08-04 12:07:39","N",""
"41637335","ABOCCNBJ380 ","THE AGRICULTURAL BANK OF CHINA","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:40","2005-08-04 12:07:40","N",""
"41637341","ABOCCNBJ390 ","AGRICULTURAL BANK CHINA NINGBO BR","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:40","2005-08-04 12:07:40","N",""
"41637347","ABOCCNBJ400 ","THE AGRICULTURAL BANK OF CHINA","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:40","2005-08-04 12:07:40","N",""
"41637353","ABOCCNBJ410 ","AGRICULTURAL BANK OF CHINA","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:40","2005-08-04 12:07:40","N",""
"41637359","ABOCHKHH    ","AGRICULTURAL BK OF CHINA HONG KONG","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:40","2005-08-04 12:07:40","N",""
"41637365","ABOCSGSG    ","THE AGRICULTURAL BANK OF CHINA","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:40","2005-08-04 12:07:40","N",""
"41637371","ABPAPKKA    ","ALLIED BANK OF PAKISTAN LTD","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:40","2005-08-04 12:07:40","N",""
"41637377","ABQQQAQA    ","AHLI BANK Q.S.C.","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:41","2005-08-04 12:07:41","N",""
"41637385","ABSAGB2L    ","ABSA BANK LIMITED","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:41","2005-08-04 12:07:41","N",""
"41637391","ABSAHKHH    ","ABSA ASIA LTD.","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:41","2005-08-04 12:07:41","N",""
"41637396","ABSASGSG    ","ABSA BANK LIMITED","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:41","2005-08-04 12:07:41","N",""
"41637402","ABSAZAJJ    ","ABSA BANK LTD","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:41","2005-08-04 12:07:41","N",""
"41637408","ABSBBA22    ","ABS BANKA","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:41","2005-08-04 12:07:41","N",""
"41637414","ABSGCHGG    ","BANQUE AMAS SUISSE SA","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:41","2005-08-04 12:07:41","N",""
"41637419","ABSLRUMM    ","ABSOLUT BANK-BANK ABSOLUT JOINT","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:41","2005-08-04 12:07:41","N",""
"41637425","ABYSETAA    ","BANK OF ABYSSINIA","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:42","2005-08-04 12:07:42","N",""
"41637431","ACACUYMM    ","CREDITO URUGUAY BANCO","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:42","2005-08-04 12:07:42","N",""
"41637438","ACAERUMM    ","ACADEMCHEMBANK","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:42","2005-08-04 12:07:42","N",""
"41637444","ACARIT22    ","CASSA RURALE ED ARTIGIANA DI CANTU","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:42","2005-08-04 12:07:42","N",""
"41637451","ACBPBG2P    ","AGRICULTURAL - COOPERATIVE BANK","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:42","2005-08-04 12:07:42","N",""
"41637457","ACCCGHAC    ","CAL MERCHANT BANK","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:42","2005-08-04 12:07:42","N",""
"41637463","ACJCUA2N    ","AGROBANK","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:42","2005-08-04 12:07:42","N",""
"41637469","ACLBKHPP    ","ACLEDA BANK PLC","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:43","2005-08-04 12:07:43","N",""
"41637475","ACLXTHBK    ","ASIA CREDIT PUBLIC COMPANY LTD","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:43","2005-08-04 12:07:43","N",""
"41637481","ACVLMXMM    ","ACCIONES Y VALORES DE MEXICO S.A.","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:43","2005-08-04 12:07:43","N",""
"41637487","ADAGGB2S    ","ADAM AND CO PLC","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:43","2005-08-04 12:07:43","N",""
"41637495","ADAMCH22    ","BIPIELLE BANK (SUISSE)","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:43","2005-08-04 12:07:43","N",""
"41637514","ADBCTZT1    ","AZANIA BANCORP LIMITED","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:43","2005-08-04 12:07:43","N",""
"41637521","ADBNCNBJ    ","AGRICULTURAL DEVELOPMENT BANK","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:43","2005-08-04 12:07:43","N",""
"41637527","ADCBAEAA    ","ABU-DHABI COMMERCIAL BANK","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:44","2005-08-04 12:07:44","N",""
"41637539","ADCBAEAATRY ","ABU DHABI COMMERCIAL BANK TREASURY","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:44","2005-08-04 12:07:44","N",""
"41637547","ADCBINBB    ","ABU DHABI COMMERCIAL BANK","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:44","2005-08-04 12:07:44","N",""
"41637554","ADCOCHZZ    ","ADLER - COMPANY AG PRIVATBANK AG","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:44","2005-08-04 12:07:44","N",""
"41637560","ADIABE22    ","ANTWERPSE DIAMANTBANK NV","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:44","2005-08-04 12:07:44","N",""
"41637566","ADIACHGG    ","BANQUE DIAMANTAIRE SUISSE SA","Y","Y","LS2BATCH","LS2BATCH","2005-08-04 12:07:44","2005-08-04 12:07:44","N",""
