"SNM_CDE_GL_SHTNAME","SNM_DSC_GL_SHTNAME","SNM_CDE_MAP_PROCES","SNM_CDE_GL_GROUPNG","SNM_IND_HIGH_LEVEL","SNM_IND_MGL_ALLOW","SNM_IND_PORTPOS_AG","SNM_CDE_SUBLGR_BAL","SNM_CDE_NATURL_BAL","SNM_IND_INC_GL_AGR"
"FEXSH","Fee Expense Short","ACCT ","FEXSH","N","Y","Y","INCOM","CR   ",""
"SRFFE","SWAP Buy Return Fee Expense","ACCT ","SRFFI","N","Y","Y","INCOM","CR   ","N"
"INCHO","Interest Charged Off Account","ACCT ","INCHO","N","N","N","BAL  ","DR   ","N"
"DPINC","Deferred Principal / Income","ACCT ","DPINC","N","N","N","BAL  ","DR   ","N"
"GFDFP","GFD Fee Payable","WIP  ","","N","N","N","WIP  ","CR   ","N"
"NCFRE","GFD Non-Cash Fee Receipt","ACCT ","","N","N","N","INCOM","CR   ","N"
"GFDRT","GFD Fee Retained","ACCT ","","N","Y","N","INCOM","CR   ","N"
"STSRL","Stab Additional Spread Receivable","ACCT ","","N","N","N","LTDIN","DR   ","N"
"ABAST","Amortizing BA Stamping Fee","ACCT ","","N","Y","N","INCOM","CR   ","N"
"BXACP","Bill of Exchange Acceptance Fee Income","ACCT ","","N","Y","N","INCOM","CR   ","N"
"DCRRU","DSS Comp Receivable (Unpaid Int/Fee)","ACCT ","","N","Y","N","LTD  ","DR   ","N"
"CSUSM","Corporate Suspense Misc","WIP  ","","N","Y","N","WIP  ","CR   ","N"
"CINRO","Corporate Interest Receivable Offset","ACCT ","","N","Y","N","TRANS","DR   ","N"
"CRCOV","Corporate Recovery","ACCT ","","N","Y","N","INCOM","CR   ","N"
"DIVIN","Dividend Income","ACCT ","","N","Y","N","INCOM","CR   ",""
"DDA  ","Demand Deposit Account","CAMAP","","N","N","N","TRANS","CR   ",""
"DDA2 ","Demand Deposit Account","CAMAP","","N","N","N","TRANS","CR   ",""
"DDA3 ","Demand Deposit Account","CAMAP","","N","N","N","TRANS","CR   ",""
"DEFAI","Deferred Unamort Event Fee","ACCT ","DEFAI","N","N","N","BAL  ","CR   ","N"
"DEFIN","Deferred Income","WIP  ","","N","Y","N","WIP  ","CR   ","N"
"DEFSF","Deferred Service Fee","ACCT ","DEFSF","N","N","N","BAL  ","CR   ",""
"DEPRN","Deposit Principal","ACCT ","PRINC","N","N","N","BAL  ","CR   ","N"
"DFHAD","Deferred FHAD","WIP  ","","N","Y","N","WIP  ","CR   ",""
"DFPLS","Deferred P&L on Sale","ACCT ","DRPL ","N","N","Y","BAL  ","CR   ",""
"DFPLT","Deferred P&L on Transfer","ACCT ","DRPL ","N","N","Y","BAL  ","CR   ",""
"DISC ","Position Discount","ACCT ","PRDSC","N","N","N","BAL  ","CR   ",""
"CBTLP","Corporate Borr Tax Withhold on Principal Loan Draw","ACCT ","","N","Y","N","TRANS","CR   ","N"
"COMEX","Commission Exp. Section 20 Sub.","ACCT ","","N","Y","N","INCOM","DR   ",""
"COMPE","Compensation Expense","ACCT ","","N","Y","N","INCOM","DR   ","N"
"COMPI","Compensation Income","ACCT ","","N","Y","N","INCOM","CR   ","N"
"CONTG","Contingent Liability","WIP  ","","N","N","N","WIP  ","DR   ","N"
"CSHCL","Cash Collateral","WIP  ","","N","Y","N","WIP  ","CR   ","N"
"RPEXP","Risk Part Spread Expense","ACCT ","","N","Y","N","INCOM","DR   ","N"
"RPFBO","Risk Part Funded Buy Offset","ACCT ","","N","Y","N","LTDIN","CR   ","N"
"RPFNB","Risk Part Funded Buy","ACCT ","","N","Y","N","LTDIN","DR   ","N"
"RPFND","Risk Part Funded Sell","ACCT ","","N","Y","N","LTDIN","CR   ","N"
"RPFNO","Risk Part Funded Sell Offset","ACCT ","","N","Y","N","LTDIN","DR   ","N"
"RPINC","Risk Part Spread Income","ACCT ","","N","Y","N","INCOM","CR   ","N"
"RPLSC","Recognized PL Process - Short","PL   ","","Y","N","N","","","N"
"RPLSL","Recognized P&L on Sale","PL   ","","Y","N","N","","",""
"RPLTR","Recognized P&L on Transfer","PL   ","","Y","N","N","","",""
"RPNBK","Realized P/L Due to Non Book","ACCT ","","N","Y","N","INCOM","CR   ","N"
"RPPAY","Risk Part Spread Pay.","ACCT ","RPPAY","N","N","N","BAL  ","CR   ","N"
"RPREC","Risk Part Spread Rec.","ACCT ","RPREC","N","N","N","BAL  ","DR   ","N"
"RRPLS","Recognized Realized PL on Short Cover","ACCT ","RRPLS","N","Y","Y","INCOM","CR   ",""
"RPCBO","Risk Part Comm. Bought Offset","ACCT ","","N","Y","N","LTDIN","CR   ","N"
"RPCMB","Risk Part Commitment Bought","ACCT ","","N","Y","N","LTDIN","DR   ","N"
"SAFUG","Sec. Avai. for Sale Unrealized Gains - FASB # 115","WIP  ","","N","Y","N","WIP  ","DR   ",""
"SECAO","Sec.Acquired Loan Work - Others","WIP  ","","N","Y","N","WIP  ","DR   ",""
"SECAQ","Security Acquired Loan Work","WIP  ","","N","Y","N","WIP  ","DR   ",""
"SGLRL","Swap Gain/Loss Realized","ACCT ","RRPL ","N","Y","Y","INCOM","CR   ","N"
"SIEXN","SWAP Sell Return Int Exp - Non-Accrual","ACCT ","","N","Y","N","INCOM","CR   ","N"
"SIINN","SWAP Buy Return Int Inc - Non-Accrual","ACCT ","","N","Y","N","INCOM","CR   ","N"
"SKINC","Skim Income","ACCT ","FEEIN","N","Y","Y","INCOM","CR   ","N"
"SKPAY","Skim Pay.","ACCT ","SKPAY","N","N","N","BAL  ","CR   ","N"
"SKREC","Skim Rec.","ACCT ","SKREC","N","N","N","BAL  ","DR   ","N"
"SNBRO","SWAP Notional Buy Return Offset","ACCT ","","N","Y","N","LTD  ","CR   ","N"
"SNSRO","SWAP Notional Sell Return Offset","ACCT ","","N","Y","N","LTD  ","CR   ","N"
"SPAFE","SWAP Sell Return Amendment Fee Income","ACCT ","SWFIN","N","Y","Y","INCOM","CR   ","N"
"SPAFI","SWAP Buy Return Amendment Fee Income","ACCT ","SWFIN","N","Y","Y","INCOM","CR   ","N"
"SPAP ","Special Acc't Pay.","WIP  ","","N","Y","N","WIP  ","CR   ",""
"SPRIN","Security Principal Account","ACCT ","PRINC","N","N","N","BAL  ","DR   ","N"
"DCDRP","DSS Comp Receivable (Int/Fee Received)","ACCT ","","N","Y","N","LTD  ","DR   ","N"
"DCOEU","DSS Comp Expense - Offset (Unpaid Int/Fee)","ACCT ","","N","Y","N","LTD  ","CR   ","N"
"DCOIU","DSS Comp Income - Offset (Unpaid Int/Fee)","ACCT ","","N","Y","N","LTD  ","CR   ","N"
"DCOPU","DSS Comp Payable - Offset (Unpaid Int/Fee)","ACCT ","","N","Y","N","LTD  ","CR   ","N"
"DCORU","DSS Comp Receivable - Offset (Unpaid Int/Fee)","ACCT ","","N","Y","N","LTD  ","DR   ","N"
"DCPCE","Par Comp Expense (Spread+Fees)","ACCT ","","N","Y","N","LTD  ","CR   ","N"
"DCPCI","Par Comp Income (Spread+Fees)","ACCT ","","N","Y","N","LTD  ","CR   ","N"
"SWFIN","SWAP Buy Return Fee Income","ACCT ","SWFIN","N","Y","Y","INCOM","CR   ","N"
"SWFPY","SWAP Sell Return Fee Payable","ACCT ","SWFPY","N","N","Y","BAL  ","CR   ","N"
"SWFRC","SWAP Buy Return Fee Receivable","ACCT ","SWFRC","N","N","Y","BAL  ","DR   ","N"
"SWIEX","SWAP Sell Return Interest Expense","ACCT ","SWIIN","N","Y","Y","INCOM","CR   ","N"
"SWIIN","SWAP Buy Return Interest Income","ACCT ","SWIIN","N","Y","Y","INCOM","CR   ","N"
"SWIPY","SWAP Sell Return Interest Payable","ACCT ","SWIPY","N","N","Y","BAL  ","CR   ","N"
"SWIRC","SWAP Buy Return Interest Receivable","ACCT ","SWIRC","N","N","Y","BAL  ","DR   ","N"
"SWMTM","SWAP MTM Gain/Loss A&L Unrealized","ACCT ","","N","Y","N","LTD  ","DR   ","N"
"SWNBR","SWAP Notional Buy Return","ACCT ","","N","Y","N","LTD  ","DR   ",""
"SWNSR","SWAP Notional Sell Return","ACCT ","","N","Y","N","LTD  ","DR   ","N"
"SWSPY","SWAP Settlement Payable","WIP  ","SWSTL","N","N","N","WIP  ","CR   ",""
"TRBIN","Treasury Breakfunding Income","ACCT ","","N","Y","N","INCOM","CR   ","N"
"TWHHB","HB Proprietary Lender Tax Withheld","ACCT ","SWFIN","N","Y","N","TRANS","DR   ","N"
"TWHLD","Tax Withholding Account","ACCT ","","N","Y","N","TRANS","CR   ",""
"UCPSH","Unutilized Commitment Short","ACCT ","","N","N","N","LTD  ","CR   ","N"
"UCPSO","Unutilized Commitment Offset Short","ACCT ","","N","N","N","LTD  ","DR   ","N"
"EALOW","Allowance for Escrow Loss","ACCT ","","N","Y","N","INCOM","DR   ","N"
"ELRCO","Escrow Loss Recovery","ACCT ","","N","Y","N","INCOM","CR   ","N"
"IMALL","Impairment Allowance For Loan Loss Reserve","ACCT ","","N","N","N","LTD  ","CR   ","N"
"IMPLL","Impairment Provision For Loan Loss","ACCT ","","N","N","N","INCOM","DR   ","N"
"FUNEL","Facility Unused Expected Loss","ACCT ","","N","Y","N","LTD  ","DR   ","N"
"EFWAC","Event Fee Transfer Interim Account","ACCT ","","N","Y","N","TRANS","CR   ","N"
"MODAI","Modification Gain or Loss","ACCT ","","N","Y","N","INCOM","CR   ","N"
"DRINC","De-Recognition Income","ACCT ","","N","N","N","INCOM","CR   ","N"
"LCPYF","SBLC Payment Processing Fee","ACCT ","FEEIN","N","Y","Y","INCOM","CR   ",""
"SWSRC","SWAP Settlement Receivable","WIP  ","SWSTL","N","N","N","WIP  ","DR   ","N"
"SWUPT","SWAP MTM Gain/Loss P&L Unrealized Pending Term","ACCT ","SWUPT","N","N","Y","INCOM","CR   ","N"
"SWUTP","SWAP MTM Gain/Loss P&L Unrealized Trade Position","ACCT ","SWUTP","N","N","Y","INCOM","CR   ","N"
"SYNFC","Syndication Fee/Co-MNGR","ACCT ","FEEIN","N","Y","Y","INCOM","CR   ",""
"SYNFM","Syndication Fee/MNGR","ACCT ","FEEIN","N","Y","Y","INCOM","CR   ","N"
"TDAPY","Trade Date Acct Pay - Open Trade","ACCT ","","N","Y","N","LTD  ","CR   ","N"
"TDARC","Trade Date Acct Rec - Open Trade","ACCT ","","N","Y","N","LTD  ","DR   ","N"
"TDARE","Trade Date Assign Rec Fee Expense","ACCT ","","N","Y","N","LTD  ","CR   ","N"
"TDARI","Trade Date Assign Rec Fee Income","ACCT ","","N","Y","N","LTD  ","CR   ","N"
"TDARP","Trade Date Assign Rec Fee A/P","ACCT ","","N","Y","N","LTD  ","CR   ","N"
"TDARR","Trade Date Assign Rec Fee A/R","ACCT ","","N","Y","N","LTD  ","DR   ","N"
"TDBFE","Trade Date Broker Fee Expense/Income","ACCT ","","N","Y","N","LTD  ","CR   ","N"
"TDBFP","Trade Date Broker Fee A/P","ACCT ","","N","Y","N","LTD  ","CR   ","N"
"TDDAP","Trade Date Discount A/P - Open Trade","ACCT ","","N","Y","N","LTD  ","CR   ","N"
"TDDAR","Trade Date Discount A/R - Open Trade","ACCT ","","N","Y","N","LTD  ","DR   ","N"
"TDDSC","Trade Date Discount - Open Trade","ACCT ","","N","Y","N","LTD  ","CR   ","N"
"TDLCO","Trade Date LC Principal Offset","ACCT ","","N","Y","N","LTD  ","CR   ","N"
"TDLCP","Trade Date LC Principal","ACCT ","","N","Y","N","LTD  ","DR   ","N"
"TDPRN","Trade Date Principal - Open Trade","ACCT ","","N","Y","N","LTD  ","DR   ","N"
"TDPTE","Trade Date Part Transfer Fee Expense","ACCT ","","N","Y","N","LTD  ","CR   ",""
"TDPTI","Trade Date Part Transfer Fee Income","ACCT ","","N","Y","N","LTD  ","CR   ","N"
"TDPTP","Trade Date Part Transfer Fee A/P","ACCT ","","N","Y","N","LTD  ","CR   ","N"
"TDPTR","Trade Date Part Transfer Fee A/R","ACCT ","","N","Y","N","LTD  ","DR   ","N"
"TDUCO","Trade Date Unused Commitment Offset","ACCT ","","N","Y","N","LTD  ","CR   ","N"
"TDUCP","Trade Date Unused Commitment Postings","ACCT ","","N","Y","N","LTD  ","DR   ","N"
"FHAD ","Fees Held Awaiting Dispos.","WIP  ","FHAD ","N","Y","N","WIP  ","CR   ",""
"RESDP","Reserve Offset - Deal Specific","ACCT ","","N","Y","N","INCOM","DR   ",""
"RESPF","Reserve - Portfolio General","WIP  ","","N","Y","N","WIP  ","CR   ",""
"RESPP","Reserve Offset - Portfolio","ACCT ","","N","Y","N","INCOM","DR   ",""
"RLPL ","Realized Profit and Loss","ACCT ","RRPL ","N","Y","Y","INCOM","CR   ",""
"LCCMF","L/C Confirmation Fee","ACCT ","FEEIN","N","Y","Y","INCOM","CR   ",""
"LCCON","L/C Principal Offset","ACCT ","LCCON","N","N","N","BAL  ","CR   ",""
"LCEXF","SBLC Auto Extension Fee","ACCT ","FEEIN","N","Y","Y","INCOM","CR   ",""
"LCFCF","L/C Facing Fee","ACCT ","FEEIN","N","Y","Y","INCOM","CR   ",""
"LCIPF","L/C Issuance Processing Fee","ACCT ","FEEIN","N","Y","Y","INCOM","CR   ",""
"LCPRN","L/C Principal Account","ACCT ","PRINC","N","N","N","BAL  ","DR   ",""
"FINSH","Fee Income Short","ACCT ","FINSH","N","Y","Y","INCOM","CR   ",""
"FINSP","Fee Income Short Process","FEE  ","FINSH","Y","N","N","","","N"
"FNSCN","Funds Consolidation","WIP  ","","N","Y","N","WIP  ","DR   ",""
"FPYSH","Fee Payable Short","ACCT ","FPYSH","N","N","N","BAL  ","CR   ","N"
"FRCSH","Fee Receivable Short","ACCT ","FRCSH","N","N","N","BAL  ","DR   ","N"
"FTXWH","Foreign Tax Withholding","ACCT ","","N","Y","N","TRANS","CR   ",""
"FUND ","Perpetual Debt Account - Treasury Funding","WIP  ","","N","Y","N","WIP  ","CR   ",""
"FXCNV","FX Conversion","ACCT ","","N","Y","N","TRANS","CR   ","N"
"GNOSL","Gain On Sale","ACCT ","RRPL ","N","Y","Y","INCOM","CR   ",""
"ICORE","Intercompany ORE","WIP  ","","N","Y","N","WIP  ","CR   ",""
"IDTS ","Interdepartmental","CAMAP","","N","N","N","TRANS","CR   ","N"
"IEXSH","Interest Expense Short","ACCT ","IEXSH","N","Y","Y","INCOM","CR   ","N"
"INDLN","ECA Indemnity due to Lenders","WIP  ","","N","Y","N","WIP  ","CR   ","N"
"INTCF","Internal Commission Fee","ACCT ","FEEIN","N","Y","Y","INCOM","CR   ","N"
"INTER","Intercompany Process","INTER","","Y","N","N","","",""
"INTEX","Interest Expense","ACCT ","INTIN","N","Y","Y","INCOM","CR   ","N"
"INTIN","Interest Income","ACCT ","INTIN","N","Y","Y","INCOM","CR   ",""
"INTOD","Interest Overdue","ACCT ","","N","N","N","LTD  ","DR   ","N"
"INTOF","Interest Offset","ACCT ","","N","Y","N","INCOM","CR   ","N"
"INTPE","Interest Penalty Exp.","ACCT ","","N","Y","N","INCOM","DR   ","N"
"INTPN","Interest Penalty Inc.","ACCT ","","N","Y","N","INCOM","CR   ","N"
"INTPY","Accrued Interest Payable","ACCT ","INTPY","N","N","N","BAL  ","CR   ","N"
"INTRC","Accrued Interest Rec.","ACCT ","INTRC","N","N","N","BAL  ","DR   ",""
"IOFSH","Interest Offset Short","ACCT ","","N","Y","N","INCOM","CR   ",""
"IPYSH","Interest Payable Short","ACCT ","IPYSH","N","N","N","BAL  ","CR   ","N"
"ISSRF","L/C Issuance Rate Fee Income","ACCT ","FEEIN","N","Y","Y","INCOM","CR   ",""
"LCAMF","L/C Amend. Processing Fee","ACCT ","FEEIN","N","Y","Y","INCOM","CR   ",""
"DCDEC","DSS Comp Expense (Cost of Carry)","ACCT ","","N","Y","N","LTD  ","CR   ","N"
"DCDEP","DSS Comp Expense (Int/Fee Received)","ACCT ","","N","Y","N","LTD  ","CR   ","N"
"CCONT","Contra Contingent Liability","WIP  ","","N","N","N","WIP  ","CR   ","N"
"CK   ","Check","CAMAP","","N","N","N","TRANS","CR   ","N"
"CLAIM","ECA Indemnity to be Received","ACCT ","CLAIM","N","N","N","BAL  ","DR   ","N"
"CLUPB","Collateral Unpaid Payment Balance-Lenders","WIP  ","","N","Y","N","WIP  ","CR   ","N"
"COFEX","Cost Of Funds-Expense","ACCT ","COFEX","N","Y","Y","INCOM","DR   ",""
"COFOS","Cost Of Funds-Offset","ACCT ","","N","Y","N","INCOM","CR   ",""
"UNAVF","Unavailable Fee Income","ACCT ","FEEIN","N","Y","Y","INCOM","CR   ","N"
"IBEFE","Borrower Liability Event Fee Expense","ACCT ","","N","Y","N","INCOM","DR   ","N"
"IBEFI","Borrower Liability Event Fee Income","ACCT ","","N","Y","N","INCOM","CR   ","N"
"PDPRI","Past Due Principal Loan Account","ACCT ","PDPRI","N","N","N","BAL  ","DR   ","N"
"UNFDS","Unfunded Discount","ACCT ","PRDSC","N","N","N","BAL  ","CR   ","N"
"UNPBL","Unpaid Payment Balance","WIP  ","","N","Y","N","WIP  ","DR   ","N"
"UNPDR","Unposted Debit","WIP  ","","N","Y","N","WIP  ","DR   ",""
"UNUTF","Unutilized Fee Income","ACCT ","FEEIN","N","Y","Y","INCOM","CR   ",""
"UNUTL","Fronting Commitment","ACCT ","","N","Y","N","INCOM","CR   ","N"
"FACIL","Fronting - Line","ACCT ","","N","Y","N","INCOM","CR   ","N"
"BRPF ","Risk Cover Premium Fee","ACCT ","","N","Y","N","INCOM","CR   ","N"
"SPVTL","Loan from Treasury","CAMAP","","N","Y","N","TRANS","CR   ","N"
"LCSLD","L/C Principal Sold","ACCT ","LCSLD","N","N","N","BAL  ","DR   ",""
"LCTRF","SBLC Transfer/Assignment Fee","ACCT ","FEEIN","N","Y","Y","INCOM","CR   ",""
"LEGAL","Legal Fee","ACCT ","FEEIN","N","Y","N","INCOM","CR   ","N"
"LFCIN","Late Charge Fee Income Process","FEE  ","FEEIN","Y","N","N","","",""
"LOTRN","Loss on Transfer","ACCT ","RRPL ","N","Y","Y","INCOM","DR   ","N"
"LSOSL","Loss on Sale","ACCT ","RRPL ","N","Y","Y","INCOM","DR   ","N"
"DCDIC","DSS Comp Income (Cost of Carry)","ACCT ","","N","Y","N","LTD  ","CR   ","N"
"DCDIP","DSS Comp Income (Int/Fee Received)","ACCT ","","N","Y","N","LTD  ","CR   ","N"
"DCDPC","DSS Comp Payable (Cost of Carry)","ACCT ","","N","Y","N","LTD  ","CR   ","N"
"DCDPP","DSS Comp Payable (Int/Fee Received)","ACCT ","","N","Y","N","LTD  ","CR   ","N"
"DCDRC","DSS Comp Receivable (Cost of Carry)","ACCT ","","N","Y","N","LTD  ","DR   ","N"
"MTMTS","MTM Reval-Offset to Unreal P&L on Avail Pos Short","ACCT ","","N","N","N","LTD  ","DR   ","N"
"NOSTR","Nostro Transfer","CAMAP","","N","N","N","TRANS","CR   ",""
"OPTBE","Ops Treasury Breakfunding Exp","ACCT ","","N","Y","N","INCOM","CR   ","N"
"OPTNF","Option Fee Income","ACCT ","FEEIN","N","Y","Y","INCOM","CR   ",""
"OSAIN","Outst Discount Amort Income","ACCT ","","N","Y","N","INCOM","CR   ","N"
"OTHIN","Other Investment","WIP  ","","N","Y","N","WIP  ","CR   ",""
"OVSHT","Over/Short","WIP  ","OVSHT","N","Y","N","WIP  ","CR   ",""
"PIEFP","Penalty Interest Event Fee","ACCT ","FEEIN","N","Y","Y","INCOM","CR   ",""
"PRDIS","Premium/Discount","ACCT ","PRDSC","N","N","N","BAL  ","CR   ",""
"PRINC","Principal Loan Account","ACCT ","PRINC","N","N","N","BAL  ","DR   ",""
"PRINS","Principal Loan Account - Short","ACCT ","PRINS","N","N","N","BAL  ","CR   ","N"
"PRMSH","Premium Short","ACCT ","DPSHT","N","N","N","BAL  ","DR   ",""
"PRMUM","Position Premium","ACCT ","PRDSC","N","N","N","BAL  ","DR   ",""
"PRPYF","Prepayment Penalty Fee","ACCT ","FEEIN","N","Y","Y","INCOM","CR   ",""
"PTRFE","Part Transfer Fee Expense","ACCT ","","N","N","N","INCOM","DR   ","N"
"SRFFI","SWAP Sell Return Fee Income","ACCT ","SRFFI","N","Y","Y","INCOM","CR   ","N"
"SRFFP","SWAP Buy Return Fee Payable","ACCT ","SRFFP","N","N","Y","BAL  ","CR   ","N"
"SRFFR","SWAP Sell Return Fee Receivable","ACCT ","SRFFR","N","N","Y","BAL  ","DR   ","N"
"SRFIE","SWAP Buy Return Interest Expense","ACCT ","SRFII","N","Y","Y","INCOM","CR   ","N"
"SRFII","SWAP Sell Return Interest Income","ACCT ","SRFII","N","Y","Y","INCOM","CR   ","N"
"SRFIP","SWAP Buy Return Interest Payable","ACCT ","SRFIP","N","N","Y","BAL  ","CR   ","N"
"SRFIR","SWAP Sell Return Interest Receivable","ACCT ","SRFIR","N","N","Y","BAL  ","DR   ",""
"STBOR","Short Term Borrowing","WIP  ","","N","Y","N","WIP  ","CR   ",""
"FEXSP","Fee Expense Short Process","FEE  ","FEXSH","Y","N","N","","","N"
"FFEVF","Event Fee Income","ACCT ","FEEIN","N","Y","Y","INCOM","CR   ",""
"VATRV","VAT Past Due Receivable","ACCT ","","N","N","N","TRANS","CR   ","N"
"AVAIF","Available Fee Income","ACCT ","FEEIN","N","Y","Y","INCOM","CR   ","N"
"AYUNF","Available/Unutilized Fee In","ACCT ","FEEIN","N","Y","Y","INCOM","CR   ","N"
"BAISF","Bankers Acceptance Rate fee","ACCT ","FEEIN","N","Y","Y","INCOM","CR   ",""
"BAISS","BA Issuance","ACCT ","","N","N","N","LTDIN","CR   ","N"
"BALIA","BA Customer Liability","ACCT ","","N","N","N","LTDIN","DR   ","N"
"BAPRN","BA Principal","ACCT ","PRINC","N","N","N","BAL  ","DR   ","N"
"BASTM","BA Stamping Fee Income","ACCT ","","N","Y","N","INCOM","CR   ","N"
"BASTP","BA Stamping Fee Income","ACCT ","FEEIN","N","N","N","INCOM","CR   ",""
"BNCRP","Benefit of Commit.Red.Pay.","WIP  ","","N","N","N","WIP  ","CR   ","N"
"BNCRR","Benefit of Commit.Red.Rec.","WIP  ","","N","N","N","WIP  ","DR   ","N"
"BOEAC","Bill of Exchange Acceptance","ACCT ","","N","Y","N","LTDIN","DR   ","N"
"BOEAO","Bill of Exchange Accpt-Offset","ACCT ","","N","Y","N","LTDIN","CR   ","N"
"BOEPL","Bill of Exchange P&L","ACCT ","","N","Y","N","INCOM","CR   ","N"
"BRFPY","Breakfunding Fee Pay.","WIP  ","","N","Y","N","WIP  ","CR   ","N"
"BRFRC","Breakfunding Fee Rec.","WIP  ","","N","Y","N","WIP  ","DR   ","N"
"BRKFD","Breakfunding Fee Inc/Exp.","ACCT ","","N","Y","N","INCOM","CR   ","N"
"BRKPY","Broker Fee Payable","WIP  ","","N","Y","N","WIP  ","CR   ","N"
"BRKRC","Broker Fee Rec.","WIP  ","","N","Y","N","WIP  ","DR   ","N"
"BRKRF","Broker Fee Income","ACCT ","FEEIN","N","Y","Y","INCOM","CR   ","N"
"BTHFX","BT Holdings Funding Int. Exp.","ACCT ","","N","Y","N","INCOM","DR   ",""
"BXPRP","Bill of Exchange Preparation Fee Income","ACCT ","","N","Y","N","INCOM","CR   ","N"
"BXRLV","Bill of Exchange Rollover Fee Income","ACCT ","","N","Y","N","INCOM","CR   ","N"
"CBIDF","Competitive Bid Agency Fee","ACCT ","FEEIN","N","Y","Y","INCOM","CR   ","N"
"UPLCS","Unrealized P&L Based on Covered Short","ACCT ","UPLCS","N","N","Y","INCOM","CR   ","N"
"UPLNB","Recognized Unrealized P&L (NonBook Adjustment)","ACCT ","RUPNB","N","N","Y","INCOM","CR   ",""
"UPLSH","Rec Unreal P&L (On Short Pos)","ACCT ","UPLSH","N","N","Y","INCOM","CR   ","N"
"UPLTS","Unrealized P&L Based on Trade Date Position Short","ACCT ","UPLTS","N","N","Y","INCOM","CR   ","N"
