"PRF_RID_RMTNC","PRF_RID_OWNER","PRF_CID_CUSTOMER","PRF_RID_SVC_GROUP","PRF_CDE_ROLE","PRF_UID_REC_UPDATE","PRF_UID_REC_CREATE","PRF_TSP_REC_UPDATE","PRF_TSP_REC_CREATE","PRF_TXT_FROM_STRNG","PRF_TXT_TO_STRNG","PRF_IND_TX_WTH_REQ","PRF_PCT_TX_WTHHLD","PRF_CDE_OWNER_TYPE","PRF_IND_FPML_ENBLD","PRF_CDE_BRANCH"
"RGE4ZZP9","RGE4ZZIU","3FE4FBRS","3FE4FBSR","BORR ","RPTINP01","RPTINP01","2020-02-03 14:56:02","2020-02-03 14:56:02","","","N","0","DEA  ","N",""
"RGE4ZZQZ","RGE4ZZIU","AMDPAOVM","@*DZF8KQ","AGENT","RPTINP01","RPTINP01","2020-02-03 14:57:06","2020-02-03 14:57:06","","","N","0","DEA  ","N",""
"RGE500EO","RGE500CE","J5E4FAXX","J5E4FAZ1","BORR ","RPTINP01","RPTINP01","2020-02-03 15:11:18","2020-02-03 15:11:18","","","N","0","DEA  ","N",""
";?E500F9",";?E5004R","AMDPAOVM","@*DZF8KQ","AGENT","WBAYERS ","WBAYERS ","2020-02-03 15:11:39","2020-02-03 15:11:39","","","N","0","DEA  ","N",""
"RGE500GM","RGE500CE","J5E4FAZF","J5E4FB05","BORR ","RPTINP01","RPTINP01","2020-02-03 15:12:27","2020-02-03 15:12:27","","","N","0","DEA  ","N",""
"RGE500ID","RGE500CE","3FE4FBRS","3FE4FBSR","BORR ","RPTINP01","RPTINP01","2020-02-03 15:13:29","2020-02-03 15:13:29","","","N","0","DEA  ","N",""
"RGE500JY","RGE500CE","AMDPAOVM","@*DZF8KQ","AGENT","RPTINP01","RPTINP01","2020-02-03 15:14:29","2020-02-03 15:14:29","","","N","0","DEA  ","N",""
"*8E5ST8X","*8E5ST8H","J5E4FAXX","J5E4FAZ1","BORR ","RPTINP01","RPTINP01","2020-02-19 03:41:47","2020-02-19 03:41:47","","","N","0","DEA  ","N",""
"*8E5ST95","*8E5ST8H","J5E4FAZF","J5E4FB05","BORR ","RPTINP01","RPTINP01","2020-02-19 03:42:46","2020-02-19 03:42:46","","","N","0","DEA  ","N",""
"*8E5ST9E","*8E5ST8H","3FE4FBRS","3FE4FBSR","BORR ","RPTINP01","RPTINP01","2020-02-19 03:43:42","2020-02-19 03:43:42","","","N","0","DEA  ","N",""
"*8E5ST9J","*8E5ST8H","AMDPAOVM","@*DZF8KQ","AGENT","RPTINP01","RPTINP01","2020-02-19 03:44:36","2020-02-19 03:44:36","","","N","0","DEA  ","N",""
"*OE5STQ9","*OE5STPT","J5E4FAXX","J5E4FAZ1","BORR ","RPTINP01","RPTINP01","2020-02-19 04:09:26","2020-02-19 04:09:26","","","N","0","DEA  ","N",""
"*OE5STQH","*OE5STPT","J5E4FAZF","J5E4FB05","BORR ","RPTINP01","RPTINP01","2020-02-19 04:10:21","2020-02-19 04:10:21","","","N","0","DEA  ","N",""
"*OE5STQQ","*OE5STPT","3FE4FBRS","3FE4FBSR","BORR ","RPTINP01","RPTINP01","2020-02-19 04:11:12","2020-02-19 04:11:12","","","N","0","DEA  ","N",""
"*OE5STQV","*OE5STPT","AMDPAOVM","@*DZF8KQ","AGENT","RPTINP01","RPTINP01","2020-02-19 04:12:08","2020-02-19 04:12:08","","","N","0","DEA  ","N",""
"*;E5SV2U","*;E5SV2E","J5E4FAXX","J5E4FAZ1","BORR ","RPTINP01","RPTINP01","2020-02-19 04:37:06","2020-02-19 04:37:06","","","N","0","DEA  ","N",""
"$RE774DP","$RE774D9","J5E4FAXX","J5E4FAZ1","BORR ","HSUSER01","HSUSER01","2020-03-17 07:13:58","2020-03-17 07:13:58","","","N","0","DEA  ","N",""
"$RE774DX","$RE774D9","J5E4FAZF","J5E4FB05","BORR ","HSUSER01","HSUSER01","2020-03-17 07:14:50","2020-03-17 07:14:50","","","N","0","DEA  ","N",""
"$RE774E6","$RE774D9","3FE4FBRS","3FE4FBSR","BORR ","HSUSER01","HSUSER01","2020-03-17 07:15:46","2020-03-17 07:15:46","","","N","0","DEA  ","N",""
"$RE774EB","$RE774D9","AMDPAOVM","@*DZF8KQ","AGENT","HSUSER01","HSUSER01","2020-03-17 07:16:40","2020-03-17 07:16:40","","","N","0","DEA  ","N",""
"$1E775YE","$1E775XY","J5E4FAXX","J5E4FAZ1","BORR ","HSUSER01","HSUSER01","2020-03-17 08:14:48","2020-03-17 08:14:48","","","N","0","DEA  ","N",""
"$1E775YM","$1E775XY","J5E4FAZF","J5E4FB05","BORR ","HSUSER01","HSUSER01","2020-03-17 08:15:48","2020-03-17 08:15:48","","","N","0","DEA  ","N",""
"$1E775YV","$1E775XY","3FE4FBRS","3FE4FBSR","BORR ","HSUSER01","HSUSER01","2020-03-17 08:16:45","2020-03-17 08:16:45","","","N","0","DEA  ","N",""
"$1E775Z0","$1E775XY","AMDPAOVM","@*DZF8KQ","AGENT","HSUSER01","HSUSER01","2020-03-17 08:17:47","2020-03-17 08:17:47","","","N","0","DEA  ","N",""
"D1E778AY","D1E778AI","J5E4FAXX","J5E4FAZ1","BORR ","HSUSER01","HSUSER01","2020-03-17 09:26:19","2020-03-17 09:26:19","","","N","0","DEA  ","N",""
"D1E778B6","D1E778AI","J5E4FAZF","J5E4FB05","BORR ","HSUSER01","HSUSER01","2020-03-17 09:27:18","2020-03-17 09:27:18","","","N","0","DEA  ","N",""
"D1E778BF","D1E778AI","3FE4FBRS","3FE4FBSR","BORR ","HSUSER01","HSUSER01","2020-03-17 09:28:18","2020-03-17 09:28:18","","","N","0","DEA  ","N",""
"D1E778BK","D1E778AI","AMDPAOVM","@*DZF8KQ","AGENT","HSUSER01","HSUSER01","2020-03-17 09:29:21","2020-03-17 09:29:21","","","N","0","DEA  ","N",""
"S1E78NA1","S1E78N9L","J5E4FAXX","J5E4FAZ1","BORR ","HSUSER01","HSUSER01","2020-03-18 02:59:03","2020-03-18 02:59:03","","","N","0","DEA  ","N",""
"S1E78NA9","S1E78N9L","J5E4FAZF","J5E4FB05","BORR ","HSUSER01","HSUSER01","2020-03-18 03:00:01","2020-03-18 03:00:01","","","N","0","DEA  ","N",""
"S1E78NAI","S1E78N9L","3FE4FBRS","3FE4FBSR","BORR ","HSUSER01","HSUSER01","2020-03-18 03:00:59","2020-03-18 03:00:59","","","N","0","DEA  ","N",""
"S1E78NAN","S1E78N9L","AMDPAOVM","@*DZF8KQ","AGENT","HSUSER01","HSUSER01","2020-03-18 03:02:02","2020-03-18 03:02:02","","","N","0","DEA  ","N",""
"75E794V2","75E794UM","J5E4FAXX","J5E4FAZ1","BORR ","HSUSER01","HSUSER01","2020-03-18 09:18:46","2020-03-18 09:18:46","","","N","0","DEA  ","N",""
"75E794VO","75E794UM","AMDPAOVM","@*DZF8KQ","AGENT","HSUSER01","HSUSER01","2020-03-18 09:21:28","2020-03-18 09:21:28","","","N","0","DEA  ","N",""
"ISE7AN51","ISE7AN2D","J5E4FAXX","J5E4FAZ1","BORR ","HSUSER01","HSUSER01","2020-03-19 06:05:33","2020-03-19 06:05:33","","","N","0","DEA  ","N",""
"ISE7AN7A","ISE7AN2D","J5E4FAZF","J5E4FB05","BORR ","HSUSER01","HSUSER01","2020-03-19 06:06:50","2020-03-19 06:06:50","","","N","0","DEA  ","N",""
"ISE7AN9F","ISE7AN2D","3FE4FBRS","3FE4FBSR","BORR ","HSUSER01","HSUSER01","2020-03-19 06:08:07","2020-03-19 06:08:07","","","N","0","DEA  ","N",""
"ISE7ANBO","ISE7AN2D","AMDPAOVM","@*DZF8KQ","AGENT","HSUSER01","HSUSER01","2020-03-19 06:09:32","2020-03-19 06:09:32","","","N","0","DEA  ","N",""
"24E7B4WF","24E7B4VZ","J5E4FAXX","J5E4FAZ1","BORR ","HSUSER01","HSUSER01","2020-03-19 12:25:50","2020-03-19 12:25:50","","","N","0","DEA  ","N",""
"24E7B4WN","24E7B4VZ","J5E4FAZF","J5E4FB05","BORR ","HSUSER01","HSUSER01","2020-03-19 12:26:52","2020-03-19 12:26:52","","","N","0","DEA  ","N",""
"24E7B4WW","24E7B4VZ","3FE4FBRS","3FE4FBSR","BORR ","HSUSER01","HSUSER01","2020-03-19 12:27:53","2020-03-19 12:27:53","","","N","0","DEA  ","N",""
"24E7B4X1","24E7B4VZ","AMDPAOVM","@*DZF8KQ","AGENT","HSUSER01","HSUSER01","2020-03-19 12:29:02","2020-03-19 12:29:02","","","N","0","DEA  ","N",""
"2ZE7B6VL","2ZE7B6V5","J5E4FAXX","J5E4FAZ1","BORR ","HSUSER01","HSUSER01","2020-03-19 13:10:24","2020-03-19 13:10:24","","","N","0","DEA  ","N",""
"2ZE7B6VT","2ZE7B6V5","J5E4FAZF","J5E4FB05","BORR ","HSUSER01","HSUSER01","2020-03-19 13:11:27","2020-03-19 13:11:27","","","N","0","DEA  ","N",""
"2ZE7B6WQ","2ZE7B6V5","3FE4FBRS","3FE4FBSR","BORR ","HSUSER01","HSUSER01","2020-03-19 13:12:29","2020-03-19 13:12:29","","","N","0","DEA  ","N",""
"2ZE7B6YE","2ZE7B6V5","AMDPAOVM","@*DZF8KQ","AGENT","HSUSER01","HSUSER01","2020-03-19 13:13:33","2020-03-19 13:13:33","","","N","0","DEA  ","N",""
"2.E7BAMW","2.E7BAJX","J5E4FAXX","J5E4FAZ1","BORR ","HSUSER01","HSUSER01","2020-03-19 14:33:03","2020-03-19 14:33:03","","","N","0","DEA  ","N",""
"2.E7BAOV","2.E7BAJX","J5E4FAZF","J5E4FB05","BORR ","HSUSER01","HSUSER01","2020-03-19 14:34:12","2020-03-19 14:34:12","","","N","0","DEA  ","N",""
"2.E7BAQY","2.E7BAJX","3FE4FBRS","3FE4FBSR","BORR ","HSUSER01","HSUSER01","2020-03-19 14:35:30","2020-03-19 14:35:30","","","N","0","DEA  ","N",""
"2.E7BASZ","2.E7BAJX","AMDPAOVM","@*DZF8KQ","AGENT","HSUSER01","HSUSER01","2020-03-19 14:36:42","2020-03-19 14:36:42","","","N","0","DEA  ","N",""
"-)E8A98X","-)E8A98H","J5E4FAXX","J5E4FAZ1","BORR ","HSUSER01","HSUSER01","2020-04-07 11:12:52","2020-04-07 11:12:52","","","N","0","DEA  ","N",""
"-)E8A995","-)E8A98H","J5E4FAZF","J5E4FB05","BORR ","HSUSER01","HSUSER01","2020-04-07 11:14:22","2020-04-07 11:14:22","","","N","0","DEA  ","N",""
"-)E8A99E","-)E8A98H","3FE4FBRS","3FE4FBSR","BORR ","HSUSER01","HSUSER01","2020-04-07 11:15:46","2020-04-07 11:15:46","","","N","0","DEA  ","N",""
"-)E8A99J","-)E8A98H","AMDPAOVM","@*DZF8KQ","AGENT","HSUSER01","HSUSER01","2020-04-07 11:17:54","2020-04-07 11:17:54","","","N","0","DEA  ","N",""
"-)E8A9BC","-)E8A9A7","J5E4FAXX","J5E4FAZ1","BORR ","HSUSER01","HSUSER01","2020-04-07 11:39:45","2020-04-07 11:39:45","","","N","0","DEA  ","N",""
"-)E8A9DP","-)E8A9A7","J5E4FAZF","J5E4FB05","BORR ","HSUSER01","HSUSER01","2020-04-07 11:41:10","2020-04-07 11:41:10","","","N","0","DEA  ","N",""
"-)E8A9G1","-)E8A9A7","3FE4FBRS","3FE4FBSR","BORR ","HSUSER01","HSUSER01","2020-04-07 11:42:31","2020-04-07 11:42:31","","","N","0","DEA  ","N",""
"-)E8A9IO","-)E8A9A7","AMDPAOVM","@*DZF8KQ","AGENT","HSUSER01","HSUSER01","2020-04-07 11:44:10","2020-04-07 11:44:10","","","N","0","DEA  ","N",""
"-8E8ACZO","-8E8ACVK","J5E4FAXX","J5E4FAZ1","BORR ","HSUSER01","HSUSER01","2020-04-07 12:59:13","2020-04-07 12:59:13","","","N","0","DEA  ","N",""
"-8E8AD2F","-8E8ACVK","J5E4FAZF","J5E4FB05","BORR ","HSUSER01","HSUSER01","2020-04-07 13:00:53","2020-04-07 13:00:53","","","N","0","DEA  ","N",""
"-8E8AEWQ","-8E8AETA","J5E4FAXX","J5E4FAZ1","BORR ","HSUSER01","HSUSER01","2020-04-07 13:40:35","2020-04-07 13:40:35","","","N","0","DEA  ","N",""
"-8E8AHXL","-8E8AHJW","3FE4FBRS","3FE4FBSR","BORR ","HSUSER01","HSUSER01","2020-04-07 14:45:56","2020-04-07 14:45:56","","","N","0","DEA  ","N",""
"-8E8AM2O","-8E8ALRW","J5E4FAXX","J5E4FAZ1","BORR ","HSUSER01","HSUSER01","2020-04-07 16:15:52","2020-04-07 16:15:52","","","N","0","DEA  ","N",""
"-8E8AMDI","-8E8ALRW","J5E4FAZF","J5E4FB05","BORR ","HSUSER01","HSUSER01","2020-04-07 16:21:59","2020-04-07 16:21:59","","","N","0","DEA  ","N",""
"-8E8AMIL","-8E8ALRW","3FE4FBRS","3FE4FBSR","BORR ","HSUSER01","HSUSER01","2020-04-07 16:25:04","2020-04-07 16:25:04","","","N","0","DEA  ","N",""
"-8E8AMP8","-8E8ALRW","AMDPAOVM","@*DZF8KQ","AGENT","HSUSER01","HSUSER01","2020-04-07 16:29:11","2020-04-07 16:29:11","","","N","0","DEA  ","N",""
"-YE8BA2Q","-YE8BA2A","J5E4FAXX","J5E4FAZ1","BORR ","HSUSER01","HSUSER01","2020-04-07 23:49:23","2020-04-07 23:49:23","","","N","0","DEA  ","N",""
"-YE8BA2Y","-YE8BA2A","J5E4FAZF","J5E4FB05","BORR ","HSUSER01","HSUSER01","2020-04-07 23:50:44","2020-04-07 23:50:44","","","N","0","DEA  ","N",""
"-YE8BA37","-YE8BA2A","3FE4FBRS","3FE4FBSR","BORR ","HSUSER01","HSUSER01","2020-04-07 23:52:03","2020-04-07 23:52:03","","","N","0","DEA  ","N",""
"-YE8BA3C","-YE8BA2A","AMDPAOVM","@*DZF8KQ","AGENT","HSUSER01","HSUSER01","2020-04-07 23:53:46","2020-04-07 23:53:46","","","N","0","DEA  ","N",""
"-YE8BA43","-YE8BA3N","J5E4FAXX","J5E4FAZ1","BORR ","HSUSER01","HSUSER01","2020-04-08 00:11:40","2020-04-08 00:11:40","","","N","0","DEA  ","N",""
"-YE8BA4B","-YE8BA3N","J5E4FAZF","J5E4FB05","BORR ","HSUSER01","HSUSER01","2020-04-08 00:13:12","2020-04-08 00:13:12","","","N","0","DEA  ","N",""
"JHE4F7FL","JHE4F7F7","?ZE4CIA6","7NE4CQON","BORR ","CFRANCIS","CFRANCIS","2020-01-23 08:15:21","2020-01-23 08:15:21","","","N","0","DEA  ","N",""
"@=E4GP3M","@=E4GP36","?ZE4CIA6","7NE4CQON","BORR ","HSUSER01","HSUSER01","2020-01-24 04:13:51","2020-01-24 04:13:51","","","N","0","DEA  ","N",""
"@=E4GP3U","@=E4GP36","AMDPAOVM","@*DZF8KQ","AGENT","HSUSER01","HSUSER01","2020-01-24 04:14:35","2020-01-24 04:14:35","","","N","0","DEA  ","N",""
"FZE4MTKO","FZE4MTJR","3FE4FBRS","3FE4FBSR","BORR ","RPTINP01","RPTINP01","2020-01-27 11:00:10","2020-01-27 11:00:10","","","N","0","DEA  ","N",""
".0E4OU23",".0E4OU0Z","AMDPAOVM","@*DZF8KQ","AGENT","WBAYERS ","WBAYERS ","2020-01-28 14:20:32","2020-01-28 14:20:32","","","N","0","DEA  ","N",""
"3AE4PXS3","3AE4PXQ8","?ZE4CIA6","7NE4CQON","BORR ","RPTINP01","RPTINP01","2020-01-29 03:20:38","2020-01-29 03:20:38","","","N","0","DEA  ","N",""
"3AE4PXTQ","3AE4PXQ8","AMDPAOVM","@*DZF8KQ","AGENT","RPTINP01","RPTINP01","2020-01-29 03:26:02","2020-01-29 03:26:02","","","N","0","DEA  ","N",""
"3AE4PY1V","3AE4PY1E","?ZE4CIA6","7NE4CQON","BORR ","RPTINP01","RPTINP01","2020-01-29 03:32:28","2020-01-29 03:32:28","","","N","0","DEA  ","N",""
"3AE4PY22","3AE4PY1E","AMDPAOVM","@*DZF8KQ","AGENT","RPTINP01","RPTINP01","2020-01-29 03:32:56","2020-01-29 03:32:56","","","N","0","DEA  ","N",""
"ZTE4MWC2","ZTE4MW9X","3FE4FBRS","3FE4FBSR","BORR ","RPTINP01","RPTINP01","2020-01-27 13:14:29","2020-01-27 13:14:29","","","N","0","DEA  ","N",""
"ZTE4MWDT","ZTE4MW9X","AMDPAOVM","@*DZF8KQ","AGENT","RPTINP01","RPTINP01","2020-01-27 13:15:35","2020-01-27 13:15:35","","","N","0","DEA  ","N",""
"ZTE4MWAD","ZTE4MW9X","J5E4FAXX","J5E4FAZ1","BORR ","RPTINP01","RPTINP01","2020-01-27 13:12:16","2020-01-27 13:12:16","","","N","0","DEA  ","N",""
"ZTE4MWAL","ZTE4MW9X","J5E4FAZF","J5E4FB05","BORR ","RPTINP01","RPTINP01","2020-01-27 13:13:24","2020-01-27 13:13:24","","","N","0","DEA  ","N",""
"DHE4H8SS","DHE4H8SC","?ZE4CIA6","7NE4CQON","BORR ","HSUSER01","HSUSER01","2020-01-24 11:16:15","2020-01-24 11:16:15","","","N","0","DEA  ","N",""
"DHE4H8T0","DHE4H8SC","AMDPAOVM","@*DZF8KQ","AGENT","HSUSER01","HSUSER01","2020-01-24 11:16:55","2020-01-24 11:16:55","","","N","0","DEA  ","N",""
"?BE4H9Z5","?BE4H9YJ","?ZE4CIA6","7NE4CQON","BORR ","WBAYERS ","WBAYERS ","2020-01-24 11:30:50","2020-01-24 11:30:50","","","N","0","DEA  ","N",""
"?BE4H9ZD","?BE4H9YJ","AMDPAOVM","@*DZF8KQ","AGENT","WBAYERS ","WBAYERS ","2020-01-24 11:31:37","2020-01-24 11:31:37","","","N","0","DEA  ","N",""
"93E4ODQT","93E4ODQA","?ZE4CIA6","7NE4CQON","BORR ","RPTINP01","RPTINP01","2020-01-28 07:29:28","2020-01-28 07:29:28","","","N","0","DEA  ","N",""
"93E4ODR0","93E4ODQA","AMDPAOVM","@*DZF8KQ","AGENT","RPTINP01","RPTINP01","2020-01-28 07:30:01","2020-01-28 07:30:01","","","N","0","DEA  ","N",""
"91E4OJRU","91E4OJM3","?ZE4CIA6","7NE4CQON","BORR ","RPTINP01","RPTINP01","2020-01-28 10:38:25","2020-01-28 10:38:25","","","N","0","DEA  ","N",""
"91E4OK1W","91E4OJM3","AMDPAOVM","@*DZF8KQ","AGENT","RPTINP01","RPTINP01","2020-01-28 10:44:27","2020-01-28 10:44:27","","","N","0","DEA  ","N",""
"DHE4H8N8","DHE4H8MS","?ZE4CIA6","7NE4CQON","BORR ","HSUSER01","HSUSER01","2020-01-24 10:47:00","2020-01-24 10:47:00","","","N","0","DEA  ","N",""
"DHE4H8NG","DHE4H8MS","AMDPAOVM","@*DZF8KQ","AGENT","HSUSER01","HSUSER01","2020-01-24 10:47:39","2020-01-24 10:47:39","","","N","0","DEA  ","N",""
"K0E4MGNS","K0E4MGNC","J5E4FAXX","J5E4FAZ1","BORR ","RPTINP01","RPTINP01","2020-01-27 06:40:23","2020-01-27 06:40:23","","","N","0","DEA  ","N",""
"K0E4MGO0","K0E4MGNC","J5E4FAZF","J5E4FB05","BORR ","RPTINP01","RPTINP01","2020-01-27 06:41:22","2020-01-27 06:41:22","","","N","0","DEA  ","N",""
"K0E4MGO9","K0E4MGNC","3FE4FBRS","3FE4FBSR","BORR ","RPTINP01","RPTINP01","2020-01-27 06:42:21","2020-01-27 06:42:21","","","N","0","DEA  ","N",""
"K0E4MGOE","K0E4MGNC","AMDPAOVM","@*DZF8KQ","AGENT","RPTINP01","RPTINP01","2020-01-27 06:43:21","2020-01-27 06:43:21","","","N","0","DEA  ","N",""
"UJE4MHXG","UJE4MHX0","J5E4FAXX","J5E4FAZ1","BORR ","RPTINP01","RPTINP01","2020-01-27 08:03:08","2020-01-27 08:03:08","","","N","0","DEA  ","N",""
"FZE4MTKT","FZE4MTJR","AMDPAOVM","@*DZF8KQ","AGENT","RPTINP01","RPTINP01","2020-01-27 11:01:13","2020-01-27 11:01:13","","","N","0","DEA  ","N",""
"ZCE4O42P","ZCE4O429","J5E4FAXX","J5E4FAZ1","BORR ","RPTINP01","RPTINP01","2020-01-28 03:45:04","2020-01-28 03:45:04","","","N","0","DEA  ","N",""
"ZCE4O42X","ZCE4O429","J5E4FAZF","J5E4FB05","BORR ","RPTINP01","RPTINP01","2020-01-28 03:46:06","2020-01-28 03:46:06","","","N","0","DEA  ","N",""
"ZCE4O436","ZCE4O429","3FE4FBRS","3FE4FBSR","BORR ","RPTINP01","RPTINP01","2020-01-28 03:47:10","2020-01-28 03:47:10","","","N","0","DEA  ","N",""
"ZCE4O43B","ZCE4O429","AMDPAOVM","@*DZF8KQ","AGENT","RPTINP01","RPTINP01","2020-01-28 03:48:12","2020-01-28 03:48:12","","","N","0","DEA  ","N",""
"S2E4D5XB","S2E4D5X6","?ZE4CIA6","7NE4CQON","BORR ","WBAYERS ","WBAYERS ","2020-01-22 15:05:44","2020-01-22 15:05:44","","","N","0","FBD  ","N",""
"Y=E4F1OP","?ZE4CI9P","?ZE4CIA6","7NE4CQON","BORR ","RPTINP01","RPTINP01","2020-01-23 06:39:01","2020-01-23 06:39:01","","","N","0","DEA  ","N",""
"Y=E4F1OW","?ZE4CI9P","AMDPAOVM","@*DZF8KQ","AGENT","RPTINP01","RPTINP01","2020-01-23 06:39:51","2020-01-23 06:39:51","","","N","0","DEA  ","N",""
"QJE5FZWH","QJE5FZVT","J5E4FAZF","J5E4FB05","BORR ","RPTINP01","RPTINP01","2020-02-12 05:38:03","2020-02-12 05:38:03","","","N","0","DEA  ","N",""
"QJE5FZWQ","QJE5FZVT","3FE4FBRS","3FE4FBSR","BORR ","RPTINP01","RPTINP01","2020-02-12 05:39:10","2020-02-12 05:39:10","","","N","0","DEA  ","N",""
"UJE4MHYV","UJE4MHX0","J5E4FAZF","J5E4FB05","BORR ","RPTINP01","RPTINP01","2020-01-27 08:04:12","2020-01-27 08:04:12","","","N","0","DEA  ","N",""
"UJE4MI0P","UJE4MHX0","3FE4FBRS","3FE4FBSR","BORR ","RPTINP01","RPTINP01","2020-01-27 08:05:16","2020-01-27 08:05:16","","","N","0","DEA  ","N",""
"UJE4MI2C","UJE4MHX0","AMDPAOVM","@*DZF8KQ","AGENT","RPTINP01","RPTINP01","2020-01-27 08:06:18","2020-01-27 08:06:18","","","N","0","DEA  ","N",""
"FZE4MTK7","FZE4MTJR","J5E4FAXX","J5E4FAZ1","BORR ","RPTINP01","RPTINP01","2020-01-27 10:58:07","2020-01-27 10:58:07","","","N","0","DEA  ","N",""
