"CMT_RID_COMMENT","CMT_UID_AUTHOR","CMT_TSP_REC_CREATE","CMT_TSP_REC_UPDATE","CMT_UID_REC_CREATE","CMT_UID_REC_UPDATE","CMT_CDE_CMT_SUBTYP","CMT_TID_TABLE_ID","CMT_RID_GENRIC_KEY","CMT_PID_DEAL","CMT_CID_CUST_ID","CMT_TXT_TTL_CMNT","CMT_TXT_COMMENT","CMT_CDE_BRANCH"
"9GEGPS8D","SMANZANO","2020-09-18 16:17:27","2020-09-18 16:17:27","SMANZANO","SMANZANO","GENRL","PCP","9GEGPS7Z","YZEFEWH5","","Reverse Paper Clip for AMS_DEAL3","reverse payment","CG852"
"H+EGERJW","LIQUSR03","2020-08-26 15:58:26","2020-08-26 15:58:26","LIQUSR03","LIQUSR03","GENRL","OST","H+EFJ1OL","0REF4EYL","","MCP_OST_RLSED_TC006","MCP_OST_RLSED_TC006","CG852"
"H+EGERKE","LIQUSR03","2020-08-26 15:59:00","2020-08-26 15:59:00","LIQUSR03","LIQUSR03","GENRL","OST","H+EFJ25O","0REF4EYL","","MCP_OST_RLSED_TC005","MCP_OST_RLSED_TC005","CG852"
"H+EGERL0","LIQUSR03","2020-08-26 15:59:44","2020-08-26 15:59:44","LIQUSR03","LIQUSR03","GENRL","OST","H+EFJ2J9","0REF4EYL","","MCP_OST_RLSED_TC007","MCP_OST_RLSED_TC007","CG852"
"51EFYCWC","LIQUSR03","2020-09-03 21:59:36","2020-09-03 21:59:36","LIQUSR03","LIQUSR03","GENRL","PCP","51EFYCW5","0REF4EYL","","Reverse Paper Clip for TEST DEAL MANUAL","reverse","CG852"
"+2EFZSQM","JANICEA1","2020-09-04 16:39:49","2020-09-04 16:39:49","JANICEA1","JANICEA1","GENRL","EFP","+2EFZSQE","9ZEF82FK","","Reverse Arranger Fee Event Fee","reverse event fee","CG852"
"GREGNHWE","JAQUITAN","2020-09-17 11:27:18","2020-09-17 11:27:18","JAQUITAN","JAQUITAN","GENRL","DAM","GREGNHWB","9ZEF82FK","","Amendment","adding gbp facility","CG852"
"P9EGO632","JAQUITAN","2020-09-17 19:10:48","2020-09-17 19:10:48","JAQUITAN","JAQUITAN","GENRL","EFP","P9EGO62T","9ZEF82FK","","Reverse Arranger Fee Event Fee","asdasd","CG852"
"FNEGPJDR","DANUSR01","2020-09-18 13:30:17","2020-09-18 13:30:17","DANUSR01","DANUSR01","LS   ","OTR","FNEGPJBQ","","","Lender Shares","test",""
"9GEGPS97","SMANZANO","2020-09-18 16:19:54","2020-09-18 16:19:54","SMANZANO","SMANZANO","GENRL","PCP","9GEGPS8T","YZEFEWH5","","Reverse Paper Clip for AMS_DEAL3","reverse payment","CG852"
"OEEGUSBT","JAQUITAN","2020-09-21 10:18:25","2020-09-21 10:18:25","JAQUITAN","JAQUITAN","GENRL","EFP","OEEGUSBK","9ZEF82FK",""," Fee","retest event fee data","CG852"
"C9EGWSNS","SMANZANO","2020-09-22 12:20:42","2020-09-22 12:20:42","SMANZANO","SMANZANO","GENRL","PCP","C9EGWSNG","YZEFEWH5","","Paper Clip for AMS_DEAL3","paper clip","CG852"
"CBEGWTIZ","MANZANOS","2020-09-22 12:36:56","2020-09-22 12:36:56","MANZANOS","MANZANOS","GENRL","PCP","CBEGWTIL","YZEFEWH5","","reverse Reverse Paper Clip for AMS_DEAL3","reverse paper clip","CG852"
"=7EGZJ4E","JCUSR01 ","2020-09-23 23:36:59","2020-09-23 23:36:59","JCUSR01 ","JCUSR01 ","OSTCT","OST","=7EGZJ4D","","","Outstanding Changed","Released Loan Change Transaction - -Changed Repayment Schedule Sync Indicator from true to false.",""
"N.EH2BO8","CMARTILL","2020-09-25 10:50:27","2020-09-25 10:50:27","CMARTILL","CMARTILL","GENRL","PCP","N.EH2BO5","S#EESVPY","","Paper Clip for AMSTER BILAT DEAL1","Principal + interest payment","CG852"
"94EHDE15","JAQUITAN","2020-10-01 10:07:08","2020-10-01 10:07:08","JAQUITAN","JAQUITAN","GENRL","EFP","94EHDE0W","9ZEF82FK","","Reverse Arranger Fee Event Fee","event fee reversal","CG852"
"9)EHDETM","JAQUITAN","2020-10-01 10:12:15","2020-10-01 10:12:15","JAQUITAN","JAQUITAN","GENRL","EFP","9)EHDETD","9ZEF82FK",""," Fee","this transaction if for wss testing event fee reversal","CG852"
"9.EHDFA0","JANICEA1","2020-10-01 10:16:07","2020-10-01 10:16:07","JANICEA1","JANICEA1","GENRL","EFP","9.EHDF9R","9ZEF82FK","","Reverse Arranger Fee Event Fee","reversal","CG852"
"CKDZFK6Y","FOULISTR","2019-10-18 07:33:17","2019-10-18 07:33:17","FOULISTR","FOULISTR","CUST ","CRI","@*DZF8KW","","AMDPAOVM","COMMONWEALTHBANKOFAUSTCB001/CBA IB SUNDR","Updated in line with Production as per Lins email dated 17/10/19",""
"CKDZFK6Z","FOULISTR","2019-10-18 07:33:47","2019-10-18 07:33:47","FOULISTR","FOULISTR","CUST ","CRI","@*DZFA03","","AMDPAOVM","COMMONWEALTHBANKOFAUSTCB001/LOANIQ SETTL","Updated in line with Production as per Lin's email dated 17/10/19",""
"(KE4Q1A7","WBAYERS ","2020-01-29 04:55:08","2020-01-29 04:55:08","WBAYERS ","WBAYERS ","BRFND","CPR","(KE4Q1A4","","(KE4Q19S"," ","This is a breakfunding agreement text",""
"(KE4Q1AJ","WBAYERS ","2020-01-29 04:55:32","2020-01-29 04:55:32","WBAYERS ","WBAYERS ","BRFND","CLO","(KE4Q1AG","","(KE4Q19S"," ","This is a breakfunding text.",""
"NPEI1VNJ","JAQUITAN","2020-10-14 16:49:30","2020-10-14 16:49:30","JAQUITAN","JAQUITAN","GENRL","DAM","NPEI1VNG","D3EI1MRL","","Amendment","add another nok facility","CG852"
"X-EI20TX","SMANZANO","2020-10-14 18:40:14","2020-10-14 18:40:14","SMANZANO","SMANZANO","GENRL","FTR","X-EI20T2","D3EI1MRL","","Facility Add/Unscheduled Commitment Incr","Add facility for USD","CG852"
"IKEI22HA","SMANZANO","2020-10-14 19:15:50","2020-10-14 19:15:50","SMANZANO","SMANZANO","GENRL","FTR","IKEI22GF","D3EI1MRL","","Facility Add/Unscheduled Commitment Incr","Add facility for USD","CG852"
"I-EI25CT","SMANZANO","2020-10-14 20:03:22","2020-10-14 20:03:22","SMANZANO","SMANZANO","GENRL","FTR","I-EI25BY","D3EI1MRL","","Facility Add/Unscheduled Commitment Incr","Add facility for USD","CG852"
"B4EI393G","LIQUSR03","2020-10-15 10:04:46","2020-10-15 10:04:46","LIQUSR03","LIQUSR03","GENRL","DAM","B4EI393D","D3EI1MRL","","Amendment","Add facility for AUD","CG852"
":6EI3G44","LIQUSR03","2020-10-15 11:20:42","2020-10-15 11:20:42","LIQUSR03","LIQUSR03","GENRL","DAM",":6EI3G41","$QEI1OJW","","Amendment","add facility b","CG852"
"*4EI53U4","ARFELI01","2020-10-16 09:40:38","2020-10-16 09:40:38","ARFELI01","ARFELI01","CPRIC","IDE","*4EI53TT","*4EI53P2","","Add Comment","{BACKSPACE}Add Comment","CG852"
"=+EI1JUQ","SMANZANO","2020-10-14 11:22:56","2020-10-14 11:22:56","SMANZANO","SMANZANO","GENRL","DAM","=+EI1JUN","40EDZTD7","","Amendment","add facility for USD","CG852"
"=+EI1L5X","SMANZANO","2020-10-14 11:41:03","2020-10-14 11:41:03","SMANZANO","SMANZANO","GENRL","FTR","=+EI1L52","40EDZTD7","","Facility Add/Unscheduled Commitment Incr","add facility for USD","CG852"
"NPEI1VS1","JAQUITAN","2020-10-14 16:51:48","2020-10-14 16:51:48","JAQUITAN","JAQUITAN","GENRL","FTR","NPEI1VR6","D3EI1MRL","","Facility Add/Unscheduled Commitment Incr","COMMENT","CG852"
"IKEI22DU","SMANZANO","2020-10-14 19:13:56","2020-10-14 19:13:56","SMANZANO","SMANZANO","GENRL","DAM","IKEI22DR","D3EI1MRL","","Amendment","Add facility for USD","CG852"
":#EIIN19","SMANZANO","2020-10-23 17:29:49","2020-10-23 17:29:49","SMANZANO","SMANZANO","GENRL","FTR",":#EIIN0W","D3EI1MRL","","Scheduled Commitment Decrease","ddasdada","CG852"
"Q.EJEH2C","CESSINP1","2020-11-09 22:19:55","2020-11-09 22:19:55","CESSINP1","CESSINP1","CPRIC","IDE","Q.EJEH23","Q.EJEGLJ","","Primaries Allocation","{BACKSPACE}Primaries Allocation","CG852"
"Q.EJEH2Y","CESSINP1","2020-11-09 22:27:36","2020-11-09 22:27:36","CESSINP1","CESSINP1","CPRIC","IDE","Q.EJEH2M","Q.EJEGLJ","","Primaries Allocation","{BACKSPACE}Primaries Allocation","CG852"
"LYEJENO5","CESSINP1","2020-11-10 00:32:41","2020-11-10 00:32:41","CESSINP1","CESSINP1","GENRL","PTR","LYEJENNU","Q.EJEGLJ","","Upfront Fee Payment from Borrower / Agen","Upfront Fee Payment Transaction","CG852"
"LCEJEOH4","CESSINP1","2020-11-10 00:42:55","2020-11-10 00:42:55","CESSINP1","CESSINP1","GENRL","PTR","LCEJEOGT","Q.EJEGLJ","","Upfront Fee Payment from Borrower / Agen","Upfront Fee Payment Transaction","CG852"
"X?EHNAWN","LIQUSR03","2020-10-06 19:54:14","2020-10-06 19:54:14","LIQUSR03","LIQUSR03","GENRL","PCP","X?EHNAWA","0REF4EYL","","Reverse Paper Clip for TEST DEAL MANUAL","REL_REV_OST_TC011_CAN_REV_OST_TC005","CG852"
"X-EI20Q2","SMANZANO","2020-10-14 18:38:06","2020-10-14 18:38:06","SMANZANO","SMANZANO","GENRL","DAM","X-EI20PZ","D3EI1MRL","","Amendment","Add facility for USD","CG852"
"C6EI002E","JAQUITAN","2020-10-13 15:59:05","2020-10-13 15:59:05","JAQUITAN","JAQUITAN","GENRL","DAM","C6EI002B","9ZEF82FK","","Amendment","comment","CG852"
"@9EHZSTD","JAQUITAN","2020-10-13 13:00:37","2020-10-13 13:00:37","JAQUITAN","JAQUITAN","GENRL","DAM","@9EHZSTA","9ZEF82FK","","Amendment","COMMENT","CG852"
"@9EHZSUH","JAQUITAN","2020-10-13 13:02:30","2020-10-13 13:02:30","JAQUITAN","JAQUITAN","GENRL","FTR","@9EHZSTN","9ZEF82FK","","Facility Add/Unscheduled Commitment Incr","COMMENT","CG852"
"CKEHZVE8","JAQUITAN","2020-10-13 14:35:51","2020-10-13 14:35:51","JAQUITAN","JAQUITAN","GENRL","DAM","CKEHZVE5","9ZEF82FK","","Amendment","COMMENT","CG852"
"CKEHZVFC","JAQUITAN","2020-10-13 14:37:46","2020-10-13 14:37:46","JAQUITAN","JAQUITAN","GENRL","FTR","CKEHZVEI","9ZEF82FK","","Facility Add/Unscheduled Commitment Incr","comment","CG852"
"C6EI004E","JAQUITAN","2020-10-13 16:03:59","2020-10-13 16:03:59","JAQUITAN","JAQUITAN","GENRL","FTR","C6EI003K","9ZEF82FK","","Facility Add/Unscheduled Commitment Incr","comment","CG852"
"NJEHN9AY","LIQUSR03","2020-10-06 19:19:47","2020-10-06 19:19:47","LIQUSR03","LIQUSR03","GENRL","PCP","NJEHN9A4","0REF4EYL","","Paper Clip for TEST DEAL MANUAL CP 2","REL_REV_OST_TC011_CAN_REV_OST_TC005","CG852"
"38EHZOOG","JAQUITAN","2020-10-13 10:59:05","2020-10-13 10:59:05","JAQUITAN","JAQUITAN","GENRL","FTR","38EHZONM","9ZEF82FK","","Facility Add/Unscheduled Commitment Incr","COMMENT","CG852"
"CNEI006P","RPTINP01","2020-10-13 16:32:55","2020-10-13 16:32:55","RPTINP01","RPTINP01","GENRL","DAM","CNEI006J",")YEHXS7X","","Amendment","Additional Facility","CG852"
"CNEI00EG","RPTINP01","2020-10-13 16:37:29","2020-10-13 16:37:29","RPTINP01","RPTINP01","GENRL","FTR","CNEI008O",")YEHXS7X","","Facility Add/Unscheduled Commitment Incr","Add facility","CG852"
":YEI3L3Z","CESSINP1","2020-10-15 14:54:48","2020-10-15 14:54:48","CESSINP1","CESSINP1","CPRIC","IDE",":YEI3L3Q",":YEI3J7H","","Primaries Allocation","{BACKSPACE}Primaries Allocation","CG852"
":YEI3NHO","CESSINP1","2020-10-15 15:46:22","2020-10-15 15:46:22","CESSINP1","CESSINP1","CPRIC","IDE",":YEI3NHF",":YEI3LNB","","Primaries Allocation","{BACKSPACE}Primaries Allocation","CG852"
")=EIAU4K","ARFELI01","2020-10-19 12:43:45","2020-10-19 12:43:45","ARFELI01","ARFELI01","CPRIC","IDE",")=EIAU49",")=EIATZI","","Add Comment","{BACKSPACE}Add Comment","CG852"
":+EJEG8Z","CESSINP1","2020-11-09 21:27:01","2020-11-09 21:27:01","CESSINP1","CESSINP1","CPRIC","IDE",":+EJEG8Q",":+EJEFS6","","Primaries Allocation","{BACKSPACE}Primaries Allocation","CG852"
"5JEJEJQY","CESSINP1","2020-11-09 22:59:03","2020-11-09 22:59:03","CESSINP1","CESSINP1","GENRL","DAM","5JEJEJQV","Q.EJEGLJ","","Amendment","Add New Term Facility","CG852"
"5;EJEK79","CESSINP1","2020-11-09 23:16:06","2020-11-09 23:16:06","CESSINP1","CESSINP1","GENRL","DAM","5;EJEK76","Q.EJEGLJ","","Amendment","Add New Term Facility","CG852"
"5LEJELY2","CESSINP1","2020-11-10 00:14:13","2020-11-10 00:14:13","CESSINP1","CESSINP1","GENRL","DAM","5LEJELXZ","Q.EJEGLJ","","Amendment","Add New Term Facility","CG852"
"38EHZONC","JAQUITAN","2020-10-13 10:57:35","2020-10-13 10:57:35","JAQUITAN","JAQUITAN","GENRL","DAM","38EHZON9","9ZEF82FK","","Amendment","COMMENT","CG852"
"I-EI25BO","SMANZANO","2020-10-14 20:02:35","2020-10-14 20:02:35","SMANZANO","SMANZANO","GENRL","DAM","I-EI25BL","D3EI1MRL","","Amendment","Add facility for USD","CG852"
"34EITJGH","TESTINP ","2020-10-29 15:01:22","2020-10-29 15:01:22","TESTINP ","TESTINP ","CPRIC","IDE","34EITJG5",")XEIRVS4","","Add Comment","{BACKSPACE}Add Comment","CG852"
"F)EK5IF3","CMARTILL","2020-11-24 12:53:15","2020-11-24 12:53:15","CMARTILL","CMARTILL","GENRL","PCP","F)EK5IE5","S#EESVPY","","Paper Clip for AMSTER BILAT DEAL1","Cycle1 and Cycle2 payment","CG852"
