OST_RID_OUTSTANDNG,OST_NME_ALIAS,OST_CID_BORROWER,OST_PID_DEAL,OST_PID_FACILITY,OST_CDE_OUTSTD_TYP,OST_CDE_PRICE_OPT,OST_CDE_OBJ_STATE,OST_CDE_OB_ST_CTG,OST_TSP_REC_CREATE,OST_TSP_REC_UPDATE,OST_UID_REC_CREATE,OST_UID_REC_UPDATE,OST_AMT_BANK_GROSS,OST_AMT_BANK_NET,OST_IND_FLOAT_RATE,OST_IND_MATCH_FUND,OST_IND_HAS_RPR_DT,OST_CDE_PERF_STAT,OST_CDE_ENDTE_RULE,OST_IND_ACCRUABLE,OST_RTE_FC_RATE,OST_RTE_FC_HS_RATE,OST_AMT_FC_BNK_GRS,OST_AMT_FC_BNK_NET,OST_CDE_TRSRY_AREA,OST_CDE_RQST_CCY,OST_IND_AC_CF_ONLY,OST_AMT_FC_CURRENT,OST_CDE_CURRENCY,OST_CDE_LOAN_PURP,OST_DTE_REPRICING,OST_CDE_REPR_FREQ,OST_CDE_RISK_TYPE,OST_PID_SUBLIMIT,OST_DTE_EFFECTIVE,OST_AMT_ORIGINAL,OST_AMT_CURRENT,OST_CDE_ACR_PERIOD,OST_IND_AUTO_EXTND,OST_CDE_EXTENSION,OST_NUM_NOTIFICATN,OST_IND_REINSTATBL,OST_NUM_EXT_INCR,OST_DTE_EXPIRY_ENT,OST_DTE_EXPIRY_CLC,OST_DTE_EXPIRY_FNL,OST_CDE_SIC,OST_CDE_GL_CLASS,OST_IND_NOTF_RCVD,OST_IND_FACING_FEE,OST_IND_ISSUIN_FEE,OST_DTE_PAID_DOWN,OST_CDE_FRG_WTHHLD,OST_PCT_FRG_WTHHLD,OST_CDE_TAX_EXEMPT,OST_PCT_TAX_EXEMPT,OST_CDE_RAC_REPRIC,OST_CDE_SIC_CNTRY,OST_DTE_RAC_REPRIC,OST_CDE_ACT_ACR_RL,OST_RID_COLLAT_DEF,OST_IND_AC_SCD_BAL,OST_AMT_SCHED_BAL,OST_IND_AUTO_PREPF,OST_IND_BILL_BORR,OST_NUM_BILL_DAYS,OST_IND_DONT_PRNT,OST_IND_DONT_MAIL,OST_IND_BILL_MATR,OST_AMT_NACR_TLRNC,OST_PCT_NACR_TLRNC,OST_RID_LCHG_RULE,OST_CDE_OVERAGE_RL,OST_IND_SEPACRFEES,OST_IND_PMAT_INT,OST_IND_ANV_DTE_AP,OST_DTE_ANIVERSARY,OST_CDE_ANVDTE_EOM,OST_IND_INT_DUE_RP,OST_IND_SYNC_PC_RP,OST_DTE_ACT_REPRIC,OST_CDE_DEC_ROUND,OST_CDE_FRAC_ROUND,OST_CDE_DEC_PRECN,OST_CDE_FRAC_IRATE,OST_CDE_RAP_MTHD,OST_IND_INC_XMLBIL,OST_CDE_UNSCHP_MTH,OST_IND_CARE_OF,OST_AMT_PREP_FEE,OST_IND_TEMP_PYMT,OST_CDE_PLEDGE,OST_AMT_ADJBAL,OST_AMT_BASE_DISC,OST_AMT_SCH_DISC,OST_CDE_CON_BIL_OP,OST_CDE_F_ACR_CUR,OST_CDE_GRACE_CAL,OST_CDE_OWNER_TYPE,OST_CDE_PSD_IT_TYP,OST_CDE_STDTE_RULE,OST_CDE_STMT_FREQ,OST_DTE_ART_SET,OST_DTE_CDS_NEXT,OST_DTE_EOC_DDLPI,OST_DTE_EOM_DDLPI,OST_DTE_FFPMT_EFF,OST_DTE_FX_RATE,OST_DTE_IFPMT_EFF,OST_DTE_INTENT,OST_DTE_NOTE,OST_DTE_RATE_SETT,OST_IND_AUTO_GEN,OST_IND_AUTO_OPYMT,OST_IND_AUTO_RD_EX,OST_IND_AUTO_REL,OST_IND_AUTO_RTF,OST_IND_BULLET_PAY,OST_IND_CMP_INT,OST_IND_CSFL_FRMTO,OST_IND_DIR_NOTE,OST_IND_ELG_98,OST_IND_ELG_99DIV,OST_IND_FDPR_DATE,OST_IND_MRT_SET,OST_IND_PMT_PLAN,OST_IND_PSTDUE_ACR,OST_IND_RP_SCH_SYN,OST_IND_SEP_99AC,OST_IND_STA_HB_SHR,OST_IND_UNED_INT,OST_IND_WAIVE_STTX,OST_NME_ACCT_NAME,OST_NME_PROPERTY,OST_NUM_PDUE_GDAYS,OST_TXT_CONTRACTID,OST_RID_LINKED_DEP,OST_RID_OWNER,OST_RID_PSTD_ITEM,OST_RID_PSTDUE_PRA,OST_RTE_AC_HS_RATE,OST_RTE_ACR_RATE,OST_RTE_PURCHASED,OST_TXT_CNTNO,OST_TXT_EOC_SRP,OST_TXT_SRC_SYS_ID,OST_CDE_IMP_STAGE,OST_IND_CFA_CHO,OST_IND_IMP_ST_OVR,OST_IND_INSCH_RPDT,OST_IND_DEPO_PAYOF,OST_IND_ITEM_PAYOF,OST_DTE_MSD_PRC,OST_DTE_MSD_INT,OST_CDE_MSD_PRC,OST_CDE_MSD_INT,OST_IND_MSD_PRC,OST_IND_MSD_INT,OST_OID_OUTSTANDNG,OST_CDE_BRANCH
X=EFL8BR,"60000587       ",)?EF8978,YZEFEWH5,YZEFEXAM,"LOAN ",EURLI,LRELS,ACTUA,2020-08-27 19:49:33,2020-08-27 20:16:18,SMANZANO,MANZANOM,1700000,1700000,N,N,Y,"ACCR ","TOAD ",Y,1,1,1700000,1700000,"NL   ",EUR,N,1700000,EUR,"ACQ  ",2020-05-29 00:00:00,"1D   ",LOANS,,2020-05-29 00:00:00,1700000,1700000,"DAL  ",N,,,N,,2025-05-27 00:00:00,,,"2161      ",OTHER,N,N,N,,,0,,0,,AU,,,,N,1700000,N,N,10,N,N,N,0,0,,OHNOT,N,N,N,,,Y,N,,"NONE ","NONE ","3    ","1/8  ",BASEF,N,"LAST ",N,0,N,,0,,,"NONE ",,,,,"EDTE ",,2020-05-27 00:00:00,,,,,2020-05-27 00:00:00,,2020-05-26 00:00:00,,2020-05-27 00:00:00,,N,N,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,,,0,,,,,,1,0,,,,,IMST1,N,N,N,Y,N,2025-05-27 00:00:00,2025-05-27 00:00:00,"LMTR ","LMTR ",N,N,3463f1c4d065d523de1c099,CG852
=SEFJ4YS,"60000532       ",)?EF8978,YZEFEWH5,YZEFEXAM,"LOAN ",EURLI,INACT,INACT,2020-08-26 16:46:41,2020-08-27 20:16:18,SMANZANO,MANZANOM,0,0,N,N,Y,"ACCR ","TOAD ",Y,1,1,0,0,"NL   ",EUR,N,0,EUR,"ACQ  ",2020-05-29 00:00:00,"1D   ",LOANS,,2020-05-28 00:00:00,1700000,0,"DAL  ",N,,,N,,2025-05-27 00:00:00,,,"2161      ",OTHER,N,N,N,2020-05-29 00:00:00,,0,,0,,AU,,,,N,0,N,N,10,N,N,N,0,0,,OHNOT,N,N,N,,,Y,N,,"NONE ","NONE ","3    ","1/8  ",BASEF,N,"LAST ",N,0,N,,0,,,"NONE ",,,,,"EDTE ",,2020-05-26 00:00:00,,,,,2020-05-27 00:00:00,,2020-05-26 00:00:00,,2020-05-27 00:00:00,,N,N,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,,,0,,,,,,1,0,,,,,IMST1,N,N,N,Y,N,2025-05-27 00:00:00,2025-05-27 00:00:00,"LMTR ","LMTR ",N,N,344c227389c17b015e1be55,CG852
-LEFSEVP,"60000632       ",SIEESUTN,(7EFGUDN,(7EFGUEQ,"LOAN ",EURLI,LRELS,ACTUA,2020-08-31 17:00:15,2020-08-31 17:17:00,CMARTILL,RPTSUP01,3200,3200,N,N,Y,"ACCR ","TOAD ",Y,1,1,3200,3200,"NZ   ",EUR,N,3200,EUR,CONSH,2020-05-22 00:00:00,"1D   ",LOANS,,2020-05-20 00:00:00,3200,3200,"DAL  ",N,,,N,,2024-04-03 00:00:00,,,"0124      ",OTHER,N,N,N,,,0,,0,,AU,,,,N,3200,N,N,10,N,N,N,0,0,,OHNOT,N,N,N,,,Y,N,,"NONE ","NONE ","3    ","1/8  ",BASEF,N,"LAST ",N,0,N,,0,,,"NONE ",,,,,"EDTE ",,2020-05-18 00:00:00,,,,,2020-05-19 00:00:00,,2020-05-18 00:00:00,,2020-05-19 00:00:00,,N,N,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,,,0,,,,,,1,0,,,,,IMST1,N,N,N,Y,N,2024-04-03 00:00:00,2024-04-03 00:00:00,"LMTR ","LMTR ",N,N,34b5cba8acc964b0be1c396,CG852
"#AEFTQDM","60000634       ",)?EF8978,YZEFEWH5,YZEFEXAM,"LOAN ",EURLI,LRELS,ACTUA,2020-09-01 10:07:55,2020-09-01 13:21:07,SMANZANO,MANZANOM,700000,700000,N,N,Y,"ACCR ","TOAD ",Y,1,1,700000,700000,"NL   ",EUR,N,700000,EUR,"ACQ  ",2020-06-29 00:00:00,"1M   ",LOANS,,2020-05-28 00:00:00,700000,700000,"MON  ",N,,,N,,2025-05-27 00:00:00,,,"2161      ",OTHER,N,N,N,,,0,,0,,AU,,,,N,700000,N,N,10,N,N,N,0,0,,OHNOT,N,N,N,,,Y,N,,"NONE ","NONE ","3    ","1/8  ",BASEF,N,"LAST ",N,0,N,,0,,,"NONE ",,,,,"EDTE ",,2020-05-26 00:00:00,,,,,2020-06-25 00:00:00,,2020-06-24 00:00:00,,2020-06-25 00:00:00,,N,N,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,,,0,,,,,,1,0,,,,,IMST1,N,N,N,Y,N,2025-05-27 00:00:00,2025-05-27 00:00:00,"LMTR ","LMTR ",N,N,34c4d36d1bc446499e1c3d6,CG852
"#AEFTQWG","60000636       ",)?EF8978,YZEFEWH5,YZEFEXAM,"LOAN ",EURLI,LRELS,ACTUA,2020-09-01 10:23:37,2020-09-01 13:21:07,SMANZANO,MANZANOM,600000,600000,N,N,Y,"ACCR ","TOAD ",Y,1,1,600000,600000,"NL   ",EUR,N,600000,EUR,"ACQ  ",2020-06-29 00:00:00,"1M   ",LOANS,,2020-05-28 00:00:00,600000,600000,"MON  ",N,,,N,,2025-05-27 00:00:00,,,"2161      ",OTHER,N,N,N,,,0,,0,,AU,,,,N,600000,N,N,10,N,N,N,0,0,,OHNOT,N,N,N,,,Y,N,,"NONE ","NONE ","3    ","1/8  ",BASEF,N,"LAST ",N,0,N,,0,,,"NONE ",,,,,"EDTE ",,2020-05-26 00:00:00,,,,,2020-06-25 00:00:00,,2020-06-24 00:00:00,,2020-06-25 00:00:00,,N,N,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,,,0,,,,,,1,0,,,,,IMST1,N,N,N,Y,N,2025-05-27 00:00:00,2025-05-27 00:00:00,"LMTR ","LMTR ",N,N,34c4fdce7663b5c2de1c3de,CG852
"#!EFUAOU","60000638       ",SIEESUTN,"#!EFTROA","#!EFTRT9","LOAN ",EURLI,LRELS,ACTUA,2020-09-01 17:22:24,2020-09-30 15:46:16,CMARTILL,CMARTILL,120000,60000,N,N,Y,"ACCR ","TOAD ",Y,1,1,120000,60000,"NZ   ",EUR,N,120000,EUR,CONSH,2020-05-29 00:00:00,"1D   ",LOANS,,2020-05-29 00:00:00,120000,120000,"DAL  ",N,,,N,,2024-05-28 00:00:00,,,"0124      ",OTHER,N,N,N,,,0,,0,,AU,,,,N,120000,N,N,10,N,N,N,0,0,,OHNOT,N,N,N,,,Y,N,,"NONE ","NONE ","3    ","1/8  ",BASEF,N,"LAST ",N,0,N,,0,,,"NONE ",,,,,"EDTE ",,2020-05-27 00:00:00,,,,,2020-05-27 00:00:00,,2020-05-26 00:00:00,,2020-05-27 00:00:00,,N,N,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,,,0,,,,,,1,0,,,,,IMST1,N,N,N,Y,N,2024-05-28 00:00:00,2024-05-28 00:00:00,"LMTR ","LMTR ",N,N,34cb40b43519e8a61e1c419,CG852
04EFZE6G,"60000656       ",SIEESUTN,S#EESVPY,S#EESVR1,"LOAN ",EURLI,LRELS,ACTUA,2020-09-04 10:55:38,2020-09-09 11:17:06,CMARTILL,RPTSUP01,5050,5050,N,N,Y,"ACCR ","TOAD ",Y,1,1,5050,5050,"NZ   ",EUR,N,5050,EUR,CONSH,2020-05-29 00:00:00,"1D   ",LOANS,,2020-05-29 00:00:00,5700,5050,"DAL  ",N,,,N,,2025-05-27 00:00:00,,,"0124      ",OTHER,N,N,N,,,0,,0,,AU,,,,N,5050,N,N,10,N,N,N,0,0,,OHNOT,N,N,N,,,Y,N,,"NONE ","NONE ","3    ","1/8  ",BASEF,N,"LAST ",N,0,N,,0,,,"NONE ",,,,,"EDTE ",,2020-05-27 00:00:00,,,,,2020-05-27 00:00:00,,2020-05-26 00:00:00,,2020-05-27 00:00:00,,N,N,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,,,0,,,,,,1,0,,,,,IMST1,N,N,N,Y,N,2025-05-27 00:00:00,2025-05-27 00:00:00,"LMTR ","LMTR ",N,N,3504d38de42078d04e1c591,CG852
04EFZDZF,"60000655       ",SIEESUTN,S#EESVPY,S#EESVR1,"LOAN ",EURLI,LRELS,ACTUA,2020-09-04 10:14:29,2020-09-07 15:30:56,CMARTILL,RPTMGR01,3200,3200,N,N,Y,"ACCR ","TOAD ",Y,1,1,3200,3200,"NZ   ",EUR,N,3200,EUR,CONSH,2020-05-29 00:00:00,"1D   ",LOANS,,2020-05-29 00:00:00,4200,3200,"DAL  ",N,,,N,,2025-05-27 00:00:00,,,"0124      ",OTHER,N,N,N,,,0,,0,,AU,,,,N,3200,N,N,10,N,N,N,0,0,,OHNOT,N,N,N,,,Y,N,,"NONE ","NONE ","3    ","1/8  ",BASEF,N,"LAST ",N,0,N,,0,,,"NONE ",,,,,"EDTE ",,2020-05-27 00:00:00,,,,,2020-05-27 00:00:00,,2020-05-26 00:00:00,,2020-05-27 00:00:00,,N,N,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,,,0,,,,,,1,0,,,,,IMST1,N,N,N,Y,N,2025-05-27 00:00:00,2025-05-27 00:00:00,"LMTR ","LMTR ",N,N,35043bc762dbb66c0e1c57e,CG852
MWEFINF0,"60000501       ",)?EF8978,@EEFGXO8,@EEFH10F,"LOAN ",EURLI,"PEND ",POTEN,2020-08-26 10:26:56,2020-08-26 10:26:56,SMANZANO,SMANZANO,0,0,N,N,Y,"ACCR ","TOAD ",N,1,1,0,0,"NL   ",EUR,N,,EUR,"ACQ  ",2020-05-28 00:00:00,"1D   ",LOANS,,2020-05-27 00:00:00,1400000,,"DAL  ",,,,N,,2025-05-27 00:00:00,,,"2161      ",,,N,N,,,0,,0,,AU,,,,N,0,N,N,10,N,N,N,0,0,,OHNOT,N,N,N,,,Y,N,,"NONE ","NONE ","3    ","1/8  ",BASEF,N,"LAST ",N,0,N,,0,,,"NONE ",,,,,"EDTE ",,2020-05-25 00:00:00,,,,,2020-05-26 00:00:00,,2020-05-25 00:00:00,,2020-05-26 00:00:00,,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,0,,,,,,1,0,,,,,IMST1,N,N,N,Y,N,,,"LMTR ","LMTR ",N,N,344694d29d88d24a6e1bcf3,CG852
HZEFIZFY,"60000519       ",SIEESUTN,(7EFGUDN,(7EFGUEQ,"LOAN ",EURLI,LRELS,ACTUA,2020-08-26 14:45:08,2020-08-26 15:20:47,CMARTILL,CMARTILL,30000,30000,N,N,Y,"ACCR ","TOAD ",Y,1,1,30000,30000,"NZ   ",EUR,N,30000,EUR,CONSH,2020-04-07 00:00:00,"1D   ",LOANS,,2020-04-06 00:00:00,30000,30000,"DAL  ",N,,,N,,2024-04-03 00:00:00,,,"0124      ",OTHER,N,N,N,,,0,,0,,AU,,,,N,30000,N,N,10,N,N,N,0,0,,OHNOT,N,N,N,,,Y,N,,"NONE ","NONE ","3    ","1/8  ",BASEF,N,"LAST ",N,0,N,,0,,,"NONE ",,,,,"EDTE ",,2020-04-02 00:00:00,,,,,2020-04-03 00:00:00,,2020-04-02 00:00:00,,2020-04-03 00:00:00,,N,N,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,,,0,,,,,,1,0,,,,,IMST1,N,N,N,Y,N,2024-04-03 00:00:00,2024-04-03 00:00:00,"LMTR ","LMTR ",N,N,344a62f5ce46b5437e1bdb3,CG852
2OEFMMR5,"60000610       ",5QEF3VVU,V8EF4706,V8EF471U,"LOAN ",EURLI,"PEND ",POTEN,2020-08-28 11:59:10,2020-08-28 13:56:58,LIQUSR05,LIQSVR05,0,0,N,N,Y,"ACCR ","TOAD ",N,1,1,0,0,"NL   ",EUR,N,,EUR,"ACQ  ",2020-06-10 00:00:00,"7D   ",LOANS,,2020-06-03 00:00:00,2293,,"WEEK ",N,,,N,,2027-06-25 00:00:00,,,"0130      ",,N,N,N,,,0,,0,,AU,,,,N,0,N,N,10,N,N,N,0,0,,OHNOT,N,N,N,,,Y,N,,"NEAR ","NEAR ","3    ","1/8  ",BASEF,N,"LAST ",N,0,N,,0,,,"NONE ",,,,,"EDTE ",,2020-05-29 00:00:00,,,,,2020-06-08 00:00:00,,2020-06-05 00:00:00,,2020-06-08 00:00:00,,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,0,,,,,,1,0,,,,,IMST1,N,N,N,Y,N,,,"LMTR ","LMTR ",N,N,347221e775f1a04eee1c216,CG852
2YEFMLKX,"60000612       ",ZHEF7YY1,9ZEF82FK,9ZEF82GL,"LOAN ",EURLI,CNCLD,INACT,2020-08-28 11:59:59,2020-08-28 12:00:31,JAQUITAN,JAQUITAN,0,0,N,N,Y,"ACCR ","TOAD ",N,1,1,0,0,"NL   ",EUR,N,,EUR,"ACQ  ",2020-05-29 00:00:00,"1D   ",LOANS,,2020-05-29 00:00:00,1200000,,"DAL  ",,,,N,,2025-05-27 00:00:00,,,"2161      ",,,N,N,,,0,,0,,AU,,,,N,0,N,N,10,N,N,N,0,0,,OHNOT,N,N,N,,,Y,N,,"NONE ","NONE ","3    ","1/8  ",BASEF,N,"LAST ",N,0,N,,0,,,"NONE ",,,,,"EDTE ",,2020-05-27 00:00:00,,,,,2020-05-27 00:00:00,,2020-05-26 00:00:00,,2020-05-27 00:00:00,,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,0,,,,,,1,0,,,,,IMST1,N,N,N,Y,N,,,"LMTR ","LMTR ",N,N,34722b5e32c948a88e1c229,CG852
2YEFMLSM,"60000615       ",ZHEF7YY1,9ZEF82FK,9ZEF82GL,"LOAN ",EURLI,INCAN,INACT,2020-08-28 12:02:01,2020-09-07 15:54:29,JAQUITAN,LS2BATCH,0,0,N,N,Y,"ACCR ","TOAD ",Y,1,1,0,0,"NL   ",EUR,N,0,EUR,"ACQ  ",2020-05-29 00:00:00,"1D   ",LOANS,,2020-05-29 00:00:00,1000000,0,"DAL  ",N,,,N,,2025-05-27 00:00:00,,,"2161      ",OTHER,N,N,N,2020-05-29 00:00:00,,0,,0,,AU,,,,N,0,N,N,10,N,N,N,0,0,,OHNOT,N,N,N,,,Y,N,,"NONE ","NONE ","3    ","1/8  ",BASEF,N,"LAST ",N,0,N,,0,,,"NONE ",,,,,"EDTE ",,2020-05-27 00:00:00,,,,,2020-05-27 00:00:00,,2020-05-26 00:00:00,,2020-05-27 00:00:00,,N,N,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,,,0,,,,,,1,0,,,,,IMST1,N,N,N,Y,N,2025-05-27 00:00:00,2025-05-27 00:00:00,"LMTR ","LMTR ",N,N,34723319bc969c265e1c242,CG852
B*EFVTN3,"60000640       ",SIEESUTN,"#!EFTROA","#!EFTRT9","LOAN ",EURLI,"PEND ",POTEN,2020-09-02 13:12:32,2020-09-02 13:18:15,SMANZANO,SMANZANO,0,0,N,N,Y,"ACCR ","TOAD ",N,1,1,0,0,"NZ   ",EUR,N,,EUR,CONSH,2020-06-05 00:00:00,"7D   ",LOANS,,2020-05-29 00:00:00,2120,,"WEEK ",,,,N,,2024-05-28 00:00:00,,,"0124      ",,,N,N,,,0,,0,,AU,,,,N,0,N,N,10,N,N,N,0,0,,OHNOT,N,N,N,,,Y,N,,"NONE ","NONE ","3    ","1/8  ",BASEF,N,"LAST ",N,0,N,,0,,,"NONE ",,,,,"EDTE ",,2020-05-27 00:00:00,,,,,2020-06-03 00:00:00,,2020-06-02 00:00:00,,2020-06-03 00:00:00,,N,N,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,,,0,,,,,,1,0,,,,,IMST1,N,N,N,Y,N,,,"LMTR ","LMTR ",N,N,34dca3434d39e9924e1c438,CG852
"#!EFUH6R","60000639       ",SIEESUTN,(7EFGXIA,(7EFGXST,"LOAN ",EURLI,LRELS,ACTUA,2020-09-01 19:42:36,2020-09-01 20:06:29,CMARTILL,RPTSUP01,1500,1500,N,N,Y,"ACCR ","TOAD ",Y,1,1,1500,1500,"NZ   ",EUR,N,1500,EUR,CONSH,2020-05-29 00:00:00,"1D   ",LOANS,,2020-05-29 00:00:00,1500,1500,"DAL  ",N,,,N,,2025-05-27 00:00:00,,,"0124      ",OTHER,N,N,N,,,0,,0,,AU,,,,N,1500,N,N,10,N,N,N,0,0,,OHNOT,N,N,N,,,Y,N,,"NONE ","NONE ","3    ","1/8  ",BASEF,N,"LAST ",N,0,N,,0,,,"NONE ",,,,,"EDTE ",,2020-05-27 00:00:00,,,,,2020-05-27 00:00:00,,2020-05-26 00:00:00,,2020-05-27 00:00:00,,N,N,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,,,0,,,,,,1,0,,,,,IMST1,N,N,N,Y,N,2025-05-27 00:00:00,2025-05-27 00:00:00,"LMTR ","LMTR ",N,N,34cd4f1edccadf850e1c420,CG852
B*EFVX86,"60000641       ",SIEESUTN,"#!EFTROA","#!EFTRT9","LOAN ",EURLI,LRELS,ACTUA,2020-09-02 14:29:26,2020-09-02 17:53:07,SMANZANO,MANZANOM,216,108,N,N,Y,"ACCR ","TOAD ",Y,1,1,216,108,"NZ   ",EUR,N,216,EUR,CONSH,2020-06-05 00:00:00,"7D   ",LOANS,,2020-05-29 00:00:00,216,216,"WEEK ",N,,,N,,2024-05-28 00:00:00,,,"0124      ",OTHER,N,N,N,,,0,,0,,AU,,,,N,216,N,N,10,N,N,N,0,0,,OHNOT,N,N,N,,,Y,N,,"NONE ","NONE ","3    ","1/8  ",BASEF,N,"LAST ",N,0,N,,0,,,"NONE ",,,,,"EDTE ",,2020-05-27 00:00:00,,,,,2020-06-03 00:00:00,,2020-06-02 00:00:00,,2020-06-03 00:00:00,,N,N,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,,,0,,,,,,1,0,,,,,IMST1,N,N,N,Y,N,2024-05-28 00:00:00,2024-05-28 00:00:00,"LMTR ","LMTR ",N,N,34ddc6af946053f1ce1c442,CG852
QNEFW8IN,"60000644       ",SIEESUTN,"#!EFTROA","#!EFTRT9","LOAN ",EURLI,INCAN,INACT,2020-09-02 18:32:38,2020-09-02 20:49:46,SMANZANO,MANZANOS,0,0,N,N,Y,"ACCR ","TOAD ",Y,1,1,0,0,"NZ   ",EUR,N,0,EUR,CONSH,2020-06-05 00:00:00,"7D   ",LOANS,,2020-05-29 00:00:00,1160,0,"WEEK ",N,,,N,,2024-05-28 00:00:00,,,"0124      ",OTHER,N,N,N,2020-05-29 00:00:00,,0,,0,,AU,,,,N,0,N,N,10,N,N,N,0,0,,OHNOT,N,N,N,,,Y,N,,"NONE ","NONE ","3    ","1/8  ",BASEF,N,"LAST ",N,0,N,,0,,,"NONE ",,,,,"EDTE ",,2020-05-27 00:00:00,,,,,2020-06-03 00:00:00,,2020-06-02 00:00:00,,2020-06-03 00:00:00,,N,N,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,,,0,,,,,,1,0,,,,,IMST1,N,N,N,Y,N,2024-05-28 00:00:00,2024-05-28 00:00:00,"LMTR ","LMTR ",N,N,34e15350d5fb48e63e1c486,CG852
0-EFZSFV,"60000657       ",SIEESUTN,S#EESVPY,S#EESVR1,"LOAN ",EURLI,LRELS,ACTUA,2020-09-04 16:34:43,2020-09-11 15:37:09,CMARTILL,RPTSUP01,600,600,N,N,Y,"ACCR ","TOAD ",Y,1,1,600,600,"NZ   ",EUR,N,600,EUR,CONSH,2020-06-09 00:00:00,"7D   ",LOANS,,2020-06-01 00:00:00,3800,600,"WEEK ",N,,,N,,2025-05-27 00:00:00,,,"0124      ",OTHER,N,N,N,,,0,,0,,AU,,,,N,600,N,N,10,N,N,N,0,0,,OHNOT,N,N,N,,,Y,N,,"NONE ","NONE ","3    ","1/8  ",BASEF,N,"LAST ",N,0,N,,0,,,"NONE ",,,,,"EDTE ",,2020-05-28 00:00:00,,,,,2020-06-04 00:00:00,,2020-06-03 00:00:00,,2020-06-04 00:00:00,,N,N,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,,,0,,,,,,1,0,,,,,IMST1,N,N,N,Y,N,2025-05-27 00:00:00,2025-05-27 00:00:00,"LMTR ","LMTR ",N,N,3509d3eb9ddc05275e1c5bb,CG852
"!TEG50VR","60000659       ",ZHEF7YY1,9ZEF82FK,9ZEF82GL,"LOAN ",EURLI,LRELS,ACTUA,2020-09-07 11:11:24,2020-09-07 11:24:19,JAQUITAN,JANICEA1,1300000,1300000,N,N,Y,"ACCR ","TOAD ",Y,1,1,1300000,1300000,"NL   ",EUR,N,1300000,EUR,"ACQ  ",2020-05-29 00:00:00,"1D   ",LOANS,,2020-05-29 00:00:00,1300000,1300000,"DAL  ",N,,,N,,2025-05-27 00:00:00,,,"2161      ",OTHER,N,N,N,,,0,,0,,AU,,,,N,1300000,N,N,10,N,N,N,0,0,,OHNOT,N,N,N,,,Y,N,,"NONE ","NONE ","3    ","1/8  ",BASEF,N,"LAST ",N,0,N,,0,,,"NONE ",,,,,"EDTE ",,2020-05-27 00:00:00,,,,,2020-05-27 00:00:00,,2020-05-26 00:00:00,,2020-05-27 00:00:00,,N,N,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,,,0,,,,,,1,0,,,,,IMST1,N,N,N,Y,N,2025-05-27 00:00:00,2025-05-27 00:00:00,"LMTR ","LMTR ",N,N,35446402e3265db93e1c5ea,CG852
H+EFJ2J9,"60000530       ",SIEESUTN,0REF4EYL,0REF4FMA,"LOAN ",FIXED,LRELS,ACTUA,2020-08-26 15:46:54,2020-09-04 16:34:08,LIQUSR03,LIQUSR03,598816.57,598816.57,N,N,N,"ACCR ","TOAD ",Y,1,1,598816.57,598816.57,"NZ   ",EUR,N,598816.57,EUR,"ACQ  ",,,FIXED,,2020-05-28 00:00:00,600000,598816.57,"DAL  ",N,,,N,,2022-05-27 00:00:00,,,"0124      ",FIXED,N,N,N,,,0,,0,,AU,,,,N,598816.57,N,N,10,N,N,N,0,0,,OHNOT,N,N,N,,,N,N,,"NONE ","NONE ","3    ","1/8  ",BASEF,N,"LAST ",N,0,N,,0,,,"NONE ",,,,,"EDTE ",,2020-05-26 00:00:00,,,,,,,,,,,N,N,,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,,,0,,,,,,1,0,,,,,IMST1,N,N,N,Y,N,2022-05-27 00:00:00,2022-05-27 00:00:00,"LMTR ","LMTR ",N,N,344b4cbe99c7543dde1be27,CG852
