LRP_RID_LOAN_REPRC,LRP_DTE_EFFECTIVE,LRP_CDE_STATUS,LRP_IND_AUTO_RLS,LRP_UID_PROCESSOR,LRP_PID_FACILITY,LRP_PID_DEAL,LRP_TSP_REC_CREATE,LRP_TSP_REC_UPDATE,LRP_UID_REC_CREATE,LRP_UID_REC_UPDATE,LRP_AMT_NEW_OUTSTD,LRP_DSC_REPRICING,LRP_CID_BORROWER,LRP_IND_PRIN_PYMT,LRP_AMT_OUTS_CHG,LRP_CDE_OB_ST_CTG,LRP_IND_BORR_NET,LRP_IND_SETTLE_NET,LRP_CDE_TYPE,LRP_IND_AUTO_RDUCE,LRP_RID_GROUP,LRP_CDE_GROUP_TYPE,LRP_IND_NET_SCHITM,LRP_CDE_BRANCH
J!EFFAZO,2020-05-27 00:00:00,RELSD,N,LIQUSR05,V8EF471U,V8EF4706,2020-08-24 11:56:32,2020-08-28 09:52:06,LIQUSR05,LIQUSR05,213,"EURLI --> EURLI                         ",5QEF3VVU,Y,-300,ACTUA,N,Y,COMPR,N,,,N,CG852
J+EFFDRM,2020-05-27 00:00:00,LWREL,N,LIQSVR04,V8EF471U,V8EF4706,2020-08-24 14:01:00,2020-08-28 10:14:40,LIQUSR05,LIQUSR05,6310,"EURLI --> EURLI                         ",5QEF3VVU,N,5679,POTEN,N,Y,COMPR,N,,,N,CG852
HREFIU62,2020-05-28 00:00:00,RELSD,N,JAQUITAN,9ZEF82GL,9ZEF82FK,2020-08-26 11:52:31,2020-08-26 14:53:54,JAQUITAN,JAQUITAN,2500000,"EURLI --> EURLI/EURLI                   ",ZHEF7YY1,N,1500000,ACTUA,N,Y,COMPR,N,,,N,CG852
XHEFLBKC,2020-05-29 00:00:00,RELSD,N,CMARTILL,(7EFGXST,(7EFGXIA,2020-08-27 20:26:43,2020-08-27 20:53:03,CMARTILL,RPTSUP01,5100,"EURLI/EURLI --> EURLI                   ",SIEESUTN,N,0,ACTUA,N,Y,COMPR,N,,,N,CG852
XHEFLBGU,2020-05-29 00:00:00,"PEND ",N,RPTSUP01,(7EFGXST,(7EFGXIA,2020-08-27 20:24:52,2020-08-27 20:53:03,CMARTILL,RPTSUP01,0,"EURLI/EURLI                             ",SIEESUTN,N,-5100,POTEN,N,Y,COMPR,N,,,N,CG852
IHEFMJGU,2020-06-03 00:00:00,RELSD,N,LIQUSR05,V8EF471U,V8EF4706,2020-08-28 10:17:48,2020-10-15 10:45:29,LIQUSR05,LIQUSR05,1931,"EURLI --> EURLI                         ",5QEF3VVU,N,1000,ACTUA,N,Y,COMPR,N,,,N,CG852
IHEFMKVX,2020-06-05 00:00:00,LWREL,N,LIQSVR05,V8EF471U,V8EF4706,2020-08-28 11:20:20,2020-08-28 11:46:21,LIQUSR05,LIQSVR04,400,"EURLI --> EURLI                         ",5QEF3VVU,N,0,POTEN,N,Y,COMPR,N,,,N,CG852
2OEFMMMR,2020-06-03 00:00:00,LWREL,N,LIQUSR05,V8EF471U,V8EF4706,2020-08-28 11:54:53,2020-10-15 10:45:29,LIQUSR05,LIQUSR05,2293,"EURLI/EURLI/EURLI --> EURLI             ",5QEF3VVU,N,0,POTEN,N,Y,COMPR,N,,,N,CG852
2YEFMLII,2020-05-29 00:00:00,CNCLD,N,JAQUITAN,9ZEF82GL,9ZEF82FK,2020-08-28 11:59:39,2020-08-28 12:00:31,JAQUITAN,JAQUITAN,1200000,"EURLI --> EURLI                         ",ZHEF7YY1,N,0,INACT,N,Y,COMPR,N,,,N,CG852
-QEFRZJR,2020-06-05 00:00:00,"AWRA ",N,LIQUSR05,V8EF471U,V8EF4706,2020-08-31 08:23:00,2020-08-31 10:54:04,LIQUSR05,LIQUSR05,1400,"EURLI --> EURLI                         ",5QEF3VVU,N,1000,POTEN,N,Y,COMPR,N,,,N,CG852
-QEFS3PZ,2020-05-29 00:00:00,AWSRA,N,LIQUSR05,V8EF471U,V8EF4706,2020-08-31 10:57:25,2020-08-31 11:19:19,LIQUSR05,LIQUSR05,155,"EURLI --> EURLI                         ",5QEF3VVU,Y,-245,POTEN,N,Y,COMPR,N,,,N,CG852
-QEFS7CH,2020-06-03 00:00:00,AWSTA,N,LIQUSR05,V8EF471U,V8EF4706,2020-08-31 12:14:06,2020-08-31 13:11:02,LIQUSR05,LIQUSR05,1031,"EURLI/EURLI --> EURLI                   ",5QEF3VVU,N,0,POTEN,N,Y,COMPR,N,,,N,CG852
"!1EG56MJ",2020-05-29 00:00:00,RELSD,N,JAQUITAN,9ZEF82GL,9ZEF82FK,2020-09-07 11:45:42,2020-09-07 11:48:48,JAQUITAN,JANICEA1,1100000,"EURLI --> EURLI                         ",ZHEF7YY1,N,100000,ACTUA,N,Y,COMPR,N,,,N,CG852
4DEG5CY1,2020-06-03 00:00:00,RELSD,N,JAQUITAN,9ZEF82GL,9ZEF82FK,2020-09-07 16:39:06,2020-09-07 17:00:43,JAQUITAN,JANICEA1,1700000,"EURLI --> EURLI                         ",ZHEF7YY1,N,100000,ACTUA,N,Y,COMPR,N,,,N,CG852
HZEFIXZ8,2020-04-06 00:00:00,RELSD,N,CMARTILL,(7EFGUEQ,(7EFGUDN,2020-08-26 14:12:23,2020-08-26 14:58:29,CMARTILL,RPTSUP01,30000,"EURLI --> EURLI                         ",SIEESUTN,N,0,ACTUA,N,Y,COMPR,N,,,N,CG852
X=EFL89C,2020-05-29 00:00:00,RELSD,N,MANZANOS,YZEFEXAM,YZEFEWH5,2020-08-27 19:47:34,2020-08-27 20:16:18,SMANZANO,MANZANOM,1700000,"EURLI --> EURLI                         ",)?EF8978,N,0,ACTUA,N,Y,COMPR,N,,,N,CG852
IHEFMJRA,2020-05-29 00:00:00,RELSD,N,LIQUSR05,V8EF471U,V8EF4706,2020-08-28 10:43:07,2020-08-28 11:08:27,LIQUSR05,LIQUSR05,400,"EURLI --> EURLI                         ",5QEF3VVU,Y,-500,ACTUA,N,Y,COMPR,N,,,N,CG852
"#AEFTQAG",2020-05-28 00:00:00,RELSD,N,MANZANOS,YZEFEXAM,YZEFEWH5,2020-09-01 10:00:10,2020-09-01 13:21:07,SMANZANO,MANZANOM,1300000,"EURLI --> EURLI/EURLI                   ",)?EF8978,N,0,ACTUA,N,Y,COMPR,N,,,N,CG852
F$EG7B9R,2020-06-05 00:00:00,"PEND ",N,MANZANOM,YZEFEXAM,YZEFEWH5,2020-09-08 18:03:40,2020-09-08 18:08:59,MANZANOM,MANZANOM,0,"EURLI                                   ",)?EF8978,N,-1111000,POTEN,N,Y,COMPR,N,,,N,CG852
F?EG7BW8,2020-06-04 00:00:00,RELSD,N,JAQUITAN,9ZEF82GL,9ZEF82FK,2020-09-08 18:16:57,2020-09-08 18:26:11,JAQUITAN,JANICEA1,1700000,"EURLI --> EURLI                         ",ZHEF7YY1,N,0,ACTUA,N,Y,COMPR,N,,,N,CG852
HZEFJ1FS,2020-05-28 00:00:00,RELSD,N,CMARTILL,S#EESVR1,S#EESVPY,2020-08-26 15:27:11,2020-08-26 15:52:57,CMARTILL,RPTSUP01,17000,"EURLI --> EURLI                         ",SIEESUTN,N,7000,ACTUA,N,Y,COMPR,N,,,N,CG852
4IEG5EWN,2020-06-03 00:00:00,"PEND ",N,SMANZANO,3ZEFFD2W,3ZEFFD20,2020-09-07 17:18:20,2020-09-08 08:29:56,JAQUITAN,SMANZANO,0,"EURLI                                   ",ZHEF7YY1,N,-1500000,POTEN,N,Y,COMPR,N,,,N,CG852
FJEG71M4,2020-06-04 00:00:00,RELSD,N,MANZANOS,YZEFEXAM,YZEFEWH5,2020-09-08 14:25:00,2020-09-08 16:57:10,SMANZANO,MANZANOM,1111000,"EURLI --> EURLI                         ",)?EF8978,N,0,ACTUA,N,Y,COMPR,N,,,N,CG852
FJEG72AS,2020-06-04 00:00:00,RELSD,N,MANZANOS,YZEFEXAM,YZEFEWH5,2020-09-08 14:49:57,2020-09-08 17:55:19,SMANZANO,MANZANOM,2500000,"EURLI/EURLI --> EURLI                   ",)?EF8978,N,0,ACTUA,N,Y,COMPR,N,,,N,CG852
FGEG7DX9,2020-05-29 00:00:00,CNCLD,N,JAQUITAN,9ZEF82GL,9ZEF82FK,2020-09-08 18:35:15,2020-09-08 18:36:59,JAQUITAN,JAQUITAN,1100000,"EURLI --> EURLI                         ",ZHEF7YY1,N,0,INACT,N,Y,COMPR,N,,,N,CG852
G8EK1TM1,2020-06-22 00:00:00,"PEND ",N,CMARTILL,"#!EFTRT9","#!EFTROA",2020-11-22 13:04:21,2020-11-22 13:09:04,CMARTILL,CMARTILL,10000,"EURLI --> EURLI                         ",SIEESUTN,Y,-1000,POTEN,N,Y,COMPR,N,,,N,CG852
P!EGO46N,2020-06-26 00:00:00,"PEND ",N,SMANZANO,YZEFEXAM,YZEFEWH5,2020-09-17 18:37:10,2020-09-17 18:37:10,SMANZANO,SMANZANO,0,"EURLI                                   ",)?EF8978,N,-216000,POTEN,N,Y,COMPR,N,,,N,CG852
V:EH9TD1,2020-06-22 00:00:00,RELSD,N,LIQUSR05,I:EFMEGK,IREFMCO3,2020-09-29 11:05:32,2020-09-29 12:19:51,LIQUSR05,LIQUSR05,1142000,"EURLI/EURLI --> EURLI                   ",)?EF8978,N,0,ACTUA,N,Y,COMPR,N,,,N,CG852
7MEHN4HK,2020-05-29 00:00:00,"PEND ",N,CMARTILL,(7EFGXST,(7EFGXIA,2020-10-06 17:35:57,2020-10-06 17:36:27,CMARTILL,CMARTILL,0,"EURLI                                   ",SIEESUTN,N,-1500,POTEN,N,Y,COMPR,N,,,N,CG852
7MEHN43J,2020-07-10 00:00:00,"PEND ",N,CMARTILL,(7EFGXST,(7EFGXIA,2020-10-06 17:27:12,2020-10-06 17:27:37,CMARTILL,CMARTILL,0,"EURLI                                   ",SIEESUTN,N,-34500,POTEN,N,Y,COMPR,N,,,N,CG852
G(EHQKTI,2020-07-09 00:00:00,RELSD,N,LIQSVR02,I:EFMEGK,IREFMCO3,2020-10-08 11:21:15,2020-10-08 11:33:21,LIQSVR02,LIQUSR02,8000,"EURLI --> EURLI                         ",)?EF8978,N,0,ACTUA,N,Y,COMPR,N,,,N,CG852
F2EHSIH5,2020-07-13 00:00:00,LWREL,N,CMARTILL,"#!EFTRT9","#!EFTROA",2020-10-09 15:26:22,2020-10-09 16:15:30,CMARTILL,CMARTILL,121000,"EURLI --> EURLI                         ",SIEESUTN,N,21000,POTEN,N,Y,COMPR,N,,,N,CG852
7MEHN1Y1,2020-07-09 00:00:00,RELSD,N,CMARTILL,(7EFGXST,(7EFGXIA,2020-10-06 15:55:13,2020-10-06 17:16:43,CMARTILL,RPTMGR01,34500,"EURLI --> EURLI                         ",SIEESUTN,N,10000,ACTUA,N,Y,COMPR,N,,,N,CG852
N$EHN5Q6,2020-05-29 00:00:00,"PEND ",N,RPTSUP01,(7EFGXST,(7EFGXIA,2020-10-06 18:03:03,2020-10-06 19:37:39,CMARTILL,RPTSUP01,4100,"EURLI --> EURLI                         ",SIEESUTN,N,-1000,POTEN,N,Y,COMPR,N,,,N,CG852
L)EHP0ZK,2020-05-29 00:00:00,RELSD,N,RPTSUP01,(7EFGXST,(7EFGXIA,2020-10-07 17:36:33,2020-10-07 19:10:51,RPTSUP01,RPTMGR01,4100.51,"EURLI --> EURLI                         ",SIEESUTN,N,0.51,ACTUA,Y,Y,COMPR,N,,,N,CG852
4;EHS6NX,2020-07-16 00:00:00,"PEND ",N,SMANZANO,"#!EFTRT9","#!EFTROA",2020-10-09 10:09:14,2020-10-09 10:09:14,SMANZANO,SMANZANO,0,"EURLI                                   ",SIEESUTN,N,-220000,POTEN,N,Y,COMPR,N,,,N,CG852
FAEHSD5D,2020-07-13 00:00:00,LWREL,N,MANZANOS,"#!EFTRT9","#!EFTROA",2020-10-09 13:30:51,2020-10-09 13:53:01,SMANZANO,MANZANOM,100000,"EURLI --> EURLI                         ",SIEESUTN,N,0,POTEN,N,Y,COMPR,N,,,N,CG852
+:EGNVFC,2020-06-26 00:00:00,"PEND ",N,SMANZANO,YZEFEXAM,YZEFEWH5,2020-09-17 16:41:29,2020-09-17 16:41:29,SMANZANO,SMANZANO,0,"EURLI                                   ",)?EF8978,N,-216000,POTEN,N,Y,COMPR,N,,,N,CG852
P!EGO49R,2020-06-26 00:00:00,"PEND ",N,SMANZANO,YZEFEXAM,YZEFEWH5,2020-09-17 18:40:33,2020-09-17 18:40:33,SMANZANO,SMANZANO,0,"EURLI                                   ",)?EF8978,N,-217000,POTEN,N,Y,COMPR,N,,,N,CG852
A@EGO004,2020-06-26 00:00:00,CNCLD,N,JAQUITAN,9ZEF82GL,9ZEF82FK,2020-09-17 16:59:11,2020-09-17 16:59:52,JAQUITAN,JAQUITAN,0,"EURLI                                   ",ZHEF7YY1,N,-1000000,INACT,N,Y,COMPR,N,,,N,CG852
P!EGO4DA,2020-06-26 00:00:00,"PEND ",N,SMANZANO,YZEFEXAM,YZEFEWH5,2020-09-17 18:45:52,2020-09-17 18:45:52,SMANZANO,SMANZANO,0,"EURLI                                   ",)?EF8978,N,-216000,POTEN,N,Y,COMPR,N,,,N,CG852
KIEGPC1S,2020-06-26 00:00:00,"PEND ",N,SMANZANO,YZEFEXAM,YZEFEWH5,2020-09-18 10:13:24,2020-09-18 10:13:24,SMANZANO,SMANZANO,0,"EURLI                                   ",)?EF8978,N,-216000,POTEN,N,Y,COMPR,N,,,N,CG852
9ZEGPOE9,2020-06-29 00:00:00,RELSD,N,JANICEA1,9ZEF82GL,9ZEF82FK,2020-09-18 14:47:11,2020-09-18 14:52:06,JAQUITAN,JANICEA2,1200000,"EURLI --> EURLI                         ",ZHEF7YY1,N,100000,ACTUA,N,Y,COMPR,N,,,N,CG852
9$EGPQAP,2020-06-29 00:00:00,RELSD,N,MANZANOS,YZEFEXAM,YZEFEWH5,2020-09-18 15:40:10,2020-09-18 15:47:46,SMANZANO,MANZANOM,520000,"EURLI/EURLI --> EURLI                   ",)?EF8978,N,0,ACTUA,N,Y,COMPR,N,,,N,CG852
V:EH9SAJ,2020-07-07 00:00:00,RELSD,N,LIQUSR02,I:EFMEGK,IREFMCO3,2020-09-29 10:42:35,2020-10-08 09:59:48,LIQUSR05,LIQSVR02,990000,"EURLI --> EURLI                         ",)?EF8978,N,0,ACTUA,N,Y,COMPR,N,,,N,CG852
ATEGNVY8,2020-06-26 00:00:00,CNCLD,N,JAQUITAN,9ZEF82GL,9ZEF82FK,2020-09-17 16:52:48,2020-09-17 16:58:58,JAQUITAN,JAQUITAN,0,"EURLI                                   ",ZHEF7YY1,N,-1000000,INACT,N,Y,COMPR,N,,,N,CG852
AJEGNWR5,2020-06-26 00:00:00,CNCLD,N,CMARTILL,(7EFGXST,(7EFGXIA,2020-09-17 17:10:18,2020-09-17 19:42:07,CMARTILL,CMARTILL,0,"EURLI                                   ",SIEESUTN,N,-4000,INACT,N,Y,COMPR,N,,,N,CG852
ACEGO078,2020-06-26 00:00:00,"PEND ",N,SMANZANO,YZEFEXAM,YZEFEWH5,2020-09-17 17:13:33,2020-09-17 17:13:33,SMANZANO,SMANZANO,0,"EURLI/EURLI                             ",)?EF8978,N,-433000,POTEN,N,Y,COMPR,N,,,N,CG852
P!EGO4Z5,2020-05-28 00:00:00,"PEND ",N,SMANZANO,YZEFEXAM,YZEFEWH5,2020-09-17 19:01:45,2020-09-17 19:01:45,SMANZANO,SMANZANO,0,"EURLI                                   ",)?EF8978,N,-1080000,POTEN,N,Y,COMPR,N,,,N,CG852
9FEGPOB3,2020-06-29 00:00:00,RELSD,N,MANZANOS,YZEFEXAM,YZEFEWH5,2020-09-18 14:43:15,2020-09-18 14:54:37,SMANZANO,MANZANOM,219000,"EURLI --> EURLI                         ",)?EF8978,N,0,ACTUA,N,Y,COMPR,N,,,N,CG852
9@EGPQ3O,2020-06-29 00:00:00,RELSD,N,JANICEA1,GREGNHU7,9ZEF82FK,2020-09-18 15:05:06,2020-09-18 15:11:18,JAQUITAN,JANICEA2,1000000,"GBLIB --> GBLIB                         ",ZHEF7YY1,Y,-200000,ACTUA,N,Y,COMPR,N,,,N,CG852
N$EHN65D,2020-05-29 00:00:00,RELSD,N,RPTMGR01,(7EFGXST,(7EFGXIA,2020-10-06 18:10:42,2020-10-06 19:37:39,CMARTILL,RPTSUP01,4100,"EURLI --> EURLI                         ",SIEESUTN,Y,-1000,ACTUA,N,Y,COMPR,N,,,N,CG852
7MEHN3WK,2020-07-10 00:00:00,"PEND ",N,CMARTILL,(7EFGXST,(7EFGXIA,2020-10-06 17:22:57,2020-10-06 17:23:36,CMARTILL,CMARTILL,0,"EURLI                                   ",SIEESUTN,N,-34500,POTEN,N,Y,COMPR,N,,,N,CG852
N$EHN6P4,2020-07-10 00:00:00,"PEND ",N,CMARTILL,(7EFGXST,(7EFGXIA,2020-10-06 18:22:56,2020-10-06 18:23:27,CMARTILL,CMARTILL,0,"EURLI                                   ",SIEESUTN,N,-34500,POTEN,N,Y,COMPR,N,,,N,CG852
04EHQOCT,2020-05-29 00:00:00,LWREL,N,CMARTILL,(7EFGXST,(7EFGXIA,2020-10-08 15:37:45,2020-10-08 15:54:47,CMARTILL,RPTSUP01,1000,"EURLI --> EURLI                         ",SIEESUTN,Y,-500,POTEN,N,Y,COMPR,N,,,N,CG852
F)EHSGO4,2020-07-13 00:00:00,LWREL,N,SMANZANO,+OEH9ZD0,+OEH9ZC4,2020-10-09 14:46:55,2020-10-09 15:26:06,MANZANOM,MANZANOS,130000,"EURLI --> EURLI                         ",ZHEF7YY1,N,10000,POTEN,N,Y,COMPR,N,,,N,CG852
9OEHDK3M,2020-07-09 00:00:00,AWSRA,N,LIQUSR05,V8EF471U,V8EF4706,2020-10-01 10:26:35,2020-10-01 10:44:08,LIQUSR05,LIQUSR05,13200,"EURLI --> EURLI                         ",5QEF3VVU,N,0,POTEN,N,Y,COMPR,N,,,N,CG852
+.EHBKXO,2020-06-03 00:00:00,AWSTA,N,LIQUSR05,V8EF471U,V8EF4706,2020-09-30 09:58:57,2020-10-13 10:53:42,LIQUSR05,LIQUSR05,4150,"EURLI/EURLI --> EURLI                   ",5QEF3VVU,N,0,POTEN,N,Y,COMPR,N,,,N,CG852
9OEHDKFH,2020-07-09 00:00:00,AWSRA,N,LIQUSR05,V8EF471U,V8EF4706,2020-10-01 10:50:52,2020-10-01 11:00:06,LIQUSR05,LIQUSR05,33600,"EURLI/EURLI --> EURLI                   ",5QEF3VVU,N,0,POTEN,N,Y,COMPR,N,,,N,CG852
04EHQPGB,2020-07-14 00:00:00,LWREL,N,CMARTILL,(7EFGXST,(7EFGXIA,2020-10-08 16:01:24,2020-10-08 16:51:26,CMARTILL,CMARTILL,12600,"GBLIB --> GBLIB                         ",SIEESUTN,Y,-1000,POTEN,N,Y,COMPR,N,,,N,CG852
43EHS5JM,2020-07-16 00:00:00,"AWA  ",N,SMANZANO,"#!EFTRT9","#!EFTROA",2020-10-09 09:27:43,2020-10-09 09:33:31,SMANZANO,SMANZANO,220000,"EURLI --> EURLI                         ",SIEESUTN,N,0,POTEN,N,Y,COMPR,N,,,N,CG852
Q=EI3KRB,2021-04-01 00:00:00,"AWRA ",N,LIQUSR03,"#!EFTRT9","#!EFTROA",2020-10-15 13:36:31,2020-10-16 10:26:50,LIQUSR03,LIQUSR03,26000,"EURLI --> EURLI                         ",SIEESUTN,Y,-500,POTEN,N,Y,COMPR,N,,,N,CG852
