"FEP_RID_FPRC_RULE","FEP_PID_DEAL","FEP_CDE_FEE","FEP_CDE_MATRX_CHNG","FEP_CDE_NONBUS_DAY","FEP_TSP_REC_CREATE","FEP_TSP_REC_UPDATE","FEP_UID_REC_CREATE","FEP_UID_REC_UPDATE","FEP_IND_BILL_BORR","FEP_NUM_BILL_DAYS","FEP_CDE_BRANCH"
"EIEHXYO3","EIEHXY7V","UNUT ","RETRO","NEXT ","2020-10-12 14:02:52","2020-10-12 14:02:52","CESSINP1","CESSINP1","Y","10","CG852"
"E0EHY04T","E0EHXZOW","UNUT ","RETRO","NEXT ","2020-10-12 14:34:27","2020-10-12 14:34:27","CESSINP1","CESSINP1","Y","10","CG852"
".XEHY4OG",".XEHY4LC","UNUT ","EFFEC","NEXT ","2020-10-12 15:26:28","2020-10-12 15:26:28","LIQUSR03","LIQUSR03","N","10","CG852"
"T@EHY40M","T@EHY3MK","UNUT ","RETRO","NEXT ","2020-10-12 15:58:21","2020-10-12 15:58:21","CESSINP1","CESSINP1","Y","10","CG852"
"$QEI1OLX","$QEI1OJW","UNUT ","EFFEC","NEXT ","2020-10-14 13:04:00","2020-10-14 13:04:00","LIQUSR03","LIQUSR03","N","10","CG852"
"$VEI1OZT","$VEI1OYA","UNUT ","RETRO","NEXT ","2020-10-14 13:29:36","2020-10-14 13:29:36","CESSINP1","CESSINP1","Y","10","CG852"
"RMEIDP9B","RMEIDP8S","UNUT ","EFFEC","NEXT ","2020-10-21 01:16:44","2020-10-21 01:16:44","MGRAMT01","MGRAMT01","Y","2",""
")XEIRVT6",")XEIRVS4","UNUT ","EFFEC","NEXT ","2020-10-28 16:56:00","2020-10-28 16:56:00","TESTINP ","TESTINP ","Y","2","CG852"
")XEIRVT7",")XEIRVS4","FROC ","EFFEC","NEXT ","2020-10-28 16:56:38","2020-10-28 16:56:38","TESTINP ","TESTINP ","Y","2","CG852"
"E9EK76BG","E9EK76A5","UNUT ","RETRO","MNEXT","2020-11-25 09:15:28","2020-11-25 09:15:28","SKOUSR01","SKOUSR01","Y","10","CG852"
"E9EK76BH","E9EK76A5","IPFEI","RETRO","MNEXT","2020-11-25 09:15:44","2020-11-25 09:15:44","SKOUSR01","SKOUSR01","Y","10","CG852"
"E9EK76DH","E9EK76C6","UNUT ","RETRO","MNEXT","2020-11-25 09:28:19","2020-11-25 09:28:19","SKOUSR01","SKOUSR01","Y","10","CG852"
"E9EK76DI","E9EK76C6","IPFEI","RETRO","MNEXT","2020-11-25 09:28:36","2020-11-25 09:28:36","SKOUSR01","SKOUSR01","Y","10","CG852"
"E9EK7B7R","E9EK7AWV","UNUT ","RETRO","MNEXT","2020-11-25 12:12:48","2020-11-25 12:12:48","SKOUSR01","SKOUSR01","Y","10","CG852"
"E9EK7B88","E9EK7AWV","IPFEI","RETRO","MNEXT","2020-11-25 12:13:06","2020-11-25 12:13:06","SKOUSR01","SKOUSR01","Y","10","CG852"
"E9EK7C32","E9EK7BRR","UNUT ","RETRO","MNEXT","2020-11-25 12:31:36","2020-11-25 12:31:36","SKOUSR01","SKOUSR01","Y","10","CG852"
"E9EK7C3J","E9EK7BRR","IPFEI","RETRO","MNEXT","2020-11-25 12:31:53","2020-11-25 12:31:53","SKOUSR01","SKOUSR01","Y","10","CG852"
"@?EHZVE0","@?EHZVDH","UNUT ","EFFEC","NEXT ","2020-10-13 13:25:19","2020-10-13 13:25:19","MIGGY_IN","MIGGY_IN","Y","2",""
"C6EI000F","9ZEF82FK","FACI ","EFFEC","NEXT ","2020-10-13 15:54:16","2020-10-13 15:54:16","JAQUITAN","JAQUITAN","N","10","CG852"
"QPEH81DM","QPEH81D3","UNUT ","EFFEC","NEXT ","2020-09-28 11:46:39","2020-09-28 11:46:39","LIQSVR05","LIQSVR05","N","10",""
"AREHQR87","AREHQR5W","UNUT ","EFFEC","NEXT ","2020-10-08 16:06:40","2020-10-08 16:06:40","ARFELI01","ARFELI01","Y","2","CG852"
"42EHSA1I","42EHS9YE","UNUT ","EFFEC","NEXT ","2020-10-09 11:11:30","2020-10-09 11:11:30","LIQUSR03","LIQUSR03","N","10","CG852"
"T*EHY70N",")YEHXS7X","UNUT ","EFFEC","NEXT ","2020-10-12 17:03:10","2020-10-12 17:03:10","CESSINP1","CESSINP1","N","10","CG852"
"@EEI01VF","@EEI01UV","UNUT ","EFFEC","NEXT ","2020-10-13 14:04:54","2020-10-13 14:04:54","LIQUSR05","LIQUSR05","N","10","CG852"
")UEIALBT",")UEIAL9R","UNUT ","EFFEC","MNEXT","2020-10-19 08:46:25","2020-10-19 08:46:25","INPDEL01","INPDEL01","N","10","CG852"
")9EIAMFQ",")9EIAMDP","UNUT ","EFFEC","MNEXT","2020-10-19 09:07:37","2020-10-19 09:07:37","DELINP01","DELINP01","N","10","CG852"
")=EIAU1N",")=EIATZI","UNUT ","EFFEC","NEXT ","2020-10-19 12:28:59","2020-10-19 12:28:59","ARFELI01","ARFELI01","Y","2","CG852"
"TGEIB6LH","TGEIB6KY","UNUT ","EFFEC","NEXT ","2020-10-19 16:17:27","2020-10-19 16:17:27","INPAMT01","INPAMT01","Y","2",""
":+EJEFTR",":+EJEFS6","UNUT ","RETRO","NEXT ","2020-11-09 21:01:10","2020-11-09 21:01:10","CESSINP1","CESSINP1","Y","10","CG852"
"+OEH9ZCV","+OEH9ZC4","UNUT ","EFFEC","NEXT ","2020-09-29 14:20:02","2020-09-29 14:20:02","JAQUITAN","JAQUITAN","N","10","CG852"
"Q1EHP0Q0","Q1EHP0PH","UNUT ","EFFEC","NEXT ","2020-10-07 18:09:07","2020-10-07 18:09:07","INPAMT01","INPAMT01","Y","2",""
"4GEHSB8E","4GEHSB63","UNUT ","EFFEC","NEXT ","2020-10-09 12:43:09","2020-10-09 12:43:09","ARFELI01","ARFELI01","Y","2","CG852"
"U*EHSFJL","U*EHSFJ2","UNUT ","EFFEC","NEXT ","2020-10-09 13:16:08","2020-10-09 13:16:08","LIQUSR03","LIQUSR03","N","10",""
"D3EI1MS3","D3EI1MRL","UNUT ","RETRO","NEXT ","2020-10-14 13:37:15","2020-10-14 13:37:15","JAQUITAN","JAQUITAN","Y","10","CG852"
":YEI3DY9",":YEI3DWN","UNUT ","RETRO","NEXT ","2020-10-15 12:21:25","2020-10-15 12:21:25","CESSINP1","CESSINP1","Y","10","CG852"
":YEI3GRA",":YEI3G9Q","UNUT ","RETRO","NEXT ","2020-10-15 13:22:01","2020-10-15 13:22:01","CESSINP1","CESSINP1","Y","10","CG852"
":YEI3JPK",":YEI3J7H","UNUT ","RETRO","NEXT ","2020-10-15 14:25:48","2020-10-15 14:25:48","CESSINP1","CESSINP1","Y","10","CG852"
":YEI3M4Q",":YEI3LNB","UNUT ","RETRO","NEXT ","2020-10-15 15:18:07","2020-10-15 15:18:07","CESSINP1","CESSINP1","Y","10","CG852"
"0ZEI4FW5","0ZEI4FVM","UNUT ","EFFEC","NEXT ","2020-10-16 01:33:01","2020-10-16 01:33:01","DANUSR01","DANUSR01","Y","2",""
"*4EI53R7","*4EI53P2","UNUT ","EFFEC","NEXT ","2020-10-16 09:25:41","2020-10-16 09:25:41","ARFELI01","ARFELI01","Y","2","CG852"
"!OEI5Y0C","!OEI5XYB","UNUT ","EFFEC","MNEXT","2020-10-16 20:16:41","2020-10-16 20:16:41","DELINP01","DELINP01","N","10","CG852"
"O#EIBD9L","O#EIBD80","UNUT ","RETRO","NEXT ","2020-10-19 18:56:20","2020-10-19 18:56:20","CESSINP1","CESSINP1","Y","10","CG852"
"I:EJUXW5","I:EJUXVM","UNUT ","EFFEC","NEXT ","2020-11-18 18:59:18","2020-11-18 18:59:18","INPAMT01","INPAMT01","Y","2",""
