"LOC_CDE_LOCATION","LOC_DSC_LOCATION","LOC_CDE_COUNTRY","LOC_CDE_STATE","LOC_IND_ACTIVE","LOC_IND_MAY_DEACT","LOC_TSP_REC_CREATE","LOC_TSP_REC_UPDATE","LOC_UID_REC_CREATE","LOC_UID_REC_UPDATE","LOC_CDE_COUNTY","LOC_CDE_PROVINCE"
"ADA  ","Addis Ababa, Ethiopia","ET","","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:22","LS2BATCH","LS2BATCH","",""
"ADD  ","Addison, IL","US","IL","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:22","LS2BATCH","LS2BATCH","",""
"ADE  ","Adelaide, SA,Australia","AU","","Y","Y","1993-06-11 23:22:40","2019-04-03 23:44:22","LS2BATCH","LS2BATCH","","SA   "
"ADH  ","Arden Hills, MN","US","MN","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:22","LS2BATCH","LS2BATCH","",""
"ADL  ","Annandale, VA","US","VA","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:23","LS2BATCH","LS2BATCH","",""
"ADN  ","Addison, NY","US","NY","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:23","LS2BATCH","LS2BATCH","",""
"ADR  ","Anderson, SC","US","SC","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:23","LS2BATCH","LS2BATCH","",""
"ADS  ","Anderson, IN","US","IN","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:23","LS2BATCH","LS2BATCH","",""
"ADY  ","Alderney, United Kingdom","GB","","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:23","LS2BATCH","LS2BATCH","",""
"AEN  ","Aden, S. Yemen (Pls Dem Re","YD","","N","Y","1993-06-11 23:22:40","2005-07-20 15:14:04","LS2BATCH","ADMIN2  ","",""
"AFT  ","Afton, WY","US","WY","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:23","LS2BATCH","LS2BATCH","",""
"AGO  ","Agoura Hills, CA","US","CA","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:23","LS2BATCH","LS2BATCH","",""
"AGS  ","Augsberg, Germany","DE","","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:23","LS2BATCH","LS2BATCH","",""
"AGY  ","Alleghany, PA","US","PA","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:23","LS2BATCH","LS2BATCH","",""
"AGZ  ","Aljazira, Saudi Arabia","SA","","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:23","LS2BATCH","LS2BATCH","",""
"AHC  ","Archer City, TX","US","TX","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:23","LS2BATCH","LS2BATCH","",""
"AHR  ","Amherst, NY","US","NY","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:23","LS2BATCH","LS2BATCH","",""
"AIC  ","Aichi, Japan","JP","","Y","Y","1993-06-11 23:22:40","1993-06-11 23:22:40","LS2BATCH","LS2BATCH","",""
"AJU  ","Annapolis Junctn, MD","US","MD","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:24","LS2BATCH","LS2BATCH","",""
"AJX  ","Ajax, Canada","CA","","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:24","LS2BATCH","LS2BATCH","",""
"AKL  ","Auckland, New Zealand","NZ","","Y","Y","1993-06-11 23:22:40","1993-06-11 23:22:40","LS2BATCH","LS2BATCH","",""
"AKR  ","Akron, OH","US","OH","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:24","LS2BATCH","LS2BATCH","",""
"AKT  ","Akita, Japan","JP","","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:24","LS2BATCH","LS2BATCH","",""
"ALA  ","Andorra La Vella, Andorra","AD","","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:24","LS2BATCH","LS2BATCH","",""
"ALB  ","Albuquerque, NM","US","NM","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:24","LS2BATCH","LS2BATCH","",""
"ALD  ","Aldershot, United Kingdom","GB","","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:24","LS2BATCH","LS2BATCH","",""
"ALE  ","Allentown, PA","US","PA","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:24","LS2BATCH","LS2BATCH","",""
"ALG  ","Algiers, Algeria","DZ","","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:24","LS2BATCH","LS2BATCH","",""
"ALH  ","Alhambra, CA","US","CA","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:24","LS2BATCH","LS2BATCH","",""
"ALI  ","Alicante, Spain","ES","","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:24","LS2BATCH","LS2BATCH","",""
"ALK  ","Alkhobar, Saudi Arabia","SA","","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:24","LS2BATCH","LS2BATCH","",""
"ALL  ","Allendale, NJ","US","NJ","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:24","LS2BATCH","LS2BATCH","",""
"ALM  ","Aldermarston, United Kingdom","GB","","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:25","LS2BATCH","LS2BATCH","",""
"ALN  ","Albion, IL United States","US","IL","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:25","LS2BATCH","LS2BATCH","",""
"ALP  ","Alpharetta, GA","US","GA","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:25","LS2BATCH","LS2BATCH","",""
"ALPNJ","Alpine, NJ","US","NJ","N","Y","1995-07-12 17:21:25","2019-04-03 23:44:25","LS2BATCH","LS2BATCH","",""
"ALQ  ","Aliquippa, PA","US","PA","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:25","LS2BATCH","LS2BATCH","",""
"ALS  ","Allston, MA","US","MA","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:25","LS2BATCH","LS2BATCH","",""
"ALT  ","Altoona, PA","US","PA","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:25","LS2BATCH","LS2BATCH","",""
"ALV  ","Altavista, VA","US","VA","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:25","LS2BATCH","LS2BATCH","",""
"ALVO ","Aliso Viejo, CA","US","CA","N","Y","1995-11-22 13:22:41","2019-04-03 23:44:25","LS2BATCH","LS2BATCH","",""
"ALX  ","Alexandria, Egypt-Arab Rep. of","EG","","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:25","LS2BATCH","LS2BATCH","",""
"ALY  ","Albany, NY","US","NY","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:25","LS2BATCH","LS2BATCH","",""
"AM   ","Amsterdam, Netherlands","NL","","Y","Y","1993-06-11 23:22:40","1993-06-11 23:22:40","LS2BATCH","LS2BATCH","",""
"AMA  ","Amarillo, TX","US","TX","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:25","LS2BATCH","LS2BATCH","",""
"AMB  ","Amberley, United Kingdom","GB","","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:25","LS2BATCH","LS2BATCH","",""
"AMG  ","Amagasaki, Japan","JP","","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:25","LS2BATCH","LS2BATCH","",""
"AMH  ","Amherst, MA","US","MA","N","Y","1993-06-11 23:22:40","2019-04-03 23:44:26","LS2BATCH","LS2BATCH","",""
"AMI  ","Amelia Island, FL","US","FL","N","Y","1995-06-27 12:47:58","2019-04-03 23:44:26","LS2BATCH","LS2BATCH","",""
"AMM  ","Amman, Jordan","JO","","N","Y","1993-06-11 23:22:41","2019-04-03 23:44:26","LS2BATCH","LS2BATCH","",""
"AMS  ","Ames, IA United States","US","IA","N","Y","1993-06-11 23:22:41","2019-04-03 23:44:26","LS2BATCH","LS2BATCH","",""
"AMT  ","Amstelveen, Netherlands","NL","","N","Y","1993-06-11 23:22:41","2019-04-03 23:44:26","LS2BATCH","LS2BATCH","",""
"ANA  ","Santa Ana, CA","US","CA","N","Y","1993-06-11 23:22:41","2019-04-03 23:44:26","LS2BATCH","LS2BATCH","",""
"ANC  ","Anchorage, AK","US","AK","N","Y","1993-06-11 23:22:41","2019-04-03 23:44:26","LS2BATCH","LS2BATCH","",""
"AND  ","Andover, MA","US","MA","N","Y","1993-06-11 23:22:41","2019-04-03 23:44:26","LS2BATCH","LS2BATCH","",""
"ANG  ","Angers, France","FR","","N","Y","1993-06-11 23:22:41","2019-04-03 23:44:26","LS2BATCH","LS2BATCH","",""
"ANH  ","Anaheim, CA","US","CA","N","Y","1993-06-11 23:22:41","2019-04-03 23:44:26","LS2BATCH","LS2BATCH","",""
"ANI  ","Anniston, AL","US","AL","N","Y","1993-06-11 23:22:41","2019-04-03 23:44:26","LS2BATCH","LS2BATCH","",""
"ANK  ","Ankara, Turkey","TR","","N","Y","1993-06-11 23:22:41","2019-04-03 23:44:26","LS2BATCH","LS2BATCH","",""
"ANN  ","Ann Arbor, MI","US","MI","N","Y","1993-06-11 23:22:41","2019-04-03 23:44:27","LS2BATCH","LS2BATCH","",""
"ANS  ","Ansonia, CT","US","CT","N","Y","1993-06-11 23:22:41","2019-04-03 23:44:27","LS2BATCH","LS2BATCH","",""
"ANT  ","Antwerp, Belgium","BE","","Y","Y","1993-06-11 23:22:41","1993-06-11 23:22:41","LS2BATCH","LS2BATCH","",""
"ANY  ","Albany, OR","US","OR","N","Y","1993-06-11 23:22:41","2019-04-03 23:44:27","LS2BATCH","LS2BATCH","",""
"AOM  ","Aomori, Japan","JP","","N","Y","1993-06-11 23:22:41","2019-04-03 23:44:27","LS2BATCH","LS2BATCH","",""
"APA  ","Apapa, Nigeria","NG","","N","Y","1993-06-11 23:22:41","2019-04-03 23:44:27","LS2BATCH","LS2BATCH","",""
"APL  ","Appleton, WI","US","WI","N","Y","1993-06-11 23:22:41","2019-04-03 23:44:27","LS2BATCH","LS2BATCH","",""
"ARA  ","Aarau, Switzerland","CH","","N","Y","1993-06-11 23:22:41","2019-04-03 23:44:27","LS2BATCH","LS2BATCH","",""
"ARC  ","Arcadia, SC","US","SC","N","Y","1993-06-11 23:22:41","2019-04-03 23:44:27","LS2BATCH","LS2BATCH","",""
"ARD  ","Ardmore, OK","US","OK","N","Y","1993-06-11 23:22:41","2019-04-03 23:44:27","LS2BATCH","LS2BATCH","",""
"ARE  ","Arendal, Norway","NO","","N","Y","1993-06-11 23:22:41","2019-04-03 23:44:27","LS2BATCH","LS2BATCH","",""
"ARG  ","Arlington, VA","US","VA","N","Y","1993-06-11 23:22:41","2019-04-03 23:44:27","LS2BATCH","LS2BATCH","",""
"ARH  ","Arlington Heights, IL","US","IL","N","Y","1993-06-11 23:22:41","2019-04-03 23:44:27","LS2BATCH","LS2BATCH","",""
"ARK  ","Armonk, NY","US","NY","N","Y","1993-06-11 23:22:41","2019-04-03 23:44:27","LS2BATCH","LS2BATCH","",""
"ARL  ","Arlington, TX,United States","US","TX","Y","Y","1993-06-11 23:22:41","2019-04-03 23:44:28","LS2BATCH","LS2BATCH","",""
"ARM  ","Ardmore, PA","US","PA","N","Y","1993-06-11 23:22:41","2019-04-03 23:44:28","LS2BATCH","LS2BATCH","",""
"ARN  ","Arnhem, Netherlands","NL","","N","Y","1993-06-11 23:22:41","2019-04-03 23:44:28","LS2BATCH","LS2BATCH","",""
"ARP  ","Arapahoe, CO","US","CO","N","Y","1993-06-11 23:22:41","2019-04-03 23:44:28","LS2BATCH","LS2BATCH","",""
"BGN  ","Bergen, Norway","NO","","N","Y","1993-06-11 23:22:43","2019-04-03 23:44:36","LS2BATCH","LS2BATCH","",""
"BRK  ","Brookfield, WI","US","WI","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:43","LS2BATCH","LS2BATCH","",""
"BRL  ","Burleigh, QLD,Australia","AU","","Y","Y","1993-06-11 23:22:44","2019-04-03 23:44:43","LS2BATCH","LS2BATCH","","QLD  "
"BRM  ","Bermuda, Bermuda","BM","","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:44","LS2BATCH","LS2BATCH","",""
"BRN  ","Bournmouth, United Kingdom","GB","","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:44","LS2BATCH","LS2BATCH","",""
"BRO  ","Brockton, MA","US","MA","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:44","LS2BATCH","LS2BATCH","",""
"BRP  ","Bridgeport, CT","US","CT","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:44","LS2BATCH","LS2BATCH","",""
"BRR  ","Brattleboro, VT","US","VT","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:44","LS2BATCH","LS2BATCH","",""
"BRS  ","Bristol, VA United States","US","VA","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:44","LS2BATCH","LS2BATCH","",""
"BRT  ","Boca Raton, FL","US","FL","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:44","LS2BATCH","LS2BATCH","",""
"BRU  ","Berum, Norway","NO","","Y","Y","1993-06-11 23:22:44","2019-04-03 23:44:44","LS2BATCH","LS2BATCH","",""
"BRV  ","Brevard, FL","US","FL","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:44","LS2BATCH","LS2BATCH","",""
"BRW  ","Berwyn, IL","US","IL","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:44","LS2BATCH","LS2BATCH","",""
"BRWP ","Berwyn, PA","US","PA","N","Y","1997-10-21 15:33:26","2019-04-03 23:44:44","LS2BATCH","LS2BATCH","",""
"BRX  ","Bronx, NY","US","NY","N","Y","1994-08-23 18:44:33","2019-04-03 23:44:45","LS2BATCH","LS2BATCH","",""
"BRY  ","Bryn Mawr, PA","US","PA","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:45","LS2BATCH","LS2BATCH","",""
"BRZ  ","Brazoria, TX","US","TX","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:45","LS2BATCH","LS2BATCH","",""
"BSA  ","Basauri, Spain","ES","","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:45","LS2BATCH","LS2BATCH","",""
"BSB  ","Bandar Seri Begwn, Brunei","BN","","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:45","LS2BATCH","LS2BATCH","",""
"BSC  ","Brescia, Italy","IT","","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:45","LS2BATCH","LS2BATCH","",""
"BSD  ","Boschdisk, Germany","DE","","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:45","LS2BATCH","LS2BATCH","",""
"BSK  ","Basking Ridge, NJ","US","NJ","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:45","LS2BATCH","LS2BATCH","",""
"BSL  ","Basel, Switzerland","CH","","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:45","LS2BATCH","LS2BATCH","",""
"BSR  ","Bossier City, LA","US","LA","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:45","LS2BATCH","LS2BATCH","",""
"BSS  ","Boulogne-Sur-Sein, France","FR","","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:45","LS2BATCH","LS2BATCH","",""
"BSV  ","Bensenville, IL","US","IL","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:45","LS2BATCH","LS2BATCH","",""
"BT   ","Barnet, United Kingdom","GB","","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:45","LS2BATCH","LS2BATCH","",""
"BTA  ","Bath, United Kingdom","GB","","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:46","LS2BATCH","LS2BATCH","",""
"BTE  ","Braintree, MA","US","MA","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:46","LS2BATCH","LS2BATCH","",""
"BTH  ","Bethesda, MD","US","MD","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:46","LS2BATCH","LS2BATCH","",""
"BTL  ","Battle Creek, MI","US","MI","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:46","LS2BATCH","LS2BATCH","",""
"BTN  ","Beaverton, OR","US","OR","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:46","LS2BATCH","LS2BATCH","",""
"BTO  ","Bolton, United Kingdom","GB","","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:46","LS2BATCH","LS2BATCH","",""
"BTT  ","Butte, MT","US","MT","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:46","LS2BATCH","LS2BATCH","",""
"BTV  ","Batesville, IN","US","IN","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:46","LS2BATCH","LS2BATCH","",""
"BTW  ","Brentwood, United Kingdom","GB","","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:46","LS2BATCH","LS2BATCH","",""
"BUB  ","Burbank, CA","US","CA","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:46","LS2BATCH","LS2BATCH","",""
"BUC  ","Bucharest, Rumania","RO","","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:46","LS2BATCH","LS2BATCH","",""
"BUE  ","Buenos Aires, Argentina","AR","","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:46","LS2BATCH","LS2BATCH","",""
"BUF  ","Buffalo, NY","US","NY","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:46","LS2BATCH","LS2BATCH","",""
"BUG  ","Burlington, KS","US","KS","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:47","LS2BATCH","LS2BATCH","",""
"BUK  ","Bucks, PA","US","PA","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:47","LS2BATCH","LS2BATCH","",""
"BUL  ","Burlingame, CA","US","CA","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:47","LS2BATCH","LS2BATCH","",""
"BUN  ","Burnsville, MN","US","MN","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:47","LS2BATCH","LS2BATCH","",""
"BUP  ","Buena Park, CA,United States","US","CA","Y","Y","1993-06-11 23:22:44","2019-04-03 23:44:47","LS2BATCH","LS2BATCH","",""
"BUR  ","Burton Upon Trent, United Kingdom","GB","","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:47","LS2BATCH","LS2BATCH","",""
"BUS  ","Bourges, France","FR","","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:47","LS2BATCH","LS2BATCH","",""
"BUT  ","Butterfield, CA","US","CA","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:47","LS2BATCH","LS2BATCH","",""
"BVD  ","Belvedere, CA","US","CA","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:47","LS2BATCH","LS2BATCH","",""
"BVL  ","Bartlesville, OK","US","OK","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:47","LS2BATCH","LS2BATCH","",""
"BVR  ","Beaver Creek, CO","US","CO","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:47","LS2BATCH","LS2BATCH","",""
"BWD  ","Beachwood, OH","US","OH","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:47","LS2BATCH","LS2BATCH","",""
"BWE  ","Brownsville, TX","US","TX","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:47","LS2BATCH","LS2BATCH","",""
"BWG  ","Bowling Green, KY","US","KY","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:48","LS2BATCH","LS2BATCH","",""
"BWK  ","Bayerwerk, Germany","DE","","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:48","LS2BATCH","LS2BATCH","",""
"BWR  ","Bridgewtr Twnshp, NJ","US","NJ","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:48","LS2BATCH","LS2BATCH","",""
"BWS  ","Brewster, NY","US","NY","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:48","LS2BATCH","LS2BATCH","",""
"BXH  ","Bexleyheath, United Kingdom","GB","","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:48","LS2BATCH","LS2BATCH","",""
"BYA  ","Bay, FL","US","FL","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:48","LS2BATCH","LS2BATCH","",""
"BYB  ","Braybrook, Australia","AU","","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:48","LS2BATCH","LS2BATCH","",""
"BYE  ","Byers, TX","US","TX","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:48","LS2BATCH","LS2BATCH","",""
"BYG  ","Beyoglu, Turkey","TR","","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:48","LS2BATCH","LS2BATCH","",""
"BYN  ","Bayonne, NJ","US","NJ","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:48","LS2BATCH","LS2BATCH","",""
"C    ","Chicago, IL","US","IL","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:48","LS2BATCH","LS2BATCH","",""
"CA   ","Ca, Canada","CA","","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:48","LS2BATCH","LS2BATCH","",""
"CAB  ","Carbondale, PA","US","PA","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:49","LS2BATCH","LS2BATCH","",""
"CAD  ","Candelo, Italy","IT","","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:49","LS2BATCH","LS2BATCH","",""
"CAE  ","Carteret, NC","US","NC","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:49","LS2BATCH","LS2BATCH","",""
"CAG  ","Canton, GA","US","GA","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:49","LS2BATCH","LS2BATCH","",""
"CAH  ","Calhoun, GA","US","GA","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:49","LS2BATCH","LS2BATCH","",""
"CAI  ","Cairo, Egypt-Arab Rep. of","EG","","N","Y","1993-06-11 23:22:44","2019-04-03 23:44:49","LS2BATCH","LS2BATCH","",""
"CAK  ","Castle Rock, CO","US","CO","N","Y","1993-06-11 23:22:45","2019-04-03 23:44:49","LS2BATCH","LS2BATCH","",""
"CAL  ","Calgary, Canada","CA","","Y","Y","1993-06-11 23:22:45","2019-04-03 23:44:49","LS2BATCH","LS2BATCH","","ALB  "
"CAM  ","Cambridge, MA","US","MA","N","Y","1993-06-11 23:22:45","2019-04-03 23:44:49","LS2BATCH","LS2BATCH","",""
"CAN  ","Canton, OH","US","OH","N","Y","1993-06-11 23:22:45","2019-04-03 23:44:49","LS2BATCH","LS2BATCH","",""
"CANNH","Canterbery, NH","US","NH","N","Y","1997-07-21 16:43:20","2019-04-03 23:44:49","LS2BATCH","LS2BATCH","",""
"CAO  ","Canton, MA","US","MA","N","Y","1993-06-11 23:22:45","2019-04-03 23:44:49","LS2BATCH","LS2BATCH","",""
"CAR  ","Carson City, NV","US","NV","N","Y","1993-06-11 23:22:45","2019-04-03 23:44:50","LS2BATCH","LS2BATCH","",""
"CAS  ","Casablanca, Morocco","MA","","N","Y","1993-06-11 23:22:45","2019-04-03 23:44:50","LS2BATCH","LS2BATCH","",""
"CAT  ","Canton, NY","US","NY","N","Y","1993-06-11 23:22:45","2019-04-03 23:44:50","LS2BATCH","LS2BATCH","",""
"CBA  ","Curitiba, Brazil","BR","","N","Y","1993-06-11 23:22:45","2019-04-03 23:44:50","LS2BATCH","LS2BATCH","",""
"CBB  ","Cobb, GA","US","GA","N","Y","1993-06-11 23:22:45","2019-04-03 23:44:50","LS2BATCH","LS2BATCH","",""
"CBE  ","Chamblee, GA","US","GA","N","Y","1993-06-11 23:22:45","2019-04-03 23:44:50","LS2BATCH","LS2BATCH","",""
"CBG  ","Coburg, OR","US","OR","N","Y","1996-04-17 13:34:39","2019-04-03 23:44:50","LS2BATCH","LS2BATCH","",""
"CBR  ","Cumbria, United Kingdom","GB","","N","Y","1993-06-11 23:22:45","2019-04-03 23:44:50","LS2BATCH","LS2BATCH","",""
"CBS  ","Calabasas, CA","US","CA","N","Y","1993-06-11 23:22:45","2019-04-03 23:44:50","LS2BATCH","LS2BATCH","",""
"CBV  ","Courbevoie, France","FR","","Y","Y","1993-06-11 23:22:45","1993-06-11 23:22:45","LS2BATCH","LS2BATCH","",""
"CC   ","Creze Coeur, MO","US","MO","N","Y","1993-06-11 23:22:45","2019-04-03 23:44:50","LS2BATCH","LS2BATCH","",""
