"LEV_RID_LEND_EVENT","LEV_IID_INV_ID","LEV_FID_FAC_INV_ID","LEV_CDE_EVENT_TYPE","LEV_DTE_EFFECTIVE","LEV_PID_DEAL","LEV_PID_FACILITY","LEV_TSP_REC_CREATE","LEV_TSP_REC_UPDATE","LEV_UID_REC_CREATE","LEV_UID_REC_UPDATE","LEV_TXT_EVENT_CMT","LEV_RID_TRADE_TKT","LEV_CDE_BRANCH"
"SUEBXP9V","SUEBXP74","","PORTF","2020-05-27 00:00:00","SUEBXL0I","","2020-06-17 19:14:41","2020-06-17 19:14:41","RPTINPAM","RPTINPAM","","","CG852"
"S9EBXPRA","SUEBXP74","","CLDT ","2020-05-19 00:00:00","SUEBXL0I","","2020-06-17 19:19:44","2020-06-17 19:19:44","RPTSUPAM","RPTSUPAM","","","CG852"
"Q(EDHBM2","Q(EDHBLY","","CRTE ","",":*EDG12Y","","2020-07-17 20:07:38","2020-07-17 20:07:38","FJUSRAM ","FJUSRAM ","","","CG852"
"QVEDKU6K","Q(EDHBLY","","APPST","2020-05-27 00:00:00",":*EDG12Y","","2020-07-19 16:40:40","2020-07-19 16:40:40","FJSUPAM ","FJSUPAM ","Approval completed.  Approver: SUPAMSTERDAM, FJ. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands.","","CG852"
"Q0EDKUYK","Q(EDHBLY","","CLDT ","2020-05-27 00:00:00",":*EDG12Y","","2020-07-19 16:58:18","2020-07-19 16:58:18","FJMGRAM ","FJMGRAM ","","","CG852"
"Q+EDKWYL","Q+EDKWYH","","CRTE ","","Q+EDKVCZ","","2020-07-19 18:41:45","2020-07-19 18:41:45","FJUSRAM ","FJUSRAM ","","","CG852"
"Q+EDKX5L","Q+EDKWYH","","PORTF","2020-05-27 00:00:00","Q+EDKVCZ","","2020-07-19 18:45:55","2020-07-19 18:45:55","FJUSRAM ","FJUSRAM ","","","CG852"
"Q+EDKX6P","Q+EDKWYH","","CIRD ","2020-05-27 00:00:00","Q+EDKVCZ","","2020-07-19 18:46:35","2020-07-19 18:46:35","FJUSRAM ","FJUSRAM ","Facility: INTFULDRAW19072020175128ZRS circled for 50,000,000.00 EUR.  Facility: INTUND19072020181758HRH circled for 20,000,000.00 EUR.  Facility: PARDRAW19072020180431GZX circled for 30,000,000.00 EUR.","","CG852"
"Q+EDKX86","Q+EDKWYH","","STSA ","2020-05-27 00:00:00","Q+EDKVCZ","","2020-07-19 18:47:30","2020-07-19 18:47:30","FJUSRAM ","FJUSRAM ","Warnings occurred during validation: No","","CG852"
"Q*EDKXNH","Q+EDKWYH","","APPST","2020-05-27 00:00:00","Q+EDKVCZ","","2020-07-19 18:52:00","2020-07-19 18:52:00","FJSUPAM ","FJSUPAM ","Approval completed.  Approver: SUPAMSTERDAM, FJ. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands.","","CG852"
"5!EDKYFH","Q+EDKWYH","","CLDT ","2020-05-27 00:00:00","Q+EDKVCZ","","2020-07-19 19:03:29","2020-07-19 19:03:29","FJMGRAM ","FJMGRAM ","","","CG852"
"FZEE39P0","FFEE38VW","","STSA ","2020-06-02 00:00:00","40EDZTD7","","2020-07-29 15:18:33","2020-07-29 15:18:33","INPCHER ","INPCHER ","Warnings occurred during validation: No","","CG852"
"F9EE39XZ","FFEE38VW","","APPST","2020-06-02 00:00:00","40EDZTD7","","2020-07-29 15:20:50","2020-07-29 15:20:50","RPTMGR01","RPTMGR01","Approval completed.  Approver: MANAGER, RODEL. Job Function: Deal Administration Manager; Ranking: 10. Location: .","","CG852"
"FZEE39OP","FFEE38VW","","PORTF","2020-06-02 00:00:00","40EDZTD7","","2020-07-29 15:18:17","2020-07-29 15:18:17","INPCHER ","INPCHER ","","","CG852"
"Z9EE4H8E","Z9EE4H8A","","CRTE ","","BYEDA56Z","","2020-07-30 07:05:42","2020-07-30 07:05:42","FJUSRAM ","FJUSRAM ","","","CG852"
"FFEE38VF","FFEE38VD","","CRTE ","","40EDZTD7","","2020-07-29 14:58:20","2020-07-29 14:58:20","INPCHER ","INPCHER ","","","CG852"
"FFEE38VT","FFEE38VD","","CIRD ","2020-06-02 00:00:00","40EDZTD7","","2020-07-29 14:59:47","2020-07-29 14:59:47","INPCHER ","INPCHER ","Facility: S4REV27072020185106 circled for 300,000,000.00 AUD.","","CG852"
"FFEE38W0","FFEE38VW","","CRTE ","","40EDZTD7","","2020-07-29 15:00:27","2020-07-29 15:00:27","INPCHER ","INPCHER ","","","CG852"
"FFEE38WE","FFEE38VW","","CIRD ","2020-06-02 00:00:00","40EDZTD7","","2020-07-29 15:01:54","2020-07-29 15:01:54","INPCHER ","INPCHER ","Facility: S4REV27072020185106 circled for 200,000,000.00 AUD.","","CG852"
"F.EE3B2U","FFEE38VW","","CLDT ","2020-06-02 00:00:00","40EDZTD7","","2020-07-29 15:27:24","2020-07-29 15:27:24","JCAPR02 ","JCAPR02 ","","","CG852"
"F.EE3B2Z","FFEE38VD","","CLDT ","2020-06-02 00:00:00","40EDZTD7","","2020-07-29 15:27:27","2020-07-29 15:27:27","JCAPR02 ","JCAPR02 ","","","CG852"
"S#EESVUO","S#EESVUL","","CRTE ","","S#EESVPY","","2020-08-12 11:49:57","2020-08-12 11:49:57","CMARTILL","CMARTILL","","","CG852"
"S#EESVV0","S#EESVUL","","CIRD ","2020-07-07 00:00:00","S#EESVPY","","2020-08-12 11:51:15","2020-08-12 11:51:15","CMARTILL","CMARTILL","Facility: AMSTER BILAT DEAL1 FAC1 circled for 15,000,000.00 EUR.","","CG852"
"0REF4G6R","0REF4G2C","","PORTF","2020-05-27 00:00:00","0REF4EYL","","2020-08-18 16:20:46","2020-08-18 16:20:46","LIQUSR03","LIQUSR03","","","CG852"
"AVEF5UHF","AVEF5UHB","","CRTE ","","V8EF4706","","2020-08-19 09:44:37","2020-08-19 09:44:37","LIQUSR05","LIQUSR05","","","CG852"
"!KEF5UUK","AVEF5UHB","","APPST","2020-05-27 00:00:00","V8EF4706","","2020-08-19 09:59:40","2020-08-19 09:59:40","LIQSVR05","LIQSVR05","Approval completed.  Approver: AMSTERDAM, LIQSVR. Job Function: Senior Deal Administrator; Ranking: 10. Location: Amsterdam, Netherlands.","","CG852"
"!KEF5UVN","AVEF5UHB","","CLDT ","2020-05-27 00:00:00","V8EF4706","","2020-08-19 10:03:07","2020-08-19 10:03:07","LIQSVR05","LIQSVR05","","","CG852"
".FEF9SZQ",".FEF9SZN","","CRTE ","",".FEF9QSQ","","2020-08-21 15:45:39","2020-08-21 15:45:39","LIQUSR03","LIQUSR03","","","CG852"
".FEF9T1O",".FEF9SZN","","PORTF","2020-05-27 00:00:00",".FEF9QSQ","","2020-08-21 15:46:50","2020-08-21 15:46:50","LIQUSR03","LIQUSR03","","","CG852"
".FEF9T1S",".FEF9SZN","","CIRD ","2020-05-27 00:00:00",".FEF9QSQ","","2020-08-21 15:46:54","2020-08-21 15:46:54","LIQUSR03","LIQUSR03","Facility: FACILITY A circled for 10,000,000.00 EUR.","","CG852"
".FEF9T87",".FEF9SZN","","CLDT ","2020-05-27 00:00:00",".FEF9QSQ","","2020-08-21 15:50:26","2020-08-21 15:50:26","LIQUSR03","LIQUSR03","","","CG852"
"YZEFF13G","YZEFF13D","","CRTE ","","YZEFEWH5","","2020-08-24 11:29:34","2020-08-24 11:29:34","SMANZANO","SMANZANO","","","CG852"
"Y5EFF4MP","Y5EFF4MB","","CRTE ","",".FEF9QSQ","","2020-08-24 11:32:23","2020-08-24 11:32:23","LIQUSR03","LIQUSR03","","","CG852"
"Y5EFF4N4","Y5EFF4MQ","","CRTE ","",".FEF9QSQ","","2020-08-24 11:32:23","2020-08-24 11:32:23","LIQUSR03","LIQUSR03","","","CG852"
"Y5EFF4O6","Y5EFF4MB","","PORTF","2020-05-27 00:00:00",".FEF9QSQ","","2020-08-24 11:33:46","2020-08-24 11:33:46","LIQUSR03","LIQUSR03","","","CG852"
"Y5EFF4OJ","Y5EFF4MB","","STA  ","2020-05-27 00:00:00",".FEF9QSQ","","2020-08-24 11:33:52","2020-08-24 11:33:52","LIQUSR03","LIQUSR03","Warnings occurred during validation: N","","CG852"
"Y5EFF4OO","Y5EFF4MQ","","STA  ","2020-05-27 00:00:00",".FEF9QSQ","","2020-08-24 11:33:52","2020-08-24 11:33:52","LIQUSR03","LIQUSR03","Warnings occurred during validation: N","","CG852"
"Y5EFF4P7","Y5EFF4MQ","","PORTF","2020-05-27 00:00:00",".FEF9QSQ","","2020-08-24 11:44:52","2020-08-24 11:44:52","LIQUSR03","LIQUSR03","","","CG852"
"JFEFF6ER","Y5EFF4MQ","","APRVD","2020-05-27 00:00:00",".FEF9QSQ","","2020-08-24 11:46:59","2020-08-24 11:46:59","LIQUSR04","LIQUSR04","","","CG852"
"JZEFF6RJ","Y5EFF4MB","","APPST","2020-05-27 00:00:00",".FEF9QSQ","","2020-08-24 11:52:10","2020-08-24 11:52:10","LIQUSR02","LIQUSR02","Approval completed.  Approver: AMSTER, LIQUSER. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands. Warnings occurred during validation.","","CG852"
"Y5EFF5AT","Y5EFF58B","","CLDT ","2020-05-27 00:00:00","Y5EFF54H","","2020-08-24 12:45:45","2020-08-24 12:45:45","LIQUSR03","LIQUSR03","","","CG852"
"Y5EFF5C3","Y5EFF5BP","","CRTE ","","Y5EFF54H","","2020-08-24 12:51:58","2020-08-24 12:51:58","LIQUSR03","LIQUSR03","","","CG852"
"Y5EFF5CI","Y5EFF5C4","","CRTE ","","Y5EFF54H","","2020-08-24 12:51:58","2020-08-24 12:51:58","LIQUSR03","LIQUSR03","","","CG852"
"Y5EFF5DK","Y5EFF5C4","","CIRD ","2020-05-27 00:00:00","Y5EFF54H","","2020-08-24 12:56:08","2020-08-24 12:56:08","LIQUSR03","LIQUSR03","Facility: FACILITY A circled for 4,000,000.00 EUR.","","CG852"
"Y5EFF5DL","Y5EFF5BP","","CIRD ","2020-05-27 00:00:00","Y5EFF54H","","2020-08-24 12:56:08","2020-08-24 12:56:08","LIQUSR03","LIQUSR03","Facility: FACILITY A circled for 4,000,000.00 EUR.","","CG852"
"Y5EFF5DR","Y5EFF5C4","","PORTF","2020-05-27 00:00:00","Y5EFF54H","","2020-08-24 12:56:18","2020-08-24 12:56:18","LIQUSR03","LIQUSR03","","","CG852"
"Y5EFF5DZ","Y5EFF5BP","","PORTF","2020-05-27 00:00:00","Y5EFF54H","","2020-08-24 12:56:33","2020-08-24 12:56:33","LIQUSR03","LIQUSR03","","","CG852"
"Y5EFF5E4","Y5EFF5BP","","STA  ","2020-05-27 00:00:00","Y5EFF54H","","2020-08-24 12:56:35","2020-08-24 12:56:35","LIQUSR03","LIQUSR03","Warnings occurred during validation: N","","CG852"
"Y5EFF5E7","Y5EFF5C4","","STA  ","2020-05-27 00:00:00","Y5EFF54H","","2020-08-24 12:56:35","2020-08-24 12:56:35","LIQUSR03","LIQUSR03","Warnings occurred during validation: N","","CG852"
"JNEFF8VU","Y5EFF5BP","","APRVD","2020-05-27 00:00:00","Y5EFF54H","","2020-08-24 12:57:54","2020-08-24 12:57:54","LIQAPCP3","LIQAPCP3","","","CG852"
"J5EFFAQE","Y5EFF5C4","","APPST","2020-05-27 00:00:00","Y5EFF54H","","2020-08-24 13:02:46","2020-08-24 13:02:46","LIQUSR02","LIQUSR02","Approval completed.  Approver: AMSTER, LIQUSER. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands.","","CG852"
"JLEFFB3F","Y5EFF5BP","","CLDT ","2020-05-27 00:00:00","Y5EFF54H","","2020-08-24 13:03:26","2020-08-24 13:03:26","LIQUSR03","LIQUSR03","","","CG852"
"JLEFFB3N","Y5EFF5C4","","CLDT ","2020-05-27 00:00:00","Y5EFF54H","","2020-08-24 13:03:26","2020-08-24 13:03:26","LIQUSR03","LIQUSR03","","","CG852"
"J6EFF7EA","YZEFF13D","","CLDT ","2020-05-27 00:00:00","YZEFEWH5","","2020-08-24 13:45:30","2020-08-24 13:45:30","MANZANOS","MANZANOS","","","CG852"
"3.EFFE2X","3.EFFE2D","","PORTF","2020-05-27 00:00:00","3.EFFDYP","","2020-08-24 15:09:59","2020-08-24 15:09:59","JAQUITAN","JAQUITAN","","","CG852"
"I:EFMI8F","I:EFMI3M","","CIRD ","2020-05-29 00:00:00","IREFMCO3","","2020-08-28 12:22:57","2020-08-28 12:22:57","SMANZANO","SMANZANO","Facility: AMS_RPA_FACILITY circled for 100,000,000.00 EUR.","","CG852"
"I:EFMIAI","I:EFMI3M","","PORTF","2020-05-29 00:00:00","IREFMCO3","","2020-08-28 12:24:14","2020-08-28 12:24:14","SMANZANO","SMANZANO","","","CG852"
"I:EFMIBI","I:EFMI3M","","STSA ","2020-05-29 00:00:00","IREFMCO3","","2020-08-28 12:25:15","2020-08-28 12:25:15","SMANZANO","SMANZANO","Warnings occurred during validation: No","","CG852"
"2?EFMSKF","I:EFMI3M","","APPST","2020-05-29 00:00:00","IREFMCO3","","2020-08-28 15:04:21","2020-08-28 15:04:21","MANZANOS","MANZANOS","Approval completed.  Approver: APPROVER1, SHINE. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands.","","CG852"
"2?EFMSLN","I:EFMI3M","","CLDT ","2020-05-29 00:00:00","IREFMCO3","","2020-08-28 15:10:28","2020-08-28 15:10:28","MANZANOS","MANZANOS","","","CG852"
"#!EFTRZ1","#!EFTRYG","","PORTF","2020-05-29 00:00:00","#!EFTROA","","2020-09-01 10:03:24","2020-09-01 10:03:24","CMARTILL","CMARTILL","","","CG852"
"#!EFTRZ5","#!EFTRYG","","STSA ","2020-05-29 00:00:00","#!EFTROA","","2020-09-01 10:04:05","2020-09-01 10:04:05","CMARTILL","CMARTILL","Warnings occurred during validation: No","","CG852"
"#FEFTU8M","#!EFTRYG","","APPST","2020-05-29 00:00:00","#!EFTROA","","2020-09-01 10:28:45","2020-09-01 10:28:45","RPTSUP01","RPTSUP01","Approval completed.  Approver: SUPERVISOR, RODEL. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands.","","CG852"
"#FEFTUAD","#!EFTRYG","","CLDT ","2020-05-29 00:00:00","#!EFTROA","","2020-09-01 11:09:00","2020-09-01 11:09:00","RPTSUP01","RPTSUP01","","","CG852"
"-VEFU2V8","-VEFU2UU","","CRTE ","","3MEFH2AH","","2020-09-01 14:32:02","2020-09-01 14:32:02","LIQUSR03","LIQUSR03","","","CG852"
"#!EFU81O","#!EFU7XT","","CIRD ","2020-05-29 00:00:00","#!EFTROA","","2020-09-01 16:24:09","2020-09-01 16:24:09","CMARTILL","CMARTILL","Facility: FAC1 AMSTER RPA 1M CM circled for 500,000.00 EUR.","","CG852"
"-VEFU2WX","-VEFU2UU","","CIRD ","2020-05-29 00:00:00","3MEFH2AH","","2020-09-01 14:33:16","2020-09-01 14:33:16","LIQUSR03","LIQUSR03","Facility: FACILITY A circled for 3,000,000.00 EUR.","","CG852"
"-VEFU2X7","-VEFU2UU","","TGDTE","2020-05-29 00:00:00","3MEFH2AH","","2020-09-01 14:33:16","2020-09-01 14:33:16","LIQUSR03","LIQUSR03","Delayed trigger date modified (27-May-2020)","","CG852"
"-VEFU2XD","-VEFU2UU","","PORTF","2020-05-29 00:00:00","3MEFH2AH","","2020-09-01 14:33:25","2020-09-01 14:33:25","LIQUSR03","LIQUSR03","","","CG852"
"-VEFU304","-VEFU2UU","","STA  ","2020-05-29 00:00:00","3MEFH2AH","","2020-09-01 14:35:12","2020-09-01 14:35:12","LIQUSR03","LIQUSR03","Warnings occurred during validation: N","","CG852"
"-VEFU4NV","-VEFU2UU","","STSA ","2020-05-29 00:00:00","3MEFH2AH","","2020-09-01 15:11:01","2020-09-01 15:11:01","LIQUSR03","LIQUSR03","Warnings occurred during validation: Yes","","CG852"
"#XEFU8BR","-VEFU2UU","","APPST","2020-05-29 00:00:00","3MEFH2AH","","2020-09-01 15:11:52","2020-09-01 15:11:52","LIQAPCP3","LIQAPCP3","Approval completed.  Approver: MANUAL CP APPROVER 3, LIQ. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands. Warnings occurred during validation.","","CG852"
"#!EFU7Y7","#!EFU7XT","","CRTE ","","#!EFTROA","","2020-09-01 16:21:52","2020-09-01 16:21:52","CMARTILL","CMARTILL","","","CG852"
"#!EFU7ZH","#!EFU7XT","","TGDTE","2020-05-29 00:00:00","#!EFTROA","","2020-09-01 16:22:51","2020-09-01 16:22:51","CMARTILL","CMARTILL","Delayed trigger date modified (29-May-2020)","","CG852"
"#!EFU82K","#!EFU7XT","","PORTF","2020-05-29 00:00:00","#!EFTROA","","2020-09-01 16:24:42","2020-09-01 16:24:42","CMARTILL","CMARTILL","","","CG852"
"#!EFU82Y","#!EFU7XT","","STA  ","2020-05-29 00:00:00","#!EFTROA","","2020-09-01 16:24:55","2020-09-01 16:24:55","CMARTILL","CMARTILL","Warnings occurred during validation: N","","CG852"
"#FEFU8GZ","#!EFU7XT","","CLDT ","2020-05-29 00:00:00","#!EFTROA","","2020-09-01 16:33:23","2020-09-01 16:33:23","RPTSUP01","RPTSUP01","","","CG852"
"BSEFVPRH","BSEFVPR3","","CRTE ","","@EEFGXO8","","2020-09-02 11:44:42","2020-09-02 11:44:42","SMANZANO","SMANZANO","","","CG852"
"BSEFVPZ0","BSEFVPR3","","TGDTE","2020-05-29 00:00:00","@EEFGXO8","","2020-09-02 11:49:03","2020-09-02 11:49:03","SMANZANO","SMANZANO","Delayed trigger date modified (27-May-2020)","","CG852"
"BSEFVPYP","BSEFVPR3","","CIRD ","2020-05-29 00:00:00","@EEFGXO8","","2020-09-02 11:49:03","2020-09-02 11:49:03","SMANZANO","SMANZANO","Facility: AMS_FACILITY_OF_DEAL5 circled for 50,000,000.00 EUR.","","CG852"
"BSEFVQ2R","BSEFVPR3","","PORTF","2020-05-29 00:00:00","@EEFGXO8","","2020-09-02 11:51:21","2020-09-02 11:51:21","SMANZANO","SMANZANO","","","CG852"
"BSEFVQ50","BSEFVPR3","","STA  ","2020-05-29 00:00:00","@EEFGXO8","","2020-09-02 11:52:43","2020-09-02 11:52:43","SMANZANO","SMANZANO","Warnings occurred during validation: N","","CG852"
"BGEFVSB9","BSEFVPR3","","APRVD","2020-05-29 00:00:00","@EEFGXO8","","2020-09-02 12:39:42","2020-09-02 12:39:42","MANZANOS","MANZANOS","","","CG852"
"BGEFVSRL","BSEFVPR3","","FNDG ","","@EEFGXO8","","2020-09-02 12:49:25","2020-09-02 12:49:25","MANZANOS","MANZANOS","Funding status changed to Funding.","","CG852"
"BGEFVSSI","BSEFVPR3","","STSA ","2020-05-29 00:00:00","@EEFGXO8","","2020-09-02 12:49:59","2020-09-02 12:49:59","MANZANOS","MANZANOS","Warnings occurred during validation: Yes","","CG852"
"B+EFVT9D","BSEFVPR3","","APPST","2020-05-29 00:00:00","@EEFGXO8","","2020-09-02 12:56:23","2020-09-02 12:56:23","MANZANOM","MANZANOM","Approval completed.  Approver: APPROVER2, SHINE. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands. Warnings occurred during validation.","","CG852"
":3EFW2NI",":3EFW2ME","","TGDTE","2020-05-29 00:00:00","Y5EFF54H","","2020-09-02 15:51:55","2020-09-02 15:51:55","LIQUSR03","LIQUSR03","Delayed trigger date modified (27-May-2020)","","CG852"
":CEFW3FE",":3EFW2ME","","STSA ","2020-05-29 00:00:00","Y5EFF54H","","2020-09-02 15:57:05","2020-09-02 15:57:05","LIQUSR03","LIQUSR03","Warnings occurred during validation: Yes","","CG852"
"9ZEF82QE","9ZEF82QB","","CRTE ","","9ZEF82FK","","2020-08-20 17:20:48","2020-08-20 17:20:48","JAQUITAN","JAQUITAN","","","CG852"
"9ZEF82ZA","9ZEF82QB","","CIRD ","2020-05-27 00:00:00","9ZEF82FK","","2020-08-20 17:26:08","2020-08-20 17:26:08","JAQUITAN","JAQUITAN","Facility: WSS_JATEST_FAC1 circled for 100,000,000.00 EUR.","","CG852"
"Y5EFF543","Y5EFF4MB","","CAN  ","2020-05-27 00:00:00",".FEF9QSQ","","2020-08-24 12:04:27","2020-08-24 12:04:27","LIQUSR03","LIQUSR03","Lender commitment cancelled effective 27-May-2020. Reason: Other.","","CG852"
"3ZEFFD5R","3ZEFFD5O","","CRTE ","","3ZEFFD20","","2020-08-24 14:47:57","2020-08-24 14:47:57","JAQUITAN","JAQUITAN","","","CG852"
"(7EFGUIQ","(7EFGUI6","","PORTF","2020-05-27 00:00:00","(7EFGUDN","","2020-08-25 10:49:53","2020-08-25 10:49:53","CMARTILL","CMARTILL","","","CG852"
"(7EFGY5C","(7EFGY58","","CRTE ","","(7EFGXIA","","2020-08-25 12:20:41","2020-08-25 12:20:41","CMARTILL","CMARTILL","","","CG852"
"(7EFGY81","(7EFGY58","","CIRD ","2020-05-27 00:00:00","(7EFGXIA","","2020-08-25 12:22:19","2020-08-25 12:22:19","CMARTILL","CMARTILL","Facility: AMSTER PYMNTS DEAL2 FAC1 circled for 2,000,000.00 EUR.","","CG852"
"@+EFH709","@+EFH6ZP","","PORTF","2020-05-27 00:00:00","3MEFH2AH","","2020-08-25 14:54:49","2020-08-25 14:54:49","LIQUSR03","LIQUSR03","","","CG852"
"@+EFH70D","@+EFH6ZP","","STSA ","2020-05-27 00:00:00","3MEFH2AH","","2020-08-25 14:54:52","2020-08-25 14:54:52","LIQUSR03","LIQUSR03","Warnings occurred during validation: No","","CG852"
"J3EFF7U3","Y5EFF4MQ","","APPST","2020-05-27 00:00:00",".FEF9QSQ","","2020-08-24 12:00:58","2020-08-24 12:00:58","LIQAPCP3","LIQAPCP3","Approval completed.  Approver: MANUAL CP APPROVER 3, LIQ. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands. Warnings occurred during validation.","","CG852"
"Y5EFF542","Y5EFF4MQ","","CAN  ","2020-05-27 00:00:00",".FEF9QSQ","","2020-08-24 12:04:27","2020-08-24 12:04:27","LIQUSR03","LIQUSR03","Lender commitment cancelled effective 27-May-2020. Reason: Other.","","CG852"
"CPEFH9EQ","@+EFH6ZP","","APPST","2020-05-27 00:00:00","3MEFH2AH","","2020-08-25 14:57:19","2020-08-25 14:57:19","LIQAPCP3","LIQAPCP3","Approval completed.  Approver: MANUAL CP APPROVER 3, LIQ. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands.","","CG852"
"@+EFH726","@+EFH6ZP","","CLDT ","2020-05-27 00:00:00","3MEFH2AH","","2020-08-25 14:58:29","2020-08-25 14:58:29","LIQUSR03","LIQUSR03","","","CG852"
"@+EFH74G","@+EFH732","","TGDTE","2020-05-27 00:00:00","3MEFH2AH","","2020-08-25 15:04:54","2020-08-25 15:04:54","LIQUSR03","LIQUSR03","Delayed trigger date modified (27-May-2020)","","CG852"
"@+EFH746","@+EFH732","","CIRD ","2020-05-27 00:00:00","3MEFH2AH","","2020-08-25 15:04:54","2020-08-25 15:04:54","LIQUSR03","LIQUSR03","Facility: FACILITY A circled for 4,000,000.00 EUR.","","CG852"
"@+EFH74O","@+EFH732","","PORTF","2020-05-27 00:00:00","3MEFH2AH","","2020-08-25 15:05:03","2020-08-25 15:05:03","LIQUSR03","LIQUSR03","","","CG852"
"@+EFH74S","@+EFH732","","STA  ","2020-05-27 00:00:00","3MEFH2AH","","2020-08-25 15:05:06","2020-08-25 15:05:06","LIQUSR03","LIQUSR03","Warnings occurred during validation: N","","CG852"
"CPEFH9F9","@+EFH732","","APRVD","2020-05-27 00:00:00","3MEFH2AH","","2020-08-25 15:05:32","2020-08-25 15:05:32","LIQAPCP3","LIQAPCP3","","","CG852"
