"PLP_PID_PRODUCT_ID","PLP_CDE_PROD_TYPE","PLP_CDE_LOAN_PURP","PLP_TSP_REC_CREATE","PLP_TSP_REC_UPDATE","PLP_UID_REC_CREATE","PLP_UID_REC_UPDATE","PLP_CDE_BRANCH"
"NPEI1VIS","FAC  ","ACQ  ","2020-10-14 16:47:30","2020-10-14 16:47:30","JAQUITAN","JAQUITAN","CG852"
"Q+EDKVFH","FAC  ","WCA  ","2020-07-19 18:03:31","2020-07-19 18:03:31","FJUSRAM ","FJUSRAM ","CG852"
"Q+EDKVL5","FAC  ","WCA  ","2020-07-19 18:16:58","2020-07-19 18:16:58","FJUSRAM ","FJUSRAM ","CG852"
"Q+EDKW7K","FAC  ","WCA  ","2020-07-19 18:30:29","2020-07-19 18:30:29","FJUSRAM ","FJUSRAM ","CG852"
"Q.EJEGOA","FAC  ","WCA  ","2020-11-09 22:00:48","2020-11-09 22:00:48","CESSINP1","CESSINP1","CG852"
"Q4EDGQL9","FAC  ","WCA  ","2020-07-17 11:35:36","2020-07-17 11:35:36","FJUSRAM ","FJUSRAM ","CG852"
"QFEDH1MI","FAC  ","WCA  ","2020-07-17 16:08:21","2020-07-17 16:08:21","FJUSRAM ","FJUSRAM ","CG852"
"QFEDH1QH","FAC  ","WCA  ","2020-07-17 16:32:51","2020-07-17 16:32:51","FJUSRAM ","FJUSRAM ","CG852"
"S#EESVR1","FAC  ","CONSH","2020-08-12 11:38:56","2020-08-12 11:38:56","CMARTILL","CMARTILL","CG852"
"SUEBXL18","FAC  ","ACQ  ","2020-06-17 19:03:16","2020-06-17 19:03:16","RPTINPAM","RPTINPAM","CG852"
"SUEBXL2B","FAC  ","WCA  ","2020-06-17 19:11:23","2020-06-17 19:11:23","RPTINPAM","RPTINPAM","CG852"
"T*EHY77J","FAC  ","PURIB","2020-10-12 17:13:57","2020-10-12 17:13:57","CESSINP1","CESSINP1","CG852"
"V8EF471U","FAC  ","ACQ  ","2020-08-18 12:33:14","2020-08-18 12:33:14","LIQUSR05","LIQUSR05","CG852"
"X-EI206K","FAC  ","ACQ  ","2020-10-14 18:24:19","2020-10-14 18:24:19","SMANZANO","SMANZANO","CG852"
"Y5EFF559","FAC  ","ACQ  ","2020-08-24 12:29:53","2020-08-24 12:29:53","LIQUSR03","LIQUSR03","CG852"
"YZEFEXAM","FAC  ","ACQ  ","2020-08-24 10:55:35","2020-08-24 10:55:35","SMANZANO","SMANZANO","CG852"
"ZUEJHSA1","FAC  ","WCA  ","2020-11-11 14:16:29","2020-11-11 14:16:29","FOULISTR","FOULISTR","CB141"
