"ERV_NUM_SORT_ORDER","ERV_IND_ACTIVE","ERV_IND_MAY_DEACT","ERV_CDE_EXTRTG_TYP","ERV_CDE_EXTRTG_VAL","ERV_TSP_REC_CREATE","ERV_UID_REC_CREATE","ERV_TSP_REC_UPDATE","ERV_UID_REC_UPDATE","ERV_NUM_FACTOR"
"124","Y","Y","FITCH","CCC- ","2018-05-24 15:55:12","LOANIQ01","2019-04-05 13:39:34","BRIANMOK",""
"125","Y","Y","FITCH","CC   ","2018-05-24 15:55:12","LOANIQ01","2019-04-05 13:39:34","BRIANMOK",""
"128","Y","Y","FITCH","C    ","2018-05-24 15:55:13","LOANIQ01","2019-04-05 13:39:34","BRIANMOK",""
"130","Y","Y","FITCH","RD   ","2018-05-24 15:55:13","LOANIQ01","2019-04-05 13:39:34","BRIANMOK",""
"242","N","Y","CP-M ","P2   ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"243","N","Y","CP-M ","P3   ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"246","N","Y","CP-S ","A1   ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"245","N","Y","CP-S ","A1+  ","1994-07-13 07:36:50","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"247","N","Y","CP-S ","A2   ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"248","N","Y","CP-S ","A3   ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"249","N","Y","CP-S ","B    ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"250","N","Y","CP-S ","C    ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"251","N","Y","CP-S ","D    ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"143","N","Y","CPA-S","A    ","1995-08-16 16:26:42","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"144","N","Y","CPA-S","A-   ","1995-09-18 11:23:47","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"142","N","Y","CPA-S","A+   ","1995-09-18 11:20:55","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"140","N","Y","CPA-S","AA   ","1995-08-16 16:18:24","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"141","N","Y","CPA-S","AA-  ","1995-09-18 11:18:36","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"139","N","Y","CPA-S","AA+  ","1995-09-18 11:13:12","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"138","N","Y","CPA-S","AAA  ","1995-08-15 17:00:11","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"152","N","Y","CPA-S","B    ","1995-08-16 16:34:05","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"153","N","Y","CPA-S","B-   ","1995-09-18 11:46:41","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"151","N","Y","CPA-S","B+   ","1995-09-18 11:43:59","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"149","N","Y","CPA-S","BB   ","1995-08-16 16:31:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"150","N","Y","CPA-S","BB-  ","1995-09-18 11:39:05","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"148","N","Y","CPA-S","BB+  ","1995-09-18 11:31:56","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"146","N","Y","CPA-S","BBB  ","1995-08-16 16:29:50","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"147","N","Y","CPA-S","BBB- ","1995-09-18 11:29:19","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"145","N","Y","CPA-S","BBB+ ","1995-09-18 11:26:40","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"158","N","Y","CPA-S","C    ","1995-09-18 12:02:44","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"157","N","Y","CPA-S","CC   ","1995-09-18 11:58:45","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"155","N","Y","CPA-S","CCC  ","1995-08-16 16:35:36","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"156","N","Y","CPA-S","CCC- ","1995-09-18 11:55:53","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"154","N","Y","CPA-S","CCC+ ","1995-09-18 11:50:06","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"159","N","Y","CPA-S","D    ","1995-09-18 12:06:00","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"160","N","Y","CPA-S","NR   ","1995-09-22 15:09:30","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"108","N","Y","FS-M ","A1   ","1995-09-14 19:30:36","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"110","N","Y","FS-M ","A2   ","1995-09-14 19:16:55","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"112","N","Y","FS-M ","A3   ","1995-09-14 19:14:41","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"102","N","Y","FS-M ","Aa1  ","1995-09-14 19:27:53","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"104","N","Y","FS-M ","Aa2  ","1995-09-14 19:25:32","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"106","N","Y","FS-M ","Aa3  ","1995-09-14 19:23:03","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"100","N","Y","FS-M ","Aaa  ","1995-08-16 16:38:47","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"126","N","Y","FS-M ","B1   ","1995-09-14 13:42:13","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"127","N","Y","FS-M ","B2   ","1995-09-14 13:39:41","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"129","N","Y","FS-M ","B3   ","1995-09-14 13:36:24","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"119","N","Y","FS-M ","Ba1  ","1995-09-14 13:53:03","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"122","N","Y","FS-M ","Ba2  ","1995-09-14 13:51:19","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"123","N","Y","FS-M ","Ba3  ","1995-09-14 13:46:08","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"114","N","Y","FS-M ","Baa1 ","1995-09-14 19:12:22","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"116","N","Y","FS-M ","Baa2 ","1995-09-14 19:10:12","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"117","N","Y","FS-M ","Baa3 ","1995-09-14 19:07:46","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"135","N","Y","FS-M ","C    ","1995-08-16 16:54:28","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"134","N","Y","FS-M ","Ca   ","1995-08-16 16:50:51","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"131","N","Y","FS-M ","Caa  ","1995-08-16 16:48:53","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"137","N","Y","FS-M ","NR   ","1995-09-22 15:07:03","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"165","N","Y","IMsnm","A1   ","1994-08-18 18:58:21","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"166","N","Y","IMsnm","A2   ","1994-08-18 19:01:14","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"167","N","Y","IMsnm","A3   ","1994-08-18 19:04:33","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"162","N","Y","IMsnm","Aa1  ","1994-08-18 18:48:53","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"163","N","Y","IMsnm","Aa2  ","1994-08-18 18:51:16","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"164","N","Y","IMsnm","Aa3  ","1994-08-18 18:54:58","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"161","N","Y","IMsnm","Aaa  ","1994-08-18 18:45:15","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"174","N","Y","IMsnm","B1   ","1994-08-18 19:35:18","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"175","N","Y","IMsnm","B2   ","1994-08-18 19:39:33","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"176","N","Y","IMsnm","B3   ","1994-08-18 19:54:14","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"171","N","Y","IMsnm","Ba1  ","1994-08-18 19:21:46","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"172","N","Y","IMsnm","Ba2  ","1994-08-18 19:26:17","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"173","N","Y","IMsnm","Ba3  ","1994-08-18 19:30:48","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"168","N","Y","IMsnm","Baa1 ","1994-08-18 19:09:20","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"169","N","Y","IMsnm","Baa2 ","1994-08-18 19:12:44","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"170","N","Y","IMsnm","Baa3 ","1994-08-18 19:17:24","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"179","N","Y","IMsnm","C    ","1994-08-19 11:23:05","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"178","N","Y","IMsnm","Ca   ","1994-08-18 20:04:01","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"177","N","Y","IMsnm","Caa  ","1994-08-18 19:58:48","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"180","N","Y","IMsnm","NR   ","1994-08-23 11:37:39","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"186","N","Y","IMsns","A    ","1994-08-18 17:17:03","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"187","N","Y","IMsns","A-   ","1994-08-18 17:18:33","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"185","N","Y","IMsns","A+   ","1994-08-18 17:15:36","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"183","N","Y","IMsns","AA   ","1994-08-18 17:12:20","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"184","N","Y","IMsns","AA-  ","1994-08-18 17:13:46","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"182","N","Y","IMsns","AA+  ","1994-08-18 17:10:27","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"181","N","Y","IMsns","AAA  ","1994-08-18 17:08:29","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"195","N","Y","IMsns","B    ","1994-08-18 18:17:21","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"196","N","Y","IMsns","B-   ","1994-08-18 18:19:25","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"194","N","Y","IMsns","B+   ","1994-08-18 18:15:13","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"192","N","Y","IMsns","BB   ","1994-08-18 17:36:33","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"193","N","Y","IMsns","BB-  ","1994-08-18 17:43:04","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"191","N","Y","IMsns","BB+  ","1994-08-18 17:34:46","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"189","N","Y","IMsns","BBB  ","1994-08-18 17:21:25","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"190","N","Y","IMsns","BBB- ","1994-08-18 17:31:45","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"188","N","Y","IMsns","BBB+ ","1994-08-18 17:19:57","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"204","N","Y","IMsns","C    ","1994-08-18 18:36:32","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"205","N","Y","IMsns","C-   ","1994-08-18 18:39:12","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"203","N","Y","IMsns","C+   ","1994-08-18 18:34:20","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"201","N","Y","IMsns","CC   ","1994-08-18 18:30:12","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"202","N","Y","IMsns","CC-  ","1994-08-18 18:32:21","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"200","N","Y","IMsns","CC+  ","1994-08-18 18:27:57","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"198","N","Y","IMsns","CCC  ","1994-08-18 18:23:11","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"199","N","Y","IMsns","CCC- ","1994-08-18 18:25:33","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"197","N","Y","IMsns","CCC+ ","1994-08-18 18:21:25","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"206","N","Y","IMsns","D    ","1994-08-18 18:41:08","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"207","N","Y","IMsns","NR   ","1994-08-23 11:45:52","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"257","N","Y","LT-D ","A    ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"258","N","Y","LT-D ","A-   ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"256","N","Y","LT-D ","A+   ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"254","N","Y","LT-D ","AA   ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"255","N","Y","LT-D ","AA-  ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"253","N","Y","LT-D ","AA+  ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"252","N","Y","LT-D ","AAA  ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"266","N","Y","LT-D ","B    ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"267","N","Y","LT-D ","B-   ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"265","N","Y","LT-D ","B+   ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"263","N","Y","LT-D ","BB   ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"264","N","Y","LT-D ","BB-  ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"268","N","Y","LT-D ","CCC  ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"269","N","Y","LT-D ","DD   ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"270","N","Y","LT-D ","DP   ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"213","N","Y","sen-f","A    ","1994-07-29 13:49:08","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"214","N","Y","sen-f","A-   ","1994-07-29 13:50:50","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"212","N","Y","sen-f","A+   ","1994-07-29 13:46:58","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"210","N","Y","sen-f","AA   ","1994-07-29 13:41:29","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"211","N","Y","sen-f","AA-  ","1994-07-29 13:44:50","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"209","N","Y","sen-f","AA+  ","1994-07-29 13:39:34","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"208","N","Y","sen-f","AAA  ","1994-07-29 13:37:37","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"222","N","Y","sen-f","B    ","1994-08-09 09:13:42","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"223","N","Y","sen-f","B-   ","1994-08-09 09:16:36","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"221","N","Y","sen-f","B+   ","1994-08-09 09:12:11","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"219","N","Y","sen-f","BB   ","1994-08-09 09:08:01","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"220","N","Y","sen-f","BB-  ","1994-08-09 09:09:25","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"218","N","Y","sen-f","BB+  ","1994-08-09 09:06:18","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"216","N","Y","sen-f","BBB  ","1994-07-29 13:55:21","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"217","N","Y","sen-f","BBB- ","1994-08-09 09:03:54","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"215","N","Y","sen-f","BBB+ ","1994-07-29 13:53:04","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"231","N","Y","sen-f","C    ","1994-08-09 09:34:08","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"232","N","Y","sen-f","C-   ","1994-08-09 09:36:05","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"230","N","Y","sen-f","C+   ","1994-08-09 09:32:26","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"228","N","Y","sen-f","CC   ","1994-08-09 09:27:20","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"229","N","Y","sen-f","CC-  ","1994-08-09 09:30:22","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"227","N","Y","sen-f","CC+  ","1994-08-09 09:25:53","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"225","N","Y","sen-f","CCC  ","1994-08-09 09:20:05","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"226","N","Y","sen-f","CCC- ","1994-08-09 09:23:32","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"224","N","Y","sen-f","CCC+ ","1994-08-09 09:18:42","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"233","N","Y","sen-f","D    ","1994-08-09 09:37:36","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"275","N","Y","SEN-M","A1   ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"276","N","Y","SEN-M","A2   ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"277","N","Y","SEN-M","A3   ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"272","N","Y","SEN-M","Aa1  ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"273","N","Y","SEN-M","Aa2  ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"274","N","Y","SEN-M","Aa3  ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"271","N","Y","SEN-M","Aaa  ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"284","N","Y","SEN-M","B1   ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"285","N","Y","SEN-M","B2   ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"286","N","Y","SEN-M","B3   ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"281","N","Y","SEN-M","Ba1  ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"282","N","Y","SEN-M","Ba2  ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"283","N","Y","SEN-M","Ba3  ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"278","N","Y","SEN-M","Baa1 ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"279","N","Y","SEN-M","Baa2 ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"280","N","Y","SEN-M","Baa3 ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"289","N","Y","SEN-M","C    ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"288","N","Y","SEN-M","Ca   ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"287","N","Y","SEN-M","Caa  ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"290","N","Y","SEN-M","NR   ","1994-08-23 11:49:28","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"291","N","Y","SEN-N","1    ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"292","N","Y","SEN-N","2    ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"293","N","Y","SEN-N","3    ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"294","N","Y","SEN-N","4    ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"295","N","Y","SEN-N","5    ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"296","N","Y","SEN-N","6    ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"302","N","Y","SEN-S","A    ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"303","N","Y","SEN-S","A-   ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"301","N","Y","SEN-S","A+   ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"299","N","Y","SEN-S","AA   ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"300","N","Y","SEN-S","AA-  ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"298","N","Y","SEN-S","AA+  ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"297","N","Y","SEN-S","AAA  ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"311","N","Y","SEN-S","B    ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"312","N","Y","SEN-S","B-   ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"310","N","Y","SEN-S","B+   ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"308","N","Y","SEN-S","BB   ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"309","N","Y","SEN-S","BB-  ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"307","N","Y","SEN-S","BB+  ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"305","N","Y","SEN-S","BBB  ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"306","N","Y","SEN-S","BBB- ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"304","N","Y","SEN-S","BBB+ ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"320","N","Y","SEN-S","C    ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"321","N","Y","SEN-S","C-   ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"319","N","Y","SEN-S","C+   ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"317","N","Y","SEN-S","CC   ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"318","N","Y","SEN-S","CC-  ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"316","N","Y","SEN-S","CC+  ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"314","N","Y","SEN-S","CCC  ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"315","N","Y","SEN-S","CCC- ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"313","N","Y","SEN-S","CCC+ ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"322","N","Y","SEN-S","D    ","1993-02-18 09:17:23","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"323","N","Y","SEN-S","NR   ","1994-03-25 13:27:42","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"68","N","Y","SNS-M","A1   ","1997-09-15 13:25:41","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"70","N","Y","SNS-M","A2   ","1997-09-15 13:23:43","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
"72","N","Y","SNS-M","A3   ","1997-09-15 13:21:40","LS2BATCH","2019-04-05 13:39:34","BRIANMOK",""
