"IFA_IID_INV_ID","IFA_PID_FACILITY","IFA_FID_FAC_INV_ID","IFA_CDE_CURRENCY","IFA_AMT_CLOSE","IFA_AMT_PRE_CLOSE","IFA_AMT_CURRENT","IFA_TSP_REC_CREATE","IFA_TSP_REC_UPDATE","IFA_UID_REC_CREATE","IFA_UID_REC_UPDATE","IFA_PID_DEAL","IFA_PCT_INV_PRICE","IFA_PCT_SKIM_INT","IFA_AMT_DISCOUNT","IFA_PCT_DEAL_FXRTE","IFA_CDE_INT_TYPE","IFA_RID_SWAP_TRAN","IFA_CDE_BRANCH"
"0REF4G2C","0REF4FMA","0REF4G36","EUR","10000000","10000000","10000000","2020-08-18 16:19:38","2020-08-18 16:48:33","LIQUSR03","LIQUSR03","0REF4EYL","1","0","0","1","SKIM ","","CG852"
"Y5EFF58B","Y5EFF559","Y5EFF58K","EUR","10000000","10000000","10000000","2020-08-24 12:35:58","2020-08-24 12:45:45","LIQUSR03","LIQUSR03","Y5EFF54H","1","0","0","1","SKIM ","","CG852"
"@+EFH6ZP","@+EFH6WT","@+EFH6ZY","EUR","10000000","10000000","10000000","2020-08-25 14:54:39","2020-08-25 14:58:29","LIQUSR03","LIQUSR03","3MEFH2AH","1","0","0","1","SKIM ","","CG852"
"@-EFH84Q","@-EFH76E","@-EFH84Z","EUR","30000000","30000000","30000000","2020-08-25 15:56:48","2020-08-25 16:01:43","JAQUITAN","JANICEA1","@-EFH363","1","0","0","1","SKIM ","","CG852"
"C6EFHAUD","C6EFHAR6","C6EFHAUK","EUR","70000000","70000000","70000000","2020-08-25 16:25:02","2020-08-25 16:30:37","JAQUITAN","JANICEA1","C6EFHAQ1","1","0","0","1","SKIM ","","CG852"
"@EEFH99Z","@EEFH10F","@EEFH9AZ","EUR","100000000","100000000","100000000","2020-08-25 16:25:07","2020-08-25 16:40:15","SMANZANO","MANZANOS","@EEFGXO8","1","0","0","1","SKIM ","","CG852"
"C6EFHAUU","C6EFHAR6","C6EFHAV3","EUR","30000000","30000000","30000000","2020-08-25 16:26:17","2020-08-25 16:30:37","JAQUITAN","JANICEA1","C6EFHAQ1","1","0","0","1","SKIM ","","CG852"
"BPEI37RA","BPEI37NY","BPEI37RG","USD","6000000","6000000","6000000","2020-10-15 09:25:47","2020-10-15 09:32:19","JAQUITAN","MANZANOS","#+EI35Q6","1","0","0","1","SKIM ","","CG852"
"BPEI37RL","BPEI37NY","BPEI37RU","USD","4000000","4000000","4000000","2020-10-15 09:26:32","2020-10-15 09:32:17","JAQUITAN","MANZANOS","#+EI35Q6","1","0","0","1","SKIM ","","CG852"
"7)EET0L7","S#EESVR1","7)EET0LF","EUR","15000000","15000000","15000000","2020-08-12 14:11:17","2020-08-12 14:14:43","CMARTILL","RPTSUP01","S#EESVPY","1","0","0","1","SKIM ","","CG852"
"AVEF5UHB","V8EF471U","AVEF5UHK","EUR","5000000","5000000","5000000","2020-08-19 09:46:31","2020-08-19 10:03:07","LIQUSR05","LIQSVR05","V8EF4706","1","0","0","1","SKIM ","","CG852"
"Y5EFF5BP","Y5EFF559","Y5EFF5D4","EUR","4000000","4000000","4000000","2020-08-24 12:54:48","2020-08-24 13:03:26","LIQUSR03","LIQUSR03","Y5EFF54H","1","0","0","1","SKIM ","","CG852"
"Y5EFF5C4","Y5EFF559","Y5EFF5D5","EUR","4000000","4000000","4000000","2020-08-24 12:54:48","2020-08-24 13:03:26","LIQUSR03","LIQUSR03","Y5EFF54H","1","0","0","1","SKIM ","","CG852"
".FEF9SZN",".FEF9QTS",".FEF9SZV","EUR","10000000","10000000","10000000","2020-08-21 15:46:18","2020-08-21 15:50:26","LIQUSR03","LIQUSR03",".FEF9QSQ","1","0","0","1","SKIM ","","CG852"
"(7EFGZ4U","(7EFGXST","(7EFGZ52","EUR","2000000","2000000","2000000","2020-08-25 12:42:42","2020-08-25 12:46:23","CMARTILL","RPTMGR01","(7EFGXIA","1","0","0","1","SKIM ","","CG852"
"2NEFMSYZ","I:EFMEGK","2NEFMT0E","EUR","50000000","50000000","50000000","2020-08-28 15:27:45","2020-08-28 16:12:14","SMANZANO","MANZANOM","IREFMCO3","1","0","0","1","SKIM ","","CG852"
"2NEFMSZE","I:EFMEGK","2NEFMT0F","EUR","50000000","50000000","50000000","2020-08-28 15:27:45","2020-08-28 16:12:14","SMANZANO","MANZANOM","IREFMCO3","1","0","0","1","SKIM ","","CG852"
"-VEFU2UU","@+EFH6WT","-VEFU2VJ","EUR","3000000","3000000","3000000","2020-09-01 14:33:16","2020-09-01 15:11:52","LIQUSR03","LIQAPCP3","3MEFH2AH","1","0","0","1","SKIM ","","CG852"
".)EGARZY","Y5EFF559",".)EGAS0N","EUR","2000000","2000000","2000000","2020-09-10 14:59:22","2020-09-10 15:06:33","LIQUSR03","LIQUSR03","Y5EFF54H","1","0","0","1","SKIM ","","CG852"
"H+EGERLM","Y5EFF559","H+EGERMN","EUR","4000000","4000000","4000000","2020-08-26 16:40:38","2020-08-31 18:52:56","LIQUSR03","LIQUSR03","Y5EFF54H","1","0","0","1","SKIM ","","CG852"
"H+EGERLS","Y5EFF559","H+EGERMO","EUR","4000000","4000000","4000000","2020-08-26 16:40:38","2020-08-31 18:52:56","LIQUSR03","LIQUSR03","Y5EFF54H","1","0","0","1","SKIM ","","CG852"
"#!EFTRYG","#!EFTRT9","#!EFTRYP","EUR","1000000","1000000","1000000","2020-09-01 10:02:34","2020-09-01 11:09:00","CMARTILL","RPTSUP01","#!EFTROA","1","0","0","1","SKIM ","","CG852"
"BSEFVPR3","@EEFH10F","BSEFVPSH","EUR","50000000","50000000","50000000","2020-09-02 11:49:03","2020-09-02 12:56:23","SMANZANO","MANZANOM","@EEFGXO8","1","0","0","1","SKIM ","","CG852"
":3EFW2ME","Y5EFF559",":3EFW2N3","EUR","3000000","3000000","3000000","2020-09-02 15:51:55","2020-09-02 16:19:38","LIQUSR03","LIQUSR03","Y5EFF54H","1","0","0","1","SKIM ","","CG852"
"(.EGVD1K","Y5EFF559","(.EGVD2J","EUR","2000000","2000000","2000000","2020-09-21 15:49:18","2020-09-21 16:25:27","LIQUSR03","LIQAPCP3","Y5EFF54H","1","0","0","1","SKIM ","","CG852"
"S#EESVUL","S#EESVR1","S#EESVUT","EUR","15000000","15000000","15000000","2020-08-12 11:50:54","2020-08-12 14:02:29","CMARTILL","CMARTILL","S#EESVPY","1","0","0","1","SKIM ","","CG852"
"9ZEF82QB","9ZEF82GL","9ZEF82QL","EUR","100000000","100000000","100000000","2020-08-20 17:26:08","2020-08-20 17:37:18","JAQUITAN","JANICEA1","9ZEF82FK","1","0","0","1","SKIM ","","CG852"
"(7EFGUI6","(7EFGUEQ","(7EFGUIE","EUR","5000000","5000000","5000000","2020-08-25 10:44:56","2020-08-25 11:12:00","CMARTILL","RPTMGR01","(7EFGUDN","1","0","0","1","SKIM ","","CG852"
"I:EFMI3M","I:EFMEGK","I:EFMI48","EUR","100000000","100000000","100000000","2020-08-28 12:22:03","2020-08-28 15:10:28","SMANZANO","MANZANOS","IREFMCO3","1","0","0","1","SKIM ","","CG852"
"#!EFU7XT","#!EFTRT9","#!EFU7YI","EUR","500000","500000","500000","2020-09-01 16:22:51","2020-09-01 16:33:23","CMARTILL","RPTSUP01","#!EFTROA","1","0","0","1","SKIM ","","CG852"
":DEFW6QO","Y5EFF559",":DEFW6RD","EUR","3000000","3000000","3000000","2020-09-02 16:41:33","2020-09-02 16:57:23","LIQUSR03","LIQUSR03","Y5EFF54H","1","0","0","1","SKIM ","","CG852"
"Y5EFF4MB",".FEF9QTS","Y5EFF4NQ","EUR","3000000","3000000","3000000","2020-08-24 11:33:34","2020-08-24 12:04:27","LIQUSR03","LIQUSR03",".FEF9QSQ","1","0","0","1","SKIM ","","CG852"
"Y5EFF4MQ",".FEF9QTS","Y5EFF4NR","EUR","3000000","3000000","3000000","2020-08-24 11:33:34","2020-08-24 12:04:27","LIQUSR03","LIQUSR03",".FEF9QSQ","1","0","0","1","SKIM ","","CG852"
"YZEFF13D","YZEFEXAM","YZEFF15R","EUR","100000000","100000000","100000000","2020-08-24 11:39:09","2020-08-24 13:45:30","SMANZANO","MANZANOS","YZEFEWH5","1","0","0","1","SKIM ","","CG852"
"3ZEFFD5O","3ZEFFD2W","3ZEFFD5W","EUR","100000000","100000000","100000000","2020-08-24 14:50:21","2020-08-24 14:53:15","JAQUITAN","JANICEA1","3ZEFFD20","1","0","0","1","SKIM ","","CG852"
"3.EFFE2D","3.EFFDZL","3.EFFE2L","EUR","100000000","100000000","100000000","2020-08-24 15:09:14","2020-08-24 15:11:24","JAQUITAN","JANICEA1","3.EFFDYP","1","0","0","1","SKIM ","","CG852"
"+OEH9ZHP","+OEH9ZD0","+OEH9ZHY","EUR","100000000","100000000","100000000","2020-09-29 14:26:03","2020-09-29 14:29:04","JAQUITAN","JANICEA1","+OEH9ZC4","1","0","0","1","SKIM ","","CG852"
"+6EHA0AZ","+OEH9ZD0","+6EHA0C9","EUR","40000000","40000000","40000000","2020-09-29 14:32:05","2020-09-29 14:39:20","JAQUITAN","JANICEA2","+OEH9ZC4","1","0","0","1","SKIM ","","CG852"
"+6EHA0BE","+OEH9ZD0","+6EHA0CA","EUR","40000000","40000000","40000000","2020-09-29 14:32:05","2020-09-29 14:39:20","JAQUITAN","JANICEA2","+OEH9ZC4","1","0","0","1","SKIM ","","CG852"
"#XEHORW0","#XEHOQ7N","#XEHORWO","EUR","70000000","70000000","70000000","2020-10-07 12:05:47","2020-10-07 12:16:16","LIQSVR04","LIQSVR05","#XEHOQ6X","1","0","0","1","SKIM ","","CG852"
"VWEHQEJI","I:EFMEGK","VWEHQEK0","EUR","50000000","50000000","50000000","2020-10-08 08:36:51","2020-10-08 16:50:33","LIQSVR04","LIQUSR02","IREFMCO3","1","0","0","1","SKIM ","","CG852"
"VWEHQEJO","I:EFMEGK","VWEHQEK1","EUR","50000000","50000000","50000000","2020-10-08 08:36:51","2020-10-08 16:46:39","LIQSVR04","RPTSUP01","IREFMCO3","1","0","0","1","SKIM ","","CG852"
"42EHSA6I","42EHSA2A","42EHSA6Q","EUR","1000000000","1000000000","1000000000","2020-10-09 11:17:49","2020-10-09 12:42:09","LIQUSR03","LIQAPCP3","42EHS9YE","1","0","0","1","SKIM ","","CG852"
".XEHY4TX",".XEHY4PA",".XEHY4U6","AUD","600000000","600000000","600000000","2020-10-12 15:30:38","2020-10-12 15:44:01","LIQUSR03","LIQAPCP3",".XEHY4LC","1","0","0","1","SKIM ","","CG852"
"TJEHY684",".XEHY4PA","TJEHY68B","AUD","400000000","400000000","400000000","2020-10-12 15:38:48","2020-10-12 15:44:01","LIQUSR03","LIQAPCP3",".XEHY4LC","1","0","0","1","SKIM ","","CG852"
"@5EI03LF","@5EI038S","@5EI03LM","AUD","4000000","4000000","4000000","2020-10-13 14:45:21","2020-10-13 14:51:45","LIQUSR05","LIQSVR04","@EEI01UV","1","0","0","1","SKIM ","","CG852"
"@5EI03EZ","@5EI038S","@5EI03F8","AUD","6000000","6000000","6000000","2020-10-13 14:43:08","2020-10-13 14:51:37","LIQUSR05","LIQSVR04","@EEI01UV","1","0","0","1","SKIM ","","CG852"
"@SEHZY0O","T*EHY77J","@SEHZY0X","EUR","30000000","30000000","30000000","2020-10-13 15:48:58","2020-10-13 16:13:36","RPTINP01","RPTMGR01",")YEHXS7X","1","0","0","1","SKIM ","","CG852"
"@SEHZYBS","T*EHY77J","@SEHZYC6","EUR","70000000","70000000","70000000","2020-10-13 15:53:23","2020-10-13 16:13:56","RPTINP01","RPTMGR01",")YEHXS7X","1","0","0","1","SKIM ","","CG852"
"(7EFGY58","(7EFGXST","(7EFGY5H","EUR","2000000","2000000","2000000","2020-08-25 12:22:19","2020-08-25 12:41:13","CMARTILL","CMARTILL","(7EFGXIA","1","0","0","1","SKIM ","","CG852"
"@+EFH732","@+EFH6WT","@+EFH73R","EUR","4000000","4000000","4000000","2020-08-25 15:04:54","2020-08-25 15:34:34","LIQUSR03","LIQUSR03","3MEFH2AH","1","0","0","1","SKIM ","","CG852"
"@-EFH7S3","@-EFH76E","@-EFH7SA","EUR","70000000","70000000","70000000","2020-08-25 15:49:57","2020-08-25 16:01:44","JAQUITAN","JANICEA1","@-EFH363","1","0","0","1","SKIM ","","CG852"
"#XEHOR3G","#XEHOQ7N","#XEHOR3P","EUR","100000000","100000000","100000000","2020-10-07 11:42:34","2020-10-07 11:51:03","LIQSVR04","LIQSVR05","#XEHOQ6X","1","0","0","1","SKIM ","","CG852"
"$QEI1OP4","$QEI1OLY","$QEI1OPD","AUD","400000000","400000000","400000000","2020-10-14 13:08:24","2020-10-14 13:13:07","LIQUSR03","LIQAPCP3","$QEI1OJW","1","0","0","1","SKIM ","","CG852"
"DXEI1OSZ","DXEI1OOP","DXEI1OT5","NOK","12000000","12000000","12000000","2020-10-14 14:17:16","2020-10-14 14:52:57","JAQUITAN","JANICEA1","D3EI1MRL","1","0","0","1","SKIM ","","CG852"
"DXEI1OTG","DXEI1OOP","DXEI1OTP","NOK","8000000","8000000","8000000","2020-10-14 14:21:39","2020-10-14 14:52:56","JAQUITAN","JANICEA1","D3EI1MRL","1","0","0","1","SKIM ","","CG852"
":6EI3GL0",":6EI3GFB",":6EI3GL9","AUD","400000","400000","400000","2020-10-15 12:14:20","2020-10-15 12:20:24","LIQUSR03","LIQAPCP3",":6EI3GEF","1","0","0","1","SKIM ","","CG852"
":6EI3GL0",":6EI3GI8",":6EI3GLA","AUD","400000","400000","400000","2020-10-15 12:14:20","2020-10-15 12:20:24","LIQUSR03","LIQAPCP3",":6EI3GEF","1","0","0","1","SKIM ","","CG852"
"Q4EI3HGC",":6EI3GFB","Q4EI3HGJ","AUD","600000","600000","600000","2020-10-15 12:18:10","2020-10-15 12:20:24","LIQUSR03","LIQAPCP3",":6EI3GEF","0","0","0","1","SKIM ","","CG852"
"Q4EI3HGC",":6EI3GI8","Q4EI3HGK","AUD","600000","600000","600000","2020-10-15 12:18:10","2020-10-15 12:20:24","LIQUSR03","LIQAPCP3",":6EI3GEF","0","0","0","1","SKIM ","","CG852"
"*4EI53TT","*4EI53R8","*4EI53U1","EUR","100000","100000","100000","2020-10-16 09:41:57","2020-10-16 09:43:59","ARFELI01","ARFELI01","*4EI53P2","1","0","0","1","SKIM ","","CG852"
"Q.EJEH23","Q.EJEGOA","Q.EJEH29","EUR","210000000","210000000","210000000","2020-11-09 22:20:54","2020-11-09 22:49:16","CESSINP1","CESSSUP1","Q.EJEGLJ","1","0","0","1","SKIM ","","CG852"
"Q.EJEH2M","Q.EJEGOA","Q.EJEH2V","EUR","90000000","90000000","90000000","2020-11-09 22:28:36","2020-11-09 22:49:07","CESSINP1","CESSSUP1","Q.EJEGLJ","1","0","0","1","SKIM ","","CG852"
"ZUEJHSAO","ZUEJHSA1","ZUEJHSAX","GBP","100000","0","100000","2020-11-11 14:20:30","2020-11-11 14:20:51","FOULISTR","FOULISTR","ZUEJHS93","0","0","0","1","SKIM ","","CB141"
":+EJEG8Q",":+EJEFUX",":+EJEG8W","EUR","210000000","210000000","210000000","2020-11-09 21:27:56","2020-11-09 21:28:22","CESSINP1","CESSINP1",":+EJEFS6","1","0","0","1","SKIM ","","CG852"
"ZUEJHSBA","ZUEJHSA1","ZUEJHSBJ","GBP","100000","100000","100000","2020-11-11 14:23:25","2020-11-12 07:30:24","FOULISTR","BRIANMOK","ZUEJHS93","1","0","0","1","SKIM ","","CB141"
")=EIAU49",")=EIAU1O",")=EIAU4H","EUR","100000","100000","100000","2020-10-19 12:45:18","2020-10-19 12:55:16","ARFELI01","ARFELM01",")=EIATZI","1","0","0","1","SKIM ","","CG852"
"34EITJG5","34EITIZT","34EITJGC","AUD","100000000","100000000","100000000","2020-10-29 15:02:33","2020-10-29 15:32:39","TESTINP ","TESTINP ",")XEIRVS4","1","0","0","1","SKIM ","","CG852"
"34EITJG5","34EITJ7N","34EITJGD","AUD","100000000","100000000","100000000","2020-10-29 15:02:33","2020-10-29 15:32:39","TESTINP ","TESTINP ",")XEIRVS4","1","0","0","1","SKIM ","","CG852"
