"EXP_CDE_EXPENSE","EXP_IND_ACTIVE","EXP_TSP_REC_CREATE","EXP_TSP_REC_UPDATE","EXP_UID_REC_CREATE","EXP_UID_REC_UPDATE","EXP_IND_MAY_DEACT","EXP_CDE_PARENT","EXP_CDE_EXP_RECAP","EXP_IND_EXP_VALID","EXP_DSC_EXPENSE"
"GT181P         ","Y","2019-06-26 03:45:57","2019-06-26 03:45:57","ADM_PETE","ADM_PETE","Y","","","","Medallion 2018-1P"
"RB_WAL         ","Y","2019-06-26 03:46:22","2019-06-26 03:46:22","ADM_PETE","ADM_PETE","Y","","","","Wallaby Trust No1"
"RB_JOE         ","Y","2019-06-26 03:46:42","2019-06-26 03:46:42","ADM_PETE","ADM_PETE","Y","","","","RMG Joey Trust"
"DM_PSS         ","Y","2019-06-26 03:47:05","2019-06-26 03:47:05","ADM_PETE","ADM_PETE","Y","","","","Post Sale Syndication"
"GTM191         ","Y","2019-12-04 01:27:26","2019-12-04 01:27:26","BRIANMOK","BRIANMOK","Y","","","","GTM191 Medallion Trust 2019-1"
"IT_PRE         ","Y","2019-06-26 03:41:02","2019-07-03 03:43:01","ADM_PETE","KANDERSO","Y","","","","Private Equity"
"BP_COL         ","Y","2019-06-26 03:42:37","2019-06-26 03:42:37","ADM_PETE","ADM_PETE","Y","","","","Corporate Lending"
"BP_PRF         ","Y","2019-06-26 03:43:05","2019-06-26 03:43:05","ADM_PETE","ADM_PETE","Y","","","","Project Finance"
"BP_RES         ","Y","2019-06-26 03:43:22","2019-06-26 03:43:22","ADM_PETE","ADM_PETE","Y","","","","Real Estate"
"BP_PRE         ","Y","2019-06-26 03:43:45","2019-06-26 03:43:45","ADM_PETE","ADM_PETE","Y","","","","Private Equity"
"BP_SAF         ","Y","2019-06-26 03:44:16","2019-06-26 03:44:16","ADM_PETE","ADM_PETE","Y","","","","Structured Asset Finance"
"BG_FRA         ","Y","2019-08-12 06:51:49","2019-08-12 06:51:49","ADM_DARR","ADM_DARR","Y","","","","Freight Rail"
"BG_MRC         ","Y","2019-08-12 06:52:26","2019-08-12 06:52:26","ADM_DARR","ADM_DARR","Y","","","","CBA MTE Rail Company"
"000001         ","N","1999-03-16 15:55:18","2019-04-05 12:50:25","LS2BATCH","KANDERSO","Y","","","","GENERAL EXPENSE"
"CS_OTH         ","Y","2019-04-03 23:16:39","2019-04-03 23:16:39","LS2BATCH","LS2BATCH","Y","","","","Other"
"BP_CML         ","Y","2019-04-03 23:16:39","2019-04-03 23:16:39","LS2BATCH","LS2BATCH","Y","","","","Commercial Lending"
"GTM111         ","Y","2019-04-03 23:16:39","2019-04-03 23:16:39","LS2BATCH","LS2BATCH","Y","","","","Medallion 2011-1"
"GTM121         ","Y","2019-04-03 23:16:39","2019-04-03 23:16:39","LS2BATCH","LS2BATCH","Y","","","","Medallion 2012-1"
"GTM81R         ","Y","2019-04-03 23:16:39","2019-04-03 23:16:39","LS2BATCH","LS2BATCH","Y","","","","Medallion 2008 1R"
"GTM131         ","Y","2019-04-03 23:16:39","2019-04-03 23:16:39","LS2BATCH","LS2BATCH","Y","","","","Medallion 2013-1"
"GTM132         ","Y","2019-04-03 23:16:39","2019-04-03 23:16:39","LS2BATCH","LS2BATCH","Y","","","","Medallion 2013-2"
"GTM141         ","Y","2019-04-03 23:16:39","2019-04-03 23:16:39","LS2BATCH","LS2BATCH","Y","","","","Medallion 2014-1"
"GT141P         ","Y","2019-04-03 23:16:39","2019-04-03 23:16:39","LS2BATCH","LS2BATCH","Y","","","","Medallion 2014-1P"
"GTM142         ","Y","2019-04-03 23:16:39","2019-04-03 23:16:39","LS2BATCH","LS2BATCH","Y","","","","Medallion 2014-2"
"GTM151         ","Y","2019-04-03 23:16:39","2019-04-03 23:16:39","LS2BATCH","LS2BATCH","Y","","","","Medallion 2015-1"
"GTM152         ","Y","2019-04-03 23:16:39","2019-04-03 23:16:39","LS2BATCH","LS2BATCH","Y","","","","Medallion 2015-2"
"GTM161         ","Y","2019-04-03 23:16:40","2019-04-03 23:16:40","LS2BATCH","LS2BATCH","Y","","","","Medallion 2016-1"
"GTM162         ","Y","2019-04-03 23:16:40","2019-04-03 23:16:40","LS2BATCH","LS2BATCH","Y","","","","Medallion 2016-2"
"GTM171         ","Y","2019-04-03 23:16:40","2019-04-03 23:16:40","LS2BATCH","LS2BATCH","Y","","","","Medallion 2017-1"
"GT171P         ","Y","2019-04-03 23:16:40","2019-04-03 23:16:40","LS2BATCH","LS2BATCH","Y","","","","Medallion Trust Series 2017-1P"
"GTM172         ","Y","2019-04-03 23:16:40","2019-04-03 23:16:40","LS2BATCH","LS2BATCH","Y","","","","Medallion Trust 2017-2"
"GTM181         ","Y","2019-04-03 23:16:40","2019-04-03 23:16:40","LS2BATCH","LS2BATCH","Y","","","","Medallion 2018-1"
"GTS101         ","Y","2019-04-03 23:16:40","2019-04-03 23:16:40","LS2BATCH","LS2BATCH","Y","","","","Securitisation Operations 2010-1"
"DM_AGY         ","Y","2020-02-04 10:07:40","2020-02-04 10:07:40","CMARTILL","CMARTILL","Y","","","","Debt Markets Agency"
"GTS102         ","Y","2019-04-03 23:16:40","2019-04-03 23:16:40","LS2BATCH","LS2BATCH","Y","","","","Securitisation Operations 2010-2"
"GTS111         ","Y","2019-04-03 23:16:40","2019-04-03 23:16:40","LS2BATCH","LS2BATCH","Y","","","","Securitisation Operations 2011"
"BG_PRF         ","Y","2019-04-03 23:16:40","2019-04-03 23:16:40","LS2BATCH","LS2BATCH","Y","","","","Project Finance"
"BG_COL         ","Y","2019-04-03 23:16:40","2019-04-03 23:16:40","LS2BATCH","LS2BATCH","Y","","","","Corporate Lending"
"BG_SAF         ","Y","2019-04-03 23:16:40","2019-04-03 23:16:40","LS2BATCH","LS2BATCH","Y","","","","Structured Asset Finance"
"SP_FUF         ","N","2019-04-03 23:16:41","2019-04-03 23:16:41","LS2BATCH","LS2BATCH","Y","","","","Funds Financing"
"SP_SAF         ","N","2019-04-03 23:16:41","2019-04-03 23:16:41","LS2BATCH","LS2BATCH","Y","","","","Structured Asset Finance"
"SP_COL         ","N","2019-04-03 23:16:41","2019-04-03 23:16:41","LS2BATCH","LS2BATCH","Y","","","","Corporate Lending"
"SP_PRE         ","N","2019-04-03 23:16:41","2019-04-03 23:16:41","LS2BATCH","LS2BATCH","Y","","","","Private Equity"
"IP_PRF         ","N","2019-04-03 23:16:41","2019-04-03 23:16:41","LS2BATCH","LS2BATCH","Y","","","","Project Finance"
"IP_RES         ","N","2019-04-03 23:16:41","2019-04-03 23:16:41","LS2BATCH","LS2BATCH","Y","","","","Real Estate Solutions"
"IP_COL         ","N","2019-04-03 23:16:41","2019-04-03 23:16:41","LS2BATCH","LS2BATCH","Y","","","","Corporate Lending"
"RE_PRF         ","Y","2019-04-03 23:16:41","2019-04-03 23:16:41","LS2BATCH","LS2BATCH","Y","","","","Project Finance"
"RE_COL         ","Y","2019-04-03 23:16:41","2019-04-03 23:16:41","LS2BATCH","LS2BATCH","Y","","","","Corporate Lending"
"RE_SAF         ","Y","2019-04-03 23:16:41","2019-06-26 03:42:06","LS2BATCH","ADM_PETE","Y","","","","Structured Asset Finance"
"DM_CFS         ","Y","2019-04-03 23:16:41","2019-04-03 23:16:41","LS2BATCH","LS2BATCH","Y","","","","CFS General Warehouses"
"DM_LMS         ","Y","2019-04-03 23:16:41","2019-04-03 23:16:41","LS2BATCH","LS2BATCH","Y","","","","LMS Pre Sell Period"
"CI_PRF         ","N","2019-04-03 23:16:42","2019-04-03 23:16:42","LS2BATCH","LS2BATCH","Y","","","","Project Finance"
"CI_SAF         ","N","2019-04-03 23:16:42","2019-04-03 23:16:42","LS2BATCH","LS2BATCH","Y","","","","Structured Asset Finance"
"CI_COL         ","N","2019-04-03 23:16:42","2019-04-03 23:16:42","LS2BATCH","LS2BATCH","Y","","","","Corporate Lending"
"CI_PRE         ","N","2019-04-03 23:16:42","2019-04-03 23:16:42","LS2BATCH","LS2BATCH","Y","","","","Private Equity"
"SC_PRF         ","N","2019-04-03 23:16:42","2019-04-03 23:16:42","LS2BATCH","LS2BATCH","Y","","","","Project Finance"
"SC_COL         ","N","2019-04-03 23:16:42","2019-04-03 23:16:42","LS2BATCH","LS2BATCH","Y","","","","Corporate Lending"
"SC_SAF         ","N","2019-04-03 23:16:42","2019-04-03 23:16:42","LS2BATCH","LS2BATCH","Y","","","","Structured Asset Finance"
"SC_DBU         ","N","2019-04-03 23:16:42","2019-04-03 23:16:42","LS2BATCH","LS2BATCH","Y","","","","SAF DBU Loans"
"SC_QVF         ","N","2019-04-03 23:16:42","2019-04-03 23:16:42","LS2BATCH","LS2BATCH","Y","","","","Qan - VZF"
"SC_QVG         ","N","2019-04-03 23:16:42","2019-04-03 23:16:42","LS2BATCH","LS2BATCH","Y","","","","Qan - VZG"
"SC_QVH         ","N","2019-04-03 23:16:42","2019-04-03 23:16:42","LS2BATCH","LS2BATCH","Y","","","","Qan - VZH"
"SC_FRA         ","N","2019-04-03 23:16:42","2019-04-03 23:16:42","LS2BATCH","LS2BATCH","Y","","","","Freight Rail"
"SC_AKD         ","N","2019-04-03 23:16:43","2019-04-03 23:16:43","LS2BATCH","LS2BATCH","Y","","","","Associated Kiln Driers"
"SC_QHE         ","N","2019-04-03 23:16:43","2019-04-03 23:16:43","LS2BATCH","LS2BATCH","Y","","","","Qantas Helix"
"SC_MRC         ","N","2019-04-03 23:16:43","2019-04-03 23:16:43","LS2BATCH","LS2BATCH","Y","","","","CBA MTE Rail Company"
"SC_FIS         ","N","2019-04-03 23:16:43","2019-04-03 23:16:43","LS2BATCH","LS2BATCH","Y","","","","Fiona Stanley"
"SC_MGM         ","N","2019-04-03 23:16:43","2019-04-03 23:16:43","LS2BATCH","LS2BATCH","Y","","","","Murray Goulburn Melb"
"012669         ","N","2019-04-03 23:16:43","2019-04-03 23:16:43","LS2BATCH","LS2BATCH","Y","","","","Utilities (Dept 012669)"
"012667         ","N","2019-04-03 23:16:43","2019-04-03 23:16:43","LS2BATCH","LS2BATCH","Y","","","","Natural Resources (Dept 012667)"
"012666         ","N","2019-04-03 23:16:43","2019-04-03 23:16:43","LS2BATCH","LS2BATCH","Y","","","","Transport Infrastructure (Dept 012666)"
"012688         ","N","2019-04-03 23:16:43","2019-04-03 23:16:43","LS2BATCH","LS2BATCH","Y","","","","Real Estate Solutions (Dept 012688)"
"017871         ","N","2019-04-03 23:16:43","2019-04-03 23:16:43","LS2BATCH","LS2BATCH","Y","","","","Head of Mid Market PE (Dept 017871)"
"012680         ","N","2019-04-03 23:16:43","2019-04-03 23:16:43","LS2BATCH","LS2BATCH","Y","","","","Leveraged Finance (Dept 012680)"
"012447         ","N","2019-04-03 23:16:43","2019-04-03 23:16:43","LS2BATCH","LS2BATCH","Y","","","","CFS General Warehouses (Dept 012447)"
"015108         ","N","2019-04-03 23:16:44","2019-04-03 23:16:44","LS2BATCH","LS2BATCH","Y","","","","Head of Agency (Dept 015108)"
"012689         ","N","2019-04-03 23:16:44","2019-04-03 23:16:44","LS2BATCH","LS2BATCH","Y","","","","Head of Loan Markets (Dept 012689)"
"017882         ","N","2019-04-03 23:16:44","2019-04-03 23:16:44","LS2BATCH","LS2BATCH","Y","","","","Funds Financing (Dept 017882)"
"017870         ","N","2019-04-03 23:16:44","2019-04-03 23:16:44","LS2BATCH","LS2BATCH","Y","","","","Funds Finance RRL (Dept 017870)"
"012220         ","N","2019-04-03 23:16:44","2019-04-03 23:16:44","LS2BATCH","LS2BATCH","Y","","","","CRS VIC/TAS (BPB) 9 SP (Dept 012220)"
"010286         ","N","2019-04-03 23:16:50","2019-04-03 23:16:50","LS2BATCH","LS2BATCH","Y","","","","CFS NSW Sydney CBD (Dept 010286)"
"007523         ","N","2019-04-03 23:16:50","2019-04-03 23:16:50","LS2BATCH","LS2BATCH","Y","","","","CFS SA Specialised (Dept 007523)"
"003346         ","N","2019-04-03 23:16:50","2019-04-03 23:16:50","LS2BATCH","LS2BATCH","Y","","","","CFS QLD Brisbane Corporate (Dept 003346)"
"017847         ","N","2019-04-03 23:16:50","2019-04-03 23:16:50","LS2BATCH","LS2BATCH","Y","","","","LMS Pre Sell Down Period (Dept 017847)"
"004130         ","N","2019-04-03 23:16:50","2019-04-03 23:16:50","LS2BATCH","LS2BATCH","Y","","","","DCM Origination (Dept 004130)"
"004414         ","N","2019-04-03 23:16:50","2019-04-03 23:16:50","LS2BATCH","LS2BATCH","Y","","","","Global Priv Asset Group (Dept 004414)"
"018376         ","N","2019-04-03 23:16:50","2019-04-03 23:16:50","LS2BATCH","LS2BATCH","Y","","","","BCF Legacy Portfolio (Dept 018376)"
"012670         ","N","2019-04-03 23:16:50","2019-04-03 23:16:50","LS2BATCH","LS2BATCH","Y","","","","Structured Asset Finance (Dept 012670)"
"013538         ","N","2019-04-03 23:16:51","2019-04-03 23:16:51","LS2BATCH","LS2BATCH","Y","","","","Willmott Forests Loan Mkts (Dept 013538)"
"003359         ","N","2019-04-03 23:16:51","2019-04-03 23:16:51","LS2BATCH","LS2BATCH","Y","","","","Alaska (Dept 003359)"
"014030         ","N","2019-04-03 23:16:51","2019-04-03 23:16:51","LS2BATCH","LS2BATCH","Y","","","","CBA Air Pty Ltd (Dept 014030)"
"014681         ","N","2019-04-03 23:16:51","2019-04-03 23:16:51","LS2BATCH","LS2BATCH","Y","","","","Qan-VZF (Dept 014681)"
"014682         ","N","2019-04-03 23:16:51","2019-04-03 23:16:51","LS2BATCH","LS2BATCH","Y","","","","Qan-VZG (Dept 014682)"
"014683         ","N","2019-04-03 23:16:51","2019-04-03 23:16:51","LS2BATCH","LS2BATCH","Y","","","","Qan-VZH (Dept 014683)"
"015147         ","N","2019-04-03 23:16:51","2019-04-03 23:16:51","LS2BATCH","LS2BATCH","Y","","","","Airfrance 2 (Dept 015147)"
"016249         ","N","2019-04-03 23:16:51","2019-04-03 23:16:51","LS2BATCH","LS2BATCH","Y","","","","WestJet Op Lease (Dept 016249)"
"016364         ","N","2019-04-03 23:16:51","2019-04-03 23:16:51","LS2BATCH","LS2BATCH","Y","","","","Westjet 2 (Dept 016364)"
"016272         ","N","2019-04-03 23:16:51","2019-04-03 23:16:51","LS2BATCH","LS2BATCH","Y","","","","SIA 2 (Dept 016272)"
"016271         ","N","2019-04-03 23:16:51","2019-04-03 23:16:51","LS2BATCH","LS2BATCH","Y","","","","SIA 1 (Dept 016271)"
"016365         ","N","2019-04-03 23:16:51","2019-04-03 23:16:51","LS2BATCH","LS2BATCH","Y","","","","BDelta Vessel No 1 Pty Ltd (Dept 016365)"
"016366         ","N","2019-04-03 23:16:52","2019-04-03 23:16:52","LS2BATCH","LS2BATCH","Y","","","","BDelta Vessel No 2 Pty Ltd (Dept 016366)"
"005852         ","N","2019-04-03 23:16:52","2019-04-03 23:16:52","LS2BATCH","LS2BATCH","Y","","","","BDelta Vessel No 3 Pty Ltd (Dept 005852)"
"015514         ","N","2019-04-03 23:16:52","2019-04-03 23:16:52","LS2BATCH","LS2BATCH","Y","","","","BDelta Vessel No 4 Pty Ltd (Dept 015514)"
"016973         ","N","2019-04-03 23:16:52","2019-04-03 23:16:52","LS2BATCH","LS2BATCH","Y","","","","Vueling (Dept 016973)"
"013257         ","N","2019-04-03 23:16:52","2019-04-03 23:16:52","LS2BATCH","LS2BATCH","Y","","","","National Express Group Neg (Dept 013257)"
"012320         ","N","2019-04-03 23:16:52","2019-04-03 23:16:52","LS2BATCH","LS2BATCH","Y","","","","CBA MTE Rail Company (Dept 012320)"
"016974         ","N","2019-04-03 23:16:52","2019-04-03 23:16:52","LS2BATCH","LS2BATCH","Y","","","","Taskos (Dept 016974)"
"017406         ","N","2019-04-03 23:16:52","2019-04-03 23:16:52","LS2BATCH","LS2BATCH","Y","","","","Virgin America (Dept 017406)"
"017407         ","N","2019-04-03 23:16:52","2019-04-03 23:16:52","LS2BATCH","LS2BATCH","Y","","","","Lion Air (Dept 017407)"
"015284         ","N","2019-04-03 23:16:55","2019-04-03 23:16:55","LS2BATCH","LS2BATCH","Y","","","","Fiona Stanley (Dept 015284)"
"010603         ","N","2019-04-03 23:16:55","2019-04-03 23:16:55","LS2BATCH","LS2BATCH","Y","","","","Murray Goulburn Melb (Dept 010603)"
"015522         ","N","2019-04-03 23:16:55","2019-04-03 23:16:55","LS2BATCH","LS2BATCH","Y","","","","Southwest (Dept 015522)"
"009761         ","N","2019-04-03 23:16:55","2019-04-03 23:16:55","LS2BATCH","LS2BATCH","Y","","","","China Eastern Op Lease (Dept 009761)"
"015932         ","N","2019-04-03 23:16:55","2019-04-03 23:16:55","LS2BATCH","LS2BATCH","Y","","","","EasyJet 2 (Dept 015932)"
"010604         ","N","2019-04-03 23:16:55","2019-04-03 23:16:55","LS2BATCH","LS2BATCH","Y","","","","EasyJet 3 (Dept 010604)"
