"DBR_PID_DEAL","DBR_CID_CUST_ID","DBR_RID_LOCATION","DBR_TSP_REC_CREATE","DBR_TSP_REC_UPDATE","DBR_UID_REC_CREATE","DBR_UID_REC_UPDATE","DBR_RID_DEAL_BORR","DBR_IND_PRIM_BORR","DBR_IND_BORROWER","DBR_IND_DEPOSITOR","DBR_RID_CUS_SVC_GR","DBR_CDE_BRANCH"
"40EDZTD7","?ZE4CIA6","?ZE4CIAG","2020-07-27 18:41:41","2020-07-27 18:41:41","INPCHER ","INPCHER ","40EDZTDK","Y","Y","N","7NE4CQON","CG852"
"3+EEFX4B","P=E6K597","J*E6SOO7","2020-08-05 11:13:44","2020-08-05 11:13:44","DJRHINPT","DJRHINPT","3+EEFX54","Y","Y","N","K0E9B6IG",""
"V8EF4706","5QEF3VVU","5QEF3VW8","2020-08-18 12:14:33","2020-08-18 12:14:33","LIQUSR05","LIQUSR05","V8EF470I","Y","Y","N","V8EF470J","CG852"
"0REF4EYL","SIEESUTN","SIEESUU8","2020-08-18 15:47:58","2020-08-18 15:47:58","LIQUSR03","LIQUSR03","0REF4EZ0","Y","Y","N","S#EESVPO","CG852"
"Z;EF7YLY","SIEESUTN","SIEESUU8","2020-08-20 15:33:45","2020-08-20 15:33:45","LIQUSR03","LIQUSR03","Z;EF7YML","Y","Y","N","S#EESVPO",""
"9ZEF82FK","ZHEF7YY1","ZHEF7YYE","2020-08-20 16:41:32","2020-08-20 16:41:32","JAQUITAN","JAQUITAN","9ZEF82FW","Y","Y","N","9ZEF82FE","CG852"
"3ZEFFD20","ZHEF7YY1","ZHEF7YYE","2020-08-24 14:32:18","2020-08-24 14:32:18","JAQUITAN","JAQUITAN","3ZEFFD2D","Y","Y","N","9ZEF82FE","CG852"
"(7EFGUDN","SIEESUTN","SIEESUU8","2020-08-25 10:06:35","2020-08-25 10:06:35","CMARTILL","CMARTILL","(7EFGUDZ","Y","Y","N","S#EESVPO","CG852"
"(7EFGXIA","SIEESUTN","SIEESUU8","2020-08-25 12:07:19","2020-08-25 12:07:19","CMARTILL","CMARTILL","(7EFGXIX","Y","Y","N","S#EESVPO","CG852"
"@EEFGXO8",")?EF8978",")?EF897P","2020-08-25 12:12:16","2020-08-25 12:12:16","SMANZANO","SMANZANO","@EEFGXOK","Y","Y","N",")0EF8ARV","CG852"
"+OEH9ZC4","ZHEF7YY1","ZHEF7YYE","2020-09-29 14:20:55","2020-09-29 14:20:55","JAQUITAN","JAQUITAN","+OEH9ZEO","Y","Y","N","9ZEF82FE","CG852"
":@EDDZTB","I-EDB3F1","BCEDB680","2020-07-16 00:06:56","2020-07-16 00:07:26","FJUSRAM ","FJUSRAM ",":@EDDZTN","Y","Y","Y","BVEDBGGQ","CG852"
":*EDFXA8","I-EDB3F1","BCEDB680","2020-07-17 02:03:20","2020-07-17 02:03:55","FJUSRAM ","FJUSRAM ",":*EDFXCZ","Y","Y","Y","BVEDBGGQ","CG852"
":*EDG12Y","I-EDB3F1","BCEDB680","2020-07-17 03:24:42","2020-07-17 03:25:18","FJUSRAM ","FJUSRAM ",":*EDG14W","Y","Y","Y","BVEDBGGQ","CG852"
".FEF9QSQ","SIEESUTN","SIEESUU8","2020-08-21 14:37:57","2020-08-21 14:37:57","LIQUSR03","LIQUSR03",".FEF9QTC","Y","Y","N","S#EESVPO","CG852"
"@-EFH363","ZHEF7YY1","ZHEF7YYE","2020-08-25 14:02:44","2020-08-25 14:02:44","JAQUITAN","JAQUITAN","@-EFH36G","Y","Y","N","9ZEF82FE","CG852"
"3MEFH2AH","SIEESUTN","SIEESUU8","2020-08-25 14:44:50","2020-08-25 14:44:50","LIQUSR03","LIQUSR03","@+EFH6W4","Y","Y","N","S#EESVPO","CG852"
"C6EFHAQ1","ZHEF7YY1","ZHEF7YYE","2020-08-25 16:13:42","2020-08-25 16:13:42","JAQUITAN","JAQUITAN","C6EFHAQD","Y","Y","N","9ZEF82FE","CG852"
"YZEFEWH5",")?EF8978",")?EF897P","2020-08-24 08:56:43","2020-08-24 08:56:43","SMANZANO","SMANZANO","YZEFEWHH","Y","Y","N",")0EF8ARV","CG852"
"Y5EFF54H","SIEESUTN","SIEESUU8","2020-08-24 12:24:42","2020-08-24 12:24:42","LIQUSR03","LIQUSR03","Y5EFF54U","Y","Y","N","S#EESVPO","CG852"
"3.EFFDYP","ZHEF7YY1","ZHEF7YYE","2020-08-24 14:58:54","2020-08-24 14:58:54","JAQUITAN","JAQUITAN","3.EFFDZ2","Y","Y","N","9ZEF82FE","CG852"
"#!EFTROA","SIEESUTN","SIEESUU8","2020-09-01 09:28:33","2020-09-01 09:28:33","CMARTILL","CMARTILL","#!EFTROM","Y","Y","N","S#EESVPO","CG852"
"0!EFZBHV","@MEFH6VL","@MEFH7CH","2020-09-04 09:30:57","2020-09-04 09:30:57","SUPDEL01","SUPDEL01","0!EFZBIE","Y","Y","N","@MEFH8AY",""
"O;EGCFBK","ZHEF7YY1","ZHEF7YYE","2020-09-11 11:30:21","2020-09-11 11:30:21","JAQUITAN","JAQUITAN","O;EGCFC7","Y","Y","N","9ZEF82FE",""
"IREFMCO3",")?EF8978",")?EF897P","2020-08-28 10:36:59","2020-08-28 10:36:59","SMANZANO","SMANZANO","IREFMDBJ","Y","Y","N",")0EF8ARV","CG852"
"QPEH81D3","SIEESUTN","SIEESUU8","2020-09-28 11:46:39","2020-09-28 11:46:39","LIQSVR05","LIQSVR05","QPEH81DO","Y","Y","N","S#EESVPO",""
";TEHGEQS","(VEHFY93","(GEHFYLT","2020-10-03 01:01:48","2020-10-03 01:01:48","MIGGY_IN","MIGGY_IN",";TEHGERH","Y","Y","Y","@KEHG04L",""
"SOEI1ZPV","?ZE4CIA6","?ZE4CIAG","2020-10-14 15:25:19","2020-10-14 15:25:19","SMANZANO","SMANZANO","SOEI1ZQU","Y","Y","N","7NE4CQON",""
"#+EI35Q6","?ZE4CIA6","?ZE4CIAG","2020-10-15 08:49:19","2020-10-15 08:49:19","SMANZANO","SMANZANO","#+EI35X2","Y","Y","N","7NE4CQON","CG852"
":YEI3DT4","$$EHNARP","ACEHQQK1","2020-10-15 11:31:24","2020-10-15 11:31:24","CESSINP1","CESSINP1",":YEI3DTH","Y","Y","N","A?EHQRTR","CG852"
"*4EI53P2","RVEGMHIE","*AEI52F4","2020-10-16 09:19:14","2020-10-16 09:19:47","ARFELI01","ARFELI01","*4EI53PE","Y","Y","Y","*4EI53OX","CG852"
"Q.EJEGLJ","$$EHNARP","ACEHQQK1","2020-11-09 21:44:57","2020-11-09 21:44:57","CESSINP1","CESSINP1","Q.EJEGLW","Y","Y","N","A?EHQRTR","CG852"
"Q1EHP0PH","?ZE4CIA6","?ZE4CIAG","2020-10-07 18:09:07","2020-10-07 18:09:07","INPAMT01","INPAMT01","Q1EHP0Q6","Y","Y","Y","7NE4CQON",""
"AREHQR3F","UWEHCNU5","BNEHOJL1","2020-10-08 15:24:50","2020-10-08 15:25:11","ARFELI01","ARFELI01","AREHQR3R","Y","Y","Y","BBEHOL3N","CG852"
"42EHS9YE","SIEESUTN","SIEESUU8","2020-10-09 11:05:33","2020-10-09 11:05:33","LIQUSR03","LIQUSR03","42EHSA00","Y","Y","N","S#EESVPO","CG852"
"U*EHSFJ2","SIEESUTN","SIEESUU8","2020-10-09 13:16:08","2020-10-09 13:16:08","LIQUSR03","LIQUSR03","U*EHSFJN","Y","Y","N","S#EESVPO",""
"@EEI01UV","5QEF3VVU","5QEF3VW8","2020-10-13 14:06:15","2020-10-13 14:06:15","LIQUSR05","LIQUSR05","@EEI01WO","Y","Y","N","V8EF470J","CG852"
"S4EI1RHY","?ZE4CIA6","?ZE4CIAG","2020-10-14 15:19:25","2020-10-14 15:19:25","JAQUITAN","JAQUITAN","S4EI1RIJ","Y","Y","N","7NE4CQON",""
"XGEI24BO","$$EHNARP","ACEHQQK1","2020-10-14 19:09:02","2020-10-14 19:09:02","CESSINP1","CESSINP1","XGEI24C1","Y","Y","N","A?EHQRTR","CG852"
":6EI3GEF","SIEESUTN","SIEESUU8","2020-10-15 11:58:28","2020-10-15 11:58:28","LIQUSR03","LIQUSR03",":6EI3GF1","Y","Y","N","S#EESVPO","CG852"
":YEI3DWN","$$EHNARP","ACEHQQK1","2020-10-15 12:13:04","2020-10-15 12:13:04","CESSINP1","CESSINP1",":YEI3DX0","Y","Y","N","A?EHQRTR","CG852"
":YEI3F1E","$$EHNARP","ACEHQQK1","2020-10-15 12:47:21","2020-10-15 12:47:21","CESSINP1","CESSINP1",":YEI3F3B","Y","Y","N","A?EHQRTR","CG852"
":YEI3G9Q","$$EHNARP","ACEHQQK1","2020-10-15 13:13:59","2020-10-15 13:13:59","CESSINP1","CESSINP1",":YEI3GBN","Y","Y","N","A?EHQRTR","CG852"
"!OEI5XYB","I-EDB3F1","BCEDB680","2020-10-16 20:12:33","2020-10-16 20:12:53","DELINP01","DELINP01","!OEI5XYN","Y","Y","Y","BVEDBGGQ","CG852"
")=EIATZI","=HEIAPW5",")WEIASPW","2020-10-19 12:22:31","2020-10-19 12:22:55","ARFELI01","ARFELI01",")=EIATZU","Y","Y","Y",")=EIATZD","CG852"
")XEIRVR5","4ZEIQ1E8","49EIQ1QV","2020-10-28 16:38:53","2020-10-28 16:38:53","TESTINP ","TESTINP ",")XEIRVRH","Y","Y","N","4JEIQ322","CG852"
")XEIRVS4","4ZEIQ1E8","49EIQ1QV","2020-10-28 16:51:05","2020-10-28 16:51:05","TESTINP ","TESTINP ",")XEIRVSG","Y","Y","N","4JEIQ322","CG852"
"@?EHZVDH","Y)EHYNO1","YEEHYO0N","2020-10-13 13:25:19","2020-10-13 13:25:19","MIGGY_IN","MIGGY_IN","@?EHZVE6","Y","Y","Y","YXEHYPJ3",""
"D3EI1MRL","?ZE4CIA6","?ZE4CIAG","2020-10-14 13:51:12","2020-10-14 13:51:12","JAQUITAN","JAQUITAN","DXEI1OML","Y","Y","N","7NE4CQON","CG852"
"UNEK5BS3","J5E4FAXX","J5E4FAY7","2020-11-24 09:33:25","2020-11-24 09:33:25","SKOUSR01","SKOUSR01","UNEK5BSG","Y","Y","N","J5E4FAZ1","CG852"
"9EEK5YAZ","P=E6K597","J*E6SOO7","2020-11-24 18:30:48","2020-11-24 18:30:48","SKOUSR01","SKOUSR01","9EEK5YBC","Y","Y","N","K0E9B6IG","CG852"
"9EEK5WDW","P=E6K597","J*E6SOO7","2020-11-24 17:56:16","2020-11-24 17:56:16","SKOUSR01","SKOUSR01","9EEK5WF8","Y","Y","N","K0E9B6IG","CG852"
"E9EK76A5","P=E6K597","J*E6SOO7","2020-11-25 09:10:16","2020-11-25 09:10:16","SKOUSR01","SKOUSR01","E9EK76AI","Y","Y","N","K0E9B6IG","CG852"
"E9EK76C6","P=E6K597","J*E6SOO7","2020-11-25 09:23:17","2020-11-25 09:23:17","SKOUSR01","SKOUSR01","E9EK76CJ","Y","Y","N","K0E9B6IG","CG852"
"E9EK7AWV","P=E6K597","J*E6SOO7","2020-11-25 12:07:42","2020-11-25 12:07:42","SKOUSR01","SKOUSR01","E9EK7AY4","Y","Y","N","K0E9B6IG","CG852"
"E9EK7BRR","P=E6K597","J*E6SOO7","2020-11-25 12:26:20","2020-11-25 12:26:20","SKOUSR01","SKOUSR01","E9EK7BT5","Y","Y","N","K0E9B6IG","CG852"
"+TEHQI6W","UWEHCNU5","BNEHOJL1","2020-10-08 12:49:08","2020-10-08 12:49:27","ARFELI01","ARFELI01","+TEHQI78","Y","Y","Y","BBEHOL3N","CG852"
"4GEHSB15","UWEHCNU5","BNEHOJL1","2020-10-09 11:54:01","2020-10-09 11:54:26","ARFELI01","ARFELI01","4GEHSB1H","Y","Y","Y","BBEHOL3N","CG852"
"4GEHSB63","UWEHCNU5","BNEHOJL1","2020-10-09 12:38:28","2020-10-09 12:38:48","ARFELI01","ARFELI01","4GEHSB6F","Y","Y","Y","BBEHOL3N","CG852"
"FYEHSEG7","UWEHCNUO","+PEHQGM7","2020-10-09 14:00:06","2020-10-09 14:00:25","ARFELI01","ARFELI01","FYEHSEH9","Y","Y","Y","+TEHQI4W","CG852"
"F*EHSKAE","$$EHSFB1","FQEHSIRD","2020-10-09 15:47:35","2020-10-09 15:47:57","ARFELI01","ARFELI01","F*EHSKAQ","Y","Y","Y","F*EHSKA5","CG852"
"9TEHSZ2Y","$$EHNARP","ACEHQQK1","2020-10-09 20:21:27","2020-10-09 20:21:27","CESSINP1","CESSINP1","9TEHSZ3B","Y","Y","N","A?EHQRTR","CG852"
"EXEHXWXY","$$EHNARP","ACEHQQK1","2020-10-12 13:24:39","2020-10-12 13:24:39","CESSINP1","CESSINP1","EXEHXWYB","Y","Y","N","A?EHQRTR","CG852"
".XEHY4LC","SIEESUTN","SIEESUU8","2020-10-12 15:25:35","2020-10-12 15:25:35","LIQUSR03","LIQUSR03",".XEHY4MY","Y","Y","N","S#EESVPO","CG852"
":VEJEE29","$$EHNARP","ACEHQQK1","2020-11-09 20:36:17","2020-11-09 20:36:17","CESSSUP1","CESSSUP1",":VEJEE2M","Y","Y","N","A?EHQRTR","CG852"
"ZUEJHS93","J6EI07VT","ZUEJHS0M","2020-11-11 14:09:25","2020-11-11 14:09:25","FOULISTR","FOULISTR","ZUEJHS9G","Y","Y","N","ZUEJHS9H","CB141"
"G5EHQFKC","UWEHCNU5","BNEHOJL1","2020-10-08 11:30:14","2020-10-08 11:30:14","ARFELI01","ARFELI01","G5EHQFKS","Y","Y","N","BBEHOL3N","CG852"
"+TEHQI7N","UWEHCNU5","BNEHOJL1","2020-10-08 13:04:28","2020-10-08 13:04:47","ARFELI01","ARFELI01","+TEHQI7Z","Y","Y","Y","BBEHOL3N","CG852"
"04EHQHQV","SIEESUTN","SIEESUU8","2020-10-08 13:14:57","2020-10-08 13:14:57","CMARTILL","CMARTILL","04EHQHRQ","Y","Y","N","S#EESVPO",""
"+TEHQI9O","UWEHCNU5","BNEHOJL1","2020-10-08 13:16:00","2020-10-08 13:16:19","ARFELI01","ARFELI01","+TEHQIA0","Y","Y","Y","BBEHOL3N","CG852"
"+TEHQIIH","UWEHCNU5","BNEHOJL1","2020-10-08 13:32:18","2020-10-08 13:32:37","ARFELI01","ARFELI01","+TEHQIJE","Y","Y","Y","BBEHOL3N","CG852"
"AREHQR5W","UWEHCNU5","BNEHOJL1","2020-10-08 16:01:58","2020-10-08 16:02:21","ARFELI01","ARFELI01","AREHQR68","Y","Y","Y","BBEHOL3N","CG852"
"4GEHSAYO","UWEHCNU5","BNEHOJL1","2020-10-09 11:28:50","2020-10-09 11:29:14","ARFELI01","ARFELI01","4GEHSAZ0","Y","Y","Y","BBEHOL3N","CG852"
")YEHXS7X","$$EHNARP","ACEHQQK1","2020-10-12 11:09:18","2020-10-12 11:09:18","CESSINP1","CESSINP1",")YEHXS8A","Y","Y","N","A?EHQRTR","CG852"
"EIEHXY7V","$$EHNARP","ACEHQQK1","2020-10-12 13:53:32","2020-10-12 13:53:32","CESSINP1","CESSINP1","EIEHXY88","Y","Y","N","A?EHQRTR","CG852"
"E0EHXZOW","$$EHNARP","ACEHQQK1","2020-10-12 14:25:05","2020-10-12 14:25:05","CESSINP1","CESSINP1","E0EHXZP9","Y","Y","N","A?EHQRTR","CG852"
"TAEHY1D2","$$EHNARP","ACEHQQK1","2020-10-12 15:03:03","2020-10-12 15:03:03","CESSINP1","CESSINP1","TAEHY1DF","Y","Y","N","A?EHQRTR","CG852"
":YEI3LNB","$$EHNARP","ACEHQQK1","2020-10-15 15:10:08","2020-10-15 15:10:08","CESSINP1","CESSINP1",":YEI3LP8","Y","Y","N","A?EHQRTR","CG852"
")UEIAL9R","I-EDB3F1","BCEDB680","2020-10-19 08:40:37","2020-10-19 08:41:01","INPDEL01","INPDEL01",")UEIALA3","Y","Y","Y","BVEDBGGQ","CG852"
")9EIAMDP","I-EDB3F1","BCEDB680","2020-10-19 09:02:14","2020-10-19 09:02:40","DELINP01","DELINP01",")9EIAME1","Y","Y","Y","BVEDBGGQ","CG852"
")(EIAR32","I-EDB3F1","BCEDB680","2020-10-19 10:32:36","2020-10-19 10:32:56","DELINP01","DELINP01",")(EIAR3E","Y","Y","Y","BVEDBGGQ","CG852"
"TGEIB6KY","?ZE4CIA6","?ZE4CIAG","2020-10-19 16:17:27","2020-10-19 16:17:27","INPAMT01","INPAMT01","TGEIB6LN","Y","Y","Y","7NE4CQON",""
":+EJEFS6","$$EHNARP","ACEHQQK1","2020-11-09 20:53:26","2020-11-09 20:53:26","CESSINP1","CESSINP1",":+EJEFSJ","Y","Y","N","A?EHQRTR","CG852"
"I:EJUXVM","M.EJQR6A","M8EJQRV5","2020-11-18 18:59:18","2020-11-18 18:59:18","INPAMT01","INPAMT01","I:EJUXWB","Y","Y","Y","M@EJQTDL",""
"#XEHOQ6X","5QEF3VVU","5QEF3VW8","2020-10-07 11:24:03","2020-10-07 11:24:03","LIQSVR04","LIQSVR04","#XEHOQA7","Y","Y","N","V8EF470J","CG852"
"4GEHSB3M","UWEHCNU5","BNEHOJL1","2020-10-09 12:12:31","2020-10-09 12:12:58","ARFELI01","ARFELI01","4GEHSB3Y","Y","Y","Y","BBEHOL3N","CG852"
"F$EHSHQV","UWEHCNQ1","FMEHSG7U","2020-10-09 14:46:51","2020-10-09 14:47:11","ARFELI01","ARFELI01","F$EHSHR7","Y","Y","Y","F$EHSHQM","CG852"
"ENEHXW2F","$$EHNARP","ACEHQQK1","2020-10-12 13:05:57","2020-10-12 13:05:57","CESSINP1","CESSINP1","ENEHXW2S","Y","Y","N","A?EHQRTR","CG852"
".KEHY3KB","I-EDB3F1","BCEDB680","2020-10-12 15:19:04","2020-10-12 15:19:29","DELINP01","DELINP01",".KEHY3KN","Y","Y","Y","BVEDBGGQ","CG852"
"TZEHY290","$$EHNARP","ACEHQQK1","2020-10-12 15:19:42","2020-10-12 15:19:42","CESSINP1","CESSINP1","TZEHY29D","Y","Y","N","A?EHQRTR","CG852"
"T@EHY3MK","$$EHNARP","ACEHQQK1","2020-10-12 15:49:10","2020-10-12 15:49:10","CESSINP1","CESSINP1","T@EHY3MX","Y","Y","N","A?EHQRTR","CG852"
"$QEI1OJW","SIEESUTN","SIEESUU8","2020-10-14 13:03:14","2020-10-14 13:03:14","LIQUSR03","LIQUSR03","$QEI1OKF","Y","Y","N","S#EESVPO","CG852"
"$VEI1OYA","$$EHNARP","ACEHQQK1","2020-10-14 13:20:43","2020-10-14 13:20:43","CESSINP1","CESSINP1","$VEI1OYN","Y","Y","N","A?EHQRTR","CG852"
"I1EI2752","$$EHNARP","ACEHQQK1","2020-10-14 19:53:46","2020-10-14 19:53:46","CESSINP1","CESSINP1","I1EI275F","Y","Y","N","A?EHQRTR","CG852"
"I1EI277T","$$EHNARP","ACEHQQK1","2020-10-14 20:24:16","2020-10-14 20:24:16","CESSINP1","CESSINP1","I1EI2786","Y","Y","N","A?EHQRTR","CG852"
":YEI3J7H","$$EHNARP","ACEHQQK1","2020-10-15 14:17:33","2020-10-15 14:17:33","CESSINP1","CESSINP1",":YEI3J9H","Y","Y","N","A?EHQRTR","CG852"
"0ZEI4FVM","$9EI1KOO","$.EI1KXI","2020-10-16 01:33:01","2020-10-16 01:33:01","DANUSR01","DANUSR01","0ZEI4FWB","Y","Y","Y","$REI1MBM",""
"O#EIBD80","$$EHNARP","ACEHQQK1","2020-10-19 18:48:37","2020-10-19 18:48:37","CESSINP1","CESSINP1","O#EIBD8D","Y","Y","N","A?EHQRTR","CG852"
"RMEIDP8S","?ZE4CIA6","?ZE4CIAG","2020-10-21 01:16:44","2020-10-21 01:16:44","MGRAMT01","MGRAMT01","RMEIDP9H","Y","Y","Y","7NE4CQON",""
