"VAH_RID_VAL_HIST","VAH_RID_OWNER","VAH_CDE_OWNER_TYPE","VAH_CDE_VALUE_TYPE","VAH_DTE_START","VAH_DTE_END","VAH_DEC_VALUE","VAH_IND_VALUE","VAH_UID_REC_CREATE","VAH_UID_REC_UPDATE","VAH_TSP_REC_CREATE","VAH_TSP_REC_UPDATE","VAH_TXT_VALUE","VAH_CDE_BRANCH"
"!ZEF5VB7","!ZEF5V98","ORT  ","OTPSS","2020-05-27 00:00:00","","","","LIQUSR05","LIQUSR05","2020-08-19 10:15:34","2020-08-19 10:15:34","OFF","CG852"
"!ZEF5VB8","!ZEF5V98","ORT  ","OSTPS","2020-05-27 00:00:00","","0","","LIQUSR05","LIQUSR05","2020-08-19 10:15:34","2020-08-19 10:15:34","","CG852"
"!ZEF5VBO","!ZEF5V98","ORT  ","RWBRT","2020-05-27 00:00:00","","0.00345","","LIQUSR05","LIQUSR05","2020-08-19 10:16:38","2020-08-19 10:16:38","","CG852"
"!ZEF5VBZ","!ZEF5V98","ORT  ","OSTRT","2020-05-27 00:00:00","","0.00375","","LIQUSR05","LIQUSR05","2020-08-19 10:16:38","2020-08-19 10:16:38","","CG852"
"#!EFUARX","#!EFUAP1","ORT  ","OTPSS","2020-05-29 00:00:00","","","","CMARTILL","CMARTILL","2020-09-01 17:22:24","2020-09-01 17:22:24","OFF","CG852"
"#!EFUARY","#!EFUAP1","ORT  ","OSTPS","2020-05-29 00:00:00","","0","","CMARTILL","CMARTILL","2020-09-01 17:22:24","2020-09-01 17:22:24","","CG852"
"#!EFUASE","#!EFUAP1","ORT  ","RWBRT","2020-05-29 00:00:00","","0.02","","CMARTILL","CMARTILL","2020-09-01 17:22:54","2020-09-01 17:22:54","","CG852"
"#!EFUASP","#!EFUAP1","ORT  ","OSTRT","2020-05-29 00:00:00","","0.02","","CMARTILL","CMARTILL","2020-09-01 17:22:54","2020-09-01 17:22:54","","CG852"
"#!EFUBRJ","#!EFUAP1","ORT  ","OTPSS","2020-05-29 00:00:00","","","","CMARTILL","CMARTILL","2020-09-01 17:44:23","2020-09-01 17:44:23","OFF","CG852"
"#!EFUBRK","#!EFUAP1","ORT  ","OSTPS","2020-05-29 00:00:00","","0","","CMARTILL","CMARTILL","2020-09-01 17:44:23","2020-09-01 17:44:23","","CG852"
"#!EFUH9Q","#!EFUH6Y","ORT  ","OTPSS","2020-05-29 00:00:00","","","","CMARTILL","CMARTILL","2020-09-01 19:42:36","2020-09-01 19:42:36","OFF","CG852"
"#!EFUH9R","#!EFUH6Y","ORT  ","OSTPS","2020-05-29 00:00:00","","0","","CMARTILL","CMARTILL","2020-09-01 19:42:36","2020-09-01 19:42:36","","CG852"
"#!EFUHAA","#!EFUH6Y","ORT  ","RWBRT","2020-05-29 00:00:00","","0.015","","CMARTILL","CMARTILL","2020-09-01 19:43:39","2020-09-01 19:43:39","","CG852"
"#!EFUHAR","#!EFUH6Y","ORT  ","OSTRT","2020-05-29 00:00:00","","0.015","","CMARTILL","CMARTILL","2020-09-01 19:43:39","2020-09-01 19:43:39","","CG852"
"#!EFUI3S","#!EFUH6Y","ORT  ","OTPSS","2020-05-29 00:00:00","","","","CMARTILL","CMARTILL","2020-09-01 20:01:15","2020-09-01 20:01:15","OFF","CG852"
"#!EFUI3T","#!EFUH6Y","ORT  ","OSTPS","2020-05-29 00:00:00","","0","","CMARTILL","CMARTILL","2020-09-01 20:01:15","2020-09-01 20:01:15","","CG852"
"#7EFU6U0","#7EFU6TS","FRCVR","FREC ","2018-06-26 00:00:00","","","","INPROS01","INPROS01","2020-09-01 15:07:52","2020-09-01 15:07:52","RE_RES",""
"#7EHOCUY","#7EHOCUS","FRCVR","FREC ","2021-01-26 00:00:00","","","","CCUISIA ","CCUISIA ","2020-10-07 08:55:40","2020-10-07 08:55:40","BG_COL",""
"#:EHOMVO","#:EHOMSX","ORT  ","OTPSS","2020-06-09 00:00:00","","","","LIQSVR05","LIQSVR05","2020-10-07 09:40:56","2020-10-07 09:40:56","OFF","CG852"
"#:EHOMVP","#:EHOMSX","ORT  ","OSTPS","2020-06-09 00:00:00","","0","","LIQSVR05","LIQSVR05","2020-10-07 09:40:56","2020-10-07 09:40:56","","CG852"
