"IRI_RID_IMT_RI_MSG","IRI_CDE_MSG_TYPE","IRI_RID_REM_INSTR","IRI_TSP_REC_CREATE","IRI_TSP_REC_UPDATE","IRI_UID_REC_CREATE","IRI_UID_REC_UPDATE","IRI_CDE_INST_CODE","IRI_TXT_REG_REF","IRI_IND_USE_SRCOR","IRI_CDE_DTLS_CHGES","IRI_TXT_ADD_INFO","IRI_CDE_BNK_OP","IRI_TXT_ADD_PARTY","IRI_TXT_PAYMT_DTLS","IRI_TXT_SDR_RVR_TX","IRI_DSC_NARRATIVE","IRI_CDE_BRANCH"
"YCEFF0LG","MT202","YCEFF0KT","2020-08-24 10:01:02","2020-08-24 10:01:02","JAQUITAN","JAQUITAN","     ","                                   ","Y","","","","","","","",""
"YCEFF0LI","MT202","YCEFF0KT","2020-08-24 10:01:02","2020-08-24 10:01:02","JAQUITAN","JAQUITAN","     ","                                   ","Y","","","","","","","",""
"YCEFF0L6","MT103","YCEFF0KT","2020-08-24 10:01:02","2020-08-24 10:01:02","JAQUITAN","JAQUITAN","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"YCEFF0L9","MT103","YCEFF0KT","2020-08-24 10:01:02","2020-08-24 10:01:02","JAQUITAN","JAQUITAN","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"Y@EFF17L","MT103","Y@EFF175","2020-08-24 11:24:07","2020-08-24 11:24:07","CMARTILL","CMARTILL","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"Y@EFF096","MT202","Y@EFF08D","2020-08-24 10:05:18","2020-08-24 10:05:18","CMARTILL","CMARTILL","     ","                                   ","Y","","","","","","","",""
"Y@EFF09B","MT202","Y@EFF08D","2020-08-24 10:05:18","2020-08-24 10:05:18","CMARTILL","CMARTILL","     ","                                   ","Y","","","","","","","",""
"Y@EFF08Q","MT103","Y@EFF08D","2020-08-24 10:05:18","2020-08-24 10:05:18","CMARTILL","CMARTILL","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"Y@EFF08W","MT103","Y@EFF08D","2020-08-24 10:05:18","2020-08-24 10:05:18","CMARTILL","CMARTILL","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"Y@EFF17I","MT103","Y@EFF175","2020-08-24 11:24:07","2020-08-24 11:24:07","CMARTILL","CMARTILL","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"Y@EFF19E","MT103","Y@EFF191","2020-08-24 11:24:07","2020-08-24 11:24:07","CMARTILL","CMARTILL","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"Y@EFF19H","MT103","Y@EFF191","2020-08-24 11:24:07","2020-08-24 11:24:07","CMARTILL","CMARTILL","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"Y@EFF19W","MT210","Y@EFF191","2020-08-24 11:24:07","2020-08-24 11:24:07","CMARTILL","CMARTILL","     ","                                   ","Y","BEN  ","","","","","","",""
"Y@EFF19Y","MT210","Y@EFF191","2020-08-24 11:24:07","2020-08-24 11:24:07","CMARTILL","CMARTILL","     ","                                   ","Y","BEN  ","","","","","","",""
"Y@EFF19O","MT202","Y@EFF191","2020-08-24 11:24:07","2020-08-24 11:24:07","CMARTILL","CMARTILL","     ","                                   ","Y","","","","","","","",""
"Y@EFF19Q","MT202","Y@EFF191","2020-08-24 11:24:07","2020-08-24 11:24:07","CMARTILL","CMARTILL","     ","                                   ","Y","","","","","","","",""
"Y@EFF1IE","MT210","Y@EFF08D","2020-08-24 11:41:34","2020-08-24 11:41:34","CMARTILL","CMARTILL","     ","                                   ","Y","BEN  ","","","","","","",""
"JLEFFBXQ","MT210","JLEFFBJG","2020-08-24 13:52:55","2020-08-24 15:37:24","LIQUSR03","FI717102","     ","                                   ","Y","BEN  ","","","","","","",""
"3KEFFBW1","MT210","3KEFFBV6","2020-08-24 14:17:46","2020-08-24 14:17:46","JAQUITAN","JAQUITAN","     ","                                   ","Y","BEN  ","","","","","","",""
"3KEFFBW3","MT210","3KEFFBV6","2020-08-24 14:17:46","2020-08-24 14:17:46","JAQUITAN","JAQUITAN","     ","                                   ","Y","BEN  ","","","","","","",""
"3KEFFBVT","MT202","3KEFFBV6","2020-08-24 14:17:46","2020-08-24 14:17:46","JAQUITAN","JAQUITAN","     ","                                   ","Y","","","","","","","",""
"3KEFFBVV","MT202","3KEFFBV6","2020-08-24 14:17:46","2020-08-24 14:17:46","JAQUITAN","JAQUITAN","     ","                                   ","Y","","","","","","","",""
"3KEFFBVJ","MT103","3KEFFBV6","2020-08-24 14:17:46","2020-08-24 14:17:46","JAQUITAN","JAQUITAN","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"3KEFFBVM","MT103","3KEFFBV6","2020-08-24 14:17:46","2020-08-24 14:17:46","JAQUITAN","JAQUITAN","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"3PEFFE41","MT210","3PEFFE36","2020-08-24 15:21:19","2020-08-24 15:21:19","LIQUSR03","LIQUSR03","     ","                                   ","N","BEN  ","","","","","","",""
"3PEFFE45","MT210","3PEFFE36","2020-08-24 15:21:19","2020-08-24 15:21:19","LIQUSR03","LIQUSR03","     ","                                   ","N","BEN  ","","","","","","",""
"3PEFFE3J","MT202","3PEFFE36","2020-08-24 15:21:19","2020-08-24 15:21:19","LIQUSR03","LIQUSR03","     ","                                   ","Y","","","","","","","",""
"3PEFFE3Q","MT202","3PEFFE36","2020-08-24 15:21:19","2020-08-24 15:21:19","LIQUSR03","LIQUSR03","     ","                                   ","Y","","","","","","","",""
"3PEFFEI2","MT210","3PEFFEH7","2020-08-24 15:27:05","2020-08-24 15:32:32","LIQUSR03","LIQUSR03","     ","                                   ","Y","BEN  ","","","","","","",""
"3PEFFEI6","MT210","3PEFFEH7","2020-08-24 15:27:05","2020-08-24 15:27:05","LIQUSR03","LIQUSR03","     ","                                   ","N","BEN  ","","","","","","",""
"3PEFFEHK","MT202","3PEFFEH7","2020-08-24 15:27:05","2020-08-24 15:27:05","LIQUSR03","LIQUSR03","     ","                                   ","Y","","","","","","","",""
"3PEFFEHR","MT202","3PEFFEH7","2020-08-24 15:27:05","2020-08-24 15:27:05","LIQUSR03","LIQUSR03","     ","                                   ","Y","","","","","","","",""
"3VEFFJ19","MT103","3VEFFIVC","2020-08-24 17:01:18","2020-08-24 17:01:18","DJRHINPT","DJRHINPT","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"?.EBVNG9","MT103","?.EBVNFZ","2020-06-16 16:38:36","2020-06-16 16:38:36","RPTINPAM","RPTINPAM","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"?.EBVNO0","MT202","?.EBVNFZ","2020-06-16 16:38:47","2020-06-16 16:38:47","RPTINPAM","RPTINPAM","     ","                                   ","Y","","","","","","","",""
"5QEF3VXC","MT103","5QEF3VX2","2020-08-18 08:57:12","2020-08-18 08:57:12","LIQUSR05","LIQUSR05","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"5QEF3W52","MT202","5QEF3VX2","2020-08-18 08:57:29","2020-08-18 08:57:29","LIQUSR05","LIQUSR05","     ","                                   ","Y","","","","","","","",""
"5QEF3WC5","MT210","5QEF3VX2","2020-08-18 08:58:09","2020-08-18 08:58:09","LIQUSR05","LIQUSR05","     ","                                   ","Y","BEN  ","","","","","","",""
"*7EF4LEO","MT103","*7EF4LEE","2020-08-18 19:02:56","2020-08-18 19:02:56","WBAYERS ","WBAYERS ","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"*7EF4LUT","MT103","*7EF4LUJ","2020-08-18 19:04:44","2020-08-18 19:04:44","WBAYERS ","WBAYERS ","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"*7EF4MAY","MT103","*7EF4MAO","2020-08-18 19:06:35","2020-08-18 19:06:35","WBAYERS ","WBAYERS ","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"*7EF4MR3","MT103","*7EF4MQT","2020-08-18 19:08:24","2020-08-18 19:08:24","WBAYERS ","WBAYERS ","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"*7EF4N78","CV202","*7EF4N6Y","2020-08-18 19:10:17","2020-08-18 19:10:17","WBAYERS ","WBAYERS ","     ","                                   ","Y","","","","","","","",""
"*7EF4NS5","MT103","*7EF4N6Y","2020-08-18 19:11:24","2020-08-18 19:11:24","WBAYERS ","WBAYERS ","     ","                                   ","Y","BEN  ","","SSTD ","/123456 Hello again 201 Sussex St","","","",""
"*7EF4O8A","CV202","*7EF4O80","2020-08-18 19:12:54","2020-08-18 19:12:54","WBAYERS ","WBAYERS ","     ","                                   ","Y","","","","","","","",""
"*7EF4OQB","MT103","*7EF4O80","2020-08-18 19:13:17","2020-08-18 19:13:17","WBAYERS ","WBAYERS ","     ","                                   ","Y","BEN  ","","SSTD ","","","","",""
"E:EF9BBO","MT103","E:EF9BBE","2020-08-21 08:01:54","2020-08-21 08:01:54","INPRON01","INPRON01","     ","                                   ","Y","OUR  ","","SSTD ","","","","",""
"ZIEF9BY5","MT103","ZIEF9BXS","2020-08-21 07:34:04","2020-08-21 07:34:04","LIQSVR05","LIQSVR05","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"ZIEF9BY8","MT103","ZIEF9BXS","2020-08-21 07:34:04","2020-08-21 07:34:04","LIQSVR05","LIQSVR05","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"ZIEF9BYF","MT202","ZIEF9BXS","2020-08-21 07:34:04","2020-08-21 07:34:04","LIQSVR05","LIQSVR05","     ","                                   ","Y","","","","","","","",""
"ZIEF9BYH","MT202","ZIEF9BXS","2020-08-21 07:34:04","2020-08-21 07:34:04","LIQSVR05","LIQSVR05","     ","                                   ","Y","","","","","","","",""
"ZIEF9BYN","MT210","ZIEF9BXS","2020-08-21 07:34:04","2020-08-21 07:34:04","LIQSVR05","LIQSVR05","     ","                                   ","Y","BEN  ","","","","","","",""
"ZIEF9BYP","MT210","ZIEF9BXS","2020-08-21 07:34:04","2020-08-21 07:34:04","LIQSVR05","LIQSVR05","     ","                                   ","Y","BEN  ","","","","","","",""
"ZIEF9C01","MT103","ZIEF9BZO","2020-08-21 07:34:04","2020-08-21 07:34:04","LIQSVR05","LIQSVR05","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"ZIEF9C04","MT103","ZIEF9BZO","2020-08-21 07:34:04","2020-08-21 07:34:04","LIQSVR05","LIQSVR05","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"ZIEF9C0B","MT202","ZIEF9BZO","2020-08-21 07:34:04","2020-08-21 07:34:04","LIQSVR05","LIQSVR05","     ","                                   ","Y","","","","","","","",""
"ZIEF9C0D","MT202","ZIEF9BZO","2020-08-21 07:34:04","2020-08-21 07:34:04","LIQSVR05","LIQSVR05","     ","                                   ","Y","","","","","","","",""
"ZIEF9C0J","MT210","ZIEF9BZO","2020-08-21 07:34:04","2020-08-21 07:34:04","LIQSVR05","LIQSVR05","     ","                                   ","Y","BEN  ","","","","","","",""
"ZIEF9C0L","MT210","ZIEF9BZO","2020-08-21 07:34:04","2020-08-21 07:34:04","LIQSVR05","LIQSVR05","     ","                                   ","Y","BEN  ","","","","","","",""
"E:EF9AY7","MT103","E:EF9AXX","2020-08-21 08:00:46","2020-08-21 08:00:46","INPRON01","INPRON01","     ","                                   ","Y","OUR  ","","SSTD ","","","","",""
"YEEFEXSL","MT103","YEEFEXSB","2020-08-24 09:24:03","2020-08-24 09:24:03","INPALN01","INPALN01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"Y@EFF180","MT210","Y@EFF175","2020-08-24 11:24:38","2020-08-24 11:24:38","CMARTILL","CMARTILL","     ","                                   ","Y","BEN  ","","","","","","",""
"Y@EFF182","MT210","Y@EFF175","2020-08-24 11:24:38","2020-08-24 11:24:38","CMARTILL","CMARTILL","     ","                                   ","Y","BEN  ","","","","","","",""
"Y@EFF17S","MT202","Y@EFF175","2020-08-24 11:24:38","2020-08-24 11:24:38","CMARTILL","CMARTILL","     ","                                   ","Y","","","","","","","",""
"Y@EFF17U","MT202","Y@EFF175","2020-08-24 11:24:38","2020-08-24 11:24:38","CMARTILL","CMARTILL","     ","                                   ","Y","","","","","","","",""
"3!EFF8UX","MT202","3!EFF8TT","2020-08-24 14:17:08","2020-08-24 14:17:08","SMANZANO","SMANZANO","     ","                                   ","Y","","","","","","","",""
"3!EFF8UZ","MT202","3!EFF8TT","2020-08-24 14:17:08","2020-08-24 14:17:08","SMANZANO","SMANZANO","     ","                                   ","Y","","","","","","","",""
"3!EFF8V5","MT210","3!EFF8TT","2020-08-24 14:17:08","2020-08-24 14:17:08","SMANZANO","SMANZANO","     ","                                   ","Y","BEN  ","","","","","","",""
"3!EFF8V7","MT210","3!EFF8TT","2020-08-24 14:17:08","2020-08-24 14:17:08","SMANZANO","SMANZANO","     ","                                   ","Y","BEN  ","","","","","","",""
"3!EFF8UN","MT103","3!EFF8TT","2020-08-24 14:17:08","2020-08-24 14:17:08","SMANZANO","SMANZANO","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"3!EFF8UQ","MT103","3!EFF8TT","2020-08-24 14:17:08","2020-08-24 14:17:08","SMANZANO","SMANZANO","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"3VEFFJC3","MT103","3VEFFJBT","2020-08-24 17:04:11","2020-08-24 17:04:11","DJRHINPT","DJRHINPT","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"@?EFH2B0","MT103","@?EFH2AQ","2020-08-25 13:43:04","2020-08-25 13:43:04","INPAMT01","INPAMT01","     ","                                   ","Y","OUR  ","","SSTD ","","","","",""
"@*EFH8XU","MT103","@*EFH8XK","2020-08-25 15:05:00","2020-08-25 15:05:00","INPALN01","INPALN01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"@*EFH9DZ","MT103","@*EFH9DP","2020-08-25 15:07:13","2020-08-25 15:07:13","INPALN01","INPALN01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"@+EFH8AO","CV202","@+EFH8AE","2020-08-25 15:54:40","2020-08-25 15:54:40","LIQUSR03","LIQUSR03","     ","                                   ","Y","","","","","","","",""
"@MEFH7UP","MT103","@MEFH7OJ","2020-08-25 15:56:37","2020-08-25 15:56:37","INPDEL01","INPDEL01","     ","                                   ","Y","OUR  ","","SSTD ","","","","",""
"@+EFH98L","MT103","@+EFH8AE","2020-08-25 15:58:13","2020-08-25 15:58:13","LIQUSR03","LIQUSR03","     ","                                   ","Y","BEN  ","","SPAY ","","","","",""
"CTEFHBVG","MT103","CTEFHBV6","2020-08-25 16:06:48","2020-08-25 16:06:48","INPALN01","INPALN01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"CTEFHCBL","MT103","CTEFHCBB","2020-08-25 16:09:02","2020-08-25 16:09:02","INPALN01","INPALN01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"C2EFHABB","MT103","C2EFHAAA","2020-08-25 16:21:09","2020-08-25 16:21:09","LIQUSR03","LIQUSR03","     ","                                   ","Y","BEN  ","","SPAY ","","","","",""
"C2EFHABK","MT103","C2EFHAAA","2020-08-25 16:21:09","2020-08-25 16:21:09","LIQUSR03","LIQUSR03","     ","                                   ","Y","BEN  ","","SPAY ","","","","",""
"C2EFHABX","MT210","C2EFHAAA","2020-08-25 16:21:09","2020-08-25 16:21:09","LIQUSR03","LIQUSR03","     ","                                   ","Y","BEN  ","","","","","","",""
"C2EFHAC2","MT210","C2EFHAAA","2020-08-25 16:21:09","2020-08-25 16:21:09","LIQUSR03","LIQUSR03","     ","                                   ","Y","BEN  ","","","","","","",""
"C2EFHAAN","CV202","C2EFHAAA","2020-08-25 16:21:09","2020-08-25 16:21:09","LIQUSR03","LIQUSR03","     ","                                   ","Y","","","","","","","",""
"C2EFHAAX","CV202","C2EFHAAA","2020-08-25 16:21:09","2020-08-25 16:21:09","LIQUSR03","LIQUSR03","     ","                                   ","Y","","","","","","","",""
"C2EFHAHS","MT202","C2EFHAAA","2020-08-25 16:24:12","2020-08-25 16:24:12","LIQUSR03","LIQUSR03","     ","                                   ","Y","","","","","","","",""
"CBEFHDFF","MT202","@+EFH8AE","2020-08-25 16:25:31","2020-08-25 16:25:31","LOANIQ01","LOANIQ01","     ","                                   ","Y","","","","","","","",""
";;EFHDSZ","MT103","CAEFH8CC","2020-08-25 17:36:44","2020-08-25 17:36:44","INPROS01","INPROS01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"I+EFMIRZ","MT103","I+EFMIRP","2020-08-28 11:17:45","2020-08-28 11:17:45","INPAMT01","INPAMT01","     ","                                   ","Y","OUR  ","","SSTD ","","","","",""
"1)EFIXFA","MT103","1)EFIXF0","2020-08-26 12:59:07","2020-08-26 12:59:07","INPALN01","INPALN01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"1)EFIXVF","MT103","1)EFIXV5","2020-08-26 13:01:22","2020-08-26 13:01:22","INPALN01","INPALN01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"U!EG6TTL","MT103","U!EG6TTB","2020-09-08 11:46:25","2020-09-08 11:46:25","JCUSR01 ","JCUSR01 ","     ","                                   ","N","OUR  ","","SSTD ","","","","",""
"U!EG6UI8","MT202","U!EG6TTB","2020-09-08 11:48:40","2020-09-08 11:48:40","JCUSR01 ","JCUSR01 ","     ","                                   ","N","","","","","","","",""
"GEEDOQ9O","MT103","GEEDOQ9E","2020-07-21 18:54:49","2020-07-21 18:54:49","DJRHINPT","DJRHINPT","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"GEEDOQHS","MT103","GEEDOQHI","2020-07-21 18:55:49","2020-07-21 18:55:49","DJRHINPT","DJRHINPT","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"(2EFGVI5","MT103","(2EFGVHV","2020-08-25 10:10:01","2020-08-25 10:10:01","INPRON01","INPRON01","     ","                                   ","Y","OUR  ","","SSTD ","","","","",""
"(2EFGVVM","MT103","(2EFGVVC","2020-08-25 10:11:16","2020-08-25 10:11:16","INPRON01","INPRON01","     ","                                   ","Y","OUR  ","","SSTD ","","","","",""
"RWEFHKRT","MT103","RWEFHKRJ","2020-08-25 19:20:36","2020-08-25 19:20:36","INPAMT01","INPAMT01","     ","                                   ","Y","OUR  ","","SSTD ","","","","",""
"RWEFHL5A","MT103","RWEFHL50","2020-08-25 19:21:47","2020-08-25 19:21:47","INPAMT01","INPAMT01","     ","                                   ","Y","OUR  ","","SSTD ","","","","",""
"$ZEFJ729","MT103","$ZEFJ71Z","2020-08-26 17:26:43","2020-08-26 17:26:43","INPAMT01","INPAMT01","     ","                                   ","Y","OUR  ","","SSTD ","","","","",""
"$ZEFJ7FQ","MT103","$ZEFJ7FG","2020-08-26 17:27:59","2020-08-26 17:27:59","INPAMT01","INPAMT01","     ","                                   ","Y","OUR  ","","SSTD ","","","","",""
"HIEFIWHG","MT103","HIEFIWH6","2020-08-26 12:09:02","2020-08-26 12:09:02","INPAMT01","INPAMT01","     ","                                   ","Y","OUR  ","","SSTD ","","","","",""
"?NEFKSL2","MT103","?NEFKSK5","2020-08-27 14:12:32","2020-08-27 14:12:32","INPALN01","INPALN01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"?NEFKT17","MT103","?NEFKT0X","2020-08-27 14:15:07","2020-08-27 14:15:07","INPALN01","INPALN01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"7NEFL08I","MT103","7NEFL07O","2020-08-27 16:57:51","2020-08-27 16:57:51","INPALN01","INPALN01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"7NEFL0ON","MT103","7NEFL0OD","2020-08-27 17:00:45","2020-08-27 17:00:45","INPALN01","INPALN01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"XZEFL4JN","MT103","XZEFL4JD","2020-08-27 18:23:44","2020-08-27 18:23:44","INPAMT01","INPAMT01","     ","                                   ","Y","OUR  ","","SSTD ","","","","",""
"I+EFMIEI","MT103","I+EFMIE8","2020-08-28 11:16:22","2020-08-28 11:16:22","INPAMT01","INPAMT01","     ","                                   ","Y","OUR  ","","SSTD ","","","","",""
"I2EFMH4X","MT103","I2EFMH4N","2020-08-28 11:23:28","2020-08-28 11:23:28","INPALN01","INPALN01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"I2EFMHL2","MT103","I2EFMHKS","2020-08-28 11:25:44","2020-08-28 11:25:44","INPALN01","INPALN01","     ","                                   ","Y","BEN  ","","CRED ","","","","",""
"U.EG6VYS","MT202","U.EG6VYI","2020-09-08 12:04:30","2020-09-08 12:04:30","JCUSR01 ","JCUSR01 ","     ","                                   ","N","","","","","","","",""
"FREG77NL","MT103","FREG77NB","2020-09-08 15:32:23","2020-09-08 15:32:23","INPAMT01","INPAMT01","     ","                                   ","Y","OUR  ","","SSTD ","","","","",""
"FREG7812","MT103","FREG780S","2020-09-08 15:33:43","2020-09-08 15:33:43","INPAMT01","INPAMT01","     ","                                   ","Y","OUR  ","","SSTD ","","","","",""
"-#EGLUTK","MT103","-#EGLUQP","2020-09-16 14:35:14","2020-09-16 14:35:14","LIQUSR03","LIQUSR03","     ","                                   ","Y","BEN  ","","SPAY ","","","","",""
"-#EGLU0L","MT103","-#EGLU0B","2020-09-16 14:22:29","2020-09-16 14:22:29","LIQUSR03","LIQUSR03","     ","                                   ","Y","BEN  ","","SPAY ","","","","",""
"-#EGLUGU","MT202","-#EGLU0B","2020-09-16 14:23:27","2020-09-16 14:23:27","LIQUSR03","LIQUSR03","     ","                                   ","Y","","","","","","","",""
"-#EGLV5O","MT202","-#EGLUQP","2020-09-16 14:36:36","2020-09-16 14:36:36","LIQUSR03","LIQUSR03","     ","                                   ","Y","","","","","","","",""
"-#EGLTB4","MT103","-#EGLTAU","2020-09-16 13:49:28","2020-09-16 13:49:28","LIQUSR03","LIQUSR03","     ","                                   ","Y","BEN  ","","SPAY ","","","","",""
"-#EGLTQD","MT202","-#EGLTAU","2020-09-16 13:50:20","2020-09-16 13:50:20","LIQUSR03","LIQUSR03","     ","                                   ","Y","","","","","","","",""
"-#EGLVFN","MT103","-#EGLVFD","2020-09-16 14:39:06","2020-09-16 14:39:06","LIQUSR03","LIQUSR03","     ","                                   ","Y","BEN  ","","SPAY ","","","","",""
"-#EGLVRR","MT202","-#EGLVFD","2020-09-16 14:39:54","2020-09-16 14:39:54","LIQUSR03","LIQUSR03","     ","                                   ","Y","","","","","","","",""
"-#EGLW1Q","MT103","-#EGLW1G","2020-09-16 14:41:10","2020-09-16 14:41:10","LIQUSR03","LIQUSR03","     ","                                   ","Y","BEN  ","","SPAY ","","","","",""
"-#EGLWDU","MT202","-#EGLW1G","2020-09-16 14:41:44","2020-09-16 14:41:44","LIQUSR03","LIQUSR03","     ","                                   ","Y","","","","","","","",""
"-#EGLWO7","MT103","-#EGLWNX","2020-09-16 14:49:39","2020-09-16 14:49:39","LIQUSR03","LIQUSR03","     ","                                   ","Y","BEN  ","","SPAY ","","","","",""
"-#EGLX0B","MT202","-#EGLWNX","2020-09-16 14:50:31","2020-09-16 14:50:31","LIQUSR03","LIQUSR03","     ","                                   ","Y","","","","","","","",""
"-#EGLXBI","MT103","-#EGLXB8","2020-09-16 14:52:46","2020-09-16 14:52:46","LIQUSR03","LIQUSR03","     ","                                   ","Y","BEN  ","","SPAY ","","","","",""
