"UDP_UID_USERID","UDP_CDE_DEPT","UDP_TSP_REC_CREATE","UDP_TSP_REC_UPDATE","UDP_UID_REC_CREATE","UDP_UID_REC_UPDATE","UDP_IND_PRIMARY"
"LQEU0011","GLB  ","2020-05-05 15:00:00","2020-05-05 15:00:00","LOANIQ01","LOANIQ01","Y"
"LQEU0012","GLB  ","2020-05-05 15:00:06","2020-05-05 15:00:06","LOANIQ01","LOANIQ01","Y"
"LQEU0013","GLB  ","2020-05-05 15:00:17","2020-05-05 15:00:17","LOANIQ01","LOANIQ01","Y"
"LQEU0014","GLB  ","2020-05-05 15:00:43","2020-05-05 15:00:43","LOANIQ01","LOANIQ01","Y"
"LQEU0015","GLB  ","2020-05-05 15:00:55","2020-05-05 15:00:55","LOANIQ01","LOANIQ01","Y"
"LQEU0016","GLB  ","2020-05-05 15:20:19","2020-05-05 15:20:19","LOANIQ01","LOANIQ01","Y"
"LQEU0017","GLB  ","2020-05-05 15:20:29","2020-05-05 15:20:29","LOANIQ01","LOANIQ01","Y"
"LQEU0018","GLB  ","2020-05-05 15:20:41","2020-05-05 15:20:41","LOANIQ01","LOANIQ01","Y"
"LQEU0019","GLB  ","2020-05-05 15:21:35","2020-05-05 15:21:35","LOANIQ01","LOANIQ01","Y"
"LQEU0020","GLB  ","2020-05-05 15:21:51","2020-05-05 15:21:51","LOANIQ01","LOANIQ01","Y"
"LQEU0021","GLB  ","2020-05-05 15:21:59","2020-05-05 15:21:59","LOANIQ01","LOANIQ01","Y"
"LQEU0022","GLB  ","2020-05-05 15:22:06","2020-05-05 15:22:06","LOANIQ01","LOANIQ01","Y"
"DFUSR238","GLB  ","2020-05-05 15:29:38","2020-05-05 15:29:38","LOANIQ01","LOANIQ01","Y"
"MUL99999","GLB  ","2020-05-05 15:58:28","2020-05-05 15:58:28","LOANIQ01","LOANIQ01","Y"
"LQTEST02","GLB  ","2020-05-05 16:10:23","2020-05-05 16:10:23","LOANIQ01","LOANIQ01","Y"
"LQEU0024","GLB  ","2020-05-05 17:15:31","2020-05-05 17:15:31","LOANIQ01","LOANIQ01","Y"
"LQTEST03","GLB  ","2020-05-05 17:25:29","2020-05-05 17:25:29","LOANIQ01","LOANIQ01","Y"
"LQTEST04","GLB  ","2020-05-05 17:45:12","2020-05-05 17:45:12","LOANIQ01","LOANIQ01","Y"
"LQEU0025","GLB  ","2020-05-05 17:49:28","2020-05-05 17:49:28","LOANIQ01","LOANIQ01","Y"
"EUGENEH ","GLB  ","2020-05-14 12:11:31","2020-05-14 12:11:31","ADMIN1  ","ADMIN1  ","N"
"EUGAPP  ","GLB  ","2020-05-14 12:13:01","2020-05-14 12:13:01","ADMIN1  ","ADMIN1  ","N"
"JOBAPP  ","GLB  ","2020-05-14 13:58:40","2020-05-14 13:58:40","ADMIN1  ","ADMIN1  ","N"
"LIQC0001","GLB  ","2020-05-28 11:00:47","2020-05-28 11:00:47","LOANIQ01","LOANIQ01","Y"
"CRE52803","GLB  ","2020-05-28 12:37:57","2020-05-28 12:37:57","LOANIQ01","LOANIQ01","Y"
"CRE52804","GLB  ","2020-05-28 13:30:10","2020-05-28 13:30:10","LOANIQ01","LOANIQ01","Y"
"CRE52805","GLB  ","2020-05-28 14:41:40","2020-05-28 14:41:40","LOANIQ01","LOANIQ01","Y"
"CRE52806","GLB  ","2020-05-28 14:57:30","2020-05-28 14:57:30","LOANIQ01","LOANIQ01","Y"
"CRE52808","GLB  ","2020-05-28 15:06:50","2020-05-28 15:06:50","LOANIQ01","LOANIQ01","Y"
"CRE52809","GLB  ","2020-05-28 16:01:28","2020-05-28 16:01:28","LOANIQ01","LOANIQ01","Y"
"CRE52810","GLB  ","2020-05-28 16:24:43","2020-05-28 16:24:43","LOANIQ01","LOANIQ01","Y"
"CRE52811","GLB  ","2020-05-28 16:51:40","2020-05-28 16:51:40","LOANIQ01","LOANIQ01","Y"
"CRE52812","GLB  ","2020-05-28 17:10:10","2020-05-28 17:10:10","LOANIQ01","LOANIQ01","Y"
"CRE52813","GLB  ","2020-05-28 17:36:02","2020-05-28 17:36:02","LOANIQ01","LOANIQ01","Y"
"CRE52814","GLB  ","2020-05-28 17:51:09","2020-05-28 17:51:09","LOANIQ01","LOANIQ01","Y"
"CRE52815","GLB  ","2020-05-28 18:20:53","2020-05-28 18:20:53","LOANIQ01","LOANIQ01","Y"
"CRE52817","GLB  ","2020-05-28 19:05:35","2020-05-28 19:05:35","LOANIQ01","LOANIQ01","Y"
"CRE52819","GLB  ","2020-05-29 10:40:47","2020-05-29 10:40:47","LOANIQ01","LOANIQ01","Y"
"CRE52820","GLB  ","2020-05-29 10:55:32","2020-05-29 10:55:32","LOANIQ01","LOANIQ01","Y"
"CRE52821","GLB  ","2020-05-29 11:22:39","2020-05-29 11:22:39","LOANIQ01","LOANIQ01","Y"
"CRE52822","GLB  ","2020-05-29 12:46:10","2020-05-29 12:46:10","LOANIQ01","LOANIQ01","Y"
"CRE52823","GLB  ","2020-05-29 13:38:56","2020-05-29 13:38:56","LOANIQ01","LOANIQ01","Y"
"CRE52824","GLB  ","2020-05-29 13:58:28","2020-05-29 13:58:28","LOANIQ01","LOANIQ01","Y"
"CRE52825","GLB  ","2020-05-29 14:49:47","2020-05-29 14:49:47","LOANIQ01","LOANIQ01","Y"
"CRE52826","GLB  ","2020-05-29 15:15:32","2020-05-29 15:15:32","LOANIQ01","LOANIQ01","Y"
"CRE52827","GLB  ","2020-05-29 15:54:13","2020-05-29 15:54:13","LOANIQ01","LOANIQ01","Y"
"CRE52828","GLB  ","2020-05-29 16:02:45","2020-05-29 16:02:45","LOANIQ01","LOANIQ01","Y"
"CRE52829","GLB  ","2020-05-29 16:57:43","2020-05-29 16:57:43","LOANIQ01","LOANIQ01","Y"
"CRE52830","GLB  ","2020-05-29 17:17:44","2020-05-29 17:17:44","LOANIQ01","LOANIQ01","Y"
"CRE52831","GLB  ","2020-05-29 17:35:03","2020-05-29 17:35:03","LOANIQ01","LOANIQ01","Y"
"CRE52832","GLB  ","2020-05-29 17:44:07","2020-05-29 17:44:07","LOANIQ01","LOANIQ01","Y"
"CRE52833","GLB  ","2020-05-29 17:54:44","2020-05-29 17:54:44","LOANIQ01","LOANIQ01","Y"
"CRE52834","GLB  ","2020-05-29 18:02:11","2020-05-29 18:02:11","LOANIQ01","LOANIQ01","Y"
"CRE52835","GLB  ","2020-05-29 18:14:54","2020-05-29 18:14:54","LOANIQ01","LOANIQ01","Y"
"CRE60201","GLB  ","2020-06-02 12:47:35","2020-06-02 12:47:35","LOANIQ01","LOANIQ01","Y"
"CRE60202","GLB  ","2020-06-02 12:47:36","2020-06-02 12:47:36","LOANIQ01","LOANIQ01","Y"
"EULU4450","GLB  ","2020-06-02 12:47:37","2020-06-02 12:47:37","LOANIQ01","LOANIQ01","Y"
"EULU0000","GLB  ","2020-06-02 12:47:37","2020-06-02 12:47:37","LOANIQ01","LOANIQ01","Y"
"LIQTEST1","GLB  ","2020-06-02 12:47:38","2020-06-02 12:47:38","LOANIQ01","LOANIQ01","Y"
"CRE60203","GLB  ","2020-06-02 12:47:38","2020-06-02 12:47:38","LOANIQ01","LOANIQ01","Y"
"CRE60204","GLB  ","2020-06-02 12:47:39","2020-06-02 12:47:39","LOANIQ01","LOANIQ01","Y"
"CRE60205","GLB  ","2020-06-02 12:47:40","2020-06-02 12:47:40","LOANIQ01","LOANIQ01","Y"
"CRE60208","GLB  ","2020-06-02 13:49:54","2020-06-02 13:49:54","LOANIQ01","LOANIQ01","Y"
"EULU0001","GLB  ","2020-06-02 13:56:32","2020-06-02 13:56:32","LOANIQ01","LOANIQ01","Y"
"CRE60209","GLB  ","2020-06-02 14:04:00","2020-06-02 14:04:00","LOANIQ01","LOANIQ01","Y"
"CRE60210","GLB  ","2020-06-02 14:30:37","2020-06-02 14:30:37","LOANIQ01","LOANIQ01","Y"
"CRE60211","GLB  ","2020-06-02 14:54:11","2020-06-02 14:54:11","LOANIQ01","LOANIQ01","Y"
"EULU0002","GLB  ","2020-06-02 15:06:03","2020-06-02 15:06:03","LOANIQ01","LOANIQ01","Y"
"EULU0003","GLB  ","2020-06-02 15:41:29","2020-06-02 15:41:29","LOANIQ01","LOANIQ01","Y"
"CRE60212","GLB  ","2020-06-02 15:46:15","2020-06-02 15:46:15","LOANIQ01","LOANIQ01","Y"
"EULU0004","GLB  ","2020-06-02 16:07:20","2020-06-02 16:07:20","LOANIQ01","LOANIQ01","Y"
"CRE60213","GLB  ","2020-06-02 16:29:59","2020-06-02 16:29:59","LOANIQ01","LOANIQ01","Y"
"EULU0006","GLB  ","2020-06-02 17:09:37","2020-06-02 17:09:37","LOANIQ01","LOANIQ01","Y"
"CRE60214","GLB  ","2020-06-02 17:46:39","2020-06-02 17:46:39","LOANIQ01","LOANIQ01","Y"
"CRE60215","GLB  ","2020-06-02 18:09:22","2020-06-02 18:09:22","LOANIQ01","LOANIQ01","Y"
"CRE60216","GLB  ","2020-06-02 18:31:40","2020-06-02 18:31:40","LOANIQ01","LOANIQ01","Y"
"CRE60217","GLB  ","2020-06-02 18:50:16","2020-06-02 18:50:16","LOANIQ01","LOANIQ01","Y"
"CRE60218","GLB  ","2020-06-02 18:58:12","2020-06-02 18:58:12","LOANIQ01","LOANIQ01","Y"
"CRE60219","GLB  ","2020-06-02 19:07:20","2020-06-02 19:07:20","LOANIQ01","LOANIQ01","Y"
"CRE60301","GLB  ","2020-06-03 09:18:15","2020-06-03 09:18:15","LOANIQ01","LOANIQ01","Y"
"CRE60302","GLB  ","2020-06-03 09:52:41","2020-06-03 09:52:41","LOANIQ01","LOANIQ01","Y"
