"LGE_RID_EVENT","LGE_CHR_USER_ID","LGE_CHR_LOGIN_ID","LGE_CHR_NODE","LGE_CDE_EVENT","LGE_TXT_COMMENT","LGE_TSP_REC_CREATE","LGE_TSP_REC_UPDATE","LGE_UID_REC_CREATE","LGE_UID_REC_UPDATE"
"0@5XGLKD","ADMIN1  ","ADMIN1                                                          ","00000A08125B","SLGIN"," ","2004-05-12 16:24:13","2004-05-12 16:24:13","LS2LOCK ","LS2LOCK "
"0M6K8RT3","ADMIN2  ","ADMIN2                                                          ","00000A900C0B","SLGIN"," ","2005-07-29 13:51:02","2005-07-29 13:51:02","LS2LOCK ","LS2LOCK "
"0R66D1A4","        ","truser08                                                        ","00000A081263","FLGIU"," ","2004-11-01 17:15:39","2004-11-01 17:15:39","LS2LOCK ","LS2LOCK "
"0Y5L9OLX","LOANIQ  ","LOANIQ                                                          ","00000A08125B","SLGIN"," ","2003-09-18 16:03:33","2003-09-18 16:03:33","LS2LOCK ","LS2LOCK "
"#IB4LEAC","LOANIQ01","LOANIQ01                                                        ","00000A503494","SLGIN"," ","2014-04-28 14:18:12","2014-04-28 14:18:12","LS2LOCK ","LS2LOCK "
"QIB4LKXP","LOANIQ01","LOANIQ01                                                        ","00000A503494","SLGIN"," ","2014-04-28 16:41:49","2014-04-28 16:41:49","LS2LOCK ","LS2LOCK "
"H?B3ODIE","ADMIN1  ","ADMIN1                                                          ","00000A503494","SLGIN"," ","2014-04-10 18:20:38","2014-04-10 18:20:38","LS2LOCK ","LS2LOCK "
"!2B4ONG4","LOANIQ01","LOANIQ01                                                        ","00000A77B414","SLGIN"," ","2014-04-30 08:28:52","2014-04-30 08:28:52","LS2LOCK ","LS2LOCK "
"D?B3P8I9","LOANIQ01","LOANIQ01                                                        ","00000A503494","SLGIN"," ","2014-04-11 05:30:09","2014-04-11 05:30:09","LS2LOCK ","LS2LOCK "
"??B3PPBH","LOANIQ01","LOANIQ01                                                        ","00000A503494","SLGIN"," ","2014-04-11 11:33:17","2014-04-11 11:33:17","LS2LOCK ","LS2LOCK "
"-?B3PSZE","LOANIQ01","LOANIQ01                                                        ","00000A503494","SLGIN"," ","2014-04-11 12:52:26","2014-04-11 12:52:26","LS2LOCK ","LS2LOCK "
"#?B3PTJL","ADMIN1  ","ADMIN1                                                          ","00000A503494","SLGIN"," ","2014-04-11 13:04:33","2014-04-11 13:04:33","LS2LOCK ","LS2LOCK "
"B?B3PTQ9","LOANIQ01","LOANIQ01                                                        ","00000A503494","SLGIN"," ","2014-04-11 13:08:33","2014-04-11 13:08:33","LS2LOCK ","LS2LOCK "
"VSB3PZAF","LOANIQ01","LOANIQ01                                                        ","00000A503494","SLGIN"," ","2014-04-11 15:08:39","2014-04-11 15:08:39","LS2LOCK ","LS2LOCK "
"UXB3Q25P","LOANIQ01","LOANIQ01                                                        ","00000A503494","SLGIN"," ","2014-04-11 16:10:37","2014-04-11 16:10:37","LS2LOCK ","LS2LOCK "
"EIB3V1XL","LOANIQ01","LOANIQ01                                                        ","00000A503494","SLGIN"," ","2014-04-14 08:53:45","2014-04-14 08:53:45","LS2LOCK ","LS2LOCK "
".IB3X4HZ","LOANIQ01","LOANIQ01                                                        ","00000A503494","SLGIN"," ","2014-04-15 11:44:23","2014-04-15 11:44:23","LS2LOCK ","LS2LOCK "
"TIB3X8KO","LOANIQ01","LOANIQ01                                                        ","00000A503494","SLGIN"," ","2014-04-15 13:12:24","2014-04-15 13:12:24","LS2LOCK ","LS2LOCK "
"8IB3XCC4","LOANIQ01","LOANIQ01                                                        ","00000A503494","SLGIN"," ","2014-04-15 14:33:40","2014-04-15 14:33:40","LS2LOCK ","LS2LOCK "
"OIB40LAJ","LOANIQ01","LOANIQ01                                                        ","00000A503494","SLGIN"," ","2014-04-17 08:39:55","2014-04-17 08:39:55","LS2LOCK ","LS2LOCK "
"YIB40WW9","LOANIQ01","LOANIQ01                                                        ","00000A503494","SLGIN"," ","2014-04-17 12:50:33","2014-04-17 12:50:33","LS2LOCK ","LS2LOCK "
"JIB4172B","LOANIQ01","LOANIQ01                                                        ","00000A503494","SLGIN"," ","2014-04-17 16:30:11","2014-04-17 16:30:11","LS2LOCK ","LS2LOCK "
"3IB47X9X","LOANIQ01","LOANIQ01                                                        ","00000A503494","SLGIN"," ","2014-04-21 07:41:57","2014-04-21 07:41:57","LS2LOCK ","LS2LOCK "
"(IB47XLA","LOANIQ01","LOANIQ01                                                        ","00000A503494","SLGIN"," ","2014-04-21 07:48:46","2014-04-21 07:48:46","LS2LOCK ","LS2LOCK "
"@IB49PPV","LOANIQ01","LOANIQ01                                                        ","00000A503494","SLGIN"," ","2014-04-22 06:53:55","2014-04-22 06:53:55","LS2LOCK ","LS2LOCK "
"CIB49TYM","LOANIQ01","LOANIQ01                                                        ","00000A503494","SLGIN"," ","2014-04-22 08:25:34","2014-04-22 08:25:34","LS2LOCK ","LS2LOCK "
";IB4A4B6","LOANIQ01","LOANIQ01                                                        ","00000A503494","SLGIN"," ","2014-04-22 12:09:06","2014-04-22 12:09:06","LS2LOCK ","LS2LOCK "
"RIB4A5ZK","LOANIQ01","LOANIQ01                                                        ","00000A503494","SLGIN"," ","2014-04-22 12:45:20","2014-04-22 12:45:20","LS2LOCK ","LS2LOCK "
"6IB4A9NX","LOANIQ01","LOANIQ01                                                        ","00000A503494","SLGIN"," ","2014-04-22 14:04:45","2014-04-22 14:04:45","LS2LOCK ","LS2LOCK "
"MIB4AE19","LOANIQ01","LOANIQ01                                                        ","00000A503494","SLGIN"," ","2014-04-22 15:39:09","2014-04-22 15:39:09","LS2LOCK ","LS2LOCK "
"WIB4AES7","LOANIQ01","LOANIQ01                                                        ","00000A503494","SLGIN"," ","2014-04-22 15:55:19","2014-04-22 15:55:19","LS2LOCK ","LS2LOCK "
"HIB4CAAG","LOANIQ01","LOANIQ01                                                        ","00000A503494","SLGIN"," ","2014-04-23 16:13:28","2014-04-23 16:13:28","LS2LOCK ","LS2LOCK "
"1IB4DX6J","LOANIQ01","LOANIQ01                                                        ","00000A503494","SLGIN"," ","2014-04-24 13:25:31","2014-04-24 13:25:31","LS2LOCK ","LS2LOCK "
"=IB4EA01","LOANIQ01","LOANIQ01                                                        ","00000A503494","SLGIN"," ","2014-04-24 18:02:25","2014-04-24 18:02:25","LS2LOCK ","LS2LOCK "
"U2B4OS80","LOANIQ02","LOANIQ02                                                        ","00000A77B414","SLGIN"," ","2014-04-30 10:12:00","2014-04-30 10:12:00","LS2LOCK ","LS2LOCK "
"Z2B4OSAX","LOANIQ01","LOANIQ01                                                        ","00000A77B414","SLGIN"," ","2014-04-30 10:13:45","2014-04-30 10:13:45","LS2LOCK ","LS2LOCK "
")2B5B644","LOANIQ01","LOANIQ01                                                        ","00000A503494","SLGIN"," ","2014-05-12 12:19:16","2014-05-12 12:19:16","LS2LOCK ","LS2LOCK "
"E2B5BDNB","LOANIQ01","LOANIQ01                                                        ","00000A503494","SLGIN"," ","2014-05-12 15:01:59","2014-05-12 15:01:59","LS2LOCK ","LS2LOCK "
"116LTX1R","ADMIN2  ","ADMIN2                                                          ","00000A900C0B","SLGIN"," ","2005-08-29 10:27:27","2005-08-29 10:27:27","LS2LOCK ","LS2LOCK "
"1M6K10JW","ADMIN2  ","ADMIN2                                                          ","00000A900C0B","SLGIN"," ","2005-07-25 09:19:08","2005-07-25 09:19:08","LS2LOCK ","LS2LOCK "
"ZM6JQBVG","ADMIN2  ","ADMIN2                                                          ","00000A900C0B","SLGIN"," ","2005-07-19 14:50:03","2005-07-19 14:50:03","LS2LOCK ","LS2LOCK "
"ZR65DGSR","ADMIN2  ","admin2                                                          ","00000A08116E","FLGIC"," ","2004-10-13 12:17:15","2004-10-13 12:17:15","LS2LOCK ","LS2LOCK "
"9=76F8ZE","ADMIN1  ","ADMIN1                                                          ","00000A900B78","SLGIN"," ","2006-10-03 18:06:50","2006-10-03 18:06:50","LS2LOCK ","LS2LOCK "
".=76F985","ADMIN1  ","ADMIN1                                                          ","00000A900B78","SLGIN"," ","2006-10-03 18:12:05","2006-10-03 18:12:05","LS2LOCK ","LS2LOCK "
"Y=76GNAH","ADMIN1  ","ADMIN1                                                          ","00000A900F6E","SLGIN"," ","2006-10-04 12:13:29","2006-10-04 12:13:29","LS2LOCK ","LS2LOCK "
"6=76PRK7","ADMIN1  ","ADMIN1                                                          ","00000A900F6E","SLGIN"," ","2006-10-09 10:24:07","2006-10-09 10:24:07","LS2LOCK ","LS2LOCK "
"0=76XQ80","ADMIN1  ","ADMIN1                                                          ","00000A900F6E","SLGIN"," ","2006-10-13 17:36:00","2006-10-13 17:36:00","LS2LOCK ","LS2LOCK "
":$7734BX","ADMIN1  ","ADMIN1                                                          ","00000A900F6E","SLGIN"," ","2006-10-16 15:28:45","2006-10-16 15:28:45","LS2LOCK ","LS2LOCK "
"V$778OCA","ADMIN2  ","ADMIN2                                                          ","00000A900F6E","SLGIN"," ","2006-10-19 15:28:58","2006-10-19 15:28:58","LS2LOCK ","LS2LOCK "
".DB11CWB","LOANIQ01","LOANIQ01                                                        ","0000C0A83866","SLGIN"," ","2014-02-18 09:55:23","2014-02-18 09:55:23","LS2LOCK ","LS2LOCK "
"YDB1CFW1","LOANIQ01","LOANIQ01                                                        ","0000C0A83866","SLGIN"," ","2014-02-24 09:33:37","2014-02-24 09:33:37","LS2LOCK ","LS2LOCK "
"@DB1G64F","LOANIQ01","LOANIQ01                                                        ","0000C0A83866","SLGIN"," ","2014-02-26 09:53:03","2014-02-26 09:53:03","LS2LOCK ","LS2LOCK "
"WDB1KAFJ","LOANIQ01","LOANIQ01                                                        ","0000C0A83866","SLGIN"," ","2014-02-28 15:16:31","2014-02-28 15:16:31","LS2LOCK ","LS2LOCK "
"1DB1PE61","LOANIQ01","LOANIQ01                                                        ","0000C0A83866","SLGIN"," ","2014-03-03 09:25:13","2014-03-03 09:25:13","LS2LOCK ","LS2LOCK "
"-;646ZN2","ADMIN2  ","ADMIN2                                                          ","00000A08116E","SLGIN"," ","2004-09-20 13:47:26","2004-09-20 13:47:26","LS2LOCK ","LS2LOCK "
"-Y5L7EDN","        ","SASPRIME                                                        ","00000A081248","FLGIU"," ","2003-09-17 10:27:26","2003-09-17 10:27:26","LS2LOCK ","LS2LOCK "
";66J610F","ADMIN2  ","ADMIN2                                                          ","00000A900BF6","SLGIN"," ","2005-07-08 15:43:27","2005-07-08 15:43:27","LS2LOCK ","LS2LOCK "
";J5LIXEO","PRIME1  ","PRIME1                                                          ","00000A08125B","SLGIN"," ","2003-09-23 15:52:00","2003-09-23 15:52:00","LS2LOCK ","LS2LOCK "
";R65DLQ8","ADMIN1  ","ADMIN1                                                          ","00000A08116E","FLGNS"," ","2004-10-13 14:03:44","2004-10-13 14:03:44","LS2LOCK ","LS2LOCK "
";W6KJJ5I","ADMIN2  ","ADMIN2                                                          ","00000A900C0B","SLGIN"," ","2005-08-04 09:17:42","2005-08-04 09:17:42","LS2LOCK ","LS2LOCK "
":1734IYE","        ","TRUSER01                                                        ","00000A900F6E","FLGIU"," ","2006-07-31 15:27:49","2006-07-31 15:27:49","LS2LOCK ","LS2LOCK "
":66JQ2TD","ADMIN1  ","ADMIN1                                                          ","00000A900BF6","SLGIN"," ","2005-07-19 11:34:25","2005-07-19 11:34:25","LS2LOCK ","LS2LOCK "
":J5LO2MT","ADMIN2  ","ADMIN2                                                          ","00000A08125B","SLGIN"," ","2003-09-26 10:32:53","2003-09-26 10:32:53","LS2LOCK ","LS2LOCK "
":R65FS9U","ADMIN1  ","ADMIN1                                                          ","00000A08116E","SLGIN"," ","2004-10-14 18:20:18","2004-10-14 18:20:18","LS2LOCK ","LS2LOCK "
"!C5XGMK4","ADMIN1  ","ADMIN1                                                          ","00000A08125B","SLGIN"," ","2004-05-12 16:45:40","2004-05-12 16:45:40","LS2LOCK ","LS2LOCK "
"!W6KE2GU","ADMIN2  ","ADMIN2                                                          ","00000A900C0B","SLGIN"," ","2005-08-01 10:29:18","2005-08-01 10:29:18","LS2LOCK ","LS2LOCK "
"!Y5FGM1P","        ","SASPRIME                                                        ","00000A0812E9","FLGIU"," ","2003-05-28 18:29:48","2003-05-28 18:29:48","LS2LOCK ","LS2LOCK "
"?16LY2QQ","ADMIN2  ","ADMIN2                                                          ","00000A900C0B","SLGIN"," ","2005-08-31 16:20:50","2005-08-31 16:20:50","LS2LOCK ","LS2LOCK "
"?M6K73JU","ADMIN2  ","ADMIN2                                                          ","00000A900BFC","SLGIN"," ","2005-07-28 16:09:30","2005-07-28 16:09:30","LS2LOCK ","LS2LOCK "
".M6JQCBX","ADMIN2  ","ADMIN2                                                          ","00000A900C0B","SLGIN"," ","2005-07-19 14:59:57","2005-07-19 14:59:57","LS2LOCK ","LS2LOCK "
".R65DGXH","ADMIN2  ","admin2                                                          ","00000A08116E","FLGIC"," ","2004-10-13 12:20:05","2004-10-13 12:20:05","LS2LOCK ","LS2LOCK "
".Y5L5ZUR","LOANIQ  ","LOANIQ                                                          ","00000A081248","SLGIN"," ","2003-09-16 16:16:13","2003-09-16 16:16:13","LS2LOCK ","LS2LOCK "
"(35V6NED","        ","TRUSER01                                                        ","00000A08125B","FLGIU"," ","2004-03-29 10:20:37","2004-03-29 10:20:37","LS2LOCK ","LS2LOCK "
"(R65DKLV","ADMIN2  ","ADMIN2                                                          ","00000A08116E","FLGIC"," ","2004-10-13 13:39:31","2004-10-13 13:39:31","LS2LOCK ","LS2LOCK "
"(Y5L60S2","LOANIQ  ","LOANIQ                                                          ","00000A081248","SLGIN"," ","2003-09-16 16:36:12","2003-09-16 16:36:12","LS2LOCK ","LS2LOCK "
")J5L9SF3","SASPRIME","SASPRIME                                                        ","00000A08125B","FLGWP"," ","2003-09-18 17:25:51","2003-09-18 17:25:51","LS2LOCK ","LS2LOCK "
")R65DGVB","ADMIN1  ","ADMIN1                                                          ","00000A08116E","FLGIC"," ","2004-10-13 12:18:47","2004-10-13 12:18:47","LS2LOCK ","LS2LOCK "
")W6KG0G1","ADMIN2  ","ADMIN2                                                          ","00000A900BF7","SLGIN"," ","2005-08-02 11:40:49","2005-08-02 11:40:49","LS2LOCK ","LS2LOCK "
"@16LL2A3","ADMIN1  ","ADMIN1                                                          ","00000A900B4A","SLGIN"," ","2005-08-24 15:42:03","2005-08-24 15:42:03","LS2LOCK ","LS2LOCK "
"@35V6NEP","        ","TRUSER01                                                        ","00000A08125B","FLGIU"," ","2004-03-29 10:20:49","2004-03-29 10:20:49","LS2LOCK ","LS2LOCK "
"@M6JTMZY","ADMIN2  ","ADMIN2                                                          ","00000A900C0B","SLGIN"," ","2005-07-21 09:43:10","2005-07-21 09:43:10","LS2LOCK ","LS2LOCK "
"@R65DLHF","ADMIN2  ","ADMIN2                                                          ","00000A08116E","FLGUL"," ","2004-10-13 13:58:27","2004-10-13 13:58:27","LS2LOCK ","LS2LOCK "
"$;5ZCPNL","ADMIN1  ","ADMIN1                                                          ","00000A08125B","SLGIN"," ","2004-06-18 11:09:21","2004-06-18 11:09:21","LS2LOCK ","LS2LOCK "
"$66J67RF","ADMIN2  ","ADMIN2                                                          ","00000A900B84","SLGIN"," ","2005-07-08 18:09:15","2005-07-08 18:09:15","LS2LOCK ","LS2LOCK "
"$J5LK8Z8","PRIME2  ","PRIME2                                                          ","00000A08125B","SLGIN"," ","2003-09-24 08:59:32","2003-09-24 08:59:32","LS2LOCK ","LS2LOCK "
"$R65FEK0","ADMIN1  ","ADMIN1                                                          ","00000A08116E","SLGIN"," ","2004-10-14 13:24:00","2004-10-14 13:24:00","LS2LOCK ","LS2LOCK "
"$W6KJSP0","ADMIN2  ","ADMIN2                                                          ","00000A900C0B","SLGIN"," ","2005-08-04 12:43:48","2005-08-04 12:43:48","LS2LOCK ","LS2LOCK "
"*1734JIG","ADMIN1  ","ADMIN1                                                          ","00000A900BAA","SLGIN"," ","2006-07-31 15:39:52","2006-07-31 15:39:52","LS2LOCK ","LS2LOCK "
"*66JQ3RG","ADMIN2  ","ADMIN2                                                          ","00000A900C0B","SLGIN"," ","2005-07-19 11:54:52","2005-07-19 11:54:52","LS2LOCK ","LS2LOCK "
"*J5NFDI2","ADMIN2  ","ADMIN2                                                          ","00000A08125B","SLGIN"," ","2003-10-30 14:56:26","2003-10-30 14:56:26","LS2LOCK ","LS2LOCK "
"F66J5ZOM","ADMIN1  ","ADMIN1                                                          ","00000A900B84","FLGUL"," ","2005-07-08 15:14:46","2005-07-08 15:14:46","LS2LOCK ","LS2LOCK "
"FJ5L9P1H","LOANIQ  ","LOANIQ                                                          ","00000A08125B","SLGIN"," ","2003-09-18 16:12:53","2003-09-18 16:12:53","LS2LOCK ","LS2LOCK "
"FR65DGS6","ADMIN1  ","admin1                                                          ","00000A08116E","FLGIC"," ","2004-10-13 12:16:54","2004-10-13 12:16:54","LS2LOCK ","LS2LOCK "
"G;654AQE","ADMIN1  ","ADMIN1                                                          ","00000A08116E","SLGIN"," ","2004-10-08 13:27:50","2004-10-08 13:27:50","LS2LOCK ","LS2LOCK "
"GW6KLR28","ADMIN2  ","ADMIN2                                                          ","00000A900C0B","SLGIN"," ","2005-08-05 14:03:45","2005-08-05 14:03:45","LS2LOCK ","LS2LOCK "
"H(5V6SMR","ADMIN1  ","ADMIN1                                                          ","00000A08125B","SLGIN"," ","2004-03-29 12:13:39","2004-03-29 12:13:39","LS2LOCK ","LS2LOCK "
"HO5DNPSH","LOANIQ  ","SASPRIME                                                        ","00000A08125B","SLGIN"," ","2003-04-23 17:26:41","2003-04-23 17:26:41","LS2LOCK ","LS2LOCK "
"I@5XGCXH","ADMIN1  ","ADMIN1                                                          ","00000A08125B","SLGIN"," ","2004-05-12 13:17:41","2004-05-12 13:17:41","LS2LOCK ","LS2LOCK "
"IH6LIPNM","ADMIN2  ","ADMIN2                                                          ","00000A900C0B","SLGIN"," ","2005-08-23 09:14:10","2005-08-23 09:14:10","LS2LOCK ","LS2LOCK "
"IY5L7EDE","        ","SASPRIME                                                        ","00000A081248","FLGIU"," ","2003-09-17 10:27:16","2003-09-17 10:27:16","LS2LOCK ","LS2LOCK "
"J16LL293","        ","TRUSER01                                                        ","00000A900B4A","FLGIU"," ","2005-08-24 15:41:26","2005-08-24 15:41:26","LS2LOCK ","LS2LOCK "
"J35OJWDJ","ADMIN1  ","ADMIN1                                                          ","00000A08125B","SLGIN"," ","2003-11-21 12:08:07","2003-11-21 12:08:07","LS2LOCK ","LS2LOCK "
"JH6L7LAP","ADMIN2  ","ADMIN2                                                          ","00000A900C0B","SLGIN"," ","2005-08-17 09:06:25","2005-08-17 09:06:25","LS2LOCK ","LS2LOCK "
"JR65DKAG","ADMIN1  ","ADMIN1                                                          ","00000A08116E","FLGSD"," ","2004-10-13 13:32:40","2004-10-13 13:32:40","LS2LOCK ","LS2LOCK "
"K=734JMT","ADMIN2  ","ADMIN2                                                          ","00000A900F6E","SLGIN"," ","2006-07-31 15:42:29","2006-07-31 15:42:29","LS2LOCK ","LS2LOCK "
"KH6KLZ5T","ADMIN2  ","ADMIN2                                                          ","00000A900C0B","SLGIN"," ","2005-08-05 16:58:41","2005-08-05 16:58:41","LS2LOCK ","LS2LOCK "
"KR65DGQG","ADMIN1  ","ADMIN1                                                          ","00000A08116E","FLGIC"," ","2004-10-13 12:15:52","2004-10-13 12:15:52","LS2LOCK ","LS2LOCK "
"KY5FGM1W","LOANIQ  ","LOANIQ                                                          ","00000A0812E9","SLGIN"," ","2003-05-28 18:29:56","2003-05-28 18:29:56","LS2LOCK ","LS2LOCK "
"LH6LJ34C","ADMIN2  ","ADMIN2                                                          ","00000A900C0B","SLGIN"," ","2005-08-23 14:05:00","2005-08-23 14:05:00","LS2LOCK ","LS2LOCK "
"MH6L9ITG","ADMIN2  ","ADMIN2                                                          ","00000A900C0B","SLGIN"," ","2005-08-18 10:08:04","2005-08-18 10:08:04","LS2LOCK ","LS2LOCK "
"MY5L62AP","        ","SASPRIME                                                        ","00000A081248","FLGIU"," ","2003-09-16 17:08:58","2003-09-16 17:08:58","LS2LOCK ","LS2LOCK "
"NY5L7ED6","        ","SASPRIME                                                        ","00000A081248","FLGIU"," ","2003-09-17 10:27:08","2003-09-17 10:27:08","LS2LOCK ","LS2LOCK "
"O16LKSVR","ADMIN2  ","ADMIN2                                                          ","00000A900C0B","SLGIN"," ","2005-08-24 12:19:03","2005-08-24 12:19:03","LS2LOCK ","LS2LOCK "
"OR65DI6A","ADMIN1  ","ADMIN1                                                          ","00000A08116E","FLGIC"," ","2004-10-13 12:46:58","2004-10-13 12:46:58","LS2LOCK ","LS2LOCK "
"P16LJ8PC","ADMIN1  ","ADMIN1                                                          ","00000A900C0B","SLGIN"," ","2005-08-23 16:05:36","2005-08-23 16:05:36","LS2LOCK ","LS2LOCK "
"PR65DGQ1","ADMIN1  ","ADMIN1                                                          ","00000A08116E","FLGIC"," ","2004-10-13 12:15:37","2004-10-13 12:15:37","LS2LOCK ","LS2LOCK "
"Q;647AFR","ADMIN1  ","ADMIN1                                                          ","00000A08116E","SLGIN"," ","2004-09-20 17:40:39","2004-09-20 17:40:39","LS2LOCK ","LS2LOCK "
"Q1734IYJ","        ","TRUSER01                                                        ","00000A900F6E","FLGIU"," ","2006-07-31 15:27:55","2006-07-31 15:27:55","LS2LOCK ","LS2LOCK "
"QW6KLIC8","ADMIN2  ","ADMIN2                                                          ","00000A900C0B","SLGIN"," ","2005-08-05 10:55:20","2005-08-05 10:55:20","LS2LOCK ","LS2LOCK "
"R35V6NF2","ADMIN1  ","ADMIN1                                                          ","00000A08125B","SLGIN"," ","2004-03-29 10:21:02","2004-03-29 10:21:02","LS2LOCK ","LS2LOCK "
"RR65DLQM","ADMIN2  ","ADMIN2                                                          ","00000A08116E","FLGNS"," ","2004-10-13 14:03:58","2004-10-13 14:03:58","LS2LOCK ","LS2LOCK "
"RY5L61FO","LOANIQ  ","LOANIQ                                                          ","00000A08134D","SLGIN"," ","2003-09-16 16:50:22","2003-09-16 16:50:22","LS2LOCK ","LS2LOCK "
"S@5X6TMG","ADMIN1  ","ADMIN1                                                          ","00000A08125B","SLGIN"," ","2004-05-07 09:42:16","2004-05-07 09:42:16","LS2LOCK ","LS2LOCK "
"SH6LHBCB","ADMIN2  ","ADMIN2                                                          ","00000A900C0B","SLGIN"," ","2005-08-22 15:07:23","2005-08-22 15:07:23","LS2LOCK ","LS2LOCK "
"SO5DYNZ6","        ","LOANIQ                                                          ","00000A08125B","FLGIU"," ","2003-04-29 15:21:05","2003-04-29 15:21:05","LS2LOCK ","LS2LOCK "
"SY5L7ECZ","        ","SASPRIME                                                        ","00000A081248","FLGIU"," ","2003-09-17 10:27:00","2003-09-17 10:27:00","LS2LOCK ","LS2LOCK "
"T35OJRF5","ADMIN1  ","ADMIN1                                                          ","00000A08125B","SLGIN"," ","2003-11-21 10:21:06","2003-11-21 10:21:06","LS2LOCK ","LS2LOCK "
"TH6L49VM","ADMIN2  ","ADMIN2                                                          ","00000A900C0B","SLGIN"," ","2005-08-15 14:06:58","2005-08-15 14:06:58","LS2LOCK ","LS2LOCK "
"TR65DGXO","ADMIN2  ","admin2                                                          ","00000A08116E","FLGIC"," ","2004-10-13 12:20:12","2004-10-13 12:20:12","LS2LOCK ","LS2LOCK "
"U35OJOER","        ","SASPRIME                                                        ","00000A08125B","FLGIU"," ","2003-11-21 09:16:02","2003-11-21 09:16:02","LS2LOCK ","LS2LOCK "
"U66J5ZLU","ADMIN1  ","ADMIN1                                                          ","00000A900B84","FLGUL"," ","2005-07-08 15:13:06","2005-07-08 15:13:06","LS2LOCK ","LS2LOCK "
"UR65DGRX","ADMIN1  ","ADMIN1                                                          ","00000A08116E","FLGIC"," ","2004-10-13 12:16:45","2004-10-13 12:16:45","LS2LOCK ","LS2LOCK "
"UW6KFVRX","ADMIN2  ","ADMIN2                                                          ","00000A900C0B","SLGIN"," ","2005-08-02 09:59:57","2005-08-02 09:59:57","LS2LOCK ","LS2LOCK "
"V1734IYV","ADMIN1  ","ADMIN1                                                          ","00000A900F6E","SLGIN"," ","2006-07-31 15:28:07","2006-07-31 15:28:07","LS2LOCK ","LS2LOCK "
"V66JQ3MO","ADMIN1  ","ADMIN1                                                          ","00000A900C0B","SLGIN"," ","2005-07-19 11:52:00","2005-07-19 11:52:00","LS2LOCK ","LS2LOCK "
"VJ5LO2QG","ADMIN1  ","ADMIN1                                                          ","00000A08125B","SLGIN"," ","2003-09-26 10:35:04","2003-09-26 10:35:04","LS2LOCK ","LS2LOCK "
"VO5DYOYD","LOANIQ  ","LOANIQ                                                          ","00000A08125B","SLGIN"," ","2003-04-29 15:42:13","2003-04-29 15:42:13","LS2LOCK ","LS2LOCK "
"VR65FT2F","ADMIN1  ","ADMIN1                                                          ","00000A08116E","SLGIN"," ","2004-10-14 18:37:27","2004-10-14 18:37:27","LS2LOCK ","LS2LOCK "
"8DBXFUWD","ADMIN1  ","ADMIN1                                                          ","00000AF0B4FA","SLGIN","SuccessfulLogin","2015-11-10 13:15:49","2015-11-10 13:15:49","LS2LOCK ","LS2LOCK "
"O1BXFV5S","        ","LIA_API                                                         ","00000AF0B4FA","FLGIU","InvalidUser","2015-11-10 13:21:27","2015-11-10 13:21:27","LS2LOCK ","LS2LOCK "
"+$AZ7A1L","LOANIQ01","LOANIQ01                                                        ","0000C0A83865","SLGIN"," ","2014-01-13 17:32:09","2014-01-13 17:32:09","LS2LOCK ","LS2LOCK "
"*$AZ7A4Y","LOANIQ01","LOANIQ01                                                        ","0000C0A83865","SLGIN"," ","2014-01-13 17:34:10","2014-01-13 17:34:10","LS2LOCK ","LS2LOCK "
