"APP_RID_ACR_PMT_PT","APP_RID_ACR_CY_PMT","APP_CID_LENDER","APP_RID_LENDER_SG","APP_CDE_PORTFOLIO","APP_CDE_EXPENSE","APP_CDE_BRANCH","APP_AMT_SHARE","APP_AMT_BOOK","APP_UID_REC_CREATE","APP_UID_REC_UPDATE","APP_TSP_REC_CREATE","APP_TSP_REC_UPDATE"
"J+EFFEE9","J+EFFEDF","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","4.61","4.61","LIQUSR05","LIQUSR05","2020-08-24 14:16:19","2020-08-24 14:16:19"
"HZEFIYOI","HZEFIYOD","E2E4RAUV","@ME4QUQW","HFIEU","BP_COL         ","CG852","9.62","9.62","CMARTILL","CMARTILL","2020-08-26 14:27:27","2020-08-26 14:27:27"
"H*EFJ25F","H*EFJ24H","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","748602.74","748602.74","JAQUITAN","JAQUITAN","2020-08-26 15:42:28","2020-08-26 15:42:28"
"HZEFJ732","HZEFJ72X","E2E4RAUV","@ME4QUQW","HFIEU","BP_COL         ","CG852","45.21","45.21","CMARTILL","CMARTILL","2020-08-26 17:28:46","2020-08-26 17:28:46"
"=XEFJ5SH","=XEFJ5RU","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","748602.74","748602.74","JAQUITAN","JAQUITAN","2020-08-26 17:01:06","2020-08-26 17:01:06"
"$UEFJ738","$UEFJ72Y","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","136.99","136.99","JAQUITAN","JAQUITAN","2020-08-26 17:21:39","2020-08-26 17:21:39"
"?FEFKN5L","?FEFKN57","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","226849.32","226849.32","JAQUITAN","JAQUITAN","2020-08-27 11:02:07","2020-08-27 11:02:07"
"?TEFKOED","?TEFKOE1","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","-226849.32","-226849.32","JAQUITAN","JAQUITAN","2020-08-27 11:39:43","2020-08-27 11:39:43"
"?MEFKUZE","?MEFKUZ9","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","57.53","57.53","JAQUITAN","JAQUITAN","2020-08-27 14:25:41","2020-08-27 14:25:41"
"?MEFKUZS","?MEFKUZJ","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","224580.82","224580.82","JAQUITAN","JAQUITAN","2020-08-27 14:25:41","2020-08-27 14:25:41"
"XMEFL7DN","XMEFL7D9","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","724545.21","724545.21","SMANZANO","SMANZANO","2020-08-27 19:28:29","2020-08-27 19:28:29"
"X=EFL8J4","X=EFL8IH","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","372.6","372.6","SMANZANO","SMANZANO","2020-08-27 19:55:40","2020-08-27 19:55:40"
"2YEFMLXL","2YEFMLXG","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","164.38","164.38","JAQUITAN","JAQUITAN","2020-08-28 12:02:28","2020-08-28 12:02:28"
"L3EFXZ4D","L3EFXZ3Z","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","737383.56","737383.56","JAQUITAN","JAQUITAN","2020-09-03 16:45:04","2020-09-03 16:45:04"
"LDEFY5SG","LDEFY5Q5","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","-737383.56","-737383.56","JANICEA1","JANICEA1","2020-09-03 19:26:02","2020-09-03 19:26:02"
"0-EFZW5Q","0-EFZW5A","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","500","500","CMARTILL","CMARTILL","2020-09-04 17:53:02","2020-09-04 17:53:02"
"0-EFZW2G","+QEFZVNR","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","500","500","CMARTILL","CMARTILL","2020-09-04 17:53:02","2020-09-04 17:53:02"
"!GEG56P8","!GEG56NW","E2E4RAUV","@ME4QUQW","HFIEU","BP_COL         ","CG852","-0.78","-0.78","CMARTILL","CMARTILL","2020-09-07 14:29:22","2020-09-07 14:29:22"
"!GEG59VX","!GEG59VF","E2E4RAUV","@ME4QUQW","HFIEU","BP_COL         ","CG852","0.58","0.58","CMARTILL","CMARTILL","2020-09-07 15:38:12","2020-09-07 15:38:12"
"!GEG5G8Y","!GEG5G8N","E2E4RAUV","@ME4QUQW","HFIEU","BP_COL         ","CG852","0.78","0.78","CMARTILL","CMARTILL","2020-09-07 17:55:37","2020-09-07 17:55:37"
"K#EG6SZU","K#EG6SZN","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","707580.82","707580.82","JAQUITAN","JAQUITAN","2020-09-08 10:13:43","2020-09-08 10:13:43"
"K#EG6SZD","K#EG6SZ8","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","205.48","205.48","JAQUITAN","JAQUITAN","2020-09-08 10:13:43","2020-09-08 10:13:43"
"FJEG73C6","FJEG73AG","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","230.3","230.3","SMANZANO","SMANZANO","2020-09-08 15:12:10","2020-09-08 15:12:10"
"FJEG73MX","FJEG73M1","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","180.66","180.66","SMANZANO","SMANZANO","2020-09-08 15:18:39","2020-09-08 15:18:39"
"FGEG7E5E","FGEG7E59","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","180.82","180.82","JAQUITAN","JAQUITAN","2020-09-08 18:36:00","2020-09-08 18:36:00"
"OLEGDDJ0","OLEGDDIQ","E2E4RAUV","@ME4QUQW","HFIEU","BP_COL         ","CG852","2.18","2.18","CMARTILL","CMARTILL","2020-09-11 13:07:31","2020-09-11 13:07:31"
"OLEGDDMQ","OLEGDDML","E2E4RAUV","@ME4QUQW","HFIEU","BP_COL         ","CG852","1.53","1.53","CMARTILL","CMARTILL","2020-09-11 13:16:29","2020-09-11 13:16:29"
";2EGHRDW",";2EGHRDQ","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","522.61","522.61","SMANZANO","SMANZANO","2020-09-14 08:31:01","2020-09-14 08:31:01"
"OLEGDNQF","OLEGDNQA","E2E4RAUV","@ME4QUQW","HFIEU","BP_COL         ","CG852","0.66","0.66","CMARTILL","CMARTILL","2020-09-11 14:49:23","2020-09-11 14:49:23"
";2EGHREH",";2EGHRE6","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","374515.69","374515.69","SMANZANO","SMANZANO","2020-09-14 08:31:01","2020-09-14 08:31:01"
"I-EFMHH4","I-EFMHGQ","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","737383.56","737383.56","JAQUITAN","JAQUITAN","2020-08-28 11:13:07","2020-08-28 11:13:07"
"2OEFMUKY","2OEFMUKT","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","0.14","0.14","LIQUSR05","LIQUSR05","2020-08-28 14:49:24","2020-08-28 14:49:24"
"#AEFTRK9","#AEFTRJ9","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","249.32","249.32","SMANZANO","SMANZANO","2020-09-01 10:28:04","2020-09-01 10:28:04"
"Y1EH6E4D","Y1EH6E3Z","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","226849.32","226849.32","JAQUITAN","JAQUITAN","2020-09-11 14:45:04","2020-09-11 14:45:04"
"IQEGLHPV","IQEGLHPK","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","287.66","287.66","SMANZANO","SMANZANO","2020-09-16 08:38:32","2020-09-16 08:38:32"
"IQEGLHPA","IQEGLHP4","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","67.39","67.39","SMANZANO","SMANZANO","2020-09-16 08:38:32","2020-09-16 08:38:32"
"-MEGLNFU","-MEGLNFP","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","197.26","197.26","SMANZANO","SMANZANO","2020-09-16 11:53:15","2020-09-16 11:53:15"
"G2EGNMQ1","G2EGNMPQ","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","1000","1000","JAQUITAN","JAQUITAN","2020-09-17 12:55:06","2020-09-17 12:55:06"
"G2EGNMPL","G2EGNMP5","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","1000","1000","JAQUITAN","JAQUITAN","2020-09-17 12:55:06","2020-09-17 12:55:06"
"+:EGNW1Y","+:EGNW1T","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","47.78","47.78","SMANZANO","SMANZANO","2020-09-17 16:54:37","2020-09-17 16:54:37"
"AJEGO1K1","AJEGO1JI","E2E4RAUV","@ME4QUQW","HFIEU","BP_COL         ","CG852","0.77","0.77","CMARTILL","CMARTILL","2020-09-17 18:53:53","2020-09-17 18:53:53"
"A@EGO1RW","A@EGO1RG","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","756164.38","756164.38","JAQUITAN","JAQUITAN","2020-09-17 18:58:32","2020-09-17 18:58:32"
"P9EGO63H","P9EGO639","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","-1000","-1000","JAQUITAN","JAQUITAN","2020-09-17 19:10:48","2020-09-17 19:10:48"
"P9EGO635","P9EGO62T","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","-1000","-1000","JAQUITAN","JAQUITAN","2020-09-17 19:10:48","2020-09-17 19:10:48"
"UMEGPG2B","UMEGPG24","E2E4RAUV","@ME4QUQW","HFIEU","BP_COL         ","CG852","-0.77","-0.77","CMARTILL","CMARTILL","2020-09-18 12:21:23","2020-09-18 12:21:23"
"3XEFGPFS","3XEFGPDN","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","4.57","4.57","LIQUSR05","LIQUSR05","2020-08-25 07:12:32","2020-08-25 07:12:32"
"HREFIUDZ","HREFIUDU","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","164.38","164.38","JAQUITAN","JAQUITAN","2020-08-26 11:54:56","2020-08-26 11:54:56"
"HZEFIWNC","HZEFIWN7","E2E4RAUV","@ME4QUQW","HFIEU","BP_COL         ","CG852","9.62","9.62","CMARTILL","CMARTILL","2020-08-26 13:43:18","2020-08-26 13:43:18"
"HZEFJ1NL","HZEFJ1NG","E2E4RAUV","@ME4QUQW","HFIEU","BP_COL         ","CG852","1.32","1.32","CMARTILL","CMARTILL","2020-08-26 15:29:59","2020-08-26 15:29:59"
"XHEFLBUX","XHEFLBUS","E2E4RAUV","@ME4QUQW","HFIEU","BP_COL         ","CG852","0.17","0.17","CMARTILL","CMARTILL","2020-08-27 20:29:57","2020-08-27 20:29:57"
"XHEFLBY6","XHEFLBY1","E2E4RAUV","@ME4QUQW","HFIEU","BP_COL         ","CG852","0.33","0.33","CMARTILL","CMARTILL","2020-08-27 20:31:24","2020-08-27 20:31:24"
"+2EFZSRJ","+2EFZSRB","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","-1000","-1000","JANICEA1","JANICEA1","2020-09-04 16:39:49","2020-09-04 16:39:49"
"+2EFZSR7","+2EFZSQE","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","-1000","-1000","JANICEA1","JANICEA1","2020-09-04 16:39:49","2020-09-04 16:39:49"
"0-EFZT1Q","0-EFZT11","E2E4RAUV","@ME4QUQW","HFIEU","BP_COL         ","CG852","0.78","0.78","CMARTILL","CMARTILL","2020-09-04 16:46:08","2020-09-04 16:46:08"
"!GEG5HTP","!GEG5HT4","E2E4RAUV","@ME4QUQW","HFIEU","BP_COL         ","CG852","-0.78","-0.78","CMARTILL","CMARTILL","2020-09-07 18:29:40","2020-09-07 18:29:40"
"KREG5NLB","KREG5NL6","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","164.38","164.38","SMANZANO","SMANZANO","2020-09-07 19:42:49","2020-09-07 19:42:49"
"F3EG718Y","F3EG718R","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","692909.59","692909.59","JAQUITAN","JAQUITAN","2020-09-08 14:20:01","2020-09-08 14:20:01"
"F3EG718H","F3EG718C","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","383.56","383.56","JAQUITAN","JAQUITAN","2020-09-08 14:20:01","2020-09-08 14:20:01"
"FJEG71TD","FJEG71T8","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","213.07","213.07","SMANZANO","SMANZANO","2020-09-08 14:34:36","2020-09-08 14:34:36"
"K2EG77XE","K2EG77X9","E2E4RAUV","@ME4QUQW","HFIEU","BP_COL         ","CG852","0.78","0.78","CMARTILL","CMARTILL","2020-09-08 16:50:54","2020-09-08 16:50:54"
"K2EG78G1","K2EG78BL","E2E4RAUV","@ME4QUQW","HFIEU","BP_COL         ","CG852","-0.78","-0.78","CMARTILL","CMARTILL","2020-09-08 17:02:07","2020-09-08 17:02:07"
"Y?EH6F19","Y?EH6F14","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","51.78","51.78","JAQUITAN","JAQUITAN","2020-09-11 15:07:43","2020-09-11 15:07:43"
"Y?EH6F1N","Y?EH6F1E","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","224.39","224.39","JAQUITAN","JAQUITAN","2020-09-11 15:07:43","2020-09-11 15:07:43"
"9FEGPOMV","9FEGPOMQ","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","126","126","SMANZANO","SMANZANO","2020-09-18 14:50:00","2020-09-18 14:50:00"
"0GEH9XLE","0GEH9XL0","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","7561.64","7561.64","JAQUITAN","JAQUITAN","2020-09-29 13:36:06","2020-09-29 13:36:06"
"+)EH9YG4","+)EH9YFT","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","1000","1000","JAQUITAN","JAQUITAN","2020-09-29 13:50:29","2020-09-29 13:50:29"
"+)EH9YFO","+)EH9YF8","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","1000","1000","JAQUITAN","JAQUITAN","2020-09-29 13:50:29","2020-09-29 13:50:29"
"4EEHBRN6","4EEHBRMP","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","453698.63","453698.63","JAQUITAN","JAQUITAN","2020-09-30 14:23:27","2020-09-30 14:23:27"
"4WEHBURJ","4WEHBUR2","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","453698.63","453698.63","JAQUITAN","JAQUITAN","2020-09-30 15:22:19","2020-09-30 15:22:19"
"4DEHBVW1","4DEHBVVK","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","453698.63","453698.63","JAQUITAN","JAQUITAN","2020-09-30 15:55:03","2020-09-30 15:55:03"
"SDEI1XLQ","SDEI1XLC","E2E4RAUV","@ME4QUQW","NONE ","BG_COL         ","CG852","90.03","90.03","SMANZANO","SMANZANO","2020-10-14 15:50:37","2020-10-14 15:50:37"
"N7EJUHYP","N7EJUHY9","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","662786.12","662786.12","JAQUITAN","JAQUITAN","2020-11-18 12:48:39","2020-11-18 12:48:39"
"N#EJUIWW","N#EJUIWG","E2E4RAUV","@ME4QUQW","HFIEU","BP_COL         ","CG852","73977.15","73977.15","CMARTILL","CMARTILL","2020-11-18 13:07:50","2020-11-18 13:07:50"
"G8EK1TW4","G8EK1TVY","E2E4RAUV","@ME4QUQW","HFIEU","BP_COL         ","CG852","1.81","1.81","CMARTILL","CMARTILL","2020-11-22 13:08:14","2020-11-22 13:08:14"
"AIEK3QIF","AIEK3QHZ","E2E4RAUV","@ME4QUQW","HFIEU","BP_COL         ","CG852","73977.15","73977.15","RPTINP01","RPTINP01","2020-11-23 13:01:16","2020-11-23 13:01:16"
"GKEH9R00","GKEH9QYS","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","10000","10000","SMANZANO","SMANZANO","2020-09-29 11:26:34","2020-09-29 11:26:34"
"V:EH9VPA","V:EH9VP3","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","5.76","5.76","LIQUSR05","LIQUSR05","2020-09-29 11:52:43","2020-09-29 11:52:43"
"G(EHQL6M","G(EHQL6F","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","0.27","0.27","LIQSVR02","LIQSVR02","2020-10-08 11:24:48","2020-10-08 11:24:48"
"=+EI1LIV","=+EI1LI9","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","676116.48","676116.48","SMANZANO","SMANZANO","2020-10-14 11:55:06","2020-10-14 11:55:06"
"$?EI1VNJ","$?EI1VN5","E2E4RAUV","@ME4QUQW","NONE ","BG_COL         ","CG852","200","200","LIQUSR05","LIQUSR05","2020-10-14 12:34:53","2020-10-14 12:34:53"
"B:EIIKMC","B:EIIKKA","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","1546.6","1546.6","SMANZANO","SMANZANO","2020-10-23 17:00:32","2020-10-23 17:00:32"
":7EIILGD",":7EIILG5","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","-1546.6","-1546.6","SMANZANO","SMANZANO","2020-10-23 17:16:45","2020-10-23 17:16:45"
"#XEHOMRL","#XEHOMRG","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","0.3","0.3","LIQSVR04","LIQSVR04","2020-10-07 09:13:35","2020-10-07 09:13:35"
"FAEHSDF0","FAEHSDEU","E2E4RAUV","@ME4QUQW","HFIEU","BP_COL         ","CG852","16.44","16.44","SMANZANO","SMANZANO","2020-10-09 13:31:55","2020-10-09 13:31:55"
"F2EHSIQ4","F2EHSIPV","E2E4RAUV","@ME4QUQW","HFIEU","BP_COL         ","CG852","16.44","16.44","CMARTILL","CMARTILL","2020-10-09 15:31:18","2020-10-09 15:31:18"
"SWEI1WU7","SWEI1WTT","E2E4RAUV","@ME4QUQW","NONE ","BG_COL         ","CG852","105.56","105.56","SMANZANO","SMANZANO","2020-10-14 15:43:19","2020-10-14 15:43:19"
"3GEICZRZ","3GEICZRI","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","50.99","50.99","SMANZANO","SMANZANO","2020-10-20 16:42:01","2020-10-20 16:42:01"
"3GEICZXX","3GEICZXJ","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","59570.65","59570.65","SMANZANO","SMANZANO","2020-10-20 16:45:24","2020-10-20 16:45:24"
"3GEID042","3GEID03R","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","76538.29","76538.29","SMANZANO","SMANZANO","2020-10-20 16:49:15","2020-10-20 16:49:15"
"($EID4WC","($EID4W4","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","-50.99","-50.99","SMANZANO","SMANZANO","2020-10-20 17:22:51","2020-10-20 17:22:51"
"*MEIPYWI","*MEIPYW7","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","113.38","113.38","LIQSVR04","LIQSVR04","2020-10-27 12:40:58","2020-10-27 12:40:58"
"F)EK5ILB","F)EK5IL6","E2E4RAUV","@ME4QUQW","HFIEU","BP_COL         ","CG852","21.81","21.81","CMARTILL","CMARTILL","2020-11-24 12:56:37","2020-11-24 12:56:37"
"F)EK5IL1","F)EK5IKW","E2E4RAUV","@ME4QUQW","HFIEU","BP_COL         ","CG852","21.81","21.81","CMARTILL","CMARTILL","2020-11-24 12:56:37","2020-11-24 12:56:37"
"UMEGPGRS","UMEGPGRC","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","250","250","CMARTILL","CMARTILL","2020-09-18 13:19:54","2020-09-18 13:19:54"
"UMEGPGQ5","USEGPH8S","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","250","250","CMARTILL","CMARTILL","2020-09-18 13:19:54","2020-09-18 13:19:54"
"9$EGPQOK","9$EGPQOF","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","172.6","172.6","SMANZANO","SMANZANO","2020-09-18 15:42:27","2020-09-18 15:42:27"
"9MEGPROD","9MEGPRNZ","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","-756164.38","-756164.38","JANICEA2","JANICEA2","2020-09-18 17:05:52","2020-09-18 17:05:52"
"OEEGUSCT","OEEGUSCI","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","1000","1000","JAQUITAN","JAQUITAN","2020-09-21 10:18:25","2020-09-21 10:18:25"
"OEEGUSCD","OEEGUSBK","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","1000","1000","JAQUITAN","JAQUITAN","2020-09-21 10:18:25","2020-09-21 10:18:25"
"JOEGUYCA","JOEGUYBZ","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","1000","1000","JAQUITAN","JAQUITAN","2020-09-21 12:20:22","2020-09-21 12:20:22"
"JOEGUYBU","JOEGUYBE","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","1000","1000","JAQUITAN","JAQUITAN","2020-09-21 12:20:22","2020-09-21 12:20:22"
"JJEGUZ7E","JJEGUZ6Y","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","748635.62","748635.62","JAQUITAN","JAQUITAN","2020-09-21 12:25:52","2020-09-21 12:25:52"
"C9EGWSR3","C9EGWSQY","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","256.6","256.6","SMANZANO","SMANZANO","2020-09-22 12:22:38","2020-09-22 12:22:38"
"N.EH2BP2","N.EH2BOX","E2E4RAUV","@ME4QUQW","HFIEU","BP_COL         ","CG852","2.18","2.18","CMARTILL","CMARTILL","2020-09-25 10:56:43","2020-09-25 10:56:43"
"54EH9P69","54EH9P5P","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","-10000","-10000","SMANZANO","SMANZANO","2020-09-28 15:53:44","2020-09-28 15:53:44"
"Q8EH9O6L","Q8EH9O5D","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","10000","10000","SMANZANO","SMANZANO","2020-09-28 12:49:15","2020-09-28 12:49:15"
"CXEI01N2","CXEI01MO","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","-100821.92","-100821.92","JANICEA1","JANICEA1","2020-10-13 16:24:09","2020-10-13 16:24:09"
"($EID50X","($EID50N","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","50.99","50.99","SMANZANO","SMANZANO","2020-10-20 17:26:35","2020-10-20 17:26:35"
"LZEH9QNT","LZEH9QN9","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","-10000","-10000","MANZANOS","MANZANOS","2020-09-28 17:41:16","2020-09-28 17:41:16"
"V:EH9SNX","V:EH9SNN","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","522.61","522.61","LIQUSR05","LIQUSR05","2020-09-29 10:47:46","2020-09-29 10:47:46"
"GZEH9RL9","GZEH9RKP","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","-10000","-10000","MANZANOS","MANZANOS","2020-09-29 11:29:34","2020-09-29 11:29:34"
"94EHDE1K","94EHDE1C","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","-1000","-1000","JAQUITAN","JAQUITAN","2020-10-01 10:07:08","2020-10-01 10:07:08"
"94EHDE18","94EHDE0W","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","-1000","-1000","JAQUITAN","JAQUITAN","2020-10-01 10:07:08","2020-10-01 10:07:08"
"9)EHDEU9","9)EHDETY","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","1000","1000","JAQUITAN","JAQUITAN","2020-10-01 10:12:15","2020-10-01 10:12:15"
"9)EHDETT","9)EHDETD","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","1000","1000","JAQUITAN","JAQUITAN","2020-10-01 10:12:15","2020-10-01 10:12:15"
")4EHDHEY",")4EHDHEM","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","-7561.64","-7561.64","JAQUITAN","JAQUITAN","2020-10-01 11:18:23","2020-10-01 11:18:23"
"@EEI01RE","@EEI01QZ","E2E4RAUV","@ME4QUQW","HFIEU","BP_COL         ","CG852","1500","1500","LIQUSR05","LIQUSR05","2020-10-13 13:39:24","2020-10-13 13:39:24"
"@EEI01RF","@EEI01QZ","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","0","0","LIQUSR05","LIQUSR05","2020-10-13 13:39:24","2020-10-13 13:39:24"
"@EEI01PE","JIEHZTLN","E2E4RAUV","@ME4QUQW","HFIEU","BP_COL         ","CG852","1500","1500","LIQUSR05","LIQUSR05","2020-10-13 13:39:24","2020-10-13 13:39:24"
"@EEI01PV","JIEHZTLN","E2E4RAUV","@ME4QUQW","HFIEU","BG_COL         ","CG852","0","0","LIQUSR05","LIQUSR05","2020-10-13 13:39:24","2020-10-13 13:39:24"
