"RMA_RID_RMT_ASC","RMA_RID_RMT_CNTNR","RMA_RID_RMT_INST","RMA_UID_REC_UPDATE","RMA_UID_REC_CREATE","RMA_TSP_REC_UPDATE","RMA_TSP_REC_CREATE","RMA_IND_AUTO_DOIT","RMA_IND_HOST_CORRS","RMA_CDE_DBL_IMPCT","RMA_CDE_BRANCH"
":*EDG1AP",":*EDG1AA","6UE5010J","FJUSRAM ","FJUSRAM ","2020-07-17 03:27:07","2020-07-17 03:27:07","Y","N","","CG852"
":*EDG1AR",":*EDG1AA","6UE502IL","FJUSRAM ","FJUSRAM ","2020-07-17 03:27:07","2020-07-17 03:27:07","Y","N","","CG852"
":*EDG1AO",":*EDG1AA","6UE4ZZWB","FJUSRAM ","FJUSRAM ","2020-07-17 03:27:07","2020-07-17 03:27:07","Y","N","","CG852"
"40EDZTE1","40EDZTDX","FPE4MROR","INPCHER ","INPCHER ","2020-07-27 18:43:34","2020-07-27 18:43:34","Y","N","","CG852"
"40EDZTE0","40EDZTDX","FPE4MRO4","INPCHER ","INPCHER ","2020-07-27 18:43:34","2020-07-27 18:43:34","Y","N","","CG852"
"S#EESVQE","S#EESVQC","SIEESUUM","CMARTILL","CMARTILL","2020-08-12 11:31:16","2020-08-12 11:31:16","Y","N","","CG852"
"S#EESVQL","S#EESVQG","6UE4ZZWB","CMARTILL","CMARTILL","2020-08-12 11:32:32","2020-08-12 11:32:32","Y","N","","CG852"
"S#EESVQN","S#EESVQG","6UE501U6","CMARTILL","CMARTILL","2020-08-12 11:32:32","2020-08-12 11:32:32","Y","N","","CG852"
"S#EESVQO","S#EESVQG","6UE502IL","CMARTILL","CMARTILL","2020-08-12 11:32:32","2020-08-12 11:32:32","Y","N","","CG852"
"S#EESVQM","S#EESVQG","6UE5010J","CMARTILL","CMARTILL","2020-08-12 11:32:32","2020-08-12 11:32:32","Y","N","","CG852"
"9ZEF82G1","9ZEF82FZ","ZXEF80SO","JAQUITAN","JAQUITAN","2020-08-20 16:41:56","2020-08-20 16:41:56","N","N","","CG852"
"9ZEF82G8","9ZEF82G3","6UE5010J","JAQUITAN","JAQUITAN","2020-08-20 16:44:22","2020-08-20 16:44:22","Y","N","","CG852"
"Y5EFF54Y","Y5EFF54W","SIEESUUM","LIQUSR03","LIQUSR03","2020-08-24 12:24:49","2020-08-24 12:24:49","Y","N","","CG852"
"3.EFFDZ7","3.EFFDZ5","ZXEF80SO","JAQUITAN","JAQUITAN","2020-08-24 14:58:59","2020-08-24 14:58:59","N","N","","CG852"
"3.EFFDZE","3.EFFDZ9","6UE5010J","JAQUITAN","JAQUITAN","2020-08-24 14:59:28","2020-08-24 14:59:28","Y","N","","CG852"
"0REF4EZ4","0REF4EZ2","SIEESUUM","LIQUSR03","LIQUSR03","2020-08-18 15:48:39","2020-08-18 15:48:39","Y","N","","CG852"
"@+EFH9OQ","@+EFH9OI","6UE502IL","LIQUSR03","LIQUSR03","2020-08-25 16:04:07","2020-08-25 16:04:07","Y","N","","CG852"
"@+EFH9ON","@+EFH9OI","6UE4ZZWB","LIQUSR03","LIQUSR03","2020-08-25 16:04:07","2020-08-25 16:04:07","Y","N","","CG852"
"@+EFH9OO","@+EFH9OI","6UE5010J","LIQUSR03","LIQUSR03","2020-08-25 16:04:07","2020-08-25 16:04:07","Y","N","","CG852"
"@+EFH9UH","3PEFFDWO","@+EFH8AE","LIQUSR03","LIQUSR03","2020-08-25 16:05:21","2020-08-25 16:05:21","N","N","","CG852"
"C6EFHAQI","C6EFHAQG","ZXEF80SO","JAQUITAN","JAQUITAN","2020-08-25 16:13:46","2020-08-25 16:13:46","N","N","","CG852"
"C6EFHAQN","C6EFHAQK","Y@EFF0VN","JAQUITAN","JAQUITAN","2020-08-25 16:14:13","2020-08-25 16:14:13","N","N","","CG852"
"C6EFHAQO","C6EFHAQK","Y@EFF0LT","JAQUITAN","JAQUITAN","2020-08-25 16:14:13","2020-08-25 16:14:13","N","N","","CG852"
"C6EFHARY","C6EFHARR","6UE501U6","JAQUITAN","JAQUITAN","2020-08-25 16:22:14","2020-08-25 16:22:14","Y","N","","CG852"
"C6EFHARZ","C6EFHARR","6UE502IL","JAQUITAN","JAQUITAN","2020-08-25 16:22:14","2020-08-25 16:22:14","Y","N","","CG852"
"C6EFHARW","C6EFHARR","6UE4ZZWB","JAQUITAN","JAQUITAN","2020-08-25 16:22:14","2020-08-25 16:22:14","Y","N","","CG852"
"C6EFHARX","C6EFHARR","6UE5010J","JAQUITAN","JAQUITAN","2020-08-25 16:22:14","2020-08-25 16:22:14","Y","N","","CG852"
"40EDZTDU","40EDZTDP","?ZE4CLLI","INPCHER ","INPCHER ","2020-07-27 18:41:57","2020-07-27 18:41:57","Y","N","","CG852"
"40EDZTDV","40EDZTDP","?.EBVNFZ","INPCHER ","INPCHER ","2020-07-27 18:41:57","2020-07-27 18:41:57","Y","N","","CG852"
"40EDZTDT","40EDZTDP","?ZE4CKZ2","INPCHER ","INPCHER ","2020-07-27 18:41:57","2020-07-27 18:41:57","Y","N","","CG852"
"0REF4EZD","0REF4EZ6","6UE501U6","LIQUSR03","LIQUSR03","2020-08-18 15:51:23","2020-08-18 15:51:23","Y","N","","CG852"
"0REF4EZE","0REF4EZ6","6UE502IL","LIQUSR03","LIQUSR03","2020-08-18 15:51:23","2020-08-18 15:51:23","Y","N","","CG852"
"V8EF470T","V8EF470R","5QEF3VX2","LIQUSR05","LIQUSR05","2020-08-18 12:18:16","2020-08-18 12:18:16","Y","N","","CG852"
"0REF4EZB","0REF4EZ6","6UE4ZZWB","LIQUSR03","LIQUSR03","2020-08-18 15:51:23","2020-08-18 15:51:23","Y","N","","CG852"
"V8EF4711","V8EF470V","6UE5010J","LIQUSR05","LIQUSR05","2020-08-18 12:21:08","2020-08-18 12:21:08","Y","N","","CG852"
"YZEFEWHN","YZEFEWHL",")?EF897Y","SMANZANO","SMANZANO","2020-08-24 08:57:00","2020-08-24 08:57:00","Y","N","","CG852"
"YZEFEWHY","YZEFEWHT","6UE5010J","SMANZANO","SMANZANO","2020-08-24 09:24:42","2020-08-24 09:24:42","Y","N","","CG852"
"0REF4EZC","0REF4EZ6","6UE5010J","LIQUSR03","LIQUSR03","2020-08-18 15:51:23","2020-08-18 15:51:23","Y","N","","CG852"
"Q+EDKVDG","Q+EDKVDE","BDEDBA40","FJUSRAM ","FJUSRAM ","2020-07-19 17:30:43","2020-07-19 17:30:43","Y","N","","CG852"
"Q+EDKVDQ","Q+EDKVDJ","6UE501U6","FJUSRAM ","FJUSRAM ","2020-07-19 17:33:15","2020-07-19 17:33:15","Y","N","","CG852"
"Q+EDKVDO","Q+EDKVDJ","6UE4ZZWB","FJUSRAM ","FJUSRAM ","2020-07-19 17:33:15","2020-07-19 17:33:15","Y","N","","CG852"
"Q+EDKVDR","Q+EDKVDJ","6UE502IL","FJUSRAM ","FJUSRAM ","2020-07-19 17:33:15","2020-07-19 17:33:15","Y","N","","CG852"
"Q+EDKVDP","Q+EDKVDJ","6UE5010J","FJUSRAM ","FJUSRAM ","2020-07-19 17:33:15","2020-07-19 17:33:15","Y","N","","CG852"
"Y5EFF55T","Y5EFF55O","6UE4ZZWB","LIQUSR03","LIQUSR03","2020-08-24 12:30:45","2020-08-24 12:30:45","Y","N","","CG852"
"Y5EFF55V","Y5EFF55O","6UE501U6","LIQUSR03","LIQUSR03","2020-08-24 12:30:45","2020-08-24 12:30:45","Y","N","","CG852"
"Y5EFF55W","Y5EFF55O","6UE502IL","LIQUSR03","LIQUSR03","2020-08-24 12:30:45","2020-08-24 12:30:45","Y","N","","CG852"
"Y5EFF55U","Y5EFF55O","6UE5010J","LIQUSR03","LIQUSR03","2020-08-24 12:30:45","2020-08-24 12:30:45","Y","N","","CG852"
"3ZEFFD2I","3ZEFFD2G","ZXEF80SO","JAQUITAN","JAQUITAN","2020-08-24 14:32:24","2020-08-24 14:32:24","N","N","","CG852"
"3ZEFFD2P","3ZEFFD2K","6UE5010J","JAQUITAN","JAQUITAN","2020-08-24 14:33:36","2020-08-24 14:33:36","Y","N","","CG852"
"(7EFGUED","(7EFGUE5","6UE502IL","CMARTILL","CMARTILL","2020-08-25 10:08:29","2020-08-25 10:08:29","Y","N","","CG852"
"(7EFGUEA","(7EFGUE5","6UE4ZZWB","CMARTILL","CMARTILL","2020-08-25 10:08:29","2020-08-25 10:08:29","Y","N","","CG852"
"(7EFGUEB","(7EFGUE5","6UE5010J","CMARTILL","CMARTILL","2020-08-25 10:08:29","2020-08-25 10:08:29","Y","N","","CG852"
"(7EFGUEC","(7EFGUE5","6UE501U6","CMARTILL","CMARTILL","2020-08-25 10:08:29","2020-08-25 10:08:29","Y","N","","CG852"
"(7EFGXJB","(7EFGXJ4","SIEESUUM","CMARTILL","CMARTILL","2020-08-25 12:07:31","2020-08-25 12:07:31","Y","N","","CG852"
"(7EFGXKR","(7EFGXKK","6UE5010J","CMARTILL","CMARTILL","2020-08-25 12:08:22","2020-08-25 12:08:22","Y","N","","CG852"
"@EEFGY3Z","@EEFGXRH",")?EF897Y","SMANZANO","SMANZANO","2020-08-25 12:19:59","2020-08-25 12:19:59","Y","N","","CG852"
"@EEFGYCG","@EEFGYBR","6UE5010J","SMANZANO","SMANZANO","2020-08-25 12:25:03","2020-08-25 12:25:03","Y","N","","CG852"
"?.EBVNFY","?.EBVNFS","?ZE4CLLI","RPTINPAM","RPTINPAM","2020-06-16 16:36:18","2020-06-16 16:36:18","Y","N","","CG852"
"?.EBVNFX","?.EBVNFS","?ZE4CKZ2","RPTINPAM","RPTINPAM","2020-06-16 16:36:18","2020-06-16 16:36:18","Y","N","","CG852"
"?REBVOYC","?REBVOY4","6UE502IL","RPTINPAM","RPTINPAM","2020-06-16 17:02:33","2020-06-16 17:02:33","Y","N","","CG852"
"?REBVOYB","?REBVOY4","6UE501U6","RPTINPAM","RPTINPAM","2020-06-16 17:02:33","2020-06-16 17:02:33","Y","N","","CG852"
"?REBVOY9","?REBVOY4","6UE4ZZWB","RPTINPAM","RPTINPAM","2020-06-16 17:02:33","2020-06-16 17:02:33","Y","N","","CG852"
"?REBVOYA","?REBVOY4","6UE5010J","RPTINPAM","RPTINPAM","2020-06-16 17:02:33","2020-06-16 17:02:33","Y","N","","CG852"
"?2EBX2RS","?.EBVNFS","?.EBVNFZ","RPTINPAM","RPTINPAM","2020-06-17 10:09:10","2020-06-17 10:09:10","Y","N","","CG852"
"SUEBXOSJ","SUEBXOS7","6UE501U6","RPTINPAM","RPTINPAM","2020-06-17 19:04:19","2020-06-17 19:04:19","Y","N","","CG852"
"SUEBXOSI","SUEBXOS7","6UE5010J","RPTINPAM","RPTINPAM","2020-06-17 19:04:19","2020-06-17 19:04:19","Y","N","","CG852"
"SUEBXOSK","SUEBXOS7","6UE502IL","RPTINPAM","RPTINPAM","2020-06-17 19:04:19","2020-06-17 19:04:19","Y","N","","CG852"
"SUEBXOSH","SUEBXOS7","6UE4ZZWB","RPTINPAM","RPTINPAM","2020-06-17 19:04:19","2020-06-17 19:04:19","Y","N","","CG852"
"SUEBXOU7","SUEBXOU0","?ZE4CKZ2","RPTINPAM","RPTINPAM","2020-06-17 19:05:19","2020-06-17 19:05:19","Y","N","","CG852"
"SUEBXOU9","SUEBXOU0","?.EBVNFZ","RPTINPAM","RPTINPAM","2020-06-17 19:05:19","2020-06-17 19:05:19","Y","N","","CG852"
"SUEBXOU8","SUEBXOU0","?ZE4CLLI","RPTINPAM","RPTINPAM","2020-06-17 19:05:19","2020-06-17 19:05:19","Y","N","","CG852"
".FEF9QTA",".FEF9QT2","6UE502IL","LIQUSR03","LIQUSR03","2020-08-21 14:36:21","2020-08-21 14:36:21","Y","N","","CG852"
".FEF9QT7",".FEF9QT2","6UE4ZZWB","LIQUSR03","LIQUSR03","2020-08-21 14:36:21","2020-08-21 14:36:21","Y","N","","CG852"
".FEF9QT8",".FEF9QT2","6UE5010J","LIQUSR03","LIQUSR03","2020-08-21 14:36:21","2020-08-21 14:36:21","Y","N","","CG852"
".FEF9QT9",".FEF9QT2","6UE501U6","LIQUSR03","LIQUSR03","2020-08-21 14:36:21","2020-08-21 14:36:21","Y","N","","CG852"
".FEF9QTG",".FEF9QTE","SIEESUUM","LIQUSR03","LIQUSR03","2020-08-21 14:38:05","2020-08-21 14:38:05","Y","N","","CG852"
"3PEFFDWQ","3PEFFDWO","JLEFFBJG","LIQUSR03","LIQUSR03","2020-08-24 15:12:16","2020-08-24 15:12:16","N","N","","CG852"
"(7EFGUE3","(7EFGUE1","SIEESUUM","CMARTILL","CMARTILL","2020-08-25 10:06:57","2020-08-25 10:06:57","Y","N","","CG852"
"@-EFH36L","@-EFH36J","ZXEF80SO","JAQUITAN","JAQUITAN","2020-08-25 14:02:51","2020-08-25 14:02:51","N","N","","CG852"
"@-EFH36S","@-EFH36O","Y@EFF0LT","JAQUITAN","JAQUITAN","2020-08-25 14:04:50","2020-08-25 14:04:50","N","N","","CG852"
"@-EFH36R","@-EFH36O","Y@EFF0VN","JAQUITAN","JAQUITAN","2020-08-25 14:04:50","2020-08-25 14:04:50","N","N","","CG852"
"@+EFH6W8","@+EFH6W6","SIEESUUM","LIQUSR03","LIQUSR03","2020-08-25 14:44:56","2020-08-25 14:44:56","Y","N","","CG852"
"@+EFH6WI","@+EFH6WA","6UE502IL","LIQUSR03","LIQUSR03","2020-08-25 14:45:44","2020-08-25 14:45:44","Y","N","","CG852"
"@+EFH6WF","@+EFH6WA","6UE4ZZWB","LIQUSR03","LIQUSR03","2020-08-25 14:45:44","2020-08-25 14:45:44","Y","N","","CG852"
"@+EFH6WH","@+EFH6WA","6UE501U6","LIQUSR03","LIQUSR03","2020-08-25 14:45:44","2020-08-25 14:45:44","Y","N","","CG852"
"@+EFH6WG","@+EFH6WA","6UE5010J","LIQUSR03","LIQUSR03","2020-08-25 14:45:44","2020-08-25 14:45:44","Y","N","","CG852"
"@-EFH79I","@-EFH799","6UE502IL","JAQUITAN","JAQUITAN","2020-08-25 15:37:33","2020-08-25 15:37:33","Y","N","","CG852"
"@-EFH79G","@-EFH799","6UE5010J","JAQUITAN","JAQUITAN","2020-08-25 15:37:33","2020-08-25 15:37:33","Y","N","","CG852"
"@-EFH79F","@-EFH799","6UE4ZZWB","JAQUITAN","JAQUITAN","2020-08-25 15:37:33","2020-08-25 15:37:33","Y","N","","CG852"
"@-EFH79H","@-EFH799","6UE501U6","JAQUITAN","JAQUITAN","2020-08-25 15:37:33","2020-08-25 15:37:33","Y","N","","CG852"
"@+EFH9OP","@+EFH9OI","6UE501U6","LIQUSR03","LIQUSR03","2020-08-25 16:04:07","2020-08-25 16:04:07","Y","N","","CG852"
"!:EG54WN","!:EG54WK","1DEFIYNY","INPDEL01","INPDEL01","2020-09-07 12:38:12","2020-09-07 12:38:12","N","N","",""
"!:EG581E","!:EG581B","1DEFIYNY","INPDEL01","INPDEL01","2020-09-07 14:58:08","2020-09-07 14:58:08","N","N","",""
"POEG59HY","POEG59HV","1DEFIYNY","INPDEL01","INPDEL01","2020-09-07 15:26:45","2020-09-07 15:26:45","N","N","",""
"Z.EG7JTB","Z.EG7JT8","FREG780S","INPAMT01","INPAMT01","2020-09-08 19:36:17","2020-09-08 19:36:17","N","N","",""
"EYEG9DHV","EYEG9DHT","CAEFH8CC","MGRROS01","MGRROS01","2020-09-09 20:46:40","2020-09-09 20:46:40","Y","N","",""
"EYEG9EB4","EYEG9EAO","CAEFH8CC","MGRROS01","MGRROS01","2020-09-09 21:04:25","2020-09-09 21:04:25","Y","N","",""
"EYEG9EXW","EYEG9EXU","CAEFH8CC","MGRROS01","MGRROS01","2020-09-09 21:17:58","2020-09-09 21:17:58","Y","N","",""
"EYEG9F1L","EYEG9F1D","JLEFFBJG","MGRROS01","MGRROS01","2020-09-09 21:20:18","2020-09-09 21:20:18","N","N","",""
"EYEG9F5D","EYEG9F51","Y@EFF0VN","MGRROS01","MGRROS01","2020-09-09 21:22:34","2020-09-09 21:22:34","N","N","",""
"IREFMDJ9","IREFMDFG","6UE501U6","SMANZANO","SMANZANO","2020-08-28 10:41:28","2020-08-28 10:41:28","Y","N","","CG852"
"IREFMDJ8","IREFMDFG","6UE5010J","SMANZANO","SMANZANO","2020-08-28 10:41:28","2020-08-28 10:41:28","Y","N","","CG852"
"IREFMDJA","IREFMDFG","6UE502IL","SMANZANO","SMANZANO","2020-08-28 10:41:28","2020-08-28 10:41:28","Y","N","","CG852"
"IREFMDJ7","IREFMDFG","6UE4ZZWB","SMANZANO","SMANZANO","2020-08-28 10:41:28","2020-08-28 10:41:28","Y","N","","CG852"
"#!EFTROR","#!EFTROP","SIEESUUM","CMARTILL","CMARTILL","2020-09-01 09:28:41","2020-09-01 09:28:41","Y","N","","CG852"
"#!EFTRP1","#!EFTROT","6UE502IL","CMARTILL","CMARTILL","2020-09-01 09:31:03","2020-09-01 09:31:03","Y","N","","CG852"
"#!EFTROZ","#!EFTROT","6UE5010J","CMARTILL","CMARTILL","2020-09-01 09:31:03","2020-09-01 09:31:03","Y","N","","CG852"
"#!EFTRP0","#!EFTROT","6UE501U6","CMARTILL","CMARTILL","2020-09-01 09:31:03","2020-09-01 09:31:03","Y","N","","CG852"
"#!EFTROY","#!EFTROT","6UE4ZZWB","CMARTILL","CMARTILL","2020-09-01 09:31:03","2020-09-01 09:31:03","Y","N","","CG852"
":=EFW5TY",":=EFW5TV","FPE4MRO4","LIQUSR03","LIQUSR03","2020-09-02 16:04:50","2020-09-02 16:04:50","Y","N","","CG852"
":=EFW5TZ",":=EFW5TV","FPE4MROR","LIQUSR03","LIQUSR03","2020-09-02 16:04:50","2020-09-02 16:04:50","Y","N","","CG852"
":=EFW5XI",":=EFW5TV",":;EFW3ZZ","LIQUSR03","LIQUSR03","2020-09-02 16:05:42","2020-09-02 16:05:42","Y","N","","CG852"
"!:EG54PW","!:EG54PT","1DEFIYNY","INPDEL01","INPDEL01","2020-09-07 12:33:07","2020-09-07 12:33:07","N","N","",""
"FVEG7FRX","FVEG7FRU","FREG780S","INPAMT01","INPAMT01","2020-09-08 18:40:51","2020-09-08 18:40:51","N","N","",""
"EYEG9FEI","EYEG9FEC","CAEFH8CC","MGRROS01","MGRROS01","2020-09-09 21:28:03","2020-09-09 21:28:03","Y","N","",""
"EYEG9FIE","EYEG9FHZ","Y@EFF0VN","MGRROS01","MGRROS01","2020-09-09 21:30:23","2020-09-09 21:30:23","N","N","",""
"EYEG9FMA","EYEG9FLV","JLEFFBJG","MGRROS01","MGRROS01","2020-09-09 21:32:43","2020-09-09 21:32:43","N","N","",""
"E6EGAGCU","E6EGAGCS","CAEFH8CC","INPROS01","INPROS01","2020-09-10 09:27:36","2020-09-10 09:27:36","Y","N","",""
"E6EGAGCZ","E6EGAGCV","JLEFFBJG","INPROS01","INPROS01","2020-09-10 09:29:47","2020-09-10 09:29:47","N","N","",""
"E6EGAGM4","E6EGAGM2","CAEFH8CC","INPROS01","INPROS01","2020-09-10 09:47:35","2020-09-10 09:47:35","Y","N","",""
"E6EGAGM9","E6EGAGM5","JLEFFBJG","INPROS01","INPROS01","2020-09-10 09:49:47","2020-09-10 09:49:47","N","N","",""
"E6EGAGMD","E6EGAGMA","Y@EFF0VN","INPROS01","INPROS01","2020-09-10 09:51:59","2020-09-10 09:51:59","N","N","",""
"E6EGAGUQ","E6EGAGUM","JLEFFBJG","INPROS01","INPROS01","2020-09-10 10:05:38","2020-09-10 10:05:38","N","N","",""
"E6EGAGUU","E6EGAGUR","Y@EFF0VN","INPROS01","INPROS01","2020-09-10 10:07:54","2020-09-10 10:07:54","N","N","",""
"E6EGAHBI","E6EGAHBF","Y@EFF0VN","INPROS01","INPROS01","2020-09-10 11:02:15","2020-09-10 11:02:15","N","N","",""
"E6EGAI9I","E6EGAI93","CAEFH8CC","INPROS01","INPROS01","2020-09-10 11:27:32","2020-09-10 11:27:32","Y","N","",""
"E6EGAID9","E6EGAICS","JLEFFBJG","INPROS01","INPROS01","2020-09-10 11:29:46","2020-09-10 11:29:46","N","N","",""
"E6EGAIH1","E6EGAIGK","Y@EFF0VN","INPROS01","INPROS01","2020-09-10 11:32:02","2020-09-10 11:32:02","N","N","",""
"YPEGCMGE","YPEGCMGC","CAEFH8CC","INPROS01","INPROS01","2020-09-11 14:12:34","2020-09-11 14:12:34","Y","N","",""
"YPEGCMGJ","YPEGCMGF","JLEFFBJG","INPROS01","INPROS01","2020-09-11 14:15:00","2020-09-11 14:15:00","N","N","",""
"Y0EGCTCP","Y0EGCTCM","Y@EFF0VN","INPROS01","INPROS01","2020-09-11 16:30:12","2020-09-11 16:30:12","N","N","",""
"Y0EGCTLW","Y0EGCTLS","JLEFFBJG","INPROS01","INPROS01","2020-09-11 16:41:33","2020-09-11 16:41:33","N","N","",""
"Y0EGCT0Z","Y0EGCT0W","Y@EFF0VN","INPROS01","INPROS01","2020-09-11 16:08:28","2020-09-11 16:08:28","N","N","",""
"Y0EGCTCL","Y0EGCTCH","JLEFFBJG","INPROS01","INPROS01","2020-09-11 16:28:00","2020-09-11 16:28:00","N","N","",""
"IREFMDCB","IREFMDBX",")?EF897Y","SMANZANO","SMANZANO","2020-08-28 10:37:16","2020-08-28 10:37:16","Y","N","","CG852"
"E6EGAGUL","E6EGAGUJ","CAEFH8CC","INPROS01","INPROS01","2020-09-10 10:03:24","2020-09-10 10:03:24","Y","N","",""
"E6EGAH1Z","E6EGAH1X","CAEFH8CC","INPROS01","INPROS01","2020-09-10 10:35:54","2020-09-10 10:35:54","Y","N","",""
"E6EGAH24","E6EGAH20","JLEFFBJG","INPROS01","INPROS01","2020-09-10 10:38:06","2020-09-10 10:38:06","N","N","",""
"E6EGAH28","E6EGAH25","Y@EFF0VN","INPROS01","INPROS01","2020-09-10 10:40:19","2020-09-10 10:40:19","N","N","",""
"E6EGAHB9","E6EGAHB7","CAEFH8CC","INPROS01","INPROS01","2020-09-10 10:57:48","2020-09-10 10:57:48","Y","N","",""
"E6EGAHBE","E6EGAHBA","JLEFFBJG","INPROS01","INPROS01","2020-09-10 11:00:02","2020-09-10 11:00:02","N","N","",""
"E6EGAIXU","E6EGAIXS","CAEFH8CC","INPROS01","INPROS01","2020-09-10 11:41:50","2020-09-10 11:41:50","Y","N","",""
"E6EGAJ12","E6EGAJ0M","JLEFFBJG","INPROS01","INPROS01","2020-09-10 11:44:03","2020-09-10 11:44:03","N","N","",""
"Y0EGCTCG","Y0EGCTCE","CAEFH8CC","INPROS01","INPROS01","2020-09-11 16:25:47","2020-09-11 16:25:47","Y","N","",""
"Y0EGCTLR","Y0EGCTLP","CAEFH8CC","INPROS01","INPROS01","2020-09-11 16:39:23","2020-09-11 16:39:23","Y","N","",""
"Y0EGCTM0","Y0EGCTLX","Y@EFF0VN","INPROS01","INPROS01","2020-09-11 16:43:49","2020-09-11 16:43:49","N","N","",""
"Y0EGCTT7","Y0EGCTT5","CAEFH8CC","INPROS01","INPROS01","2020-09-11 16:49:12","2020-09-11 16:49:12","Y","N","",""
"Y0EGCTTC","Y0EGCTT8","JLEFFBJG","INPROS01","INPROS01","2020-09-11 16:51:27","2020-09-11 16:51:27","N","N","",""
"Y0EGCTTG","Y0EGCTTD","Y@EFF0VN","INPROS01","INPROS01","2020-09-11 16:53:38","2020-09-11 16:53:38","N","N","",""
"P;EG5AWE","P;EG5AWB","1DEFIYNY","INPDEL01","INPDEL01","2020-09-07 15:42:12","2020-09-07 15:42:12","N","N","",""
"ZAEG7H3G","ZAEG7H3D","FREG780S","INPAMT01","INPAMT01","2020-09-08 18:58:59","2020-09-08 18:58:59","N","N","",""
"ZKEG7IHZ","ZKEG7IHW","FREG780S","INPAMT01","INPAMT01","2020-09-08 19:17:27","2020-09-08 19:17:27","N","N","",""
"E6EGAJ4R","E6EGAJ4B","Y@EFF0VN","INPROS01","INPROS01","2020-09-10 11:46:16","2020-09-10 11:46:16","N","N","",""
"YPEGCMGN","YPEGCMGK","Y@EFF0VN","INPROS01","INPROS01","2020-09-11 14:17:24","2020-09-11 14:17:24","N","N","",""
"Y0EGCT0Q","Y0EGCT0O","CAEFH8CC","INPROS01","INPROS01","2020-09-11 16:04:07","2020-09-11 16:04:07","Y","N","",""
"Y0EGCT0V","Y0EGCT0R","JLEFFBJG","INPROS01","INPROS01","2020-09-11 16:06:17","2020-09-11 16:06:17","N","N","",""
"B#EGM292","9ZEF82FZ","B3EGLYTT","JAQUITAN","JAQUITAN","2020-09-16 16:21:25","2020-09-16 16:21:25","Y","N","","CG852"
"B+EGM8NW","S#EESVQC","-BEGLZ8K","CMARTILL","CMARTILL","2020-09-16 19:32:10","2020-09-16 19:32:10","N","N","","CG852"
"+OEH9ZET","+OEH9ZEQ","ZXEF80SO","JAQUITAN","JAQUITAN","2020-09-29 14:21:08","2020-09-29 14:21:08","N","N","","CG852"
"+OEH9ZEU","+OEH9ZEQ","B3EGLYTT","JAQUITAN","JAQUITAN","2020-09-29 14:21:08","2020-09-29 14:21:08","Y","N","","CG852"
"-BEGM1BD","S#EESVQG","-#EGLVFD","CMARTILL","CMARTILL","2020-09-16 16:41:44","2020-09-16 16:41:44","Y","N","","CG852"
"-BEGM199","S#EESVQG","-#EGLU0B","CMARTILL","CMARTILL","2020-09-16 16:38:30","2020-09-16 16:38:30","Y","N","","CG852"
"-BEGM1A1","S#EESVQG","-#EGLUQP","CMARTILL","CMARTILL","2020-09-16 16:40:25","2020-09-16 16:40:25","Y","N","","CG852"
