"GA2_RID_FG2_ASSOC","GA2_TID_TABLE_ID","GA2_CDE_FKEY1","GA2_CDE_FKEY2","GA2_CDE_FKEY3","GA2_IND_ACTIVE","GA2_IND_MAY_DEACT","GA2_TSP_REC_CREATE","GA2_TSP_REC_UPDATE","GA2_UID_REC_CREATE","GA2_UID_REC_UPDATE"
"WIB4AI4Y","CPF","EUR  ","GBP  ","EUROP","N","Y","2014-04-22 16:07:56","2019-04-03 23:22:52","LOANIQ01","LS2BATCH"
"WIB4AI5B","CPF","EUR  ","JPY  ","EUROP","N","Y","2014-04-22 16:08:10","2019-04-03 23:22:52","LOANIQ01","LS2BATCH"
"WIB4AI5W","CPF","EUR  ","CAD  ","EUROP","N","Y","2014-04-22 16:08:32","2019-04-03 23:22:52","LOANIQ01","LS2BATCH"
"WIB4AI6C","CPF","EUR  ","AUD  ","EUROP","N","Y","2014-04-22 16:08:51","2019-04-03 23:22:52","LOANIQ01","LS2BATCH"
"WIB4AI6W","CPF","EUR  ","NZD  ","EUROP","N","Y","2014-04-22 16:09:07","2019-04-03 23:22:52","LOANIQ01","LS2BATCH"
"WIB4AI7B","CPF","EUR  ","CHF  ","EUROP","N","Y","2014-04-22 16:09:27","2019-04-03 23:22:52","LOANIQ01","LS2BATCH"
"WIB4AI7U","CPF","EUR  ","SGD  ","EUROP","N","Y","2014-04-22 16:09:41","2019-04-03 23:22:52","LOANIQ01","LS2BATCH"
"WIB4AI8A","CPF","EUR  ","HKD  ","EUROP","N","Y","2014-04-22 16:09:57","2019-04-03 23:22:52","LOANIQ01","LS2BATCH"
"(JDP95P4","PMS","RTGS ","","MANL ","Y","Y","2019-04-03 23:22:54","2019-04-03 23:22:54","LS2BATCH","LS2BATCH"
"(JDP95P8","PMS","IMT  ","","MANL ","Y","Y","2019-04-03 23:22:54","2019-04-03 23:22:54","LS2BATCH","LS2BATCH"
"(JDP95PC","PMS","SPV  ","","MANL ","N","Y","2019-04-03 23:22:54","2019-04-03 23:22:54","LS2BATCH","LS2BATCH"
"$VEJ4KEU","CPF","GBP  ","AUD  ","GBP  ","Y","Y","2020-11-04 09:55:14","2020-11-04 09:55:14","FOULISTR","FOULISTR"
"$VEJ4KEW","CPF","GBP  ","EUR  ","GBP  ","Y","Y","2020-11-04 09:55:48","2020-11-04 09:55:48","FOULISTR","FOULISTR"
"$VEJ4KEY","CPF","GBP  ","CAD  ","GBP  ","Y","Y","2020-11-04 09:56:01","2020-11-04 09:56:01","FOULISTR","FOULISTR"
"$VEJ4KF0","CPF","GBP  ","CNH  ","GBP  ","Y","Y","2020-11-04 09:56:25","2020-11-04 09:56:25","FOULISTR","FOULISTR"
"$VEJ4KF2","CPF","GBP  ","CNY  ","GBP  ","Y","Y","2020-11-04 09:56:40","2020-11-04 09:56:40","FOULISTR","FOULISTR"
"$VEJ4KF4","CPF","GBP  ","CZK  ","GBP  ","Y","Y","2020-11-04 09:56:55","2020-11-04 09:56:55","FOULISTR","FOULISTR"
"$VEJ4KF6","CPF","GBP  ","DKK  ","GBP  ","Y","Y","2020-11-04 09:57:09","2020-11-04 09:57:09","FOULISTR","FOULISTR"
"$VEJ4KF8","CPF","GBP  ","HKD  ","GBP  ","Y","Y","2020-11-04 09:57:25","2020-11-04 09:57:25","FOULISTR","FOULISTR"
"$VEJ4KFA","CPF","GBP  ","IDR  ","GBP  ","Y","Y","2020-11-04 09:57:40","2020-11-04 09:57:40","FOULISTR","FOULISTR"
"$VEJ4KFC","CPF","GBP  ","JPY  ","GBP  ","Y","Y","2020-11-04 09:58:00","2020-11-04 09:58:00","FOULISTR","FOULISTR"
"$VEJ4KFE","CPF","GBP  ","MXN  ","GBP  ","Y","Y","2020-11-04 09:58:23","2020-11-04 09:58:23","FOULISTR","FOULISTR"
"$VEJ4KFG","CPF","GBP  ","NZD  ","GBP  ","Y","Y","2020-11-04 09:58:39","2020-11-04 09:58:39","FOULISTR","FOULISTR"
"$VEJ4KFI","CPF","GBP  ","NOK  ","GBP  ","Y","Y","2020-11-04 09:58:52","2020-11-04 09:58:52","FOULISTR","FOULISTR"
"$VEJ4KFK","CPF","GBP  ","SGD  ","GBP  ","Y","Y","2020-11-04 09:59:14","2020-11-04 09:59:14","FOULISTR","FOULISTR"
"$VEJ4KFM","CPF","GBP  ","ZAR  ","GBP  ","Y","Y","2020-11-04 09:59:30","2020-11-04 09:59:30","FOULISTR","FOULISTR"
"$VEJ4KFO","CPF","GBP  ","SEK  ","GBP  ","Y","Y","2020-11-04 09:59:45","2020-11-04 09:59:45","FOULISTR","FOULISTR"
"$VEJ4KFQ","CPF","GBP  ","CHF  ","GBP  ","Y","Y","2020-11-04 10:00:02","2020-11-04 10:00:02","FOULISTR","FOULISTR"
"$VEJ4KFS","CPF","GBP  ","THB  ","GBP  ","Y","Y","2020-11-04 10:00:18","2020-11-04 10:00:18","FOULISTR","FOULISTR"
"$VEJ4KFU","CPF","GBP  ","USD  ","GBP  ","Y","Y","2020-11-04 10:00:35","2020-11-04 10:00:35","FOULISTR","FOULISTR"
