CCY_CDE_CURRENCY,CCY_DSC_CURRENCY,CCY_IND_ACTIVE,CCY_IND_MAY_DEACT,CCY_UID_REC_CREATE,CCY_UID_REC_UPDATE,CCY_TSP_REC_CREATE,CCY_TSP_REC_UPDATE,CCY_IND_WELL_KNOWN,CCY_CDE_DFLT_RT_BS,CCY_AMT_OFF_CYCDUE,CCY_AMT_NEGACC_THD,CCY_NUM_PRECISION,CCY_AMT_AMORT_THD,CCY_AMT_COLLAT_THD,CCY_AMT_OVRSHT_THD,CCY_AMT_DISC_MAX,CCY_AMT_PRORAT_DIF,CCY_RTE_MAX_RATE,CCY_NUM_CR_ADVDAY,CCY_NUM_DB_ADVDAY,CCY_CDE_CALENDAR
AED,"United Arab Emirates Dirham   ",N,Y,LS2BATCH,LS2BATCH,1993-03-10 09:09:47,2019-04-03 23:15:25,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
ARP,"Argentinian Peso              ",N,Y,LS2BATCH,LS2BATCH,1993-03-10 09:09:47,2019-04-03 23:15:25,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
ATS,"Austrian Schilling            ",N,Y,LS2BATCH,LOANIQ01,1993-03-10 09:09:47,2014-04-11 17:49:54,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
AUD,"Australian Dollar             ",Y,Y,LS2BATCH,"GIBLINC ",1993-03-10 09:09:47,2019-04-04 17:00:41,Y,"G365 ",1,1,2,0,0,1,0.1,1,0.25,0,0,
BEF,"Belgium Franc                 ",N,Y,LS2BATCH,LOANIQ01,1993-03-10 09:09:47,2014-04-11 17:51:25,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
BHD,"Bahrain Dinar                 ",N,Y,LS2BATCH,LS2BATCH,1993-03-10 09:09:47,2019-04-03 23:15:25,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
BRC,"Brazil Cruzeiro               ",N,Y,LS2BATCH,LOANIQ01,1993-03-10 09:09:47,2014-04-11 17:27:12,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
CAD,"Canadian Dollar               ",Y,Y,LS2BATCH,"GIBLINC ",1993-03-10 09:09:47,2019-04-04 17:02:09,N,"BANK ",1,1,2,0,0,1,0.1,1,0.25,0,0,
CHF,"Swiss Franc                   ",Y,Y,LS2BATCH,"GIBLINC ",1993-03-10 09:09:47,2019-04-04 17:03:50,N,"BANK ",1,1,2,0,0,1,0.1,1,0.25,0,0,
CLP,"Chile Escudo                  ",N,Y,LS2BATCH,LS2BATCH,1993-03-10 09:09:47,2019-04-03 23:15:26,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
CNY,"Chinese Yuan Renminbi-Onshore ",Y,Y,LS2BATCH,"GIBLINC ",1993-03-10 09:09:47,2019-04-04 17:07:22,N,"BANK ",1,1,2,0,0,1,0.1,1,0.25,0,0,
COP,"Colombian Peso                ",N,Y,LS2BATCH,LS2BATCH,1993-03-10 09:09:47,2019-04-03 23:15:26,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
CSK,"Czechoslovak. Koruna          ",N,Y,LS2BATCH,LS2BATCH,1993-03-10 09:09:47,2019-04-03 23:15:26,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
DEM,"Deutsche Mark                 ",N,Y,LS2BATCH,LOANIQ01,1993-03-10 09:09:47,2014-04-11 17:50:26,Y,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
DKK,"Danish Krone                  ",Y,Y,LS2BATCH,"GIBLINC ",1993-03-10 09:09:47,2019-04-04 17:10:33,N,"BANK ",1,1,2,0,0,1,0.1,1,0.25,0,0,
DTG,"Dutch Guilder                 ",N,Y,LS2BATCH,LOANIQ01,1995-08-18 09:15:25,2014-04-11 17:50:55,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
ECS,"Ecuador Sucre                 ",N,Y,LS2BATCH,LS2BATCH,1993-03-10 09:09:47,2019-04-03 23:15:26,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
ESP,"Spanish Peseta                ",N,Y,LS2BATCH,LOANIQ01,1993-03-10 09:09:47,2014-04-11 17:51:59,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
EUR,"Euro                          ",Y,Y,LS2BATCH,"GIBLINC ",1999-04-12 12:40:35,2019-04-04 17:11:55,Y,"BANK ",1,1,2,0,0,1,0.1,1,0.25,0,0,
FIM,"Finland Markka                ",N,Y,LS2BATCH,LOANIQ01,1993-03-10 09:09:47,2014-04-11 17:52:27,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
FRF,"French Franc                  ",N,Y,LS2BATCH,LOANIQ01,1993-03-10 09:09:47,2014-04-11 17:52:54,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
GBP,"British Pound                 ",Y,Y,LS2BATCH,"GIBLINC ",1993-03-10 09:09:47,2019-04-04 17:12:26,Y,"G365 ",1,1,2,0,0,1,0.1,1,0.25,0,0,
GRD,"Greek Drachma                 ",N,Y,LS2BATCH,LOANIQ01,1993-03-10 09:09:47,2014-04-11 17:53:26,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
HKD,"Hong Kong Dollar              ",Y,Y,LS2BATCH,"GIBLINC ",1993-03-10 09:09:47,2019-04-04 17:12:54,N,"BANK ",1,1,2,0,0,1,0.1,1,0.25,0,0,
HUF,"Hungary Forint                ",N,Y,LS2BATCH,LS2BATCH,1993-03-10 09:09:47,2019-04-03 23:15:27,N,"BANK ",1,1,2,25,0,1,0.1,1,0.25,0,0,
