"SIC_CDE_SIC","SIC_CDE_COUNTRY","SIC_DSC_SIC","SIC_CDE_CPIC","SIC_IND_ACTIVE","SIC_IND_MAY_DEACT","SIC_UID_REC_CREATE","SIC_UID_REC_UPDATE","SIC_TSP_REC_CREATE","SIC_TSP_REC_UPDATE","SIC_CDE_SIC_MAP","SIC_IND_1098_ELIG"
"326150    ","NS","Urethane and Other Foam Product (except Polystyren","1205 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:53","12   ","N"
"326160    ","NS","Plastics Bottle Manufacturing                     ","1401 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:53","14   ","N"
"326191    ","NS","Plastics Plumbing Fixture Manufacturing           ","1801 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:54","18   ","N"
"326195    ","NS","Resilient Floor Covering Manufacturing            ","1801 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:54","18   ","N"
"326199    ","NS","All Other Plastics Product Manufacturing          ","1202 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:54","12   ","N"
"326211    ","NS","Tire Manufacturing (except Retreading)            ","3002 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:54","30   ","N"
"326212    ","NS","Tire Retreading                                   ","8201 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:54","82   ","N"
"326220    ","NS","Rubber and Plastics Hoses and Belting Manufacturin","2205 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:54","22   ","N"
"326291    ","NS","Rubber Product Manufacturing for Mechanical Use   ","1202 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:54","12   ","N"
"326299    ","NS","All Other Rubber Product Manufacturing            ","1202 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:54","12   ","N"
"327115    ","NS","China & Earthenware Plumbing & Bath Mfg           ","1801 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:54","18   ","N"
"327116    ","NS","Porcelain Electrical Supply Manufacturing         ","1801 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:54","18   ","N"
"327117    ","NS","China Earthenware & Other Pottery Mfg             ","3207 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:54","32   ","N"
"327120    ","NS","Clay Building Material and Refractories Manufactur","1301 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:54","13   ","N"
"327211    ","NS","Flat Glass Manufacturing                          ","1301 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:54","13   ","N"
"327212    ","NS","Other Pressed and Blown Glass and Glassware Manufa","1301 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:54","13   ","N"
"327213    ","NS","Glass Container Manufacturing                     ","1401 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:55","14   ","N"
"327215    ","NS","Glass Product Manufacturing Made of Purchased Glas","1301 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:55","13   ","N"
"327310    ","NS","Cement Manufacturing                              ","1301 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:55","13   ","N"
"327320    ","NS","Ready-Mix Concrete Manufacturing                  ","1301 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:55","13   ","N"
"327331    ","NS","Concrete Block and Brick Manufacturing            ","1301 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:55","13   ","N"
"327332    ","NS","Concrete Pipe Manufacturing                       ","1301 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:55","13   ","N"
"327390    ","NS","Other Concrete Product Manufacturing              ","1301 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:55","13   ","N"
"327410    ","NS","Lime Manufacturing                                ","1301 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:55","13   ","N"
"327420    ","NS","Gypsum Product Manufacturing                      ","1301 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:55","13   ","N"
"327910    ","NS","Abrasive Product Manufacturing                    ","1801 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:55","18   ","N"
"327991    ","NS","Cut Stone and Stone Product Manufacturing         ","1301 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:55","13   ","N"
"327992    ","NS","Ground or Treated Mineral and Earth Manufacturing ","1301 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:55","13   ","N"
"327993    ","NS","Mineral Wool and Insulation Manufacturing         ","1801 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:56","18   ","N"
"327999    ","NS","All Other Miscellaneous Nonmetallic Mineral Produc","1801 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:56","18   ","N"
"331110    ","NS","Iron and Steel Mills and Ferroalloy Manufacturing ","1509 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:56","15   ","N"
"331210    ","NS","Iron and Steel Pipes and Tubes Manufacturing from ","1509 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:56","15   ","N"
"331221    ","NS","Rolled Steel Shape Manufacturing                  ","1509 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:56","15   ","N"
"331222    ","NS","Steel Wire Drawing                                ","1509 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:56","15   ","N"
"331313    ","NS","Alumina Refining and Primary Aluminum Production  ","1501 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:56","15   ","N"
"331314    ","NS","Secondary Smelting and Alloying of Aluminum       ","1501 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:56","15   ","N"
"331315    ","NS","Aluminum Sheet Plate and Foil Manufacturing       ","1501 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:56","15   ","N"
"331318    ","NS","Other Aluminum Rolling Drawing and Extruding      ","1501 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:56","15   ","N"
"331410    ","NS","Nonferrous Metal (except Aluminum) Smelting and Re","1504 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:56","15   ","N"
"331420    ","NS","Copper Rolling Drawing Extruding and Alloying     ","1504 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:56","15   ","N"
"331491    ","NS","Nonferrous Metal (excluding Copper and Aluminum) R","1504 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:56","15   ","N"
"331492    ","NS","Secondary Smelting Refining and Alloying of Nonf  ","1504 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:56","15   ","N"
"321114    ","NS","Wood Preservation                                 ","1601 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:47","16   ","N"
"321211    ","NS","Hardwood Veneer and Plywood Manufacturing         ","1601 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:47","16   ","N"
"321212    ","NS","Softwood Veneer and Plywood Manufacturing         ","1601 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:47","16   ","N"
"321213    ","NS","Engineered Wood Member (except Truss) Manufacturin","1601 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:47","16   ","N"
"321214    ","NS","Truss Manufacturing                               ","1601 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:47","16   ","N"
"321219    ","NS","Reconstituted Wood Product Manufacturing          ","1601 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:47","16   ","N"
"321911    ","NS","Wood Window and Door Manufacturing                ","1601 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:48","16   ","N"
"321912    ","NS","Cut Stock Resawing Lumber and Planing             ","1601 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:48","16   ","N"
"321918    ","NS","Other Millwork (including Flooring)               ","1601 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:48","16   ","N"
"321920    ","NS","Wood Container and Pallet Manufacturing           ","1601 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:48","16   ","N"
"321991    ","NS","Manufactured Home (Mobile Home)  Manufacturing    ","3203 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:48","32   ","N"
"321992    ","NS","Prefabricated Wood Building Manufacturing         ","1601 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:48","16   ","N"
"321999    ","NS","All Other Miscellaneous Wood Product Manufacturing","1601 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:48","16   ","N"
"322101    ","NS","Diversified Paper Products                        ","1602 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:49","16   ","N"
"322110    ","NS","Pulp Mills                                        ","1602 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:49","16   ","N"
"322121    ","NS","Paper (except Newsprint) Mills                    ","1602 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:49","16   ","N"
"322122    ","NS","Newsprint Mills                                   ","1602 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:49","16   ","N"
"322130    ","NS","Paperboard Mills                                  ","1602 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:49","16   ","N"
"322211    ","NS","Corrugated and Solid Fiber Box Manufacturing      ","1402 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:49","14   ","N"
"322212    ","NS","Folding Paperboard Box Manufacturing              ","1402 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:49","14   ","N"
"322219    ","NS","Other Paperboard Container Manufacturing          ","1402 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:49","14   ","N"
"322220    ","NS","Paper Bag & Coated & Treated Paper Mfg            ","1402 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:49","14   ","N"
"322227    ","NS","Coated and Laminated Paper Manufacturing          ","1602 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:49","16   ","N"
"322228    ","NS","Surface-Coated Paperboard Manufacturing           ","1602 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:49","16   ","N"
"322230    ","NS","Stationery Product Manufacturing                  ","2414 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:49","24   ","N"
"322291    ","NS","Sanitary Paper Product Manufacturing              ","4602 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:50","46   ","N"
"322299    ","NS","All Other Converted Paper Product Manufacturing   ","1602 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:50","16   ","N"
"323111    ","NS","Commercial Printing (except Screen and Books)     ","2401 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:50","24   ","N"
"323113    ","NS","Commercial Screen Printing                        ","2401 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:50","24   ","N"
"323117    ","NS","Book Printing                                     ","2401 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:50","24   ","N"
"323120    ","NS","Support Activities for Printing                   ","2401 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:50","24   ","N"
"324110    ","NS","Petroleum Refineries                              ","1103 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:50","11   ","N"
"324121    ","NS","Asphalt Paving Mixture and Block Manufacturing    ","1801 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:50","18   ","N"
"324122    ","NS","Asphalt Shingle and Coating Materials Manufacturin","1801 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:50","18   ","N"
"324191    ","NS","Petroleum Lubricating Oil and Grease Manufacturing","1103 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:50","11   ","N"
"324199    ","NS","All Other Petroleum and Coal Products Manufacturin","1103 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:50","11   ","N"
"325101    ","NS","Diversified Chemicals and Plastics Manufacturing  ","1202 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:50","12   ","N"
"325110    ","NS","Petrochemical Manufacturing                       ","1201 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:50","12   ","N"
"325120    ","NS","Industrial Gas Manufacturing                      ","1204 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:50","12   ","N"
"325130    ","NS","Synthetic Dye and Pigment Manufacturing           ","1205 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:51","12   ","N"
"325180    ","NS","Other Basic Inorganic Chemical Manufacturing      ","1205 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:51","12   ","N"
"325193    ","NS","Ethyl Alcohol Manufacturing                       ","1205 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:51","12   ","N"
"325194    ","NS","Cyclic Crude Int. & Gum & Wood Chem Mfg           ","1205 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:51","12   ","N"
"325199    ","NS","All Other Basic Organic Chemical Manufacturing    ","1205 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:51","12   ","N"
"325211    ","NS","Plastics Material and Resin Manufacturing         ","1201 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:51","12   ","N"
"325212    ","NS","Synthetic Rubber Manufacturing                    ","1201 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:51","12   ","N"
"325220    ","NS","Artificial and Synthetic Fibers and Filaments Manu","1205 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:51","12   ","N"
"325311    ","NS","Nitrogenous Fertilizer Manufacturing              ","1203 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:51","12   ","N"
"325312    ","NS","Phosphatic Fertilizer Manufacturing               ","1203 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:51","12   ","N"
"325314    ","NS","Fertilizer (Mixing Only) Manufacturing            ","1203 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:51","12   ","N"
"325320    ","NS","Pesticide and Other Agricultural Chemical Manufact","1203 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:51","12   ","N"
"325401    ","NS","Biotechnology-Medical                             ","5001 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:51","50   ","N"
"325402    ","NS","Specialty Pharmaceutical Manufacturing            ","5003 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:52","50   ","N"
"325403    ","NS","Generic Drug Manufacturing                        ","5003 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:52","50   ","N"
"325411    ","NS","Medicinal and Botanical Manufacturing             ","5001 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:52","50   ","N"
"325412    ","NS","Pharmaceutical Preparation Manufacturing          ","5002 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:52","50   ","N"
"325413    ","NS","In-Vitro Diagnostic Substance Manufacturing       ","5003 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:52","50   ","N"
"325414    ","NS","Biological Product (except Diagnostic) Manufacturi","5001 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:52","50   ","N"
"325510    ","NS","Paint and Coating Manufacturing                   ","1205 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:52","12   ","N"
"311513    ","NS","Cheese Manufacturing                              ","4403 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:40","44   ","N"
"311514    ","NS","Dry Condensed and Evaporated Dairy Product Manuf  ","4403 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:40","44   ","N"
"311520    ","NS","Ice Cream and Frozen Dessert Manufacturing        ","4403 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:40","44   ","N"
"311611    ","NS","Animal (except Poultry) Slaughtering              ","4403 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:40","44   ","N"
"311612    ","NS","Sausages and Other Processed Meats                ","4403 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:40","44   ","N"
"311613    ","NS","Rendering and Meat Byproduct Processing           ","4403 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:41","44   ","N"
"311615    ","NS","Poultry Processing                                ","4411 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:41","44   ","N"
"311710    ","NS","Seafood Product Preparation and Packaging         ","4411 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:41","44   ","N"
"311811    ","NS","Retail Bakeries                                   ","4203 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:41","42   ","N"
"311812    ","NS","Commercial Bakeries                               ","4415 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:41","44   ","N"
"311813    ","NS","Frozen Cakes Pies and Other Pastries Manufacturi  ","4415 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:41","44   ","N"
"311821    ","NS","Cookie and Cracker Manufacturing                  ","4415 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:41","44   ","N"
"311824    ","NS","Dry Pasta Dough & Flour Mixes Mfg                 ","4415 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:41","44   ","N"
"311830    ","NS","Tortilla Manufacturing                            ","4415 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:41","44   ","N"
"311901    ","NS","Nutritional Supplements and Health Food Manufactur","4602 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:41","46   ","N"
"311902    ","NS","Peanut and Pecan Processing                       ","4403 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:41","44   ","N"
"311911    ","NS","Roasted Nuts and Peanut Butter Manufacturing      ","4415 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:41","44   ","N"
"311919    ","NS","Other Snack Food Manufacturing                    ","4415 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:41","44   ","N"
"311920    ","NS","Coffee and Tea Manufacturing                      ","4304 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:42","43   ","N"
"311930    ","NS","Flavoring Syrup and Concentrate Manufacturing     ","4304 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:42","43   ","N"
"311941    ","NS","Mayonnaise Dressing and Other Prepared Sauce Man  ","4415 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:42","44   ","N"
"311942    ","NS","Spice and Extract Manufacturing                   ","4415 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:42","44   ","N"
"311991    ","NS","Perishable Prepared Food Manufacturing            ","4415 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:42","44   ","N"
"311999    ","NS","All Other Miscellaneous Food Manufacturing        ","4415 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:42","44   ","N"
"312111    ","NS","Soft Drink Manufacturing                          ","4304 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:42","43   ","N"
"312112    ","NS","Bottled Water Manufacturing                       ","4304 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:42","43   ","N"
"312113    ","NS","Ice Manufacturing                                 ","4304 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:42","43   ","N"
"312120    ","NS","Breweries                                         ","4301 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:42","43   ","N"
"312130    ","NS","Wineries                                          ","4302 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:42","43   ","N"
"312140    ","NS","Distilleries                                      ","4302 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:42","43   ","N"
"312202    ","NS","Cigars                                            ","4501 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:42","45   ","N"
"312230    ","NS","Tobacco Manufacturing                             ","4501 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:43","45   ","N"
"313110    ","NS","Fiber Yarn and Thread Mills                       ","3405 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:43","34   ","N"
"313210    ","NS","Broadwoven Fabric Mills                           ","3405 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:43","34   ","N"
"313220    ","NS","Narrow Fabric Mills and Schiffli Machine Embroider","3405 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:43","34   ","N"
"313230    ","NS","Nonwoven Fabric Mills                             ","3405 ","N","Y","LS2BAT  ","LS2BATCH","2014-04-22 12:32:52","2019-04-03 23:48:43","34   ","N"
