"IMR_RID_SWFT_ROLE","IMR_CDE_SWFT_RTYP","IMR_RID_REM_INSTR","IMR_CDE_OWNER_TYPE","IMR_UID_REC_CREATE","IMR_UID_REC_UPDATE","IMR_TSP_REC_CREATE","IMR_TSP_REC_UPDATE","IMR_RID_SWFT_ID","IMR_TXT_ACCT_NO","IMR_TXT_CLG_CODE","IMR_TXT_TELEX_NO","IMR_TXT_ANSWRBACK","IMR_CDE_LOCCL_TYPE","IMR_TXT_DESC","IMR_CDE_BRANCH"
"GZEF4B3E","ACWIN","GZEF4ATX","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 15:34:39","2020-08-18 15:34:39","","","","","","","I DO NOT KNOW",""
"GZEF4B6J","BENCR","GZEF4ATX","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 15:34:39","2020-08-18 15:34:39","","","","","","","PLEASE EXPLAIN",""
"GZEF4B9L","ORCSR","GZEF4ATX","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 15:34:39","2020-08-18 15:34:39","","","","","","","WHY IS THIS NEEDED",""
"GZEF4BC0","ORCSR","GZEF4BBY","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 15:35:02","2020-08-18 15:35:02","","","","","","","MNC COMPANY LTD 1413932",""
"GZEF4BBZ","BENCR","GZEF4BBY","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 15:35:02","2020-08-18 15:35:02","","","","","","","MNC COMPANY LTD 1413932",""
"V+EF4ADN","BENCR","V+EF4ADM","IRI  ","ALNINP01","ALNINP01","2020-08-18 16:13:30","2020-08-18 16:13:30","","","","","","","ARIHANT TRADING COMPANY 000001",""
"V+EF4ADO","ORCSR","V+EF4ADM","IRI  ","ALNINP01","ALNINP01","2020-08-18 16:13:30","2020-08-18 16:13:30","","","","","","","ARIHANT TRADING COMPANY 000001",""
"V+EF4APT","BENCR","V+EF4APS","IRI  ","ALNINP01","ALNINP01","2020-08-18 16:16:53","2020-08-18 16:16:53","","","","","","","ARIHANT TRADING COMPANY 000001",""
"V+EF4APU","ORCSR","V+EF4APS","IRI  ","ALNINP01","ALNINP01","2020-08-18 16:16:53","2020-08-18 16:16:53","","","","","","","ARIHANT TRADING COMPANY 000001",""
")VEF8DJW","BENCR",")VEF8DJV","IRI  ","INPALN01","INPALN01","2020-08-20 19:36:15","2020-08-20 19:36:15","","/06200087654321                         ","","","","","ARIHANT TRADING COMPANY",""
")VEF8DS3","ACWIN",")VEF8DJV","IRI  ","INPALN01","INPALN01","2020-08-20 19:36:15","2020-08-20 19:36:15","@*DZF8R7","","","","","","",""
")VEF8E01","BENCR",")VEF8E00","IRI  ","INPALN01","INPALN01","2020-08-20 19:38:36","2020-08-20 19:38:36","","/06200087654321                         ","","","","","ARIHANT TRADING COMPANY",""
")VEF8E02","ORCSR",")VEF8E00","IRI  ","INPALN01","INPALN01","2020-08-20 19:38:36","2020-08-20 19:38:36","","","","","","","ARIHANT TRADING COMPANY",""
")VEF8E88","ACWIN",")VEF8E00","IRI  ","INPALN01","INPALN01","2020-08-20 19:38:36","2020-08-20 19:38:36","@*DZF8R7","","","","","","",""
"EZEF8E4D","ORCSR","EZEF8E4B","IRI  ","INPRON01","INPRON01","2020-08-20 20:11:33","2020-08-20 20:11:33","","","","","","","BE Pty Ltd as trustee for the Dances With Wolves Fam 335288",""
"EZEF8E4C","BENCR","EZEF8E4B","IRI  ","INPRON01","INPRON01","2020-08-20 20:11:33","2020-08-20 20:11:33","","/509748214                              ","","","","","BE Pty Ltd as trustee for the Dances With Wolves Fam 335288",""
"EZEF8ECJ","ACWIN","EZEF8E4B","IRI  ","INPRON01","INPRON01","2020-08-20 20:11:33","2020-08-20 20:11:33","42146666","","//AU082674          ","","","","",""
"?.EBVNGB","ORCSR","?.EBVNG9","IRI  ","RPTINPAM","RPTINPAM","2020-06-16 16:38:36","2020-06-16 16:38:36","","","","","","","BORROWER1111",""
"?.EBVNGA","BENCR","?.EBVNG9","IRI  ","RPTINPAM","RPTINPAM","2020-06-16 16:38:36","2020-06-16 16:38:36","","","","","","","BORROWER1111",""
"?.EBVNO1","BENIN","?.EBVNO0","IRI  ","RPTINPAM","RPTINPAM","2020-06-16 16:38:47","2020-06-16 16:38:47","","","","","","","BORROWER1111",""
"5QEF3VXE","ORCSR","5QEF3VXC","IRI  ","LIQUSR05","LIQUSR05","2020-08-18 08:57:12","2020-08-18 08:57:12","","","","","","","5M CBA TEST",""
"5QEF3VXD","BENCR","5QEF3VXC","IRI  ","LIQUSR05","LIQUSR05","2020-08-18 08:57:12","2020-08-18 08:57:12","","","","","","","5M CBA TEST",""
"5QEF3W53","BENIN","5QEF3W52","IRI  ","LIQUSR05","LIQUSR05","2020-08-18 08:57:29","2020-08-18 08:57:29","","","","","","","5M CBA TEST",""
"5QEF3WC6","ORINS","5QEF3WC5","IRI  ","LIQUSR05","LIQUSR05","2020-08-18 08:58:09","2020-08-18 08:58:09","","","","","","","5M CBA TEST",""
"*7EF4LEP","BENCR","*7EF4LEO","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 19:02:56","2020-08-18 19:02:56","","/66000012345678                         ","","","","","MNC COMPANY LTD",""
"*7EF4LEQ","ORCSR","*7EF4LEO","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 19:02:56","2020-08-18 19:02:56","","","","","","","MNC COMPANY LTD",""
"*7EF4LMW","ACWIN","*7EF4LEO","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 19:02:56","2020-08-18 19:02:56","@*DZF8R7","","","","","","MNC COMPANY LTD",""
"*7EF4LUV","ORCSR","*7EF4LUT","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 19:04:44","2020-08-18 19:04:44","","","","","","","MNC COMPANY LTD",""
"*7EF4LUU","BENCR","*7EF4LUT","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 19:04:44","2020-08-18 19:04:44","","/66000012345678                         ","","","","","MNC COMPANY LTD",""
"*7EF4M31","ACWIN","*7EF4LUT","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 19:04:44","2020-08-18 19:04:44","@*DZF8R7","","","","","","MNC COMPANY LTD",""
"*7EF4MAZ","BENCR","*7EF4MAY","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 19:06:35","2020-08-18 19:06:35","","/08888812345678                         ","","","","","MNC COMPANY LTD",""
"*7EF4MB0","ORCSR","*7EF4MAY","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 19:06:35","2020-08-18 19:06:35","","","","","","","MNC COMPANY LTD",""
"*7EF4MJ6","ACWIN","*7EF4MAY","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 19:06:35","2020-08-18 19:06:35","41660452","","","","","","MNC COMPANY LTD",""
"*7EF4MR5","ORCSR","*7EF4MR3","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 19:08:24","2020-08-18 19:08:24","","","","","","","MNC COMPANY LTD",""
"*7EF4MR4","BENCR","*7EF4MR3","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 19:08:24","2020-08-18 19:08:24","","/08888812345678                         ","","","","","MNC COMPANY LTD",""
"*7EF4MZB","ACWIN","*7EF4MR3","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 19:08:24","2020-08-18 19:08:24","41660452","","","","","","",""
"*7EF4N79","BENIN","*7EF4N78","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 19:10:17","2020-08-18 19:10:17","","","","","","","MNC COMPANY LTD",""
"*7EF4NGP","ACWIN","*7EF4N78","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 19:10:17","2020-08-18 19:10:17","41812865","","//SC700225          ","","","","MNC COMPANY LTD",""
"*7EF4NJU","BENCR","*7EF4N78","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 19:10:17","2020-08-18 19:10:17","","","","","","","MNC COMPANY LTD",""
"*7EF4NMW","ORCSR","*7EF4N78","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 19:10:17","2020-08-18 19:10:17","","","","","","","MNC COMPANY LTD",""
"*7EF4NS7","ORCSR","*7EF4NS5","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 19:11:24","2020-08-18 19:11:24","","","","","","","MNC COMPANY LTD",""
"*7EF4NS6","BENCR","*7EF4NS5","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 19:11:24","2020-08-18 19:11:24","","/4237218260                             ","","","","","MNC COMPANY LTD",""
"*7EF4O0H","RCCOR","*7EF4NS5","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 19:11:24","2020-08-18 19:11:24","41812865","","//SC700225          ","","","","MNC COMPANY LTD",""
"*7EF4O8B","BENIN","*7EF4O8A","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 19:12:54","2020-08-18 19:12:54","","","","","","","MNC COMPANY LTD 1414010",""
"*7EF4OHR","ACWIN","*7EF4O8A","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 19:12:54","2020-08-18 19:12:54","","","","","","","I DO NOT KNOW",""
"*7EF4OKW","BENCR","*7EF4O8A","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 19:12:54","2020-08-18 19:12:54","","","","","","","PLEASE EXPLAIN",""
"*7EF4ONY","ORCSR","*7EF4O8A","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 19:12:54","2020-08-18 19:12:54","","","","","","","WHY IS THIS NEEDED",""
"*7EF4OQD","ORCSR","*7EF4OQB","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 19:13:17","2020-08-18 19:13:17","","","","","","","MNC COMPANY LTD 1414010",""
"*7EF4OQC","BENCR","*7EF4OQB","IRI  ","WBAYERS ","WBAYERS ","2020-08-18 19:13:17","2020-08-18 19:13:17","","","","","","","MNC COMPANY LTD 1414010",""
"EJEF8G2V","ORCSR","EJEF8G2T","IRI  ","INPRON01","INPRON01","2020-08-20 21:22:26","2020-08-20 21:22:26","","","","","","","BE Pty Ltd as trustee for the Dances With Wolves Fam 335277",""
"EJEF8GB1","ACWIN","EJEF8G2T","IRI  ","INPRON01","INPRON01","2020-08-20 21:22:26","2020-08-20 21:22:26","42146666","","//AU082674          ","","","","",""
"EJEF8GGC","ORCSR","EJEF8GGA","IRI  ","INPRON01","INPRON01","2020-08-20 21:23:36","2020-08-20 21:23:36","","","","","","","BE Pty Ltd as trustee for the Dances With Wolves Fam 335277",""
"EZEF8EHT","BENCR","EZEF8EHS","IRI  ","INPRON01","INPRON01","2020-08-20 20:12:42","2020-08-20 20:12:42","","/509748214                              ","","","","","BE Pty Ltd as trustee for the Dances With Wolves Fam 335288",""
"EZEF8EHU","ORCSR","EZEF8EHS","IRI  ","INPRON01","INPRON01","2020-08-20 20:12:42","2020-08-20 20:12:42","","","","","","","BE Pty Ltd as trustee for the Dances With Wolves Fam 335288",""
"EZEF8EQ0","ACWIN","EZEF8EHS","IRI  ","INPRON01","INPRON01","2020-08-20 20:12:42","2020-08-20 20:12:42","42146666","","//AU082674          ","","","","",""
"EJEF8G2U","BENCR","EJEF8G2T","IRI  ","INPRON01","INPRON01","2020-08-20 21:22:26","2020-08-20 21:22:26","","/509748214                              ","","","","","BE Pty Ltd as trustee for the Dances With Wolves Fam 335277",""
"EJEF8GGB","BENCR","EJEF8GGA","IRI  ","INPRON01","INPRON01","2020-08-20 21:23:36","2020-08-20 21:23:36","","/509748214                              ","","","","","BE Pty Ltd as trustee for the Dances With Wolves Fam 335277",""
"EJEF8GOI","ACWIN","EJEF8GGA","IRI  ","INPRON01","INPRON01","2020-08-20 21:23:36","2020-08-20 21:23:36","42146666","","//AU082674          ","","","","",""
"YEEFEY8S","ORCSR","YEEFEY8Q","IRI  ","INPALN01","INPALN01","2020-08-24 09:26:02","2020-08-24 09:26:02","","","","","","","ARIHANT TRADING COMPANY",""
"YEEFEY8R","BENCR","YEEFEY8Q","IRI  ","INPALN01","INPALN01","2020-08-24 09:26:02","2020-08-24 09:26:02","","/06200087654321                         ","","","","","ARIHANT TRADING COMPANY",""
"YEEFEYGY","ACWIN","YEEFEY8Q","IRI  ","INPALN01","INPALN01","2020-08-24 09:26:02","2020-08-24 09:26:02","@*DZF8R7","","","","","","",""
"YCEFF0MG","ORINS","YCEFF0MF","IRI  ","JAQUITAN","JAQUITAN","2020-08-24 10:04:04","2020-08-24 10:04:04","","","","","","","WSS Janice",""
"Y3EFEZRC","BENCR","Y3EFEZRB","IRI  ","INPALN01","INPALN01","2020-08-24 10:26:24","2020-08-24 10:26:24","","/06200087654321                         ","","","","","ARIHANT TRADING COMPANY",""
"Y3EFEZRD","ORCSR","Y3EFEZRB","IRI  ","INPALN01","INPALN01","2020-08-24 10:26:24","2020-08-24 10:26:24","","","","","","","ARIHANT TRADING COMPANY",""
"Y3EFEZZJ","ACWIN","Y3EFEZRB","IRI  ","INPALN01","INPALN01","2020-08-24 10:26:24","2020-08-24 10:26:24","@*DZF8R7","","","","","","",""
"Y3EFF07H","BENCR","Y3EFF07G","IRI  ","INPALN01","INPALN01","2020-08-24 10:28:55","2020-08-24 10:28:55","","/06200087654321                         ","","","","","ARIHANT TRADING COMPANY",""
"Y3EFF07I","ORCSR","Y3EFF07G","IRI  ","INPALN01","INPALN01","2020-08-24 10:28:55","2020-08-24 10:28:55","","","","","","","ARIHANT TRADING COMPANY",""
"Y3EFF0FO","ACWIN","Y3EFF07G","IRI  ","INPALN01","INPALN01","2020-08-24 10:28:55","2020-08-24 10:28:55","@*DZF8R7","","","","","","",""
"Y@EFF0M4","BENIN","Y@EFF0M3","IRI  ","CMARTILL","CMARTILL","2020-08-24 10:33:04","2020-08-24 10:33:04","","","","","","","Commonwealth Bank of Australia OBU (External)",""
"Y@EFF0TM","ACWIN","Y@EFF0M3","IRI  ","CMARTILL","CMARTILL","2020-08-24 10:33:04","2020-08-24 10:33:04","41658067","","","","","","",""
"Y@EFF0VY","ORINS","Y@EFF0VX","IRI  ","CMARTILL","CMARTILL","2020-08-24 11:01:52","2020-08-24 11:03:24","41656594","","0002                ","","","CHIPS","Commonealth Bank of Australia OBU (External)",""
"Y@EFF0YN","INTMY","Y@EFF0VX","IRI  ","CMARTILL","CMARTILL","2020-08-24 11:01:52","2020-08-24 11:03:24","6UE5002M","","0001                ","","","CHIPS","",""
"JLEFFBO9","ORINS","JLEFFBJP","IRI  ","LIQUSR03","LIQUSR03","2020-08-24 13:49:03","2020-08-24 13:49:03","@*DZF8R7","","                    ","","","CLG  ","Commonwealth Bank of Australia - OBU",""
"JLEFFBPH","ACWIN","JLEFFBJP","IRI  ","LIQUSR03","LIQUSR03","2020-08-24 13:49:03","2020-08-24 13:49:03","@*DZF8R7","","                    ","","","CLG  ","",""
"JLEFFBQQ","BENIN","JLEFFBJP","IRI  ","LIQUSR03","LIQUSR03","2020-08-24 13:49:03","2020-08-24 13:49:03","41798485","","                    ","","","CLG  ","Commonwealth Bank of Australia - OBU",""
"JLEFFBS0","SENDR","JLEFFBJP","IRI  ","LIQUSR03","LIQUSR03","2020-08-24 13:49:03","2020-08-24 13:49:03","@*DZF8R7","","                    ","","","CLG  ","",""
"JLEFFBT4","RCCOR","JLEFFBJP","IRI  ","LIQUSR03","LIQUSR03","2020-08-24 13:49:03","2020-08-24 13:49:03","@*DZF8R7","","                    ","","","CLG  ","",""
"JLEFFBU7","SRCOR","JLEFFBJP","IRI  ","LIQUSR03","LIQUSR03","2020-08-24 13:49:03","2020-08-24 13:49:03","41798485","","","","","","",""
"3FEFFCPI","ORINS","YREFF1ET","IRI  ","JANICEA2","JANICEA2","2020-08-24 14:20:19","2020-08-24 14:20:19","","","","","","","WSS Janice",""
"3FEFFCPH","INTMY","YREFF1ET","IRI  ","JANICEA2","JANICEA2","2020-08-24 14:20:19","2020-08-24 14:20:19","41658030","","","","","","",""
"3PEFFEC3","ORINS","3PEFFEC2","IRI  ","LIQUSR03","LIQUSR03","2020-08-24 15:25:55","2020-08-24 15:25:55","41798485","","","","","","Commonwealth Bank of Australia - OBU",""
"GEEDOQ9Q","ORCSR","GEEDOQ9O","IRI  ","DJRHINPT","DJRHINPT","2020-07-21 18:54:49","2020-07-21 18:54:49","","","","","","","CUSTLEGAL55127",""
"GEEDOQ9P","BENCR","GEEDOQ9O","IRI  ","DJRHINPT","DJRHINPT","2020-07-21 18:54:49","2020-07-21 18:54:49","","","","","","","CUSTLEGAL55127",""
"GEEDOQHU","ORCSR","GEEDOQHS","IRI  ","DJRHINPT","DJRHINPT","2020-07-21 18:55:49","2020-07-21 18:55:49","","","","","","","CUSTLEGAL55127",""
"GEEDOQHT","BENCR","GEEDOQHS","IRI  ","DJRHINPT","DJRHINPT","2020-07-21 18:55:49","2020-07-21 18:55:49","","","","","","","CUSTLEGAL55127",""
"ZIEF9BY7","ORCSR","ZIEF9BY5","IRI  ","LIQSVR05","LIQSVR05","2020-08-21 07:34:04","2020-08-21 07:34:04","","","","","","","5M CBA TEST",""
"ZIEF9BY6","BENCR","ZIEF9BY5","IRI  ","LIQSVR05","LIQSVR05","2020-08-21 07:34:04","2020-08-21 07:34:04","","","","","","","5M CBA TEST",""
"ZIEF9BYA","ORCSR","ZIEF9BY8","IRI  ","LIQSVR05","LIQSVR05","2020-08-21 07:34:04","2020-08-21 07:34:04","","","","","","","5M CBA TEST",""
"ZIEF9BY9","BENCR","ZIEF9BY8","IRI  ","LIQSVR05","LIQSVR05","2020-08-21 07:34:04","2020-08-21 07:34:04","","","","","","","5M CBA TEST",""
"ZIEF9BYG","BENIN","ZIEF9BYF","IRI  ","LIQSVR05","LIQSVR05","2020-08-21 07:34:04","2020-08-21 07:34:04","","","","","","","5M CBA TEST",""
