"PCR_PID_PRODUCT_ID","PCR_CDE_PROD_TYPE","PCR_CDE_CURRENCY","PCR_TSP_REC_CREATE","PCR_TSP_REC_UPDATE","PCR_UID_REC_CREATE","PCR_UID_REC_UPDATE","PCR_RTE_HST_FXRATE","PCR_IND_OPTNL_FUND","PCR_IND_RAC_APPLY","PCR_NUM_PA_DAYS","PCR_RTE_OVR_FXRATE","PCR_AMT_DRAW_LIMIT","PCR_CDE_LIMIT_CCY","PCR_RID_SERV_GRP","PCR_CDE_BRANCH"
"(7EFGXST","FAC  ","CAD","2020-09-17 11:12:13","2020-09-17 11:12:13","RPTMGR01","RPTMGR01","0.656038837499179","N","N","","","","EUR  ","@ME4QUQW","CG852"
"(7EFGXST","FAC  ","CHF","2020-09-17 11:12:13","2020-09-17 11:12:13","RPTMGR01","RPTMGR01","0.950868618482984","N","N","","","","EUR  ","@ME4QUQW","CG852"
"(7EFGXST","FAC  ","CNH","2020-09-17 11:12:13","2020-09-17 11:12:13","RPTMGR01","RPTMGR01","0.129959413675109","N","N","","","","EUR  ","@ME4QUQW","CG852"
"(7EFGXST","FAC  ","EUR","2020-08-25 12:16:03","2020-08-25 12:16:03","CMARTILL","CMARTILL","1","N","N","","","","EUR  ","@ME4QUQW","CG852"
"(7EFGXST","FAC  ","GBP","2020-09-17 12:33:18","2020-09-17 12:33:18","RPTMGR01","RPTMGR01","1.148936659121982","N","N","","","","EUR  ","@ME4QUQW","CG852"
"(7EFGXST","FAC  ","NOK","2020-09-17 12:33:18","2020-09-17 12:33:18","RPTMGR01","RPTMGR01","0.088967417462702","N","N","","","","EUR  ","@ME4QUQW","CG852"
"(7EFGXST","FAC  ","SGD","2020-09-17 11:12:13","2020-09-17 11:12:13","RPTMGR01","RPTMGR01","0.646972814202347","N","N","","","","EUR  ","@ME4QUQW","CG852"
"(7EFGXST","FAC  ","THB","2020-09-17 11:12:13","2020-09-17 11:12:13","RPTMGR01","RPTMGR01","0.028315272436809","N","N","","","","EUR  ","@ME4QUQW","CG852"
"(7EFGXST","FAC  ","ZAR","2020-09-17 11:12:13","2020-09-17 11:12:13","RPTMGR01","RPTMGR01","0.048875711996934","N","N","","","","EUR  ","@ME4QUQW","CG852"
"(7EFID52","FCTRN","EUR","2020-08-25 18:39:02","2020-08-25 18:39:02","CMARTILL","CMARTILL","1","N","N","","","","EUR  ","@ME4QUQW","CG852"
"(7EFID6D","CDECH","EUR","2020-08-25 18:39:02","2020-08-25 18:39:02","CMARTILL","CMARTILL","1","N","N","","","","EUR  ","@ME4QUQW","CG852"
")=EIAU1O","FAC  ","EUR","2020-10-19 12:36:23","2020-10-19 12:36:23","ARFELI01","ARFELI01","1","N","N","","","","EUR  ","@ME4QUQW","CG852"
")EEIAO93","FAC  ","EUR","2020-10-19 09:33:14","2020-10-19 09:33:14","DELINP01","DELINP01","1","N","N","","","","EUR  ","@ME4QUQW","CG852"
"*4EI53R8","FAC  ","EUR","2020-10-16 09:32:55","2020-10-16 09:32:55","ARFELI01","ARFELI01","1","N","N","","","","EUR  ","@ME4QUQW","CG852"
"+OEH9ZD0","FAC  ","EUR","2020-09-29 14:23:32","2020-09-29 14:23:32","JAQUITAN","JAQUITAN","1","N","N","","","","EUR  ","@ME4QUQW","CG852"
"-BEGM16L","FCTRN","AUD","2020-09-16 16:37:35","2020-09-16 16:37:35","CMARTILL","CMARTILL","0.584545778702659","N","N","","","","EUR  ","@ME4QUQW","CG852"
"-BEGM16L","FCTRN","CAD","2020-09-16 16:39:55","2020-09-16 16:39:55","CMARTILL","CMARTILL","0.656038837499179","N","N","","","","EUR  ","@ME4QUQW","CG852"
"-BEGM16L","FCTRN","CHF","2020-09-16 16:40:49","2020-09-16 16:40:49","CMARTILL","CMARTILL","0.950868618482984","N","N","","","","EUR  ","@ME4QUQW","CG852"
"-BEGM16L","FCTRN","CNH","2020-09-16 16:41:30","2020-09-16 16:41:30","CMARTILL","CMARTILL","0.129959413675109","N","N","","","","EUR  ","@ME4QUQW","CG852"
"-BEGM16L","FCTRN","EUR","2020-09-16 16:31:42","2020-09-16 16:31:42","CMARTILL","CMARTILL","1","N","N","","","","EUR  ","@ME4QUQW","CG852"
"-BEGM17W","CDECH","EUR","2020-09-16 16:31:42","2020-09-16 16:31:42","CMARTILL","CMARTILL","1","N","N","","","","EUR  ","@ME4QUQW","CG852"
"-KEH2QGM","FCTRN","EUR","2020-09-25 16:49:44","2020-09-25 16:49:44","SMANZANO","SMANZANO","1","N","N","","","","EUR  ","@ME4QUQW","CG852"
"-KEH2QGM","FCTRN","HKD","2020-09-25 16:49:44","2020-09-25 16:49:44","SMANZANO","SMANZANO","0.118697320645381","N","N","","","","EUR  ","@ME4QUQW","CG852"
"-KEH2QGM","FCTRN","IDR","2020-09-25 16:49:44","2020-09-25 16:49:44","SMANZANO","SMANZANO","0.000059026864808","N","N","","","","EUR  ","@ME4QUQW","CG852"
"-KEH2QGM","FCTRN","JPY","2020-09-25 16:49:44","2020-09-25 16:49:44","SMANZANO","SMANZANO","0.008550240830358","N","N","","","","EUR  ","@ME4QUQW","CG852"
"-KEH2QGM","FCTRN","USD","2020-09-25 16:49:44","2020-09-25 16:49:44","SMANZANO","SMANZANO","0.919963201471941","N","N","","","","EUR  ","@ME4QUQW","CG852"
"-KEH2QHX","CDECH","EUR","2020-09-25 16:49:44","2020-09-25 16:49:44","SMANZANO","SMANZANO","1","N","N","","","","EUR  ","@ME4QUQW","CG852"
"-KEH2QI0","CDECH","HKD","2020-09-25 16:49:44","2020-09-25 16:49:44","SMANZANO","SMANZANO","0.118697320645381","N","N","","","","EUR  ","@ME4QUQW","CG852"
"-KEH2QI3","CDECH","IDR","2020-09-25 16:49:44","2020-09-25 16:49:44","SMANZANO","SMANZANO","0.000059026864808","N","N","","","","EUR  ","@ME4QUQW","CG852"
"-KEH2QI6","CDECH","JPY","2020-09-25 16:49:44","2020-09-25 16:49:44","SMANZANO","SMANZANO","0.008550240830358","N","N","","","","EUR  ","@ME4QUQW","CG852"
"-KEH2QI9","CDECH","USD","2020-09-25 16:49:44","2020-09-25 16:49:44","SMANZANO","SMANZANO","0.919963201471941","N","N","","","","EUR  ","@ME4QUQW","CG852"
".FEF9QTS","FAC  ","EUR","2020-08-21 15:44:35","2020-08-21 15:44:35","LIQUSR03","LIQUSR03","1","N","N","","","","EUR  ","@ME4QUQW","CG852"
"0$EF4ABY","FCTRN","AUD","2020-08-18 16:08:50","2020-08-18 16:08:50","INPCHER ","INPCHER ","1","N","N","","","","AUD  ","NONE    ",""
"0$EF4AD6","CDECH","AUD","2020-08-18 16:08:50","2020-08-18 16:08:50","INPCHER ","INPCHER ","1","N","N","","","","AUD  ","NONE    ",""
"0JEGNPY5","FAC  ","EUR","2020-09-17 13:07:05","2020-09-17 13:08:01","SMANZANO","SMANZANO","1.087","N","N","","","","USD  ","@ME4QUQW","CG852"
"0REF4FMA","FAC  ","AUD","2020-09-17 10:16:00","2020-09-17 10:16:00","LIQSVR04","LIQSVR04","0.584545778702659","N","N","","","","EUR  ","NONE    ","CG852"
"0REF4FMA","FAC  ","CNY","2020-09-17 10:16:00","2020-09-17 10:16:00","LIQSVR04","LIQSVR04","0.130065904393756","N","N","","","","EUR  ","@ME4QUQW","CG852"
"0REF4FMA","FAC  ","CZK","2020-09-17 10:16:00","2020-09-17 10:16:00","LIQSVR04","LIQSVR04","0.036733873737594","N","N","","","","EUR  ","@ME4QUQW","CG852"
"0REF4FMA","FAC  ","DKK","2020-09-17 10:16:00","2020-09-17 10:16:00","LIQSVR04","LIQSVR04","0.134038015862058","N","N","","","","EUR  ","@ME4QUQW","CG852"
"0REF4FMA","FAC  ","EUR","2020-08-18 16:15:37","2020-08-18 16:15:37","LIQUSR03","LIQUSR03","1","N","N","","","","EUR  ","@ME4QUQW","CG852"
"0REF4FMA","FAC  ","GBP","2020-09-17 10:16:00","2020-09-17 10:16:00","LIQSVR04","LIQSVR04","1.148936659121982","N","N","","","","EUR  ","NONE    ","CG852"
"0REF4FMA","FAC  ","JPY","2020-09-17 10:16:00","2020-09-17 10:16:00","LIQSVR04","LIQSVR04","0.008550240830358","N","N","","","","EUR  ","NONE    ","CG852"
"0REF4FMA","FAC  ","USD","2020-09-17 10:16:00","2020-09-17 10:16:00","LIQSVR04","LIQSVR04","0.919963201471941","N","N","","","","EUR  ","NONE    ","CG852"
"3.EFFDZL","FAC  ","EUR","2020-08-24 15:03:08","2020-08-24 15:03:08","JAQUITAN","JAQUITAN","1","N","N","","","","EUR  ","@ME4QUQW","CG852"
"34EITIZT","FAC  ","AUD","2020-10-29 13:50:21","2020-10-29 13:50:21","TESTINP ","TESTINP ","1","N","N","","","","AUD  ","NONE    ","CG852"
"34EITIZT","FAC  ","USD","2020-10-29 13:50:44","2020-10-29 15:32:41","TESTINP ","TESTINP ","0.9009009009009","N","N","","","","AUD  ","NONE    ","CG852"
"34EITJ7N","FAC  ","AUD","2020-10-29 14:28:48","2020-10-29 14:28:48","TESTINP ","TESTINP ","1","N","N","","","","AUD  ","NONE    ","CG852"
"34EITJ7N","FAC  ","USD","2020-10-29 14:29:09","2020-10-29 15:32:41","TESTINP ","TESTINP ","0.9009009009009","N","N","","","","AUD  ","NONE    ","CG852"
"38EHZOL4","FAC  ","EUR","2020-10-13 10:52:13","2020-10-13 10:54:01","JAQUITAN","JAQUITAN","0.87037","N","N","","","","GBP  ","@ME4QUQW","CG852"
"3?EGFNGS","FCTRN","CHF","2020-09-14 09:12:29","2020-09-14 09:12:29","LOANIQ01","LOANIQ01","0.950868618482984","N","N","","","","EUR  ","NONE    ","CG852"
"3?EGFNGS","FCTRN","EUR","2020-09-13 05:07:42","2020-09-13 05:07:42","LOANIQ01","LOANIQ01","1","N","N","","","","EUR  ","@ME4QUQW","CG852"
"3?EGFNI0","CDECH","EUR","2020-09-13 05:07:42","2020-09-13 05:07:42","LOANIQ01","LOANIQ01","1","N","N","","","","EUR  ","@ME4QUQW","CG852"
"3GEICZK4","FCTRN","NOK","2020-10-20 16:37:18","2020-10-20 16:37:18","SMANZANO","SMANZANO","0.110378979","N","N","","","","USD  ","NONE    ","CG852"
"3GEICZK4","FCTRN","USD","2020-10-20 16:37:18","2020-10-20 16:37:18","SMANZANO","SMANZANO","1","N","N","","","","USD  ","@ME4QUQW","CG852"
"3GEICZLC","CDECH","NOK","2020-10-20 16:37:18","2020-10-20 16:37:18","SMANZANO","SMANZANO","0.110378979","N","N","","","","USD  ","NONE    ","CG852"
"3GEICZLF","CDECH","USD","2020-10-20 16:37:18","2020-10-20 16:37:18","SMANZANO","SMANZANO","1","N","N","","","","USD  ","@ME4QUQW","CG852"
"3GEID07F","FCTRN","NOK","2020-10-20 16:51:16","2020-10-20 16:51:16","SMANZANO","SMANZANO","0.110378979","N","N","","","","USD  ","@ME4QUQW","CG852"
"3GEID08N","CDECH","NOK","2020-10-20 16:51:16","2020-10-20 16:51:16","SMANZANO","SMANZANO","0.110378979","N","N","","","","USD  ","@ME4QUQW","CG852"
"3GEID0DH","FCTRN","AUD","2020-10-20 16:54:54","2020-10-20 16:54:54","SMANZANO","SMANZANO","1","N","N","","","","AUD  ","@ME4QUQW","CG852"
"3GEID0DH","FCTRN","NOK","2020-10-20 16:54:54","2020-10-20 16:54:54","SMANZANO","SMANZANO","0.334481851471306","N","N","","","","AUD  ","NONE    ","CG852"
"3GEID0EP","CDECH","AUD","2020-10-20 16:54:54","2020-10-20 16:54:54","SMANZANO","SMANZANO","1","N","N","","","","AUD  ","@ME4QUQW","CG852"
"3GEID0ES","CDECH","NOK","2020-10-20 16:54:54","2020-10-20 16:54:54","SMANZANO","SMANZANO","0.334481851471306","N","N","","","","AUD  ","NONE    ","CG852"
"3SEICY4Q","FCTRN","NOK","2020-10-20 16:06:30","2020-10-20 16:06:30","SMANZANO","SMANZANO","0.110378979","N","N","","","","USD  ","NONE    ","CG852"
"3SEICY4Q","FCTRN","USD","2020-10-20 16:06:30","2020-10-20 16:06:30","SMANZANO","SMANZANO","1","N","N","","","","USD  ","@ME4QUQW","CG852"
"3SEICY5Y","CDECH","NOK","2020-10-20 16:06:30","2020-10-20 16:06:30","SMANZANO","SMANZANO","0.110378979","N","N","","","","USD  ","NONE    ","CG852"
"3SEICY61","CDECH","USD","2020-10-20 16:06:30","2020-10-20 16:06:30","SMANZANO","SMANZANO","1","N","N","","","","USD  ","@ME4QUQW","CG852"
"3SEICYCV","FCTRN","NOK","2020-10-20 16:11:22","2020-10-20 16:11:22","SMANZANO","SMANZANO","0.110378979","N","N","","","","USD  ","NONE    ","CG852"
"3SEICYCV","FCTRN","USD","2020-10-20 16:11:22","2020-10-20 16:11:22","SMANZANO","SMANZANO","1","N","N","","","","USD  ","@ME4QUQW","CG852"
"3SEICYE3","CDECH","NOK","2020-10-20 16:11:22","2020-10-20 16:11:22","SMANZANO","SMANZANO","0.110378979","N","N","","","","USD  ","NONE    ","CG852"
"3SEICYE6","CDECH","USD","2020-10-20 16:11:22","2020-10-20 16:11:22","SMANZANO","SMANZANO","1","N","N","","","","USD  ","@ME4QUQW","CG852"
"3ZEFFD2W","FAC  ","EUR","2020-08-24 14:40:36","2020-08-24 14:40:36","JAQUITAN","JAQUITAN","1","N","N","","","","EUR  ","@ME4QUQW","CG852"
"5;EJEK7A","FAC  ","EUR","2020-11-09 23:14:20","2020-11-09 23:14:20","CESSINP1","CESSINP1","1","N","N","","","","EUR  ","@*DZF8KS","CG852"
"5JEJEJQZ","FAC  ","EUR","2020-11-09 22:57:16","2020-11-09 22:57:16","CESSINP1","CESSINP1","1","N","N","","","","EUR  ","@*DZF8KS","CG852"
"5LEJELY3","FAC  ","EUR","2020-11-10 00:12:13","2020-11-10 00:12:13","CESSINP1","CESSINP1","1","N","N","","","","EUR  ","@*DZF8KS","CG852"
"9ZEF82GL","FAC  ","EUR","2020-08-20 17:10:33","2020-08-20 17:10:33","JAQUITAN","JAQUITAN","1","N","N","","","","EUR  ","@ME4QUQW","CG852"
"9ZEF82GL","FAC  ","GBP","2020-09-16 16:13:02","2020-09-16 16:13:02","JANICEA1","JANICEA1","1.148936659121982","N","N","","","","EUR  ","@ME4QUQW","CG852"
"9ZEF82GL","FAC  ","NZD","2020-09-17 10:55:05","2020-09-17 10:55:05","JANICEA1","JANICEA1","0.554462033212275","N","N","","","","EUR  ","@ME4QUQW","CG852"
"9ZEF82GL","FAC  ","SEK","2020-09-17 10:55:05","2020-09-17 10:55:05","JANICEA1","JANICEA1","0.092038656235618","N","N","","","","EUR  ","@ME4QUQW","CG852"
":*EDFUUO","FAC  ","EUR","2020-07-17 00:32:45","2020-07-17 00:32:45","FJUSRAM ","FJUSRAM ","1","N","N","","","","EUR  ","@ME4QUQW","CG852"
":+EJEFUX","FAC  ","AUD","2020-11-09 21:09:09","2020-11-09 21:09:09","CESSINP1","CESSINP1","1.48648046021435","N","N","","","","EUR  ","NONE    ","CG852"
":+EJEFUX","FAC  ","EUR","2020-11-09 21:08:59","2020-11-09 21:08:59","CESSINP1","CESSINP1","1","N","N","","","","EUR  ","NONE    ","CG852"
":+EJEFUX","FAC  ","GBP","2020-11-09 21:09:46","2020-11-09 21:09:46","CESSINP1","CESSINP1","1.364833695014262","N","N","","","","EUR  ","NONE    ","CG852"
":+EJEFUX","FAC  ","USD","2020-11-09 21:09:28","2020-11-09 21:09:28","CESSINP1","CESSINP1","0.225225225225225","N","N","","","","EUR  ","NONE    ","CG852"
"::EIINUU","FCTRN","NOK","2020-10-23 17:32:38","2020-10-23 17:32:38","SMANZANO","SMANZANO","0.110378979","N","N","","","","USD  ","NONE    ","CG852"
"::EIINUU","FCTRN","USD","2020-10-23 17:32:38","2020-10-23 17:32:38","SMANZANO","SMANZANO","1","N","N","","","","USD  ","@ME4QUQW","CG852"
"::EIINW2","CDECH","NOK","2020-10-23 17:32:38","2020-10-23 17:32:38","SMANZANO","SMANZANO","0.110378979","N","N","","","","USD  ","NONE    ","CG852"
"::EIINW5","CDECH","USD","2020-10-23 17:32:38","2020-10-23 17:32:38","SMANZANO","SMANZANO","1","N","N","","","","USD  ","@ME4QUQW","CG852"
":IEIIM8I","FCTRN","NOK","2020-10-23 17:20:32","2020-10-23 17:20:32","SMANZANO","SMANZANO","0.110378979","N","N","","","","USD  ","NONE    ","CG852"
":IEIIM8I","FCTRN","USD","2020-10-23 17:20:32","2020-10-23 17:20:32","SMANZANO","SMANZANO","1","N","N","","","","USD  ","@ME4QUQW","CG852"
":IEIIM9Q","CDECH","NOK","2020-10-23 17:20:32","2020-10-23 17:20:32","SMANZANO","SMANZANO","0.110378979","N","N","","","","USD  ","NONE    ","CG852"
":IEIIM9T","CDECH","USD","2020-10-23 17:20:32","2020-10-23 17:20:32","SMANZANO","SMANZANO","1","N","N","","","","USD  ","@ME4QUQW","CG852"
":LEIIOOP","FCTRN","NOK","2020-10-23 17:36:38","2020-10-23 17:36:38","SMANZANO","SMANZANO","0.110378979","N","N","","","","USD  ","NONE    ","CG852"
":LEIIOOP","FCTRN","USD","2020-10-23 17:36:38","2020-10-23 17:36:38","SMANZANO","SMANZANO","1","N","N","","","","USD  ","@ME4QUQW","CG852"
":LEIIOPX","CDECH","NOK","2020-10-23 17:36:38","2020-10-23 17:36:38","SMANZANO","SMANZANO","0.110378979","N","N","","","","USD  ","NONE    ","CG852"
":LEIIOQ0","CDECH","USD","2020-10-23 17:36:38","2020-10-23 17:36:38","SMANZANO","SMANZANO","1","N","N","","","","USD  ","@ME4QUQW","CG852"
":OEI3APN","FCTRN","AUD","2020-10-15 10:57:27","2020-10-15 10:57:27","LIQUSR03","LIQUSR03","1","N","N","","","","AUD  ","@ME4QUQW","CG852"
":OEI3APN","FCTRN","NOK","2020-10-15 10:57:27","2020-10-15 10:57:27","LIQUSR03","LIQUSR03","0.334481851471306","N","N","","","","AUD  ","NONE    ","CG852"
":OEI3AQV","CDECH","AUD","2020-10-15 10:57:27","2020-10-15 10:57:27","LIQUSR03","LIQUSR03","1","N","N","","","","AUD  ","@ME4QUQW","CG852"
":OEI3AQY","CDECH","NOK","2020-10-15 10:57:27","2020-10-15 10:57:27","LIQUSR03","LIQUSR03","0.334481851471306","N","N","","","","AUD  ","NONE    ","CG852"
":SEH80EE","FCTRN","EUR","2020-09-28 11:16:43","2020-09-28 11:16:43","LIQUSR05","LIQUSR05","1","N","N","","","","EUR  ","@ME4QUQW","CG852"
":SEH80EE","FCTRN","HKD","2020-09-28 11:16:43","2020-09-28 11:16:43","LIQUSR05","LIQUSR05","0.118697320645381","N","N","","","","EUR  ","@ME4QUQW","CG852"
":SEH80EE","FCTRN","IDR","2020-09-28 11:16:43","2020-09-28 11:16:43","LIQUSR05","LIQUSR05","0.000059026864808","N","N","","","","EUR  ","@ME4QUQW","CG852"
":SEH80EE","FCTRN","JPY","2020-09-28 11:16:43","2020-09-28 11:16:43","LIQUSR05","LIQUSR05","0.008550240830358","N","N","","","","EUR  ","@ME4QUQW","CG852"
":SEH80EE","FCTRN","NOK","2020-09-28 11:26:26","2020-09-28 11:26:26","LIQUSR05","LIQUSR05","0.088967417462702","N","N","","","","EUR  ","@ME4QUQW","CG852"
":SEH80EE","FCTRN","USD","2020-09-28 11:16:43","2020-09-28 11:16:43","LIQUSR05","LIQUSR05","0.919963201471941","N","N","","","","EUR  ","@ME4QUQW","CG852"
":SEH80FP","CDECH","EUR","2020-09-28 11:16:43","2020-09-28 11:16:43","LIQUSR05","LIQUSR05","1","N","N","","","","EUR  ","@ME4QUQW","CG852"
":SEH80FS","CDECH","HKD","2020-09-28 11:16:43","2020-09-28 11:16:43","LIQUSR05","LIQUSR05","0.118697320645381","N","N","","","","EUR  ","@ME4QUQW","CG852"
":SEH80FV","CDECH","IDR","2020-09-28 11:16:43","2020-09-28 11:16:43","LIQUSR05","LIQUSR05","0.000059026864808","N","N","","","","EUR  ","@ME4QUQW","CG852"
":SEH80FY","CDECH","JPY","2020-09-28 11:16:43","2020-09-28 11:16:43","LIQUSR05","LIQUSR05","0.008550240830358","N","N","","","","EUR  ","@ME4QUQW","CG852"
":SEH80G1","CDECH","USD","2020-09-28 11:16:43","2020-09-28 11:16:43","LIQUSR05","LIQUSR05","0.919963201471941","N","N","","","","EUR  ","@ME4QUQW","CG852"
":YEI3DVV","FAC  ","AUD","2020-10-15 11:55:27","2020-10-15 11:55:27","CESSINP1","CESSINP1","1","N","N","","","","AUD  ","NONE    ","CG852"
":YEI3DVV","FAC  ","EUR","2020-10-15 11:50:08","2020-10-15 11:50:08","CESSINP1","CESSINP1","6.0303","N","N","","","","AUD  ","NONE    ","CG852"
":YEI3E8R","FAC  ","AUD","2020-10-15 12:31:13","2020-10-15 12:31:13","CESSINP1","CESSINP1","1","N","N","","","","AUD  ","NONE    ","CG852"
":YEI3E8R","FAC  ","EUR","2020-10-15 12:27:48","2020-10-15 12:27:48","CESSINP1","CESSINP1","6.0303","N","N","","","","AUD  ","NONE    ","CG852"
":YEI3FS1","FAC  ","AUD","2020-10-15 13:04:25","2020-10-15 13:04:25","CESSINP1","CESSINP1","1","N","N","","","","AUD  ","NONE    ","CG852"
":YEI3FS1","FAC  ","EUR","2020-10-15 13:00:59","2020-10-15 13:00:59","CESSINP1","CESSINP1","6.0303","N","N","","","","AUD  ","NONE    ","CG852"
":YEI3H0U","FAC  ","AUD","2020-10-15 13:31:17","2020-10-15 13:31:17","CESSINP1","CESSINP1","1","N","N","","","","AUD  ","NONE    ","CG852"
":YEI3H0U","FAC  ","EUR","2020-10-15 13:27:52","2020-10-15 13:27:52","CESSINP1","CESSINP1","6.0303","N","N","","","","AUD  ","NONE    ","CG852"
":YEI3JZ1","FAC  ","EUR","2020-10-15 14:35:01","2020-10-15 14:35:01","CESSINP1","CESSINP1","1","N","N","","","","EUR  ","NONE    ","CG852"
":YEI3MDQ","FAC  ","EUR","2020-10-15 15:26:54","2020-10-15 15:26:54","CESSINP1","CESSINP1","1","N","N","","","","EUR  ","NONE    ","CG852"
"=)EIEW1Y","FCTRN","NOK","2020-10-21 17:16:57","2020-10-21 17:16:57","SMANZANO","SMANZANO","0.110378895","N","N","","","","USD  ","NONE    ","CG852"
"=)EIEW1Y","FCTRN","USD","2020-10-21 17:16:57","2020-10-21 17:16:57","SMANZANO","SMANZANO","1","N","N","","","","USD  ","@ME4QUQW","CG852"
"=)EIEW36","CDECH","NOK","2020-10-21 17:16:57","2020-10-21 17:16:57","SMANZANO","SMANZANO","0.110378895","N","N","","","","USD  ","NONE    ","CG852"
"=)EIEW39","CDECH","USD","2020-10-21 17:16:57","2020-10-21 17:16:57","SMANZANO","SMANZANO","1","N","N","","","","USD  ","@ME4QUQW","CG852"
"=+EI1JPZ","FAC  ","AUD","2020-10-14 11:16:28","2020-10-14 11:35:25","SMANZANO","SMANZANO","6.1607","N","N","","","","USD  ","@ME4QUQW","CG852"
"?#EBX6MH","FCTRN","EUR","2020-06-17 11:11:07","2020-06-17 11:11:07","RPTINPAM","RPTINPAM","1","N","N","","","","EUR  ","@ME4QUQW","CG852"
"?#EBX6NP","CDECH","EUR","2020-06-17 11:11:07","2020-06-17 11:11:07","RPTINPAM","RPTINPAM","1","N","N","","","","EUR  ","@ME4QUQW","CG852"
"?EEHN4L9","FCTRN","EUR","2020-10-06 13:41:42","2020-10-06 13:41:42","LIQUSR05","LIQUSR05","1","N","N","","","","EUR  ","@ME4QUQW","CG852"
"?EEHN4L9","FCTRN","GBP","2020-10-06 13:43:11","2020-10-06 13:43:11","LIQUSR05","LIQUSR05","1.148936659121982","N","N","","","","EUR  ","@ME4QUQW","CG852"
"?EEHN4L9","FCTRN","NOK","2020-10-06 13:41:42","2020-10-06 13:41:42","LIQUSR05","LIQUSR05","0.088967417462702","N","N","","","","EUR  ","@ME4QUQW","CG852"
"?EEHN4MK","CDECH","EUR","2020-10-06 13:41:42","2020-10-06 13:41:42","LIQUSR05","LIQUSR05","1","N","N","","","","EUR  ","@ME4QUQW","CG852"
