"GA1_TID_TABLE_ID","GA1_CDE_FKEY1","GA1_CDE_FKEY2","GA1_IND_ACTIVE","GA1_IND_MAY_DEACT","GA1_TSP_REC_CREATE","GA1_TSP_REC_UPDATE","GA1_UID_REC_CREATE","GA1_UID_REC_UPDATE","GA1_AMT_AMOUNT1","GA1_CDE_FKEY3","GA1_CDE_FKEY4","GA1_CDE_FKEY5","GA1_CDE_FKEY6"
"OCP","PCTRF","ANY  ","Y","Y","2019-04-04 18:20:06","2019-04-04 18:20:06","GIBLINC ","GIBLINC ","","","","",""
"OCP","PSSTA","ANY  ","Y","Y","2019-04-04 18:20:23","2019-04-04 18:20:23","GIBLINC ","GIBLINC ","","","","",""
"OCP","PSFLR","ANY  ","Y","Y","2019-04-04 18:20:36","2019-04-04 18:20:36","GIBLINC ","GIBLINC ","","","","",""
"OCP","PSCAP","ANY  ","Y","Y","2019-04-04 18:20:51","2019-04-04 18:20:51","GIBLINC ","GIBLINC ","","","","",""
"OCP","PAYMD","ANY  ","Y","Y","2019-04-04 18:21:04","2019-04-04 18:21:04","GIBLINC ","GIBLINC ","","","","",""
"OCP","PDGRD","ANY  ","Y","Y","2019-04-04 18:21:14","2019-04-04 18:21:14","GIBLINC ","GIBLINC ","","","","",""
"OCP","OSTBB","ANY  ","Y","Y","2019-04-04 18:21:42","2019-04-04 18:21:42","GIBLINC ","GIBLINC ","","","","",""
"OCP","NOTDT","ANY  ","Y","Y","2019-04-04 18:22:09","2019-04-04 18:22:09","GIBLINC ","GIBLINC ","","","","",""
"OCP","MPPFC","ANY  ","Y","Y","2019-04-04 18:22:23","2019-04-04 18:22:23","GIBLINC ","GIBLINC ","","","","",""
"OCP","MIPFC","ANY  ","Y","Y","2019-04-04 18:22:33","2019-04-04 18:22:33","GIBLINC ","GIBLINC ","","","","",""
"OCP","MAMFL","ANY  ","Y","Y","2019-04-04 18:22:43","2019-04-04 18:22:43","GIBLINC ","GIBLINC ","","","","",""
"OCP","MAMIS","ANY  ","Y","Y","2019-04-04 18:22:52","2019-04-04 18:22:52","GIBLINC ","GIBLINC ","","","","",""
"OCP","MATDT","ANY  ","Y","Y","2019-04-04 18:23:03","2019-04-04 18:23:03","GIBLINC ","GIBLINC ","","","","",""
"OCP","LNRTB","ANY  ","Y","Y","2019-04-04 18:23:15","2019-04-04 18:23:15","GIBLINC ","GIBLINC ","","","","",""
"OCP","LNFXR","ANY  ","Y","Y","2019-04-04 18:23:26","2019-04-04 18:23:26","GIBLINC ","GIBLINC ","","","","",""
"OCP","ACVAL","ANY  ","Y","Y","2019-04-04 18:23:34","2019-04-04 18:23:34","GIBLINC ","GIBLINC ","","","","",""
"OCP","PSRTE","ANY  ","Y","Y","2019-04-04 18:36:04","2019-04-04 18:36:04","GIBLINC ","GIBLINC ","","","","",""
"OCP","SUBLM","ANY  ","Y","Y","2019-04-04 18:41:26","2019-04-04 18:41:26","GIBLINC ","GIBLINC ","","","","",""
"OPB","BAB  ","BAB  ","Y","Y","2019-04-05 09:13:55","2019-04-05 09:13:55","GIBLINC ","GIBLINC ","","","","",""
"OPB","BBSW ","BBSW ","Y","Y","2019-04-05 09:14:11","2019-04-05 09:14:11","GIBLINC ","GIBLINC ","","","","",""
"OPB","BBSY ","BBSY ","Y","Y","2019-04-05 09:14:22","2019-04-05 09:14:22","GIBLINC ","GIBLINC ","","","","",""
"OPB","BKBM ","BKBM ","Y","Y","2019-04-05 09:14:41","2019-04-05 09:14:41","GIBLINC ","GIBLINC ","","","","",""
"OPB","CHFLI","LIBOR","Y","Y","2019-04-05 09:16:18","2019-04-05 09:16:18","GIBLINC ","GIBLINC ","","","","",""
"OPB","CHIBO","HIBOR","Y","Y","2019-04-05 09:19:25","2019-04-05 09:19:25","GIBLINC ","GIBLINC ","","","","",""
"OPB","CIBOR","CIBOR","Y","Y","2019-04-05 09:19:41","2019-04-05 09:19:41","GIBLINC ","GIBLINC ","","","","",""
"OPB","CNYSH","SHIBO","Y","Y","2019-04-05 09:20:16","2019-04-05 09:20:16","GIBLINC ","GIBLINC ","","","","",""
"OPB","CPO  ","CP   ","Y","Y","2019-04-05 09:20:44","2019-04-05 09:20:44","GIBLINC ","GIBLINC ","","","","",""
"OPB","ELIBO","LIBOR","Y","Y","2019-04-05 09:22:26","2019-04-05 09:22:26","GIBLINC ","GIBLINC ","","","","",""
"OPB","JIBAR","JIBOR","N","Y","2019-04-05 09:24:12","2019-04-05 09:26:06","GIBLINC ","GIBLINC ","","","","",""
"OPB","JIBOR","LIBOR","N","Y","2019-04-05 09:25:23","2019-04-05 09:25:38","GIBLINC ","GIBLINC ","","","","",""
"OPB","JIBAR","JIBAR","Y","Y","2019-04-05 09:27:09","2019-04-05 09:27:09","GIBLINC ","GIBLINC ","","","","",""
"OPB","JIBOR","JIBOR","Y","Y","2019-04-05 09:29:08","2019-04-05 09:29:08","GIBLINC ","GIBLINC ","","","","",""
"OPB","JPYLI","LIBOR","Y","Y","2019-04-05 09:30:05","2019-04-05 09:30:05","GIBLINC ","GIBLINC ","","","","",""
"OPB","LMIR ","LMIR ","Y","Y","2019-04-05 09:30:57","2019-04-05 09:30:57","GIBLINC ","GIBLINC ","","","","",""
"OPB","PRIBO","PRIBO","Y","Y","2019-04-05 09:31:14","2019-04-05 09:31:14","GIBLINC ","GIBLINC ","","","","",""
"OPB","RBAON","RBAON","Y","Y","2019-04-05 09:31:46","2019-04-05 09:31:46","GIBLINC ","GIBLINC ","","","","",""
"OPB","REFUS","REFM ","Y","Y","2019-04-05 09:32:20","2019-04-05 09:32:20","GIBLINC ","GIBLINC ","","","","",""
"OPB","SORSG","SOR  ","Y","Y","2019-04-05 09:33:47","2019-04-05 09:33:47","GIBLINC ","GIBLINC ","","","","",""
"OPB","STIBO","STIBO","Y","Y","2019-04-05 09:34:58","2019-04-05 09:34:58","GIBLINC ","GIBLINC ","","","","",""
"OPB","THBFI","THBFI","Y","Y","2019-04-05 09:35:17","2019-04-05 09:35:17","GIBLINC ","GIBLINC ","","","","",""
"OPB","TIBOR","DTIBO","Y","Y","2019-04-05 09:36:20","2019-04-05 09:36:20","GIBLINC ","GIBLINC ","","","","",""
"OPB","TIIE ","TIIE ","Y","Y","2019-04-05 09:36:46","2019-04-05 09:36:46","GIBLINC ","GIBLINC ","","","","",""
"OPB","USDLI","LIBOR","Y","Y","2019-04-05 09:37:08","2019-04-05 09:37:08","GIBLINC ","GIBLINC ","","","","",""
"OPB","ZTIBO","ZTIBO","Y","Y","2019-04-05 09:37:38","2019-04-05 09:37:38","GIBLINC ","GIBLINC ","","","","",""
"OPB","EURLI","LIBOR","Y","Y","2019-04-05 09:43:45","2019-04-05 09:43:45","GIBLINC ","GIBLINC ","","","","",""
"OPB","GBLIB","LIBOR","Y","Y","2019-04-05 09:44:26","2019-04-05 09:44:26","GIBLINC ","GIBLINC ","","","","",""
"ONB","STIBO","9M   ","N","Y","2019-04-05 10:14:40","2019-04-05 10:14:40","LS2BATCH","LS2BATCH","","","","",""
"ONB","STIBO","1Y   ","N","Y","2019-04-05 10:14:40","2019-04-05 10:14:40","LS2BATCH","LS2BATCH","","","","",""
"PAB","AFSAU","CB001","Y","Y","2019-04-05 10:14:40","2019-04-05 10:14:40","LS2BATCH","LS2BATCH","","","","",""
"PAB","HFIAU","CB001","Y","Y","2019-04-05 10:14:40","2019-04-05 10:14:40","LS2BATCH","LS2BATCH","","","","",""
"PAB","SYNAU","CB001","Y","Y","2019-04-05 10:14:40","2019-04-05 10:14:40","LS2BATCH","LS2BATCH","","","","",""
"PAB","INTER","CB001","Y","Y","2019-04-05 10:14:40","2019-04-05 10:14:40","LS2BATCH","LS2BATCH","","","","",""
"PAB","AFSAU","CB022","Y","Y","2019-04-05 10:14:40","2019-04-05 10:14:40","LS2BATCH","LS2BATCH","","","","",""
"PAB","HFIAU","CB022","Y","Y","2019-04-05 10:14:40","2019-04-05 10:14:40","LS2BATCH","LS2BATCH","","","","",""
"PAB","SYNAU","CB022","Y","Y","2019-04-05 10:14:40","2019-04-05 10:14:40","LS2BATCH","LS2BATCH","","","","",""
"PAB","NONE ","CB022","Y","Y","2019-04-05 10:14:40","2019-04-05 10:14:40","LS2BATCH","LS2BATCH","","","","",""
"ONB","BAB  ","7D   ","Y","Y","2019-04-05 10:14:40","2019-04-05 10:14:40","LS2BATCH","LS2BATCH","","","","",""
"ONB","CHFLI","7D   ","Y","Y","2019-04-05 10:14:40","2019-04-05 10:14:40","LS2BATCH","LS2BATCH","","","","",""
"ONB","CHIBO","7D   ","Y","Y","2019-04-05 10:14:41","2019-04-05 10:14:41","LS2BATCH","LS2BATCH","","","","",""
"ONB","CIBOR","7D   ","Y","Y","2019-04-05 10:14:41","2019-04-05 10:14:41","LS2BATCH","LS2BATCH","","","","",""
"ONB","CNYSH","7D   ","Y","Y","2019-04-05 10:14:41","2019-04-05 10:14:41","LS2BATCH","LS2BATCH","","","","",""
"RIP","ABANM","N    ","Y","Y","2019-04-05 10:21:27","2019-04-05 10:21:27","GIBLINC ","GIBLINC ","","","","",""
"RIP","ACCNA","N    ","Y","Y","2019-04-05 10:21:43","2019-04-05 10:21:43","GIBLINC ","GIBLINC ","","","","",""
"RIP","APPUN","N    ","Y","Y","2019-04-05 10:21:54","2019-04-05 10:21:54","GIBLINC ","GIBLINC ","","","","",""
"RIP","IMTMG","N    ","Y","Y","2019-04-05 10:22:03","2019-04-05 10:22:03","GIBLINC ","GIBLINC ","","","","",""
"RIP","ADDIN","N    ","Y","Y","2019-04-05 10:22:10","2019-04-05 10:22:10","GIBLINC ","GIBLINC ","","","","",""
"RIP","BALNC","N    ","Y","Y","2019-04-05 10:22:32","2019-04-05 10:22:32","GIBLINC ","GIBLINC ","","","","",""
"ONB","CSHIB","7D   ","N","Y","2019-04-05 10:29:52","2019-04-05 10:29:52","LS2BATCH","LS2BATCH","","","","",""
"ONB","EURLI","7D   ","Y","Y","2019-04-05 10:29:52","2019-04-05 10:29:52","LS2BATCH","LS2BATCH","","","","",""
"ONB","ELIBO","7D   ","Y","Y","2019-04-05 10:29:52","2019-04-05 10:29:52","LS2BATCH","LS2BATCH","","","","",""
"ONB","JIBOR","7D   ","Y","Y","2019-04-05 10:29:52","2019-04-05 10:29:52","LS2BATCH","LS2BATCH","","","","",""
"ONB","JPYLI","7D   ","Y","Y","2019-04-05 10:29:52","2019-04-05 10:29:52","LS2BATCH","LS2BATCH","","","","",""
"ONB","PRIBO","7D   ","Y","Y","2019-04-05 10:29:52","2019-04-05 10:29:52","LS2BATCH","LS2BATCH","","","","",""
"ONB","THBFI","7D   ","Y","Y","2019-04-05 10:29:53","2019-04-05 10:29:53","LS2BATCH","LS2BATCH","","","","",""
"RIP","AUTOD","N    ","Y","Y","2019-04-05 10:22:48","2019-04-05 10:22:48","GIBLINC ","GIBLINC ","","","","",""
"RIP","ATTNT","N    ","Y","Y","2019-04-05 10:22:59","2019-04-05 10:22:59","GIBLINC ","GIBLINC ","","","","",""
"RIP","BTBIN","N    ","Y","Y","2019-04-05 10:23:18","2019-04-05 10:23:18","GIBLINC ","GIBLINC ","","","","",""
"RIP","BNACC","N    ","Y","Y","2019-04-05 10:23:28","2019-04-05 10:23:28","GIBLINC ","GIBLINC ","","","","",""
"RIP","BNINF","N    ","Y","Y","2019-04-05 10:23:35","2019-04-05 10:23:35","GIBLINC ","GIBLINC ","","","","",""
"RIP","BNTYP","N    ","Y","Y","2019-04-05 10:23:43","2019-04-05 10:23:43","GIBLINC ","GIBLINC ","","","","",""
"RIP","BKACC","N    ","Y","Y","2019-04-05 10:23:51","2019-04-05 10:23:51","GIBLINC ","GIBLINC ","","","","",""
"RIP","CHIPS","N    ","Y","Y","2019-04-05 10:23:59","2019-04-05 10:23:59","GIBLINC ","GIBLINC ","","","","",""
"ONB","ZTIBO","7D   ","Y","Y","2019-04-05 10:31:09","2019-04-05 10:31:09","LS2BATCH","LS2BATCH","","","","",""
"ONB","USDLI","7D   ","Y","Y","2019-04-05 10:31:14","2019-04-05 10:31:14","LS2BATCH","LS2BATCH","","","","",""
"RIP","CLRNM","N    ","Y","Y","2019-04-05 10:24:06","2019-04-05 10:24:06","GIBLINC ","GIBLINC ","","","","",""
"ONB","TIBOR","7D   ","Y","Y","2019-04-05 10:31:18","2019-04-05 10:31:18","LS2BATCH","LS2BATCH","","","","",""
"RIP","CURR ","N    ","Y","Y","2019-04-05 10:24:14","2019-04-05 10:24:14","GIBLINC ","GIBLINC ","","","","",""
"RIP","DESCR","N    ","Y","Y","2019-04-05 10:24:29","2019-04-05 10:24:29","GIBLINC ","GIBLINC ","","","","",""
"RIP","DIREC","N    ","Y","Y","2019-04-05 10:24:45","2019-04-05 10:24:45","GIBLINC ","GIBLINC ","","","","",""
"RIP","DIVIS","N    ","Y","Y","2019-04-05 10:24:52","2019-04-05 10:24:52","GIBLINC ","GIBLINC ","","","","",""
"RIP","IMTFL","N    ","Y","Y","2019-04-05 10:25:05","2019-04-05 10:25:05","GIBLINC ","GIBLINC ","","","","",""
"RIP","ADVIC","N    ","Y","Y","2019-04-05 10:25:21","2019-04-05 10:25:21","GIBLINC ","GIBLINC ","","","","",""
"RIP","THRES","N    ","Y","Y","2019-04-05 10:25:33","2019-04-05 10:25:33","GIBLINC ","GIBLINC ","","","","",""
"RIP","PRDCT","N    ","Y","Y","2019-04-05 10:25:41","2019-04-05 10:25:41","GIBLINC ","GIBLINC ","","","","",""
"RIP","SUMMN","N    ","Y","Y","2019-04-05 10:25:48","2019-04-05 10:25:48","GIBLINC ","GIBLINC ","","","","",""
"ONB","CHIBO","14D  ","Y","Y","2019-04-05 10:35:03","2019-04-05 10:35:03","LS2BATCH","LS2BATCH","","","","",""
"ONB","CIBOR","14D  ","Y","Y","2019-04-05 10:35:03","2019-04-05 10:35:03","LS2BATCH","LS2BATCH","","","","",""
"ONB","CNYSH","14D  ","Y","Y","2019-04-05 10:35:03","2019-04-05 10:35:03","LS2BATCH","LS2BATCH","","","","",""
"ONB","EURIB","14D  ","N","Y","2019-04-05 10:35:03","2019-06-26 03:12:40","LS2BATCH","ADM_PETE","","","","",""
"ONB","HIBOR","14D  ","Y","Y","2019-04-05 10:35:03","2019-04-05 10:35:03","LS2BATCH","LS2BATCH","","","","",""
"ONB","EURLI","3M   ","Y","Y","2019-04-05 10:35:03","2019-04-05 10:35:03","LS2BATCH","LS2BATCH","","","","",""
"ONB","EURLI","6M   ","Y","Y","2019-04-05 10:35:03","2019-04-05 10:35:03","LS2BATCH","LS2BATCH","","","","",""
"ONB","EURLI","1Y   ","N","Y","2019-04-05 10:35:03","2019-04-05 10:35:03","LS2BATCH","LS2BATCH","","","","",""
"ONB","CHFLI","3D   ","Y","Y","2019-04-05 10:35:03","2019-04-05 10:35:03","LS2BATCH","LS2BATCH","","","","",""
"ONB","CHFLI","1W   ","N","Y","2019-04-05 10:35:03","2019-04-05 10:35:03","LS2BATCH","LS2BATCH","","","","",""
"ONB","CHFLI","1M   ","Y","Y","2019-04-05 10:35:03","2019-04-05 10:35:03","LS2BATCH","LS2BATCH","","","","",""
"ONB","CHFLI","2M   ","Y","Y","2019-04-05 10:35:03","2019-04-05 10:35:03","LS2BATCH","LS2BATCH","","","","",""
"ONB","CHFLI","3M   ","Y","Y","2019-04-05 10:35:03","2019-04-05 10:35:03","LS2BATCH","LS2BATCH","","","","",""
"ONB","CDOR ","7D   ","N","Y","2014-04-14 12:38:28","2014-04-14 12:38:28","LOANIQ01","LOANIQ01","","","","",""
"ONB","CDOR ","7M   ","N","Y","2014-04-14 12:38:57","2014-04-14 12:38:57","LOANIQ01","LOANIQ01","","","","",""
"ONB","CDOR ","8M   ","N","Y","2014-04-14 12:39:23","2014-04-14 12:39:23","LOANIQ01","LOANIQ01","","","","",""
"ONB","CDOR ","2M   ","Y","Y","2014-04-14 12:35:33","2014-04-14 12:35:33","LOANIQ01","LOANIQ01","","","","",""
"ONB","CDOR ","2Y   ","N","Y","2014-04-14 12:36:01","2014-04-14 12:36:01","LOANIQ01","LOANIQ01","","","","",""
"ONB","CDOR ","3M   ","Y","Y","2014-04-14 12:36:29","2014-04-14 12:36:29","LOANIQ01","LOANIQ01","","","","",""
"ONB","CDOR ","4M   ","N","Y","2014-04-14 12:37:00","2014-04-14 12:37:00","LOANIQ01","LOANIQ01","","","","",""
"ONB","CDOR ","5M   ","N","Y","2014-04-14 12:37:30","2014-04-14 12:37:30","LOANIQ01","LOANIQ01","","","","",""
"ONB","CDOR ","6M   ","Y","Y","2014-04-14 12:37:59","2014-04-14 12:37:59","LOANIQ01","LOANIQ01","","","","",""
"IBD","00001","N    ","Y","N","2019-04-01 02:57:59","2019-04-01 02:57:59","LS2USER ","LS2USER ","","","","",""
"DPP","GLB  ","AUSAG","Y","Y","2019-04-04 16:34:40","2019-04-04 16:34:40","KANDERSO","KANDERSO","","","","",""
"DPP","GLB  ","INTOL","Y","Y","2019-04-04 16:34:50","2019-04-04 16:34:50","KANDERSO","KANDERSO","","","","",""
"DPP","GLB  ","AUSNA","Y","Y","2019-04-04 16:35:00","2019-04-04 16:35:00","KANDERSO","KANDERSO","","","","",""
"FXP","AUD  ","CAD  ","Y","Y","2019-04-04 17:21:43","2019-04-04 17:21:43","GIBLINC ","GIBLINC ","","","","",""
"FXP","AUD  ","CHF  ","Y","Y","2019-04-04 17:22:04","2019-04-04 17:22:04","GIBLINC ","GIBLINC ","","","","",""
"FXP","AUD  ","CNH  ","Y","Y","2019-04-04 17:22:16","2019-04-04 17:22:16","GIBLINC ","GIBLINC ","","","","",""
"FXP","AUD  ","CNY  ","Y","Y","2019-04-04 17:22:35","2019-04-04 17:22:35","GIBLINC ","GIBLINC ","","","","",""
"FXP","AUD  ","CZK  ","Y","Y","2019-04-04 17:22:51","2019-04-04 17:22:51","GIBLINC ","GIBLINC ","","","","",""
"FXP","AUD  ","DKK  ","Y","Y","2019-04-04 17:23:04","2019-04-04 17:23:04","GIBLINC ","GIBLINC ","","","","",""
"FXP","AUD  ","EUR  ","Y","Y","2019-04-04 17:23:14","2019-04-04 17:23:14","GIBLINC ","GIBLINC ","","","","",""
"FXP","AUD  ","GBP  ","Y","Y","2019-04-04 17:23:24","2019-04-04 17:23:24","GIBLINC ","GIBLINC ","","","","",""
"FXP","AUD  ","HKD  ","Y","Y","2019-04-04 17:23:36","2019-04-04 17:23:36","GIBLINC ","GIBLINC ","","","","",""
"FXP","AUD  ","IDR  ","Y","Y","2019-04-04 17:23:47","2019-04-04 17:23:47","GIBLINC ","GIBLINC ","","","","",""
"FXP","AUD  ","JPY  ","Y","Y","2019-04-04 17:23:58","2019-04-04 17:23:58","GIBLINC ","GIBLINC ","","","","",""
"FXP","AUD  ","MXN  ","Y","Y","2019-04-04 17:24:06","2019-04-04 17:24:06","GIBLINC ","GIBLINC ","","","","",""
"FXP","AUD  ","NOK  ","Y","Y","2019-04-04 17:24:21","2019-04-04 17:24:21","GIBLINC ","GIBLINC ","","","","",""
"FXP","AUD  ","NZD  ","Y","Y","2019-04-04 17:24:30","2019-04-04 17:24:30","GIBLINC ","GIBLINC ","","","","",""
"FXP","AUD  ","SEK  ","Y","Y","2019-04-04 17:24:41","2019-04-04 17:24:41","GIBLINC ","GIBLINC ","","","","",""
"FXP","AUD  ","SGD  ","Y","Y","2019-04-04 17:24:50","2019-04-04 17:24:50","GIBLINC ","GIBLINC ","","","","",""
"FXP","AUD  ","THB  ","Y","Y","2019-04-04 17:25:01","2019-04-04 17:25:01","GIBLINC ","GIBLINC ","","","","",""
"FXP","AUD  ","USD  ","Y","Y","2019-04-04 17:25:10","2019-04-04 17:25:10","GIBLINC ","GIBLINC ","","","","",""
"FXP","AUD  ","ZAR  ","Y","Y","2019-04-04 17:25:20","2019-04-04 17:25:20","GIBLINC ","GIBLINC ","","","","",""
"AFP","APOAD","ANY  ","Y","Y","2019-04-04 17:53:04","2019-04-04 17:53:04","GIBLINC ","GIBLINC ","","","","",""
"AFP","EFTDT","ANY  ","Y","Y","2019-04-04 17:53:12","2019-04-04 17:53:12","GIBLINC ","GIBLINC ","","","","",""
"AFP","EXPDT","ANY  ","Y","Y","2019-04-04 17:53:19","2019-04-04 17:53:19","GIBLINC ","GIBLINC ","","","","",""
"DCP","ACCTI","ANY  ","Y","Y","2019-04-04 17:54:15","2019-04-04 17:54:15","GIBLINC ","GIBLINC ","","","","",""
"DCP","DBRPA","ANY  ","Y","Y","2019-04-04 17:54:27","2019-04-04 17:54:27","GIBLINC ","GIBLINC ","","","","",""
"DCP","ECODE","ANY  ","Y","Y","2019-04-04 17:54:42","2019-04-04 17:54:42","GIBLINC ","GIBLINC ","","","","",""
"DCP","FNRTS","ANY  ","Y","Y","2019-04-04 17:54:59","2019-04-04 17:54:59","GIBLINC ","GIBLINC ","","","","",""
"DCP","OCDTN","ANY  ","Y","Y","2019-04-04 17:55:11","2019-04-04 17:55:11","GIBLINC ","GIBLINC ","","","","",""
"DCP","PSTTS","ANY  ","Y","Y","2019-04-04 17:55:23","2019-04-04 17:55:23","GIBLINC ","GIBLINC ","","","","",""
"FCP","ARIND","ANY  ","Y","Y","2019-04-04 17:56:26","2019-04-04 17:56:26","GIBLINC ","GIBLINC ","","","","",""
"FCP","ADFLD","ANY  ","Y","Y","2019-04-04 17:56:34","2019-04-04 17:56:34","GIBLINC ","GIBLINC ","","","","",""
"FCP","FAGDT","ANY  ","Y","Y","2019-04-04 17:56:44","2019-04-04 17:56:44","GIBLINC ","GIBLINC ","","","","",""
"FCP","LCAFA","ANY  ","Y","Y","2019-04-04 17:56:53","2019-04-04 17:56:53","GIBLINC ","GIBLINC ","","","","",""
"FCP","FCARO","ANY  ","Y","Y","2019-04-04 17:57:11","2019-04-04 17:57:11","GIBLINC ","GIBLINC ","","","","",""
"FCP","BORWR","ANY  ","Y","Y","2019-04-04 17:57:22","2019-04-04 17:57:22","GIBLINC ","GIBLINC ","","","","",""
"FCP","BBASE","ANY  ","Y","Y","2019-04-04 17:57:31","2019-04-04 17:57:31","GIBLINC ","GIBLINC ","","","","",""
"FCP","FBRPA","ANY  ","Y","Y","2019-04-04 17:57:38","2019-04-04 17:57:38","GIBLINC ","GIBLINC ","","","","",""
"FCP","CLWBK","ANY  ","Y","Y","2019-04-04 17:57:55","2019-04-04 17:57:55","GIBLINC ","GIBLINC ","","","","",""
"FCP","CRISK","ANY  ","Y","Y","2019-04-04 17:58:07","2019-04-04 17:58:07","GIBLINC ","GIBLINC ","","","","",""
"FCP","IMPST","ANY  ","Y","Y","2019-04-04 17:58:15","2019-04-04 17:58:15","GIBLINC ","GIBLINC ","","","","",""
"FCP","FCURR","ANY  ","Y","Y","2019-04-04 17:58:35","2019-04-04 17:58:35","GIBLINC ","GIBLINC ","","","","",""
"FCP","CURRL","ANY  ","Y","Y","2019-04-04 17:58:51","2019-04-04 17:58:51","GIBLINC ","GIBLINC ","","","","",""
"FCP","CUSIP","ANY  ","Y","Y","2019-04-04 17:59:06","2019-04-04 17:59:06","GIBLINC ","GIBLINC ","","","","",""
"FCP","LCVFX","ANY  ","Y","Y","2019-04-04 17:59:17","2019-04-04 17:59:17","GIBLINC ","GIBLINC ","","","","",""
"FCP","FEFDT","ANY  ","Y","Y","2019-04-04 17:59:25","2019-04-04 17:59:25","GIBLINC ","GIBLINC ","","","","",""
"FCP","FAMDT","ANY  ","Y","Y","2019-04-04 17:59:41","2019-04-04 17:59:41","GIBLINC ","GIBLINC ","","","","",""
"FCP","FEXDT","ANY  ","Y","Y","2019-04-04 17:59:51","2019-04-04 17:59:51","GIBLINC ","GIBLINC ","","","","",""
"FCP","FACBB","ANY  ","Y","Y","2019-04-04 17:59:59","2019-04-04 17:59:59","GIBLINC ","GIBLINC ","","","","",""
"FCP","FACCO","ANY  ","Y","Y","2019-04-04 18:00:14","2019-04-04 18:00:14","GIBLINC ","GIBLINC ","","","","",""
"FCP","FACLS","ANY  ","Y","Y","2019-04-04 18:00:33","2019-04-04 18:00:33","GIBLINC ","GIBLINC ","","","","",""
"FCP","ISDRD","ANY  ","Y","Y","2019-04-04 18:00:45","2019-04-04 18:00:45","GIBLINC ","GIBLINC ","","","","",""
"FCP","TERMN","ANY  ","Y","Y","2019-04-04 18:00:57","2019-04-04 18:00:57","GIBLINC ","GIBLINC ","","","","",""
"FCP","SBLMT","ANY  ","Y","Y","2019-04-04 18:01:06","2019-04-04 18:01:06","GIBLINC ","GIBLINC ","","","","",""
"FCP","STBDT","ANY  ","Y","Y","2019-04-04 18:01:20","2019-04-04 18:01:20","GIBLINC ","GIBLINC ","","","","",""
"FCP","SNCAL","ANY  ","Y","Y","2019-04-04 18:01:29","2019-04-04 18:01:29","GIBLINC ","GIBLINC ","","","","",""
"FCP","SUEDT","ANY  ","Y","Y","2019-04-04 18:01:40","2019-04-04 18:01:40","GIBLINC ","GIBLINC ","","","","",""
"FCP","RSKTP","ANY  ","Y","Y","2019-04-04 18:01:55","2019-04-04 18:01:55","GIBLINC ","GIBLINC ","","","","",""
"FCP","RSIFT","ANY  ","Y","Y","2019-04-04 18:02:06","2019-04-04 18:02:06","GIBLINC ","GIBLINC ","","","","",""
"FCP","LCFEE","ANY  ","Y","Y","2019-04-04 18:02:19","2019-04-04 18:02:19","GIBLINC ","GIBLINC ","","","","",""
"FCP","FRACL","ANY  ","Y","Y","2019-04-04 18:02:30","2019-04-04 18:02:30","GIBLINC ","GIBLINC ","","","","",""
"FCP","PSTDU","ANY  ","Y","Y","2019-04-04 18:02:40","2019-04-04 18:02:40","GIBLINC ","GIBLINC ","","","","",""
