ABA_CDE_FED_ABA,ABA_NME_SHORT,ABA_CDE_STATE,ABA_NME_CITY,ABA_IND_ACTIVE,ABA_IND_MAY_DEACT,ABA_TSP_REC_CREATE,ABA_UID_REC_CREATE,ABA_TSP_REC_UPDATE,ABA_UID_REC_UPDATE,ABA_NME_FULL
031100092,"WILM TRUST        ",DE,"WILMINGTON          ",Y,Y,2005-08-31 16:30:35,LS2BATCH,2005-08-31 16:30:35,LS2BATCH,WILMINGTON TRUST CO.
031100102,"WSFS WILM DE      ",DE,"WILMINGTON          ",Y,Y,2005-08-31 16:30:35,LS2BATCH,2005-08-31 16:40:17,"ADMIN2  ","WILMINGTON SAV FUND SOCIETY, FSB"
031100144,"CHASE USA NA WILM ",DE,"NEWARK              ",Y,Y,2005-08-31 16:30:35,LS2BATCH,2005-08-31 16:40:22,"ADMIN2  ","CHASE MANHATTAN BANK USA, NA"
031100160,"MBNA NEWARK       ",DE,"WILMINGTON          ",Y,Y,2005-08-31 16:30:35,LS2BATCH,2005-08-31 16:40:29,"ADMIN2  ","MBNA AMERICA BK, NA"
031100209,"CITIBANK WILM     ",DE,"NEW CASTLE          ",Y,Y,2005-08-31 16:30:35,LS2BATCH,2005-08-31 16:30:35,LS2BATCH,CITIBANK (DELAWARE)
031100283,"BK ONE, DE, N.A.  ",DE,"WILMINGTON          ",Y,Y,2005-08-31 16:30:35,LS2BATCH,2005-08-31 16:40:48,"ADMIN2  ","BANK ONE, DELAWARE N.A."
031100351,"BK OF NY WILM     ",DE,"NEWARK              ",Y,Y,2005-08-31 16:30:35,LS2BATCH,2005-08-31 16:30:35,LS2BATCH,THE BANK OF NEW YORK
031100380,"BANKERS TR WILM   ",DE,"WILMINGTON          ",Y,Y,2005-08-31 16:30:35,LS2BATCH,2005-08-31 16:30:35,LS2BATCH,DEUTSCHE BANK TRUST COMPANY DELAWARE
031100762,"CITICORP TRUST BK ",MD,"BALTIMORE           ",Y,Y,2005-08-31 16:30:36,LS2BATCH,2005-08-31 16:40:57,"ADMIN2  ","CITICORP TRUST BANK, FSB"
031100869,"FIRST UNION DE    ",DE,"WILMINGTON          ",Y,Y,2005-08-31 16:30:36,LS2BATCH,2005-08-31 16:41:03,"ADMIN2  ","WACHOVIA BANK OF DELAWARE, NA"
031101004,HSBC B&T CO (DE)NA,DE,"WILMINGTON          ",Y,Y,2005-08-31 16:30:36,LS2BATCH,2005-08-31 16:30:36,LS2BATCH,HSBC BK & TR CO (DE) NAT'L ASSOC.
031101143,"CITIZENS BANK DE  ",DE,"WILMINGTON          ",Y,Y,2005-08-31 16:30:36,LS2BATCH,2005-08-31 16:30:36,LS2BATCH,CITIZENS BANK
031176097,"AIG FEDERAL       ",DE,"WILMINGTON          ",Y,Y,2005-08-31 16:30:36,LS2BATCH,2005-08-31 16:30:36,LS2BATCH,AIG FEDERAL SAVINGS BANK
031176110,"ING BANK          ",DE,"WILMINGTON          ",Y,Y,2005-08-31 16:30:36,LS2BATCH,2005-08-31 16:41:10,"ADMIN2  ","ING BANK, FSB"
031201328,"COMMERCE FORK RVR ",NJ,"FORKED RIVER        ",Y,Y,2005-08-31 16:30:36,LS2BATCH,2005-08-31 16:30:36,LS2BATCH,COMMERCE BK/SHORE
031201360,"COMM BK MARLTON   ",NJ,"CHERRY HILL         ",Y,Y,2005-08-31 16:30:36,LS2BATCH,2005-08-31 16:41:17,"ADMIN2  ","COMMERCE BANK, NA"
031201467,FIRST UNION NJNYPA,PA,"AVONDALE            ",Y,Y,2005-08-31 16:30:36,LS2BATCH,2005-08-31 16:30:36,LS2BATCH,FIRST UNION NATIONAL BANK
031202110,FARM MER BRIDGETON,NJ,"BRIDGETON           ",Y,Y,2005-08-31 16:30:36,LS2BATCH,2005-08-31 16:30:36,LS2BATCH,HUDSON UNITED/FARMERS & MERCHANTS
031207607,"PNCBANK NJ        ",NJ,"CHERRY HILL         ",Y,Y,2005-08-31 16:30:36,LS2BATCH,2005-08-31 16:30:36,LS2BATCH,PNC NATL BK OF NJ
031207801,"COMMERCE BANK DE  ",NJ,"CHERRY HILL         ",Y,Y,2005-08-31 16:30:37,LS2BATCH,2005-08-31 16:41:27,"ADMIN2  ","COMMERCE BANK DE, NA"
031304050,SUMMIT BK BETHLEHE,PA,"BETHLEHEM           ",Y,Y,2005-08-31 16:30:37,LS2BATCH,2005-08-31 16:30:37,LS2BATCH,FLEET NATIONAL BANK
031305253,"CITIZ LANSFORD    ",PA,"LANSFORD            ",Y,Y,2005-08-31 16:30:37,LS2BATCH,2005-08-31 16:30:37,LS2BATCH,CITIZENS NATIONAL BANK
031310086,"PEOPLESBANK CVB   ",PA,"GLEN ROCK           ",Y,Y,2005-08-31 16:30:37,LS2BATCH,2005-08-31 16:30:37,LS2BATCH,PEOPLESBANK
031311807,"PEOPLES NATIONAL  ",PA,"HALLSTEAD           ",Y,Y,2005-08-31 16:30:37,LS2BATCH,2005-08-31 16:30:37,LS2BATCH,PEOPLES NATIONAL BANK
031314503,"PEOPLES WYALUSING ",PA,"WYALUSING           ",Y,Y,2005-08-31 16:30:37,LS2BATCH,2005-08-31 16:30:37,LS2BATCH,PEOPLES STATE BANK
031314749,"CITIZ PALMERTON   ",PA,"PALMERTON           ",Y,Y,2005-08-31 16:30:37,LS2BATCH,2005-08-31 16:30:37,LS2BATCH,CITIZENS NATIONAL BANK
031901482,JEFF BK DOWNINGTOW,PA,"DOWNINGTOWN         ",Y,Y,2005-08-31 16:30:37,LS2BATCH,2005-08-31 16:30:37,LS2BATCH,HUDSON UNITED/JEFFERSON BANK
036002247,REPUBLIC FIRST PHI,PA,"PHILADELPHIA        ",Y,Y,2005-08-31 16:30:37,LS2BATCH,2005-08-31 16:30:37,LS2BATCH,REPUBLIC FIRST BANK
036002425,FIR COMMERCL PHILA,PA,"PHILADELPHIA        ",Y,Y,2005-08-31 16:30:37,LS2BATCH,2005-08-31 16:30:37,LS2BATCH,HSBC BANK USA- PHILADELPHIA
036076150,CITIZENS BK OF PEN,PA,"PHILADELPHIA        ",Y,Y,2005-08-31 16:30:38,LS2BATCH,2005-08-31 16:30:38,LS2BATCH,CITIZENS BANK
041000014,"FRB CLE           ",OH,"CLEVELAND           ",Y,Y,2005-08-31 16:30:38,LS2BATCH,2005-08-31 16:30:38,LS2BATCH,FEDERAL RESERVE BANK OF CLEVELAND
041000124,"NATIONAL CITY OH  ",OH,"CLEVELAND           ",Y,Y,2005-08-31 16:30:38,LS2BATCH,2005-08-31 16:30:38,LS2BATCH,NATIONAL CITY  BANK
041001039,KEY GR LAKES CLEVE,OH,"CLEVELAND           ",Y,Y,2005-08-31 16:30:38,LS2BATCH,2005-08-31 16:30:38,LS2BATCH,KEY BANK
041002957,KEY BANK USA CLEVE,OH,"CLEVELAND           ",Y,Y,2005-08-31 16:30:38,LS2BATCH,2005-08-31 16:30:38,LS2BATCH,KEY BANK USA N.A.
041201635,"CITIZENS SANDUSKY ",OH,"SANDUSKY            ",Y,Y,2005-08-31 16:30:38,LS2BATCH,2005-08-31 16:30:38,LS2BATCH,CITIZENS BANKING CO
041202100,"COMERICA TOLEDO   ",MI,"DETROIT             ",Y,Y,2005-08-31 16:30:38,LS2BATCH,2005-08-31 16:41:40,"ADMIN2  ","COMERICA BANK, NATIONAL ASSOCIATION"
041203594,"STATE DEFIANCE    ",OH,"DEFIANCE            ",Y,Y,2005-08-31 16:30:38,LS2BATCH,2005-08-31 16:30:38,LS2BATCH,THE STATE BANK AND TRUST COMPANY
041203824,"WELLS VAN WERT    ",OH,"VAN WERT            ",Y,Y,2005-08-31 16:30:38,LS2BATCH,2005-08-31 16:41:47,"ADMIN2  ","WELLS FARGO BANK OHIO, N.A."
041251245,TRUST CO. DELAWARE,DE,"WILMINGTON          ",Y,Y,2005-08-31 16:30:38,LS2BATCH,2005-08-31 16:30:38,LS2BATCH,(CIN)U.S. TRUST CO. OF DELAWARE
041251805,"COMERICA TOLEDO   ",MI,"DETROIT             ",Y,Y,2005-08-31 16:30:39,LS2BATCH,2005-08-31 16:41:55,"ADMIN2  ","(CIN)COMERICA BANK & TRUST, N.A."
042000013,"U S BK CINCINNATI ",OH,"CINCINNATI          ",Y,Y,2005-08-31 16:30:39,LS2BATCH,2005-08-31 16:42:02,"ADMIN2  ","U.S. BANK,N.A."
042000314,"FIFTH THIRD CINCI ",OH,"CINCINNATI          ",Y,Y,2005-08-31 16:30:39,LS2BATCH,2005-08-31 16:30:39,LS2BATCH,FIFTH THIRD BANK
042000398,"PNCBANK CINCI     ",OH,"CINCINNATI          ",Y,Y,2005-08-31 16:30:39,LS2BATCH,2005-08-31 16:42:12,"ADMIN2  ","PNC BANK, NA"
042000424,"PROV CINCI        ",OH,"CINCINNATI          ",Y,Y,2005-08-31 16:30:39,LS2BATCH,2005-08-31 16:30:39,LS2BATCH,THE PROVIDENT BANK
042000437,"FRB CIN           ",OH,"CINCINNATI          ",Y,Y,2005-08-31 16:30:39,LS2BATCH,2005-08-31 16:30:39,LS2BATCH,FRB CLEVELAND - CINCINNATI BRANCH
042100175,"US BANK KENTUCKY  ",KY,"COVINGTON           ",Y,Y,2005-08-31 16:30:39,LS2BATCH,2005-08-31 16:30:39,LS2BATCH,US BANK NATIONAL ASSOCIATION
042100230,"FIFTH COVINGTON   ",KY,"FLORENCE            ",Y,Y,2005-08-31 16:30:39,LS2BATCH,2005-08-31 16:42:19,"ADMIN2  ","FIFTH THIRD BANK, NORTHERN KENTUCKY"
026013071,"KOREA DEVBANK NYC ",NY,"NEW YORK            ",Y,Y,2005-08-31 16:30:34,LS2BATCH,2005-08-31 16:30:34,LS2BATCH,KOREA DEVELOPMENT BANK - NY BRANCH
042107592,"PEO BK SANDYHOOK  ",KY,"MOREHEAD            ",Y,Y,2005-08-31 16:30:40,LS2BATCH,2005-08-31 16:30:40,LS2BATCH,PEOPLES BANK
042107673,"CITIZENS MOREHEAD ",KY,"MOREHEAD            ",Y,Y,2005-08-31 16:30:40,LS2BATCH,2005-08-31 16:30:40,LS2BATCH,THE CITIZENS BANK
042108122,"CITIZENS JACKSON  ",KY,"JACKSON             ",Y,Y,2005-08-31 16:30:40,LS2BATCH,2005-08-31 16:30:40,LS2BATCH,THE CITIZENS BANK & TRUST CO.
042309222,"PEOPLES COLDWATR  ",OH,"COLDWATER           ",Y,Y,2005-08-31 16:30:40,LS2BATCH,2005-08-31 16:30:40,LS2BATCH,THE PEOPLES BANK COMPANY
043000096,"PNCBANK PITT      ",PA,"PITTSBURGH          ",Y,Y,2005-08-31 16:30:40,LS2BATCH,2005-08-31 16:42:38,"ADMIN2  ","PNC BANK, NATIONAL ASSOCIATION"
043000122,"NATIONAL CITY PA  ",PA,"PITTSBURGH          ",Y,Y,2005-08-31 16:30:40,LS2BATCH,2005-08-31 16:30:40,LS2BATCH,NATIONAL CITY BANK OF PENNSYLVANIA
043000261,"MELLON BANK PITTS ",PA,"PITTSBURGH          ",Y,Y,2005-08-31 16:30:40,LS2BATCH,2005-08-31 16:42:46,"ADMIN2  ","MELLON BANK, N. A."
043000300,"FRB PIT           ",PA,"PITTSBURGH          ",Y,Y,2005-08-31 16:30:40,LS2BATCH,2005-08-31 16:30:40,LS2BATCH,FRB CLEVELAND - PITTSBURGH BRANCH
043001435,"FHLB PITTS        ",PA,"PITTSBURGH          ",Y,Y,2005-08-31 16:30:41,LS2BATCH,2005-08-31 16:30:41,LS2BATCH,FEDERAL HOME LOAN BANK
043002900,PNC FSB PITTSBURGH,PA,"PITTSBURGH          ",Y,Y,2005-08-31 16:30:41,LS2BATCH,2005-08-31 16:30:41,LS2BATCH,PNC BANK
043202409,BK ONE WHEELG STVL,WV,"WHEELING            ",Y,Y,2005-08-31 16:30:41,LS2BATCH,2005-08-31 16:30:41,LS2BATCH,BANK ONE WHEELING-STEUBENVILLE NA
043202946,CITZ MARTINS FERRY,OH,"MARTINS FERRY       ",Y,Y,2005-08-31 16:30:41,LS2BATCH,2005-08-31 16:30:41,LS2BATCH,THE CITIZENS SAVINGS BANK
043208296,PEOPLE MT PLEASANT,OH,"MOUNT PLEASANT      ",Y,Y,2005-08-31 16:30:41,LS2BATCH,2005-08-31 16:30:41,LS2BATCH,PEOPLES NATL BANK OF MOUNT PLEASANT
043310980,"CMTY CARMICHAELS  ",PA,"CARMICHAELS         ",Y,Y,2005-08-31 16:30:41,LS2BATCH,2005-08-31 16:42:55,"ADMIN2  ","COMMUNITY BANK, N. A."
044000024,"HUNT COL          ",OH,"COLUMBUS            ",Y,Y,2005-08-31 16:30:41,LS2BATCH,2005-08-31 16:30:41,LS2BATCH,THE HUNTINGTON NATIONAL BANK
044000037,"BANK ONE NA OHIO  ",OH,"COLUMBUS            ",Y,Y,2005-08-31 16:30:41,LS2BATCH,2005-08-31 16:43:03,"ADMIN2  ","BANK ONE, N.A."
044000503,"RCPC COL          ",OH,"COLUMBUS            ",Y,Y,2005-08-31 16:30:41,LS2BATCH,2005-08-31 16:30:41,LS2BATCH,FRB CLEVELAND - COLUMBUS RCPC
044000804,"BK ONE TRUST COL  ",OH,"COLUMBUS            ",Y,Y,2005-08-31 16:30:41,LS2BATCH,2005-08-31 16:30:41,LS2BATCH," BANK ONE TRUST COMPANY, N.A."
044002802,"COMMERCE COLUMBUS ",OH,"COLUMBUS            ",Y,Y,2005-08-31 16:30:42,LS2BATCH,2005-08-31 16:30:42,LS2BATCH,COMMERCE NATIONAL BANK
044105819,"PEO NEW LEXINGTON ",OH,"NEW LEXINGTON       ",Y,Y,2005-08-31 16:30:42,LS2BATCH,2005-08-31 16:30:42,LS2BATCH,PEOPLES NATL. BK. OF NEW LEXINGTON
044112488,PEOPLES BK GAMBIER,OH,"GAMBIER             ",Y,Y,2005-08-31 16:30:42,LS2BATCH,2005-08-31 16:30:42,LS2BATCH,THE PEOPLES BANK
044202505,"PEOPLES MARIETTA  ",OH,"MARIETTA            ",Y,Y,2005-08-31 16:30:42,LS2BATCH,2005-08-31 16:43:08,"ADMIN2  ","PEOPLES BANK, NATIONAL ASSOCIATION"
044208936,"CITIZENS BEVERLY  ",OH,"BEVERLY             ",Y,Y,2005-08-31 16:30:42,LS2BATCH,2005-08-31 16:30:42,LS2BATCH,THE CITIZENS BANK COMPANY
044212139,"PEO NEW MATAMORAS ",OH,"NEW MATAMORAS       ",Y,Y,2005-08-31 16:30:42,LS2BATCH,2005-08-31 16:30:42,LS2BATCH,THE PEOPLES SAVINGS BANK
051000017,"BK AMERICA VA     ",VA,"RICHMOND            ",Y,Y,2005-08-31 16:30:42,LS2BATCH,2005-08-31 16:30:42,LS2BATCH,BANK OF AMERICA N.A.
051000253,"WACHOVIA RICH     ",VA,"RICHMOND            ",Y,Y,2005-08-31 16:30:42,LS2BATCH,2005-08-31 16:30:42,LS2BATCH,WACHOVIA BANK N.A.
051400549,"FIRST UNION VA    ",VA,"ROANOKE             ",Y,Y,2005-08-31 16:30:42,LS2BATCH,2005-08-31 16:30:42,LS2BATCH,FIRST UNION NAT'L BANK OF VIRGINIA
051402233,"CITZ BLACKSTONE   ",VA,"BLACKSTONE          ",Y,Y,2005-08-31 16:30:42,LS2BATCH,2005-08-31 16:30:42,LS2BATCH,CITIZENS BANK & TRUST CO
051404040,"PEOPLES DANVILLE  ",VA,"DANVILLE            ",Y,Y,2005-08-31 16:30:43,LS2BATCH,2005-08-31 16:30:43,LS2BATCH,PEOPLES NATIONAL BANK
051405450,"VALLEY BK ROANOKE ",VA,"ROANOKE             ",Y,Y,2005-08-31 16:30:43,LS2BATCH,2005-08-31 16:43:20,"ADMIN2  ","VALLEY BANK, NA"
051405515,"CAP ONE RICH      ",VA,"MCLEAN              ",Y,Y,2005-08-31 16:30:43,LS2BATCH,2005-08-31 16:30:43,LS2BATCH,CAPITAL ONE  BANK
051409100,HANOVER MECHANICVL,VA,"MECHANICSVILLE      ",Y,Y,2005-08-31 16:30:43,LS2BATCH,2005-08-31 16:30:43,LS2BATCH,HANOVER BANK
051409142,"PEOPLES BK VA     ",VA,"RICHMOND            ",Y,Y,2005-08-31 16:30:43,LS2BATCH,2005-08-31 16:30:43,LS2BATCH,PEOPLES BANK OF VIRGINIA
051501150,"CITZ ELKINS       ",WV,"ELKINS              ",Y,Y,2005-08-31 16:30:43,LS2BATCH,2005-08-31 16:30:43,LS2BATCH,CITIZENS NATIONAL BANK
051502298,PROGRESS BUCHANNON,WV,"BUCKHANNON          ",Y,Y,2005-08-31 16:30:43,LS2BATCH,2005-08-31 16:43:28,"ADMIN2  ","PROGRESSIVE BANK, N.A."
051900366,"BANK ONE WEST VA  ",WV,"CHARLESTON          ",Y,Y,2005-08-31 16:30:43,LS2BATCH,2005-08-31 16:43:38,"ADMIN2  ","BANK ONE, W VIRGINIA, CHARLESTON, NA"
052000113,"ALLFIRST BANK     ",MD,"BALTIMORE           ",Y,Y,2005-08-31 16:30:43,LS2BATCH,2005-08-31 16:30:43,LS2BATCH,ALLFIRST BANK
052000278,"FRB BALT          ",MD,"BALTIMORE           ",Y,Y,2005-08-31 16:30:43,LS2BATCH,2005-08-31 16:43:44,"ADMIN2  ","FRB, BALTIMORE"
052000618,"MERCANTILE BALT   ",MD,"BALTIMORE           ",Y,Y,2005-08-31 16:30:44,LS2BATCH,2005-08-31 16:30:44,LS2BATCH,MERCANTILE SAFE DEPOSIT & TRUST CO
052001633,"BK AMERICA MD     ",MD,"BALTIMORE           ",Y,Y,2005-08-31 16:30:44,LS2BATCH,2005-08-31 16:43:52,"ADMIN2  ","BANK OF AMERICA, N.A."
052100547,"FID FROSTBURG     ",MD,"FROSTBURG           ",Y,Y,2005-08-31 16:30:44,LS2BATCH,2005-08-31 16:30:44,LS2BATCH,THE FIDELITY BANK
052101931,PROV ST PRESTON MD,MD,"PRESTON             ",Y,Y,2005-08-31 16:30:44,LS2BATCH,2005-08-31 16:43:59,"ADMIN2  ","PROVIDENT STATE BANK, INC."
052173464,"WILM TR FSB MD    ",MD,"BALTIMORE           ",Y,Y,2005-08-31 16:30:44,LS2BATCH,2005-08-31 16:44:05,"ADMIN2  ","WILMINGTON TRUST, F.S.B."
053000196,"BK AMERICA NC     ",NC,"CHARLOTTE           ",Y,Y,2005-08-31 16:30:44,LS2BATCH,2005-08-31 16:30:44,LS2BATCH,BANK OF AMERICA N.A.
053000206,"FRB CHAR          ",NC,"CHARLOTTE           ",Y,Y,2005-08-31 16:30:44,LS2BATCH,2005-08-31 16:44:12,"ADMIN2  ","FRB, CHARLOTTE"
053000219,"FIRST UNION NC    ",NC,"CHARLOTTE           ",Y,Y,2005-08-31 16:30:44,LS2BATCH,2005-08-31 16:30:44,LS2BATCH,FIRST UNION NATIONAL BANK
053100300,FIRST CITZ RALEIGH,NC,"RALEIGH             ",Y,Y,2005-08-31 16:30:44,LS2BATCH,2005-08-31 16:30:44,LS2BATCH,FIRST-CITIZENS BANK & TRUST CO
053100494,"WACHOVIA WINSTON  ",NC,"WINSTON-SALEM       ",Y,Y,2005-08-31 16:30:44,LS2BATCH,2005-08-31 16:44:22,"ADMIN2  ","WACHOVIA BANK, N.A."
053101121,"BB&T NC           ",NC,"WILSON              ",Y,Y,2005-08-31 16:30:45,LS2BATCH,2005-08-31 16:30:45,LS2BATCH,BB&T NORTH CAROLINA
053103585,"FID FUQUAY VARINA ",NC,"FUQUAY-VARINA       ",Y,Y,2005-08-31 16:30:45,LS2BATCH,2005-08-31 16:30:45,LS2BATCH,FIDELITY BANK
053104869,"PEOPLES NEWTON    ",NC,"NEWTON              ",Y,Y,2005-08-31 16:30:45,LS2BATCH,2005-08-31 16:30:45,LS2BATCH,PEOPLES BANK
053112372,PEOPLES FAYETTEVLE,NC,"FAYETTEVILLE        ",Y,Y,2005-08-31 16:30:45,LS2BATCH,2005-08-31 16:30:45,LS2BATCH,PEOPLES NATIONAL BANK - FAYETTEVILLE
053112411,PEOPLES NB FAYETVL,NC,"FAYETTEVILLE        ",Y,Y,2005-08-31 16:30:45,LS2BATCH,2005-08-31 16:30:45,LS2BATCH,PEOPLES NATIONAL BANK - FAYETTEVILLE
053201869,"PEOPLES NB EASLEY ",SC,"EASLEY              ",Y,Y,2005-08-31 16:30:45,LS2BATCH,2005-08-31 16:30:45,LS2BATCH,THE PEOPLES NATIONAL BANK
053202156,SUMMIT NB GREENVLE,SC,"GREENVILLE          ",Y,Y,2005-08-31 16:30:45,LS2BATCH,2005-08-31 16:30:45,LS2BATCH,SUMMIT NATIONAL BANK
053207339,"CITIZENS OLANTA   ",SC,"OLANTA              ",Y,Y,2005-08-31 16:30:45,LS2BATCH,2005-08-31 16:30:45,LS2BATCH,THE CITIZENS BANK
053207766,"FIRST UNION SC    ",SC,"GREENVILLE          ",Y,Y,2005-08-31 16:30:45,LS2BATCH,2005-08-31 16:30:45,LS2BATCH,FIRST UNION NATIONAL BANK OF S. C.
053207892,"PEOPLES AIKEN     ",SC,"AIKEN               ",Y,Y,2005-08-31 16:30:45,LS2BATCH,2005-08-31 16:30:45,LS2BATCH,THE PEOPLES COMMUNITY BANK
053900225,"WACHOVIA COLUMBIA ",SC,"COLUMBIA            ",Y,Y,2005-08-31 16:30:45,LS2BATCH,2005-08-31 16:44:38,"ADMIN2  ","WACHOVIA BANK, N.A."
053904483,"BK AMERICA SC     ",SC,"COLUMBIA            ",Y,Y,2005-08-31 16:30:46,LS2BATCH,2005-08-31 16:30:46,LS2BATCH,BANK OF AMERICA N.A.
011000015,"FRB BOS           ",MA,"BOSTON              ",Y,Y,2005-08-31 16:30:17,LS2BATCH,2005-08-31 16:30:17,LS2BATCH,FEDERAL RESERVE BANK OF BOSTON
011000028,"STATE ST BOS      ",MA,"BOSTON              ",Y,Y,2005-08-31 16:30:17,LS2BATCH,2005-08-31 16:30:17,LS2BATCH,STATE STREET BOSTON
011000138,FLEET NATL BANK MA,MA,"BOSTON              ",Y,Y,2005-08-31 16:30:17,LS2BATCH,2005-08-31 16:33:05,"ADMIN2  ","FLEET NATIONAL BANK, MA"
011000206,"FLEET NATL MASS   ",MA,"BOSTON              ",Y,Y,2005-08-31 16:30:17,LS2BATCH,2005-08-31 16:30:17,LS2BATCH,FLEET NAT'L BANK OF MASSACHUSETTS
011000390,"FLEET NATL BK MA  ",MA,"BOSTON              ",Y,Y,2005-08-31 16:30:17,LS2BATCH,2005-08-31 16:33:22,"ADMIN2  ","FLEET NATIONAL BANK, MA"
011001234,"BOS SAFE DEP      ",MA,"BOSTON              ",Y,Y,2005-08-31 16:30:17,LS2BATCH,2005-08-31 16:30:17,LS2BATCH,BOSTON SAFE DEPOSIT AND TRUST CO.
011001438,"INVESTORS BK BOS  ",MA,"BOSTON              ",Y,Y,2005-08-31 16:30:17,LS2BATCH,2005-08-31 16:30:17,LS2BATCH,INVESTORS BANK & TRUST CO.
011001881,"FIDUCIARY TR BOS  ",MA,"BOSTON              ",Y,Y,2005-08-31 16:30:17,LS2BATCH,2005-08-31 16:30:17,LS2BATCH,FIDUCIARY TRUST COMPANY
011100805,"FLEET NATL BK CT  ",CT,"WATERBURY           ",Y,Y,2005-08-31 16:30:17,LS2BATCH,2005-08-31 16:34:43,"ADMIN2  ","FLEET NATIONAL BANK, CT."
011102133,"CITIZENS PUTNAM   ",CT,"PUTNAM              ",Y,Y,2005-08-31 16:30:17,LS2BATCH,2005-08-31 16:30:17,LS2BATCH,CITIZENS NATIONAL BANK
011200365,FLEET NATL BANK ME,ME,"BANGOR              ",Y,Y,2005-08-31 16:30:18,LS2BATCH,2005-08-31 16:34:57,"ADMIN2  ","FLEET NATIONAL BANK, ME"
011200608,"KEY BANK MAINE    ",ME,"PORTLAND            ",Y,Y,2005-08-31 16:30:18,LS2BATCH,2005-08-31 16:35:03,"ADMIN2  ","KEYBANK, N.A."
011300142,COMMERCE WORCESTER,MA,"WORCESTER           ",Y,Y,2005-08-31 16:30:18,LS2BATCH,2005-08-31 16:30:18,LS2BATCH,COMMERCE BANK & TRUST CO.
011303097,NORTHERN BK WOBURN,MA,"WOBURN              ",Y,Y,2005-08-31 16:30:18,LS2BATCH,2005-08-31 16:30:18,LS2BATCH,NORTHERN BANK AND TRUST CO
011400495,FLEET NATL BANK NH,NH,"NASHUA              ",Y,Y,2005-08-31 16:30:18,LS2BATCH,2005-08-31 16:35:13,"ADMIN2  ","FLEET NATIONAL BANK, NH"
011401533,"CITIZENS NH       ",NH,"W.LEBANON           ",Y,Y,2005-08-31 16:30:18,LS2BATCH,2005-08-31 16:30:18,LS2BATCH,CITIZENS BANK NEW HAMPSHIRE
011402008,"KEY BK NH         ",NH,"BEDFORD             ",Y,Y,2005-08-31 16:30:18,LS2BATCH,2005-08-31 16:30:18,LS2BATCH,KEYBANK N.A.
011500010,"FLEET NATIONAL BK ",RI,"PROVIDENCE          ",Y,Y,2005-08-31 16:30:18,LS2BATCH,2005-08-31 16:30:18,LS2BATCH,FLEET NATIONAL BANK
011500120,"CITIZENS PROV     ",RI,"PROVIDENCE          ",Y,Y,2005-08-31 16:30:18,LS2BATCH,2005-08-31 16:30:18,LS2BATCH,CITIZENS BANK OF RHODE ISLAND
