"APS_RID_ACR_PMT_SG","APS_RID_ACR_CY_PMT","APS_CID_LENDER","APS_RID_LENDER_SG","APS_AMT_SHARE","APS_UID_REC_CREATE","APS_UID_REC_UPDATE","APS_TSP_REC_CREATE","APS_TSP_REC_UPDATE","APS_CDE_BRANCH"
"6)EFHYEH","6)EFHYE7","P=E6K597","K0E9B6IG","50000","DANUSR01","DANUSR01","2020-08-26 00:34:08","2020-08-26 00:34:08",""
"6EEFHYP5","6EEFHYOV","P=E6K597","K0E9B6IG","50000","DANUSR01","DANUSR01","2020-08-26 00:39:02","2020-08-26 00:39:02",""
"6OEFHZT8","6OEFHZSY","P=E6K597","K0E9B6IG","50000","DANUSR01","DANUSR01","2020-08-26 00:47:12","2020-08-26 00:47:12",""
"6(EFI0YN","6(EFI0YD","P=E6K597","K0E9B6IG","50000","DANUSR01","DANUSR01","2020-08-26 01:07:32","2020-08-26 01:07:32",""
"6;EFI1VJ","6;EFI1V9","P=E6K597","K0E9B6IG","50000","DANUSR01","DANUSR01","2020-08-26 01:14:49","2020-08-26 01:14:49",""
"6MEFI2SF","6MEFI2S5","P=E6K597","K0E9B6IG","50000","DANUSR01","DANUSR01","2020-08-26 01:22:48","2020-08-26 01:22:48",""
"6$EFI4AJ","6$EFI4A9","P=E6K597","K0E9B6IG","50000","DANUSR01","DANUSR01","2020-08-26 01:33:07","2020-08-26 01:33:07",""
"67EFI5GE","67EFI5G4","P=E6K597","K0E9B6IG","50000","DANUSR01","DANUSR01","2020-08-26 01:44:12","2020-08-26 01:44:12",""
"6NEFI5QG","6NEFI5Q6","P=E6K597","K0E9B6IG","50000","DANUSR01","DANUSR01","2020-08-26 01:52:32","2020-08-26 01:52:32",""
"62EFI6PG","62EFI6P6","P=E6K597","K0E9B6IG","50000","DANUSR01","DANUSR01","2020-08-26 02:01:38","2020-08-26 02:01:38",""
"6-EFI6ZI","6-EFI6Z8","P=E6K597","K0E9B6IG","50000","DANUSR01","DANUSR01","2020-08-26 02:09:56","2020-08-26 02:09:56",""
"6#EFI7A9","6#EFI79Z","P=E6K597","K0E9B6IG","50000","DANUSR01","DANUSR01","2020-08-26 02:30:54","2020-08-26 02:30:54",""
"6QEFI879","6QEFI86Z","P=E6K597","K0E9B6IG","50000","DANUSR01","DANUSR01","2020-08-26 02:48:21","2020-08-26 02:48:21",""
"6GEFI9GL","6GEFI9GB","P=E6K597","K0E9B6IG","50000","DANUSR01","DANUSR01","2020-08-26 03:05:03","2020-08-26 03:05:03",""
"MAEFIAQ7","MAEFIAPX","P=E6K597","K0E9B6IG","50000","DANUSR01","DANUSR01","2020-08-26 03:16:34","2020-08-26 03:16:34",""
"MKEFI8CV","MKEFI8CL","P=E6K597","K0E9B6IG","50000","DANUSR01","DANUSR01","2020-08-26 03:38:27","2020-08-26 03:38:27",""
"MKEFI8ES","MKEFI8EI","P=E6K597","K0E9B6IG","50000","DANUSR01","DANUSR01","2020-08-26 03:50:20","2020-08-26 03:50:20",""
"MKEFI8H4","MKEFI8GU","P=E6K597","K0E9B6IG","50000","DANUSR01","DANUSR01","2020-08-26 03:54:02","2020-08-26 03:54:02",""
"MFEFI95T","MFEFI95J","P=E6K597","K0E9B6IG","50000","JOBSUPER","JOBSUPER","2020-08-26 04:14:21","2020-08-26 04:14:21",""
"MFEFI97M","MFEFI97C","P=E6K597","MKEFI8KE","60000","JOBSUPER","JOBSUPER","2020-08-26 04:28:29","2020-08-26 04:28:29",""
"MZEFI9I2","MZEFI9HS","P=E6K597","K0E9B6IG","50000","DANUSR01","DANUSR01","2020-08-26 04:34:03","2020-08-26 04:34:03",""
"MZEFI9K9","MZEFI9JZ","P=E6K597","K0E9B6IG","50000","DANUSR01","DANUSR01","2020-08-26 04:50:25","2020-08-26 04:50:25",""
"M.EFIAOP","M.EFIAOF","P=E6K597","K0E9B6IG","50000","DANUSR01","DANUSR01","2020-08-26 05:05:30","2020-08-26 05:05:30",""
"M8EFIBC7","M8EFIBBX","P=E6K597","K0E9B6IG","50000","JOBSUPER","JOBSUPER","2020-08-26 05:17:01","2020-08-26 05:17:01",""
"M8EFIBEU","M8EFIBEK","(KE4Q19S","M.EFIAQS","70000","JOBSUPER","JOBSUPER","2020-08-26 05:23:06","2020-08-26 05:23:06",""
"MYEFIC62","MYEFIC5S","P=E6K597","K0E9B6IG","50000","DANUSR01","DANUSR01","2020-08-26 05:35:18","2020-08-26 05:35:18",""
"M(EFID77","M(EFID6X","(KE4Q19S","M.EFIAQS","70000","DANUSR01","DANUSR01","2020-08-26 06:06:05","2020-08-26 06:06:05",""
"MCEFIDUP","MCEFIDUF","P=E6K597","K0E9B6IG","50000","JOBSUPER","JOBSUPER","2020-08-26 06:16:11","2020-08-26 06:16:11",""
"MREFIEK5","MREFIEJV","(KE4Q19S","(KE4Q1RL","110000","DANUSR01","DANUSR01","2020-08-26 06:25:56","2020-08-26 06:25:56",""
"MREFIEMI","MREFIEM8","(KE4Q19S","M.EFIAQS","70000","DANUSR01","DANUSR01","2020-08-26 06:29:37","2020-08-26 06:29:37",""
"HREFIUDY","HREFIUDU","E2E4RAUV","@ME4QUQW","164.38","JAQUITAN","JAQUITAN","2020-08-26 11:54:56","2020-08-26 11:54:56","CG852"
"HGEFIV9D","HGEFIV92","AMDPAOVM","@*DZF8KU","15000","DANUSR01","DANUSR01","2020-08-26 12:21:06","2020-08-26 12:21:06",""
"14EFIW6T","14EFIW6I","AMDPAOVM","@*DZF8KU","25000","DANUSR01","DANUSR01","2020-08-26 12:33:50","2020-08-26 12:33:50",""
"1FEFIWGG","1FEFIWG5","AMDPAOVM","@*DZF8KU","25000","DANUSR01","DANUSR01","2020-08-26 12:38:58","2020-08-26 12:38:58",""
"1ZEFIWQ3","1ZEFIWPS","AMDPAOVM","@*DZF8KU","25000","DANUSR01","DANUSR01","2020-08-26 12:45:00","2020-08-26 12:45:00",""
"1EEFIX8N","1EEFIX8C","AMDPAOVM","@*DZF8KU","25000","DANUSR01","DANUSR01","2020-08-26 12:53:26","2020-08-26 12:53:26",""
"1.EFIXIO","1.EFIXID","AMDPAOVM","@*DZF8KU","25000","DANUSR01","DANUSR01","2020-08-26 12:58:19","2020-08-26 12:58:19",""
"-QE5EBAK","-QE5EBA9","AMDPAOVM","@*DZF8KQ","1000","WBAYERS ","WBAYERS ","2020-02-11 08:12:52","2020-02-11 08:12:52",""
"4REDZGKV","4REDZGKK","AMDPAOVM","@*DZF8KS","9397.26","DJRHINPT","DJRHINPT","2020-07-27 14:54:26","2020-07-27 14:54:26",""
"4REDZGKD","4REDZGJV","AMDPAOVM","@*DZF8KS","9397.26","DJRHINPT","DJRHINPT","2020-07-27 14:54:26","2020-07-27 14:54:26",""
"4MEDZKAU","4MEDZKAN","AMDPAOVM","@*DZF8KS","-9397.26","DJRHINPT","DJRHINPT","2020-07-27 15:15:54","2020-07-27 15:15:54",""
"4MEDZKAH","4MEDZKA9","AMDPAOVM","@*DZF8KS","-9397.26","DJRHINPT","DJRHINPT","2020-07-27 15:15:54","2020-07-27 15:15:54",""
"1)EEJOPR","1)EEJOPG","AMDPAOVM","@*DZF8KS","3000","DJRHINPT","DJRHINPT","2020-08-07 12:29:39","2020-08-07 12:29:39",""
"1OEEJPSU","1OEEJPSJ","AMDPAOVM","@*DZF8KS","3000","DJRHINPT","DJRHINPT","2020-08-07 12:54:50","2020-08-07 12:54:50",""
"P!EF5V0A","P!EF5UZZ","AMDPAOVM","@*DZF8KS","3000","DJRHINPT","DJRHINPT","2020-08-19 11:24:41","2020-08-19 11:24:41",""
"O5EFETJR","O5EFETJH","P=E6K597","K0E9B6IG","50000","DANUSR01","DANUSR01","2020-08-24 07:25:06","2020-08-24 07:25:06",""
"J+EFFEE8","J+EFFEDF","E2E4RAUV","@ME4QUQW","4.61","LIQUSR05","LIQUSR05","2020-08-24 14:16:19","2020-08-24 14:16:19","CG852"
"3XEFGPFR","3XEFGPDN","E2E4RAUV","@ME4QUQW","4.57","LIQUSR05","LIQUSR05","2020-08-25 07:12:32","2020-08-25 07:12:32","CG852"
"RUEFHHP1","RUEFHHOR","P=E6K597","K0E9B6IG","50000","DANUSR01","DANUSR01","2020-08-25 18:12:44","2020-08-25 18:12:44",""
"R)EFHI02","R)EFHHZS","P=E6K597","K0E9B6IG","50000","DANUSR01","DANUSR01","2020-08-25 18:28:57","2020-08-25 18:28:57",""
"R6EFHISN","R6EFHISD","P=E6K597","K0E9B6IG","50000","DANUSR01","DANUSR01","2020-08-25 19:08:59","2020-08-25 19:08:59",""
"R=EFHJEP","R=EFHJEF","P=E6K597","K0E9B6IG","50000","DANUSR01","DANUSR01","2020-08-25 19:23:00","2020-08-25 19:23:00",""
"RXEFHJPQ","RXEFHJPG","P=E6K597","K0E9B6IG","50000","DANUSR01","DANUSR01","2020-08-25 19:43:27","2020-08-25 19:43:27",""
"RIEFHK01","RIEFHJZR","P=E6K597","K0E9B6IG","50000","DANUSR01","DANUSR01","2020-08-25 19:52:12","2020-08-25 19:52:12",""
"M7EFIMFL","M7EFIMFB","P=E6K597","K0E9B6IG","50000","DANUSR01","DANUSR01","2020-08-26 09:59:24","2020-08-26 09:59:24",""
"18EFIXST","18EFIXSI","AMDPAOVM","@*DZF8KU","25000","DANUSR01","DANUSR01","2020-08-26 13:03:05","2020-08-26 13:03:05",""
"13EFIY2U","13EFIY2J","AMDPAOVM","@*DZF8KU","25000","DANUSR01","DANUSR01","2020-08-26 13:09:27","2020-08-26 13:09:27",""
"HZEFIYOH","HZEFIYOD","E2E4RAUV","@ME4QUQW","9.62","CMARTILL","CMARTILL","2020-08-26 14:27:27","2020-08-26 14:27:27","CG852"
"1CEFIYCV","1CEFIYCK","AMDPAOVM","@*DZF8KU","25000","DANUSR01","DANUSR01","2020-08-26 13:18:11","2020-08-26 13:18:11",""
"HZEFIWNB","HZEFIWN7","E2E4RAUV","@ME4QUQW","9.62","CMARTILL","CMARTILL","2020-08-26 13:43:18","2020-08-26 13:43:18","CG852"
"15EFJ2UV","15EFJ2UK","AMDPAOVM","@*DZF8KU","25000","DANUSR01","DANUSR01","2020-08-26 14:46:16","2020-08-26 14:46:16",""
"1GEFJ3EX","1GEFJ3EM","AMDPAOVM","@*DZF8KU","25000","DANUSR01","DANUSR01","2020-08-26 14:58:09","2020-08-26 14:58:09",""
"=KEFJ4PQ","=KEFJ4PB","(KE4Q19S","(KE4Q1RL","30","DANUSR01","DANUSR01","2020-08-26 15:24:10","2020-08-26 15:24:10",""
"=KEFJ4PR","=KEFJ4PB","FPE4MRNP","FPE4MSO6","10","DANUSR01","DANUSR01","2020-08-26 15:24:10","2020-08-26 15:24:10",""
"=KEFJ4PP","=KEFJ4PB","AMDPAOVM","@*DZF8KQ","60","DANUSR01","DANUSR01","2020-08-26 15:24:10","2020-08-26 15:24:10",""
"=KEFJ4OZ","=KEFJ4OE","(KE4Q19S","(KE4Q1RL","30","DANUSR01","DANUSR01","2020-08-26 15:24:10","2020-08-26 15:24:10",""
"=KEFJ4OY","=KEFJ4OE","AMDPAOVM","@*DZF8KQ","60","DANUSR01","DANUSR01","2020-08-26 15:24:10","2020-08-26 15:24:10",""
"=KEFJ4OX","=KEFJ4OE","FPE4MRNP","FPE4MSO6","10","DANUSR01","DANUSR01","2020-08-26 15:24:10","2020-08-26 15:24:10",""
"HZEFJ1NK","HZEFJ1NG","E2E4RAUV","@ME4QUQW","1.32","CMARTILL","CMARTILL","2020-08-26 15:29:59","2020-08-26 15:29:59","CG852"
"H*EFJ25E","H*EFJ24H","E2E4RAUV","@ME4QUQW","748602.74","JAQUITAN","JAQUITAN","2020-08-26 15:42:28","2020-08-26 15:42:28","CG852"
"=1EFJ3YI","=1EFJ3Y2","E2E4RAUV","@ME4QUQW","0","JANICEA1","JANICEA1","2020-08-26 16:11:16","2020-08-26 16:11:16",""
"DZEFJG4H","DZEFJG43","AMDPAOVM","@*DZF8KQ","60","DANUSR01","DANUSR01","2020-08-26 19:28:53","2020-08-26 19:28:53",""
"=XEFJ5SG","=XEFJ5RU","E2E4RAUV","@ME4QUQW","748602.74","JAQUITAN","JAQUITAN","2020-08-26 17:01:06","2020-08-26 17:01:06","CG852"
"$UEFJ737","$UEFJ72Y","E2E4RAUV","@ME4QUQW","136.99","JAQUITAN","JAQUITAN","2020-08-26 17:21:39","2020-08-26 17:21:39","CG852"
"HZEFJ731","HZEFJ72X","E2E4RAUV","@ME4QUQW","45.21","CMARTILL","CMARTILL","2020-08-26 17:28:46","2020-08-26 17:28:46","CG852"
"DZEFJG4I","DZEFJG43","(KE4Q19S","(KE4Q1RL","30","DANUSR01","DANUSR01","2020-08-26 19:28:53","2020-08-26 19:28:53",""
"DZEFJG4J","DZEFJG43","FPE4MRNP","FPE4MSO6","10","DANUSR01","DANUSR01","2020-08-26 19:28:53","2020-08-26 19:28:53",""
"DZEFJG3R","DZEFJG36","(KE4Q19S","(KE4Q1RL","30","DANUSR01","DANUSR01","2020-08-26 19:28:53","2020-08-26 19:28:53",""
"DZEFJG3Q","DZEFJG36","AMDPAOVM","@*DZF8KQ","60","DANUSR01","DANUSR01","2020-08-26 19:28:53","2020-08-26 19:28:53",""
"KREG5NLA","KREG5NL6","E2E4RAUV","@ME4QUQW","164.38","SMANZANO","SMANZANO","2020-09-07 19:42:49","2020-09-07 19:42:49","CG852"
"F3EG718X","F3EG718R","E2E4RAUV","@ME4QUQW","692909.59","JAQUITAN","JAQUITAN","2020-09-08 14:20:01","2020-09-08 14:20:01","CG852"
"F3EG718G","F3EG718C","E2E4RAUV","@ME4QUQW","383.56","JAQUITAN","JAQUITAN","2020-09-08 14:20:01","2020-09-08 14:20:01","CG852"
"!GEG5HTO","!GEG5HT4","E2E4RAUV","@ME4QUQW","-0.78","CMARTILL","CMARTILL","2020-09-07 18:29:40","2020-09-07 18:29:40","CG852"
"FJEG71TC","FJEG71T8","E2E4RAUV","@ME4QUQW","213.07","SMANZANO","SMANZANO","2020-09-08 14:34:36","2020-09-08 14:34:36","CG852"
"K2EG77XD","K2EG77X9","E2E4RAUV","@ME4QUQW","0.78","CMARTILL","CMARTILL","2020-09-08 16:50:54","2020-09-08 16:50:54","CG852"
"K2EG78G0","K2EG78BL","E2E4RAUV","@ME4QUQW","-0.78","CMARTILL","CMARTILL","2020-09-08 17:02:07","2020-09-08 17:02:07","CG852"
"Y?EH6F18","Y?EH6F14","E2E4RAUV","@ME4QUQW","51.78","JAQUITAN","JAQUITAN","2020-09-11 15:07:43","2020-09-11 15:07:43","CG852"
"Y?EH6F1M","Y?EH6F1E","E2E4RAUV","@ME4QUQW","224.39","JAQUITAN","JAQUITAN","2020-09-11 15:07:43","2020-09-11 15:07:43","CG852"
"I4EGKOLW","I4EGKOLM","P=E6K597","K0E9B6IG","50000","DANUSR01","DANUSR01","2020-09-15 22:22:47","2020-09-15 22:22:47",""
"I(EGKS92","I(EGKS8R","A$DPARLG","U)E9BKCG","50000","DANUSR01","DANUSR01","2020-09-15 23:21:57","2020-09-15 23:21:57",""
"IQEGLHPT","IQEGLHPK","E2E4RAUV","@ME4QUQW","575.34","SMANZANO","SMANZANO","2020-09-16 08:38:32","2020-09-16 08:38:32","CG852"
"IQEGLHP9","IQEGLHP4","E2E4RAUV","@ME4QUQW","134.79","SMANZANO","SMANZANO","2020-09-16 08:38:32","2020-09-16 08:38:32","CG852"
"G2EGNMQ0","G2EGNMPQ","E2E4RAUV","@ME4QUQW","1000","JAQUITAN","JAQUITAN","2020-09-17 12:55:06","2020-09-17 12:55:06",""
"G2EGNMPK","G2EGNMP5","E2E4RAUV","@ME4QUQW","1000","JAQUITAN","JAQUITAN","2020-09-17 12:55:06","2020-09-17 12:55:06",""
"UMEGPG2A","UMEGPG24","E2E4RAUV","@ME4QUQW","-0.77","CMARTILL","CMARTILL","2020-09-18 12:21:23","2020-09-18 12:21:23","CG852"
"USEGPH98","USEGPH8S","E2E4RAUV","@ME4QUQW","250","RPTMGR01","CMARTILL","2020-09-18 13:10:37","2020-09-18 13:19:54",""
"9FEGPOMU","9FEGPOMQ","E2E4RAUV","@ME4QUQW","126","SMANZANO","SMANZANO","2020-09-18 14:50:00","2020-09-18 14:50:00","CG852"
"0GEH9XLD","0GEH9XL0","E2E4RAUV","@ME4QUQW","7561.64","JAQUITAN","JAQUITAN","2020-09-29 13:36:06","2020-09-29 13:36:06","CG852"
"+)EH9YG3","+)EH9YFT","E2E4RAUV","@ME4QUQW","1000","JAQUITAN","JAQUITAN","2020-09-29 13:50:29","2020-09-29 13:50:29",""
"+)EH9YFN","+)EH9YF8","E2E4RAUV","@ME4QUQW","1000","JAQUITAN","JAQUITAN","2020-09-29 13:50:29","2020-09-29 13:50:29",""
"+.EHBYFB","+.EHBYEZ","E2E4RAUV","@ME4QUQW","0","LIQUSR05","LIQUSR05","2020-09-30 14:50:00","2020-09-30 14:50:00",""
"4EEHBRN5","4EEHBRMP","E2E4RAUV","@ME4QUQW","756164.38","JAQUITAN","JAQUITAN","2020-09-30 14:23:27","2020-09-30 14:23:27","CG852"
"4WEHBURI","4WEHBUR2","E2E4RAUV","@ME4QUQW","756164.38","JAQUITAN","JAQUITAN","2020-09-30 15:22:19","2020-09-30 15:22:19","CG852"
