CFL_RID_CASHFLOW,CFL_AMT_CASHFLOW,CFL_AMT_MATCHED,CFL_AMT_PRINCIPAL,CFL_AMT_FEE,CFL_AMT_INTEREST,CFL_IND_BORR_AGENT,CFL_CDE_BRANCH,CFL_CDE_BUS_TRAN,CFL_CDE_CURRENCY,CFL_CID_CUSTOMER,CFL_RID_REM_INSTR,CFL_RID_CUS_SVC_GR,CFL_RID_TRANS,CFL_CDE_TRAN_TYPE,CFL_CDE_DIRECTION,CFL_TSP_REC_CREATE,CFL_TSP_REC_UPDATE,CFL_UID_REC_CREATE,CFL_UID_REC_UPDATE,CFL_CDE_PRIORITY,CFL_IND_FLOAT,CFL_IND_BENEFCIARY,CFL_AMT_OVER_SHORT,CFL_CDE_STATUS,CFL_CDE_EXPENSE,CFL_XID_BENF_ACCT,CFL_CDE_BENF_TYPE,CFL_XID_CHIPS_UID,CFL_NME_DDA_ACCT,CFL_CDE_DIVISION,CFL_CDE_PAY_METHOD,CFL_TXT_CASH_NUM,CFL_PID_DEAL,CFL_PID_FACILITY,CFL_RID_PART_AGR,CFL_XID_ACCOUNT,CFL_RID_CHILD_TRAN,CFL_RID_CASH_TEMPL,CFL_DTE_TARGET,CFL_RID_PARENT,CFL_TXT_PAY_REFNCE,CFL_TXT_COMMENT,CFL_CDE_SETTLE_CCY,CFL_RTE_FX_RATE,CFL_AMT_SETTLEMENT,CFL_AMT_VAT,CFL_AMT_LATE_FEE,CFL_AMT_ESCROW,CFL_XID_CUSTODY_AC,CFL_IND_SAVINGS_AC,CFL_TXT_CHK_NUM
Z@EF81X1,200,0,200,0,0,Y,CG852,REPRC,EUR,5QEF3VVU,"NONE    ",V8EF470J,Z@EF81A3,LRP,"FROM ",2020-08-20 15:02:55,2020-08-24 15:43:28,LIQUSR05,LIQUSR05,"     ",N,N,0,CNCLD,,"                                  ",,,,,"IMT  ",,V8EF4706,"NONE    ",,,"P       ",,2020-06-03 00:00:00,Z@EF81X1," ",,EUR,1,200,0,0,0,,N,
.FEF9TTO,2000,0,2000,0,0,N,CG852,"MCL  ",EUR,SIEESUTN,SIEESUUM,S#EESVPO,.FEF9TSJ,MAT,"TO   ",2020-08-21 16:03:33,2020-08-21 16:07:38,LIQUSR03,FI717102,"     ",N,N,0,"DOIT ",,,,,,,"NONE ",,.FEF9QSQ,.FEF9QTS,,,,.FEF9TSL,2020-05-27 00:00:00,.FEF9TTO," ",,EUR,1,2000,0,0,0,,N,
Y.EFF2C8,300,0,300,0,0,Y,CG852,REPRC,EUR,5QEF3VVU,5QEF3VX2,V8EF470J,Y.EFF1B9,LRP,"FROM ",2020-08-24 09:55:50,2020-08-24 09:55:50,LIQUSR05,LIQUSR05,"     ",N,N,0,"DOIT ",,,,,,,"NONE ",,V8EF4706,"NONE    ",,,"P       ",,,Y.EFF2C8," ",,EUR,1,300,0,0,0,,N,
JLEFFB8Y,1000000,0,1000000,0,0,Y,CG852,"LNDR ",EUR,SIEESUTN,"NONE    ",S#EESVPO,JLEFFB5K,OTR,"TO   ",2020-08-24 13:13:24,2020-08-25 16:27:00,LIQUSR03,LIQUSR03,"     ",N,N,0,"DONE ",,"                                  ",,,,,"IMT  ",,Y5EFF54H,Y5EFF559,,,,,,JLEFFB8Y," ",,EUR,1,1000000,0,0,0,,N,
JLEFFB90,400000,0,400000,0,0,N,CG852,"LNDR ",EUR,A$DPARLG,"NONE    ",U)E9BKCG,JLEFFB5K,OTR,"FROM ",2020-08-24 13:13:24,2020-08-25 16:27:00,LIQUSR03,LIQUSR03,"     ",N,N,0,"DONE ",,"                                  ",,,,,"IMT  ",,Y5EFF54H,Y5EFF559,Y5EFF5C2,,,,,JLEFFB90," ",,EUR,1,400000,0,0,0,,N,
(REFFNGD,1100000,0,1100000,0,0,Y,CG852,"LNDR ",EUR,)?EF8978,"NONE    ",)0EF8ARV,(REFFNAF,OTR,"TO   ",2020-08-24 19:33:05,2020-08-24 20:41:16,SMANZANO,MANZANOM,"     ",N,N,0,CNCLD,,"                                  ",,,,,"IMT  ",,YZEFEWH5,YZEFEXAM,,,,,2020-05-27 00:00:00,(REFFNGD," ",,EUR,1,1100000,0,0,0,,N,
(4EFFIJN,1000000,0,1000000,0,0,Y,CG852,"LNDR ",EUR,)?EF8978,"NONE    ",)0EF8ARV,(4EFFHD7,OTR,"TO   ",2020-08-24 17:47:34,2020-10-06 08:43:31,SMANZANO,SMANZANO,"     ",N,N,0,CNCLD,,"                                  ",,,,,"IMT  ",,YZEFEWH5,YZEFEXAM,,,,,2020-05-27 00:00:00,(4EFFIJN," ",,EUR,1,1000000,0,0,0,,N,
(HEFFQMU,1100000,0,1100000,0,0,Y,CG852,"LNDR ",EUR,)?EF8978,)?EF897Y,)0EF8ARV,(REFFNAF,OTR,"TO   ",2020-08-24 20:41:16,2020-08-24 20:41:16,MANZANOM,MANZANOM,"     ",N,N,0,"PEND ",,"                                  ",,,,,"NONE ",,YZEFEWH5,YZEFEXAM,,,,,,(HEFFQMU," ",,EUR,1,1100000,0,0,0,,N,
(DEFGR5E,1200000,0,1200000,0,0,Y,CG852,"LNDR ",EUR,)?EF8978,"NONE    ",)0EF8ARV,(DEFGR2M,OTR,"TO   ",2020-08-25 09:40:52,2020-08-25 11:33:14,SMANZANO,MANZANOM,"     ",N,N,0,"DONE ",,"                                  ",,,,,"IMT  ",,YZEFEWH5,YZEFEXAM,,,,,2020-05-27 00:00:00,(DEFGR5E," ",,EUR,1,1200000,0,0,0,,N,
(7EFHGME,10000,0,10000,0,0,Y,CG852,"LNDR ",EUR,SIEESUTN,"NONE    ",S#EESVPO,(7EFH0Z6,OTR,"TO   ",2020-08-25 13:26:01,2020-08-25 13:40:13,CMARTILL,RPTMGR01,"     ",N,N,0,RLSED,,"                                  ",,,,,"IMT  ",,(7EFGXIA,(7EFGXST,,,,,2020-05-27 00:00:00,(7EFHGME," ",,EUR,1,10000,0,0,0,,N,
(7EFHGZB,30000,0,30000,0,0,Y,CG852,"LNDR ",EUR,SIEESUTN,"NONE    ",S#EESVPO,(7EFHGVW,OTR,"TO   ",2020-08-25 14:07:05,2020-08-25 14:17:43,CMARTILL,RPTMGR01,"     ",N,N,0,"DONE ",,"                                  ",,,,,"IMT  ",,(7EFGUDN,(7EFGUEQ,,,,,,(7EFHGZB," ",,EUR,1,30000,0,0,0,,N,
7)EET42A,700000,0,700000,0,0,Y,CG852,"LNDR ",EUR,SIEESUTN,"NONE    ",S#EESVPO,7)EET3RC,OTR,"TO   ",2020-08-12 15:24:36,2020-08-19 09:47:29,CMARTILL,CMARTILL,"     ",N,N,0,CNCLD,,"                                  ",,,,,"IMT  ",,S#EESVPY,S#EESVR1,,,,,2020-05-27 00:00:00,7)EET42A," ",,EUR,1,700000,0,0,0,,N,
"!!EF5QK9",700000,0,700000,0,0,Y,CG852,"LNDR ",EUR,SIEESUTN,"NONE    ",S#EESVPO,7)EET3RC,OTR,"TO   ",2020-08-19 09:47:29,2020-08-19 12:16:22,CMARTILL,CMARTILL,"     ",N,N,0,CNCLD,,"                                  ",,,,,"IMT  ",,S#EESVPY,S#EESVR1,,,,,,"!!EF5QK9"," ",,EUR,1,700000,0,0,0,,N,
"!ZEF5VCD",900,0,900,0,0,Y,CG852,"LNDR ",EUR,5QEF3VVU,"NONE    ",V8EF470J,"!ZEF5V9L",OTR,"TO   ",2020-08-19 10:17:41,2020-08-19 12:20:31,LIQUSR05,LIQSVR05,"     ",N,N,0,"DONE ",,"                                  ",,,,,"IMT  ",,V8EF4706,V8EF471U,,,,,2020-05-27 00:00:00,"!ZEF5VCD"," ",,EUR,1,900,0,0,0,,N,
PGEF5YHE,700000,0,700000,0,0,Y,CG852,"LNDR ",EUR,SIEESUTN,"NONE    ",S#EESVPO,7)EET3RC,OTR,"TO   ",2020-08-19 12:33:36,2020-08-20 11:05:15,CMARTILL,CMARTILL,"     ",N,N,0,RLSED,,"                                  ",,,,,"IMT  ",,S#EESVPY,S#EESVR1,,,,,,PGEF5YHE," ",,EUR,1,700000,0,0,0,,N,
Z5EF82D8,100000,0,100000,0,0,Y,CG852,"LNDR ",EUR,SIEESUTN,"NONE    ",S#EESVPO,Z5EF82A8,OTR,"TO   ",2020-08-20 16:38:10,2020-08-20 17:45:15,CMARTILL,RPTMGR01,"     ",N,N,0,RLSED,,"                                  ",,,,,"IMT  ",,S#EESVPY,S#EESVR1,,,,,2020-05-27 00:00:00,Z5EF82D8," ",,EUR,1,100000,0,0,0,,N,
Z;EF7YEZ,1100000,0,1100000,0,0,Y,CG852,"LNDR ",EUR,SIEESUTN,"NONE    ",S#EESVPO,Z;EF7YC2,OTR,"TO   ",2020-08-20 15:22:59,2020-08-20 15:27:32,LIQUSR03,LIQUSR03,"     ",N,N,0,"DONE ",,"                                  ",,,,,"IMT  ",,0REF4EYL,0REF4FMA,,,,,,Z;EF7YEZ," ",,EUR,1,1100000,0,0,0,,N,
7)EETFZ4,150000,0,150000,0,0,Y,CG852,"LNDR ",EUR,SIEESUTN,"NONE    ",S#EESVPO,7)EETFOE,OTR,"TO   ",2020-08-12 19:41:53,2020-08-12 19:54:06,CMARTILL,RPTMGR01,"     ",N,N,0,"DONE ",,"                                  ",,,,,"IMT  ",,S#EESVPY,S#EESVR1,,,,,2020-05-27 00:00:00,7)EETFZ4," ",,EUR,1,150000,0,0,0,,N,
.PEF9VHG,513,0,513,0,0,Y,CG852,"LNDR ",EUR,5QEF3VVU,"NONE    ",V8EF470J,ZIEF9MAG,OTR,"TO   ",2020-08-21 14:39:33,2020-08-24 09:27:09,LIQUSR05,LIQUSR05,"     ",N,N,0,"DONE ",,"                                  ",,,,,"IMT  ",,V8EF4706,V8EF471U,,,,,,.PEF9VHG," ",,EUR,1,513,0,0,0,,N,
7)EETB0N,200000,0,200000,0,0,Y,CG852,"LNDR ",EUR,SIEESUTN,"NONE    ",S#EESVPO,7)EETAUV,OTR,"TO   ",2020-08-12 17:56:06,2020-08-12 18:27:28,CMARTILL,RPTMGR01,"     ",N,N,0,"DONE ",,"                                  ",,,,,"IMT  ",,S#EESVPY,S#EESVR1,,,,,2020-05-27 00:00:00,7)EETB0N," ",,EUR,1,200000,0,0,0,,N,
Z;EF7ZQM,1200000,0,1200000,0,0,Y,CG852,"LNDR ",EUR,SIEESUTN,"NONE    ",S#EESVPO,Z;EF7ZNT,OTR,"TO   ",2020-08-20 16:14:53,2020-08-20 16:18:00,LIQUSR03,LIQUSR03,"     ",N,N,0,"DONE ",,"                                  ",,,,,"IMT  ",,0REF4EYL,0REF4FMA,,,,,,Z;EF7ZQM," ",,EUR,1,1200000,0,0,0,,N,
ZIEF9MJZ,513,0,513,0,0,Y,CG852,"LNDR ",EUR,5QEF3VVU,"NONE    ",V8EF470J,ZIEF9MAG,OTR,"TO   ",2020-08-21 11:26:41,2020-08-21 14:39:33,LIQSVR05,LIQUSR05,"     ",N,N,0,CNCLD,,"                                  ",,,,,"IMT  ",,V8EF4706,V8EF471U,,,,,2020-05-27 00:00:00,ZIEF9MJZ," ",,EUR,1,513,0,0,0,,N,
ZIEF9MSR,631,0,631,0,0,Y,CG852,"LNDR ",EUR,5QEF3VVU,"NONE    ",V8EF470J,ZIEF9MO2,OTR,"TO   ",2020-08-21 11:31:57,2020-08-24 09:22:37,LIQSVR05,LIQUSR05,"     ",N,N,0,"DONE ",,"                                  ",,,,,"IMT  ",,V8EF4706,V8EF471U,,,,,2020-05-27 00:00:00,ZIEF9MSR," ",,EUR,1,631,0,0,0,,N,
ZIEF9NU8,731,0,731,0,0,Y,CG852,"LNDR ",EUR,5QEF3VVU,"NONE    ",V8EF470J,ZIEF9NPN,OTR,"TO   ",2020-08-21 11:54:26,2020-08-24 09:17:10,LIQSVR05,LIQUSR05,"     ",N,N,0,"DONE ",,"                                  ",,,,,"IMT  ",,V8EF4706,V8EF471U,,,,,2020-05-27 00:00:00,ZIEF9NU8," ",,EUR,1,731,0,0,0,,N,
ZIEF9OD3,931,0,931,0,0,Y,CG852,"LNDR ",EUR,5QEF3VVU,"NONE    ",V8EF470J,ZIEF9NYJ,OTR,"TO   ",2020-08-21 12:05:45,2020-08-24 08:58:18,LIQSVR05,LIQSVR04,"     ",N,N,0,"DONE ",,"                                  ",,,,,"IMT  ",,V8EF4706,V8EF471U,,,,,2020-05-27 00:00:00,ZIEF9OD3," ",,EUR,1,931,0,0,0,,N,
86EFDY12,300000,0,300000,0,0,Y,CG852,"LNDR ",EUR,SIEESUTN,"NONE    ",S#EESVPO,86EFDXXO,OTR,"TO   ",2020-08-23 21:18:11,2020-08-23 21:27:39,CMARTILL,RPTSUP01,"     ",N,N,0,"DONE ",,"                                  ",,,,,"IMT  ",,S#EESVPY,S#EESVR1,,,,,2020-05-27 00:00:00,86EFDY12," ",,EUR,1,300000,0,0,0,,N,
86EFDWR4,1000,0,1000,0,0,Y,CG852,PRINP,EUR,SIEESUTN,"NONE    ",S#EESVPO,86EFDWP0,OTR,"FROM ",2020-08-23 20:57:33,2020-08-24 11:57:02,CMARTILL,RPTSUP01,"     ",N,N,0,"DONE ",,"                                  ",,,,,"IMT  ",,S#EESVPY,S#EESVR1,,,,,2020-05-27 00:00:00,86EFDWR4," ",,EUR,1,1000,0,0,0,,N,
P@EF5XWY,700000,0,700000,0,0,Y,CG852,"LNDR ",EUR,SIEESUTN,"NONE    ",S#EESVPO,7)EET3RC,OTR,"TO   ",2020-08-19 12:16:22,2020-08-19 12:33:36,CMARTILL,CMARTILL,"     ",N,N,0,CNCLD,,"                                  ",,,,,"IMT  ",,S#EESVPY,S#EESVR1,,,,,,P@EF5XWY," ",,EUR,1,700000,0,0,0,,N,
44EF64IR,3750,0,3750,0,0,Y,CG852,"LNDR ",EUR,5QEF3VVU,"NONE    ",V8EF470J,44EF64FB,OTR,"TO   ",2020-08-19 13:21:07,2020-08-28 09:39:25,LIQUSR05,LIQUSR05,"     ",N,N,0,"DONE ",,"                                  ",,,,,"IMT  ",,V8EF4706,V8EF471U,,,,,,44EF64IR," ",,EUR,1,3750,0,0,0,,N,
F?EF7SS1,251,0,251,0,0,Y,CG852,"LNDR ",EUR,5QEF3VVU,"NONE    ",V8EF470J,F?EF7SO6,OTR,"TO   ",2020-08-20 11:45:56,2020-08-20 14:48:00,LIQUSR05,LIQUSR05,"     ",N,N,0,"DONE ",,"                                  ",,,,,"IMT  ",,V8EF4706,V8EF471U,,,,,2020-05-27 00:00:00,F?EF7SS1," ",,EUR,1,251,0,0,0,,N,
ZFEF7Z2P,1000000,0,1000000,0,0,Y,CG852,"LNDR ",EUR,SIEESUTN,"NONE    ",S#EESVPO,ZFEF7YZ8,OTR,"TO   ",2020-08-20 13:32:10,2020-08-20 15:18:03,LIQUSR03,LIQUSR03,"     ",N,N,0,"DONE ",,"                                  ",,,,,"IMT  ",,0REF4EYL,0REF4FMA,,,,,2020-05-27 00:00:00,ZFEF7Z2P," ",,EUR,1,1000000,0,0,0,,N,
Y2EFF2PJ,1000000,0,1000000,0,0,Y,CG852,"LNDR ",EUR,ZHEF7YY1,"NONE    ",9ZEF82FE,Y2EFF2MR,OTR,"TO   ",2020-08-24 11:24:24,2020-08-24 11:27:21,JAQUITAN,JANICEA1,"     ",N,N,0,"DONE ",,"                                  ",,,,,"IMT  ",,9ZEF82FK,9ZEF82GL,,,,,2020-05-27 00:00:00,Y2EFF2PJ," ",,EUR,1,1000000,0,0,0,,N,
J3EFF7U7,300000,0,0,0,0,N,CG852,CSELL,EUR,A$DPARLG,"NONE    ",U)E9BKCG,Y5EFF4MQ,IDE,"FROM ",2020-08-24 12:00:58,2020-08-24 12:04:27,LIQAPCP3,LIQUSR03,"     ",N,N,0,"PEND ",,,,,,,"NONE ",,.FEF9QSQ,"NONE    ",,,,,,J3EFF7U7," ",,EUR,1,300000,0,0,0,,N,
Y@EFF2QU,1000,0,1000,0,0,Y,CG852,RPRIN,EUR,SIEESUTN,"NONE    ",S#EESVPO,Y@EFF2OT,OTR,"TO   ",2020-08-24 12:04:43,2020-08-24 12:12:53,CMARTILL,RPTSUP01,"     ",N,N,0,"DONE ",,"                                  ",,,,,"IMT  ",,S#EESVPY,S#EESVR1,,,,,2020-05-27 00:00:00,Y@EFF2QU," ",,EUR,1,1000,0,0,0,,N,
J!EFFB7P,300,0,300,0,0,Y,CG852,REPRC,EUR,5QEF3VVU,"NONE    ",V8EF470J,J!EFFAZO,LRP,"FROM ",2020-08-24 12:25:10,2020-08-28 09:52:06,LIQUSR05,LIQUSR05,"     ",N,N,0,"DONE ",,"                                  ",,,,,"IMT  ",,V8EF4706,"NONE    ",,,"P       ",,2020-05-27 00:00:00,J!EFFB7P," ",,EUR,1,300,0,0,0,,N,
Y@EFF7V8,10000,0,10000,0,0,Y,CG852,"LNDR ",EUR,SIEESUTN,"NONE    ",S#EESVPO,Y@EFF7NW,OTR,"TO   ",2020-08-24 13:55:39,2020-08-24 14:12:12,CMARTILL,RPTSUP01,"     ",N,N,0,"DONE ",,"                                  ",,,,,"IMT  ",,S#EESVPY,S#EESVR1,,,,,2020-05-27 00:00:00,Y@EFF7V8," ",,EUR,1,10000,0,0,0,,N,
3TEFFGS6,413,0,413,0,0,Y,CG852,"LNDR ",EUR,5QEF3VVU,5QEF3VX2,V8EF470J,3TEFFGMI,OTR,"TO   ",2020-08-24 15:08:05,2020-08-24 15:08:05,LIQUSR05,LIQUSR05,"     ",N,N,0,"DOIT ",,,,,,,"NONE ",,V8EF4706,V8EF471U,,,,,,3TEFFGS6," ",,EUR,1,413,0,0,0,,N,
3TEFFH58,813,0,813,0,0,Y,CG852,"LNDR ",EUR,5QEF3VVU,"NONE    ",V8EF470J,3TEFFGYG,OTR,"TO   ",2020-08-24 15:15:54,2020-10-15 10:55:42,LIQUSR05,LIQSVR04,"     ",N,N,0,"DONE ",,"                                  ",,,,,"IMT  ",,V8EF4706,V8EF471U,,,,,,3TEFFH58," ",,EUR,1,813,0,0,0,,N,
J+EFFDY1,5679,0,5679,0,0,Y,CG852,REPRC,EUR,5QEF3VVU,5QEF3VX2,V8EF470J,J+EFFDRM,LRP,"TO   ",2020-08-24 14:06:32,2020-08-24 14:45:05,LIQUSR05,LIQSVR04,"     ",N,N,0,"DOIT ",,,,,,,"NONE ",,V8EF4706,"NONE    ",,,"P       ",,2020-05-27 00:00:00,J+EFFDY1," ",,EUR,1,5679,0,0,0,,N,
3TEFFIFH,200,0,200,0,0,Y,CG852,REPRC,EUR,5QEF3VVU,"NONE    ",V8EF470J,Z@EF81A3,LRP,"FROM ",2020-08-24 15:43:28,2020-08-28 11:18:07,LIQUSR05,LIQUSR05,"     ",N,N,0,RLSED,,"                                  ",,,,,"IMT  ",,V8EF4706,"NONE    ",,,"P       ",,,3TEFFIFH," ",,EUR,1,200,0,0,0,,N,
32EFFHCM,1000000,0,1000000,0,0,Y,CG852,"LNDR ",EUR,ZHEF7YY1,"NONE    ",9ZEF82FE,32EFFH9I,OTR,"TO   ",2020-08-24 16:19:36,2020-08-24 16:23:15,JAQUITAN,JANICEA1,"     ",N,N,0,"DONE ",,"                                  ",,,,,"IMT  ",,3.EFFDYP,3.EFFDZL,,,,,2020-05-27 00:00:00,32EFFHCM," ",,EUR,1,1000000,0,0,0,,N,
3SEFFFLU,1000000,0,1000000,0,0,Y,CG852,"LNDR ",EUR,ZHEF7YY1,"NONE    ",9ZEF82FE,3SEFFFJ2,OTR,"TO   ",2020-08-24 16:14:02,2020-08-24 16:16:45,JAQUITAN,JANICEA1,"     ",N,N,0,"DONE ",,"                                  ",,,,,"IMT  ",,3ZEFFD20,3ZEFFD2W,,,,,2020-05-27 00:00:00,3SEFFFLU," ",,EUR,1,1000000,0,0,0,,N,
HZEFJ746,250045.21,0,250000,0,45.21,Y,CG852,PAPER,EUR,SIEESUTN,"NONE    ",S#EESVPO,HZEFJ6ZU,PCP,"FROM ",2020-08-26 17:29:10,2020-08-26 17:42:28,CMARTILL,RPTSUP01,"     ",N,N,0,"DONE ",,"                                  ",,,,,"IMT  ",,S#EESVPY,"NONE    ",,,,,2020-05-28 00:00:00,HZEFJ746," ",,EUR,1,250045.21,0,0,0,,N,
HZEFJ9X7,2100,0,2100,0,0,Y,CG852,"LNDR ",EUR,SIEESUTN,"NONE    ",S#EESVPO,HZEFJ9TF,OTR,"TO   ",2020-08-26 18:30:05,2020-08-26 19:07:00,CMARTILL,RPTSUP01,"     ",N,N,0,"DONE ",,"                                  ",,,,,"IMT  ",,(7EFGXIA,(7EFGXST,,,,,2020-05-28 00:00:00,HZEFJ9X7," ",,EUR,1,2100,0,0,0,,N,
RZEFHIST,1300000,0,1300000,0,0,Y,CG852,"LNDR ",EUR,)?EF8978,"NONE    ",)0EF8ARV,RZEFHIQ1,OTR,"TO   ",2020-08-25 19:15:37,2020-08-25 19:53:04,SMANZANO,MANZANOM,"     ",N,N,0,"DONE ",,"                                  ",,,,,"IMT  ",,YZEFEWH5,YZEFEXAM,,,,,2020-05-27 00:00:00,RZEFHIST," ",,EUR,1,1300000,0,0,0,,N,
HZEFJAEZ,4200,0,4200,0,0,Y,CG852,"LNDR ",EUR,SIEESUTN,"NONE    ",S#EESVPO,HZEFJABL,OTR,"TO   ",2020-08-26 18:40:45,2020-08-27 16:30:18,CMARTILL,RPTSUP01,"     ",N,N,0,"DONE ",,"                                  ",,,,,"IMT  ",,(7EFGUDN,(7EFGUEQ,,,,,2020-05-28 00:00:00,HZEFJAEZ," ",,EUR,1,4200,0,0,0,,N,
