GB2_CDE_CODE,GB2_CDE_FKEY1,GB2_CDE_FKEY2,GB2_CDE_FKEY3,GB2_CDE_FKEY4,GB2_IND_ACTIVE,GB2_IND_MAY_DEACT,GB2_IND_OPTIONAL_1,GB2_IND_OPTIONAL_2,GB2_IND_OPTIONAL_3,GB2_IND_OPTIONAL_4,GB2_IND_OPTIONAL_5,GB2_IND_OPTIONAL_6,GB2_IND_OPTIONAL_7,GB2_IND_OPTIONAL_8,GB2_IND_OPTIONAL_9,GB2_IND_OPTIONL_10,GB2_IND_OPTIONL_11,GB2_IND_OPTIONL_12,GB2_NUM_OPTIONAL,GB2_RTO_OPTIONAL,GB2_TID_TABLE_ID,GB2_TSP_REC_CREATE,GB2_TSP_REC_UPDATE,GB2_UID_REC_CREATE,GB2_UID_REC_UPDATE,GB2_DSC_CODE,GB2_TXT_COMMENT,GB2_CDE_FKEY5,GB2_CDE_FKEY6,GB2_RTO_OPTIONAL_2,GB2_PRC_OPTIONAL_1,GB2_CDE_FKEY7,GB2_CDE_FKEY8,GB2_CDE_FKEY9,GB2_CDE_FKEY10,GB2_CDE_FKEY11,GB2_CDE_FKEY12,GB2_RTO_OPTIONAL_3,GB2_IND_OPTIONL_13,GB2_IND_OPTIONL_14,GB2_IND_OPTIONL_15,GB2_AMT_OPTIONAL1,GB2_AMT_OPTIONAL2,GB2_AMT_OPTIONAL3,GB2_AMT_OPTIONAL4,GB2_AMT_OPTIONAL5,GB2_NUM_OPTIONAL1,GB2_NUM_OPTIONAL2,GB2_NUM_OPTIONAL3,GB2_IND_OPTIONL_20,GB2_CDE_FKEY13
"1532 ",RELSD,"OTR  ",,ABAAJ,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:57,2014-01-13 17:15:57,LS2BATCH,LS2BATCH,1532,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"1533 ",APRVD,"OTR  ",,ABACV,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:57,2014-01-13 17:15:57,LS2BATCH,LS2BATCH,1533,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"1534 ","NEW  ","OTR  ",,ABACV,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:57,2014-01-13 17:15:57,LS2BATCH,LS2BATCH,1534,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"1535 ",RELSD,"OTR  ",,ABACV,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:57,2014-01-13 17:15:57,LS2BATCH,LS2BATCH,1535,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"1536 ",APRVD,"OTR  ",,ABADC,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:57,2014-01-13 17:15:57,LS2BATCH,LS2BATCH,1536,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"1537 ","NEW  ","OTR  ",,ABADC,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:57,2014-01-13 17:15:57,LS2BATCH,LS2BATCH,1537,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"1538 ",RELSD,"OTR  ",,ABADC,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:57,2014-01-13 17:15:57,LS2BATCH,LS2BATCH,1538,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"1539 ",APRVD,"OTR  ",,ABAIS,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:57,2014-01-13 17:15:57,LS2BATCH,LS2BATCH,1539,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"1540 ","NEW  ","OTR  ",,ABAIS,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:57,2014-01-13 17:15:57,LS2BATCH,LS2BATCH,1540,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"1541 ",RELSD,"OTR  ",,ABAIS,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:57,2014-01-13 17:15:57,LS2BATCH,LS2BATCH,1541,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"1542 ",APRVD,"OTR  ",,ABAPT,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:57,2014-01-13 17:15:57,LS2BATCH,LS2BATCH,1542,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"1543 ","NEW  ","OTR  ",,ABAPT,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:57,2014-01-13 17:15:57,LS2BATCH,LS2BATCH,1543,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"ISIN ","STR  ",,,,Y,N,N,,,,,,,,,,,,,,FCF,2014-01-13 17:15:39,2014-01-13 17:15:39,LS2BATCH,LS2BATCH,ISIN Number,isinNumber,,,,,,,,,,,,,,,,,,,,,,,,
ATHIB,,,,,Y,N,,,,,,,,,,,,,,,FFS,2014-01-13 17:15:41,2014-01-13 17:15:41,LS2BATCH,LS2BATCH,ATHIBOR-ATHIBOR,,,,,,,,,,,,,,,,,,,,,,,,,
ATHRB,,,,,Y,N,,,,,,,,,,,,,,,FFS,2014-01-13 17:15:41,2014-01-13 17:15:41,LS2BATCH,LS2BATCH,ATHIBOR-Reference Banks,,,,,,,,,,,,,,,,,,,,,,,,,
ATHTL,,,,,Y,N,,,,,,,,,,,,,,,FFS,2014-01-13 17:15:41,2014-01-13 17:15:41,LS2BATCH,LS2BATCH,ATHIBOR-Telerate,,,,,,,,,,,,,,,,,,,,,,,,,
"1098 ","NEW  ","ACP  ",,LCPTA,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:53,2014-01-13 17:15:53,LS2BATCH,LS2BATCH,1098,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
BARFD,,,,,Y,N,,,,,,,,,,,,,,,FFS,2014-01-13 17:15:41,2014-01-13 17:15:41,LS2BATCH,LS2BATCH,BA-Reference Dealers,,,,,,,,,,,,,,,,,,,,,,,,,
BATEL,,,,,Y,N,,,,,,,,,,,,,,,FFS,2014-01-13 17:15:41,2014-01-13 17:15:41,LS2BATCH,LS2BATCH,BA-Telerate,,,,,,,,,,,,,,,,,,,,,,,,,
BBRRB,,,,,Y,N,,,,,,,,,,,,,,,FFS,2014-01-13 17:15:41,2014-01-13 17:15:41,LS2BATCH,LS2BATCH,BBR-Reference Banks,,,,,,,,,,,,,,,,,,,,,,,,,
BBRTL,,,,,Y,N,,,,,,,,,,,,,,,FFS,2014-01-13 17:15:41,2014-01-13 17:15:41,LS2BATCH,LS2BATCH,BBR-Telerate,,,,,,,,,,,,,,,,,,,,,,,,,
BMAMS,,,,,Y,N,,,,,,,,,,,,,,,FFS,2014-01-13 17:15:41,2014-01-13 17:15:41,LS2BATCH,LS2BATCH,BMA Municipal Swap Index,,,,,,,,,,,,,,,,,,,,,,,,,
"BMK  ",,,,,Y,N,,,,,,,,,,,,,,,FFS,2014-01-13 17:15:41,2014-01-13 17:15:41,LS2BATCH,LS2BATCH,BMK,,,,,,,,,,,,,,,,,,,,,,,,,
BRAUB,,,,,Y,N,,,,,,,,,,,,,,,FFS,2014-01-13 17:15:41,2014-01-13 17:15:41,LS2BATCH,LS2BATCH,BBR-AUBBSW,,,,,,,,,,,,,,,,,,,,,,,,,
"2868 ","CAN  ","OTR  ",,SBDEC,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:16:25,2014-01-13 17:16:25,LS2BATCH,LS2BATCH,2868,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"2869 ","CAN  ","OTR  ",,SBDRP,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:16:25,2014-01-13 17:16:25,LS2BATCH,LS2BATCH,2869,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"2870 ","CAN  ","OTR  ",,SBINC,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:16:25,2014-01-13 17:16:25,LS2BATCH,LS2BATCH,2870,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
FAN39,,,,,Y,N,,,,,,,,,,,,,,,FAN,2014-01-13 17:16:32,2014-01-13 17:16:32,LS2BATCH,LS2BATCH,processingAreaCode,,,,,,,,,,,,,,,,,,,,,,,,,
APOCA,,,,,Y,Y,N,,,,,,,,,,,,,,BTR,2020-11-03 07:23:15,2020-11-03 07:23:15,LS2BATCH,LS2BATCH,Automatic Portfolio Origination Cost Adj,,,,,,,,,,,,,,,,,,,,,,,,,
EDCHO,,,,,Y,Y,Y,,,,,,,,,,,,,,BTR,2020-11-03 07:23:15,2020-11-03 07:23:15,LS2BATCH,LS2BATCH,Escrow Deposit ChargeOff,,,,,,,,,,,,,,,,,,,,,,,,,
IMPRO,,,,,Y,Y,Y,,,,,,,,,,,,,,BTR,2020-11-03 07:23:15,2020-11-03 07:23:15,LS2BATCH,LS2BATCH,Impairment Provisioning,,,,,,,,,,,,,,,,,,,,,,,,,
IMPRF,,,,,Y,Y,N,,,,,,,,,,,,,,BTR,2020-11-03 07:23:15,2020-11-03 07:23:15,LS2BATCH,LS2BATCH,Impairment Provisioning For Facility,,,,,,,,,,,,,,,,,,,,,,,,,
FEERI,"ACCT ",FEERC,"BAL  ","DR   ",Y,Y,N,N,N,,,,,,,,,,,,SNM,2020-11-03 07:23:15,2020-11-03 07:23:15,LS2BATCH,LS2BATCH,"Fee Receivable Impaired Account                   ",,,,,,,,,,,,,,,,,,,,,,,,,
FEEFO,"ACCT ",FEEIN,INCOM,"CR   ",Y,Y,N,Y,N,,,,,,,,,,,,SNM,2020-11-03 07:23:15,2020-11-03 07:23:15,LS2BATCH,LS2BATCH,"Fee Foregone Account                              ",,,,,,,,,,,,,,,,,,,,,,,,,
OCADJ,,,,,Y,Y,N,,,,,,,,,,,,,,BTR,2020-11-03 07:23:15,2020-11-03 07:23:15,LS2BATCH,LS2BATCH,Origination Cost Amortization Adjustment,,,,,,,,,,,,,,,,,,,,,,,,,
"914  ","42   ",,,,Y,N,Y,N,,,,,,,,,,,,,UFN,2014-01-13 17:15:36,2014-01-13 17:15:36,LS2BATCH,LS2BATCH,Portfolio And IAS Category Association,gtmPortfolioAndIASCategoryAssociation,,,,,,,,,,,,,,,,,,,,,,,,
CCTRN,,,,,Y,N,,,,,,,,,,,,,,,APT,2014-01-13 17:15:36,2014-01-13 17:15:36,LS2BATCH,LS2BATCH,Contact Change Transaction,,,,,,,,,,,,,,,,,,,,,,,,,
CCTRL,,,,,Y,N,,,,,,,,,,,,,,,CEV,2014-01-13 17:15:36,2014-01-13 17:15:36,LS2BATCH,LS2BATCH,Contact Change Transaction Released,,,,,,,,,,,,,,,,,,,,,,,,,
RSTRC,,,,,Y,N,,,,,,,,,,,,,,,APT,2014-01-13 17:15:36,2014-01-13 17:15:36,LS2BATCH,LS2BATCH,Restructure Transaction,,,,,,,,,,,,,,,,,,,,,,,,,
FCRAI,,,,,Y,N,N,N,,,,,,,,,,,,,CTT,2014-01-13 17:15:36,2014-01-13 17:15:36,LS2BATCH,LS2BATCH,Facility Restructure Add/Unscheduled Increase,,,,,,,,,,,,,,,,,,,,,,,,,
RRSTR,,,,,Y,N,N,N,N,N,,,,,,,,,,,DEN,2014-01-13 17:15:36,2014-01-13 17:15:36,LS2BATCH,LS2BATCH,Restructure Released,,,,,,,,,,,,,,,,,,,,,,,,,
"PASG ",,,,,Y,N,,,,,,,,,,,,,,,ITP,2014-01-13 17:15:36,2014-01-13 17:15:36,LS2BATCH,LS2BATCH,Primary Assignment,,,,,,,,,,,,,,,,,,,,,,,,,
"1074 ",,,,,Y,N,N,,,,,,,,,,,,,,ELO,2014-01-13 17:15:36,2014-01-13 17:15:36,LS2BATCH,LS2BATCH,1074 - Deal Restructure with Netting of Casfhflow,916,,,,,,,,,,,,,,,,,,,,,,,,
"STAG ",,,,,Y,N,,,,,,,,,,,,,,,NRT,2014-01-13 17:15:36,2014-01-13 17:15:36,LS2BATCH,LS2BATCH,Stabilization Agent,,,,,,,,,,,,,,,,,,,,,,,,,
"PASG ","PASG ",,,,Y,N,N,,,,,,,,,,,,,,CIT,2014-01-13 17:15:36,2014-01-13 17:15:36,LS2BATCH,LS2BATCH,Primary Assignment,,,,,,,,,,,,,,,,,,,,,,,,,
"921  ",,,,,Y,N,Y,N,,,,,,,,,,,,,UFN,2014-01-13 17:15:36,2014-01-13 17:15:36,LS2BATCH,LS2BATCH,Trader Desktop Maintenance,traderDesktopMaintenance,,,,,,,,,,,,,,,,,,,,,,,,
"0024 ",,,,,Y,N,N,,,,,,,,,,,,,,ELO,2014-04-11 05:20:25,2020-11-03 07:22:10,LS2BATCH,LS2BATCH,IntraLinks,829 923,,,,,,,,,,,,,-,,,,,,,,,,,
LINTE,,,,,Y,N,,,,,,,,,,,,,,,APT,2014-01-13 17:15:36,2014-01-13 17:15:36,LS2BATCH,LS2BATCH,Loan Interest Payment (Exporter Interest Party),,,,,,,,,,,,,,,,,,,,,,,,,
LINTS,,,,,Y,N,,,,,,,,,,,,,,,APT,2014-01-13 17:15:36,2014-01-13 17:15:36,LS2BATCH,LS2BATCH,Loan Interest Payment (Stabilization Agent),,,,,,,,,,,,,,,,,,,,,,,,,
AADJE,,,,,Y,N,,,,,,,,,,,,,,,APT,2014-01-13 17:15:36,2014-01-13 17:15:36,LS2BATCH,LS2BATCH,Accrual Shares Adjustment (Exporter Interest Party),,,,,,,,,,,,,,,,,,,,,,,,,
AADJS,,,,,Y,N,,,,,,,,,,,,,,,APT,2014-01-13 17:15:36,2014-01-13 17:15:36,LS2BATCH,LS2BATCH,Accrual Shares Adjustment (Stabilization Agent),,,,,,,,,,,,,,,,,,,,,,,,,
LRINE,,,,,Y,N,,,,,,,,,,,,,,,APT,2014-01-13 17:15:36,2014-01-13 17:15:36,LS2BATCH,LS2BATCH,Loan Reverse Interest Payment (Exporter Interest Party),,,,,,,,,,,,,,,,,,,,,,,,,
LRINS,,,,,Y,N,,,,,,,,,,,,,,,APT,2014-01-13 17:15:36,2014-01-13 17:15:36,LS2BATCH,LS2BATCH,Loan Reverse Interest Payment (Stabilization Agent),,,,,,,,,,,,,,,,,,,,,,,,,
LISAE,,,,,Y,N,,,,,,,,,,,,,,,APT,2014-01-13 17:15:36,2014-01-13 17:15:36,LS2BATCH,LS2BATCH,Loan Interest Payment Share Adjustment (Exporter Interest Party),,,,,,,,,,,,,,,,,,,,,,,,,
LISAS,,,,,Y,N,,,,,,,,,,,,,,,APT,2014-01-13 17:15:36,2014-01-13 17:15:36,LS2BATCH,LS2BATCH,Loan Interest Payment Share Adjustment (Stabilization Agent),,,,,,,,,,,,,,,,,,,,,,,,,
"923  ","42   ",,,,Y,N,Y,N,,,,,,,,,,,,,UFN,2014-01-13 17:15:36,2014-01-13 17:15:36,LS2BATCH,LS2BATCH,IntraLinks Error,gtmIntraLinksError,,,,,,,,,,,,,,,,,,,,,,,,
PCSTT,,,,,Y,N,,,,,,,,,,,,,,,FTT,2014-01-13 17:15:36,2014-01-13 17:15:36,LS2BATCH,LS2BATCH,Paperclip Payment Stabilization Agent Sub Template,,,,,,,,,,,,,,,,,,,,,,,,,
"1160 ",,,,,Y,N,N,,,,,,,,,,,,,,ELO,2014-04-11 05:20:25,2014-04-11 05:20:25,LS2BATCH,LS2BATCH,1160 - Security for Callback Contacts,920 922,,,,,,,,,,,,,,,,,,,,,,,,
"0056 ",,,,,Y,N,N,,,,,,,,,,,,,,ELO,2014-04-11 05:20:25,2020-11-03 07:21:39,LS2BATCH,LS2BATCH,Budget Monitoring,796 797 798 799 800 805 801 802 803 804,,,,,,,,,,,,,-,,,,,,,,,,,
"1068 ",,,,,Y,N,N,,,,,,,,,,,,,,ELO,2014-04-11 05:20:25,2020-11-03 07:21:39,LS2BATCH,LS2BATCH,1068 - Deposit - Autogen and Autorelease PRIN and INT pymts,872 873,,,,,,,,,,,,,-,,,,,,,,,,,
RSTRC,,,,,Y,N,,,,,,,,,,,,,,,FTT,2014-01-13 17:15:36,2014-01-13 17:15:36,LS2BATCH,LS2BATCH,Restructure Intent Notice Template,,,,,,,,,,,,,,,,,,,,,,,,,
"1269 ",CHOFF,"FEE  ",,_ANY_,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:55,2014-01-13 17:15:55,LS2BATCH,LS2BATCH,1269,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"1270 ","CPTC ","FEE  ",,_ANY_,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:55,2014-01-13 17:15:55,LS2BATCH,LS2BATCH,1270,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"1271 ",EFDTE,"FEE  ",,_ANY_,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:55,2014-01-13 17:15:55,LS2BATCH,LS2BATCH,1271,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"1272 ",ENDTE,"FEE  ",,_ANY_,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:55,2014-01-13 17:15:55,LS2BATCH,LS2BATCH,1272,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"1273 ",EXPIR,"FEE  ",,_ANY_,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:55,2014-01-13 17:15:55,LS2BATCH,LS2BATCH,1273,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"1274 ",EXPRD,"FEE  ",,_ANY_,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:55,2014-01-13 17:15:55,LS2BATCH,LS2BATCH,1274,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"1275 ",FLSTD,"FEE  ",,_ANY_,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:55,2014-01-13 17:15:55,LS2BATCH,LS2BATCH,1275,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"1276 ",INACT,"FEE  ",,_ANY_,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:55,2014-01-13 17:15:55,LS2BATCH,LS2BATCH,1276,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"1277 ","NACC ","FEE  ",,_ANY_,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:55,2014-01-13 17:15:55,LS2BATCH,LS2BATCH,1277,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"1278 ",NAIFP,"FEE  ",,_ANY_,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:55,2014-01-13 17:15:55,LS2BATCH,LS2BATCH,1278,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"1279 ","NEW  ","FEE  ",,_ANY_,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:55,2014-01-13 17:15:55,LS2BATCH,LS2BATCH,1279,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
"1280 ",REACT,"FEE  ",,_ANY_,Y,N,,N,,,,,,,,,,,,,BET,2014-01-13 17:15:55,2014-01-13 17:15:55,LS2BATCH,LS2BATCH,1280,,"TRE  ",,,,,,,,,,,,,,,,,,,,,,,
