"PRE_PID_PRODUCT_ID","PRE_CDE_PROD_TYPE","PRE_CDE_EVENT_TYPE","PRE_TSP_REC_CREATE","PRE_TSP_REC_UPDATE","PRE_UID_REC_CREATE","PRE_UID_REC_UPDATE","PRE_DTE_EFFECTIVE","PRE_RID_PROD_EVENT","PRE_TXT_AMEND_NUM","PRE_RID_OLD_PRD_EV","PRE_CDE_OWNER_TYPE","PRE_RID_OWNER","PRE_DTE_PREVIOUS","PRE_TXT_USER_DATA","PRE_TXT_EVENT_CMT","PRE_CDE_BRANCH"
"#!EFTRT9","FAC  ","CRTE ","2020-09-01 09:54:01","2020-09-01 09:54:01","CMARTILL","CMARTILL","2020-05-29 00:00:00","#!EFTRTA","","","","","","","","CG852"
"#!EFTRT9","FAC  ","FCTRD","2020-10-13 16:57:12","2020-10-13 16:57:12","MANZANOS","MANZANOS","2021-03-01 00:00:00","C$EI01EJ","","","FCTRN","QPEH81ED","","","Facility Change Transaction for FAC1 AMSTER RPA 1M CM released.","CG852"
"#!EFTRT9","FAC  ","FDDCH","2020-09-01 19:26:35","2020-09-01 19:26:35","RPTSUP01","RPTSUP01","2020-05-29 00:00:00","#FEFUGJ2","","","","","","","First loan drawdown date changed to 29-May-2020.","CG852"
"#!EFTRT9","FAC  ","IPRC ","2020-10-13 17:50:21","2020-10-13 17:50:21","MANZANOS","MANZANOS","2021-03-01 00:00:00","CVEI03VP","","","","","","","Pricing Changed by Pricing Change Transaction Number 1","CG852"
"#!EFTRT9","FAC  ","PRCHR","2020-10-13 17:50:21","2020-10-13 17:50:21","MANZANOS","MANZANOS","2021-03-01 00:00:00","CVEI03VT","","","FPRCH","CLEI01U2","","","Pricing Change Transaction Number 1 released. Drill down to see details","CG852"
"#!EFTRT9","FAC  ","RECLS","2020-09-01 19:26:35","2020-09-01 19:26:35","RPTSUP01","RPTSUP01","2020-05-29 00:00:00","#FEFUGJ3","","","DPRCL","","","","Automatic discount P/L reclass due to release of Euro LIBOR Option Initial Drawdown (60000638).","CG852"
"#!EFTRT9","FAC  ","TGDTE","2020-09-01 11:09:12","2020-09-01 11:09:12","RPTSUP01","RPTSUP01","2020-05-29 00:00:00","#FEFTUAH","","","","","","","Delayed trigger date modified (29-May-2020)","CG852"
"#+EI35Q6","DEA  ","APRVD","2020-10-15 09:32:03","2020-10-15 09:32:03","MANZANOS","MANZANOS","2021-03-05 00:00:00","BKEI3862","","","","","","","Approval completed.  Approver: APPROVER1, SHINE. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands.","CG852"
"#+EI35Q6","DEA  ","CLDT ","2020-10-15 09:32:20","2020-10-15 09:32:20","MANZANOS","MANZANOS","2021-03-05 00:00:00","BKEI387S","","","","","","","","CG852"
"#+EI35Q6","DEA  ","CRTE ","2020-10-15 08:34:34","2020-10-15 08:34:34","SMANZANO","SMANZANO","2021-03-05 00:00:00","#+EI35QB","","","","","","","Host Bank Deal. Copied from: SYNDICATED_NOK_OTHER_AGENT","CG852"
"#+EI35Q6","DEA  ","PSPDU","2020-10-15 09:32:17","2020-10-15 09:32:17","MANZANOS","MANZANOS","2021-03-05 00:00:00","BKEI386N","","","","","","","Autoapply Penalty Spread when Past Due Updated to False beginning 05-Mar-2021","CG852"
"#+EI35Q6","DEA  ","STA  ","2020-10-15 09:28:39","2020-10-15 09:28:39","JAQUITAN","JAQUITAN","2021-03-05 00:00:00","BPEI37SZ","","","","","","","Warnings occurred during validation: N","CG852"
"#+EI35Q6","DEA  ","URDEA","2020-10-15 08:58:39","2020-10-15 08:58:39","SMANZANO","SMANZANO","2021-03-05 00:00:00","#+EI35XQ","","","","","","","","CG852"
"#XEHOQ6X","DEA  ","APRVD","2020-10-07 11:50:30","2020-10-07 11:50:30","LIQSVR05","LIQSVR05","2020-07-09 00:00:00","#:EHORIK","","","","","","","Approval completed.  Approver: AMSTERDAM, LIQSVR. Job Function: Senior Deal Administrator; Ranking: 10. Location: Amsterdam, Netherlands.","CG852"
"#XEHOQ6X","DEA  ","CLDT ","2020-10-07 11:51:13","2020-10-07 11:51:13","LIQSVR05","LIQSVR05","2020-07-09 00:00:00","#:EHORK6","","","","","","","","CG852"
"#XEHOQ6X","DEA  ","CRTE ","2020-10-07 11:21:58","2020-10-07 11:21:58","LIQSVR04","LIQSVR04","2020-07-09 00:00:00","#XEHOQ72","","","","","","","Host Bank Deal. Copied from: 5MDEAL","CG852"
"#XEHOQ6X","DEA  ","PSPDU","2020-10-07 11:51:03","2020-10-07 11:51:03","LIQSVR05","LIQSVR05","2020-07-09 00:00:00","#:EHORJ5","","","","","","","Autoapply Penalty Spread when Past Due Updated to False beginning 09-Jul-2020","CG852"
"#XEHOQ6X","DEA  ","STA  ","2020-10-07 11:49:32","2020-10-07 11:49:32","LIQSVR04","LIQSVR04","2020-07-09 00:00:00","#XEHORH2","","","","","","","Warnings occurred during validation: N","CG852"
"#XEHOQ6X","DEA  ","URDEA","2020-10-07 11:23:22","2020-10-07 11:23:22","LIQSVR04","LIQSVR04","2020-07-09 00:00:00","#XEHOQ9A","","","","","","","","CG852"
"#XEHOQ7N","FAC  ","CRTE ","2020-10-07 11:22:12","2020-10-07 11:22:12","LIQSVR04","LIQSVR04","2020-07-09 00:00:00","#XEHOQ7O","","","","","","","Copied from: 5MFACILITY","CG852"
"#XEHOQ7N","FAC  ","RENME","2020-10-07 11:39:59","2020-10-07 11:39:59","LIQSVR04","LIQSVR04","2020-07-09 00:00:00","#XEHOR10","","","","","",""," ","CG852"
"#XEHOQ7N","FAC  ","TGDTE","2020-10-07 11:51:13","2020-10-07 11:51:13","LIQSVR05","LIQSVR05","2020-07-09 00:00:00","#:EHORJQ","","","","","","","Delayed trigger date modified (09-Jul-2020)","CG852"
"$QEI1OJW","DEA  ","APRVD","2020-10-14 13:12:58","2020-10-14 13:12:58","LIQAPCP3","LIQAPCP3","2021-03-03 00:00:00","DEEI1QJ4","","","","","","","Approval completed.  Approver: MANUAL CP APPROVER 3, LIQ. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands.","CG852"
"$QEI1OJW","DEA  ","CLDT ","2020-10-14 13:13:08","2020-10-14 13:13:08","LIQAPCP3","LIQAPCP3","2021-03-03 00:00:00","DEEI1QLN","","","","","","","","CG852"
"$QEI1OJW","DEA  ","CRTE ","2020-10-14 13:02:12","2020-10-14 13:02:12","LIQUSR03","LIQUSR03","2021-03-03 00:00:00","$QEI1OK1","","","","","","","Host Bank Deal.","CG852"
"$QEI1OJW","DEA  ","PCTCL","2020-10-14 14:44:48","2020-10-14 14:44:48","LIQUSR03","LIQUSR03","2021-03-03 00:00:00","?5EI1U2P","","","PCP  ","DYEI1RA0","",""," ","CG852"
"$QEI1OJW","DEA  ","PSPDU","2020-10-14 13:12:27","2020-10-14 13:12:27","LIQUSR03","LIQUSR03","2021-03-03 00:00:00","D9EI1Q66","","","","","","","Autoapply Penalty Spread when Past Due Updated to False beginning 03-Mar-2021","CG852"
"$QEI1OJW","DEA  ","STA  ","2020-10-14 13:12:28","2020-10-14 13:12:28","LIQUSR03","LIQUSR03","2021-03-03 00:00:00","D9EI1Q6I","","","","","","","Warnings occurred during validation: N","CG852"
"$QEI1OJW","DEA  ","URDEA","2020-10-14 13:10:12","2020-10-14 13:10:12","LIQUSR03","LIQUSR03","2021-03-03 00:00:00","DFEI1PEL","","","","","","","","CG852"
"$QEI1OLY","FAC  ","CRTE ","2020-10-14 13:04:28","2020-10-14 13:04:28","LIQUSR03","LIQUSR03","2021-03-03 00:00:00","$QEI1OLZ","","","","","","","","CG852"
"$VEI1OYA","DEA  ","CRTE ","2020-10-14 13:17:19","2020-10-14 13:17:19","CESSINP1","CESSINP1","2021-03-03 00:00:00","$VEI1OYF","","","","","","","Host Bank Deal.","CG852"
"$VEI1OYA","DEA  ","FRHCH","2020-10-14 13:33:30","2020-10-14 13:33:30","CESSINP1","CESSINP1","2021-03-03 00:00:00","$VEI1P0Q","","","","","","","Debt Service Coverage Ratio (DSCR) changed to 1 beginning 03-Mar-2021.","CG852"
"$VEI1OYA","DEA  ","FRHCH","2020-10-14 13:34:04","2020-10-14 13:34:04","CESSINP1","CESSINP1","2021-03-03 00:00:00","$VEI1P0V","","","","","","","Loan to Value Ratio (LVR) changed to 1 beginning 03-Mar-2021.","CG852"
"$VEI1OYA","DEA  ","URDEA","2020-10-14 13:18:10","2020-10-14 13:18:10","CESSINP1","CESSINP1","2021-03-03 00:00:00","$VEI1OYL","","","","","","","","CG852"
"(7EFGUDN","DEA  ","APRVD","2020-08-25 11:04:02","2020-08-25 11:04:02","RPTMGR01","RPTMGR01","2019-04-03 00:00:00","@!EFGXXY","","","","","","","Approval completed.  Approver: MANAGER, RODEL. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands.","CG852"
"(7EFGUDN","DEA  ","CLDT ","2020-08-25 11:12:17","2020-08-25 11:12:17","RPTMGR01","RPTMGR01","2019-04-03 00:00:00","@!EFGXZ4","","","","","","","","CG852"
"(7EFGUDN","DEA  ","CRTE ","2020-08-25 10:03:23","2020-08-25 10:03:23","CMARTILL","CMARTILL","2020-05-27 00:00:00","(7EFGUDS","","","","","","","Host Bank Deal.","CG852"
"(7EFGUDN","DEA  ","PSPDU","2020-08-25 11:12:00","2020-08-25 11:12:00","RPTMGR01","RPTMGR01","2020-05-27 00:00:00","@!EFGXYJ","","","","","","","Autoapply Penalty Spread when Past Due Updated to False beginning 27-May-2020","CG852"
"(7EFGUDN","DEA  ","STA  ","2020-08-25 10:50:49","2020-08-25 10:50:49","CMARTILL","CMARTILL","2020-05-27 00:00:00","(7EFGUJ3","","","","","","","Warnings occurred during validation: N","CG852"
"(7EFGUDN","DEA  ","URDEA","2020-08-25 10:09:00","2020-08-25 10:09:00","CMARTILL","CMARTILL","2020-05-27 00:00:00","(7EFGUEE","","","","","","","","CG852"
"(7EFGUEQ","FAC  ","CRTE ","2020-08-25 10:22:35","2020-08-25 10:22:35","CMARTILL","CMARTILL","2020-05-27 00:00:00","(7EFGUER","","","","","","","","CG852"
"(7EFGUEQ","FAC  ","EFDTE","2020-08-25 11:38:16","2020-08-25 11:38:16","RPTMGR01","RPTMGR01","2019-04-03 00:00:00","@!EFGXZR","","","","","2019-05-27 00:00:00","","Effective date changed from 27-May-2019 to 03-Apr-2019.","CG852"
"(7EFGUEQ","FAC  ","FCTRD","2020-08-25 11:38:16","2020-08-25 11:38:16","RPTMGR01","RPTMGR01","2020-05-27 00:00:00","@!EFGXZQ","","","FCTRN","(7EFGW2U","","","Facility Change Transaction for MNLCP DEAL2 FAC1 released.","CG852"
"(7EFGUEQ","FAC  ","FCTRD","2020-08-25 18:43:03","2020-08-25 18:43:03","RPTSUP01","RPTSUP01","2020-05-27 00:00:00","C9EFHNIX","","","FCTRN","(7EFID52","","","Facility Change Transaction for MNLCP DEAL2 FAC1 released.","CG852"
"(7EFGUEQ","FAC  ","FDDCH","2020-08-25 14:17:43","2020-08-25 14:17:43","RPTMGR01","RPTMGR01","2020-04-03 00:00:00","@!EFH3KY","","","","","","","First loan drawdown date changed to 03-Apr-2020.","CG852"
"(7EFGUEQ","FAC  ","RECLS","2020-08-25 14:17:43","2020-08-25 14:17:43","RPTMGR01","RPTMGR01","2020-05-27 00:00:00","@!EFH3KZ","","","DPRCL","","","","Automatic discount P/L reclass due to release of Euro LIBOR Option Initial Drawdown (60000487).","CG852"
"(7EFGXIA","DEA  ","APRVD","2020-08-25 12:45:49","2020-08-25 12:45:49","RPTMGR01","RPTMGR01","2020-05-27 00:00:00","@!EFGZBB","","","","","","","Approval completed.  Approver: MANAGER, RODEL. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands.","CG852"
"(7EFGXIA","DEA  ","CLDT ","2020-08-25 12:46:34","2020-08-25 12:46:34","RPTMGR01","RPTMGR01","2020-05-27 00:00:00","@!EFGZCX","","","","","","","","CG852"
"(7EFGXIA","DEA  ","CRTE ","2020-08-25 12:06:57","2020-08-25 12:06:57","CMARTILL","CMARTILL","2020-05-27 00:00:00","(7EFGXIF","","","","","","","Host Bank Deal.","CG852"
"(7EFGXIA","DEA  ","PCTRL","2020-09-11 15:41:36","2020-09-11 15:41:36","RPTSUP01","RPTSUP01","2020-05-28 00:00:00","YHEGCQAV","","","PCP  ","OLEGDNPF","","","Repayment for AMSTER PYMNTS DEAL2 of 400.66 has been applied.","CG852"
"(7EFGXIA","DEA  ","PSPDU","2020-08-25 12:46:23","2020-08-25 12:46:23","RPTMGR01","RPTMGR01","2020-05-27 00:00:00","@!EFGZC2","","","","","","","Autoapply Penalty Spread when Past Due Updated to False beginning 27-May-2020","CG852"
"(7EFGXIA","DEA  ","STA  ","2020-08-25 12:44:41","2020-08-25 12:44:41","CMARTILL","CMARTILL","2020-05-27 00:00:00","(7EFGZ9F","","","","","","","Warnings occurred during validation: N","CG852"
"(7EFGXIA","DEA  ","URDEA","2020-08-25 12:10:30","2020-08-25 12:10:30","CMARTILL","CMARTILL","2020-05-27 00:00:00","(7EFGXOB","","","","","","","","CG852"
"(7EFGXST","FAC  ","CRTE ","2020-08-25 12:13:15","2020-08-25 12:13:15","CMARTILL","CMARTILL","2020-05-27 00:00:00","(7EFGXSV","","","","","","","","CG852"
"(7EFGXST","FAC  ","FCTRD","2020-09-17 11:12:13","2020-09-17 11:12:13","RPTMGR01","RPTMGR01","2020-06-25 00:00:00","VTEGNHL8","","","FCTRN","L*EGNGCT","","","Facility Change Transaction for AMSTER PYMNTS DEAL2 FAC1 released.","CG852"
"(7EFGXST","FAC  ","FCTRD","2020-09-17 12:33:18","2020-09-17 12:33:18","RPTMGR01","RPTMGR01","2020-06-25 00:00:00","VTEGNJXU","","","FCTRN","L*EGNJN2","","","Facility Change Transaction for AMSTER PYMNTS DEAL2 FAC1 released.","CG852"
"(7EFGXST","FAC  ","FDDCH","2020-08-25 17:18:22","2020-08-25 17:18:22","RPTSUP01","RPTSUP01","2020-05-27 00:00:00","C9EFHN6V","","","","","","","First loan drawdown date changed to 27-May-2020.","CG852"
"(7EFGXST","FAC  ","IPRC ","2020-09-17 11:32:56","2020-09-17 11:32:56","RPTMGR01","RPTMGR01","2020-06-25 00:00:00","VTEGNIFW","","","","","","","Pricing Changed by Pricing Change Transaction Number 1","CG852"
"(7EFGXST","FAC  ","IPRC ","2020-09-17 11:59:48","2020-09-17 11:59:48","RPTMGR01","RPTMGR01","2020-06-25 00:00:00","VTEGNJCF","","","","","","","Pricing Changed by Pricing Change Transaction Number 2","CG852"
"(7EFGXST","FAC  ","IPRC ","2020-09-17 12:42:19","2020-09-17 12:42:19","RPTMGR01","RPTMGR01","2020-06-25 00:00:00","VTEGNKF9","","","","","","","Pricing Changed by Pricing Change Transaction Number 2","CG852"
"(7EFGXST","FAC  ","PRCHR","2020-09-17 11:32:56","2020-09-17 11:32:56","RPTMGR01","RPTMGR01","2020-06-25 00:00:00","VTEGNIG0","","","FPRCH","L*EGNGLX","","","Pricing Change Transaction Number 1 released. Drill down to see details","CG852"
"(7EFGXST","FAC  ","PRCHR","2020-09-17 11:59:48","2020-09-17 11:59:48","RPTMGR01","RPTMGR01","2020-06-25 00:00:00","VTEGNJCJ","","","FPRCH","L*EGNHP8","","","Pricing Change Transaction Number 2 released. Drill down to see details","CG852"
"(7EFGXST","FAC  ","PRCHR","2020-09-17 12:42:19","2020-09-17 12:42:19","RPTMGR01","RPTMGR01","2020-06-25 00:00:00","VTEGNKFD","","","FPRCH","L*EGNK33","","","Pricing Change Transaction Number 2 released. Drill down to see details","CG852"
"(7EFGXST","FAC  ","RECLS","2020-08-25 17:18:22","2020-08-25 17:18:22","RPTSUP01","RPTSUP01","2020-05-27 00:00:00","C9EFHN6W","","","DPRCL","","","","Automatic discount P/L reclass due to release of Fixed Rate Option Initial Drawdown (60000490).","CG852"
"(7EFGXST","FAC  ","TGDTE","2020-08-25 12:46:34","2020-08-25 12:46:34","RPTMGR01","RPTMGR01","2020-05-27 00:00:00","@!EFGZCE","","","","","","","Delayed trigger date modified (27-May-2020)","CG852"
")(EIAR32","DEA  ","CRTE ","2020-10-19 10:31:33","2020-10-19 10:31:33","DELINP01","DELINP01","2021-03-08 00:00:00",")(EIAR37","","","","","","","Host Bank Deal.","CG852"
")(EIAR32","DEA  ","URDEA","2020-10-19 10:34:13","2020-10-19 10:34:13","DELINP01","DELINP01","2021-03-08 00:00:00",")(EIAR4V","","","","","","","","CG852"
")(EIAR57","FAC  ","CRTE ","2020-10-19 10:39:39","2020-10-19 10:39:39","DELINP01","DELINP01","2021-03-08 00:00:00",")(EIAR58","","","","","","","","CG852"
")9EIAMDP","DEA  ","CRTE ","2020-10-19 09:00:33","2020-10-19 09:00:33","DELINP01","DELINP01","2021-03-08 00:00:00",")9EIAMDU","","","","","","","Host Bank Deal.","CG852"
")9EIAMDP","DEA  ","URDEA","2020-10-19 09:04:28","2020-10-19 09:04:28","DELINP01","DELINP01","2021-03-08 00:00:00",")9EIAMFI","","","","","","","","CG852"
")=EIATZI","DEA  ","APRVD","2020-10-19 12:51:11","2020-10-19 12:51:11","ARFELS01","ARFELS01","2021-03-08 00:00:00","EMEIAUHR","","","","","","","Approval completed.  Approver: CAMPOMANES, MAKEEARFEL. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands.","CG852"
")=EIATZI","DEA  ","CLDT ","2020-10-19 12:55:34","2020-10-19 12:55:34","ARFELM01","ARFELM01","2021-03-08 00:00:00","E=EIAUVF","","","","","","","","CG852"
")=EIATZI","DEA  ","CRTE ","2020-10-19 12:21:10","2020-10-19 12:21:10","ARFELI01","ARFELI01","2021-03-08 00:00:00",")=EIATZN","","","","","","","Host Bank Deal.","CG852"
")=EIATZI","DEA  ","FRHCH","2020-10-19 12:27:40","2020-10-19 12:27:40","ARFELI01","ARFELI01","2021-03-08 00:00:00",")=EIAU1F","","","","","","","Debt Service Coverage Ratio (DSCR) changed to 1 beginning 08-Mar-2021.","CG852"
")=EIATZI","DEA  ","PSPDU","2020-10-19 12:55:16","2020-10-19 12:55:16","ARFELM01","ARFELM01","2021-03-08 00:00:00","E=EIAUUL","","","","","","","Autoapply Penalty Spread when Past Due Updated to False beginning 08-Mar-2021","CG852"
")=EIATZI","DEA  ","STA  ","2020-10-19 12:48:02","2020-10-19 12:48:02","ARFELI01","ARFELI01","2021-03-08 00:00:00",")=EIAU56","","","","","","","Warnings occurred during validation: N","CG852"
")=EIATZI","DEA  ","URDEA","2020-10-19 12:25:00","2020-10-19 12:25:00","ARFELI01","ARFELI01","2021-03-08 00:00:00",")=EIAU1B","","","","","","","","CG852"
")=EIAU1O","FAC  ","CRTE ","2020-10-19 12:31:42","2020-10-19 12:31:42","ARFELI01","ARFELI01","2021-03-08 00:00:00",")=EIAU1P","","","","","","","","CG852"
")EEIAO93","FAC  ","CRTE ","2020-10-19 09:29:50","2020-10-19 09:29:50","DELINP01","DELINP01","2021-03-08 00:00:00",")EEIAO94","","","","","","","","CG852"
")JEIAQGM","FAC  ","CRTE ","2020-10-19 10:10:22","2020-10-19 10:10:22","DELINP01","DELINP01","2021-03-08 00:00:00",")JEIAQGN","","","","","","","","CG852"
")JEIAQH2","DEA  ","CRTE ","2020-10-19 10:19:04","2020-10-19 10:19:04","DELINP01","DELINP01","2021-03-08 00:00:00",")JEIAQH7","","","","","","","Host Bank Deal.","CG852"
")UEIAL9L","FAC  ","CRTE ","2020-10-19 08:29:56","2020-10-19 08:29:56","INPDEL01","INPDEL01","2021-03-08 00:00:00",")UEIAL9M","","","","","","","","CG852"
")UEIAL9R","DEA  ","BRPA ","2020-10-19 08:43:43","2020-10-19 08:43:43","INPDEL01","INPDEL01","2021-03-08 00:00:00",")UEIALBL","","","","","","","Branch Changed from Commonwealth Bank of Australia - DBU to Commonwealth Bank of Australia - Amsterdam. Processing Area Changed from Agency Australia to Team Amsterdam.","CG852"
")UEIAL9R","DEA  ","CRTE ","2020-10-19 08:39:06","2020-10-19 08:39:06","INPDEL01","INPDEL01","2021-04-19 00:00:00",")UEIAL9W","","","","","","","Host Bank Deal.","CG852"
")UEIAL9R","DEA  ","URDEA","2020-10-19 08:42:40","2020-10-19 08:42:40","INPDEL01","INPDEL01","2021-04-19 00:00:00",")UEIALBK","","","","","","","","CG852"
")UEIALCP","FAC  ","CRTE ","2020-10-19 08:48:56","2020-10-19 08:48:56","INPDEL01","INPDEL01","2021-03-08 00:00:00",")UEIALCQ","","","","","","","","CG852"
")XEIRVR5","DEA  ","CRTE ","2020-10-28 16:37:12","2020-10-28 16:37:12","TESTINP ","TESTINP ","2021-08-09 00:00:00",")XEIRVRA","","","","","","","Host Bank Deal.","CG852"
")XEIRVR5","DEA  ","URDEA","2020-10-28 16:41:48","2020-10-28 16:41:48","TESTINP ","TESTINP ","2021-08-09 00:00:00",")XEIRVS0","","","","","","","","CG852"
")XEIRVS4","DEA  ","APRVD","2020-10-29 15:28:51","2020-10-29 15:28:51","TESTSUP ","TESTSUP ","2021-08-12 00:00:00","@.EITKHS","","","","","","","Approval completed.  Approver: SUPERVISOR, TEST. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands.","CG852"
")XEIRVS4","DEA  ","CLDT ","2020-10-29 15:32:41","2020-10-29 15:32:41","TESTINP ","TESTINP ","2021-08-12 00:00:00","@OEITKYI","","","","","","","","CG852"
")XEIRVS4","DEA  ","CRTE ","2020-10-28 16:49:28","2020-10-28 16:49:28","TESTINP ","TESTINP ","2021-08-09 00:00:00",")XEIRVS9","","","","","","","Host Bank Deal.","CG852"
")XEIRVS4","DEA  ","FRHCH","2020-10-28 16:55:33","2020-10-28 16:55:33","TESTINP ","TESTINP ","2021-08-09 00:00:00",")XEIRVT3","","","","","","","Debt Service Coverage Ratio (DSCR) changed to 1 beginning 09-Aug-2021.","CG852"
")XEIRVS4","DEA  ","PSPDU","2020-10-29 15:32:39","2020-10-29 15:32:39","TESTINP ","TESTINP ","2021-09-14 00:00:00","@OEITKWO","","","","","","","Autoapply Penalty Spread when Past Due Updated to False beginning 14-Sep-2021","CG852"
")XEIRVS4","DEA  ","STA  ","2020-10-29 15:27:11","2020-10-29 15:27:11","TESTINP ","TESTINP ","2021-08-12 00:00:00","34EITK86","","","","","","","Warnings occurred during validation: N","CG852"
")XEIRVS4","DEA  ","URDEA","2020-10-28 16:54:04","2020-10-28 16:54:04","TESTINP ","TESTINP ","2021-08-09 00:00:00",")XEIRVSZ","","","","","","","","CG852"
")YEHXS7X","DEA  ","AMND ","2020-10-13 16:51:26","2020-10-13 16:51:26","RPTMGR01","RPTMGR01","2021-03-01 00:00:00","C#EI013C","1    ","","DAM  ","CNEI006J","","","Additional Facility","CG852"
")YEHXS7X","DEA  ","APRVD","2020-10-13 16:02:39","2020-10-13 16:02:39","RPTMGR01","RPTMGR01","2021-03-01 00:00:00","CHEHZYUL","","","","","","","Approval completed.  Approver: MANAGER, RODEL. Job Function: Deal Administration Manager; Ranking: 10. Location: Amsterdam, Netherlands.","CG852"
")YEHXS7X","DEA  ","CLDT ","2020-10-13 16:14:27","2020-10-13 16:14:27","RPTMGR01","RPTMGR01","2021-03-01 00:00:00","CHEHZZE2","","","","","","","","CG852"
")YEHXS7X","DEA  ","CMI  ","2020-10-13 16:51:26","2020-10-13 16:51:26","RPTMGR01","RPTMGR01","2021-03-01 00:00:00","C#EI013I","1    ","","FTR  ","CNEI008O","","","Unscheduled increase of 50,000,000.00, under amendment number 1 for facility named ADD_FACILITY_C.","CG852"
")YEHXS7X","DEA  ","CRTE ","2020-10-12 11:04:56","2020-10-12 11:04:56","CESSINP1","CESSINP1","2020-07-13 00:00:00",")YEHXS82","","","","","","","Host Bank Deal.","CG852"
")YEHXS7X","DEA  ","FRHCH","2020-10-12 17:26:13","2020-10-12 17:26:13","CESSINP1","CESSINP1","2020-07-13 00:00:00","T*EHY833","","","","","","","Debt Service Coverage Ratio (DSCR) changed to 1 beginning 13-Jul-2020.","CG852"
")YEHXS7X","DEA  ","FRHCH","2020-10-12 17:26:20","2020-10-12 17:26:20","CESSINP1","CESSINP1","2020-07-13 00:00:00","T*EHY83F","","","","","","","Debt Service Coverage Ratio (DSCR) changed to 1 beginning 13-Jul-2020.","CG852"
")YEHXS7X","DEA  ","FRHCH","2020-10-12 17:28:47","2020-10-12 17:28:47","CESSINP1","CESSINP1","2020-07-13 00:00:00","T*EHY87H","","","","","","","Loan to Value Ratio (LVR) changed to 1 beginning 13-Jul-2020.","CG852"
")YEHXS7X","DEA  ","FRHCH","2020-10-12 17:32:28","2020-10-12 17:32:28","CESSINP1","CESSINP1","2020-07-13 00:00:00","T*EHY8DL","","","","","","","Deleted Loan to Value Ratio (LVR)","CG852"
