"FHA_PID_FACILITY","FHA_PID_DEAL","FHA_AMT_CLOSING","FHA_AMT_GROSS","FHA_AMT_GROSS_ADJ","FHA_AMT_NET","FHA_AMT_NET_ADJ","FHA_AMT_PRECLOSE","FHA_UID_REC_UPDATE","FHA_UID_REC_CREATE","FHA_TSP_REC_UPDATE","FHA_TSP_REC_CREATE","FHA_AMT_DC_CLOSE","FHA_AMT_DC_GROSS","FHA_AMT_DC_GRS_ADJ","FHA_AMT_DC_NET","FHA_AMT_DC_NET_ADJ","FHA_AMT_DC_PRECLOS","FHA_CDE_BRANCH"
"YZEFEXAM","YZEFEWH5","100000000","100000000","0","100000000","0","100000000","MANZANOS","SMANZANO","2020-09-17 13:17:38","2020-08-24 10:07:07","100000000","100000000","0","100000000","0","100000000","CG852"
"Y5EFF559","Y5EFF54H","10000000","10000000","0","3000000","0","10000000","LIQAPCP3","LIQUSR03","2020-09-21 16:25:27","2020-08-24 12:28:22","10000000","10000000","0","3000000","0","10000000","CG852"
"3ZEFFD2W","3ZEFFD20","100000000","100000000","0","100000000","0","100000000","JANICEA1","JAQUITAN","2020-08-24 14:53:15","2020-08-24 14:36:54","100000000","100000000","0","100000000","0","100000000","CG852"
"3.EFFDZL","3.EFFDYP","100000000","100000000","0","100000000","0","100000000","JANICEA1","JAQUITAN","2020-08-24 15:11:24","2020-08-24 15:01:25","100000000","100000000","0","100000000","0","100000000","CG852"
"(7EFGUEQ","(7EFGUDN","5000000","5000000","0","5000000","0","5000000","RPTMGR01","CMARTILL","2020-08-25 11:12:00","2020-08-25 10:22:35","5000000","5000000","0","5000000","0","5000000","CG852"
"(7EFGXST","(7EFGXIA","2000000","2000000","0","2000000","0","2000000","RPTMGR01","CMARTILL","2020-08-25 12:46:23","2020-08-25 12:13:15","2000000","2000000","0","2000000","0","2000000","CG852"
"@EEFH10F","@EEFGXO8","100000000","100000000","0","100000000","-50000000","100000000","MANZANOM","SMANZANO","2020-09-02 12:56:23","2020-08-25 13:23:31","100000000","100000000","0","100000000","-50000000","100000000","CG852"
"@-EFH76E","@-EFH363","30000000","30000000","0","30000000","0","30000000","JANICEA1","JAQUITAN","2020-08-25 16:01:45","2020-08-25 15:35:46","30000000","30000000","0","30000000","0","30000000","CG852"
"@+EFH6WT","3MEFH2AH","10000000","10000000","0","10000000","3000000","10000000","LIQAPCP3","LIQUSR03","2020-09-01 15:11:52","2020-08-25 14:50:44","10000000","10000000","0","10000000","3000000","10000000","CG852"
"C6EFHAR6","C6EFHAQ1","30000000","30000000","0","30000000","0","30000000","JANICEA1","JAQUITAN","2020-08-25 16:30:38","2020-08-25 16:19:40","30000000","30000000","0","30000000","0","30000000","CG852"
"GREGNHU7","9ZEF82FK","0","100000000","0","100000000","0","0","JANICEA1","JANICEA1","2020-10-13 16:05:44","2020-09-17 11:32:25","0","114893665.91","0","114893665.91","0","0","CG852"
"G$EGNIUB","9ZEF82FK","0","100000000","0","100000000","0","0","JANICEA1","JANICEA1","2020-10-13 16:05:44","2020-09-17 12:04:09","0","55446203.32","0","55446203.32","0","0","CG852"
"=+EI1JPZ","40EDZTD7","0","6492768.68","0","6492768.68","0","0","JAQUITAN","JAQUITAN","2020-10-14 11:47:37","2020-10-14 11:47:37","0","1053901.13","0","1053901.13","0","0","CG852"
"IKEI224J","D3EI1MRL","0","0","0","0","0","0","MANZANOS","MANZANOS","2020-10-23 17:31:11","2020-10-14 19:23:12","0","0","0","0","0","0","CG852"
"BPEI37NY","#+EI35Q6","4000000","4000000","0","4000000","0","4000000","MANZANOS","JAQUITAN","2020-10-15 09:32:20","2020-10-15 09:20:19","4000000","4000000","0","4000000","0","4000000","CG852"
":YEI3DVV",":YEI3DT4","0","0","0","0","0","0","CESSINP1","CESSINP1","2020-10-15 11:50:08","2020-10-15 11:50:08","0","0","0","0","0","0","CG852"
":6EI3GFB",":6EI3GEF","400000","400000","0","400000","0","400000","LIQAPCP3","LIQUSR03","2020-10-15 12:20:25","2020-10-15 12:04:42","400000","400000","0","400000","0","400000","CG852"
":6EI3GI8",":6EI3GEF","400000","400000","0","400000","0","400000","LIQAPCP3","LIQUSR03","2020-10-15 12:20:25","2020-10-15 12:09:23","400000","400000","0","400000","0","400000","CG852"
"#!EFTRT9","#!EFTROA","1000000","1000000","0","500000","0","1000000","RPTSUP01","CMARTILL","2020-09-01 16:33:23","2020-09-01 09:54:01","1000000","1000000","0","500000","0","1000000","CG852"
"I:EFMEGK","IREFMCO3","100000000","100000000","0","100000000","50000000","100000000","LIQAPP05","SMANZANO","2020-10-08 16:53:10","2020-08-28 11:00:37","100000000","100000000","0","100000000","50000000","100000000","CG852"
"+TEHQISO","+TEHQIIH","0","0","0","0","0","0","ARFELI01","ARFELI01","2020-10-08 13:37:32","2020-10-08 13:37:32","0","0","0","0","0","0","CG852"
"AREHQR5R","AREHQR3F","0","0","0","0","0","0","ARFELI01","ARFELI01","2020-10-08 15:40:29","2020-10-08 15:40:29","0","0","0","0","0","0","CG852"
"AREHQR88","AREHQR5W","0","0","0","0","0","0","ARFELI01","ARFELI01","2020-10-08 16:10:25","2020-10-08 16:10:25","0","0","0","0","0","0","CG852"
"4GEHSB10","4GEHSAYO","0","0","0","0","0","0","ARFELI01","ARFELI01","2020-10-09 11:35:50","2020-10-09 11:35:50","0","0","0","0","0","0","CG852"
"4GEHSB5Y","4GEHSB3M","0","0","0","0","0","0","ARFELI01","ARFELI01","2020-10-09 12:20:41","2020-10-09 12:20:41","0","0","0","0","0","0","CG852"
"FYEHSERL","FYEHSEG7","0","0","0","0","0","0","ARFELI01","ARFELI01","2020-10-09 14:05:47","2020-10-09 14:05:47","0","0","0","0","0","0","CG852"
"F*EHSKCQ","F*EHSKAE","0","0","0","0","0","0","ARFELI01","ARFELI01","2020-10-09 15:54:01","2020-10-09 15:54:01","0","0","0","0","0","0","CG852"
".XEHY4PA",".XEHY4LC","600000000","600000000","0","600000000","0","600000000","LIQAPCP3","LIQUSR03","2020-10-12 15:44:01","2020-10-12 15:27:35","600000000","600000000","0","600000000","0","600000000","CG852"
"T@EHY5FQ","T@EHY3MK","0","0","0","0","0","0","CESSINP1","CESSINP1","2020-10-12 16:29:16","2020-10-12 16:29:16","0","0","0","0","0","0","CG852"
"CNEHZZU5",")YEHXS7X","0","15000000","0","15000000","0","0","RPTMGR01","RPTMGR01","2020-10-13 16:51:26","2020-10-13 16:51:26","0","15000000","0","15000000","0","0","CG852"
"$QEI1OLY","$QEI1OJW","400000000","400000000","0","400000000","0","400000000","LIQAPCP3","LIQUSR03","2020-10-14 13:13:08","2020-10-14 13:04:28","400000000","400000000","0","400000000","0","400000000","CG852"
"NPEI1VIS","D3EI1MRL","0","16000000","0","16000000","0","0","MANZANOS","JANICEA1","2020-10-23 17:31:11","2020-10-14 16:56:52","0","16000000","0","16000000","0","0","CG852"
"X-EI206K","D3EI1MRL","0","362388117.76","0","362388117.76","0","0","MANZANOS","MANZANOS","2020-10-23 17:31:11","2020-10-14 18:43:41","0","3283128697.38","0","3283128697.38","0","0","CG852"
"I-EI259A","D3EI1MRL","0","310405268.38","0","310405268.38","0","0","MANZANOS","MANZANOS","2020-10-23 17:31:11","2020-10-14 20:09:47","0","2812177383.7","0","2812177383.7","0","0","CG852"
":YEI3FS1",":YEI3F1E","0","0","0","0","0","0","CESSINP1","CESSINP1","2020-10-15 13:00:59","2020-10-15 13:00:59","0","0","0","0","0","0","CG852"
":YEI3H0U",":YEI3G9Q","0","0","0","0","0","0","CESSINP1","CESSINP1","2020-10-15 13:27:52","2020-10-15 13:27:52","0","0","0","0","0","0","CG852"
"@9EHZSR7","9ZEF82FK","0","250000000","0","250000000","0","0","JANICEA1","JANICEA1","2020-10-13 16:05:44","2020-10-13 13:06:02","0","286707111.48","0","286707111.48","0","0","CG852"
"@5EI038S","@EEI01UV","6000000","6000000","0","6000000","0","6000000","LIQSVR04","LIQUSR05","2020-10-13 14:51:45","2020-10-13 14:36:58","6000000","6000000","0","6000000","0","6000000","CG852"
"CKEHZVC2","9ZEF82FK","0","50000000","0","50000000","0","0","JANICEA1","JANICEA1","2020-10-13 16:05:44","2020-10-13 14:40:22","0","57341422.3","0","57341422.3","0","0","CG852"
":YEI3JZ1",":YEI3J7H","0","0","0","0","0","0","CESSINP1","CESSINP1","2020-10-15 14:31:33","2020-10-15 14:31:33","0","0","0","0","0","0","CG852"
")EEIAO93",")9EIAMDP","0","0","0","0","0","0","DELINP01","DELINP01","2020-10-19 10:10:22","2020-10-19 09:29:50","0","0","0","0","0","0","CG852"
")(EIAR57",")(EIAR32","0","0","0","0","0","0","DELINP01","DELINP01","2020-10-19 10:39:39","2020-10-19 10:39:39","0","0","0","0","0","0","CG852"
"34EITIZT",")XEIRVS4","100000000","100000000","0","100000000","0","100000000","TESTINP ","TESTINP ","2020-10-29 15:32:39","2020-10-29 13:46:51","100000000","100000000","0","100000000","0","100000000","CG852"
"0JEGNPY5","YZEFEWH5","0","100000000","0","100000000","0","0","MANZANOS","MANZANOS","2020-09-17 13:17:38","2020-09-17 13:17:38","0","91996320.15","0","91996320.15","0","0","CG852"
"42EHSA2A","42EHS9YE","1000000000","1000000000","0","1000000000","0","1000000000","LIQAPCP3","LIQUSR03","2020-10-09 12:42:09","2020-10-09 11:12:46","1000000000","1000000000","0","1000000000","0","1000000000","CG852"
"4GEHSB3H","4GEHSB15","0","0","0","0","0","0","ARFELI01","ARFELI01","2020-10-09 12:01:32","2020-10-09 12:01:32","0","0","0","0","0","0","CG852"
"4GEHSB8F","4GEHSB63","0","0","0","0","0","0","ARFELI01","ARFELI01","2020-10-09 12:44:57","2020-10-09 12:44:57","0","0","0","0","0","0","CG852"
"F$EHSHT7","F$EHSHQV","0","0","0","0","0","0","ARFELI01","ARFELI01","2020-10-09 14:53:12","2020-10-09 14:53:12","0","0","0","0","0","0","CG852"
"T*EHY77J",")YEHXS7X","30000000","30000000","0","30000000","0","30000000","RPTMGR01","CESSINP1","2020-10-13 16:51:26","2020-10-12 17:07:26","30000000","30000000","0","30000000","0","30000000","CG852"
"C6EHZZZO","9ZEF82FK","0","20000000","0","20000000","0","0","JANICEA1","JANICEA1","2020-10-13 16:05:44","2020-10-13 16:05:44","0","22936568.92","0","22936568.92","0","0","CG852"
"+OEH9ZD0","+OEH9ZC4","100000000","100000000","0","100000000","0","100000000","JANICEA2","JAQUITAN","2020-09-29 14:39:20","2020-09-29 14:22:50","100000000","100000000","0","100000000","0","100000000","CG852"
")UEIAL9L","!OEI5XYB","0","0","0","0","0","0","INPDEL01","INPDEL01","2020-10-19 08:29:56","2020-10-19 08:29:56","0","0","0","0","0","0","CG852"
")UEIALCP",")UEIAL9R","0","0","0","0","0","0","INPDEL01","INPDEL01","2020-10-19 08:48:56","2020-10-19 08:48:56","0","0","0","0","0","0","CG852"
")JEIAQGM",")9EIAMDP","0","0","0","0","0","0","DELINP01","DELINP01","2020-10-19 10:10:22","2020-10-19 10:10:22","0","0","0","0","0","0","CG852"
")=EIAU1O",")=EIATZI","100000","100000","0","100000","0","100000","ARFELM01","ARFELI01","2020-10-19 12:55:16","2020-10-19 12:31:42","100000","100000","0","100000","0","100000","CG852"
":+EJEFUX",":+EJEFS6","0","0","0","0","0","0","CESSINP1","CESSINP1","2020-11-09 21:28:22","2020-11-09 21:06:05","0","0","0","0","0","0","CG852"
"Q.EJEGOA","Q.EJEGLJ","90000000","90000000","0","90000000","0","90000000","CESSMNG1","CESSINP1","2020-11-10 00:25:49","2020-11-09 21:58:05","90000000","90000000","0","90000000","0","90000000","CG852"
"5LEJELY3","Q.EJEGLJ","0","15000000","0","15000000","0","0","CESSMNG1","CESSMNG1","2020-11-10 00:25:49","2020-11-10 00:25:49","0","15000000","0","15000000","0","0","CG852"
"5JEJEJQZ","Q.EJEGLJ","0","0","0","0","0","0","CESSMNG1","CESSMNG1","2020-11-10 00:25:49","2020-11-10 00:25:49","0","0","0","0","0","0","CG852"
"5;EJEK7A","Q.EJEGLJ","0","0","0","0","0","0","CESSMNG1","CESSMNG1","2020-11-10 00:25:49","2020-11-10 00:25:49","0","0","0","0","0","0","CG852"
"ZUEJHSA1","ZUEJHS93","100000","100000","0","100000","0","100000","BRIANMOK","FOULISTR","2020-11-12 07:30:24","2020-11-11 14:13:40","100000","100000","0","100000","0","100000","CB141"
"#XEHOQ7N","#XEHOQ6X","100000000","100000000","0","100000000","70000000","100000000","LIQSVR05","LIQSVR04","2020-10-07 12:16:16","2020-10-07 11:33:07","100000000","100000000","0","100000000","70000000","100000000","CG852"
"38EHZOL4","9ZEF82FK","0","200000000","0","200000000","0","0","JANICEA1","JANICEA1","2020-10-13 16:05:44","2020-10-13 11:05:18","0","229787331.82","0","229787331.82","0","0","CG852"
"DXEI1OOP","D3EI1MRL","8000000","8000000","0","8000000","0","8000000","MANZANOS","JAQUITAN","2020-10-23 17:31:11","2020-10-14 14:11:18","8000000","8000000","0","8000000","0","8000000","CG852"
"B4EI393N","D3EI1MRL","0","0","0","0","0","0","MANZANOS","LIQAPCP3","2020-10-23 17:31:11","2020-10-15 10:54:48","0","0","0","0","0","0","CG852"
":YEI3E8R",":YEI3DWN","0","0","0","0","0","0","CESSINP1","CESSINP1","2020-10-15 12:27:48","2020-10-15 12:27:48","0","0","0","0","0","0","CG852"
":YEI3MDQ",":YEI3LNB","0","0","0","0","0","0","CESSINP1","CESSINP1","2020-10-15 15:23:34","2020-10-15 15:23:34","0","0","0","0","0","0","CG852"
"*4EI53R8","*4EI53P2","100000","0","100000","0","100000","100000","ARFELI01","ARFELI01","2020-10-16 09:43:59","2020-10-16 09:28:18","100000","0","100000","0","100000","100000","CG852"
"34EITJ7N",")XEIRVS4","100000000","100000000","0","100000000","0","100000000","TESTINP ","TESTINP ","2020-10-29 15:32:39","2020-10-29 14:24:58","100000000","100000000","0","100000000","0","100000000","CG852"
