"CRK_CDE_COUNTRY","CRK_IND_ORIGINAL","CRK_PCT_PERCENTAGE","CRK_PID_FACILITY","CRK_RID_CNTRY_RISK","CRK_TSP_REC_CREATE","CRK_TSP_REC_UPDATE","CRK_UID_REC_CREATE","CRK_UID_REC_UPDATE","CRK_CDE_BRANCH"
"AU   ","Y","1","W@EAEFMN","W@EAEFO5","2020-05-18 22:56:44","2020-05-18 22:56:44","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","W@EAEGB0","W@EAEGCF","2020-05-18 23:11:22","2020-05-18 23:11:22","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","W@EAEGB0","W@EAEGCG","2020-05-18 23:11:22","2020-05-18 23:11:22","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","W@EAEHIC","W@EAEHJS","2020-05-18 23:37:17","2020-05-18 23:37:17","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","W@EAEHIC","W@EAEHJR","2020-05-18 23:37:17","2020-05-18 23:37:17","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","W1EAFCX7","W1EAFCYM","2020-05-19 10:08:09","2020-05-19 10:08:09","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","W1EAFCX7","W1EAFCYN","2020-05-19 10:08:09","2020-05-19 10:08:09","JOBINP  ","JOBINP  ",""
"NL   ","Y","1","S#EESVR1","S#EESVRW","2020-08-12 11:44:21","2020-08-12 11:44:21","CMARTILL","CMARTILL","CG852"
"AU   ","Y","1","5XEF2ZMY","5XEF2ZOJ","2020-08-17 23:25:44","2020-08-17 23:25:44","INPCHER ","INPCHER ",""
"AU   ","Y","1","5XEF2ZMY","5XEF2ZOI","2020-08-17 23:25:44","2020-08-17 23:25:44","INPCHER ","INPCHER ",""
"NL   ","Y","1","V8EF471U","V8EF472I","2020-08-18 12:34:15","2020-08-18 12:34:15","LIQUSR05","LIQUSR05","CG852"
"AU   ","Y","1","0?EF4B06","0?EF4B1R","2020-08-18 16:22:23","2020-08-18 16:22:23","INPCHER ","INPCHER ",""
"AU   ","Y","1","0$EF4ABY","0$EF4ADI","2020-08-18 16:08:50","2020-08-18 16:08:50","INPCHER ","INPCHER ",""
"AU   ","Y","1","0$EF4ABY","0$EF4ADJ","2020-08-18 16:08:50","2020-08-18 16:08:50","INPCHER ","INPCHER ",""
"NL   ","Y","1","0REF4FMA","0REF4FWO","2020-08-18 16:15:37","2020-08-18 16:15:37","LIQUSR03","LIQUSR03","CG852"
"AU   ","Y","1","0?EF4B06","0?EF4B1Q","2020-08-18 16:22:23","2020-08-18 16:22:23","INPCHER ","INPCHER ",""
"NL   ","Y","1","9ZEF82GL","9ZEF82H4","2020-08-20 17:12:20","2020-08-20 17:12:20","JAQUITAN","JAQUITAN","CG852"
"AU   ","Y","1","1@EAPEV5","1@EAPEWP","2020-05-24 21:14:18","2020-05-24 21:14:18","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","H9EAFNL4","H9EAFNMJ","2020-05-19 14:45:41","2020-05-19 14:45:41","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","H9EAFNBL","H9EAFND3","2020-05-19 14:40:21","2020-05-19 14:40:21","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","H9EAFNBL","H9EAFND2","2020-05-19 14:40:21","2020-05-19 14:40:21","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","H9EAFNL4","H9EAFNMK","2020-05-19 14:45:41","2020-05-19 14:45:41","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","H.EAFOIH","H.EAFOJW","2020-05-19 15:02:18","2020-05-19 15:02:18","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","H.EAFOIH","H.EAFOJX","2020-05-19 15:02:18","2020-05-19 15:02:18","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","1@EAPEV5","1@EAPEWO","2020-05-24 21:14:18","2020-05-24 21:14:18","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","1REAPMID","1REAPMJT","2020-05-24 22:51:49","2020-05-24 22:51:49","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","1REAPMID","1REAPMJS","2020-05-24 22:51:49","2020-05-24 22:51:49","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","1=EAPOUS","1=EAPOW7","2020-05-25 00:28:16","2020-05-25 00:28:16","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","1=EAPOUS","1=EAPOW8","2020-05-25 00:28:16","2020-05-25 00:28:16","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","1DEAPSZ8","1DEAPT0S","2020-05-25 02:19:14","2020-05-25 02:19:14","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","1DEAPSZ8","1DEAPT0R","2020-05-25 02:19:14","2020-05-25 02:19:14","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","1SEAPUH1","1SEAPUIL","2020-05-25 02:51:27","2020-05-25 02:51:27","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","1SEAPUH1","1SEAPUIM","2020-05-25 02:51:27","2020-05-25 02:51:27","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","1NEAPW6R","1NEAPW8R","2020-05-25 03:29:05","2020-05-25 03:29:05","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","1NEAPW6R","1NEAPW8Q","2020-05-25 03:29:05","2020-05-25 03:29:05","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","1XEAQIE9","1XEAQIFW","2020-05-25 10:32:47","2020-05-25 10:32:47","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","1XEAQIE9","1XEAQIFV","2020-05-25 10:32:47","2020-05-25 10:32:47","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","12EAQJ75","12EAQJ8S","2020-05-25 10:57:41","2020-05-25 10:57:41","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","12EAQJ75","12EAQJ8R","2020-05-25 10:57:41","2020-05-25 10:57:41","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","1#EAQJZA","1#EAQK0W","2020-05-25 11:15:05","2020-05-25 11:15:05","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","1#EAQJZA","1#EAQK0X","2020-05-25 11:15:05","2020-05-25 11:15:05","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","1:EAQKT0","1:EAQKUM","2020-05-25 11:54:09","2020-05-25 11:54:09","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","1:EAQKT0","1:EAQKUN","2020-05-25 11:54:09","2020-05-25 11:54:09","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","1:EAQKWE","1:EAQKY0","2020-05-25 12:07:16","2020-05-25 12:07:16","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","1:EAQKWE","1:EAQKY1","2020-05-25 12:07:16","2020-05-25 12:07:16","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","15EAQLPO","15EAQLRA","2020-05-25 12:36:45","2020-05-25 12:36:45","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","15EAQLPO","15EAQLRB","2020-05-25 12:36:45","2020-05-25 12:36:45","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","1VEAQN5V","1VEAQN7C","2020-05-25 13:10:48","2020-05-25 13:10:48","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","1VEAQN5V","1VEAQN7B","2020-05-25 13:10:48","2020-05-25 13:10:48","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","10EAQP75","10EAQP8N","2020-05-25 13:55:16","2020-05-25 13:55:16","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","10EAQP75","10EAQP8O","2020-05-25 13:55:16","2020-05-25 13:55:16","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","1*EAQRIF","1*EAQRK4","2020-05-25 14:45:39","2020-05-25 14:45:39","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","1*EAQRIF","1*EAQRK3","2020-05-25 14:45:39","2020-05-25 14:45:39","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","=!EAQTZ7","=!EAQU0Q","2020-05-25 15:38:45","2020-05-25 15:38:45","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","=!EAQTZ7","=!EAQU0R","2020-05-25 15:38:45","2020-05-25 15:38:45","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","=4EAQWA5","=4EAQWBL","2020-05-25 16:28:02","2020-05-25 16:28:02","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","=4EAQWA5","=4EAQWBM","2020-05-25 16:28:02","2020-05-25 16:28:02","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","=UEAQY7K","=UEAQY93","2020-05-25 17:10:12","2020-05-25 17:10:12","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","=UEAQY7K","=UEAQY94","2020-05-25 17:10:12","2020-05-25 17:10:12","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","=ZEAR32O","=ZEAR343","2020-05-25 18:01:09","2020-05-25 18:01:09","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","=ZEAR32O","=ZEAR344","2020-05-25 18:01:09","2020-05-25 18:01:09","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","=)EAR3V2","=)EAR3WH","2020-05-25 18:18:00","2020-05-25 18:18:00","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","=)EAR3V2","=)EAR3WI","2020-05-25 18:18:00","2020-05-25 18:18:00","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","=.EAR4PB","=.EAR4QQ","2020-05-25 19:00:45","2020-05-25 19:00:45","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","=.EAR4PB","=.EAR4QR","2020-05-25 19:00:45","2020-05-25 19:00:45","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","=.EAR4RY","=.EAR4TE","2020-05-25 19:09:57","2020-05-25 19:09:57","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","=.EAR4RY","=.EAR4TD","2020-05-25 19:09:57","2020-05-25 19:09:57","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","=8EAR5K9","=8EAR5LO","2020-05-25 19:32:08","2020-05-25 19:32:08","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","=8EAR5K9","=8EAR5LP","2020-05-25 19:32:08","2020-05-25 19:32:08","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","=YEAR72C","=YEAR740","2020-05-25 20:21:37","2020-05-25 20:21:37","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","=YEAR72C","=YEAR73Z","2020-05-25 20:21:37","2020-05-25 20:21:37","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","=(EAR9IE","=(EAR9JW","2020-05-25 21:14:07","2020-05-25 21:14:07","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","=(EAR9IE","=(EAR9JX","2020-05-25 21:14:07","2020-05-25 21:14:07","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","=CEARC2Z","=CEARC4L","2020-05-25 22:09:31","2020-05-25 22:09:31","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","=CEARC2Z","=CEARC4M","2020-05-25 22:09:31","2020-05-25 22:09:31","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","=REASDTW","=REASDVC","2020-05-26 10:53:46","2020-05-26 10:53:46","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","=REASDTW","=REASDVB","2020-05-26 10:53:46","2020-05-26 10:53:46","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","=MEASEM5","=MEASENL","2020-05-26 11:15:57","2020-05-26 11:15:57","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","=MEASEM5","=MEASENK","2020-05-26 11:15:57","2020-05-26 11:15:57","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","=$EASIIO","=$EASIK4","2020-05-26 12:17:57","2020-05-26 12:17:57","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","=$EASIIO","=$EASIK3","2020-05-26 12:17:57","2020-05-26 12:17:57","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","=SEASSMB","=SEASSNR","2020-05-26 16:14:26","2020-05-26 16:14:26","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","=SEASSMB","=SEASSNQ","2020-05-26 16:14:26","2020-05-26 16:14:26","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","=SEASSP4","=SEASSQJ","2020-05-26 16:24:07","2020-05-26 16:24:07","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","=SEASSP4","=SEASSQK","2020-05-26 16:24:07","2020-05-26 16:24:07","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","=NEASUVR","=NEASUXI","2020-05-26 17:53:16","2020-05-26 17:53:16","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","=NEASUVR","=NEASUXH","2020-05-26 17:53:16","2020-05-26 17:53:16","JOBINP  ","JOBINP  ",""
"AU   ","Y","1","=NEASXFI","=NEASXH4","2020-05-26 18:47:55","2020-05-26 18:47:55","JOBINP  ","JOBINP  ",""
