"LCN_RID_LOCCL_NUM","LCN_IND_ACTIVE","LCN_IND_MAY_DEACT","LCN_CDE_LOCCL_NUM","LCN_DSC_LOCCL_NUM","LCN_CDE_LOCCL_TYPE","LCN_UID_REC_CREATE","LCN_UID_REC_UPDATE","LCN_TSP_REC_CREATE","LCN_TSP_REC_UPDATE"
"EIB3V7C7","Y","Y","0303        ","Skandinaviska Enskilda Banken       ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 09:51:08","2014-04-14 09:51:08"
"EIB3V7DJ","Y","Y","0326        ","Bank of China                       ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 09:51:43","2014-04-14 09:51:43"
"EIB3V7EH","Y","Y","0343        ","Banesto Banking Corp.               ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 09:52:23","2014-04-14 09:52:23"
"EIB3V7FL","Y","Y","0355        ","Banco do Brasil S.A.                ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 09:53:03","2014-04-14 09:53:03"
"EIB3V7GP","Y","Y","0378        ","Deutsche Bank AG                    ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 09:53:44","2014-04-14 09:53:44"
"EIB3V7HT","Y","Y","0407        ","Wells Fargo Bank, San Francisco     ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 09:54:30","2014-04-14 09:54:30"
"EIB3V7J4","Y","Y","0409        ","Royal Bank of Canada                ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 09:55:06","2014-04-14 09:55:06"
"EIB3V7K6","Y","Y","0422        ","Societe Generale                    ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 09:55:43","2014-04-14 09:55:43"
"EIB3V7L6","Y","Y","0430        ","Mizuho Corporate Bank Ltd., NY      ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 09:56:39","2014-04-14 09:56:39"
"EIB3V7MQ","Y","Y","0480        ","Brown Brothers Harriman & Company   ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 09:59:17","2014-04-14 09:59:17"
"EIB3V7R4","Y","Y","0487        ","State Street Bank and Trust Company ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 10:00:13","2014-04-14 10:00:13"
"EIB3V7SP","Y","Y","0509        ","Wells Fargo NY Intl. fka Wachovia   ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 10:01:21","2014-04-14 10:01:21"
"EIB3V7UL","Y","Y","0531        ","Intesa Sanpaolo S.p A.              ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 10:02:26","2014-04-14 10:02:26"
"EIB3V7WE","Y","Y","0555        ","M & T Bank                          ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 10:03:10","2014-04-14 10:03:10"
"EIB3V7XM","Y","Y","0572        ","Arab Bank Ltd                       ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 10:03:59","2014-04-14 10:03:59"
"EIB3V7Z0","Y","Y","0581        ","DBS Bank                            ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 10:04:43","2014-04-14 10:04:43"
"EIB3V805","Y","Y","0600        ","Citic Bank International Ltd        ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 10:06:04","2014-04-14 10:06:04"
"EIB3V82F","Y","Y","0736        ","Habib American Bank                 ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 10:06:57","2014-04-14 10:06:57"
"EIB3V847","Y","Y","0768        ","BNP Paribas New York                ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 10:08:11","2014-04-14 10:08:11"
"EIB3V864","Y","Y","0771        ","Banco Nacional de Mexico            ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 10:10:22","2014-04-14 10:10:22"
"EIB3V89X","Y","Y","0780        ","Habib Bank Limited                  ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 10:11:17","2014-04-14 10:11:17"
"EIB3V8B9","Y","Y","0799        ","UBS AG                              ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 10:11:59","2014-04-14 10:11:59"
"EIB3V8CE","Y","Y","0804        ","Commerzbank AG                      ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 10:12:45","2014-04-14 10:12:45"
"EIB3V8DN","Y","Y","0807        ","                                    ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 10:13:56","2014-04-14 10:13:56"
"EIB3V8FL","Y","Y","0824        ","KBC Bank N.V.                       ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 10:14:52","2014-04-14 10:14:52"
"EIB3V8HP","Y","Y","0854        ","Nations Bank                        ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 10:15:49","2014-04-14 10:15:49"
"EIB3V8IN","Y","Y","0855        ","Banco de la Nacion Argentina        ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 10:16:30","2014-04-14 10:16:30"
"EIB3V8JU","Y","Y","0862        ","                                    ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 10:17:27","2014-04-14 10:17:27"
"EIB3V8LF","Y","Y","0865        ","Credit Industriel et Commercial     ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 10:18:21","2014-04-14 10:18:21"
"EIB3V8MW","Y","Y","0869        ","Bangkok Bank Public Company Limited ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 10:19:05","2014-04-14 10:19:05"
"EIB3V8O4","Y","Y","0880        ","Bayerische Vereinsbank AG           ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 10:20:09","2014-04-14 10:20:09"
"EIB3V8PW","Y","Y","0886        ","Bank Hapoalim B.M.                  ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 10:20:50","2014-04-14 10:20:50"
"EIB3V8R0","Y","Y","0908        ","Mega Intl Commercial Bank Co.       ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 10:21:31","2014-04-14 10:21:31"
"EIB3V8S5","Y","Y","0914        ","State Bank of India                 ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 10:22:06","2014-04-14 10:22:06"
"EIB3V8T4","Y","Y","0958        ","Royal Bank of Scotland N.V.         ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 10:22:47","2014-04-14 10:22:47"
"EIB3V8U8","Y","Y","0959        ","Bank of America, N.T. & S.A.        ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 10:23:32","2014-04-14 10:23:32"
"EIB3V8VJ","Y","Y","0963        ","Bank of Tokyo-Mitsubishi UFJ, Ltd.  ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 10:24:22","2014-04-14 10:24:22"
"EIB3V8WV","Y","Y","0967        ","Sumitomo Mitsui Banking Corporation ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 10:25:05","2014-04-14 10:25:05"
"EIB3V8Y4","Y","Y","0969        ","Sakura Bank Ltd                     ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 10:25:43","2014-04-14 10:25:43"
"EIB3V8Z4","Y","Y","0970        ","The Fuji Bank, Ltd                  ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 10:26:19","2014-04-14 10:26:19"
"EIB3V905","Y","Y","0976        ","Israel Discount Bank of New York    ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 10:27:03","2014-04-14 10:27:03"
"EIB3V91D","Y","Y","0991        ","                                    ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 10:27:56","2014-04-14 10:27:56"
"EIB3V92V","Y","Y","0992        ","Banque Francaise Du Commerce Ext.   ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 10:28:47","2014-04-14 10:28:47"
"EIB3V949","Y","Y","1209        ","Industrial Bank of Korea, NY Branch ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 10:30:48","2014-04-14 10:30:48"
"EIB3V97M","Y","Y","1262        ","Bank of Communications              ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 10:31:43","2014-04-14 10:31:43"
"EIB3V997","Y","Y","1345        ","Landesbank Baden-Wuerttemberg       ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 10:32:51","2014-04-14 10:32:51"
"EIB3V9B3","Y","Y","1455        ","China Merchants Bank                ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 10:33:35","2014-04-14 10:33:35"
"EIB3V9C9","Y","Y","1459        ","                                    ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 10:34:37","2014-04-14 10:34:37"
"EIB3V9DZ","Y","Y","1468        ","China Construction Bank Corporation ","CHIPS","LOANIQ01","LOANIQ01","2014-04-14 10:35:35","2014-04-14 10:35:35"
