"DFR_RID_FNCL_RATIO","DFR_PID_DEAL","DFR_CDE_FNCL_RATIO","DFR_RTO_VALUE","DFR_DTE_EFFECTIVE","DFR_TSP_REC_CREATE","DFR_TSP_REC_UPDATE","DFR_UID_REC_CREATE","DFR_UID_REC_UPDATE","DFR_TXT_RATIO","DFR_CDE_BRANCH"
":YEI3DVK",":YEI3DT4","DSCR ","1","2021-03-08 00:00:00","2020-10-15 11:47:05","2020-10-15 11:47:05","CESSINP1","CESSINP1","","CG852"
":YEI3DVP",":YEI3DT4","LVR  ","1","2021-03-08 00:00:00","2020-10-15 11:47:44","2020-10-15 11:47:44","CESSINP1","CESSINP1","","CG852"
":YEI3E54",":YEI3DWN","DSCR ","1","2021-03-08 00:00:00","2020-10-15 12:25:36","2020-10-15 12:25:36","CESSINP1","CESSINP1","","CG852"
":YEI3E5Z",":YEI3DWN","LVR  ","1","2021-03-08 00:00:00","2020-10-15 12:26:07","2020-10-15 12:26:07","CESSINP1","CESSINP1","","CG852"
":YEI3FPA",":YEI3F1E","LVR  ","1","2021-03-08 00:00:00","2020-10-15 12:59:19","2020-10-15 12:59:19","CESSINP1","CESSINP1","","CG852"
":YEI3FOF",":YEI3F1E","DSCR ","1","2021-03-08 00:00:00","2020-10-15 12:58:47","2020-10-15 12:58:47","CESSINP1","CESSINP1","","CG852"
":YEI3GX4",":YEI3G9Q","DSCR ","1","2021-03-08 00:00:00","2020-10-15 13:25:37","2020-10-15 13:25:37","CESSINP1","CESSINP1","","CG852"
":YEI3GY0",":YEI3G9Q","LVR  ","1","2021-03-08 00:00:00","2020-10-15 13:26:09","2020-10-15 13:26:09","CESSINP1","CESSINP1","","CG852"
":YEI3JVB",":YEI3J7H","DSCR ","1","2021-03-08 00:00:00","2020-10-15 14:29:20","2020-10-15 14:29:20","CESSINP1","CESSINP1","","CG852"
":YEI3JW7",":YEI3J7H","LVR  ","1","2021-03-08 00:00:00","2020-10-15 14:29:52","2020-10-15 14:29:52","CESSINP1","CESSINP1","","CG852"
":YEI3MAE",":YEI3LNB","DSCR ","1","2021-03-08 00:00:00","2020-10-15 15:21:35","2020-10-15 15:21:35","CESSINP1","CESSINP1","","CG852"
":YEI3MB9",":YEI3LNB","LVR  ","1","2021-03-08 00:00:00","2020-10-15 15:22:06","2020-10-15 15:22:06","CESSINP1","CESSINP1","","CG852"
"AREHQR5G","AREHQR3F","DSCR ","1","2020-07-10 00:00:00","2020-10-08 15:28:19","2020-10-08 15:28:19","ARFELI01","ARFELI01","","CG852"
"AREHQR7X","AREHQR5W","DSCR ","1","2020-07-10 00:00:00","2020-10-08 16:05:45","2020-10-08 16:05:45","ARFELI01","ARFELI01","","CG852"
"F$EHSHSW","F$EHSHQV","DSCR ","1","2020-07-13 00:00:00","2020-10-09 14:50:34","2020-10-09 14:50:34","ARFELI01","ARFELI01","","CG852"
"F*EHSKCF","F*EHSKAE","DSCR ","1","2020-07-13 00:00:00","2020-10-09 15:51:32","2020-10-09 15:51:32","ARFELI01","ARFELI01","","CG852"
"FYEHSENH","FYEHSEG7","DSCR ","1","2020-07-13 00:00:00","2020-10-09 14:03:28","2020-10-09 14:03:28","ARFELI01","ARFELI01","","CG852"
"I1EI277I","I1EI2752","DSCR ","1","2021-03-05 00:00:00","2020-10-14 20:06:29","2020-10-14 20:06:29","CESSINP1","CESSINP1","","CG852"
"I1EI277N","I1EI2752","LVR  ","1","2021-03-05 00:00:00","2020-10-14 20:07:02","2020-10-14 20:07:02","CESSINP1","CESSINP1","","CG852"
"I1EI27A9","I1EI277T","DSCR ","1","2021-03-05 00:00:00","2020-10-14 20:38:10","2020-10-14 20:38:10","CESSINP1","CESSINP1","","CG852"
"I1EI28R7","I1EI277T","LVR  ","1","2021-03-05 00:00:00","2020-10-14 21:31:30","2020-10-14 21:31:30","CESSINP1","CESSINP1","","CG852"
"O#EIBDAG","O#EIBD80","DSCR ","1","2021-03-08 00:00:00","2020-10-19 18:59:02","2020-10-19 18:59:02","CESSINP1","CESSINP1","","CG852"
"O#EIBDAL","O#EIBD80","LVR  ","1","2021-03-08 00:00:00","2020-10-19 18:59:32","2020-10-19 18:59:32","CESSINP1","CESSINP1","","CG852"
"O#EIBF4M","O#EIBD80","WALE ","1","2021-03-08 00:00:00","2020-10-19 20:28:10","2020-10-19 20:28:10","CESSINP1","CESSINP1","","CG852"
"Q.EJEGNZ","Q.EJEGLJ","DSCR ","1","2021-10-15 00:00:00","2020-11-09 21:55:40","2020-11-09 21:55:40","CESSINP1","CESSINP1","","CG852"
"Q.EJEGO4","Q.EJEGLJ","LVR  ","1","2021-10-15 00:00:00","2020-11-09 21:56:15","2020-11-09 21:56:15","CESSINP1","CESSINP1","","CG852"
"0KEHQI5M","S#EESVPY","DSCR ","21","2020-07-10 00:00:00","2020-10-08 13:23:41","2020-10-08 13:23:41","RPTSUP01","RPTSUP01","","CG852"
"T@EHY479","T@EHY3MK","DSCR ","1","2020-07-13 00:00:00","2020-10-12 16:02:26","2020-10-12 16:02:26","CESSINP1","CESSINP1","","CG852"
"T@EHY486","T@EHY3MK","LVR  ","1","2020-07-13 00:00:00","2020-10-12 16:02:59","2020-10-12 16:02:59","CESSINP1","CESSINP1","","CG852"
"XGEI24E4","XGEI24BO","DSCR ","1","2021-03-05 00:00:00","2020-10-14 19:22:50","2020-10-14 19:22:50","CESSINP1","CESSINP1","","CG852"
"XGEI24E9","XGEI24BO","LVR  ","1","2021-03-05 00:00:00","2020-10-14 19:23:22","2020-10-14 19:23:22","CESSINP1","CESSINP1","","CG852"
"8PEIB7B4","TGEIB6KY","DSCR ","1","2021-04-27 00:00:00","2020-10-19 16:21:56","2020-10-19 16:21:56","SUPAMT01","SUPAMT01","",""
"TGEIB6LJ","TGEIB6KY","DSCR ","1","2021-04-27 00:00:00","2020-10-19 16:17:27","2020-10-19 16:17:27","INPAMT01","INPAMT01","",""
"TGEIB6M0","TGEIB6KY","ICR  ","2","2021-04-27 00:00:00","2020-10-19 16:18:07","2020-10-19 16:18:09","INPAMT01","INPAMT01","",""
"RMEIDP9D","RMEIDP8S","DSCR ","1","2021-04-28 00:00:00","2020-10-21 01:16:44","2020-10-21 01:16:44","MGRAMT01","MGRAMT01","",""
"RMEIDP9U","RMEIDP8S","ICR  ","2","2021-04-29 00:00:00","2020-10-21 01:17:26","2020-10-21 01:17:27","MGRAMT01","MGRAMT01","",""
"04EHQHSN","04EHQHQV","DSCR ","21","2020-07-10 00:00:00","2020-10-08 13:16:50","2020-10-08 13:16:51","CMARTILL","CMARTILL","",""
"0ZEI4FW7","0ZEI4FVM","DSCR ","1","2021-03-10 00:00:00","2020-10-16 01:33:01","2020-10-16 01:33:01","DANUSR01","DANUSR01","",""
"0ZEI4FWO","0ZEI4FVM","ICR  ","2","2021-03-24 00:00:00","2020-10-16 01:33:55","2020-10-16 01:33:56","DANUSR01","DANUSR01","",""
"0)EI4GLC","0ZEI4FVM","DSCR ","1","2021-03-10 00:00:00","2020-10-16 01:37:39","2020-10-16 01:37:39","JOBSUPER","JOBSUPER","",""
"+IE8QQME","+IE8QQLT","DSCR ","1","2020-01-27 00:00:00","2020-04-16 08:57:43","2020-04-16 08:57:43","FJUSR01 ","FJUSR01 ","",""
"Q1EHP0QJ","Q1EHP0PH","ICR  ","2","2021-01-26 00:00:00","2020-10-07 18:09:37","2020-10-07 18:09:38","INPAMT01","INPAMT01","",""
"L=EHP1GN","Q1EHP0PH","DSCR ","1","2021-01-18 00:00:00","2020-10-07 18:12:41","2020-10-07 18:12:41","SUPAMT01","SUPAMT01","",""
"Q1EHP0Q2","Q1EHP0PH","DSCR ","1","2021-01-18 00:00:00","2020-10-07 18:09:07","2020-10-07 18:09:07","INPAMT01","INPAMT01","",""
"SOEI1ZQM","SOEI1ZPV","DSCR ","1","2020-06-02 00:00:00","2020-10-14 15:25:19","2020-10-14 15:25:19","SMANZANO","SMANZANO","",""
"SOEI1ZQQ","SOEI1ZPV","LVR  ","1","2020-06-02 00:00:00","2020-10-14 15:25:19","2020-10-14 15:25:19","SMANZANO","SMANZANO","",""
"SJEI2041","SOEI1ZPV","DSCR ","1","2020-06-02 00:00:00","2020-10-14 15:27:56","2020-10-14 15:27:56","MANZANOS","MANZANOS","",""
"SJEI2045","SOEI1ZPV","LVR  ","1","2020-06-02 00:00:00","2020-10-14 15:27:56","2020-10-14 15:27:56","MANZANOS","MANZANOS","",""
"U*EHSFJY","U*EHSFJ2","ICR  ","1","2020-07-13 00:00:00","2020-10-09 13:16:34","2020-10-09 13:16:34","LIQUSR03","LIQUSR03","",""
"U*EHSFK3","U*EHSFJ2","DSCR ","1","2020-07-13 00:00:00","2020-10-09 13:19:14","2020-10-09 13:19:15","LIQUSR03","LIQUSR03","",""
"I:EJUXW7","I:EJUXVM","DSCR ","1","2021-11-03 00:00:00","2020-11-18 18:59:18","2020-11-18 18:59:18","INPAMT01","INPAMT01","",""
"I:EJUXWO","I:EJUXVM","ICR  ","2","2021-11-04 00:00:00","2020-11-18 19:00:23","2020-11-18 19:00:26","INPAMT01","INPAMT01","",""
"I5EJUYM4","I:EJUXVM","DSCR ","1","2021-11-03 00:00:00","2020-11-18 19:38:22","2020-11-18 19:38:22","SUPAMT01","SUPAMT01","",""
"@?EHZVE2","@?EHZVDH","DSCR ","1","2021-03-01 00:00:00","2020-10-13 13:25:19","2020-10-13 13:25:19","MIGGY_IN","MIGGY_IN","",""
"@XEHZW3P","@?EHZVDH","DSCR ","1","2021-03-01 00:00:00","2020-10-13 13:32:56","2020-10-13 13:32:56","MIGGY_SU","MIGGY_SU","",""
"@?EHZVEJ","@?EHZVDH","ICR  ","2","2021-03-02 00:00:00","2020-10-13 13:26:01","2020-10-13 13:26:02","MIGGY_IN","MIGGY_IN","",""
";TEHGERD",";TEHGEQS","DSCR ","1","2021-01-18 00:00:00","2020-10-03 01:01:48","2020-10-03 01:01:48","MIGGY_IN","MIGGY_IN","",""
";TEHGERU",";TEHGEQS","ICR  ","2","2021-01-19 00:00:00","2020-10-03 01:02:28","2020-10-03 01:02:29","MIGGY_IN","MIGGY_IN","",""
";OEHGFH8",";TEHGEQS","DSCR ","1","2021-01-18 00:00:00","2020-10-03 01:07:09","2020-10-03 01:07:09","MIGGY_SU","MIGGY_SU","",""
