"PHC_RID_CALENDAR","PHC_IND_BORR_INT","PHC_CDE_CALENDAR","PHC_IND_EFFEC_DATE","PHC_IND_FXRATE_STG","PHC_IND_INTRTE_STG","PHC_RID_OWNER","PHC_CDE_OWNER_TYPE","PHC_IND_PADV_DATES","PHC_IND_BILLING","PHC_TSP_REC_CREATE","PHC_TSP_REC_UPDATE","PHC_UID_REC_CREATE","PHC_UID_REC_UPDATE","PHC_CDE_BRANCH"
"$VEI1OYC","Y","NLAMS","Y","Y","Y","$VEI1OYA","DEA  ","Y","Y","2020-10-14 13:17:19","2020-10-14 13:17:19","CESSINP1","CESSINP1","CG852"
"$VEI1OZ5","Y","AUSYD","Y","Y","Y","$VEI1OYA","DEA  ","Y","Y","2020-10-14 13:24:51","2020-10-14 13:24:51","CESSINP1","CESSINP1","CG852"
"$VEI1OZ6","Y","GBLON","Y","Y","Y","$VEI1OYA","DEA  ","Y","Y","2020-10-14 13:25:16","2020-10-14 13:25:16","CESSINP1","CESSINP1","CG852"
"$VEI1OZ7","Y","NOOSL","Y","Y","Y","$VEI1OYA","DEA  ","Y","Y","2020-10-14 13:26:10","2020-10-14 13:26:10","CESSINP1","CESSINP1","CG852"
"$VEI1OZ8","Y","USNYC","Y","Y","Y","$VEI1OYA","DEA  ","Y","Y","2020-10-14 13:26:37","2020-10-14 13:26:37","CESSINP1","CESSINP1","CG852"
"(4EFFHAS","Y","NLAMS","Y","Y","Y","(4EFFHA2","OST  ","Y","Y","2020-08-24 17:34:11","2020-08-24 17:34:11","SMANZANO","SMANZANO","CG852"
"(7EFGUDP","Y","NLAMS","Y","Y","Y","(7EFGUDN","DEA  ","Y","Y","2020-08-25 10:03:23","2020-08-25 10:03:23","CMARTILL","CMARTILL","CG852"
"(7EFGVF0","Y","NLAMS","Y","Y","Y","(7EFGVEZ","OST  ","Y","Y","2020-08-25 11:24:24","2020-08-25 11:24:24","CMARTILL","CMARTILL","CG852"
"(7EFGXIC","Y","NLAMS","Y","Y","Y","(7EFGXIA","DEA  ","Y","Y","2020-08-25 12:06:57","2020-08-25 12:06:57","CMARTILL","CMARTILL","CG852"
"(7EFH0YL","Y","NLAMS","Y","Y","Y","(7EFH0YK","OST  ","Y","Y","2020-08-25 13:22:10","2020-08-25 13:22:10","CMARTILL","CMARTILL","CG852"
"(7EFHGVB","Y","NLAMS","Y","Y","Y","(7EFHGVA","OST  ","Y","Y","2020-08-25 14:06:05","2020-08-25 14:06:05","CMARTILL","CMARTILL","CG852"
"(7EFHH3N","Y","NLAMS","Y","Y","Y","(7EFHH3M","OST  ","Y","Y","2020-08-25 15:10:04","2020-08-25 15:10:04","CMARTILL","CMARTILL","CG852"
"(7EFHHE3","Y","NLAMS","Y","Y","Y","(7EFHHE2","OST  ","Y","Y","2020-08-25 16:07:21","2020-08-25 16:07:21","CMARTILL","CMARTILL","CG852"
"(7EFHXAA","Y","NLAMS","Y","Y","Y","(7EFHXA9","OST  ","Y","Y","2020-08-25 17:34:25","2020-08-25 17:34:25","CMARTILL","CMARTILL","CG852"
"(DEFGR27","Y","NLAMS","Y","Y","Y","(DEFGR26","OST  ","Y","Y","2020-08-25 09:36:48","2020-08-25 09:36:48","SMANZANO","SMANZANO","CG852"
"(REFFN9W","Y","NLAMS","Y","Y","Y","(REFFN9V","OST  ","Y","Y","2020-08-24 19:25:56","2020-08-24 19:25:56","SMANZANO","SMANZANO","CG852"
"(VEHZRVE","Y","NLAMS","Y","Y","Y","(VEHZRVD","OST  ","Y","Y","2020-10-13 13:22:59","2020-10-13 13:22:59","CMARTILL","CMARTILL","CG852"
"(VEHZXGJ","Y","NLAMS","Y","Y","Y","(VEHZXGI","OST  ","Y","Y","2020-10-13 15:35:14","2020-10-13 15:35:14","CMARTILL","CMARTILL","CG852"
")(EIAR34","Y","NLAMS","Y","Y","Y",")(EIAR32","DEA  ","Y","Y","2020-10-19 10:31:33","2020-10-19 10:31:33","DELINP01","DELINP01","CG852"
")9EIAMFJ","Y","NLAMS","Y","Y","Y",")9EIAMDP","DEA  ","Y","Y","2020-10-19 09:06:20","2020-10-19 09:06:20","DELINP01","DELINP01","CG852"
")9EIAMFK","Y","AUSYD","Y","Y","Y",")9EIAMDP","DEA  ","Y","Y","2020-10-19 09:06:37","2020-10-19 09:06:37","DELINP01","DELINP01","CG852"
")=EIAU1C","Y","NLAMS","Y","Y","Y",")=EIATZI","DEA  ","Y","Y","2020-10-19 12:26:59","2020-10-19 12:26:59","ARFELI01","ARFELI01","CG852"
")JEIAQH4","Y","NLAMS","Y","Y","Y",")JEIAQH2","DEA  ","Y","Y","2020-10-19 10:19:04","2020-10-19 10:19:04","DELINP01","DELINP01","CG852"
")JEIRPGY","Y","NLAMS","Y","Y","Y",")JEIRPGX","OST  ","Y","Y","2020-10-28 14:58:12","2020-10-28 14:58:12","SMANZANO","SMANZANO","CG852"
")PEF84DS","Y","NLAMS","Y","Y","Y",")PEF84DR","OST  ","Y","Y","2020-08-20 17:53:05","2020-08-20 17:53:05","JAQUITAN","JAQUITAN","CG852"
")UEIALBM","Y","NLAMS","Y","Y","Y",")UEIAL9R","DEA  ","Y","Y","2020-10-19 08:45:10","2020-10-19 08:45:10","INPDEL01","INPDEL01","CG852"
")UEIALBN","Y","AUSYD","Y","Y","Y",")UEIAL9R","DEA  ","Y","Y","2020-10-19 08:45:25","2020-10-19 08:45:25","INPDEL01","INPDEL01","CG852"
")XEIRVR7","Y","NLAMS","Y","Y","Y",")XEIRVR5","DEA  ","Y","Y","2020-10-28 16:37:12","2020-10-28 16:37:12","TESTINP ","TESTINP ","CG852"
")XEIRVS2","Y","AUSYD","Y","Y","Y",")XEIRVR5","DEA  ","Y","Y","2020-10-28 16:45:38","2020-10-28 16:45:38","TESTINP ","TESTINP ","CG852"
")XEIRVS6","Y","NLAMS","Y","Y","Y",")XEIRVS4","DEA  ","Y","Y","2020-10-28 16:49:28","2020-10-28 16:49:28","TESTINP ","TESTINP ","CG852"
")XEIRVT0","Y","AUSYD","Y","Y","Y",")XEIRVS4","DEA  ","Y","Y","2020-10-28 16:54:52","2020-10-28 16:54:52","TESTINP ","TESTINP ","CG852"
")YEHXS7Z","Y","NLAMS","Y","Y","Y",")YEHXS7X","DEA  ","Y","Y","2020-10-12 11:04:56","2020-10-12 11:04:56","CESSINP1","CESSINP1","CG852"
"*4EI53QW","Y","NLAMS","Y","Y","Y","*4EI53P2","DEA  ","Y","Y","2020-10-16 09:23:48","2020-10-16 09:23:48","ARFELI01","ARFELI01","CG852"
"+.EHA56S","Y","NLAMS","Y","Y","Y","+.EHA56R","OST  ","Y","Y","2020-09-29 15:18:12","2020-09-29 15:18:12","LIQUSR05","LIQUSR05","CG852"
"+.EHA6G2","Y","NLAMS","Y","Y","Y","+.EHA6G1","OST  ","Y","Y","2020-09-29 15:48:49","2020-09-29 15:48:49","LIQUSR05","LIQUSR05","CG852"
"+.EHBIRG","Y","NLAMS","Y","Y","Y","+.EHBIRF","OST  ","Y","Y","2020-09-30 09:13:23","2020-09-30 09:13:23","LIQUSR05","LIQUSR05","CG852"
"+.EHBJV6","Y","NLAMS","Y","Y","Y","+.EHBJV5","LRP  ","Y","Y","2020-09-30 09:35:37","2020-09-30 09:35:37","LIQUSR05","LIQUSR05",""
"+.EHBKXP","Y","NLAMS","Y","Y","Y","+.EHBKXO","LRP  ","Y","Y","2020-09-30 09:58:57","2020-09-30 09:58:57","LIQUSR05","LIQUSR05","CG852"
"+.EHBL12","Y","NLAMS","Y","Y","Y","+.EHBL11","OST  ","Y","Y","2020-09-30 10:00:38","2020-09-30 10:00:38","LIQUSR05","LIQUSR05","CG852"
"+.EHBLEV","Y","NLAMS","Y","Y","Y","+.EHBLEU","OST  ","Y","Y","2020-09-30 10:09:59","2020-09-30 10:09:59","LIQUSR05","LIQUSR05","CG852"
"+.EHBLOB","Y","NLAMS","Y","Y","Y","+.EHBLOA","OST  ","Y","Y","2020-09-30 10:15:50","2020-09-30 10:15:50","LIQUSR05","LIQUSR05","CG852"
"+.EHBPCI","Y","NLAMS","Y","Y","Y","+.EHBPCH","OST  ","Y","Y","2020-09-30 11:34:45","2020-09-30 11:34:45","LIQUSR05","LIQUSR05","CG852"
"+:EGNVFD","Y","NLAMS","Y","Y","Y","+:EGNVFC","LRP  ","Y","Y","2020-09-17 16:41:29","2020-09-17 16:41:29","SMANZANO","SMANZANO","CG852"
"+:EGNVMA","Y","NLAMS","Y","Y","Y","+:EGNVM9","LRP  ","Y","Y","2020-09-17 16:42:49","2020-09-17 16:42:49","SMANZANO","SMANZANO",""
"+OEH9ZC6","Y","NLAMS","Y","Y","Y","+OEH9ZC4","DEA  ","Y","Y","2020-09-29 14:20:02","2020-09-29 14:20:02","JAQUITAN","JAQUITAN","CG852"
"+REHA1EH","Y","NLAMS","Y","Y","Y","+REHA1EG","OST  ","Y","Y","2020-09-29 16:04:32","2020-09-29 16:04:32","CMARTILL","CMARTILL","CG852"
"+REHQED6","Y","NLAMS","Y","Y","Y","+REHQED4","OST  ","Y","Y","2020-10-08 14:34:53","2020-10-08 14:34:53","B116594 ","B116594 ","CG852"
"+TEHQI57","Y","NLAMS","Y","Y","Y","+TEHQI55","DEA  ","Y","Y","2020-10-08 12:14:01","2020-10-08 12:14:01","ARFELI01","ARFELI01","CG852"
"+TEHQI5M","Y","NLAMS","Y","Y","Y","+TEHQI5K","DEA  ","Y","Y","2020-10-08 12:27:02","2020-10-08 12:27:02","ARFELI01","ARFELI01","CG852"
"+TEHQI60","Y","NLAMS","Y","Y","Y","+TEHQI5Y","DEA  ","Y","Y","2020-10-08 12:33:20","2020-10-08 12:33:20","ARFELI01","ARFELI01","CG852"
"+TEHQI6H","Y","NLAMS","Y","Y","Y","+TEHQI6F","DEA  ","Y","Y","2020-10-08 12:39:33","2020-10-08 12:39:33","ARFELI01","ARFELI01","CG852"
"+TEHQI6Y","Y","NLAMS","Y","Y","Y","+TEHQI6W","DEA  ","Y","Y","2020-10-08 12:48:13","2020-10-08 12:48:13","ARFELI01","ARFELI01","CG852"
"+TEHQI7P","Y","NLAMS","Y","Y","Y","+TEHQI7N","DEA  ","Y","Y","2020-10-08 13:03:35","2020-10-08 13:03:35","ARFELI01","ARFELI01","CG852"
"+TEHQIBO","Y","NLAMS","Y","Y","Y","+TEHQI9O","DEA  ","Y","Y","2020-10-08 13:18:40","2020-10-08 13:18:40","ARFELI01","ARFELI01","CG852"
"+TEHQIOF","Y","NLAMS","Y","Y","Y","+TEHQIIH","DEA  ","Y","Y","2020-10-08 13:35:02","2020-10-08 13:35:02","ARFELI01","ARFELI01","CG852"
"-5EGLS7L","Y","AUSYD","Y","Y","Y","-5EGLS7K","OST  ","Y","Y","2020-09-16 13:13:40","2020-09-16 13:13:40","KDUENAPP","KDUENAPP","CG852"
"-9EEVBK2","Y","AUSYD","Y","Y","Y","-9EEVBK1","LRP  ","Y","Y","2020-08-13 19:13:26","2020-08-13 19:13:26","INPCHER ","INPCHER ",""
"-9EEVBPF","Y","AUSYD","Y","Y","Y","-9EEVBPE","LRP  ","Y","Y","2020-08-13 19:56:16","2020-08-13 19:56:16","INPCHER ","INPCHER ",""
"-9EEVC8P","Y","AUSYD","Y","Y","Y","-9EEVC8O","LRP  ","Y","Y","2020-08-13 20:16:34","2020-08-13 20:16:34","INPCHER ","INPCHER ",""
"-9EEVD74","Y","AUSYD","Y","Y","Y","-9EEVD73","LRP  ","Y","Y","2020-08-13 20:37:13","2020-08-13 20:37:13","INPCHER ","INPCHER ",""
"-9EEVDD1","Y","AUSYD","Y","Y","Y","-9EEVDD0","LRP  ","Y","Y","2020-08-13 20:40:46","2020-08-13 20:40:46","INPCHER ","INPCHER ",""
"-9EEVE14","Y","AUSYD","Y","Y","Y","-9EEVE13","LRP  ","Y","Y","2020-08-13 20:55:13","2020-08-13 20:55:13","INPCHER ","INPCHER ",""
"-9EEVE9R","Y","AUSYD","Y","Y","Y","-9EEVE9Q","LRP  ","Y","Y","2020-08-13 21:00:24","2020-08-13 21:00:24","INPCHER ","INPCHER ",""
"-9EEVEDZ","Y","AUSYD","Y","Y","Y","-9EEVEDY","LRP  ","Y","Y","2020-08-13 21:02:56","2020-08-13 21:02:56","INPCHER ","INPCHER ",""
"-9EEVEOQ","Y","AUSYD","Y","Y","Y","-9EEVEOP","LRP  ","Y","Y","2020-08-13 21:09:23","2020-08-13 21:09:23","INPCHER ","INPCHER ",""
"-9EEVEXA","Y","AUSYD","Y","Y","Y","-9EEVEX9","LRP  ","Y","Y","2020-08-13 21:14:31","2020-08-13 21:14:31","INPCHER ","INPCHER ",""
"-:EGLOFO","Y","NLAMS","Y","Y","Y","-:EGLOFN","OST  ","Y","Y","2020-09-16 12:08:53","2020-09-16 12:08:53","SMANZANO","SMANZANO","CG852"
"-=EH2TME","Y","AUMEL","Y","Y","Y","-=EH2TMD","LRP  ","Y","Y","2020-09-25 18:27:26","2020-09-25 18:27:26","JCUSR01 ","JCUSR01 ",""
"-=EH2TMF","Y","AUSYD","Y","Y","Y","-=EH2TMD","LRP  ","Y","Y","2020-09-25 18:27:26","2020-09-25 18:27:26","JCUSR01 ","JCUSR01 ",""
"-=EH2W87","Y","AUMEL","Y","Y","Y","-=EH2W86","LRP  ","Y","Y","2020-09-25 19:23:44","2020-09-25 19:23:44","JCUSR01 ","JCUSR01 ",""
"-=EH2W88","Y","AUSYD","Y","Y","Y","-=EH2W86","LRP  ","Y","Y","2020-09-25 19:23:44","2020-09-25 19:23:44","JCUSR01 ","JCUSR01 ",""
"-=EH2WUX","Y","AUMEL","Y","Y","Y","-=EH2WUW","LRP  ","Y","Y","2020-09-25 19:37:21","2020-09-25 19:37:21","JCUSR01 ","JCUSR01 ",""
"-=EH2WUY","Y","AUSYD","Y","Y","Y","-=EH2WUW","LRP  ","Y","Y","2020-09-25 19:37:21","2020-09-25 19:37:21","JCUSR01 ","JCUSR01 ",""
"-AEFMZGY","Y","NLAMS","Y","Y","Y","-AEFMZGX","OST  ","Y","Y","2020-08-28 17:31:45","2020-08-28 17:31:45","SMANZANO","SMANZANO","CG852"
"-LEFSBOM","Y","NLAMS","Y","Y","Y","-LEFSBOL","OST  ","Y","Y","2020-08-31 15:51:31","2020-08-31 15:51:31","CMARTILL","CMARTILL","CG852"
"-LEFSEVQ","Y","NLAMS","Y","Y","Y","-LEFSEVP","OST  ","Y","Y","2020-08-31 17:00:15","2020-08-31 17:00:15","CMARTILL","CMARTILL","CG852"
"-QEFRZJS","Y","NLAMS","Y","Y","Y","-QEFRZJR","LRP  ","Y","Y","2020-08-31 08:23:00","2020-08-31 08:23:00","LIQUSR05","LIQUSR05","CG852"
"-QEFRZM6","Y","NLAMS","Y","Y","Y","-QEFRZM5","OST  ","Y","Y","2020-08-31 08:42:38","2020-08-31 08:42:38","LIQUSR05","LIQUSR05","CG852"
"-QEFS3Q0","Y","NLAMS","Y","Y","Y","-QEFS3PZ","LRP  ","Y","Y","2020-08-31 10:57:25","2020-08-31 10:57:25","LIQUSR05","LIQUSR05","CG852"
"-QEFS3Z4","Y","NLAMS","Y","Y","Y","-QEFS3Z2","OST  ","Y","Y","2020-08-31 11:02:37","2020-08-31 11:02:37","LIQUSR05","LIQUSR05","CG852"
"-QEFS7CI","Y","NLAMS","Y","Y","Y","-QEFS7CH","LRP  ","Y","Y","2020-08-31 12:14:06","2020-08-31 12:14:06","LIQUSR05","LIQUSR05","CG852"
"-QEFS7W6","Y","NLAMS","Y","Y","Y","-QEFS7W4","OST  ","Y","Y","2020-08-31 13:09:07","2020-08-31 13:09:07","LIQUSR05","LIQUSR05","CG852"
"-VEGLP8T","Y","NLAMS","Y","Y","Y","-VEGLP8S","OST  ","Y","Y","2020-09-16 12:15:47","2020-09-16 12:15:47","SMANZANO","SMANZANO","CG852"
"-ZEH2R9G","Y","NLAMS","Y","Y","Y","-ZEH2R9F","OST  ","Y","Y","2020-09-25 16:53:01","2020-09-25 16:53:01","SMANZANO","SMANZANO","CG852"
"..EHDTBM","Y","NLAMS","Y","Y","Y","..EHDTBL","OST  ","Y","Y","2020-10-01 16:43:11","2020-10-01 16:43:11","LIQUSR03","LIQUSR03","CG852"
".4EF9MD1","Y","AUMEL","Y","Y","Y",".4EF9MD0","LRP  ","Y","Y","2020-08-21 13:19:04","2020-08-21 13:19:04","JCUSR01 ","JCUSR01 ",""
".4EF9MD2","Y","AUSYD","Y","Y","Y",".4EF9MD0","LRP  ","Y","Y","2020-08-21 13:19:04","2020-08-21 13:19:04","JCUSR01 ","JCUSR01 ",""
".FEF9QSS","Y","NLAMS","Y","Y","Y",".FEF9QSQ","DEA  ","Y","Y","2020-08-21 14:35:26","2020-08-21 14:35:26","LIQUSR03","LIQUSR03","CG852"
".FEF9T9A","Y","NLAMS","Y","Y","Y",".FEF9T99","OST  ","Y","Y","2020-08-21 15:51:59","2020-08-21 15:51:59","LIQUSR03","LIQUSR03","CG852"
".KEHY3KD","Y","NLAMS","Y","Y","Y",".KEHY3KB","DEA  ","Y","Y","2020-10-12 15:17:30","2020-10-12 15:17:30","DELINP01","DELINP01","CG852"
".UEF9MZ5","Y","AUMEL","Y","Y","Y",".UEF9MZ4","LRP  ","Y","Y","2020-08-21 13:34:32","2020-08-21 13:34:32","JCUSR01 ","JCUSR01 ",""
".UEF9MZ6","Y","AUSYD","Y","Y","Y",".UEF9MZ4","LRP  ","Y","Y","2020-08-21 13:34:32","2020-08-21 13:34:32","JCUSR01 ","JCUSR01 ",""
".UEF9QJA","Y","AUMEL","Y","Y","Y",".UEF9QJ9","LRP  ","Y","Y","2020-08-21 14:52:55","2020-08-21 14:52:55","JCUSR01 ","JCUSR01 ",""
".UEF9QJB","Y","AUSYD","Y","Y","Y",".UEF9QJ9","LRP  ","Y","Y","2020-08-21 14:52:55","2020-08-21 14:52:55","JCUSR01 ","JCUSR01 ",""
".XEHY4LE","Y","NLAMS","Y","Y","Y",".XEHY4LC","DEA  ","Y","Y","2020-10-12 15:24:50","2020-10-12 15:24:50","LIQUSR03","LIQUSR03","CG852"
"0-EFZSFW","Y","AUSYD","Y","Y","Y","0-EFZSFV","OST  ","Y","Y","2020-09-04 16:34:43","2020-09-04 16:34:43","CMARTILL","CMARTILL","CG852"
"04EFZDZG","Y","AUSYD","Y","Y","Y","04EFZDZF","OST  ","Y","Y","2020-09-04 10:14:29","2020-09-04 10:14:29","CMARTILL","CMARTILL","CG852"
"04EFZE6H","Y","AUSYD","Y","Y","Y","04EFZE6G","OST  ","Y","Y","2020-09-04 10:55:38","2020-09-04 10:55:38","CMARTILL","CMARTILL","CG852"
"04EHQOCU","Y","NLAMS","Y","Y","Y","04EHQOCT","LRP  ","Y","Y","2020-10-08 15:37:45","2020-10-08 15:37:45","CMARTILL","CMARTILL","CG852"
"04EHQOFA","Y","NLAMS","Y","Y","Y","04EHQOF9","OST  ","Y","Y","2020-10-08 15:41:57","2020-10-08 15:41:57","CMARTILL","CMARTILL","CG852"
"04EHQPAN","Y","NLAMS","Y","Y","Y","04EHQPAM","OST  ","Y","Y","2020-10-08 16:02:46","2020-10-08 16:02:46","CMARTILL","CMARTILL","CG852"
"04EHQPGC","Y","NLAMS","Y","Y","Y","04EHQPGB","LRP  ","Y","Y","2020-10-08 16:01:24","2020-10-08 16:01:24","CMARTILL","CMARTILL","CG852"
"04EHQPJF","Y","NLAMS","Y","Y","Y","04EHQPJE","OST  ","Y","Y","2020-10-08 16:04:14","2020-10-08 16:04:14","CMARTILL","CMARTILL","CG852"
"0AEGNRGQ","Y","NLAMS","Y","Y","Y","0AEGNRGP","OST  ","Y","Y","2020-09-17 13:17:19","2020-09-17 13:17:19","LIQUSR05","LIQUSR05","CG852"
"0HEGNTQ9","Y","NLAMS","Y","Y","Y","0HEGNTQ8","OST  ","Y","Y","2020-09-17 13:28:14","2020-09-17 13:28:14","LIQUSR05","LIQUSR05","CG852"
"0JEGNOVH","Y","NLAMS","Y","Y","Y","0JEGNOVG","OST  ","Y","Y","2020-09-17 13:01:05","2020-09-17 13:01:05","SMANZANO","SMANZANO","CG852"
"0JEGNP11","Y","NLAMS","Y","Y","Y","0JEGNP10","OST  ","Y","Y","2020-09-17 13:02:11","2020-09-17 13:02:11","SMANZANO","SMANZANO","CG852"
