"SCI_RID_ITEM","SCI_AMT_ITEM","SCI_DTE_EFFECTIVE","SCI_RID_SCHEDULE","SCI_IND_UNSCHEDULE","SCI_TSP_REC_CREATE","SCI_TSP_REC_UPDATE","SCI_UID_REC_CREATE","SCI_UID_REC_UPDATE","SCI_PCT_ORIG_BAL","SCI_DTE_TARGET","SCI_AMT_INTEREST","SCI_AMT_INT_PAID","SCI_AMT_PRIN_PAID","SCI_DTE_ACCR_EFFEC","SCI_AMT_BILL_FACE","SCI_AMT_DISCOUNT","SCI_AMT_NETYLD_INT","SCI_AMT_PROCEEDS","SCI_AMT_SVFEE","SCI_CDE_CON_BIL_OP","SCI_CDE_F_BAL_TYPE","SCI_DTE_ACT_DUE","SCI_DTE_LNK_ASSET","SCI_DTE_LNK_DONE","SCI_IND_DEFICIENT","SCI_IND_LAST_DAY","SCI_NUM_GRACE_DAYS","SCI_NUM_INTR_DAYS","SCI_PCT_FAC_SC_ITM","SCI_RID_CTR_ITEM","SCI_CDE_OBJ_DB_ST","SCI_TSP_PRN_UPDATE","SCI_CDE_BRANCH"
"34EITJEP","-8333333.33","2021-09-12 00:00:00","34EITJ7P","N","2020-10-29 14:52:30","2020-10-29 14:52:30","TESTINP ","TESTINP ","0","2021-09-08 00:00:00","","0","0","","","","","","","","","","","","","","","","0.0833333333","","PEND ","","CG852"
"34EITJEQ","-8333333.33","2021-10-12 00:00:00","34EITJ7P","N","2020-10-29 14:52:30","2020-10-29 14:52:30","TESTINP ","TESTINP ","0","2021-10-07 00:00:00","","0","0","","","","","","","","","","","","","","","","0.0833333333","","PEND ","","CG852"
"34EITJER","-8333333.33","2021-11-12 00:00:00","34EITJ7P","N","2020-10-29 14:52:30","2020-10-29 14:52:30","TESTINP ","TESTINP ","0","2021-11-09 00:00:00","","0","0","","","","","","","","","","","","","","","","0.0833333333","","PEND ","","CG852"
"34EITJES","-8333333.33","2021-12-12 00:00:00","34EITJ7P","N","2020-10-29 14:52:30","2020-10-29 14:52:30","TESTINP ","TESTINP ","0","2021-12-08 00:00:00","","0","0","","","","","","","","","","","","","","","","0.0833333333","","PEND ","","CG852"
"34EITJET","-8333333.33","2022-01-12 00:00:00","34EITJ7P","N","2020-10-29 14:52:30","2020-10-29 14:52:30","TESTINP ","TESTINP ","0","2022-01-07 00:00:00","","0","0","","","","","","","","","","","","","","","","0.0833333333","","PEND ","","CG852"
"34EITJEU","-8333333.33","2022-02-12 00:00:00","34EITJ7P","N","2020-10-29 14:52:30","2020-10-29 14:52:30","TESTINP ","TESTINP ","0","2022-02-09 00:00:00","","0","0","","","","","","","","","","","","","","","","0.0833333333","","PEND ","","CG852"
"34EITJEV","-8333333.33","2022-03-12 00:00:00","34EITJ7P","N","2020-10-29 14:52:30","2020-10-29 14:52:30","TESTINP ","TESTINP ","0","2022-03-09 00:00:00","","0","0","","","","","","","","","","","","","","","","0.0833333333","","PEND ","","CG852"
"34EITJEW","-8333333.33","2022-04-12 00:00:00","34EITJ7P","N","2020-10-29 14:52:30","2020-10-29 14:52:30","TESTINP ","TESTINP ","0","2022-04-07 00:00:00","","0","0","","","","","","","","","","","","","","","","0.0833333333","","PEND ","","CG852"
"34EITJEX","-8333333.33","2022-05-12 00:00:00","34EITJ7P","N","2020-10-29 14:52:30","2020-10-29 14:52:30","TESTINP ","TESTINP ","0","2022-05-09 00:00:00","","0","0","","","","","","","","","","","","","","","","0.0833333333","","PEND ","","CG852"
"34EITJEY","-8333333.33","2022-06-12 00:00:00","34EITJ7P","N","2020-10-29 14:52:30","2020-10-29 14:52:30","TESTINP ","TESTINP ","0","2022-06-08 00:00:00","","0","0","","","","","","","","","","","","","","","","0.0833333333","","PEND ","","CG852"
"34EITJEZ","-8333333.37","2022-07-12 00:00:00","34EITJ7P","N","2020-10-29 14:52:30","2020-10-29 14:52:30","TESTINP ","TESTINP ","0","2022-07-07 00:00:00","","0","0","","","","","","","","","","","","","","","","0.0833333337","","PEND ","","CG852"
"34EITJFC","1000000","2021-08-15 00:00:00","34EITJ7P","N","2020-10-29 14:52:30","2020-10-29 14:52:30","TESTINP ","TESTINP ","0","2021-08-12 00:00:00","","0","0","","","","","","","","","","","","","","","","0.01","","PEND ","","CG852"
"34EITJFJ","-500000","2021-08-16 00:00:00","34EITJ7P","N","2020-10-29 14:52:30","2020-10-29 14:52:30","TESTINP ","TESTINP ","0","2021-08-12 00:00:00","","0","0","","","","","","","","","","","","","","","","0.005","","PEND ","","CG852"
"38EHZOO0","-200000000","2021-03-01 00:00:00","38EHZONG","N","2020-10-13 10:58:47","2020-10-13 10:58:47","JAQUITAN","JAQUITAN","0","2021-03-01 00:00:00","","0","0","","","","","","","","","","","","","","","","0","","PEND ","","CG852"
"3?EHZQ31","-200000000","2021-03-01 00:00:00","3=EHZP7R","N","2020-10-13 11:10:55","2020-10-13 12:36:22","JAQUITAN","JANICEA1","1","2021-03-01 00:00:00","","0","0","2021-03-01 00:00:00","","","0","","0","NONE ","","2021-03-01 00:00:00","","","N","N","","","","","PEND ","","CG852"
"3GEICZBZ","-1000000","2025-03-08 00:00:00","3GEICZBY","N","2020-10-20 16:22:14","2020-10-20 16:22:14","SMANZANO","SMANZANO","0","2025-03-05 00:00:00","","0","0","","","","","","","","","","","","","","","","1","","PEND ","",""
"3GEID093","-10000000","2021-03-05 00:00:00","3GEID092","N","2020-10-20 16:51:16","2020-10-20 16:51:16","SMANZANO","SMANZANO","0","2021-03-05 00:00:00","","0","0","","","","","","","","","","","","","","","","1","","PEND ","",""
"3GEID096","-10000000","2021-03-05 00:00:00","3GEID095","N","2020-10-20 16:51:16","2020-10-20 16:51:16","SMANZANO","SMANZANO","0","2021-03-05 00:00:00","","0","0","","","","","","","","","","","","","","","","1","","PEND ","","CG852"
"3GEID0FA","-1000000","2025-03-08 00:00:00","3GEID0F9","N","2020-10-20 16:54:54","2020-10-20 16:54:54","SMANZANO","SMANZANO","0","2025-03-05 00:00:00","","0","0","","","","","","","","","","","","","","","","1","","PEND ","",""
"3GEID0FD","-1000000","2025-03-08 00:00:00","3GEID0FC","N","2020-10-20 16:54:54","2020-10-20 16:54:54","SMANZANO","SMANZANO","0","2025-03-05 00:00:00","","0","0","","","","","","","","","","","","","","","","1","","PEND ","","CG852"
"3SEICY6J","-10000","2021-03-05 00:00:00","3SEICY6I","N","2020-10-20 16:06:30","2020-10-20 16:06:30","SMANZANO","SMANZANO","0","2021-03-05 00:00:00","","0","0","","","","","","","","","","","","","","","","1","","PEND ","",""
"3SEICY6M","-10000","2021-03-05 00:00:00","3SEICY6L","N","2020-10-20 16:06:30","2020-10-20 16:06:30","SMANZANO","SMANZANO","0","2021-03-05 00:00:00","","0","0","","","","","","","","","","","","","","","","1","","PEND ","","CG852"
"3SEICYEO","-10000","2021-03-05 00:00:00","3SEICYEN","N","2020-10-20 16:11:22","2020-10-20 16:11:22","SMANZANO","SMANZANO","0","2021-03-05 00:00:00","","0","0","","","","","","","","","","","","","","","","1","","PEND ","",""
"4.EHBR4A","-8600","2020-10-09 00:00:00","4.EHBR2Y","N","2020-09-30 14:11:15","2020-09-30 14:35:19","CMARTILL","RPTSUP01","0.1","2020-10-06 00:00:00","","0","0","2020-10-09 00:00:00","","","0","","0","NONE ","","2020-10-09 00:00:00","","","N","N","","","","","PEND ","","CG852"
"4.EHBR5I","-8600","2021-01-11 00:00:00","4.EHBR2Y","N","2020-09-30 14:11:15","2020-09-30 14:35:19","CMARTILL","RPTSUP01","0.1","2021-01-06 00:00:00","","0","0","2021-01-11 00:00:00","","","0","","0","NONE ","","2021-01-09 00:00:00","","","N","N","","","","","PEND ","","CG852"
