"FEG_PID_FACILITY","FEG_CDE_EVERGREEN","FEG_DTE_EXT_CAP","FEG_CDE_EXT_FRQ","FEG_DTE_MAT_EXT","FEG_NUM_MAT_EXT","FEG_DTE_EXT_NOT","FEG_NUM_EXT_NOT","FEG_TSP_REC_CREATE","FEG_TSP_REC_UPDATE","FEG_UID_REC_CREATE","FEG_UID_REC_UPDATE","FEG_CDE_BRANCH"
"4GEHSB3H","","","","","0","","0","2020-10-09 12:01:32","2020-10-09 12:01:32","ARFELI01","ARFELI01","CG852"
"4GEHSB8F","","","","","0","","0","2020-10-09 12:44:57","2020-10-09 12:44:57","ARFELI01","ARFELI01","CG852"
"F$EHSHT7","","","","","0","","0","2020-10-09 14:53:12","2020-10-09 14:53:12","ARFELI01","ARFELI01","CG852"
"T*EHY77J","","","","","0","","0","2020-10-12 17:07:26","2020-10-12 17:07:26","CESSINP1","CESSINP1","CG852"
"CNEHZZU5","","","","","0","","0","2020-10-13 16:21:24","2020-10-13 16:21:24","RPTINP01","RPTINP01","CG852"
")UEIAL9L","","","","","0","","0","2020-10-19 08:29:56","2020-10-19 08:29:56","INPDEL01","INPDEL01","CG852"
")UEIALCP","","","","","0","","0","2020-10-19 08:48:56","2020-10-19 08:48:56","INPDEL01","INPDEL01","CG852"
")JEIAQGM","","","","","0","","0","2020-10-19 10:10:22","2020-10-19 10:10:22","DELINP01","DELINP01","CG852"
")=EIAU1O","","","","","0","","0","2020-10-19 12:31:42","2020-10-19 12:31:42","ARFELI01","ARFELI01","CG852"
"5JEJEJQZ","","","","","0","","0","2020-11-09 22:55:02","2020-11-09 22:55:02","CESSINP1","CESSINP1","CG852"
"5;EJEK7A","","","","","0","","0","2020-11-09 23:12:08","2020-11-09 23:12:08","CESSINP1","CESSINP1","CG852"
"ZUEJHSA1","","","","","0","","0","2020-11-11 14:13:40","2020-11-11 14:13:40","FOULISTR","FOULISTR","CB141"
"38EHZOL4","","","","","0","","0","2020-10-13 10:52:13","2020-10-13 10:52:13","JAQUITAN","JAQUITAN","CG852"
"@9EHZSR7","","","","","0","","0","2020-10-13 12:43:41","2020-10-13 12:43:41","JAQUITAN","JAQUITAN","CG852"
":YEI3MDQ","","","","","0","","0","2020-10-15 15:23:34","2020-10-15 15:23:34","CESSINP1","CESSINP1","CG852"
"DXEI1OOP","","","","","0","","0","2020-10-14 14:11:18","2020-10-14 14:11:18","JAQUITAN","JAQUITAN","CG852"
":YEI3E8R","","","","","0","","0","2020-10-15 12:27:48","2020-10-15 12:27:48","CESSINP1","CESSINP1","CG852"
"*4EI53R8","","","","","0","","0","2020-10-16 09:28:18","2020-10-16 09:28:18","ARFELI01","ARFELI01","CG852"
"34EITJ7N","","","","","0","","0","2020-10-29 14:24:58","2020-10-29 14:24:58","TESTINP ","TESTINP ","CG852"
