"CUE_CID_CUST_ID","CUE_CDE_EVENT_TYPE","CUE_DTE_EFFECTIVE","CUE_RID_CUST_EVENT","CUE_TSP_REC_CREATE","CUE_TSP_REC_UPDATE","CUE_UID_REC_CREATE","CUE_UID_REC_UPDATE","CUE_TXT_EVENT_CMT","CUE_CDE_BRANCH"
"67E514PT","STCHD","2020-02-04 00:00:00","67E514PX","2020-02-04 13:41:46","2020-02-04 13:41:46","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"67E514PT","CFCOP","2020-02-04 00:00:00","67E514PY","2020-02-04 13:41:46","2020-02-04 13:41:46","LOANIQ02","LOANIQ02","Created From Common Party",""
"HSE531P6","STCHD","2020-02-06 00:00:00","HSE531PA","2020-02-05 10:05:43","2020-02-05 10:05:43","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"HSE531P6","CFCOP","2020-02-06 00:00:00","HSE531PB","2020-02-05 10:05:43","2020-02-05 10:05:43","LOANIQ02","LOANIQ02","Created From Common Party",""
"HSE531Q0","STCHD","2020-02-06 00:00:00","HSE531Q4","2020-02-05 10:21:41","2020-02-05 10:21:41","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"HSE531Q0","CFCOP","2020-02-06 00:00:00","HSE531Q5","2020-02-05 10:21:41","2020-02-05 10:21:41","LOANIQ02","LOANIQ02","Created From Common Party",""
"HSE531QE","STCHD","2020-02-06 00:00:00","HSE531QI","2020-02-05 10:27:27","2020-02-05 10:27:27","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"HSE531QE","CFCOP","2020-02-06 00:00:00","HSE531QJ","2020-02-05 10:27:27","2020-02-05 10:27:27","LOANIQ02","LOANIQ02","Created From Common Party",""
"HSE531QE","NC   ","2020-02-06 00:00:00","HSE531QO","2020-02-05 10:29:50","2020-02-05 10:29:50","LOANIQ02","LOANIQ02","The short name of customer AUPTY9992UPD was changed from AUPTY9992 to AUPTY9992UPD.",""
"HSE531QE","NC   ","2020-02-06 00:00:00","HSE531QP","2020-02-05 10:29:50","2020-02-05 10:29:50","LOANIQ02","LOANIQ02","The legal name of customer AUPTY9992UPD was changed from AUPTY9992 to AUPTY9992UPD.",""
"HSE531RD","STCHD","2020-02-06 00:00:00","HSE531RH","2020-02-05 10:51:25","2020-02-05 10:51:25","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"HSE531RD","CFCOP","2020-02-06 00:00:00","HSE531RI","2020-02-05 10:51:25","2020-02-05 10:51:25","LOANIQ02","LOANIQ02","Created From Common Party",""
"HSE531VC","STCHD","2020-02-06 00:00:00","HSE531VG","2020-02-05 12:54:44","2020-02-05 12:54:44","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"HSE531VC","CFCOP","2020-02-06 00:00:00","HSE531VH","2020-02-05 12:54:44","2020-02-05 12:54:44","LOANIQ02","LOANIQ02","Created From Common Party",""
"HSE542IF","STCHD","2020-02-06 00:00:00","HSE542IJ","2020-02-06 03:46:56","2020-02-06 03:46:56","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"HSE542IF","CFCOP","2020-02-06 00:00:00","HSE542IK","2020-02-06 03:46:56","2020-02-06 03:46:56","LOANIQ02","LOANIQ02","Created From Common Party",""
"HSE543XA","STCHD","2020-02-06 00:00:00","HSE543XE","2020-02-06 04:17:27","2020-02-06 04:17:27","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"HSE543XA","CFCOP","2020-02-06 00:00:00","HSE543XF","2020-02-06 04:17:27","2020-02-06 04:17:27","LOANIQ02","LOANIQ02","Created From Common Party",""
"HSE5440L","STCHD","2020-02-06 00:00:00","HSE5440P","2020-02-06 04:19:26","2020-02-06 04:19:26","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"HSE5440L","CFCOP","2020-02-06 00:00:00","HSE5440Q","2020-02-06 04:19:26","2020-02-06 04:19:26","LOANIQ02","LOANIQ02","Created From Common Party",""
"HSE548XK","STCHD","2020-02-07 00:00:00","HSE548XO","2020-02-06 06:05:37","2020-02-06 06:05:37","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"HSE548XK","CFCOP","2020-02-07 00:00:00","HSE548XP","2020-02-06 06:05:37","2020-02-06 06:05:37","LOANIQ02","LOANIQ02","Created From Common Party",""
"HSE549GC","STCHD","2020-02-07 00:00:00","HSE549GG","2020-02-06 06:16:52","2020-02-06 06:16:52","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"HSE549GC","CFCOP","2020-02-07 00:00:00","HSE549GH","2020-02-06 06:16:52","2020-02-06 06:16:52","LOANIQ02","LOANIQ02","Created From Common Party",""
"HSE54AXL","STCHD","2020-02-07 00:00:00","HSE54AXP","2020-02-06 06:48:49","2020-02-06 06:48:49","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"HSE54AXL","CFCOP","2020-02-07 00:00:00","HSE54AXQ","2020-02-06 06:48:49","2020-02-06 06:48:49","LOANIQ02","LOANIQ02","Created From Common Party",""
"HSE54C2E","STCHD","2020-02-07 00:00:00","HSE54C2I","2020-02-06 07:13:18","2020-02-06 07:13:18","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"HSE54C2E","CFCOP","2020-02-07 00:00:00","HSE54C2J","2020-02-06 07:13:18","2020-02-06 07:13:18","LOANIQ02","LOANIQ02","Created From Common Party",""
"HSE54C8M","STCHD","2020-02-07 00:00:00","HSE54C8Q","2020-02-06 07:17:03","2020-02-06 07:17:03","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"HSE54C8M","CFCOP","2020-02-07 00:00:00","HSE54C8R","2020-02-06 07:17:03","2020-02-06 07:17:03","LOANIQ02","LOANIQ02","Created From Common Party",""
"HSE54CKP","STCHD","2020-02-07 00:00:00","HSE54CKT","2020-02-06 07:24:18","2020-02-06 07:24:18","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"HSE54CKP","CFCOP","2020-02-07 00:00:00","HSE54CKU","2020-02-06 07:24:18","2020-02-06 07:24:18","LOANIQ02","LOANIQ02","Created From Common Party",""
"HSE54CKP","NC   ","2020-02-07 00:00:00","HSE54CMF","2020-02-06 07:25:23","2020-02-06 07:25:23","LOANIQ02","LOANIQ02","The short name of customer PTYAPISHO1000015UPD was changed from PTYAPISHO1000015 to PTYAPISHO1000015UPD.",""
"HSE54CKP","NC   ","2020-02-07 00:00:00","HSE54CMG","2020-02-06 07:25:23","2020-02-06 07:25:23","LOANIQ02","LOANIQ02","The legal name of customer PTYAPISHO1000015UPD was changed from PTYA1000015 to PTYA1000015UPD.",""
"HSE54CPL","STCHD","2020-02-07 00:00:00","HSE54CPP","2020-02-06 07:27:13","2020-02-06 07:27:13","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"HSE54CPL","CFCOP","2020-02-07 00:00:00","HSE54CPQ","2020-02-06 07:27:13","2020-02-06 07:27:13","LOANIQ02","LOANIQ02","Created From Common Party",""
"WVE52JMK","STCHD","2020-02-04 00:00:00","WVE52JMO","2020-02-05 07:21:50","2020-02-05 07:21:50","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"WVE52JMK","CFCOP","2020-02-04 00:00:00","WVE52JMP","2020-02-05 07:21:50","2020-02-05 07:21:50","LOANIQ02","LOANIQ02","Created From Common Party",""
"HSE54CYS","STCHD","2020-02-07 00:00:00","HSE54CYW","2020-02-06 07:32:44","2020-02-06 07:32:44","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"HSE54CYS","CFCOP","2020-02-07 00:00:00","HSE54CYX","2020-02-06 07:32:44","2020-02-06 07:32:44","LOANIQ02","LOANIQ02","Created From Common Party",""
"HSE54DUD","STCHD","2020-02-07 00:00:00","HSE54DUH","2020-02-06 07:51:41","2020-02-06 07:51:41","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"HSE54DUD","CFCOP","2020-02-07 00:00:00","HSE54DUI","2020-02-06 07:51:41","2020-02-06 07:51:41","LOANIQ02","LOANIQ02","Created From Common Party",""
"HSE54NVP","STCHD","2020-02-10 00:00:00","HSE54NVT","2020-02-06 11:28:29","2020-02-06 11:28:29","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"HSE54NVP","CFCOP","2020-02-10 00:00:00","HSE54NVU","2020-02-06 11:28:29","2020-02-06 11:28:29","LOANIQ02","LOANIQ02","Created From Common Party",""
"HSE54TFO","STCHD","2020-02-10 00:00:00","HSE54TFS","2020-02-06 13:28:29","2020-02-06 13:28:29","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"HSE54TFO","CFCOP","2020-02-10 00:00:00","HSE54TFT","2020-02-06 13:28:29","2020-02-06 13:28:29","LOANIQ02","LOANIQ02","Created From Common Party",""
"HSE54URS","STCHD","2020-02-10 00:00:00","HSE54URW","2020-02-06 13:57:21","2020-02-06 13:57:21","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"HSE54URS","CFCOP","2020-02-10 00:00:00","HSE54URX","2020-02-06 13:57:21","2020-02-06 13:57:21","LOANIQ02","LOANIQ02","Created From Common Party",""
"=WE56GPQ","STCHD","2020-02-10 00:00:00","=WE56GPU","2020-02-07 07:13:48","2020-02-07 07:13:48","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"=WE56GPQ","CFCOP","2020-02-10 00:00:00","=WE56GPV","2020-02-07 07:13:48","2020-02-07 07:13:48","LOANIQ02","LOANIQ02","Created From Common Party",""
"=WE56GQB","STCHD","2020-02-10 00:00:00","=WE56GQF","2020-02-07 07:20:39","2020-02-07 07:20:39","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"=WE56GQB","CFCOP","2020-02-10 00:00:00","=WE56GQG","2020-02-07 07:20:39","2020-02-07 07:20:39","LOANIQ02","LOANIQ02","Created From Common Party",""
"=WE56GRC","STCHD","2020-02-10 00:00:00","=WE56GRG","2020-02-07 07:31:52","2020-02-07 07:31:52","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"=WE56GRC","CFCOP","2020-02-10 00:00:00","=WE56GRH","2020-02-07 07:31:52","2020-02-07 07:31:52","LOANIQ02","LOANIQ02","Created From Common Party",""
"=WE56GWY","STCHD","2020-02-10 00:00:00","=WE56GX2","2020-02-07 09:28:14","2020-02-07 09:28:14","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"=WE56GWY","CFCOP","2020-02-10 00:00:00","=WE56GX3","2020-02-07 09:28:14","2020-02-07 09:28:14","LOANIQ02","LOANIQ02","Created From Common Party",""
"=WE56GZQ","STCHD","2020-02-10 00:00:00","=WE56GZU","2020-02-07 09:56:51","2020-02-07 09:56:51","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"=WE56GZQ","CFCOP","2020-02-10 00:00:00","=WE56GZV","2020-02-07 09:56:51","2020-02-07 09:56:51","LOANIQ02","LOANIQ02","Created From Common Party",""
"=WE56H03","STCHD","2020-02-10 00:00:00","=WE56H07","2020-02-07 09:56:52","2020-02-07 09:56:52","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"=WE56H03","CFCOP","2020-02-10 00:00:00","=WE56H08","2020-02-07 09:56:52","2020-02-07 09:56:52","LOANIQ02","LOANIQ02","Created From Common Party",""
"=WE56H0G","STCHD","2020-02-10 00:00:00","=WE56H0K","2020-02-07 09:56:52","2020-02-07 09:56:52","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"=WE56H0G","CFCOP","2020-02-10 00:00:00","=WE56H0L","2020-02-07 09:56:52","2020-02-07 09:56:52","LOANIQ02","LOANIQ02","Created From Common Party",""
"=WE56H1P","STCHD","2020-02-10 00:00:00","=WE56H1T","2020-02-07 10:18:50","2020-02-07 10:18:50","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"=WE56H1P","CFCOP","2020-02-10 00:00:00","=WE56H1U","2020-02-07 10:18:50","2020-02-07 10:18:50","LOANIQ02","LOANIQ02","Created From Common Party",""
"=WE56I60","STCHD","2020-02-11 00:00:00","=WE56I64","2020-02-07 11:20:17","2020-02-07 11:20:17","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"=WE56I60","CFCOP","2020-02-11 00:00:00","=WE56I65","2020-02-07 11:20:17","2020-02-07 11:20:17","LOANIQ02","LOANIQ02","Created From Common Party",""
"=WE56IER","STCHD","2020-02-11 00:00:00","=WE56IEV","2020-02-07 11:25:32","2020-02-07 11:25:32","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"=WE56IER","CFCOP","2020-02-11 00:00:00","=WE56IEW","2020-02-07 11:25:32","2020-02-07 11:25:32","LOANIQ02","LOANIQ02","Created From Common Party",""
"70E5DDJM","STCHD","2020-03-16 00:00:00","70E5DDJQ","2020-02-11 04:23:37","2020-02-11 04:23:37","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"70E5DDJM","CFCOP","2020-03-16 00:00:00","70E5DDJR","2020-02-11 04:23:37","2020-02-11 04:23:37","LOANIQ02","LOANIQ02","Created From Common Party",""
"-?E5DXV0","CFCOP","2020-03-16 00:00:00","-?E5DXV5","2020-02-11 09:18:41","2020-02-11 09:18:41","LOANIQ02","LOANIQ02","Created From Common Party",""
"-?E5EALK","STCHD","2020-03-17 00:00:00","-?E5EALO","2020-02-11 16:17:37","2020-02-11 16:17:37","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"-?E5EALK","CFCOP","2020-03-17 00:00:00","-?E5EALP","2020-02-11 16:17:37","2020-02-11 16:17:37","LOANIQ02","LOANIQ02","Created From Common Party",""
"5YE5G3DN","STCHD","2020-03-20 00:00:00","5YE5G3DR","2020-02-12 15:36:52","2020-02-12 15:36:52","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"5YE5G3DN","CFCOP","2020-03-20 00:00:00","5YE5G3DS","2020-02-12 15:36:52","2020-02-12 15:36:52","LOANIQ02","LOANIQ02","Created From Common Party",""
"5YE5G3N2","STCHD","2020-03-20 00:00:00","5YE5G3N6","2020-02-12 15:42:31","2020-02-12 15:42:31","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"5YE5G3N2","CFCOP","2020-03-20 00:00:00","5YE5G3N7","2020-02-12 15:42:31","2020-02-12 15:42:31","LOANIQ02","LOANIQ02","Created From Common Party",""
"5YE5H55M","STCHD","2020-03-20 00:00:00","5YE5H55Q","2020-02-13 05:12:51","2020-02-13 05:12:51","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"5YE5H55M","CFCOP","2020-03-20 00:00:00","5YE5H55R","2020-02-13 05:12:51","2020-02-13 05:12:51","LOANIQ02","LOANIQ02","Created From Common Party",""
"5YE5J818","STCHD","2020-03-23 00:00:00","5YE5J81C","2020-02-14 08:10:13","2020-02-14 08:10:13","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"5YE5J818","CFCOP","2020-03-23 00:00:00","5YE5J81D","2020-02-14 08:10:13","2020-02-14 08:10:13","LOANIQ02","LOANIQ02","Created From Common Party",""
"5YE5H55M","NC   ","2020-03-23 00:00:00","AAE5SQJG","2020-02-19 04:40:16","2020-02-19 04:40:16","LOANIQ01","LOANIQ01","The legal name of customer PTYAPISH1000025 was changed from PTYA1000025 to TESTTE1.",""
"5YE5H55M","NC   ","2020-03-23 00:00:00","AAE5SQJJ","2020-02-19 04:42:49","2020-02-19 04:42:49","LOANIQ01","LOANIQ01","The legal name of customer PTYAPISH1000025 was changed from TESTTE1 to TESTTE2.",""
"AAE5SQK2","STCHD","2020-03-23 00:00:00","AAE5SQK6","2020-02-19 04:44:35","2020-02-19 04:44:35","LOANIQ01","LOANIQ01","Status changed from Skeletal (Active) to Active (Active).",""
"AAE5SQK2","CFCOP","2020-03-23 00:00:00","AAE5SQK7","2020-02-19 04:44:35","2020-02-19 04:44:35","LOANIQ01","LOANIQ01","Created From Common Party",""
"+1E5WHXS","STCHD","2020-03-23 00:00:00","+1E5WHXW","2020-02-21 12:12:57","2020-02-21 12:12:57","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"+1E5WHXS","CFCOP","2020-03-23 00:00:00","+1E5WHXX","2020-02-21 12:12:57","2020-02-21 12:12:57","LOANIQ02","LOANIQ02","Created From Common Party",""
"+1E5WIDI","STCHD","2020-03-23 00:00:00","+1E5WIDM","2020-02-21 12:22:23","2020-02-21 12:22:23","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"+1E5WIDI","CFCOP","2020-03-23 00:00:00","+1E5WIDN","2020-02-21 12:22:23","2020-02-21 12:22:23","LOANIQ02","LOANIQ02","Created From Common Party",""
"!;E6747W","STCHD","2020-03-23 00:00:00","!;E67480","2020-02-27 05:50:13","2020-02-27 05:50:13","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"!;E6747W","CFCOP","2020-03-23 00:00:00","!;E67481","2020-02-27 05:50:13","2020-02-27 05:50:13","LOANIQ02","LOANIQ02","Created From Common Party",""
"!;E677KV","STCHD","2020-03-23 00:00:00","!;E677KZ","2020-02-27 07:02:47","2020-02-27 07:02:47","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"!;E677KV","CFCOP","2020-03-23 00:00:00","!;E677L0","2020-02-27 07:02:47","2020-02-27 07:02:47","LOANIQ02","LOANIQ02","Created From Common Party",""
"!;E67DMF","STCHD","2020-03-23 00:00:00","!;E67DMJ","2020-02-27 09:13:20","2020-02-27 09:13:20","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"!;E67DMF","CFCOP","2020-03-23 00:00:00","!;E67DMK","2020-02-27 09:13:20","2020-02-27 09:13:20","LOANIQ02","LOANIQ02","Created From Common Party",""
"!;E67DWV","STCHD","2020-03-23 00:00:00","!;E67DWZ","2020-02-27 09:19:36","2020-02-27 09:19:36","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"!;E67DWV","CFCOP","2020-03-23 00:00:00","!;E67DX0","2020-02-27 09:19:36","2020-02-27 09:19:36","LOANIQ02","LOANIQ02","Created From Common Party",""
"!;E67EHC","STCHD","2020-03-23 00:00:00","!;E67EHG","2020-02-27 09:31:53","2020-02-27 09:31:53","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"!;E67EHC","CFCOP","2020-03-23 00:00:00","!;E67EHH","2020-02-27 09:31:53","2020-02-27 09:31:53","LOANIQ02","LOANIQ02","Created From Common Party",""
"J5E4FAXX","CRTE ","2013-04-02 00:00:00","J5E4FAY3","2020-01-23 09:29:54","2020-01-23 09:29:54","HSSUPR01","HSSUPR01","New online customer HENRY created.",""
"J5E4FAXX","RIREL","2013-04-02 00:00:00","J+E4F8PI","2020-01-23 09:41:22","2020-01-23 09:41:22","HSUSER01","HSUSER01","Remittance Instruction DDA1 has been released.",""
"J5E4FAXX","LOCMP","2013-04-02 00:00:00","J5E4FAZA","2020-01-23 09:45:07","2020-01-23 09:45:07","HSSUPR01","HSSUPR01","Borrower location Abbotsford, NSW,Australia completed.",""
"J5E4FAZF","CRTE ","2013-04-02 00:00:00","J5E4FAZL","2020-01-23 09:45:36","2020-01-23 09:45:36","HSSUPR01","HSSUPR01","New online customer JOBERN created.",""
"J5E4FAZF","RIREL","2013-04-02 00:00:00","3UE4FBFJ","2020-01-23 09:55:29","2020-01-23 09:55:29","HSMGR02 ","HSMGR02 ","Remittance Instruction DDA1 has been released.",""
"J5E4FAZF","LOCMP","2013-04-02 00:00:00","3FE4FBRN","2020-01-23 09:56:14","2020-01-23 09:56:14","HSUSER01","HSUSER01","Borrower location Abbotsford, NSW,Australia completed.",""
"3FE4FBRS","CRTE ","2013-04-02 00:00:00","3FE4FBRY","2020-01-23 09:56:36","2020-01-23 09:56:36","HSUSER01","HSUSER01","New online customer TONY created.",""
"3FE4FBRS","LOCMP","2013-04-02 00:00:00","3FE4FBSQ","2020-01-23 10:00:16","2020-01-23 10:00:16","HSUSER01","HSUSER01","Borrower location Abbotsford, NSW,Australia completed.",""
"3FE4FBRS","RIREL","2013-04-02 00:00:00","3EE4FADZ","2020-01-23 10:02:38","2020-01-23 10:02:38","HSMGR02 ","HSMGR02 ","Remittance Instruction DDA1 has been released.",""
"9ZE4O2BR","STCHD","2020-01-29 00:00:00","9ZE4O2BV","2020-01-28 07:03:52","2020-01-28 07:03:52","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"9ZE4O2BR","CFCOP","2020-01-29 00:00:00","9ZE4O2BW","2020-01-28 07:03:52","2020-01-28 07:03:52","LOANIQ02","LOANIQ02","Created From Common Party",""
"9ZE4O2C4","STCHD","2020-01-29 00:00:00","9ZE4O2C8","2020-01-28 07:03:53","2020-01-28 07:03:53","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"9ZE4O2C4","CFCOP","2020-01-29 00:00:00","9ZE4O2C9","2020-01-28 07:03:53","2020-01-28 07:03:53","LOANIQ02","LOANIQ02","Created From Common Party",""
"9ZE4O2CJ","STCHD","2020-01-29 00:00:00","9ZE4O2CN","2020-01-28 07:03:53","2020-01-28 07:03:53","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"9ZE4O2CJ","CFCOP","2020-01-29 00:00:00","9ZE4O2CO","2020-01-28 07:03:53","2020-01-28 07:03:53","LOANIQ02","LOANIQ02","Created From Common Party",""
"9ZE4O2CW","STCHD","2020-01-29 00:00:00","9ZE4O2D0","2020-01-28 07:03:53","2020-01-28 07:03:53","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
"9ZE4O2CW","CFCOP","2020-01-29 00:00:00","9ZE4O2D1","2020-01-28 07:03:53","2020-01-28 07:03:53","LOANIQ02","LOANIQ02","Created From Common Party",""
"9ZE4O2D9","STCHD","2020-01-29 00:00:00","9ZE4O2DD","2020-01-28 07:03:53","2020-01-28 07:03:53","LOANIQ02","LOANIQ02","Status changed from Skeletal (Active) to Active (Active).",""
