"FEE_FID_FEE","FEE_PID_FACILITY","FEE_PID_DEAL","FEE_CDE_OBJ_STATE","FEE_CDE_OB_ST_CTG","FEE_CDE_FEE_CTGRY","FEE_CDE_FEE_TYPE","FEE_TSP_REC_CREATE","FEE_TSP_REC_UPDATE","FEE_UID_REC_CREATE","FEE_UID_REC_UPDATE","FEE_PCT_RATE","FEE_IND_ADVANCE","FEE_IND_ACCRUABLE","FEE_CDE_PERF_STAT","FEE_CID_PAID_BY","FEE_RID_PAID_BY_SG","FEE_IND_DIST_LIST","FEE_PCT_BALANCE","FEE_DTE_EFFECTIVE","FEE_CDE_PERIOD","FEE_CDE_RATE_BASIS","FEE_AMT_MAXIMUM","FEE_AMT_MINIMUM","FEE_AMT_FLAT","FEE_CDE_ENDTE_RULE","FEE_DTE_EXPIRY","FEE_DTE_FLT_RTE_ST","FEE_CDE_ACT_ACR_RL","FEE_NUM_SPCFC_DAY","FEE_IND_SYNC_BILL","FEE_RID_OWNER","FEE_CDE_OWNER_TYPE","FEE_IND_BILL_BORR","FEE_NUM_BILL_DAYS","FEE_IND_DONT_PRINT","FEE_IND_DONT_MAIL","FEE_IND_ACR_SCHBAL","FEE_IND_CARE_OF","FEE_IND_ABND_FEE","FEE_CDE_BRANCH"
"QFEDH1TP","QFEDH1QH",":*EDG12Y","RELSD","ACTUA","ONG  ","UNUT ","2020-07-17 16:36:08","2020-08-26 10:45:38","FJUSRAM ","LS2BATCH","0.0175","N","Y","ACCR ","NONE    ","NONE    ","N","1","2020-05-27 00:00:00","QUA  ","BANK ","","","","TOAD ","","2020-05-27 00:00:00","","","N","QFEDH1QH","FAC  ","N","10","N","N","N","N","N","CG852"
"YZEFF053","YZEFEXAM","YZEFEWH5","RELSD","ACTUA","ONG  ","UNUT ","2020-08-24 11:08:19","2020-09-29 12:46:06","SMANZANO","LS2BATCH","0.03","N","Y","ACCR ","NONE    ","NONE    ","N","1","2020-05-27 00:00:00","QUA  ","G365 ","","","","TOAD ","","2020-05-27 00:00:00","","","N","YZEFEXAM","FAC  ","N","10","N","N","N","N","N","CG852"
"Y5EFF56S","Y5EFF559","Y5EFF54H","RELSD","ACTUA","ONG  ","UNUT ","2020-08-24 12:31:58","2020-09-21 21:57:23","LIQUSR03","LS2BATCH","0.01","N","Y","ACCR ","NONE    ","NONE    ","N","1","2020-05-27 00:00:00","QUA  ","G365 ","","","","TOAD ","","2020-05-27 00:00:00","","","N","Y5EFF559","FAC  ","N","10","N","N","N","N","N","CG852"
"3.EFFE0Q","3.EFFDZL","3.EFFDYP","RELSD","ACTUA","ONG  ","UNUT ","2020-08-24 15:05:08","2020-10-05 12:27:14","JAQUITAN","JAQUITAN","0.03","N","Y","ACCR ","NONE    ","NONE    ","N","1","2020-05-27 00:00:00","QUA  ","G365 ","","","","TOAD ","","2020-05-27 00:00:00","","","N","3.EFFDZL","FAC  ","N","10","N","N","N","N","N","CG852"
"(7EFGUG2","(7EFGUEQ","(7EFGUDN","PEND ","POTEN","ONG  ","UNUT ","2020-08-25 10:37:03","2020-08-25 11:12:17","CMARTILL","RPTMGR01","0.02","N","N","ACCR ","NONE    ","NONE    ","N","1","2019-05-27 00:00:00","QUA  ","G365 ","","","","TOAD ","","2019-05-27 00:00:00","","","N","(7EFGUEQ","FAC  ","N","10","N","N","N","N","N","CG852"
"@EEFH3UJ","@EEFH10F","@EEFGXO8","RELSD","ACTUA","ONG  ","UNUT ","2020-08-25 14:23:43","2020-09-04 13:06:45","SMANZANO","LS2BATCH","0.04","N","Y","ACCR ","NONE    ","NONE    ","N","1","2020-05-27 00:00:00","QUA  ","G365 ","","","","TOAD ","","2020-05-27 00:00:00","","","N","@EEFH10F","FAC  ","N","10","N","N","N","N","N","CG852"
"@-EFH7C0","@-EFH76E","@-EFH363","RELSD","ACTUA","ONG  ","UNUT ","2020-08-25 15:38:58","2020-09-13 21:00:55","JAQUITAN","LS2BATCH","0.03","N","Y","ACCR ","NONE    ","NONE    ","N","1","2020-05-27 00:00:00","QUA  ","G365 ","","","","TOAD ","","2020-05-27 00:00:00","","","N","@-EFH76E","FAC  ","N","10","N","N","N","N","N","CG852"
"@+EFH6Y2","@+EFH6WT","3MEFH2AH","RELSD","ACTUA","ONG  ","UNUT ","2020-08-25 14:52:59","2020-08-26 10:45:39","LIQUSR03","LS2BATCH","0.01","N","Y","ACCR ","NONE    ","NONE    ","N","1","2020-05-27 00:00:00","QUA  ","BANK ","","","","TOAD ","","2020-05-27 00:00:00","","","N","@+EFH6WT","FAC  ","N","10","N","N","N","N","N","CG852"
"C6EFHASQ","C6EFHAR6","C6EFHAQ1","RELSD","ACTUA","ONG  ","UNUT ","2020-08-25 16:23:16","2020-09-13 21:00:55","JAQUITAN","LS2BATCH","0.03","N","Y","ACCR ","NONE    ","NONE    ","N","1","2020-05-27 00:00:00","QUA  ","G365 ","","","","TOAD ","","2020-05-27 00:00:00","","","N","C6EFHAR6","FAC  ","N","10","N","N","N","N","N","CG852"
"3+EGGN1J","3+EGGMVJ","3+EGGMJM","PEND ","POTEN","LCI  ","ISFEE","2020-09-13 18:56:34","2020-09-13 18:56:34","CFRANCIS","CFRANCIS","0.04","N","N","ACCR ","NONE    ","NONE    ","N","1","","QUA  ","G365 ","","","","TOAD ","","","","","N","3+EGGMVJ","FAC  ","N","0","N","N","N","N","N",""
"GREGNHV8","GREGNHU7","9ZEF82FK","RELSD","ACTUA","ONG  ","UNUT ","2020-09-17 11:25:24","2020-10-13 15:19:39","JAQUITAN","JANICEA1","0.03","N","Y","ACCR ","NONE    ","NONE    ","N","1","2020-06-25 00:00:00","QUA  ","G365 ","","","","TOAD ","","2020-06-25 00:00:00","","","N","GREGNHU7","FAC  ","N","10","N","N","N","N","N","CG852"
"0JEGNPZ7","0JEGNPY5","YZEFEWH5","RELSD","ACTUA","ONG  ","UNUT ","2020-09-17 13:10:10","2020-09-17 16:02:02","SMANZANO","LS2BATCH","0.03","N","Y","ACCR ","NONE    ","NONE    ","N","1","2020-06-25 00:00:00","QUA  ","G365 ","","","","TOAD ","","2020-06-25 00:00:00","","","N","0JEGNPY5","FAC  ","N","10","N","N","N","N","N","CG852"
"S#EESVSH","S#EESVR1","S#EESVPY","RELSD","ACTUA","ONG  ","UNUT ","2020-08-12 11:45:29","2020-11-23 13:55:42","CMARTILL","RPTSUP01","0.02","N","Y","ACCR ","NONE    ","NONE    ","N","1","2020-05-27 00:00:00","QUA  ","G365 ","","","","TOAD ","","2020-05-27 00:00:00","","","N","S#EESVR1","FAC  ","N","10","N","N","N","N","N","CG852"
".FEF9SX4",".FEF9QTS",".FEF9QSQ","RELSD","ACTUA","ONG  ","UNUT ","2020-08-21 15:43:54","2020-08-26 10:45:39","LIQUSR03","LS2BATCH","0.01","N","Y","ACCR ","NONE    ","NONE    ","N","1","2020-05-27 00:00:00","QUA  ","BANK ","","","","TOAD ","","2020-05-27 00:00:00","","","N",".FEF9QTS","FAC  ","N","10","N","N","N","N","N","CG852"
"9ZEF82HP","9ZEF82GL","9ZEF82FK","RELSD","ACTUA","ONG  ","UNUT ","2020-08-20 17:14:14","2020-09-29 12:46:08","JAQUITAN","LS2BATCH","0.03","N","Y","ACCR ","NONE    ","NONE    ","N","1","2020-05-27 00:00:00","QUA  ","G365 ","","","","TOAD ","","2020-05-27 00:00:00","","","N","9ZEF82GL","FAC  ","N","10","N","N","N","N","N","CG852"
"#!EFTRUA","#!EFTRT9","#!EFTROA","RELSD","ACTUA","ONG  ","UNUT ","2020-09-01 09:56:09","2020-10-14 16:21:03","CMARTILL","LS2BATCH","0.015","N","Y","ACCR ","NONE    ","NONE    ","N","1","2020-05-29 00:00:00","QUA  ","G365 ","","","","TOAD ","","2020-05-29 00:00:00","","","N","#!EFTRT9","FAC  ","N","10","N","N","N","N","N","CG852"
"3+EGGM3X","3+EGGLYA","3+EGGLNY","PEND ","POTEN","LCI  ","ISFEE","2020-09-13 18:36:24","2020-09-13 18:36:24","CFRANCIS","CFRANCIS","0.04","N","N","ACCR ","NONE    ","NONE    ","N","1","","QUA  ","G365 ","","","","TOAD ","","","","","N","3+EGGLYA","FAC  ","N","0","N","N","N","N","N",""
"0REF4FV7","0REF4FMA","0REF4EYL","RELSD","ACTUA","ONG  ","UNUT ","2020-08-18 16:11:42","2020-10-07 15:47:08","LIQUSR03","LS2BATCH","0.0075","N","Y","ACCR ","NONE    ","NONE    ","N","1","2020-05-27 00:00:00","QUA  ","BANK ","","","","TOAD ","","2020-05-27 00:00:00","","","N","0REF4FMA","FAC  ","N","10","N","N","N","N","N","CG852"
"I:EFMH5Q","I:EFMEGK","IREFMCO3","RELSD","ACTUA","ONG  ","UNUT ","2020-08-28 11:59:38","2020-10-28 17:53:10","SMANZANO","LS2BATCH","0.03","N","Y","ACCR ","NONE    ","NONE    ","N","1","2020-05-29 00:00:00","QUA  ","G365 ","","","","TOAD ","","2020-05-29 00:00:00","","","N","I:EFMEGK","FAC  ","N","10","N","N","N","N","N","CG852"
"+OEH9ZDB","+OEH9ZD0","+OEH9ZC4","RELSD","ACTUA","ONG  ","UNUT ","2020-09-29 14:20:06","2020-10-14 16:38:49","JAQUITAN","JAQUITAN","0.03","N","Y","ACCR ","NONE    ","NONE    ","N","1","2020-07-08 00:00:00","QUA  ","G365 ","","","","TOAD ","","2020-07-08 00:00:00","","","N","+OEH9ZD0","FAC  ","N","10","N","N","N","N","N","CG852"
"V8EF4733","V8EF471U","V8EF4706","RELSD","ACTUA","ONG  ","UNUT ","2020-08-18 12:35:33","2020-10-15 16:25:01","LIQUSR05","LS2BATCH","0.0129","N","Y","ACCR ","NONE    ","NONE    ","N","1","2020-05-27 00:00:00","QUA  ","G365 ","","","","TOAD ","","2020-05-27 00:00:00","","","N","V8EF471U","FAC  ","N","10","N","N","N","N","N","CG852"
"3ZEFFD41","3ZEFFD2W","3ZEFFD20","RELSD","ACTUA","ONG  ","UNUT ","2020-08-24 14:43:18","2020-09-08 12:33:56","JAQUITAN","LS2BATCH","0.03","N","Y","ACCR ","NONE    ","NONE    ","N","1","2020-05-27 00:00:00","QUA  ","G365 ","","","","TOAD ","","2020-05-27 00:00:00","","","N","3ZEFFD2W","FAC  ","N","10","N","N","N","N","N","CG852"
"JVEGD6A6","JVEGD690","J:EGD5LO","PEND ","POTEN","LCI  ","ISFEE","2020-09-11 21:58:28","2020-09-11 21:58:28","CFRANCIS","CFRANCIS","0.04","N","N","ACCR ","NONE    ","NONE    ","N","1","","QUA  ","G365 ","","","","TOAD ","","","","","N","JVEGD690","FAC  ","N","0","N","N","N","N","N",""
"3GEGGIT3","3GEGGIRX","35EGGIEL","PEND ","POTEN","LCI  ","ISFEE","2020-09-13 16:16:32","2020-09-13 16:16:32","CFRANCIS","CFRANCIS","0.04","N","N","ACCR ","NONE    ","NONE    ","N","1","","QUA  ","G365 ","","","","TOAD ","","","","","N","3GEGGIRX","FAC  ","N","0","N","N","N","N","N",""
"G$EGNIVA","G$EGNIUB","9ZEF82FK","RELSD","ACTUA","ONG  ","UNUT ","2020-09-17 11:51:35","2020-09-17 16:02:04","JAQUITAN","LS2BATCH","0.02","N","Y","ACCR ","NONE    ","NONE    ","N","1","2020-06-25 00:00:00","QUA  ","G365 ","","","","TOAD ","","2020-06-25 00:00:00","","","N","G$EGNIUB","FAC  ","N","10","N","N","N","N","N","CG852"
"(7EFGY14","(7EFGXST","(7EFGXIA","RELSD","ACTUA","ONG  ","UNUT ","2020-08-25 12:18:04","2020-10-13 20:28:45","CMARTILL","LS2BATCH","0.015","N","Y","ACCR ","NONE    ","NONE    ","N","1","2020-05-27 00:00:00","QUA  ","G365 ","","","","TOAD ","","2020-05-27 00:00:00","","","N","(7EFGXST","FAC  ","N","10","N","N","N","N","N","CG852"
"CNEHZZZ9","CNEHZZU5",")YEHXS7X","RELSD","ACTUA","ONG  ","UNUT ","2020-10-13 16:27:36","2020-10-13 20:28:46","RPTINP01","LS2BATCH","0.03","N","Y","ACCR ","NONE    ","NONE    ","N","1","2021-03-01 00:00:00","QUA  ","G365 ","","","","TOAD ","","2021-03-01 00:00:00","","","N","CNEHZZU5","FAC  ","N","10","N","N","N","N","N","CG852"
"$QEI1ONP","$QEI1OLY","$QEI1OJW","RELSD","ACTUA","ONG  ","UNUT ","2020-10-14 13:06:16","2020-10-14 16:21:04","LIQUSR03","LS2BATCH","0.01","N","Y","ACCR ","NONE    ","NONE    ","N","1","2021-03-03 00:00:00","QUA  ","BANK ","","","","TOAD ","","2021-03-03 00:00:00","","","N","$QEI1OLY","FAC  ","N","10","N","N","N","N","N","CG852"
"NPEI1VM4","NPEI1VIS","D3EI1MRL","RELSD","ACTUA","ONG  ","UNUT ","2020-10-14 16:48:15","2020-10-14 17:50:13","JAQUITAN","LS2BATCH","0.03","N","Y","ACCR ","NONE    ","NONE    ","N","1","2021-03-04 00:00:00","QUA  ","G365 ","","","","TOAD ","","2021-03-04 00:00:00","","","N","NPEI1VIS","FAC  ","Y","10","N","N","N","N","N","CG852"
"IKEI22A0","IKEI224J","D3EI1MRL","INACT","INACT","ONG  ","UNUT ","2020-10-14 19:11:31","2020-10-23 17:18:23","SMANZANO","MANZANOS","0.02","N","Y","ACCR ","NONE    ","NONE    ","N","1","2021-03-05 00:00:00","QUA  ","G365 ","","","","TOAD ","2021-03-05 00:00:00","2021-03-05 00:00:00","","","N","IKEI224J","FAC  ","Y","10","N","N","N","N","N","CG852"
":6EI3G2Z",":6EI3G1H","$QEI1OJW","PEND ","POTEN","ONG  ","UNUT ","2020-10-15 11:19:31","2020-10-15 11:19:31","LIQUSR03","LIQUSR03","0.02","N","N","ACCR ","NONE    ","NONE    ","N","1","","QUA  ","BANK ","","","","TOAD ","","","","","N",":6EI3G1H","FAC  ","N","10","N","N","N","N","N","CG852"
"BPEI37P4","BPEI37NY","#+EI35Q6","RELSD","ACTUA","ONG  ","UNUT ","2020-10-15 09:22:38","2020-10-15 10:09:02","JAQUITAN","LS2BATCH","0.02","N","Y","ACCR ","NONE    ","NONE    ","N","1","2021-03-05 00:00:00","QUA  ","G365 ","","","","TOAD ","","2021-03-05 00:00:00","","","N","BPEI37NY","FAC  ","Y","10","N","N","N","N","N","CG852"
":6EI3GGF",":6EI3GFB",":6EI3GEF","RELSD","ACTUA","ONG  ","UNUT ","2020-10-15 12:08:14","2020-10-26 09:01:47","LIQUSR03","LS2BATCH","0.02","N","Y","ACCR ","NONE    ","NONE    ","N","1","2021-03-08 00:00:00","QUA  ","BANK ","","","","TOAD ","","2021-03-08 00:00:00","","","N",":6EI3GFB","FAC  ","N","10","N","N","N","N","N","CG852"
":6EI3GJA",":6EI3GI8",":6EI3GEF","RELSD","ACTUA","ONG  ","UNUT ","2020-10-15 12:10:45","2020-10-26 09:01:48","LIQUSR03","LS2BATCH","0.02","N","Y","ACCR ","NONE    ","NONE    ","N","1","2021-03-08 00:00:00","QUA  ","BANK ","","","","TOAD ","","2021-03-08 00:00:00","","","N",":6EI3GI8","FAC  ","N","10","N","N","N","N","N","CG852"
"34EITJDJ","34EITJ7N",")XEIRVS4","PEND ","POTEN","LCI  ","FROI ","2020-10-29 14:41:24","2020-10-29 14:41:24","TESTINP ","TESTINP ","0.02","N","N","ACCR ","NONE    ","NONE    ","N","1","","QUA  ","G365 ","","","","TOAD ","","","","","N","34EITJ7N","FAC  ","N","0","N","N","N","N","N","CG852"
"34EITJDP","34EITJ7N",")XEIRVS4","RELSD","ACTUA","ONG  ","UNUT ","2020-10-29 14:41:24","2020-11-03 20:34:02","TESTINP ","LS2BATCH","0.02","N","Y","ACCR ","NONE    ","NONE    ","N","1","2021-08-12 00:00:00","QUA  ","G365 ","","","","TOAD ","","2021-08-12 00:00:00","","","N","34EITJ7N","FAC  ","Y","2","N","N","N","N","N","CG852"
"@9EHZSS7","@9EHZSR7","9ZEF82FK","RELSD","ACTUA","ONG  ","UNUT ","2020-10-13 12:57:00","2020-10-13 20:28:48","JAQUITAN","LS2BATCH","0.02","N","Y","ACCR ","NONE    ","NONE    ","N","1","2021-03-01 00:00:00","QUA  ","G365 ","","","","TOAD ","","2021-03-01 00:00:00","","","N","@9EHZSR7","FAC  ","N","10","N","N","N","N","N","CG852"
"R-EI0C6X","R-EI0C3N","@CEI0ATA","PEND ","POTEN","LCI  ","FROI ","2020-10-13 20:45:59","2020-10-13 20:45:59","CFRANCIS","CFRANCIS","0.02","N","N","ACCR ","NONE    ","NONE    ","N","1","","QUA  ","G365 ","","","","TOAD ","","","","","N","R-EI0C3N","FAC  ","N","0","N","N","N","N","N",""
"R-EI0C73","R-EI0C3N","@CEI0ATA","PEND ","POTEN","LCI  ","ISFEE","2020-10-13 20:45:59","2020-10-13 20:45:59","CFRANCIS","CFRANCIS","0.02","N","N","ACCR ","NONE    ","NONE    ","N","1","","QUA  ","G365 ","","","","TOAD ","","","","","N","R-EI0C3N","FAC  ","N","0","N","N","N","N","N",""
":JEI3DZM","B4EI393N","D3EI1MRL","INACT","INACT","ONG  ","UNUT ","2020-10-15 11:02:17","2020-10-20 16:56:10","LIQAPCP3","JAQUITAN","0.02","N","Y","ACCR ","NONE    ","NONE    ","N","1","2021-03-08 00:00:00","QUA  ","G365 ","","","","TOAD ","2021-03-05 00:00:00","2021-03-08 00:00:00","","","N","B4EI393N","FAC  ","Y","10","N","N","N","N","N","CG852"
":YEI3HAY",":YEI3H0U",":YEI3G9Q","PEND ","POTEN","ONG  ","UNUT ","2020-10-15 13:33:39","2020-10-15 13:33:39","CESSINP1","CESSINP1","0.02","N","N","ACCR ","NONE    ","NONE    ","N","1","","QUA  ","G365 ","","","","TOAD ","","","","","N",":YEI3H0U","FAC  ","Y","10","N","N","N","N","N","CG852"
":YEI3MNC",":YEI3MDQ",":YEI3LNB","PEND ","POTEN","ONG  ","UNUT ","2020-10-15 15:29:07","2020-10-15 15:29:07","CESSINP1","CESSINP1","0.02","N","N","ACCR ","NONE    ","NONE    ","N","1","","QUA  ","G365 ","","","","TOAD ","","","","","N",":YEI3MDQ","FAC  ","Y","10","N","N","N","N","N","CG852"
"CKEHZVD2","CKEHZVC2","9ZEF82FK","RELSD","ACTUA","ONG  ","UNUT ","2020-10-13 14:34:15","2020-10-13 20:28:48","JAQUITAN","LS2BATCH","0.02","N","Y","ACCR ","NONE    ","NONE    ","N","1","2021-03-01 00:00:00","QUA  ","G365 ","","","","TOAD ","","2021-03-01 00:00:00","","","N","CKEHZVC2","FAC  ","N","10","N","N","N","N","N","CG852"
"@5EI03CM","@5EI038S","@EEI01UV","RELSD","ACTUA","ONG  ","UNUT ","2020-10-13 14:39:06","2020-10-13 20:28:47","LIQUSR05","LS2BATCH","0.0021","N","Y","ACCR ","NONE    ","NONE    ","N","1","2021-03-01 00:00:00","QUA  ","G365 ","","","","TOAD ","","2021-03-01 00:00:00","","","N","@5EI038S","FAC  ","N","10","N","N","N","N","N","CG852"
"C6EI0017","C6EHZZZO","9ZEF82FK","RELSD","ACTUA","ONG  ","FACI ","2020-10-13 15:57:13","2020-10-13 20:28:48","JAQUITAN","LS2BATCH","0.02","Y","Y","ACCR ","NONE    ","NONE    ","N","1","2021-03-01 00:00:00","QUA  ","G365 ","","","","TOAC ","","2021-03-01 00:00:00","","","N","C6EHZZZO","FAC  ","N","10","N","N","N","N","N","CG852"
"DXEI1ORF","DXEI1OOP","D3EI1MRL","RELSD","ACTUA","ONG  ","UNUT ","2020-10-14 14:14:37","2020-10-15 10:09:03","JAQUITAN","LS2BATCH","0.03","N","Y","ACCR ","NONE    ","NONE    ","N","1","2021-03-03 00:00:00","QUA  ","G365 ","","","","TOAD ","","2021-03-03 00:00:00","","","N","DXEI1OOP","FAC  ","Y","10","N","N","N","N","N","CG852"
"=+EI1JQZ","=+EI1JPZ","40EDZTD7","RELSD","ACTUA","ONG  ","UNUT ","2020-10-14 11:17:33","2020-10-26 09:01:46","SMANZANO","LS2BATCH","0.02","N","Y","ACCR ","NONE    ","NONE    ","N","1","2021-03-09 00:00:00","QUA  ","G365 ","","","","TOAD ","","2021-03-09 00:00:00","","","N","=+EI1JPZ","FAC  ","Y","10","N","N","N","N","N","CG852"
"X-EI20N0","X-EI206K","D3EI1MRL","INACT","INACT","ONG  ","UNUT ","2020-10-14 18:35:58","2020-10-20 16:47:52","SMANZANO","JAQUITAN","0.02","N","Y","ACCR ","NONE    ","NONE    ","N","1","2021-03-05 00:00:00","QUA  ","G365 ","","","","TOAD ","2021-03-05 00:00:00","2021-03-05 00:00:00","","","N","X-EI206K","FAC  ","Y","10","N","N","N","N","N","CG852"
"#XEHOQ7Y","#XEHOQ7N","#XEHOQ6X","RELSD","ACTUA","ONG  ","UNUT ","2020-10-07 11:22:12","2020-10-07 15:47:07","LIQSVR04","LS2BATCH","0.0129","N","Y","ACCR ","NONE    ","NONE    ","N","1","2020-07-09 00:00:00","QUA  ","G365 ","","","","TOAD ","","2020-07-09 00:00:00","","","N","#XEHOQ7N","FAC  ","N","10","N","N","N","N","N","CG852"
".XEHY4PH",".XEHY4PA",".XEHY4LC","RELSD","ACTUA","ONG  ","UNUT ","2020-10-12 15:27:35","2020-10-12 22:23:31","LIQUSR03","LS2BATCH","0.01","N","Y","ACCR ","NONE    ","NONE    ","N","1","2020-07-13 00:00:00","QUA  ","BANK ","","","","TOAD ","","2020-07-13 00:00:00","","","N",".XEHY4PA","FAC  ","N","10","N","N","N","N","N","CG852"
"38EHZOM4","38EHZOL4","9ZEF82FK","RELSD","ACTUA","ONG  ","UNUT ","2020-10-13 10:55:01","2020-10-13 20:28:47","JAQUITAN","LS2BATCH","0.02","N","Y","ACCR ","NONE    ","NONE    ","N","1","2021-03-01 00:00:00","QUA  ","G365 ","","","","TOAD ","","2021-03-01 00:00:00","","","N","38EHZOL4","FAC  ","N","10","N","N","N","N","N","CG852"
":YEI3K92",":YEI3JZ1",":YEI3J7H","PEND ","POTEN","ONG  ","UNUT ","2020-10-15 14:37:19","2020-10-15 14:37:19","CESSINP1","CESSINP1","0.02","N","N","ACCR ","NONE    ","NONE    ","N","1","","QUA  ","G365 ","","","","TOAD ","","","","","N",":YEI3JZ1","FAC  ","Y","10","N","N","N","N","N","CG852"
