"CLX_RID_XID","CLX_XID_LOCATION","CLX_CID_CUSTOMER","CLX_CDE_LOCATION","CLX_UID_REC_UPDATE","CLX_UID_REC_CREATE","CLX_TSP_REC_UPDATE","CLX_TSP_REC_CREATE","CLX_CDE_BRANCH"
"7CEJ6XAJ","7CEJ6XAJ       ","HFEJ6T46","MEL  ","INPAMT01","INPAMT01","2020-11-05 20:34:24","2020-11-05 20:34:24",""
"2!EJV2Q7","2!EJV2Q7       ","2!EJV2PU","SYD  ","DANUSR01","DANUSR01","2020-11-18 21:05:04","2020-11-18 21:05:04",""
"#XED9F2P","#XED9F2P       ","#NED9EQ2","MEL  ","JOBINP  ","JOBINP  ","2020-07-13 13:24:36","2020-07-13 13:24:36",""
"BCEDB681","BCEDB681       ","I-EDB3F1","AM   ","DANUSR01","DANUSR01","2020-07-14 11:32:04","2020-07-14 11:32:04",""
":UEDDB1P",":UEDDB1P       ",":KEDDAP0","MEL  ","JOBINP  ","JOBINP  ","2020-07-15 15:56:45","2020-07-15 15:56:45",""
"SIEESUU9","SIEESUU9       ","SIEESUTN","AM   ","CMARTILL","CMARTILL","2020-08-12 10:54:20","2020-08-12 10:54:20",""
"I+EFMIE1","I+EFMIE1       ","XOEFL7K0","SYD  ","INPAMT01","INPAMT01","2020-08-28 11:13:31","2020-08-28 11:13:31",""
"5NEH890F","5NEH890F       ","5$EH88NS","MEL  ","INPELY01","INPELY01","2020-09-28 16:42:23","2020-09-28 16:42:23",""
"#ZEFTUUM","0987654321     ","#ZEFTUU3","SYD  ","INPROS01","INPROS01","2020-09-01 10:45:43","2020-09-01 10:45:43",""
"*UEHA4X6","*UEHA4X6       ","*4EHA4KI","MEL  ","INPELY01","INPELY01","2020-09-29 15:58:41","2020-09-29 15:58:41",""
"YXEHFAIU","YXEHFAIU       ","Y7EHFA63","MEL  ","MIGGY_IN","MIGGY_IN","2020-10-02 11:15:36","2020-10-02 11:15:36",""
"=UEI13ER","=UEI13ER       ","=4EI135W","MEL  ","DANUSR01","DANUSR01","2020-10-14 06:16:41","2020-10-14 06:16:41",""
"RIEIV8SC","RIEIV8SC       ","RIEIV8RR","AIC  ","DANUSR01","DANUSR01","2020-10-30 12:04:58","2020-10-30 12:04:58",""
"!4EI5S0B","!4EI5S0B       ","A-EI5D8F","MEL  ","KIDUENAS","KIDUENAS","2020-10-16 18:13:42","2020-10-16 18:13:42",""
")WEIASPX",")WEIASPX       ","=HEIAPW5","NDL  ","ARFELI01","ARFELI01","2020-10-19 12:05:25","2020-10-19 12:05:25",""
"RIEIV8SH","RIEIV8SH       ","RIEIV8RR","ABB  ","DANUSR01","DANUSR01","2020-10-30 12:05:57","2020-10-30 12:05:57",""
"RQEIVBKF","RQEIVBKF       ","R:EIVB7O","MEL  ","INPRON01","INPRON01","2020-10-30 12:53:03","2020-10-30 12:53:03",""
"A4E8XPCP","A4E8XPCP       ","A4E8XOXX","MEL  ","APP1MANS","APP1MANS","2020-04-20 03:31:41","2020-04-20 03:31:41",""
"!4E8ZGUA","!4E8ZGUA       ","!!E8YNWL","MEL  ","FJUSR01 ","FJUSR01 ","2020-04-21 01:24:54","2020-04-21 01:24:54",""
"!DE93NXJ","!DE93NXJ       ","!DE93K99","MEL  ","APP1MANS","APP1MANS","2020-04-23 08:47:08","2020-04-23 08:47:08",""
"J*E6SOO8","J*E6SOO8       ","P=E6K597","MEL  ","JCUSR01 ","JCUSR01 ","2020-03-09 12:08:27","2020-03-09 12:08:27",""
"AVE8YAYX","AVE8YAYX       ","AVE8YAJT","MEL  ","FJUSR01 ","FJUSR01 ","2020-04-20 11:18:36","2020-04-20 11:18:36",""
"J5E4FAY8","J5E4FAY8       ","J5E4FAXX","ABB  ","HSSUPR01","HSSUPR01","2020-01-23 09:30:21","2020-01-23 09:30:21",""
"J5E4FAZQ","J5E4FAZQ       ","J5E4FAZF","ABB  ","HSSUPR01","HSSUPR01","2020-01-23 09:46:00","2020-01-23 09:46:00",""
"3FE4FBS3","3FE4FBS3       ","3FE4FBRS","ABB  ","HSUSER01","HSUSER01","2020-01-23 09:57:11","2020-01-23 09:57:11",""
"FPE4MRO2","FPE4MRO2       ","FPE4MRNP","MEL  ","MGALING ","MGALING ","2020-01-27 10:34:21","2020-01-27 10:34:21",""
"@ME4QUQQ","@ME4QUQQ       ","E2E4RAUV","AM   ","BRIANMOK","BRIANMOK","2020-01-30 06:21:52","2020-01-30 06:21:52",""
"?ZE4CIAH","?ZE4CIAH       ","?ZE4CIA6","MEL  ","RPTINP01","RPTINP01","2020-01-22 11:49:54","2020-01-22 11:49:54",""
"AMDPAOW1","AMDPAOW1       ","AMDPAOVM","SYD  ","KANDERSO","KANDERSO","2019-04-04 15:50:05","2019-04-04 15:50:05",""
"A$DPARLT","A$DPARLT       ","A$DPARLG","SYD  ","KANDERSO","KANDERSO","2019-04-04 16:23:53","2019-04-04 16:23:53",""
"(KE4Q1AI","(KE4Q1AI       ","(KE4Q19S","SYD  ","WBAYERS ","WBAYERS ","2020-01-29 04:55:32","2020-01-29 04:55:32",""
"A4E8XOHA","A4E8XOHA       ","A4E8XOGV","MEL  ","APP1MANS","APP1MANS","2020-04-20 02:30:15","2020-04-20 02:30:15",""
"AME8XY16","AME8XY16       ","AME8XY0R","MEL  ","APP1MANS","APP1MANS","2020-04-20 05:39:13","2020-04-20 05:39:13",""
"A7E8Y5AU","A7E8Y5AU       ","A7E8Y5AF","MEL  ","APP1MANS","APP1MANS","2020-04-20 09:07:41","2020-04-20 09:07:41",""
"GZEF47W7","GZEF47W7       ","V-EF4H31","SYD  ","WBAYERS ","WBAYERS ","2020-08-18 15:21:41","2020-08-18 15:21:41",""
"GEEDOPS1","GEEDOPS1       ","VWEDOEXK","MEL  ","DJRHINPT","DJRHINPT","2020-07-21 18:45:21","2020-07-21 18:45:21",""
"GEEDOQ8U","GEEDOQ8U       ","VWEDOEXK","SYD  ","DJRHINPT","DJRHINPT","2020-07-21 18:51:15","2020-07-21 18:51:15",""
"V+EF49O9","V+EF49O9       ","V+EF49HF","SYD  ","ALNINP01","ALNINP01","2020-08-18 16:00:07","2020-08-18 16:00:07",""
"*#EF4PUK","*#EF4PUK       ","*#EF4PTL","SYD  ","WBAYERS ","WBAYERS ","2020-08-18 20:16:57","2020-08-18 20:16:57",""
"Y3EFEZQU","Y3EFEZQU       ","Y3EFEZQB","SYD  ","INPALN01","INPALN01","2020-08-24 10:21:50","2020-08-24 10:21:50",""
"EZEF8E3U","EZEF8E3U       ",")3EF892G","SYD  ","INPRON01","INPRON01","2020-08-20 20:08:35","2020-08-20 20:08:35",""
"YEEFEXS4","YEEFEXS4       ","YPEFEVVD","SYD  ","INPALN01","INPALN01","2020-08-24 09:20:35","2020-08-24 09:20:35",""
"Y@EFF0LM","Y@EFF0LM       ","Y@EFF0L8","SYD  ","CMARTILL","CMARTILL","2020-08-24 10:26:52","2020-08-24 10:26:52",""
"@*EFH8XD","@*EFH8XD       ","@*EFH8X0","SYD  ","INPALN01","INPALN01","2020-08-25 15:01:01","2020-08-25 15:01:01",""
"@MEFH7CI","@MEFH7CI       ","@MEFH6VL","SYD  ","INPDEL01","INPDEL01","2020-08-25 15:40:24","2020-08-25 15:40:24",""
"CAEFH7VS","CAEFH7VS       ","CAEFH7KI","SYD  ","INPROS01","INPROS01","2020-08-25 15:54:20","2020-08-25 15:54:20",""
"1)EFIXET","1)EFIXET       ","1KEFIX0F","SYD  ","INPALN01","INPALN01","2020-08-26 12:55:02","2020-08-26 12:55:02",""
"CTEFHBUZ","CTEFHBUZ       ","CTEFHBUM","SYD  ","INPALN01","INPALN01","2020-08-25 16:02:39","2020-08-25 16:02:39",""
"?NEFKSDL","?NEFKSDL       ","?NEFKRY6","SYD  ","INPALN01","INPALN01","2020-08-27 14:06:44","2020-08-27 14:06:44",""
"=UEFJ4XI","=UEFJ4XI       ","=UEFJ4X5","SYD  ","INPALN01","INPALN01","2020-08-26 15:33:23","2020-08-26 15:33:23",""
"XZEFL4J6","XZEFL4J6       ","N?EFL3EX","SYD  ","INPAMT01","INPAMT01","2020-08-27 18:21:02","2020-08-27 18:21:02",""
"N1EHN7FQ","N1EHN7FQ       ",";(EHLBAR","NDL  ","ARFELI01","ARFELI01","2020-10-06 17:35:10","2020-10-06 17:35:10",""
"50EH8DLW","50EH8DLW       ","5VEH8D99","MEL  ","MIGGY_IN","MIGGY_IN","2020-09-28 17:01:46","2020-09-28 17:01:46",""
"TAEHE258","TAEHE258       ",".*EHE1SI","MEL  ","MIGGY_IN","MIGGY_IN","2020-10-01 18:51:31","2020-10-01 18:51:31",""
"NSEHN59Y","NSEHN59Y       ","N=EHN4XA","MEL  ","MIGGY_IN","MIGGY_IN","2020-10-06 17:47:03","2020-10-06 17:47:03",""
"FQEHSIRE","FQEHSIRE       ","$$EHSFB1","NDL  ","ARFELI01","ARFELI01","2020-10-09 15:27:59","2020-10-09 15:27:59",""
"A@EHQNGD","A@EHQNGD       ","$$EHP6SW","MEL  ","MIGGY_IN","MIGGY_IN","2020-10-08 15:16:09","2020-10-08 15:16:09",""
"V(EHPIY9","V(EHPIY9       ","G#EHBNN9","MEL  ","MIGGY_IN","MIGGY_IN","2020-10-08 00:41:01","2020-10-08 00:41:01",""
"ZMEIA3HS","ZMEIA3HS       ","Z6EIA38Z","MEL  ","DANUSR01","DANUSR01","2020-10-19 02:06:16","2020-10-19 02:06:16",""
"Z8EHSLA1","Z8EHSLA1       ","$$EHSIFX","MEL  ","MIGGY_IN","MIGGY_IN","2020-10-09 16:26:34","2020-10-09 16:26:34",""
"M1EIEJND","M1EIEJND       ","MWEIEJAO","MEL  ","MIGGY_IN","MIGGY_IN","2020-10-21 11:26:55","2020-10-21 11:26:55",""
"MREIEIPR","MREIEIPR       ","M;EIEID2","MEL  ","MIGGY_IN","MIGGY_IN","2020-10-21 11:04:58","2020-10-21 11:04:58",""
"WAEIENK7","WAEIENK7       ","M*EIEN7I","MEL  ","INPAMT01","INPAMT01","2020-10-21 13:09:41","2020-10-21 13:09:41",""
"Q;EIIUNB","Q;EIIUNB       ",":REIIK9J","MEL  ","INPALN01","INPALN01","2020-10-23 19:45:39","2020-10-23 19:45:39",""
