"DPR_RID_DEAL_PERS","DPR_PID_DEAL","DPR_UID_USERID","DPR_TSP_REC_CREATE","DPR_TSP_REC_UPDATE","DPR_UID_REC_CREATE","DPR_UID_REC_UPDATE","DPR_IND_ACCESS_MGR","DPR_CDE_BRANCH"
"C6EFHAQ7","C6EFHAQ1","JAQUITAN","2020-08-25 16:13:24","2020-08-25 16:14:17","JAQUITAN","JAQUITAN","N","CG852"
"IREFMCPA","IREFMCO3","SMANZANO","2020-08-28 10:24:14","2020-08-28 10:54:49","SMANZANO","SMANZANO","N","CG852"
"#!EFTRNY","#!EFTRNS","CMARTILL","2020-09-01 09:25:09","2020-09-01 09:25:09","CMARTILL","CMARTILL","Y","CG852"
"#!EFTROG","#!EFTROA","CMARTILL","2020-09-01 09:27:06","2020-09-01 09:31:42","CMARTILL","CMARTILL","N","CG852"
"XGEI24BU","XGEI24BO","CESSINP1","2020-10-14 19:05:44","2020-10-14 19:06:26","CESSINP1","CESSINP1","N","CG852"
"I1EI277Z","I1EI277T","CESSINP1","2020-10-14 20:21:08","2020-10-14 20:21:54","CESSINP1","CESSINP1","N","CG852"
"#+EI35QC","#+EI35Q6","SMANZANO","2020-10-15 08:34:34","2020-10-15 08:58:39","SMANZANO","SMANZANO","N","CG852"
"#+EI35QH","#+EI35Q6","JAQUITAN","2020-10-15 08:34:44","2020-10-15 08:34:44","SMANZANO","SMANZANO","N","CG852"
"#+EI35QI","#+EI35Q6","INPCHER ","2020-10-15 08:34:44","2020-10-15 08:34:44","SMANZANO","SMANZANO","N","CG852"
":6EI3GEL",":6EI3GEF","LIQUSR03","2020-10-15 11:53:38","2020-10-15 12:17:00","LIQUSR03","LIQUSR03","N","CG852"
":YEI3DWT",":YEI3DWN","CESSINP1","2020-10-15 12:08:34","2020-10-15 12:09:35","CESSINP1","CESSINP1","N","CG852"
"G5EHQFK2","G5EHQFJW","ARFELI01","2020-10-08 11:12:11","2020-10-08 11:12:11","ARFELI01","ARFELI01","Y","CG852"
"+TEHQI72","+TEHQI6W","ARFELI01","2020-10-08 12:48:13","2020-10-08 12:48:13","ARFELI01","ARFELI01","Y","CG852"
"FYEHSEGD","FYEHSEG7","ARFELI01","2020-10-09 13:58:58","2020-10-09 14:01:41","ARFELI01","ARFELI01","N","CG852"
"9TEHSZ34","9TEHSZ2Y","CESSINP1","2020-10-09 20:17:52","2020-10-09 20:18:39","CESSINP1","CESSINP1","N","CG852"
"$QEI1OK2","$QEI1OJW","LIQUSR03","2020-10-14 13:02:12","2020-10-14 13:10:12","LIQUSR03","LIQUSR03","N","CG852"
":YEI3F1K",":YEI3F1E","CESSINP1","2020-10-15 12:44:51","2020-10-15 12:45:22","CESSINP1","CESSINP1","N","CG852"
":YEI3G9W",":YEI3G9Q","CESSINP1","2020-10-15 13:11:28","2020-10-15 13:11:58","CESSINP1","CESSINP1","N","CG852"
":YEI3LNH",":YEI3LNB","CESSINP1","2020-10-15 15:07:38","2020-10-15 15:08:08","CESSINP1","CESSINP1","N","CG852"
")=EIATZO",")=EIATZI","ARFELI01","2020-10-19 12:21:10","2020-10-19 12:25:00","ARFELI01","ARFELI01","N","CG852"
"#XEHOQ73","#XEHOQ6X","LIQSVR04","2020-10-07 11:21:58","2020-10-07 11:23:22","LIQSVR04","LIQSVR04","N","CG852"
"#XEHOQ78","#XEHOQ6X","LIQUSR05","2020-10-07 11:22:02","2020-10-07 11:22:02","LIQSVR04","LIQSVR04","N","CG852"
"G5EHQFKI","G5EHQFKC","ARFELI01","2020-10-08 11:24:53","2020-10-08 11:24:53","ARFELI01","ARFELI01","Y","CG852"
"+TEHQI5B","+TEHQI55","ARFELI01","2020-10-08 12:14:01","2020-10-08 12:14:01","ARFELI01","ARFELI01","Y","CG852"
"+TEHQI5Q","+TEHQI5K","ARFELI01","2020-10-08 12:27:02","2020-10-08 12:27:02","ARFELI01","ARFELI01","Y","CG852"
"+TEHQI64","+TEHQI5Y","ARFELI01","2020-10-08 12:33:20","2020-10-08 12:33:20","ARFELI01","ARFELI01","Y","CG852"
"+TEHQI6L","+TEHQI6F","ARFELI01","2020-10-08 12:39:33","2020-10-08 12:39:33","ARFELI01","ARFELI01","Y","CG852"
"+TEHQI7T","+TEHQI7N","ARFELI01","2020-10-08 13:03:35","2020-10-08 13:05:55","ARFELI01","ARFELI01","N","CG852"
"+TEHQI9U","+TEHQI9O","ARFELI01","2020-10-08 13:15:07","2020-10-08 13:17:30","ARFELI01","ARFELI01","N","CG852"
"+TEHQIIN","+TEHQIIH","ARFELI01","2020-10-08 13:31:24","2020-10-08 13:33:47","ARFELI01","ARFELI01","N","CG852"
"AREHQR62","AREHQR5W","ARFELI01","2020-10-08 16:00:43","2020-10-08 16:03:49","ARFELI01","ARFELI01","N","CG852"
"4GEHSAYU","4GEHSAYO","ARFELI01","2020-10-09 11:27:29","2020-10-09 11:30:46","ARFELI01","ARFELI01","N","CG852"
"4GEHSB1B","4GEHSB15","ARFELI01","2020-10-09 11:52:30","2020-10-09 11:56:07","ARFELI01","ARFELI01","N","CG852"
"4GEHSB3S","4GEHSB3M","ARFELI01","2020-10-09 12:10:56","2020-10-09 12:14:47","ARFELI01","ARFELI01","N","CG852"
"4GEHSB69","4GEHSB63","ARFELI01","2020-10-09 12:37:14","2020-10-09 12:40:16","ARFELI01","ARFELI01","N","CG852"
"F*EHSKAK","F*EHSKAE","ARFELI01","2020-10-09 15:46:22","2020-10-09 15:49:28","ARFELI01","ARFELI01","N","CG852"
")YEHXS83",")YEHXS7X","CESSINP1","2020-10-12 11:04:56","2020-10-12 11:05:56","CESSINP1","CESSINP1","N","CG852"
"ENEHXW2L","ENEHXW2F","CESSINP1","2020-10-12 13:02:50","2020-10-12 13:03:35","CESSINP1","CESSINP1","N","CG852"
"EXEHXWY4","EXEHXWXY","CESSINP1","2020-10-12 13:21:38","2020-10-12 13:22:17","CESSINP1","CESSINP1","N","CG852"
"EIEHXY81","EIEHXY7V","CESSINP1","2020-10-12 13:49:56","2020-10-12 13:50:54","CESSINP1","CESSINP1","N","CG852"
"E0EHXZP2","E0EHXZOW","CESSINP1","2020-10-12 14:21:24","2020-10-12 14:22:15","CESSINP1","CESSINP1","N","CG852"
"TAEHY1D8","TAEHY1D2","CESSINP1","2020-10-12 14:58:32","2020-10-12 14:59:36","CESSINP1","CESSINP1","N","CG852"
"TZEHY296","TZEHY290","CESSINP1","2020-10-12 15:16:37","2020-10-12 15:17:18","CESSINP1","CESSINP1","N","CG852"
".KEHY3KH",".KEHY3KB","DELINP01","2020-10-12 15:17:30","2020-10-12 15:21:22","DELINP01","DELINP01","N","CG852"
"T@EHY3MQ","T@EHY3MK","CESSINP1","2020-10-12 15:46:03","2020-10-12 15:46:44","CESSINP1","CESSINP1","N","CG852"
"$VEI1OYG","$VEI1OYA","CESSINP1","2020-10-14 13:17:19","2020-10-14 13:18:10","CESSINP1","CESSINP1","N","CG852"
")XEIRVRB",")XEIRVR5","TESTINP ","2020-10-28 16:37:12","2020-10-28 16:41:48","TESTINP ","TESTINP ","N","CG852"
")XEIRVSA",")XEIRVS4","TESTINP ","2020-10-28 16:49:28","2020-10-28 16:54:04","TESTINP ","TESTINP ","N","CG852"
"Q.EJEGLP","Q.EJEGLJ","CESSINP1","2020-11-09 21:42:55","2020-11-09 21:43:14","CESSINP1","CESSINP1","N","CG852"
"9EEK5YB5","9EEK5YAZ","SKOUSR01","2020-11-24 18:29:18","2020-11-24 18:29:33","SKOUSR01","SKOUSR01","N","CG852"
"E9EK7AX1","E9EK7AWV","SKOUSR01","2020-11-25 12:06:15","2020-11-25 12:06:29","SKOUSR01","SKOUSR01","N","CG852"
"42EHS9YK","42EHS9YE","LIQUSR03","2020-10-09 11:04:23","2020-10-09 11:37:19","LIQUSR03","LIQUSR03","N","CG852"
"F$EHSHR1","F$EHSHQV","ARFELI01","2020-10-09 14:45:39","2020-10-09 14:48:37","ARFELI01","ARFELI01","N","CG852"
".XEHY4LI",".XEHY4LC","LIQUSR03","2020-10-12 15:24:50","2020-10-12 15:32:08","LIQUSR03","LIQUSR03","N","CG852"
"@EEI01V1","@EEI01UV","LIQUSR05","2020-10-13 14:04:50","2020-10-13 14:10:04","LIQUSR05","LIQUSR05","N","CG852"
"!OEI5XYH","!OEI5XYB","DELINP01","2020-10-16 20:11:17","2020-10-16 20:14:16","DELINP01","DELINP01","N","CG852"
")UEIAL9X",")UEIAL9R","INPDEL01","2020-10-19 08:39:06","2020-10-19 08:42:40","INPDEL01","INPDEL01","N","CG852"
")9EIAMDV",")9EIAMDP","DELINP01","2020-10-19 09:00:33","2020-10-19 09:04:28","DELINP01","DELINP01","N","CG852"
")JEIAQH8",")JEIAQH2","DELINP01","2020-10-19 10:19:04","2020-10-19 10:19:04","DELINP01","DELINP01","Y","CG852"
")(EIAR38",")(EIAR32","DELINP01","2020-10-19 10:31:33","2020-10-19 10:34:13","DELINP01","DELINP01","N","CG852"
":VEJEE2F",":VEJEE29","CESSSUP1","2020-11-09 20:34:08","2020-11-09 20:34:27","CESSSUP1","CESSSUP1","N","CG852"
"ZUEJHS99","ZUEJHS93","FOULISTR","2020-11-11 14:07:12","2020-11-11 14:07:33","FOULISTR","FOULISTR","N","CB141"
"+OEH9ZCA","+OEH9ZC4","JAQUITAN","2020-09-29 14:20:02","2020-09-29 14:20:35","JAQUITAN","JAQUITAN","N","CG852"
"+OEH9ZCF","+OEH9ZC4","SMANZANO","2020-09-29 14:20:02","2020-09-29 14:20:02","JAQUITAN","JAQUITAN","N","CG852"
":+EJEFSC",":+EJEFS6","CESSINP1","2020-11-09 20:51:32","2020-11-09 20:51:50","CESSINP1","CESSINP1","N","CG852"
"UNEK5BS9","UNEK5BS3","SKOUSR01","2020-11-24 09:31:32","2020-11-24 09:31:48","SKOUSR01","SKOUSR01","N","CG852"
"9EEK5WE2","9EEK5WDW","SKOUSR01","2020-11-24 17:54:47","2020-11-24 17:55:02","SKOUSR01","SKOUSR01","N","CG852"
"AREHQR3L","AREHQR3F","ARFELI01","2020-10-08 15:23:44","2020-10-08 15:26:33","ARFELI01","ARFELI01","N","CG852"
"D3EI1MRR","D3EI1MRL","JAQUITAN","2020-10-14 13:37:12","2020-10-14 13:38:03","JAQUITAN","JAQUITAN","N","CG852"
"D3EI1MRW","D3EI1MRL","INPCHER ","2020-10-14 13:37:15","2020-10-14 13:37:15","JAQUITAN","JAQUITAN","N","CG852"
"I1EI2758","I1EI2752","CESSINP1","2020-10-14 19:50:51","2020-10-14 19:51:29","CESSINP1","CESSINP1","N","CG852"
":YEI3DTA",":YEI3DT4","CESSINP1","2020-10-15 11:28:07","2020-10-15 11:28:46","CESSINP1","CESSINP1","N","CG852"
":YEI3J7N",":YEI3J7H","CESSINP1","2020-10-15 14:14:55","2020-10-15 14:15:26","CESSINP1","CESSINP1","N","CG852"
"*4EI53P8","*4EI53P2","ARFELI01","2020-10-16 09:17:24","2020-10-16 09:21:56","ARFELI01","ARFELI01","N","CG852"
"O#EIBD86","O#EIBD80","CESSINP1","2020-10-19 18:46:40","2020-10-19 18:46:59","CESSINP1","CESSINP1","N","CG852"
"E9EK76AB","E9EK76A5","SKOUSR01","2020-11-25 09:08:47","2020-11-25 09:09:02","SKOUSR01","SKOUSR01","N","CG852"
"E9EK76CC","E9EK76C6","SKOUSR01","2020-11-25 09:21:49","2020-11-25 09:22:03","SKOUSR01","SKOUSR01","N","CG852"
"E9EK7BRX","E9EK7BRR","SKOUSR01","2020-11-25 12:24:47","2020-11-25 12:25:02","SKOUSR01","SKOUSR01","N","CG852"
"E9EK7CNK","E9EK7CNE","SKOUSR01","2020-11-25 12:43:46","2020-11-25 12:44:00","SKOUSR01","SKOUSR01","N","CG852"
