"IMT_RID_IMT_OUT","IMT_CDE_MSG_TYPE","IMT_RID_OWNER","IMT_CDE_OWNER_TYPE","IMT_RID_CASHFLOW","IMT_CDE_CURRENCY","IMT_AMT_OUT_TOT","IMT_TSP_REC_CREATE","IMT_TSP_REC_UPDATE","IMT_UID_REC_CREATE","IMT_UID_REC_UPDATE","IMT_CDE_INST_CODE","IMT_TXT_REG_REF","IMT_TXT_ADD_INFO","IMT_TSP_ITEM_SENT","IMT_DTE_BUSINESS","IMT_DTE_VALUE_DATE","IMT_PID_DEAL","IMT_PID_FACILITY","IMT_NUM_SEQUENCE","IMT_CDE_QUEUE_STAT","IMT_CDE_BRANCH","IMT_CDE_SERVICE","IMT_CDE_DTLS_CHGES","IMT_IND_SDAY_FUNDS","IMT_CDE_BNK_OP","IMT_TXT_ADD_PARTY","IMT_TXT_PAYMT_DTLS","IMT_TXT_SDR_RVR_TX","IMT_DSC_NARRATIVE","IMT_TXT_UETR_CDE"
"W7EAFEP8","MT202","WDEAFCK6","LRP  ","WDEAFD4D","AUD","300000","2020-05-19 10:14:05","2020-05-19 10:14:05","RPTSUP01","RPTSUP01","     ","                                   ","                              ","","2020-05-27 00:00:00","2020-05-27 00:00:00","84E9O3EO","NONE    ","","PEND ","CB001","MANL ","     ","","     "," "," "," "," ","bc8df60f-fac9-4967-aadc-dbfb8cf83c2e"
"W7EAFEO7","MT103","WDEAFCK6","LRP  ","WDEAFD4D","AUD","300000","2020-05-19 10:14:05","2020-05-19 10:14:05","RPTSUP01","RPTSUP01","     ","                                   ","                              ","","2020-05-27 00:00:00","2020-05-27 00:00:00","84E9O3EO","NONE    ","","PEND ","CB001","MANL ","BEN  ","","CRED "," "," "," "," ","bc8df60f-fac9-4967-aadc-dbfb8cf83c2e"
"ZNEE598L","MT202","ZDEE580B","OTR  ","ZDEE5886","AUD","1000000","2020-07-30 16:46:34","2020-07-30 16:46:34","RPTMGR01","RPTMGR01","     ","                                   ","                              ","","2020-06-02 00:00:00","2020-06-02 00:00:00","U9EE1Z7N","UEEE1ZR7","","PEND ","CB001","MANL ","     ","","     "," "," "," "," ","e9b07329-02b1-4acb-a586-80825d922d10"
"ZNEE598F","MT103","ZDEE580B","OTR  ","ZDEE5886","AUD","1000000","2020-07-30 16:46:34","2020-07-30 16:46:34","RPTMGR01","RPTMGR01","     ","                                   ","                              ","","2020-06-02 00:00:00","2020-06-02 00:00:00","U9EE1Z7N","UEEE1ZR7","","PEND ","CB001","MANL ","BEN  ","","CRED "," "," "," "," ","e9b07329-02b1-4acb-a586-80825d922d10"
".*EE7H6N","MT202",".VEE7FYN","OTR  ",".VEE7G6G","AUD","1000000","2020-07-31 21:26:28","2020-07-31 21:26:28","RPTMGR01","RPTMGR01","     ","                                   ","                              ","","2020-06-02 00:00:00","2020-06-02 00:00:00",".WEE7DBE",".$EE7DV4","","PEND ","CB001","MANL ","     ","","     "," "," "," "," ","c7cde343-bd91-467b-ae22-80960c8b48e6"
".*EE7H6H","MT103",".VEE7FYN","OTR  ",".VEE7G6G","AUD","1000000","2020-07-31 21:26:28","2020-07-31 21:26:28","RPTMGR01","RPTMGR01","     ","                                   ","                              ","","2020-06-02 00:00:00","2020-06-02 00:00:00",".WEE7DBE",".$EE7DV4","","PEND ","CB001","MANL ","BEN  ","","CRED "," "," "," "," ","c7cde343-bd91-467b-ae22-80960c8b48e6"
"T#EEBHOI","MT202","TIEEBGGU","OTR  ","TIEEBGOR","AUD","1000000","2020-08-03 02:23:08","2020-08-03 02:23:08","RPTMGR01","RPTMGR01","     ","                                   ","                              ","","2020-06-02 00:00:00","2020-06-02 00:00:00","T1EEBD4J","T$EEBE1J","","PEND ","CB001","MANL ","     ","","     "," "," "," "," ","81149d3b-2f9f-4c53-b525-1770cf1fc226"
"T#EEBHOC","MT103","TIEEBGGU","OTR  ","TIEEBGOR","AUD","1000000","2020-08-03 02:23:08","2020-08-03 02:23:08","RPTMGR01","RPTMGR01","     ","                                   ","                              ","","2020-06-02 00:00:00","2020-06-02 00:00:00","T1EEBD4J","T$EEBE1J","","PEND ","CB001","MANL ","BEN  ","","CRED "," "," "," "," ","81149d3b-2f9f-4c53-b525-1770cf1fc226"
"8KEEBREV","MT202","8!EEBQ77","OTR  ","8!EEBQF0","AUD","1000000","2020-08-03 04:51:43","2020-08-03 04:51:43","RPTMGR01","RPTMGR01","     ","                                   ","                              ","","2020-06-02 00:00:00","2020-06-02 00:00:00","TQEEBNKY","TLEEBO4G","","PEND ","CB001","MANL ","     ","","     "," "," "," "," ","cff759e3-a4c2-4be5-8dc8-53bb432a1bb6"
"8KEEBREP","MT103","8!EEBQ77","OTR  ","8!EEBQF0","AUD","1000000","2020-08-03 04:51:43","2020-08-03 04:51:43","RPTMGR01","RPTMGR01","     ","                                   ","                              ","","2020-06-02 00:00:00","2020-06-02 00:00:00","TQEEBNKY","TLEEBO4G","","PEND ","CB001","MANL ","BEN  ","","CRED "," "," "," "," ","cff759e3-a4c2-4be5-8dc8-53bb432a1bb6"
"8@EEBWPA","MT202","8JEEBVHM","OTR  ","8JEEBVPH","AUD","1000000","2020-08-03 07:05:24","2020-08-03 07:05:24","RPTMGR01","RPTMGR01","     ","                                   ","                              ","","2020-06-02 00:00:00","2020-06-02 00:00:00","8ZEEBSVD","8)EEBTEV","","PEND ","CB001","MANL ","     ","","     "," "," "," "," ","1412d386-7009-4bf7-970f-7eb498ad71d5"
"8@EEBWP4","MT103","8JEEBVHM","OTR  ","8JEEBVPH","AUD","1000000","2020-08-03 07:05:24","2020-08-03 07:05:24","RPTMGR01","RPTMGR01","     ","                                   ","                              ","","2020-06-02 00:00:00","2020-06-02 00:00:00","8ZEEBSVD","8)EEBTEV","","PEND ","CB001","MANL ","BEN  ","","CRED "," "," "," "," ","1412d386-7009-4bf7-970f-7eb498ad71d5"
"CREEGIRN","MT103","C@EEGHJK","OTR  ","C@EEGHRN","AUD","1000000","2020-08-05 18:52:08","2020-08-05 18:52:08","RPTMGR01","RPTMGR01","     ","                                   ","                              ","","2020-07-06 00:00:00","2020-07-06 00:00:00","@5EEG9QM","@VEEGAA8","","PEND ","CB001","MANL ","BEN  ","","CRED "," "," "," "," ","57e9a1b6-361a-49a5-84cc-233d4ec072a9"
"CREEGIRT","MT202","C@EEGHJK","OTR  ","C@EEGHRN","AUD","1000000","2020-08-05 18:52:08","2020-08-05 18:52:08","RPTMGR01","RPTMGR01","     ","                                   ","                              ","","2020-07-06 00:00:00","2020-07-06 00:00:00","@5EEG9QM","@VEEGAA8","","PEND ","CB001","MANL ","     ","","     "," "," "," "," ","57e9a1b6-361a-49a5-84cc-233d4ec072a9"
"MQEEISSE","MT202","M#EEIRJZ","OTR  ","M#EEIRRY","AUD","1000000","2020-08-07 00:07:46","2020-08-07 00:07:46","RPTMGR01","RPTMGR01","     ","                                   ","                              ","","2020-07-06 00:00:00","2020-07-06 00:00:00","MDEEIOWZ","MSEEIPGN","","PEND ","CB001","MANL ","     ","","     "," "," "," "," ","c29e11a9-e231-40e7-b29a-fc973f388978"
"MQEEISS8","MT103","M#EEIRJZ","OTR  ","M#EEIRRY","AUD","1000000","2020-08-07 00:07:46","2020-08-07 00:07:46","RPTMGR01","RPTMGR01","     ","                                   ","                              ","","2020-07-06 00:00:00","2020-07-06 00:00:00","MDEEIOWZ","MSEEIPGN","","PEND ","CB001","MANL ","BEN  ","","CRED "," "," "," "," ","c29e11a9-e231-40e7-b29a-fc973f388978"
"(OE9S8EI","MT202","(8E9S82C","ACP  ","(8E9S838","AUD","55000","2020-05-06 23:03:28","2020-05-06 23:03:28","RPTSUP01","RPTSUP01","     ","                                   ","                              ","","2020-04-28 00:00:00","2020-04-28 00:00:00","84E9O3EO","NONE    ","","PEND ","CB001","MANL ","     ","","     "," "," "," "," ","4c98b9cf-3a07-4d72-a28c-b9459a59242f"
"(OE9S8EB","MT103","(8E9S82C","ACP  ","(8E9S838","AUD","55000","2020-05-06 23:03:28","2020-05-06 23:03:28","RPTSUP01","RPTSUP01","     ","                                   ","                              ","","2020-04-28 00:00:00","2020-04-28 00:00:00","84E9O3EO","NONE    ","","PEND ","CB001","MANL ","BEN  ","","CRED "," "," "," "," ","4c98b9cf-3a07-4d72-a28c-b9459a59242f"
"?GEBX8LF","MT202","?2EBX2ON","OTR  ","?2EBX2RH","EUR","1000000","2020-06-17 11:20:12","2020-06-17 11:20:12","RPTSUPAM","RPTSUPAM","     ","                                   ","                              ","","2020-05-27 00:00:00","2020-05-27 00:00:00","?.EBVNFE","?REBVOYO","","PEND ","CG852","MANL ","     ","","     "," "," "," "," ","5d0a0a14-592e-4223-93c1-8cf8094992c7"
"?GEBX8L9","MT103","?2EBX2ON","OTR  ","?2EBX2RH","EUR","1000000","2020-06-17 11:20:12","2020-06-17 11:20:12","RPTSUPAM","RPTSUPAM","     ","                                   ","                              ","","2020-05-27 00:00:00","2020-05-27 00:00:00","?.EBVNFE","?REBVOYO","","PEND ","CG852","MANL ","BEN  ","","CRED "," "," "," "," ","5d0a0a14-592e-4223-93c1-8cf8094992c7"
"SCEBYVSB","MT202","SJEBYUHT","OTR  ","SJEBYUL7","EUR","1000000","2020-06-18 10:09:50","2020-06-18 10:09:50","RPTSUPAM","RPTSUPAM","     ","                                   ","                              ","","2020-05-27 00:00:00","2020-05-27 00:00:00","SUEBXL0I","SUEBXL2B","","PEND ","CG852","MANL ","     ","","     "," "," "," "," ","3e059660-e366-4b81-a803-a1814a63a30e"
"SCEBYVS5","MT103","SJEBYUHT","OTR  ","SJEBYUL7","EUR","1000000","2020-06-18 10:09:50","2020-06-18 10:09:50","RPTSUPAM","RPTSUPAM","     ","                                   ","                              ","","2020-05-27 00:00:00","2020-05-27 00:00:00","SUEBXL0I","SUEBXL2B","","PEND ","CG852","MANL ","BEN  ","","CRED "," "," "," "," ","3e059660-e366-4b81-a803-a1814a63a30e"
"SWEBYZW4","MT103","SREBYXVB","OTR  ","SREBYYR9","EUR","5000000","2020-06-18 11:35:07","2020-06-18 11:35:07","RPTSUPAM","RPTSUPAM","     ","                                   ","                              ","","2020-05-27 00:00:00","2020-05-27 00:00:00","?.EBVNFE","?XEBVXIH","","PEND ","CG852","MANL ","BEN  ","","CRED "," "," "," "," ","58f5ad0b-077d-4b31-955c-547fe73d7331"
"SWEBYZWA","MT202","SREBYXVB","OTR  ","SREBYYR9","EUR","5000000","2020-06-18 11:35:07","2020-06-18 11:35:07","RPTSUPAM","RPTSUPAM","     ","                                   ","                              ","","2020-05-27 00:00:00","2020-05-27 00:00:00","?.EBVNFE","?XEBVXIH","","PEND ","CG852","MANL ","     ","","     "," "," "," "," ","58f5ad0b-077d-4b31-955c-547fe73d7331"
"S$EBZ1NI","MT103","SHEBZ0EO","OTR  ","SHEBZ0HX","EUR","100000","2020-06-18 11:51:21","2020-06-18 11:51:21","RPTSUPAM","RPTSUPAM","     ","                                   ","                              ","","2020-05-27 00:00:00","2020-05-29 00:00:00","?.EBVNFE","?REBVOYO","","PEND ","CG852","MANL ","BEN  ","","CRED "," "," "," "," ","a2eb86e2-8719-40d3-8581-0e33a7fc9a50"
"S$EBZ1NO","MT202","SHEBZ0EO","OTR  ","SHEBZ0HX","EUR","100000","2020-06-18 11:51:21","2020-06-18 11:51:21","RPTSUPAM","RPTSUPAM","     ","                                   ","                              ","","2020-05-27 00:00:00","2020-05-29 00:00:00","?.EBVNFE","?REBVOYO","","PEND ","CG852","MANL ","     ","","     "," "," "," "," ","a2eb86e2-8719-40d3-8581-0e33a7fc9a50"
"SBEBZ59T","MT103","SDEBZ248","OTR  ","SNEBZ3DG","EUR","2000000","2020-06-18 12:31:26","2020-06-18 12:31:26","RPTSUPAM","RPTSUPAM","     ","                                   ","                              ","","2020-05-27 00:00:00","2020-05-27 00:00:00","SUEBXL0I","SUEBXL2B","","PEND ","CG852","MANL ","BEN  ","","CRED "," "," "," "," ","4f0faad6-cc0f-4c85-9bcc-c44afa5192db"
"SBEBZ59Z","MT202","SDEBZ248","OTR  ","SNEBZ3DG","EUR","2000000","2020-06-18 12:31:26","2020-06-18 12:31:26","RPTSUPAM","RPTSUPAM","     ","                                   ","                              ","","2020-05-27 00:00:00","2020-05-27 00:00:00","SUEBXL0I","SUEBXL2B","","PEND ","CG852","MANL ","     ","","     "," "," "," "," ","4f0faad6-cc0f-4c85-9bcc-c44afa5192db"
"9PEE5DVX","MT202","Z*EE5CNN","OTR  ","Z*EE5CVG","AUD","1000000","2020-07-30 18:19:58","2020-07-30 18:19:58","RPTMGR01","RPTMGR01","     ","                                   ","                              ","","2020-06-02 00:00:00","2020-06-02 00:00:00","ZIEE5A0N","ZBEE5AKB","","PEND ","CB001","MANL ","     ","","     "," "," "," "," ","f73ddca5-86a5-4f22-8c13-1814ab1e7920"
"9PEE5DVR","MT103","Z*EE5CNN","OTR  ","Z*EE5CVG","AUD","1000000","2020-07-30 18:19:58","2020-07-30 18:19:58","RPTMGR01","RPTMGR01","     ","                                   ","                              ","","2020-06-02 00:00:00","2020-06-02 00:00:00","ZIEE5A0N","ZBEE5AKB","","PEND ","CB001","MANL ","BEN  ","","CRED "," "," "," "," ","f73ddca5-86a5-4f22-8c13-1814ab1e7920"
"E.EE6TJC","MT103","E9EE6SBI","OTR  ","E9EE6SJB","AUD","1000000","2020-07-31 12:55:33","2020-07-31 12:55:33","RPTMGR01","RPTMGR01","     ","                                   ","                              ","","2020-06-02 00:00:00","2020-06-02 00:00:00",")1EE6DJS",")$EE6EEK","","PEND ","CB001","MANL ","BEN  ","","CRED "," "," "," "," ","1078618c-94c5-484d-886d-581c35a59992"
"E.EE6TJI","MT202","E9EE6SBI","OTR  ","E9EE6SJB","AUD","1000000","2020-07-31 12:55:33","2020-07-31 12:55:33","RPTMGR01","RPTMGR01","     ","                                   ","                              ","","2020-06-02 00:00:00","2020-06-02 00:00:00",")1EE6DJS",")$EE6EEK","","PEND ","CB001","MANL ","     ","","     "," "," "," "," ","1078618c-94c5-484d-886d-581c35a59992"
"EXEE6ZHG","MT202","E=EE6Y9G","OTR  ","E=EE6YHD","AUD","1000000","2020-07-31 15:16:12","2020-07-31 15:16:12","RPTMGR01","RPTMGR01","     ","                                   ","                              ","","2020-06-02 00:00:00","2020-06-02 00:00:00",").EE5W54",")8EE5WOU","","PEND ","CB001","MANL ","     ","","     "," "," "," "," ","f80bf88c-e182-47b6-8cba-e274a150975b"
"EXEE6ZHA","MT103","E=EE6Y9G","OTR  ","E=EE6YHD","AUD","1000000","2020-07-31 15:16:12","2020-07-31 15:16:12","RPTMGR01","RPTMGR01","     ","                                   ","                              ","","2020-06-02 00:00:00","2020-06-02 00:00:00",").EE5W54",")8EE5WOU","","PEND ","CB001","MANL ","BEN  ","","CRED "," "," "," "," ","f80bf88c-e182-47b6-8cba-e274a150975b"
"J-EEESFT","MT103","JXEEER7R","OTR  ","JXEEERFW","AUD","1000000","2020-08-04 20:10:49","2020-08-04 20:10:49","RPTMGR01","RPTMGR01","     ","                                   ","                              ","","2020-07-03 00:00:00","2020-07-03 00:00:00","JMEEEOKZ","J1EEEP4J","","PEND ","CB001","MANL ","BEN  ","","CRED "," "," "," "," ","bb6d24d0-160a-4e1f-b660-8a0944141273"
"J-EEESFZ","MT202","JXEEER7R","OTR  ","JXEEERFW","AUD","1000000","2020-08-04 20:10:49","2020-08-04 20:10:49","RPTMGR01","RPTMGR01","     ","                                   ","                              ","","2020-07-03 00:00:00","2020-07-03 00:00:00","JMEEEOKZ","J1EEEP4J","","PEND ","CB001","MANL ","     ","","     "," "," "," "," ","bb6d24d0-160a-4e1f-b660-8a0944141273"
"3!EEEWSI","MT103","J+EEEVKG","OTR  ","J+EEEVSL","AUD","1000000","2020-08-04 21:36:16","2020-08-04 21:36:16","RPTMGR01","RPTMGR01","     ","                                   ","                              ","","2020-07-03 00:00:00","2020-07-03 00:00:00","J#EEESXO","J:EEETH8","","PEND ","CB001","MANL ","BEN  ","","CRED "," "," "," "," ","9b201288-2618-432f-8b0e-b8750b4742b3"
"3!EEEWSO","MT202","J+EEEVKG","OTR  ","J+EEEVSL","AUD","1000000","2020-08-04 21:36:16","2020-08-04 21:36:16","RPTMGR01","RPTMGR01","     ","                                   ","                              ","","2020-07-03 00:00:00","2020-07-03 00:00:00","J#EEESXO","J:EEETH8","","PEND ","CB001","MANL ","     ","","     "," "," "," "," ","9b201288-2618-432f-8b0e-b8750b4742b3"
"3REEF6TB","MT202","3@EEF5L0","OTR  ","3@EEF5T1","AUD","1000000","2020-08-05 01:19:53","2020-08-05 01:19:53","RPTMGR01","RPTMGR01","     ","                                   ","                              ","","2020-07-03 00:00:00","2020-07-03 00:00:00","3TEEF3FJ","3OEEF3Z5","","PEND ","CB001","MANL ","     ","","     "," "," "," "," ","e6a6b64c-3417-478b-a322-cacf2d3dac43"
"3REEF6T5","MT103","3@EEF5L0","OTR  ","3@EEF5T1","AUD","1000000","2020-08-05 01:19:53","2020-08-05 01:19:53","RPTMGR01","RPTMGR01","     ","                                   ","                              ","","2020-07-03 00:00:00","2020-07-03 00:00:00","3TEEF3FJ","3OEEF3Z5","","PEND ","CB001","MANL ","BEN  ","","CRED "," "," "," "," ","e6a6b64c-3417-478b-a322-cacf2d3dac43"
"3IEEFLOA","MT202","37EEFKFZ","OTR  ","37EEFKO4","AUD","1000000","2020-08-05 07:35:59","2020-08-05 07:35:59","RPTMGR01","RPTMGR01","     ","                                   ","                              ","","2020-07-03 00:00:00","2020-07-03 00:00:00","3MEEFHAZ","3HEEFI36","","PEND ","CB001","MANL ","     ","","     "," "," "," "," ","d5550f97-f993-47f8-992d-5f4890d9f37b"
"3IEEFLO4","MT103","37EEFKFZ","OTR  ","37EEFKO4","AUD","1000000","2020-08-05 07:35:59","2020-08-05 07:35:59","RPTMGR01","RPTMGR01","     ","                                   ","                              ","","2020-07-03 00:00:00","2020-07-03 00:00:00","3MEEFHAZ","3HEEFI36","","PEND ","CB001","MANL ","BEN  ","","CRED "," "," "," "," ","d5550f97-f993-47f8-992d-5f4890d9f37b"
"YJE9PNCK","MT202","Y8E9PM11","OTR  ","Y8E9PM8U","AUD","1000000","2020-05-05 12:45:42","2020-05-05 12:45:42","RPTMGR01","RPTMGR01","     ","                                   ","                              ","","2020-04-27 00:00:00","2020-04-27 00:00:00","84E9O3EO","8TE9O5FQ","","PEND ","CB001","MANL ","     ","","     "," "," "," "," ","df648670-a9a6-4193-b511-e504a8ce03cd"
"YJE9PNCE","MT103","Y8E9PM11","OTR  ","Y8E9PM8U","AUD","1000000","2020-05-05 12:45:42","2020-05-05 12:45:42","RPTMGR01","RPTMGR01","     ","                                   ","                              ","","2020-04-27 00:00:00","2020-04-27 00:00:00","84E9O3EO","8TE9O5FQ","","PEND ","CB001","MANL ","BEN  ","","CRED "," "," "," "," ","df648670-a9a6-4193-b511-e504a8ce03cd"
"Q=EDHED5","MT202","QWEDHD7B","OTR  ","QWEDHDDC","AUD","90000","2020-07-17 21:00:06","2020-07-17 21:00:06","RPTMGR01","RPTMGR01","     ","                                   ","                              ","","2020-05-27 00:00:00","2020-05-27 00:00:00","Q@EDHBUF","Q@EDHBVK","","PEND ","CB001","MANL ","     ","","     "," "," "," "," ","a0d332ac-655d-444c-a1cf-c4f7b47f61c6"
"Q=EDHECZ","MT103","QWEDHD7B","OTR  ","QWEDHDDC","AUD","90000","2020-07-17 21:00:06","2020-07-17 21:00:06","RPTMGR01","RPTMGR01","     ","                                   ","                              ","","2020-05-27 00:00:00","2020-05-27 00:00:00","Q@EDHBUF","Q@EDHBVK","","PEND ","CB001","MANL ","BEN  ","","CRED "," "," "," "," ","a0d332ac-655d-444c-a1cf-c4f7b47f61c6"
"5CEDML41","MT202","5JEDMK86","OTR  ","5JEDMKAH","AUD","90000","2020-07-20 16:08:12","2020-07-20 16:08:12","RPTMGR01","RPTMGR01","     ","                                   ","                              ","","2020-05-27 00:00:00","2020-05-27 00:00:00","58EDMIL7","58EDMIXA","","PEND ","CB001","MANL ","     ","","     "," "," "," "," ","60abface-ae4a-4d97-96c4-a5eea785f292"
"5CEDML3V","MT103","5JEDMK86","OTR  ","5JEDMKAH","AUD","90000","2020-07-20 16:08:12","2020-07-20 16:08:12","RPTMGR01","RPTMGR01","     ","                                   ","                              ","","2020-05-27 00:00:00","2020-05-27 00:00:00","58EDMIL7","58EDMIXA","","PEND ","CB001","MANL ","BEN  ","","CRED "," "," "," "," ","60abface-ae4a-4d97-96c4-a5eea785f292"
"6?EEIE60","MT103","6WEEICXU","OTR  ","6WEEID5V","AUD","1000000","2020-08-06 19:05:41","2020-08-06 19:05:41","RPTMGR01","RPTMGR01","     ","                                   ","                              ","","2020-07-06 00:00:00","2020-07-06 00:00:00","6YEEIAAU","63EEIAUI","","PEND ","CB001","MANL ","BEN  ","","CRED "," "," "," "," ","601c9642-bb11-4d6b-899b-7f88b793cf0a"
"6?EEIE66","MT202","6WEEICXU","OTR  ","6WEEID5V","AUD","1000000","2020-08-06 19:05:41","2020-08-06 19:05:41","RPTMGR01","RPTMGR01","     ","                                   ","                              ","","2020-07-06 00:00:00","2020-07-06 00:00:00","6YEEIAAU","63EEIAUI","","PEND ","CB001","MANL ","     ","","     "," "," "," "," ","601c9642-bb11-4d6b-899b-7f88b793cf0a"
"MFEEIISQ","MT103","M4EEIHKK","OTR  ","M4EEIHSJ","AUD","1000000","2020-08-06 21:11:46","2020-08-06 21:11:46","RPTMGR01","RPTMGR01","     ","                                   ","                              ","","2020-07-06 00:00:00","2020-07-06 00:00:00","6BEEIEXK","6LEEIFH8","","PEND ","CB001","MANL ","BEN  ","","CRED "," "," "," "," ","a901d689-857e-40d1-9152-d2d4b44d75ef"
"MFEEIISW","MT202","M4EEIHKK","OTR  ","M4EEIHSJ","AUD","1000000","2020-08-06 21:11:46","2020-08-06 21:11:46","RPTMGR01","RPTMGR01","     ","                                   ","                              ","","2020-07-06 00:00:00","2020-07-06 00:00:00","6BEEIEXK","6LEEIFH8","","PEND ","CB001","MANL ","     ","","     "," "," "," "," ","a901d689-857e-40d1-9152-d2d4b44d75ef"
"1UEEJMVH","MT103","1!EEJLCQ","OTR  ","1!EEJLKP","AUD","1000000","2020-08-07 12:02:14","2020-08-07 12:02:14","JOBMANGR","JOBMANGR","     ","                                   ","                              ","","2020-07-07 00:00:00","2020-07-07 00:00:00","HLEEJHG3","HGEEJIJZ","","PEND ","CB001","MANL ","BEN  ","","CRED "," "," "," "," ","4f24fc2f-b724-4859-a120-68e0916a858e"
