ORT_RID_MF_RATES,ORT_RID_OUTSTANDNG,ORT_TSP_REC_CREATE,ORT_TSP_REC_UPDATE,ORT_UID_REC_CREATE,ORT_UID_REC_UPDATE,ORT_CDE_OWNER_TYPE,ORT_IND_ADVANCE,ORT_IND_FLAT_AMT,ORT_IND_AVG_RATE,ORT_PCT_MARGIN,ORT_IND_AUTO_COF,ORT_AMT_MINIMUM,ORT_PCT_BASE_RATE,ORT_PCT_COST_FUND,ORT_PCT_SPREAD,ORT_CDE_RATE_BASIS,ORT_DTE_FLT_RTE_ST,ORT_DTE_FLT_SPR_ST,ORT_CDE_MFCF_RT_BS,ORT_CDE_FEE_TYPE,ORT_PCT_RAC_RATE,ORT_NUM_OVRD_PRCSN,ORT_RTE_EFFECTIVE,ORT_AMT_NET_PR_VAL,ORT_PCT_SWAP_RCVE,ORT_IND_FIX_SPREAD,ORT_PCT_PRIOR_BASE,ORT_PCT_PRIOR_SPRD,ORT_NUM_SPCFC_DAY,ORT_IND_SYNC_BILL,ORT_PCT_PRF_FORMLA,ORT_CDE_PRF_USAGE,ORT_PCT_BALI_RATE,ORT_IND_CAP_OVRIDE,ORT_IND_FLR_OVRIDE,ORT_PCT_PNLTY_SPRD,ORT_CDE_PNLTY_STAT,ORT_IND_INTPL_RATE,ORT_CDE_BASE_RATE,ORT_CDE_BRANCH
(7EFHH3S,(7EFHH3M,2020-08-25 15:10:04,2020-08-25 15:26:09,CMARTILL,CMARTILL,"LOAN ",N,N,N,0,N,,0.019,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.042,N,N,0,"OFF  ",N,"FIX  ",CG852
(7EFHHE9,(7EFHHE2,2020-08-25 16:07:21,2020-08-25 17:18:22,CMARTILL,RPTSUP01,"LOAN ",N,N,N,0,N,,0.017,,0.023,"G365 ",,2020-05-27 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.04,N,N,0,"OFF  ",N,"FIX  ",CG852
(7EFHXAG,(7EFHXA9,2020-08-25 17:34:25,2020-08-25 17:59:04,CMARTILL,RPTSUP01,"LOAN ",N,N,N,0,N,,0.021,,0.023,"G365 ",,2020-05-27 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.044,N,N,0,"OFF  ",N,"FIX  ",CG852
(DEFGR2D,(DEFGR26,2020-08-25 09:36:48,2020-08-25 11:33:14,SMANZANO,MANZANOM,"LOAN ",N,N,N,0,N,,0.02,,0.04,"G365 ",,2020-05-27 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.06,N,N,0,"OFF  ",N,LIBOR,CG852
(REFFNA2,(REFFN9V,2020-08-24 19:25:56,2020-08-24 19:28:30,SMANZANO,SMANZANO,"LOAN ",N,N,N,0,N,,0.02,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.06,N,N,0,"OFF  ",N,LIBOR,CG852
(VEHZRVK,(VEHZRVD,2020-10-13 13:22:59,2020-10-13 13:54:31,CMARTILL,RPTSUP01,"LOAN ",N,N,N,0,N,,0.04,,0.02,"G365 ",,2021-03-01 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.06,N,N,0,"OFF  ",N,LIBOR,CG852
(VEHZXGP,(VEHZXGI,2020-10-13 15:35:14,2020-10-13 16:01:48,CMARTILL,RPTSUP01,"LOAN ",N,N,N,0,N,,0.05,,0.02,"G365 ",,2021-03-01 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.07,N,N,0,"OFF  ",N,LIBOR,CG852
)JEIRPH8,)JEIRPGX,2020-10-28 14:58:12,2020-10-28 15:06:57,SMANZANO,MANZANOM,"LOAN ",N,N,N,0,N,,0.02,,0.02,"G365 ",,2021-08-09 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.04,N,N,0,"OFF  ",N,LIBOR,CG852
)PEF84DY,)PEF84DR,2020-08-20 17:53:05,2020-08-20 17:53:46,JAQUITAN,JAQUITAN,"LOAN ",N,N,N,0,N,,0.02,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.06,N,N,0,"OFF  ",N,LIBOR,CG852
+.EHA56X,+.EHA56R,2020-09-29 15:18:12,2020-10-07 13:45:48,LIQUSR05,LIQUSR05,"LOAN ",N,N,N,0,N,,0.00416,,0.02,"G365 ",,2020-07-08 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.02416,N,N,0,"OFF  ",N,LIBOR,CG852
+.EHA6G7,+.EHA6G1,2020-09-29 15:48:49,2020-10-08 09:48:24,LIQUSR05,LIQUSR02,"LOAN ",N,N,N,0,N,,0.00441,,0.02,"G365 ",,2020-07-08 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.02441,N,N,0,"ON   ",N,LIBOR,CG852
+.EHBIRM,+.EHBIRF,2020-09-30 09:13:23,2020-09-30 09:33:53,LIQUSR05,LIQUSR05,"LOAN ",N,N,N,0,N,,0.0025,,0.0252,"G365 ",,2020-07-08 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.0277,N,N,0,"OFF  ",N,LIBOR,CG852
+.EHBL17,+.EHBL11,2020-09-30 10:00:38,2020-09-30 10:01:14,LIQUSR05,LIQUSR05,"LOAN ",N,N,N,0,N,,0.0025,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.0277,N,N,0,"OFF  ",N,LIBOR,CG852
+.EHBLF0,+.EHBLEU,2020-09-30 10:09:59,2020-09-30 10:36:25,LIQUSR05,LIQSVR05,"LOAN ",N,N,N,0,N,,0.00375,,0.0252,"G365 ",,2020-07-08 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.02895,N,N,0,"OFF  ",N,LIBOR,CG852
+.EHBLOG,+.EHBLOA,2020-09-30 10:15:50,2020-09-30 10:33:24,LIQUSR05,LIQSVR05,"LOAN ",N,N,N,0,N,,0.00375,,0.0252,"G365 ",,2020-07-08 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.02895,N,N,0,"OFF  ",N,LIBOR,CG852
+.EHBPCO,+.EHBPCH,2020-09-30 11:34:45,2020-10-07 09:02:43,LIQUSR05,LIQSVR04,"LOAN ",N,N,N,0,N,,0.0025,,0.0252,"G365 ",,2020-07-08 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.0277,N,N,0,"OFF  ",N,LIBOR,CG852
+REHA1EN,+REHA1EG,2020-09-29 16:04:32,2020-09-29 16:48:57,CMARTILL,RPTSUP01,"LOAN ",N,N,N,0,N,,0.025,,0.02,"G365 ",,2020-07-08 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.045,N,N,0,"OFF  ",N,LIBOR,CG852
+REHQEDC,+REHQED4,2020-10-08 14:34:53,2020-10-08 14:35:30,"B116594 ","B116594 ","LOAN ",N,N,N,0,N,,0.03,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.05,N,N,0,"OFF  ",N,LIBOR,CG852
-5EGLS7R,-5EGLS7K,2020-09-16 13:13:40,2020-09-16 13:14:16,KDUENAPP,KDUENAPP,"LOAN ",N,N,N,0,N,,0.01,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.04,N,N,0,"OFF  ",N,LIBOR,CG852
-:EGLOFU,-:EGLOFN,2020-09-16 12:08:53,2020-09-16 12:09:26,SMANZANO,SMANZANO,"LOAN ",N,N,N,0,N,,0.03,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.07,N,N,0,"OFF  ",N,LIBOR,CG852
-AEFMZH4,-AEFMZGX,2020-08-28 17:31:45,2020-08-28 18:16:49,SMANZANO,MANZANOM,"LOAN ",N,N,N,0,N,,0.03,,0.02,"G365 ",,2020-05-29 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.05,N,N,0,"OFF  ",N,LIBOR,CG852
-LEFSBOS,-LEFSBOL,2020-08-31 15:51:31,2020-08-31 16:17:50,CMARTILL,RPTSUP01,"LOAN ",N,N,N,0,N,,0.0078,,0.023,"G365 ",,2020-05-29 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.0308,N,N,0,"OFF  ",N,"FIX  ",CG852
-LEFSEVW,-LEFSEVP,2020-08-31 17:00:15,2020-08-31 17:17:00,CMARTILL,RPTSUP01,"LOAN ",N,N,N,0,N,,0.011,,0.019,"G365 ",,2020-05-20 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.03,N,N,0,"OFF  ",N,LIBOR,CG852
-QEFRZMB,-QEFRZM5,2020-08-31 08:42:38,2020-08-31 09:26:15,LIQUSR05,LIQUSR05,"LOAN ",N,N,N,0,N,,0.0025,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.0277,N,N,0,"OFF  ",N,LIBOR,CG852
-QEFS3Z9,-QEFS3Z2,2020-08-31 11:02:37,2020-08-31 11:04:04,LIQUSR05,LIQUSR05,"LOAN ",N,N,N,0,N,,0.0025,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.0277,N,N,0,"OFF  ",N,LIBOR,CG852
-QEFS7WB,-QEFS7W4,2020-08-31 13:09:07,2020-08-31 13:11:02,LIQUSR05,LIQUSR05,"LOAN ",N,N,N,0,N,,0.0025,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.0277,N,N,0,"OFF  ",N,LIBOR,CG852
-VEGLP8Z,-VEGLP8S,2020-09-16 12:15:47,2020-09-16 12:21:40,SMANZANO,MANZANOM,"LOAN ",N,N,N,0,N,,0.02,,0.04,"G365 ",,2020-06-24 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.06,N,N,0,"OFF  ",N,LIBOR,CG852
-ZEH2R9U,-ZEH2R9F,2020-09-25 16:53:01,2020-09-25 16:53:09,SMANZANO,SMANZANO,"LOAN ",N,N,N,0,N,,0.02,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.05,N,N,0,"OFF  ",N,"FIX  ",CG852
..EHDTBS,..EHDTBL,2020-10-01 16:43:11,2020-10-01 16:45:31,LIQUSR03,LIQAPCP3,"LOAN ",N,N,N,0,N,,0.01,,0.01,"BANK ",,2020-07-09 00:00:00,"BANK ",,,,,,,N,,,,N,1,"LAST ",0.02,N,N,0,"OFF  ",N,LIBOR,CG852
.FEF9T9F,.FEF9T99,2020-08-21 15:51:59,2020-08-21 15:55:33,LIQUSR03,LIQUSR03,"LOAN ",N,N,N,0,N,,0.01,,0.01,"BANK ",,2020-05-27 00:00:00,"BANK ",,,,,,,N,,,,N,1,"LAST ",0.02,N,N,0,"OFF  ",N,LIBOR,CG852
0-EFZSG1,0-EFZSFV,2020-09-04 16:34:43,2020-10-09 12:56:04,CMARTILL,LS2BATCH,"LOAN ",N,N,N,0,N,,0.02,,0.015,"G365 ",,2020-06-01 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.035,N,N,0,"OFF  ",N,LIBOR,CG852
04EFZDZM,04EFZDZF,2020-09-04 10:14:29,2020-10-09 12:56:04,CMARTILL,LS2BATCH,"LOAN ",N,N,N,0,N,,0.02,,0.015,"G365 ",,2020-05-29 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.035,N,N,0,"OFF  ",N,LIBOR,CG852
04EFZE6M,04EFZE6G,2020-09-04 10:55:38,2020-10-09 12:56:04,CMARTILL,LS2BATCH,"LOAN ",N,N,N,0,N,,0.02,,0.015,"G365 ",,2020-05-29 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.035,N,N,0,"ON   ",N,LIBOR,CG852
04EHQOFF,04EHQOF9,2020-10-08 15:41:57,2020-10-08 15:42:41,CMARTILL,CMARTILL,"LOAN ",N,N,N,0,N,,0.015,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.035,N,N,0,"OFF  ",N,LIBOR,CG852
04EHQPAS,04EHQPAM,2020-10-08 16:02:46,2020-10-08 16:02:46,CMARTILL,CMARTILL,"LOAN ",N,N,N,0,N,,,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0,N,N,0,"OFF  ",N,,CG852
04EHQPJK,04EHQPJE,2020-10-08 16:04:14,2020-10-08 16:04:40,CMARTILL,CMARTILL,"LOAN ",N,N,N,0,N,,0.028,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.048,N,N,0,"OFF  ",N,LIBOR,CG852
0AEGNRGV,0AEGNRGP,2020-09-17 13:17:19,2020-09-17 14:47:07,LIQUSR05,LIQSVR04,"LOAN ",N,N,N,0,N,,0.00623,,0.008,"G365 ",,2020-06-25 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.01423,N,N,0,"OFF  ",N,"FIX  ",CG852
0HEGNTQF,0HEGNTQ8,2020-09-17 13:28:14,2020-09-17 14:42:52,LIQUSR05,LIQSVR04,"LOAN ",N,N,N,0,N,,0.00123,,0.008,"G365 ",,2020-06-25 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.00923,N,N,0,"OFF  ",N,"FIX  ",CG852
0JEGNOVV,0JEGNOVG,2020-09-17 13:01:05,2020-09-17 13:01:05,SMANZANO,SMANZANO,"LOAN ",N,N,N,0,N,,,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0,N,N,0,"OFF  ",N,,CG852
0JEGNP1F,0JEGNP10,2020-09-17 13:02:11,2020-09-17 13:02:37,SMANZANO,SMANZANO,"LOAN ",N,N,N,0,N,,,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.02,N,N,0.02,"OFF  ",N,LIBOR,CG852
0JEGNPA8,0JEGNP9U,2020-09-17 13:04:24,2020-09-17 13:24:06,SMANZANO,MANZANOM,"LOAN ",N,N,N,0,N,,0.02,,0.04,"G365 ",,2020-06-25 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.06,N,N,0,"OFF  ",N,LIBOR,CG852
0JEGNPIH,0JEGNPI3,2020-09-17 13:05:23,2020-09-17 13:25:06,SMANZANO,MANZANOM,"LOAN ",N,N,N,0,N,,0.03,,0.04,"G365 ",,2020-06-25 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.07,N,N,0,"OFF  ",N,LIBOR,CG852
0JEGNPQQ,0JEGNPQC,2020-09-17 13:06:05,2020-09-18 16:21:39,SMANZANO,MANZANOS,"LOAN ",N,N,N,0,N,,0.04,,0.04,"G365 ",,2020-06-25 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.08,N,N,0,"ON   ",N,LIBOR,CG852
16EJ2N1C,16EJ2N15,2020-11-03 15:35:49,2020-11-03 15:36:16,"C116594 ","C116594 ","LOAN ",N,N,N,0,N,,0.02,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.04,N,N,0,"OFF  ",N,LIBOR,CG852
1:EHLCWP,1:EHLCWI,2020-10-05 20:06:39,2020-10-05 20:32:48,"A116594 ","B116594 ","LOAN ",N,N,N,0,N,,0.02,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.04,N,N,0,"OFF  ",N,LIBOR,CG852
1;EFJ1ZH,1;EFJ1ZB,2020-08-26 15:39:55,2020-08-26 15:41:06,SMANZANO,SMANZANO,"LOAN ",N,N,N,0,N,,0.02,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.06,N,N,0,"OFF  ",N,LIBOR,CG852
2)EFMJCA,2)EFMJC3,2020-08-28 11:39:47,2020-08-28 11:47:24,JAQUITAN,JANICEA1,"LOAN ",N,N,N,0,N,,0.02,,0.04,"G365 ",,2020-05-29 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.06,N,N,0,"OFF  ",N,LIBOR,CG852
2OEFMMRB,2OEFMMR5,2020-08-28 11:59:10,2020-08-28 12:31:26,LIQUSR05,LIQUSR05,"LOAN ",N,N,N,0,N,,0.0025,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.0277,N,N,0,"OFF  ",N,LIBOR,CG852
2PEI269D,2PEI269A,2020-10-14 20:13:00,2020-10-14 20:13:09,SMANZANO,SMANZANO,"LOAN ",N,N,N,0,N,,0.031215,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.051215,N,N,0,"OFF  ",N,LIBOR,CG852
2YEFMLL3,2YEFMLKX,2020-08-28 11:59:59,2020-08-28 11:59:59,JAQUITAN,JAQUITAN,"LOAN ",N,N,N,0,N,,,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0,N,N,0,"OFF  ",N,,CG852
2YEFMLSS,2YEFMLSM,2020-08-28 12:02:01,2020-09-04 13:06:46,JAQUITAN,LS2BATCH,"LOAN ",N,N,N,0,N,,0.03,,0.04,"G365 ",,2020-05-29 00:00:00,"G365 ",,,,,,,N,,,,N,,,,N,N,0,"OFF  ",N,LIBOR,CG852
2YEFMLZ1,2YEFMLYV,2020-08-28 12:03:01,2020-09-04 13:06:46,JAQUITAN,LS2BATCH,"LOAN ",N,N,N,0,N,,0.02,,0.04,"G365 ",,2020-05-29 00:00:00,"G365 ",,,,,,,N,,,,N,,,,N,N,0,"OFF  ",N,LIBOR,CG852
32EFFH95,32EFFH8Y,2020-08-24 16:19:23,2020-08-24 16:23:15,JAQUITAN,JANICEA1,"LOAN ",N,N,N,0,N,,0.03,,0.02,"G365 ",,2020-05-27 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.05,N,N,0,"OFF  ",N,LIBOR,CG852
34EHZNMD,34EHZNM6,2020-10-13 10:34:31,2020-10-13 10:34:45,JAQUITAN,JAQUITAN,"LOAN ",N,N,N,0,N,,0.02,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.04,N,N,0,"OFF  ",N,LIBOR,CG852
3=EHZP5J,3=EHZP5B,2020-10-13 11:08:25,2020-10-13 12:36:22,JAQUITAN,JANICEA1,"LOAN ",N,N,N,0,N,,0.02,,0.02,"G365 ",,2021-03-01 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.04,N,N,0,"OFF  ",N,LIBOR,CG852
3?EGFNKX,3?EGFNKR,2020-09-13 06:21:31,2020-09-13 06:27:38,LOANIQ01,LOANIQ01,"LOAN ",N,N,N,0,N,,0.015,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.055,N,N,0,"OFF  ",N,LIBOR,CG852
3PEFFD7F,3PEFFD78,2020-08-24 13:57:53,2020-08-24 13:57:56,LIQUSR03,LIQUSR03,"LOAN ",N,N,N,0,N,,0.01,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.019,N,N,0,"OFF  ",N,LIBOR,CG852
3SEFFFIP,3SEFFFII,2020-08-24 16:13:20,2020-08-24 16:16:45,JAQUITAN,JANICEA1,"LOAN ",N,N,N,0,N,,0.03,,0.02,"G365 ",,2020-05-27 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.05,N,N,0,"OFF  ",N,LIBOR,CG852
3TEFFGM5,3TEFFGLY,2020-08-24 15:04:42,2020-08-24 15:07:10,LIQUSR05,LIQUSR05,"LOAN ",N,N,N,0,N,,0.00375,,,"G365 ",,,"G365 ",,,,,,,N,,,,N,,,0.02895,N,N,0,"OFF  ",N,LIBOR,CG852
3TEFFGY7,3TEFFGY1,2020-08-24 15:13:16,2020-10-15 10:55:42,LIQUSR05,LIQSVR04,"LOAN ",N,N,N,0,N,,0.00375,,0.0252,"G365 ",,2020-05-27 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.02895,N,N,0,"OFF  ",N,LIBOR,CG852
4.EHBQJL,4.EHBQJE,2020-09-30 14:09:45,2020-09-30 14:35:19,CMARTILL,RPTSUP01,"LOAN ",N,N,N,0,N,,0.02,,0.023,"G365 ",,2020-07-09 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.043,N,N,0,"OFF  ",N,"FIX  ",CG852
41EHS9YR,41EHS9YK,2020-10-09 10:31:14,2020-10-09 10:40:36,SMANZANO,MANZANOM,"LOAN ",N,N,N,0,N,,0.02,,0.02,"G365 ",,2020-07-10 00:00:00,"G365 ",,,,,,,N,,,,N,1,"LAST ",0.04,N,N,0,"OFF  ",N,LIBOR,CG852
