"CUS_CID_CUST_ID","CUS_XID_CUST_ID","CUS_NME_SHORT_NAME","CUS_NME_FULL_NAME","CUS_CDE_COUNTRY","CUS_CDE_CUST_STAT","CUS_IND_INVESTOR","CUS_IND_BORROWER","CUS_IND_GUARANTOR","CUS_IND_BENEFIC","CUS_IND_INTRL_ENT","CUS_IND_RESTRICT","CUS_CDE_BANK","CUS_TSP_REC_CREATE","CUS_TSP_REC_UPDATE","CUS_UID_REC_CREATE","CUS_UID_REC_UPDATE","CUS_IND_SLG","CUS_IND_MAJ_UNDWRT","CUS_IND_CRA","CUS_CDE_TRS_RPT_AR","CUS_IND_SIMPLIFIED","CUS_CDE_CUST_DESC","CUS_CID_ULT_PARENT","CUS_CDE_DEPT","CUS_CID_IMM_PARENT","CUS_CDE_EXPENSE","CUS_CDE_PRIM_SIC","CUS_CDE_PROSPECT","CUS_CDE_LEGAL","CUS_CDE_SIC_CNTRY","CUS_CDE_BRANCH","CUS_CDE_ORIGIN","CUS_CDE_LANGUAGE","CUS_IND_VAT_SUBJCT","CUS_TXT_VAT_NUMBER","CUS_AMT_OS_LIMIT","CUS_CDE_OS_LIM_CCY","CUS_IND_OS_LIM_ERL","CUS_CDE_MASTER_ACT","CUS_IND_BROKER","CUS_CDE_DEP_SUBTYP","CUS_IND_THRD_PTYON","CUS_IND_THRD_PRF"
"67E51441","1000003        ","PTYAPISHO1000003              ","PTYA1000003","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-04 13:28:42","2020-02-04 13:28:42","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGF  ","67E51441","     ","67E51441","","3620      ","","","AU","CB001","","ENG  ","Y","66280099899    ","0","","N","","N","","N","N"
"67E514PT","1000004        ","PTYAPISHO1000004              ","PTYA1000004","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-04 13:41:46","2020-02-04 13:42:08","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGS  ","67E514PT","     ","67E514PT","","3620      ","","","AU","CB001","","ENG  ","Y","66280099899    ","0","","N","","N","","N","N"
"HSE531P6","1000006        ","PTYAPISHO1000006              ","PTYA1000006","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-05 10:05:43","2020-02-05 10:05:43","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGF  ","HSE531P6","     ","HSE531P6","","3620      ","","","AU","CB001","","ENG  ","Y","66280099899    ","0","","N","","N","","N","N"
"HSE531Q0","1000007        ","AUPTY9991                     ","AUPTY9991","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-05 10:21:41","2020-02-05 10:24:46","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGS  ","HSE531Q0","     ","HSE531Q0","","3620      ","","","AU","CB001","","ENG  ","Y","66280099899    ","0","","N","","N","","N","N"
"HSE531QE","1000008        ","AUPTY9992UPD                  ","AUPTY9992UPD","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-05 10:27:27","2020-02-05 10:29:50","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGS  ","HSE531QE","     ","HSE531QE","","3620      ","","","AU","CB001","","ENG  ","Y","66280099899    ","0","","N","","N","","N","N"
"HSE531RD","1000009        ","PTYAPISHO1000009              ","PTYA1000009","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-05 10:51:25","2020-02-05 10:51:25","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGF  ","HSE531RD","     ","HSE531RD","","3620      ","","","AU","CB001","","ENG  ","Y","66280099899    ","0","","N","","N","","N","N"
"HSE531VC","333301         ","TESTCHAR225PTY                ","Test Characters dolor sit amet, cassiem adipiscing elit. Aenean commodo ligula eget dolor. Aenean massa. Cum sociis natoque penatibus et mag","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-05 12:54:44","2020-02-05 12:54:44","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGF  ","HSE531VC","     ","HSE531VC","","3620      ","","","AU","CB001","","ENG  ","Y","66280099899    ","0","","N","","N","","N","N"
"HSE542IF","0569133        ","PTYAU88881                    ","PTYAU88881","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-06 03:46:56","2020-02-06 03:46:56","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGF  ","HSE542IF","     ","HSE542IF","","1200      ","","","AU","CB001","","ENG  ","Y","               ","0","","N","","N","","N","N"
"HSE543XA","1828321        ","EHSIT                         ","this is two hundred fifty five characters to check the functionality of party ui customization this is two hundred fifty five characters to ","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-06 04:17:27","2020-02-06 04:17:27","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGF  ","HSE543XA","     ","HSE543XA","","1511      ","","","AU","CB001","","ENG  ","Y","09303943433    ","0","","N","","N","","N","N"
"HSE5440L","3008924        ","PTYEUCMM222                   ","PTYEUCMM222","NL","ACT  ","N","Y","N","N","N","N","CBA  ","2020-02-06 04:19:26","2020-07-13 23:29:07","LOANIQ02","FJUSRAM ","N","N","N","AU   ","N","AGF  ","HSE5440L","GLB  ","HSE5440L","BG_COL         ","1200      ","","","AU","","","ENG  ","N","               ","0","","N","","N","","N","N"
"HSE548XK","1000011        ","PTYAPISHO1000011              ","PTYA1000011","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-06 06:05:37","2020-02-06 06:05:37","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGS  ","HSE548XK","     ","HSE548XK","","3620      ","","","AU","CB001","","ENG  ","Y","66280099899    ","0","","N","","N","","N","N"
"HSE549GC","1000012        ","PTYAPISHO1000012              ","PTYA1000012","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-06 06:16:52","2020-02-06 06:16:52","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGS  ","HSE549GC","     ","HSE549GC","","3620      ","","","AU","CB001","","ENG  ","Y","66280099899    ","0","","N","","N","","N","N"
"HSE54AXL","7144548        ","PTYAPISHO7144548              ","PTYA7144548","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-06 06:48:49","2020-02-06 06:48:49","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGF  ","HSE54AXL","     ","HSE54AXL","","3620      ","","","AU","CB001","","ENG  ","Y","66280099899    ","0","","N","","N","","N","N"
"HSE54C2E","1000013        ","PTYAPISHO1000013              ","PTYA1000012","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-06 07:13:18","2020-02-06 07:13:18","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGF  ","HSE54C2E","     ","HSE54C2E","","3620      ","","","AU","CB001","","ENG  ","Y","66280099899    ","0","","N","","N","","N","N"
"HSE54C8M","1000014        ","PTYAPISHO1000014              ","PTYA1000014","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-06 07:17:03","2020-02-06 07:17:03","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGF  ","HSE54C8M","     ","HSE54C8M","","3620      ","","","AU","CB001","","ENG  ","Y","66280099899    ","0","","N","","N","","N","N"
"HSE54CKP","1000015        ","PTYAPISHO1000015UPD           ","PTYA1000015UPD","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-06 07:24:18","2020-02-06 07:25:23","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGF  ","HSE54CKP","     ","HSE54CKP","","3620      ","","","AU","CB001","","ENG  ","Y","66280099899    ","0","","N","","N","","N","N"
"HSE54CPL","1000016        ","PTYAPISHO1000016              ","PTYA1000016","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-06 07:27:13","2020-02-06 07:27:13","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGS  ","HSE54CPL","     ","HSE54CPL","","3620      ","","","AU","CB001","","ENG  ","Y","66280099899    ","0","","N","","N","","N","N"
"WVE52JMK","199911         ","AUPTY9990                     ","AUPTY9990","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-05 07:21:50","2020-02-05 09:13:37","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGF  ","WVE52JMK","     ","WVE52JMK","","3620      ","","","AU","CB001","","ENG  ","Y","66280099899    ","0","","N","","N","","N","N"
"HSE54CYS","1000017        ","PTYAPISHO1000017              ","PTYA1000017","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-06 07:32:44","2020-02-06 07:35:00","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGF  ","HSE54CYS","     ","HSE54CYS","","3620      ","","","AU","CB001","","ENG  ","Y","66280099899    ","0","","N","","N","","N","N"
"HSE54DUD","1000018        ","PTYAPISHO1000018              ","PTYA1000018","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-06 07:51:41","2020-02-06 07:51:41","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGF  ","HSE54DUD","     ","HSE54DUD","","3620      ","","","AU","CB001","","ENG  ","Y","66280099899    ","0","","N","","N","","N","N"
"HSE54NVP","1000020        ","PTYAPISHO1000020              ","PTYA1000020","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-06 11:28:29","2020-02-06 11:28:29","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGF  ","HSE54NVP","     ","HSE54NVP","","3620      ","","","AU","CB001","","ENG  ","Y","66280099899    ","0","","N","","N","","N","N"
"HSE54TFO","202002060      ","NOSTATE                       ","No State Customer","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-06 13:28:29","2020-02-06 13:33:03","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGL  ","HSE54TFO","     ","HSE54TFO","","1520      ","","","AU","CB001","","ENG  ","Y","ytfyryrytry    ","0","","N","","N","","N","N"
"HSE54URS","202002061      ","202002061                     ","202002061","AU","ACT  ","N","Y","N","N","N","N","CBA  ","2020-02-06 13:57:21","2020-09-22 15:13:06","LOANIQ02","DANUSR01","N","N","N","AU   ","N","AGF  ","HSE54URS","     ","HSE54URS","","9700      ","","","AU","CB001","","ENG  ","Y","202002061      ","0","","N","","N","","N","N"
"=WE56GPQ","3874893        ","SHROTERER                     ","ENT9283929","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-07 07:13:48","2020-02-07 07:13:48","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","BFPBA","=WE56GPQ","     ","=WE56GPQ","","9519      ","","","AU","CB001","","ENG  ","Y","09323434344    ","0","","N","","N","","N","N"
"=WE56GQB","1872812        ","EHTOSR                        ","this is two hundred fifty five characters to check the functionality of party ui customization this is two hundred fifty five characters to ","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-07 07:20:39","2020-02-07 07:20:39","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGF  ","=WE56GQB","     ","=WE56GQB","","4723      ","","","AU","CB001","","ENG  ","Y","12882732323    ","0","","N","","N","","N","N"
"=WE56GRC","9384934        ","SHORTKKTT                     ","ENT923244","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-07 07:31:52","2020-02-07 07:31:52","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","BDMPC","=WE56GRC","     ","=WE56GRC","","8431      ","","","AU","CB001","","ENG  ","Y","23434343333    ","0","","N","","N","","N","N"
"=WE56GWY","8881001        ","KOREANAIRLINEMANUFACTURIN     ","PARTY NAME 8881001","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-07 09:28:14","2020-02-07 09:28:14","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGS  ","=WE56GWY","     ","=WE56GWY","","8112      ","","","AU","CB001","","ENG  ","Y","32223143320    ","0","","N","","N","","N","N"
"=WE56GZQ","8881003        ","SHORTNAME8881003              ","PARTY ENT NAME 8881003","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-07 09:56:51","2020-02-07 09:56:51","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGS  ","=WE56GZQ","     ","=WE56GZQ","","8112      ","","","AU","CB001","","ENG  ","Y","32223143320    ","0","","N","","N","","N","N"
"=WE56H03","8882003        ","SHORTNAME8882003              ","PARTY NAME 8882003","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-07 09:56:52","2020-02-07 09:56:52","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGS  ","=WE56H03","     ","=WE56H03","","8112      ","","","AU","CB001","","ENG  ","Y","32223143320    ","0","","N","","N","","N","N"
"=WE56H0G","8883003        ","SHORTNAME8883003              ","PARTY NAME 8883003","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-07 09:56:52","2020-02-07 09:56:52","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGS  ","=WE56H0G","     ","=WE56H0G","","8112      ","","","AU","CB001","","ENG  ","Y","32223143320    ","0","","N","","N","","N","N"
"=WE56H1P","7181538        ","PTYAPISHO7181538              ","PTYA7181538","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-07 10:18:50","2020-02-07 10:18:50","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGF  ","=WE56H1P","     ","=WE56H1P","","3620      ","","","AU","CB001","","ENG  ","Y","66280099899    ","0","","N","","N","","N","N"
"=WE56I60","202002070      ","202002070                     ","Disable Buttons","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-07 11:20:17","2020-02-07 11:20:17","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGF  ","=WE56I60","     ","=WE56I60","","9628      ","","","AU","CB001","","ENG  ","Y","202002070      ","0","","N","","N","","N","N"
"=WE56IER","202002071      ","202002071                     ","202002071","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-07 11:25:32","2020-02-07 11:25:32","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGL  ","=WE56IER","     ","=WE56IER","","9519      ","","","AU","CB001","","ENG  ","Y","202002071      ","0","","N","","N","","N","N"
"70E5DDJM","232424         ","SHROTERRRE                    ","this is oasdif asdifj sadf as dfis dfsa dfs dff asdfsadf sdfa","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-11 04:23:37","2020-02-11 04:23:37","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGL  ","70E5DDJM","     ","70E5DDJM","","6619      ","","","AU","CB001","","ENG  ","Y","23422222222    ","0","","N","","N","","N","N"
"5YE5G3DN","202002127      ","202002127                     ","uytutdgdttrst","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-12 15:36:52","2020-02-12 15:36:52","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGL  ","5YE5G3DN","     ","5YE5G3DN","","7712      ","","","AU","CB001","","ENG  ","Y","57575757576    ","0","","N","","N","","N","N"
"5YE5G3N2","202002128      ","PERSUNKNW                     ","Pers Test UNKNW","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-12 15:42:31","2020-02-12 15:42:31","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","UNKNW","5YE5G3N2","     ","5YE5G3N2","","0971      ","","","AU","CB001","","ENG  ","Y","               ","0","","N","","N","","N","N"
"5YE5H55M","1000025        ","PTYAPISH1000025               ","TESTTE2","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-13 05:12:51","2020-02-19 04:42:49","LOANIQ02","LOANIQ01","N","N","N","AU   ","N","AGF  ","5YE5H55M","     ","5YE5H55M","","3620      ","","","AU","CB001","","ENG  ","Y","66280099899    ","0","","N","","N","","N","N"
"5YE5J818","3224423        ","SHRT3224423                   ","ENT92342311","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-14 08:10:13","2020-02-14 08:37:22","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGF  ","5YE5J818","     ","5YE5J818","","0117      ","","","AU","CB001","","ENG  ","Y","27388233232    ","0","","N","","N","","N","N"
"+1E5WHXS","202002210      ","AUTOGENERATESHORTNAME         ","Auto Generate Short Name","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-21 12:12:57","2020-02-21 12:16:05","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGF  ","+1E5WHXS","     ","+1E5WHXS","","1200      ","","","AU","CB001","","ENG  ","Y","               ","0","","N","","N","","N","N"
"+1E5WIDI","202002211      ","AUTOSHORTNAME                 ","Auto Short Name","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-02-21 12:22:23","2020-02-21 12:22:23","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGL  ","+1E5WIDI","     ","+1E5WIDI","","2813      ","","","AU","CB001","","ENG  ","Y","               ","0","","N","","N","","N","N"
"P=E6EOS8","7154324        ","PTYAPISHO7154324              ","PTYA7154324","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-03-02 07:47:10","2020-03-02 07:47:10","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGF  ","P=E6EOS8","     ","P=E6EOS8","","3620      ","","","AU","CB001","","ENG  ","Y","66280099899    ","0","","N","","N","","N","N"
"P=E6EOSL","7155022        ","PTYAPISHO7155022              ","PTYA7155022","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-03-02 07:54:08","2020-03-02 08:08:16","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGF  ","P=E6EOSL","     ","P=E6EOSL","","3610      ","","","AU","CB001","","ENG  ","Y","66280099899    ","0","","N","","N","","N","N"
"P=E6ESYT","7172303        ","PTYAPISHO7172303              ","PTYA7172303","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-03-02 09:27:57","2020-03-02 09:28:18","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGF  ","P=E6ESYT","     ","P=E6ESYT","","3620      ","","","AU","CB001","","ENG  ","Y","66280099899    ","0","","N","","N","","N","N"
"P=E6GMTD","7170645        ","PTYAPISHO7170645              ","PTYA7170645","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-03-03 09:10:17","2020-03-03 09:10:17","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGF  ","P=E6GMTD","     ","P=E6GMTD","","3620      ","","","AU","CB001","","ENG  ","Y","66280099899    ","0","","N","","N","","N","N"
"P=E6GQZJ","7183657        ","PTYAPISHO7183657              ","PTYA7183657","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-03-03 10:40:23","2020-03-03 10:40:23","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGF  ","P=E6GQZJ","     ","P=E6GQZJ","","3620      ","","","AU","CB001","","ENG  ","Y","66280099899    ","0","","N","","N","","N","N"
"P=E6GR8W","7184234        ","PTYAPISHO7184234              ","PTYA7184234","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-03-03 10:46:01","2020-03-03 10:46:01","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGF  ","P=E6GR8W","     ","P=E6GR8W","","3620      ","","","AU","CB001","","ENG  ","Y","66280099899    ","0","","N","","N","","N","N"
"J5E4FAXX","6              ","HENRY                         ","HENRY","AU","SKEL ","N","Y","N","N","N","N","CBA  ","2020-01-23 09:29:54","2020-11-24 12:56:47","HSSUPR01","INPAMT01","N","N","N","AU   ","N","AGF  ","J5E4FAXX","GLB  ","J5E4FAXX","BG_COL         ","0111      ","","","AU","","","","Y","               ","0","","N","","N","","N","N"
"J5E4FAZF","7              ","JOBERN                        ","JOBERN","AU","SKEL ","N","Y","N","N","N","N","CBA  ","2020-01-23 09:45:36","2020-09-18 09:48:32","HSSUPR01","INPDEL01","N","N","N","AU   ","N","AGF  ","J5E4FAZF","GLB  ","J5E4FAZF","BG_COL         ","0111      ","","","AU","","","","Y","               ","0","","N","","N","","N","N"
"3FE4FBRS","8              ","TONY                          ","TONY","AU","SKEL ","N","Y","N","N","N","N","CBA  ","2020-01-23 09:56:36","2020-09-18 09:49:50","HSUSER01","INPDEL01","N","N","N","AU   ","N","AGF  ","3FE4FBRS","GLB  ","3FE4FBRS","BG_COL         ","0111      ","","","AU","","","","Y","               ","0","","N","","N","","N","N"
"9ZE4O2BR","3453245        ","SHORTTTT                      ","PTYCM1234","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-01-28 07:03:52","2020-01-28 07:03:52","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGF  ","9ZE4O2BR","     ","9ZE4O2BR","","2163      ","","","AU","CB001","","ENG  ","Y","34334342211    ","0","","N","","N","","N","N"
"9ZE4O2C4","877172         ","CM99811                       ","CM99811","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-01-28 07:03:53","2020-01-28 07:03:53","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGF  ","9ZE4O2C4","     ","9ZE4O2C4","","1200      ","","","AU","CB001","","ENG  ","Y","               ","0","","N","","N","","N","N"
"9ZE4O2CJ","865655         ","PTY7656                       ","MART234","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-01-28 07:03:53","2020-01-28 07:03:53","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGF  ","9ZE4O2CJ","     ","9ZE4O2CJ","","3620      ","","","AU","CB001","","ENG  ","Y","66280099899    ","0","","N","","N","","N","N"
"9ZE4O2CW","202001210      ","CBA202001210                  ","CBAtestName534992Legal88","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-01-28 07:03:53","2020-01-28 07:03:53","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","TRU  ","9ZE4O2CW","     ","9ZE4O2CW","","0111      ","","","AU","CB001","","ENG  ","Y","               ","0","","N","","N","","N","N"
"9ZE4O2D9","435537         ","XKOREANAIRLINEMANUFACTURI     ","this is a one hundred forty characters for testing party ui runtime screen customization requested by commonwealth bank of australia by evga","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-01-28 07:03:53","2020-01-28 07:03:53","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGS  ","9ZE4O2D9","     ","9ZE4O2D9","","8112      ","","","AU","CB001","","ENG  ","Y","32223143320    ","0","","N","","N","","N","N"
"9ZE4O2E0","202001218      ","202001218                     ","202010218","AU","ACT  ","N","N","N","N","N","N","CBA  ","2020-01-28 07:03:53","2020-01-29 18:09:18","LOANIQ02","LOANIQ02","N","N","N","AU   ","N","AGF  ","9ZE4O2E0","     ","9ZE4O2E0","","9632      ","","","AU","CB001","","ENG  ","Y","76576576575    ","0","","N","","N","","N","N"
