"ACCOUNTID"|"NOMINALCODE"|"NOMINALDESCRIPTION"|"TRANSACTIONSRID"|"TRANSACTIONID"|"HOSTTRANCODE"|"SOURCETRANCODE"|"TRANSACTIONDATE"|"POSTINGDATE"|"VALUEDATE"|"ISOCURRENCYCODE"|"DEBITCREDITFLAG"|"AMOUNT"|"AMOUNTCREDIT"|"AMOUNTDEBIT"|"HOSTBRANCH"|"UBCHANNELID"|"SUBPRODUCTCODE"|"CUSTOMERCODE"|"SOURCEREF1"|"SOURCEREF2"|"NARRATION"|"SOURCEBRANCH"|"SOURCECOSTCENTERCODE"|"AFFILIATECODE"|"SOURCEDEALNO"|"SOURCECUSTOMERCODE"
"089102100085200"|"LOANPRNEFIX"|"Loans Principal - Fixed"|"01174d829ebd937Q"|"01174d829ebbd375"|"DRV"|"LNDR"|"2020-09-29 06:41:00"|"2020-07-12 23:21:08"|"2020-07-07 00:00:00"|"EUR"|"D"|"-200000"|"0"|"200000"|"00000852"|"LIQ"|"91021InternalEUR"|"000852"|"Q)EH9NIJ"|":+EH7WZI"|"Loan Drawdown"|"CG852"|"BG_COL"|"FIXED"|"OST:+EH7WYB"|"57"
"089105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d82a053d3OE"|"01174d82a05293Nv"|"DRV"|"INTAC"|"2020-09-29 06:41:06"|"2020-07-12 23:21:14"|"2020-07-07 00:00:00"|"EUR"|"D"|"-153.42"|"0"|"153.42"|"00000852"|"LIQ"|"91050InternalEUR"|"000852"|"08EH9SVR"|"08EH9SVH"|"Interest Accrual"|"CG852"|"BG_COL"|"OTHER"|"OST4IEG5FAI"|"53"
"089105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d82a05b53Oi"|"01174d82a059b3OP"|"DRV"|"INTAC"|"2020-09-29 06:41:06"|"2020-07-12 23:21:14"|"2020-07-07 00:00:00"|"EUR"|"D"|"-205.48"|"0"|"205.48"|"00000852"|"LIQ"|"91050InternalEUR"|"000852"|"08EH9SXN"|"08EH9SXD"|"Interest Accrual"|"CG852"|"BG_COL"|"OTHER"|"OSTHREFIUF7"|"53"
"089105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d82a17e93R7"|"01174d82a17ce3Qo"|"DRV"|"INTAC"|"2020-09-29 06:41:11"|"2020-07-12 23:21:19"|"2020-07-07 00:00:00"|"EUR"|"D"|"-20.55"|"0"|"20.55"|"00000852"|"LIQ"|"91050InternalEUR"|"000852"|"0TEH9T8K"|"0TEH9T8A"|"Interest Accrual"|"CG852"|"BG_COL"|"OTHER"|"OST-VEGLP8S"|"57"
"089105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d82a1da83S7"|"01174d82a1cdd3Ro"|"DRV"|"INTAC"|"2020-09-29 06:41:12"|"2020-07-12 23:21:21"|"2020-07-07 00:00:00"|"EUR"|"D"|"-166.19"|"0"|"166.19"|"00000852"|"LIQ"|"91050InternalEUR"|"000852"|"0TEH9TES"|"0TEH9TEI"|"Interest Accrual"|"CG852"|"BG_COL"|"OTHER"|"OSTS!EFKY0T"|"57"
"089105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d82a21fa3T6"|"01174d82a21c73Sn"|"DRV"|"INTAC"|"2020-09-29 06:41:14"|"2020-07-12 23:21:22"|"2020-07-07 00:00:00"|"EUR"|"D"|"-136.99"|"0"|"136.99"|"00000852"|"LIQ"|"91050InternalEUR"|"000852"|"0TEH9U2U"|"0TEH9U2K"|"Interest Accrual"|"CG852"|"BG_COL"|"OTHER"|"OST?2EBX2O1"|"4"
"089105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d82a2f393UE"|"01174d82a2e9b3To"|"CRV"|"INTPY"|"2020-09-29 06:41:17"|"2020-07-12 23:21:25"|"2020-07-07 00:00:00"|"EUR"|"C"|"2.18"|"2.18"|"0"|"00000852"|"LIQ"|"91050InternalEUR"|"000852"|"NWEH2C7Z"|"N.EH2BO5"|"Interest Payment"|"CG852"|"BP_COL"|"OTHER"|"OSTHZEFJ1HC"|"37"
"089105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d82a34163Vh"|"01174d82a33f73VO"|"DRV"|"INTAC"|"2020-09-29 06:41:18"|"2020-07-12 23:21:26"|"2020-07-07 00:00:00"|"EUR"|"D"|"-0.03"|"0"|"0.03"|"00000852"|"LIQ"|"91050InternalEUR"|"000852"|"0TEH9STD"|";;EGWWAK"|"Interest Accrual"|"CG852"|"BG_COL"|"OTHER"|"OSTIHEFMJUB"|"43"
"089105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d82a360b3Xd"|"01174d82a35f53XK"|"DRV"|"INTAC"|"2020-09-29 06:41:19"|"2020-07-12 23:21:27"|"2020-07-07 00:00:00"|"EUR"|"D"|"-0.08"|"0"|"0.08"|"00000852"|"LIQ"|"91050InternalEUR"|"000852"|"0TEH9SVS"|"0TEH9SVI"|"Interest Accrual"|"CG852"|"BP_COL"|"OTHER"|"OST0-EFZSFV"|"37"
"089105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d82a383b3Zm"|"01174d82a38273ZT"|"DRV"|"INTAC"|"2020-09-29 06:41:19"|"2020-07-12 23:21:27"|"2020-07-07 00:00:00"|"EUR"|"D"|"-2.59"|"0"|"2.59"|"00000852"|"LIQ"|"91050InternalEUR"|"000852"|"0TEH9T0L"|"0TEH9T0B"|"Interest Accrual"|"CG852"|"BP_COL"|"OTHER"|"OSTHZEFIZFY"|"37"
"089105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d82a3bf03al"|"01174d82a3bd13aS"|"DRV"|"INTAC"|"2020-09-29 06:41:20"|"2020-07-12 23:21:28"|"2020-07-07 00:00:00"|"EUR"|"D"|"-0.14"|"0"|"0.14"|"00000852"|"LIQ"|"91050InternalEUR"|"000852"|"0TEH9T2Y"|"0TEH9T2O"|"Interest Accrual"|"CG852"|"BP_COL"|"OTHER"|"OST#!EFUH6R"|"37"
"089105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d82a3e523bF"|"01174d82a3e333aw"|"DRV"|"INTAC"|"2020-09-29 06:41:21"|"2020-07-12 23:21:29"|"2020-07-07 00:00:00"|"EUR"|"D"|"-13.7"|"0"|"13.7"|"00000852"|"LIQ"|"91050InternalEUR"|"000852"|"08EH9SW5"|"08EH9SVV"|"Interest Accrual"|"CG852"|"BG_COL"|"OTHER"|"OSTKREG5NHP"|"53"
"089105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d82a40b73bk"|"01174d82a40913bR"|"DRV"|"INTAC"|"2020-09-29 06:41:21"|"2020-07-12 23:21:30"|"2020-07-07 00:00:00"|"EUR"|"D"|"-46.03"|"0"|"46.03"|"00000852"|"LIQ"|"91050InternalEUR"|"000852"|"08EH9SX2"|"08EH9SWS"|"Interest Accrual"|"CG852"|"BG_COL"|"OTHER"|"OSTC(EFH91P"|"53"
"089105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d82a41973cE"|"01174d82a417c3bv"|"DRV"|"INTAC"|"2020-09-29 06:41:22"|"2020-07-12 23:21:30"|"2020-07-07 00:00:00"|"EUR"|"D"|"-249.32"|"0"|"249.32"|"00000852"|"LIQ"|"91050InternalEUR"|"000852"|"08EH9SYF"|"08EH9SY5"|"Interest Accrual"|"CG852"|"BG_COL"|"OTHER"|"OST!TEG50VR"|"53"
"089105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d82a42bb3dC"|"01174d82a42a13ct"|"DRV"|"INTAC"|"2020-09-29 06:41:22"|"2020-07-12 23:21:30"|"2020-07-07 00:00:00"|"EUR"|"D"|"-191.78"|"0"|"191.78"|"00000852"|"LIQ"|"91050InternalEUR"|"000852"|"08EH9SZ7"|"08EH9SYX"|"Interest Accrual"|"CG852"|"BG_COL"|"OTHER"|"OSTKLEG6TZ1"|"53"
"089105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d82a435e3dh"|"01174d82a43443dO"|"DRV"|"INTAC"|"2020-09-29 06:41:22"|"2020-07-12 23:21:30"|"2020-07-07 00:00:00"|"EUR"|"D"|"-197.26"|"0"|"197.26"|"00000852"|"LIQ"|"91050InternalEUR"|"000852"|"08EH9T0R"|"08EH9T0H"|"Interest Accrual"|"CG852"|"BG_COL"|"OTHER"|"OST9ZEGPOGX"|"53"
"089105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d82a449d3er"|"01174d82a44853eY"|"DRV"|"INTAC"|"2020-09-29 06:41:22"|"2020-07-12 23:21:30"|"2020-07-07 00:00:00"|"EUR"|"D"|"-177.53"|"0"|"177.53"|"00000852"|"LIQ"|"91050InternalEUR"|"000852"|"0TEH9T6W"|"0TEH9T6M"|"Interest Accrual"|"CG852"|"BG_COL"|"OTHER"|"OST(DEFGR26"|"57"
"089105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d82a45083fL"|"01174d82a44f33f2"|"DRV"|"INTAC"|"2020-09-29 06:41:23"|"2020-07-12 23:21:31"|"2020-07-07 00:00:00"|"EUR"|"D"|"-103.56"|"0"|"103.56"|"00000852"|"LIQ"|"91050InternalEUR"|"000852"|"08EH9T3O"|"08EH9T3E"|"Interest Accrual"|"CG852"|"BG_COL"|"OTHER"|"OSTOSEGCH4C"|"53"
"089105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d8296bff2Is"|"01174d8296beb2IZ"|"DRV"|"INTAC"|"2020-09-29 06:40:27"|"2020-07-12 23:20:35"|"2020-07-07 00:00:00"|"EUR"|"D"|"-0.05"|"0"|"0.05"|"00000852"|"LIQ"|"91050InternalEUR"|"000852"|"0TEH9ST5"|"J-EGV09W"|"Interest Accrual"|"CG852"|"BG_COL"|"OTHER"|"OSTZIEF9MNN"|"43"
"089105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d8296f1b2MU"|"01174d8296f042MB"|"DRV"|"INTAC"|"2020-09-29 06:40:28"|"2020-07-12 23:20:36"|"2020-07-07 00:00:00"|"EUR"|"D"|"-6.57"|"0"|"6.57"|"00000852"|"LIQ"|"91050InternalEUR"|"000852"|"0TEH9T5J"|"0TEH9T56"|"Interest Accrual"|"CG852"|"BP_COL"|"OTHER"|"OST#!EFUAOU"|"37"
"089105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d82971332OL"|"01174d82971132O2"|"DRV"|"INTAC"|"2020-09-29 06:40:28"|"2020-07-12 23:20:36"|"2020-07-07 00:00:00"|"EUR"|"D"|"-35.51"|"0"|"35.51"|"00000852"|"LIQ"|"91050InternalEUR"|"000852"|"0TEH9T9C"|"0TEH9T92"|"Interest Accrual"|"CG852"|"BG_COL"|"OTHER"|"OST0JEGNP9U"|"57"
"089105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d82971942Op"|"01174d829717f2OW"|"DRV"|"INTAC"|"2020-09-29 06:40:28"|"2020-07-12 23:20:36"|"2020-07-07 00:00:00"|"EUR"|"D"|"-113.42"|"0"|"113.42"|"00000852"|"LIQ"|"91050InternalEUR"|"000852"|"08EH9T4G"|"08EH9T46"|"Interest Accrual"|"CG852"|"BG_COL"|"OTHER"|"OSTY(EGCPGU"|"53"
"089105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d82972cb2QH"|"01174d82972b82Py"|"DRV"|"INTAC"|"2020-09-29 06:40:29"|"2020-07-12 23:20:37"|"2020-07-07 00:00:00"|"EUR"|"D"|"-232.05"|"0"|"232.05"|"00000852"|"LIQ"|"91050InternalEUR"|"000852"|"0TEH9TEU"|";;EGWXOE"|"Interest Accrual"|"CG852"|"BG_COL"|"OTHER"|"OST7GEFL2JQ"|"57"
"089105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d82973ac2RG"|"01174d82973952Qx"|"DRV"|"INTAC"|"2020-09-29 06:40:29"|"2020-07-12 23:20:37"|"2020-07-07 00:00:00"|"EUR"|"D"|"-65.76"|"0"|"65.76"|"00000852"|"LIQ"|"91050InternalEUR"|"000852"|"0TEH9TPM"|"0TEH9TP4"|"Interest Accrual"|"CG852"|"BG_COL"|"OTHER"|"OSTGPEH9QQA"|"57"
"089105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d829741d2Rk"|"01174d82973f62RR"|"DRV"|"INTAC"|"2020-09-29 06:40:29"|"2020-07-12 23:20:37"|"2020-07-07 00:00:00"|"EUR"|"D"|"-328.77"|"0"|"328.77"|"00000852"|"LIQ"|"91050InternalEUR"|"000852"|"0TEH9U24"|"0TEH9U1U"|"Interest Accrual"|"CG852"|"BG_COL"|"OTHER"|"OSTSDEBZ23K"|"4"
"089105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d82975632TO"|"01174d82975512T5"|"DRV"|"INTAC"|"2020-09-29 06:40:29"|"2020-07-12 23:20:37"|"2020-07-07 00:00:00"|"EUR"|"D"|"-0.06"|"0"|"0.06"|"00000852"|"LIQ"|"91050InternalEUR"|"000852"|"0TEH9ST7"|"J-EGV0AA"|"Interest Accrual"|"CG852"|"BG_COL"|"OTHER"|"OSTZIEF9NP7"|"43"
"089105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d82978ca2V9"|"01174d82978b52Uq"|"DRV"|"INTAC"|"2020-09-29 06:40:30"|"2020-07-12 23:20:38"|"2020-07-07 00:00:00"|"EUR"|"D"|"-0.89"|"0"|"0.89"|"00000852"|"LIQ"|"91050InternalEUR"|"000852"|"0TEH9SW6"|"0TEH9SVW"|"Interest Accrual"|"CG852"|"BP_COL"|"OTHER"|"OSTOWEGCGLE"|"37"
"089105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d82979922Vd"|"01174d829796f2VK"|"DRV"|"INTAC"|"2020-09-29 06:40:30"|"2020-07-12 23:20:39"|"2020-07-07 00:00:00"|"EUR"|"D"|"-3.13"|"0"|"3.13"|"00000852"|"LIQ"|"91050InternalEUR"|"000852"|"0TEH9SWK"|"0TEH9SWA"|"Interest Accrual"|"CG852"|"BP_COL"|"OTHER"|"OSTOWEGCGRA"|"37"
"089105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d8297b792Wo"|"01174d8297b622WV"|"DRV"|"INTAC"|"2020-09-29 06:40:31"|"2020-07-12 23:20:39"|"2020-07-07 00:00:00"|"EUR"|"D"|"-180.82"|"0"|"180.82"|"00000852"|"LIQ"|"91050InternalEUR"|"000852"|"08EH9SY1"|"08EH9SXR"|"Interest Accrual"|"CG852"|"BG_COL"|"OTHER"|"OST2YEFMLYV"|"53"
"089105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d82988c22Yu"|"01174d82988ae2Yb"|"DRV"|"INTAC"|"2020-09-29 06:40:34"|"2020-07-12 23:20:42"|"2020-07-07 00:00:00"|"EUR"|"D"|"-0.01"|"0"|"0.01"|"00000852"|"LIQ"|"91050InternalEUR"|"000852"|"0TEH9T5L"|";;EGWX30"|"Interest Accrual"|"CG852"|"BP_COL"|"OTHER"|"OSTB*EFVX86"|"37"
"089105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d8298a1b2ZO"|"01174d82989ff2Z5"|"DRV"|"INTAC"|"2020-09-29 06:40:35"|"2020-07-12 23:20:43"|"2020-07-07 00:00:00"|"EUR"|"D"|"-134.25"|"0"|"134.25"|"00000852"|"LIQ"|"91050InternalEUR"|"000852"|"0TEH9T6Y"|".!EGQ2ON"|"Interest Accrual"|"CG852"|"BG_COL"|"OTHER"|"OST#AEFTQDM"|"57"
"089105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d8298b0c2Zt"|"01174d8298ae62Za"|"DRV"|"INTAC"|"2020-09-29 06:40:35"|"2020-07-12 23:20:43"|"2020-07-07 00:00:00"|"EUR"|"D"|"-115.07"|"0"|"115.07"|"00000852"|"LIQ"|"91050InternalEUR"|"000852"|"0TEH9T70"|".!EGQ2P1"|"Interest Accrual"|"CG852"|"BG_COL"|"OTHER"|"OST#AEFTQWG"|"57"
"089105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d8298d042cD"|"01174d8298ce32bu"|"DRV"|"INTAC"|"2020-09-29 06:40:35"|"2020-07-12 23:20:43"|"2020-07-07 00:00:00"|"EUR"|"D"|"-24"|"0"|"24"|"00000852"|"LIQ"|"91050InternalEUR"|"000852"|"0TEH9TAO"|"0TEH9TAE"|"Interest Accrual"|"CG852"|"BG_COL"|"OTHER"|"OST9FEGPOG0"|"57"
"089105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d82993062eZ"|"01174d82992f42eG"|"DRV"|"INTAC"|"2020-09-29 06:40:37"|"2020-07-12 23:20:45"|"2020-07-07 00:00:00"|"EUR"|"D"|"-0.3"|"0"|"0.3"|"00000852"|"LIQ"|"91050InternalEUR"|"000852"|"0TEH9ST1"|"J-EGV094"|"Interest Accrual"|"CG852"|"BG_COL"|"OTHER"|"OST44EF64ER"|"43"
"089105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d82993572f3"|"01174d82993452ek"|"DRV"|"INTAC"|"2020-09-29 06:40:37"|"2020-07-12 23:20:45"|"2020-07-07 00:00:00"|"EUR"|"D"|"-0.02"|"0"|"0.02"|"00000852"|"LIQ"|"91050InternalEUR"|"000852"|"0TEH9ST3"|"J-EGV09I"|"Interest Accrual"|"CG852"|"BG_COL"|"OTHER"|"OSTF?EF7SNQ"|"43"
"089105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d82993b72fX"|"01174d829939f2fE"|"DRV"|"INTAC"|"2020-09-29 06:40:37"|"2020-07-12 23:20:45"|"2020-07-07 00:00:00"|"EUR"|"D"|"-0.08"|"0"|"0.08"|"00000852"|"LIQ"|"91050InternalEUR"|"000852"|"0TEH9ST9"|"J-EGV0AO"|"Interest Accrual"|"CG852"|"BG_COL"|"OTHER"|"OSTZIEF9NY0"|"43"
"089105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d82996c22iq"|"01174d82996af2iX"|"DRV"|"INTAC"|"2020-09-29 06:40:38"|"2020-07-12 23:20:46"|"2020-07-07 00:00:00"|"EUR"|"D"|"-180.82"|"0"|"180.82"|"00000852"|"LIQ"|"91050InternalEUR"|"000852"|"08EH9SYT"|"08EH9SYJ"|"Interest Accrual"|"CG852"|"BG_COL"|"OTHER"|"OST!1EG56OY"|"53"
"089105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d82997192jK"|"01174d82997082j1"|"DRV"|"INTAC"|"2020-09-29 06:40:38"|"2020-07-12 23:20:46"|"2020-07-07 00:00:00"|"EUR"|"D"|"-279.45"|"0"|"279.45"|"00000852"|"LIQ"|"91050InternalEUR"|"000852"|"08EH9SZL"|"08EH9SZB"|"Interest Accrual"|"CG852"|"BG_COL"|"OTHER"|"OSTF?EG7BYL"|"53"
"089105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d82999162lm"|"01174d82999052lT"|"DRV"|"INTAC"|"2020-09-29 06:40:38"|"2020-07-12 23:20:47"|"2020-07-07 00:00:00"|"EUR"|"D"|"-41.62"|"0"|"41.62"|"00000852"|"LIQ"|"91050InternalEUR"|"000852"|"0TEH9T9Q"|"0TEH9T9G"|"Interest Accrual"|"CG852"|"BG_COL"|"OTHER"|"OST0JEGNPI3"|"57"
"089105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d829a00d2og"|"01174d8299ff72oN"|"DRV"|"INTAC"|"2020-09-29 06:40:40"|"2020-07-12 23:20:48"|"2020-07-07 00:00:00"|"EUR"|"D"|"-21.81"|"0"|"21.81"|"00000852"|"LIQ"|"91050InternalEUR"|"000852"|"0TEH9STU"|"0TEH9STK"|"Interest Accrual"|"CG852"|"BP_COL"|"OTHER"|"OST7)EETAU9"|"37"
"089105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d829a2e92qp"|"01174d829a2d02qW"|"DRV"|"INTAC"|"2020-09-29 06:40:41"|"2020-07-12 23:20:49"|"2020-07-07 00:00:00"|"EUR"|"D"|"-0.69"|"0"|"0.69"|"00000852"|"LIQ"|"91050InternalEUR"|"000852"|"0TEH9SVE"|"0TEH9SV4"|"Interest Accrual"|"CG852"|"BP_COL"|"OTHER"|"OST04EFZE6G"|"37"
"089105000085200"|"LOANINTEVAR"|"Interest Receivable - Loans Variable"|"01174d829a3c52rn"|"01174d829a3ad2rU"|"DRV"|"INTAC"|"2020-09-29 06:40:41"|"2020-07-12 23:20:49"|"2020-07-07 00:00:00"|"EUR"|"D"|"-55.55"|"0"|"55.55"|"00000852"|"LIQ"|"91050InternalEUR"|"000852"|"08EH9SUV"|"WCEFIOO9"|"Interest Accrual"|"CG852"|"BG_COL"|"OTHER"|"OST.FEF9T99"|"37"
