GS_SNAP,GS_INSTR_DESC,GS_BASE_CCY,GS_TRGT_CCY,GS_INSTR_TYPE,GS_INSTR_PRC_TYPE,GS_INSTR_PRICE,GS_VALUE_DATE,GS_PROCESSING_DATE
NEW YORK,RUSDHKDSPOTFXMID2D_LOW,USD,HKD,FX-SPOT,BID,9.0584,8/17/2018,8/17/2018
NEW YORK,RUSDMXNSPOTFXASK2D,USD,MXN,FX-SPOT,BID,9.0585,8/17/2018,8/17/2018
NEW YORK,RUSDZARSPOTFXMID2D_LOW,USD,ZAR,FX-SPOT,BID,9.0586,8/17/2018,8/17/2018
NEW YORK,RUSDCNYSPOTFXMID2D_LOW,USD,CNY,FX-SPOT,BID,9.0587,8/17/2018,8/17/2018
NEW YORK,RAUDUSDSPOTFX2D_LOW,AUD,USD,FX-SPOT,BID,9.0588,8/17/2018,8/17/2018
NEW YORK,RUSDSEKSPOTFXMID2D_LOW,USD,SEK,FX-SPOT,BID,9.0589,8/17/2018,8/17/2018
NEW YORK,RUSDTHBSPOTFXMID2D_LOW,USD,THB,FX-SPOT,BID,9.059,8/17/2018,8/17/2018
NEW YORK,RUSDCADSPOTFXMID2D_LOW,USD,CAD,FX-SPOT,BID,9.0591,8/17/2018,8/17/2018
NEW YORK,RUSDCZKSPOTFXASK2D,USD,CZK,FX-SPOT,BID,9.0592,8/17/2018,8/17/2018
NEW YORK,RNZDUSDSPOTFXMID2D_LOW,NZD,USD,FX-SPOT,BID,9.0593,8/17/2018,8/17/2018
NEW YORK,RUSDCHFSPOTFXMID2D_LOW,USD,CHF,FX-SPOT,MID,9.0594,8/17/2018,8/17/2018
NEW YORK,ARTUSDCNHSPOTFXMID2D_LOW,USD,CNH,FX-SPOT,MID,9.0595,8/17/2018,8/17/2018
NEW YORK,RUSDSGDSPOTFXMID2D_LOW,USD,SGD,FX-SPOT,MID,9.0596,8/17/2018,8/17/2018
NEW YORK,RUSDNOKSPOTFXMID2D_LOW,USD,NOK,FX-SPOT,MID,9.0597,8/17/2018,8/17/2018
NEW YORK,RUSDDKKSPOTFXMID2D_LOW,USD,DKK,FX-SPOT,MID,9.0598,8/17/2018,8/17/2018
NEW YORK,RGBPUSDSPOTFXMID2D_LOW,GBP,USD,FX-SPOT,MID,9.0599,8/17/2018,8/17/2018
NEW YORK,REURUSDSPOTFXMID2D_LOW,EUR,USD,FX-SPOT,MID,5.33,8/17/2018,8/17/2018
NEW YORK,RUSDJPYSPOTFXMID2D_LOW,USD,JPY,FX-SPOT,MID,9.0601,8/17/2018,8/17/2018
NEW YORK,RUSDIDRSPOTFXMID2D_LOW,USD,IDR,FX-SPOT,MID,9.0602,8/17/2018,8/17/2018
NEW YORK,RUSDHKDSPOTFXMID2D_LOW,USD,HKD,FX-SPOT,MID,9.0603,8/17/2018,8/17/2018
NEW YORK,RUSDMXNSPOTFXASK2D,USD,MXN,FX-SPOT,MID,9.0604,8/17/2018,8/17/2018
NEW YORK,RUSDZARSPOTFXMID2D_LOW,USD,ZAR,FX-SPOT,MID,9.0605,8/17/2018,8/17/2018
NEW YORK,RUSDCNYSPOTFXMID2D_LOW,USD,CNY,FX-SPOT,MID,9.0606,8/17/2018,8/17/2018
NEW YORK,RAUDUSDSPOTFX2D_LOW,AUD,USD,FX-SPOT,MID,0.81,8/17/2018,8/17/2018
NEW YORK,RUSDSEKSPOTFXMID2D_LOW,USD,SEK,FX-SPOT,MID,9.0608,8/17/2018,8/17/2018
NEW YORK,RUSDCADSPOTFXMID2D_LOW,USD,CAD,FX-SPOT,MID,9.0609,8/17/2018,8/17/2018
NEW YORK,RUSDTHBSPOTFXMID2D_LOW,USD,THB,FX-SPOT,MID,9.061,8/17/2018,8/17/2018
NEW YORK,RUSDCZKSPOTFXASK2D,USD,CZK,FX-SPOT,MID,9.0611,8/17/2018,8/17/2018
NEW YORK,RNZDUSDSPOTFXMID2D_LOW,NZD,USD,FX-SPOT,MID,9.0612,8/17/2018,8/17/2018
